Local time in Gauhati,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
13.04.2020 18:30,30.0,752.9,756.9,55,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 18:00,31.0,752.2,756.2,46,Wind blowing from the north-northeast,1,,Haze,,Scattered clouds (40-50%) 540 m  broken clouds (60-90%) 3000 m,4.0,18.0,
13.04.2020 17:30,32.0,752.2,756.2,43,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  broken clouds (60-90%) 3000 m,5.0,18.0,
13.04.2020 17:00,32.0,752.2,756.2,43,Wind blowing from the north-northeast,1,,Haze,,Scattered clouds (40-50%) 540 m  broken clouds (60-90%) 3000 m,5.0,18.0,
13.04.2020 16:30,32.0,751.4,755.4,41,Wind blowing from the north,3,,Haze,,Scattered clouds (40-50%) 540 m  broken clouds (60-90%) 3000 m,5.0,17.0,
13.04.2020 16:00,33.0,751.4,755.4,38,Wind blowing from the north,3,,Haze,,Scattered clouds (40-50%) 540 m  broken clouds (60-90%) 3000 m,5.0,17.0,
13.04.2020 15:30,33.0,751.4,755.4,38,Wind blowing from the north,3,,Haze,,Scattered clouds (40-50%) 540 m  broken clouds (60-90%) 3000 m,5.0,17.0,
13.04.2020 15:00,33.0,751.4,755.4,38,Wind blowing from the north,4,,Haze,,Scattered clouds (40-50%) 540 m  broken clouds (60-90%) 3000 m,5.0,17.0,
13.04.2020 14:30,34.0,752.3,756.2,36,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m,5.0,17.0,
13.04.2020 14:00,34.0,752.3,756.2,36,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m,5.0,17.0,
13.04.2020 13:30,34.0,752.3,756.2,36,Wind blowing from the north,2,,Haze,,Few clouds (10-30%) 600 m,5.0,17.0,
13.04.2020 13:00,34.0,753.0,756.9,39,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,5.0,18.0,
13.04.2020 12:30,33.0,752.9,756.9,41,Wind blowing from the north,5,,Haze,,Few clouds (10-30%) 600 m,5.0,18.0,
13.04.2020 12:00,33.0,753.7,757.7,41,Wind blowing from the west,5,,Haze,,Few clouds (10-30%) 600 m,5.0,18.0,
13.04.2020 11:30,32.0,753.7,757.7,46,,,,Haze,,Few clouds (10-30%) 600 m,5.0,19.0,
13.04.2020 11:00,32.0,753.7,757.7,46,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m,5.0,19.0,
13.04.2020 10:30,31.0,754.2,758.2,52,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,5.0,20.0,
13.04.2020 10:00,31.0,754.2,758.2,49,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
13.04.2020 09:30,29.0,754.2,758.2,55,Wind blowing from the north-northeast,2,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
13.04.2020 09:00,29.0,754.2,758.2,58,Wind blowing from the north-west,2,,Haze,,Few clouds (10-30%) 600 m,4.0,20.0,
13.04.2020 08:30,28.0,755.0,759.0,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,20.0,
13.04.2020 08:00,26.0,754.9,759.0,65,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
13.04.2020 07:30,25.0,754.9,759.0,74,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,20.0,
13.04.2020 07:00,23.0,754.1,758.2,78,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,19.0,
13.04.2020 06:30,22.0,754.1,758.2,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,19.0,
13.04.2020 06:00,21.0,753.6,757.7,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,18.0,
13.04.2020 05:30,20.0,753.6,757.7,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
13.04.2020 05:00,20.0,753.6,757.7,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
13.04.2020 04:30,20.0,752.8,756.9,88,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,18.0,
12.04.2020 22:30,23.0,754.1,758.2,74,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,18.0,
12.04.2020 22:00,24.0,754.1,758.2,69,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,18.0,
12.04.2020 21:30,24.0,753.6,757.7,69,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,18.0,
12.04.2020 21:00,25.0,754.1,758.2,65,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,3.5,18.0,
12.04.2020 20:30,25.0,754.1,758.2,65,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,3.5,18.0,
12.04.2020 20:00,25.0,753.6,757.7,39,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,10.0,
12.04.2020 19:30,26.0,753.6,757.7,61,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,18.0,
12.04.2020 19:00,27.0,753.7,757.7,54,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
12.04.2020 18:30,28.0,752.9,756.9,51,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
12.04.2020 18:00,29.0,752.9,756.9,48,Wind blowing from the north,2,,Haze,,Few clouds (10-30%) 600 m,4.5,17.0,
12.04.2020 17:30,30.0,752.2,756.2,43,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,16.0,
12.04.2020 17:00,31.0,752.2,756.2,38,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,5.0,15.0,
12.04.2020 16:30,33.0,752.2,756.2,34,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m,5.0,15.0,
12.04.2020 16:00,33.0,752.2,756.2,34,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,5.0,15.0,
12.04.2020 15:30,32.0,752.2,756.2,36,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,5.0,15.0,
12.04.2020 15:00,33.0,752.2,756.2,36,Wind blowing from the north,5,,Haze,,Few clouds (10-30%) 600 m,5.0,16.0,
12.04.2020 14:30,33.0,752.2,756.2,36,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m  few clouds (10-30%) 750 m  scattered clouds (40-50%) 3000 m,5.0,16.0,
12.04.2020 14:00,33.0,752.9,756.9,38,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m  few clouds (10-30%) 750 m  scattered clouds (40-50%) 3000 m,5.0,17.0,
12.04.2020 13:30,32.0,753.7,757.7,38,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m  few clouds (10-30%) 750 m  scattered clouds (40-50%) 3000 m,5.0,16.0,
12.04.2020 13:00,32.0,753.7,757.7,38,Wind blowing from the east-northeast,2,,Haze,,Few clouds (10-30%) 600 m  few clouds (10-30%) 750 m  scattered clouds (40-50%) 3000 m,5.0,16.0,
12.04.2020 12:30,32.0,754.2,758.2,36,Wind blowing from the east-northeast,3,,Haze,,Few clouds (10-30%) 600 m  few clouds (10-30%) 750 m  scattered clouds (40-50%) 3000 m,5.0,15.0,
12.04.2020 12:00,31.0,754.2,758.2,38,Wind blowing from the east-northeast,3,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,15.0,
12.04.2020 11:30,31.0,755.0,759.0,46,Wind blowing from the east-northeast,3,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,18.0,
12.04.2020 11:00,30.0,755.7,759.7,49,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,18.0,
12.04.2020 10:30,30.0,755.7,759.7,49,Wind blowing from the east-northeast,4,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,18.0,
12.04.2020 10:00,29.0,756.5,760.5,55,Wind blowing from the east-southeast,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,19.0,
12.04.2020 09:32,28.0,756.5,760.5,58,Wind blowing from the east,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,19.0,
12.04.2020 09:30,28.0,756.5,760.5,58,Wind blowing from the east,2,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,19.0,
12.04.2020 09:00,27.0,756.4,760.5,62,Wind blowing from the south-east,1,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,19.0,
12.04.2020 08:30,26.0,756.4,760.5,65,Wind blowing from the west,3,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,19.0,
12.04.2020 08:00,25.0,756.4,760.5,69,Wind blowing from the south,3,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,19.0,
12.04.2020 07:30,24.0,756.4,760.5,74,Wind blowing from the south,2,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,19.0,
12.04.2020 07:00,23.0,756.4,760.5,78,Wind blowing from the south,3,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,19.0,
12.04.2020 06:30,22.0,756.4,760.5,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,19.0,
12.04.2020 06:00,21.0,755.6,759.7,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,18.0,
12.04.2020 05:30,21.0,755.6,759.7,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,18.0,
12.04.2020 00:30,22.0,754.9,759.0,83,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,19.0,
11.04.2020 23:30,23.0,755.6,759.7,78,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,19.0,
11.04.2020 22:30,24.0,755.6,759.7,74,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,19.0,
11.04.2020 20:30,24.0,754.9,759.0,74,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 19:30,25.0,754.1,758.2,74,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
11.04.2020 18:59,25.0,753.6,757.7,74,Wind blowing from the north-northwest,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
11.04.2020 18:30,25.0,753.6,757.7,69,Wind blowing from the north-northwest,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 18:00,26.0,753.6,757.7,65,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 17:30,26.0,752.8,756.9,65,Wind blowing from the north-east,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 17:00,27.0,752.9,756.9,62,Wind blowing from the north,3,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 16:30,27.0,752.9,756.9,62,Wind blowing from the north,4,,Thunderstorm,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 16:00,27.0,752.9,756.9,62,Wind blowing from the north-northwest,2,,Thunderstorm,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 15:30,26.0,753.6,757.7,65,Wind blowing from the south-southeast,2,,Thunderstorm,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 15:00,27.0,754.2,758.2,58,Wind blowing from the south-southeast,2,,Thunderstorm,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,18.0,
11.04.2020 14:30,27.0,754.2,758.2,58,Wind blowing from the north-east,2,,Thunderstorm,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,18.0,
11.04.2020 14:00,28.0,754.2,758.2,51,Wind blowing from the north-east,2,,Thunderstorm,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,17.0,
11.04.2020 13:30,28.0,755.0,759.0,51,Wind blowing from the north-east,3,,Thunderstorm,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,17.0,
11.04.2020 13:00,29.0,755.0,759.0,51,Wind blowing from the north-northeast,3,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,5.0,18.0,
11.04.2020 12:30,29.0,755.0,759.0,51,Wind blowing from the north-northeast,4,,Haze,,Few clouds (10-30%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   scattered clouds (40-50%) 3000 m,5.0,18.0,
11.04.2020 12:00,30.0,755.7,759.7,52,Wind blowing from the north,6,,Haze,,Few clouds (10-30%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   scattered clouds (40-50%) 3000 m,5.0,19.0,
11.04.2020 11:30,29.0,756.5,760.5,55,Wind blowing from the north,6,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%)  cumulonimbus clouds 750 m  broken clouds (60-90%) 3000 m,5.0,19.0,
11.04.2020 11:00,29.0,756.5,760.5,58,Wind blowing from the north,4,,Haze,,Scattered clouds (40-50%) 600 m  broken clouds (60-90%) 3000 m,5.0,20.0,
11.04.2020 10:30,28.0,757.2,761.2,58,Wind blowing from the north-east,3,,Haze,,Scattered clouds (40-50%) 600 m  broken clouds (60-90%) 3000 m,5.0,19.0,
11.04.2020 10:00,27.0,757.1,761.2,62,Wind blowing from the east-northeast,4,,Haze,,Scattered clouds (40-50%) 600 m  broken clouds (60-90%) 3000 m,5.0,19.0,
11.04.2020 09:30,27.0,757.9,762.0,62,Wind blowing from the north-northeast,4,,Haze,,Scattered clouds (40-50%) 600 m  broken clouds (60-90%) 3000 m,5.0,19.0,
11.04.2020 09:00,26.0,757.9,762.0,65,Wind blowing from the east-northeast,3,,Haze,,Scattered clouds (40-50%) 600 m  broken clouds (60-90%) 3000 m,4.5,19.0,
11.04.2020 08:30,25.0,757.9,762.0,69,Wind blowing from the north-east,5,,Haze,,Scattered clouds (40-50%) 600 m  broken clouds (60-90%) 3000 m,4.0,19.0,
11.04.2020 08:00,24.0,757.9,762.0,74,Wind blowing from the east-northeast,4,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,19.0,
11.04.2020 07:30,23.0,757.9,762.0,78,Wind blowing from the north-northeast,4,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,19.0,
11.04.2020 07:00,22.0,757.1,761.2,83,Wind blowing from the north-northeast,4,,Mist,,Scattered clouds (40-50%) 480 m  few clouds (10-30%) 600 m,4.0,19.0,
11.04.2020 06:30,22.0,757.1,761.2,83,Wind blowing from the north-northeast,2,,Mist,,Few clouds (10-30%) 600 m,3.0,19.0,
11.04.2020 06:00,21.0,757.1,761.2,88,Wind blowing from the north,2,,Mist,,Few clouds (10-30%) 600 m,2.5,19.0,
11.04.2020 05:30,21.0,756.4,760.5,83,Wind blowing from the north,2,,Mist,,Scattered clouds (40-50%) 600 m  scattered clouds (40-50%) 3000 m,2.0,18.0,
10.04.2020 23:28,22.0,756.4,760.5,78,Wind blowing from the north,1,,Mist,,Scattered clouds (40-50%) 600 m  scattered clouds (40-50%) 3000 m,3.0,18.0,
10.04.2020 23:00,22.0,757.1,761.2,73,Wind blowing from the east-northeast,2,,Haze,,Scattered clouds (40-50%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
10.04.2020 22:30,23.0,757.1,761.2,69,Wind blowing from the north,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,17.0,
10.04.2020 22:01,23.0,757.1,761.2,69,Wind blowing from the east-northeast,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,17.0,
10.04.2020 22:00,23.0,757.1,761.2,69,Wind blowing from the east-northeast,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,17.0,
10.04.2020 21:30,24.0,756.4,760.5,65,Wind blowing from the east-northeast,3,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,17.0,
10.04.2020 21:00,24.0,757.1,761.2,65,Wind blowing from the east-northeast,3,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,17.0,
10.04.2020 20:30,24.0,756.4,760.5,65,Wind blowing from the east-northeast,3,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,17.0,
10.04.2020 20:00,25.0,756.4,760.5,61,Wind blowing from the east-northeast,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,17.0,
10.04.2020 19:30,25.0,756.4,760.5,61,Wind blowing from the north-east,3,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,17.0,
10.04.2020 19:00,25.0,755.6,759.7,65,Wind blowing from the north-east,3,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,18.0,
10.04.2020 18:30,25.0,755.6,759.7,65,Wind blowing from the north-east,4,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,18.0,
10.04.2020 18:00,26.0,754.9,759.0,61,Wind blowing from the north-east,4,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.5,18.0,
10.04.2020 17:30,26.0,754.9,759.0,54,Wind blowing from the north-northeast,6,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.5,16.0,
10.04.2020 17:00,27.0,754.2,758.2,54,Wind blowing from the north-east,4,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.5,17.0,
10.04.2020 16:30,27.0,754.2,758.2,51,Wind blowing from the north-east,6,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.5,16.0,
10.04.2020 16:00,28.0,754.2,758.2,51,Wind blowing from the north-east,5,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.5,17.0,
10.04.2020 15:30,29.0,754.2,758.2,58,Wind blowing from the north-northeast,5,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.5,20.0,
10.04.2020 15:00,29.0,754.2,758.2,58,Wind blowing from the north,5,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.5,20.0,
10.04.2020 14:30,29.0,754.2,758.2,58,Wind blowing from the north-northeast,6,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
10.04.2020 14:00,29.0,755.0,759.0,58,Wind blowing from the north-east,5,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
10.04.2020 13:30,28.0,755.0,759.0,62,Wind blowing from the north-east,5,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
10.04.2020 13:00,28.0,755.7,759.7,62,Wind blowing from the north-northeast,5,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
10.04.2020 12:30,28.0,755.7,759.7,62,Wind blowing from the north,6,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
10.04.2020 12:00,27.0,756.4,760.5,66,Wind blowing from the north-northeast,5,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
10.04.2020 11:30,27.0,756.4,760.5,66,Wind blowing from the north-northeast,5,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
10.04.2020 11:00,27.0,757.1,761.2,70,Wind blowing from the north-northeast,4,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,21.0,
10.04.2020 10:30,26.0,757.1,761.2,74,Wind blowing from the north-northeast,4,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,21.0,
10.04.2020 10:00,25.0,757.1,761.2,74,Wind blowing from the north-northeast,6,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds,4.0,20.0,
10.04.2020 09:30,25.0,757.1,761.2,74,Wind blowing from the north-northeast,5,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m,4.0,20.0,
10.04.2020 09:00,24.0,757.1,761.2,78,Wind blowing from the north,5,,Mist,,Few clouds (10-30%) 540 m  scattered clouds (40-50%) 3000 m,4.0,20.0,
10.04.2020 08:30,24.0,757.1,761.2,78,Wind blowing from the north-northeast,5,,Mist,,Few clouds (10-30%) 540 m  scattered clouds (40-50%) 3000 m,4.0,20.0,
10.04.2020 08:00,23.0,756.4,760.5,83,Wind blowing from the north-east,3,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,20.0,
10.04.2020 07:30,23.0,756.4,760.5,78,Wind blowing from the north-west,4,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,19.0,
10.04.2020 07:00,21.0,755.6,759.7,88,Wind blowing from the north,4,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,19.0,
10.04.2020 06:30,21.0,755.6,759.7,83,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,18.0,
10.04.2020 06:00,20.0,754.9,759.0,88,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,18.0,
