Local time in Dhaka (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
13.04.2020 17:00,32.0,753.9,754.6,46,Wind blowing from the south-east,3,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,19.0,
13.04.2020 16:30,32.0,754.7,755.4,46,Wind blowing from the east,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,19.0,
13.04.2020 16:00,33.0,754.7,755.4,46,Wind blowing from the south-southeast,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 15:30,33.0,754.7,755.4,46,Wind blowing from the east,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 15:00,33.0,754.7,755.4,46,Wind blowing from the south,3,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 14:30,33.0,755.5,756.2,46,Wind blowing from the east-southeast,3,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 14:00,33.0,756.2,756.9,49,Wind blowing from the south-east,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 13:30,33.0,756.2,756.9,49,Wind blowing from the east-southeast,4,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 13:00,33.0,756.2,756.9,49,Wind blowing from the east,4,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 12:30,32.0,756.2,756.9,52,Wind blowing from the south-east,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 12:00,32.0,757.0,757.7,52,Wind blowing from the south-southeast,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 11:30,31.0,757.0,757.7,55,Wind blowing from the south-east,3,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 11:00,31.0,757.0,757.7,55,Wind blowing from the east-southeast,3,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 10:30,30.0,757.5,758.2,59,Wind blowing from the east,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 10:00,30.0,757.5,758.2,59,Wind blowing from the east,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,21.0,
13.04.2020 09:30,29.0,757.5,758.2,62,Wind blowing from the east-southeast,2,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 09:00,29.0,757.5,758.2,62,Wind blowing from the east,2,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 08:30,28.0,757.5,758.2,66,Wind blowing from the south-east,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 08:00,28.0,757.5,758.2,66,Wind blowing from the east-southeast,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 07:30,27.0,757.5,758.2,70,Wind blowing from the east,2,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 07:00,27.0,757.0,757.7,70,Wind blowing from the east,2,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 06:30,26.0,757.0,757.7,74,Wind blowing from the east-southeast,2,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 06:00,26.0,757.0,757.7,74,Wind blowing from the east,2,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 05:30,27.0,756.2,756.9,74,Calm  no wind,0,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,22.0,
13.04.2020 05:00,27.0,756.2,756.9,74,Calm  no wind,0,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,22.0,
13.04.2020 04:30,27.0,756.2,756.9,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 04:00,27.0,756.2,756.9,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
13.04.2020 03:30,27.0,756.2,756.9,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,3.5,21.0,
13.04.2020 03:00,27.0,756.2,756.9,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,3.5,21.0,
13.04.2020 02:30,27.0,756.2,756.9,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,21.0,
13.04.2020 02:00,27.0,756.2,756.9,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,21.0,
13.04.2020 01:30,28.0,756.2,756.9,66,Wind blowing from the east-northeast,2,,Haze,,Few clouds (10-30%) 3000 m,4.0,21.0,
13.04.2020 01:00,28.0,756.2,756.9,66,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,21.0,
13.04.2020 00:30,28.0,756.2,756.9,66,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,21.0,
13.04.2020 00:00,28.0,757.0,757.7,66,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,21.0,
12.04.2020 23:30,28.0,757.0,757.7,66,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,21.0,
12.04.2020 23:00,28.0,757.0,757.7,66,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,21.0,
12.04.2020 22:30,28.0,757.0,757.7,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,20.0,
12.04.2020 22:00,28.0,757.0,757.7,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,20.0,
12.04.2020 21:30,28.0,757.0,757.7,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,20.0,
12.04.2020 21:00,28.0,757.0,757.7,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,20.0,
12.04.2020 20:30,28.0,757.0,757.7,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,20.0,
12.04.2020 20:00,28.0,757.0,757.7,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,20.0,
12.04.2020 19:30,28.0,757.0,757.7,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,20.0,
12.04.2020 19:00,28.0,757.0,757.7,58,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,19.0,
12.04.2020 18:30,29.0,756.2,756.9,55,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,19.0,
12.04.2020 18:00,29.0,756.2,756.9,51,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,4.0,18.0,
12.04.2020 17:30,31.0,755.5,756.2,49,Calm  no wind,0,,Haze,,Few clouds (10-30%) 450 m,4.0,19.0,
12.04.2020 17:00,31.0,755.5,756.2,49,Calm  no wind,0,,Haze,,Few clouds (10-30%) 450 m,4.0,19.0,
12.04.2020 16:30,31.0,756.2,756.9,49,Calm  no wind,0,,Haze,,Few clouds (10-30%) 450 m,4.0,19.0,
12.04.2020 16:00,31.0,756.2,756.9,49,Calm  no wind,0,,Haze,,Few clouds (10-30%) 450 m,4.0,19.0,
12.04.2020 15:30,31.0,756.2,756.9,52,Wind blowing from the east-southeast,2,,Haze,,Few clouds (10-30%) 450 m,4.0,20.0,
12.04.2020 15:00,31.0,756.2,756.9,52,Wind blowing from the east-southeast,2,,Haze,,Few clouds (10-30%) 450 m,4.0,20.0,
12.04.2020 14:30,30.0,757.0,757.7,55,Wind blowing from the north-east,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,20.0,
12.04.2020 14:00,30.0,757.0,757.7,55,Wind blowing from the north-east,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,20.0,
12.04.2020 13:30,29.0,757.5,758.2,58,Wind blowing from the east,3,,Haze,,Scattered clouds (40-50%) 450 m  broken clouds (60-90%) 3000 m,4.0,20.0,
12.04.2020 13:00,29.0,757.5,758.2,58,Wind blowing from the east,3,,Haze,,Scattered clouds (40-50%) 450 m  broken clouds (60-90%) 3000 m,4.0,20.0,
12.04.2020 12:30,28.0,758.3,759.0,62,Wind blowing from the east,3,,Haze,,Scattered clouds (40-50%) 450 m  broken clouds (60-90%) 3000 m,4.0,20.0,
12.04.2020 12:00,27.0,758.3,759.0,62,Wind blowing from the east-northeast,4,,Haze,,Scattered clouds (40-50%) 450 m  broken clouds (60-90%) 3000 m,4.0,19.0,
12.04.2020 11:30,26.0,759.0,759.7,65,Wind blowing from the north-northeast,3,,Haze,,Scattered clouds (40-50%) 450 m  broken clouds (60-90%) 3000 m,4.0,19.0,
12.04.2020 11:00,25.0,759.8,760.5,69,Wind blowing from the north,3,,Drizzle,,Scattered clouds (40-50%) 450 m  broken clouds (60-90%) 3000 m,4.0,19.0,
12.04.2020 10:30,25.0,760.5,761.2,69,Wind blowing from the north,8,,Haze,,Scattered clouds (40-50%) 450 m  broken clouds (60-90%) 3000 m,4.0,19.0,
12.04.2020 10:00,24.0,760.5,761.2,78,Wind blowing from the north,9,,Thunderstorm,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,20.0,
12.04.2020 09:30,26.0,759.8,760.5,74,Wind blowing from the west-northwest,3,,Haze,,Scattered clouds (40-50%) 360 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,4.0,21.0,
12.04.2020 09:00,25.0,759.8,760.5,74,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 450 m  broken clouds (60-90%) 3000 m,4.0,20.0,
12.04.2020 08:30,25.0,759.8,760.5,79,Wind blowing from the north-west,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,21.0,
12.04.2020 08:00,25.0,759.8,760.5,79,Wind blowing from the north-northwest,3,,Haze,,No Significant Clouds,3.5,21.0,
12.04.2020 07:30,24.0,759.0,759.7,83,Calm  no wind,0,,Haze,,No Significant Clouds,3.5,21.0,
12.04.2020 07:00,24.0,758.3,759.0,83,Calm  no wind,0,,Haze,,No Significant Clouds,3.5,21.0,
12.04.2020 06:30,24.0,758.3,759.0,83,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,3.5,21.0,
12.04.2020 06:00,24.0,757.5,758.2,83,Wind blowing from the east,2,,Haze,,Few clouds (10-30%) 3000 m,3.5,21.0,
12.04.2020 05:30,24.0,757.5,758.2,83,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,3.5,21.0,
12.04.2020 05:00,24.0,757.5,758.2,83,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,3.5,21.0,
12.04.2020 04:30,23.0,757.0,757.7,78,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,3.5,19.0,
12.04.2020 04:00,23.0,757.0,757.7,78,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3000 m,3.5,19.0,
12.04.2020 03:30,22.0,757.0,757.7,78,Wind blowing from the north,2,,Haze,,Scattered clouds (40-50%) 3000 m,3.5,18.0,
12.04.2020 03:00,22.0,757.0,757.7,78,Wind blowing from the north,2,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,18.0,
12.04.2020 02:30,22.0,757.0,757.7,78,Wind blowing from the north-northeast,3,,Haze,,Scattered clouds (40-50%) 450 m  broken clouds (60-90%) 3000 m,3.5,18.0,
12.04.2020 02:00,22.0,757.5,758.2,78,Wind blowing from the south-east,5,,Haze,,Broken clouds (60-90%) 300 m  broken clouds (60-90%) 3000 m,3.5,18.0,
12.04.2020 01:30,22.0,757.5,758.2,83,Wind blowing from the south-east,6,,Haze,,Broken clouds (60-90%) 300 m  broken clouds (60-90%) 3000 m,3.5,19.0,
12.04.2020 01:00,22.0,758.3,759.0,83,Wind blowing from the east-southeast,5,,Haze,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,19.0,
12.04.2020 00:30,22.0,759.0,759.7,83,Wind blowing from the east-southeast,5,,Thunderstorm  rain,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   overcast (100%) 2700 m,3.5,19.0,
12.04.2020 00:00,22.0,760.5,761.2,83,Wind blowing from the east-northeast,4,,Thunderstorm,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   overcast (100%) 2700 m,3.5,19.0,
11.04.2020 23:30,23.0,759.0,759.7,83,Wind blowing from the east-northeast,5,,Haze,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,20.0,
11.04.2020 23:00,23.0,759.0,759.7,83,Wind blowing from the east-northeast,4,,Haze,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,20.0,
11.04.2020 22:30,23.0,758.3,759.0,83,Wind blowing from the east,8,,Haze,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.5,20.0,
11.04.2020 22:00,23.0,758.3,759.0,83,Wind blowing from the east,7,,Thunderstorm,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,2.5,20.0,
11.04.2020 21:30,23.0,761.3,762.0,83,Wind blowing from the north,4,,Thunderstorm  rain,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   overcast (100%) 2700 m,2.5,20.0,
11.04.2020 21:00,23.0,761.3,762.0,83,Wind blowing from the north-west,4,,Thunderstorm  rain,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   overcast (100%) 2700 m,2.5,20.0,
11.04.2020 20:30,24.0,760.5,761.2,83,Wind blowing from the north-northwest,8,,Thunderstorm  rain,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   overcast (100%) 2700 m,2.5,21.0,
11.04.2020 20:00,27.0,759.8,760.5,62,Wind blowing from the north-northwest,9,,Drizzle,,Broken clouds (60-90%) 300 m  few clouds (10-30%) 750 m  cumulonimbus clouds   overcast (100%) 3000 m,2.5,19.0,
11.04.2020 19:30,27.0,758.3,759.0,62,Wind blowing from the west-northwest,15,,Haze,,Scattered clouds (40-50%) 360 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.2,19.0,
11.04.2020 19:00,32.0,756.2,756.9,43,Wind blowing from the south,4,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,18.0,
11.04.2020 18:30,33.0,756.2,756.9,41,Wind blowing from the south,4,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,18.0,
11.04.2020 18:00,34.0,756.2,756.9,39,Wind blowing from the south-southwest,4,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,18.0,
11.04.2020 17:30,35.0,755.5,756.2,36,Wind blowing from the south-southwest,4,,Haze,,No Significant Clouds,4.0,18.0,
11.04.2020 17:00,35.0,755.5,756.2,36,Wind blowing from the south-southwest,5,,Haze,,No Significant Clouds,4.0,18.0,
11.04.2020 16:30,36.0,755.5,756.2,34,Wind blowing from the south,6,,Haze,,No Significant Clouds,4.0,18.0,
11.04.2020 16:00,36.0,755.5,756.2,34,Wind blowing from the south,5,,Haze,,No Significant Clouds,4.0,18.0,
11.04.2020 15:30,37.0,756.2,756.9,33,Wind blowing from the south-west,4,,Haze,,No Significant Clouds,4.0,18.0,
11.04.2020 15:00,37.0,756.2,756.9,33,Wind blowing from the south-west,4,,Haze,,No Significant Clouds,4.0,18.0,
11.04.2020 14:30,37.0,757.0,757.7,35,Wind blowing from the south,4,,Haze,,No Significant Clouds,4.0,19.0,
11.04.2020 14:00,37.0,757.0,757.7,37,Wind blowing from the west-southwest,3,,Haze,,No Significant Clouds,4.0,20.0,
11.04.2020 13:30,37.0,757.5,758.2,39,Wind blowing from the south,3,,Haze,,No Significant Clouds,4.0,21.0,
11.04.2020 13:00,36.0,758.3,759.0,42,Wind blowing from the south,4,,Haze,,No Significant Clouds,4.0,21.0,
11.04.2020 12:30,36.0,758.3,759.0,44,Wind blowing from the south-west,4,,Haze,,No Significant Clouds,4.0,22.0,
11.04.2020 12:00,35.0,759.0,759.7,47,Wind blowing from the south-southwest,5,,Haze,,No Significant Clouds,4.0,22.0,
11.04.2020 11:30,34.0,759.0,759.7,49,Wind blowing from the west-southwest,4,,Haze,,Few clouds (10-30%) 3000 m,4.0,22.0,
11.04.2020 11:00,34.0,759.8,760.5,53,Wind blowing from the south-west,3,,Haze,,Few clouds (10-30%) 3000 m,4.0,23.0,
11.04.2020 10:30,33.0,759.8,760.5,56,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 3000 m,4.0,23.0,
11.04.2020 10:00,32.0,760.5,761.2,59,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 3000 m,4.0,23.0,
11.04.2020 09:30,31.0,760.5,761.2,62,Wind blowing from the west-northwest,2,,Haze,,Few clouds (10-30%) 3000 m,4.0,23.0,
11.04.2020 09:00,30.0,760.5,761.2,66,Wind blowing from the south,3,,Haze,,Few clouds (10-30%) 3000 m,4.0,23.0,
11.04.2020 08:30,29.0,759.8,760.5,66,Wind blowing from the south-west,3,,Haze,,Few clouds (10-30%) 3000 m,3.5,22.0,
11.04.2020 08:00,29.0,759.8,760.5,66,Wind blowing from the west-southwest,2,,Haze,,Few clouds (10-30%) 3000 m,3.5,22.0,
11.04.2020 07:30,28.0,759.8,760.5,74,Wind blowing from the south-west,3,,Haze,,Scattered clouds (40-50%) 3000 m,3.5,23.0,
11.04.2020 07:00,27.0,759.8,760.5,74,Wind blowing from the south-southwest,2,,Haze,,Scattered clouds (40-50%) 3000 m,3.2,22.0,
11.04.2020 06:30,27.0,759.8,760.5,79,Wind blowing from the south,3,,Haze,,Scattered clouds (40-50%) 3000 m,3.2,23.0,
11.04.2020 06:00,26.0,759.0,759.7,79,Wind blowing from the south,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.2,22.0,
11.04.2020 05:30,26.0,759.0,759.7,79,Wind blowing from the south-east,3,,Haze,,Scattered clouds (40-50%) 3000 m,3.2,22.0,
11.04.2020 05:00,26.0,758.3,759.0,79,Wind blowing from the south-southwest,2,,Haze,,Scattered clouds (40-50%) 3000 m,3.5,22.0,
11.04.2020 04:30,26.0,758.3,759.0,74,Wind blowing from the north-west,2,,Haze,,Scattered clouds (40-50%) 3000 m,3.5,21.0,
11.04.2020 04:00,26.0,758.3,759.0,74,Wind blowing from the north-northwest,2,,Haze,,Scattered clouds (40-50%) 3000 m,3.5,21.0,
11.04.2020 03:30,27.0,758.3,759.0,74,Wind blowing from the west-southwest,3,,Haze,,Few clouds (10-30%) 3000 m,3.5,22.0,
11.04.2020 03:00,27.0,757.5,758.2,74,Wind blowing from the west-southwest,3,,Haze,,Few clouds (10-30%) 3000 m,3.5,22.0,
11.04.2020 02:30,28.0,757.5,758.2,74,Wind blowing from the south-west,4,,Haze,,Few clouds (10-30%) 3000 m,3.5,23.0,
11.04.2020 02:00,28.0,757.5,758.2,74,Wind blowing from the south-southwest,4,,Haze,,Few clouds (10-30%) 3000 m,3.5,23.0,
11.04.2020 01:30,28.0,757.5,758.2,74,Wind blowing from the south-southwest,3,,Haze,,Few clouds (10-30%) 3000 m,3.5,23.0,
11.04.2020 01:00,28.0,757.5,758.2,70,Wind blowing from the south-southwest,3,,Haze,,Few clouds (10-30%) 3000 m,3.5,22.0,
11.04.2020 00:30,28.0,758.3,759.0,70,Wind blowing from the south-southwest,3,,Haze,,Few clouds (10-30%) 3000 m,3.5,22.0,
11.04.2020 00:00,28.0,758.3,759.0,70,Wind blowing from the south-southwest,3,,Haze,,Few clouds (10-30%) 3000 m,3.5,22.0,
10.04.2020 23:30,28.0,758.3,759.0,70,Wind blowing from the south-southwest,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,22.0,
10.04.2020 23:00,28.0,758.3,759.0,70,Wind blowing from the south,4,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,22.0,
10.04.2020 22:30,28.0,758.3,759.0,70,Wind blowing from the south,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,22.0,
10.04.2020 22:00,28.0,758.3,759.0,70,Wind blowing from the south,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,22.0,
10.04.2020 21:30,28.0,758.3,759.0,70,Wind blowing from the south,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,22.0,
10.04.2020 21:00,28.0,758.3,759.0,70,Wind blowing from the south,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,22.0,
10.04.2020 20:30,29.0,758.3,759.0,70,Wind blowing from the south,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,3.5,23.0,
10.04.2020 20:00,30.0,757.5,758.2,70,Wind blowing from the south-southeast,4,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,24.0,
10.04.2020 19:30,31.0,757.5,758.2,62,Wind blowing from the south-southeast,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,23.0,
10.04.2020 19:00,32.0,757.5,758.2,59,Wind blowing from the south,4,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,23.0,
10.04.2020 18:30,33.0,757.0,757.7,52,Wind blowing from the west-southwest,3,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,22.0,
10.04.2020 18:00,34.0,757.0,757.7,47,Wind blowing from the south-southwest,4,,Haze,,Few clouds (10-30%) 450 m  scattered clouds (40-50%) 3000 m,4.0,21.0,
10.04.2020 17:30,35.0,757.0,757.7,44,Wind blowing from the south-west,4,,Haze,,No Significant Clouds,4.0,21.0,
10.04.2020 17:00,35.0,757.0,757.7,41,Wind blowing from the west-southwest,5,,Haze,,No Significant Clouds,4.0,20.0,
10.04.2020 16:30,36.0,756.2,756.9,39,Wind blowing from the south-west,4,,Haze,,No Significant Clouds,4.0,20.0,
10.04.2020 16:00,36.0,756.2,756.9,37,Wind blowing from the south-southwest,3,,Haze,,No Significant Clouds,4.0,19.0,
10.04.2020 15:30,37.0,757.0,757.7,35,Wind blowing from the west-southwest,4,,Haze,,No Significant Clouds,4.0,19.0,
10.04.2020 15:00,37.0,757.0,757.7,35,Wind blowing from the south-west,5,,Haze,,No Significant Clouds,4.0,19.0,
10.04.2020 14:30,37.0,757.5,758.2,35,Wind blowing from the south-southwest,5,,Haze,,Few clouds (10-30%) 450 m,4.0,19.0,
10.04.2020 14:00,37.0,757.5,758.2,33,Wind blowing from the south-west,4,,Haze,,Few clouds (10-30%) 450 m,4.0,18.0,
10.04.2020 13:30,37.0,758.3,759.0,33,Wind blowing from the west-southwest,3,,Haze,,No Significant Clouds,4.0,18.0,
10.04.2020 13:00,36.0,758.3,759.0,34,Wind blowing from the south-west,3,,Haze,,No Significant Clouds,4.0,18.0,
10.04.2020 12:30,36.0,758.3,759.0,37,Wind blowing from the south-west,3,,Haze,,No Significant Clouds,4.0,19.0,
10.04.2020 12:00,35.0,763.6,764.3,39,Wind blowing from the south-southwest,2,,Haze,,No Significant Clouds,4.0,19.0,
10.04.2020 11:30,35.0,759.0,759.7,41,Wind blowing from the west-southwest,4,,Haze,,No Significant Clouds,4.0,20.0,
10.04.2020 11:00,34.0,759.0,759.7,44,Wind blowing from the west,4,,Haze,,No Significant Clouds,4.0,20.0,
10.04.2020 10:30,33.0,759.8,760.5,46,Wind blowing from the west-southwest,3,,Haze,,No Significant Clouds,4.0,20.0,
10.04.2020 10:00,32.0,759.8,760.5,52,Wind blowing from the south-southwest,3,,Haze,,No Significant Clouds,4.0,21.0,
10.04.2020 09:30,31.0,759.8,760.5,55,Calm  no wind,0,,Haze,,No Significant Clouds,3.5,21.0,
10.04.2020 09:00,30.0,759.0,759.7,59,Calm  no wind,0,,Haze,,No Significant Clouds,3.5,21.0,
10.04.2020 08:30,29.0,759.0,759.7,62,Calm  no wind,0,,Haze,,No Significant Clouds,3.5,21.0,
10.04.2020 08:00,27.0,759.0,759.7,70,Wind blowing from the east-southeast,2,,Haze,,Few clouds (10-30%) 3600 m,3.5,21.0,
10.04.2020 07:30,26.0,758.3,759.0,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3600 m,3.5,20.0,
10.04.2020 07:00,26.0,758.3,759.0,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 3600 m,3.5,20.0,
10.04.2020 06:30,25.0,757.5,758.2,74,Wind blowing from the east-southeast,2,,Haze,,Few clouds (10-30%) 3600 m,3.5,20.0,
10.04.2020 06:00,25.0,757.5,758.2,74,Wind blowing from the south-east,3,,Haze,,Few clouds (10-30%) 3600 m,3.5,20.0,
