Local time in Yingkou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 23:00,7.2,767.6,768.1,4.6,40,Wind blowing from the north-east,9,,16,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.7,14.3,,,2500 or more  or no clouds.,,,10.0,-5.5,No precipitation,12,,,,
03.04.2020 20:00,8.2,763.0,763.5,2.9,70,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,14.3,,,2500 or more  or no clouds.,,,8.0,2.9,No precipitation,12,,,,
03.04.2020 17:00,11.8,760.1,760.6,-1.8,40,Wind blowing from the south-west,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,14.3,,,2500 or more  or no clouds.,,,29.0,-1.4,No precipitation,12,,,,
03.04.2020 14:00,12.5,761.9,762.4,-1.8,47,Wind blowing from the south-west,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,13.3,,,2500 or more  or no clouds.,,,18.0,1.5,No precipitation,12,,,,
03.04.2020 11:00,10.2,763.7,764.2,-0.8,72,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,13.0,,,2500 or more  or no clouds.,,,8.0,5.4,No precipitation,12,,,,
03.04.2020 08:00,7.4,764.5,764.9,0.3,85,Wind blowing from the west-southwest,4,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,,,,2500 or more  or no clouds.,,,7.0,5.0,No precipitation,12,,,,
03.04.2020 05:00,6.2,764.2,764.7,-0.3,86,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,,,5.1,13.0,,,2500 or more  or no clouds.,,,9.0,4.0,No precipitation,12,,,,
03.04.2020 02:00,7.6,764.5,764.9,-0.6,70,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.0,,,2500 or more  or no clouds.,,,15.0,2.5,No precipitation,12,,,,
02.04.2020 23:00,7.6,765.1,765.6,0.2,71,Wind blowing from the south-southwest,3,,9,,Cloud development not observed or not observable. ,,,5.0,13.0,,,2500 or more  or no clouds.,,,14.0,2.7,No precipitation,12,,,,
02.04.2020 20:00,6.7,764.9,765.4,0.7,86,Wind blowing from the south-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.0,,,2500 or more  or no clouds.,,,8.0,4.5,No precipitation,12,,,,
02.04.2020 17:00,9.0,764.2,764.7,-0.5,65,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.0,,,2500 or more  or no clouds.,,,13.0,2.6,No precipitation,12,,,,
02.04.2020 14:00,12.4,764.7,765.1,-0.9,38,Wind blowing from the south-west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.8,,,2500 or more  or no clouds.,,,30.0,-1.5,No precipitation,12,,,,
02.04.2020 11:00,10.3,765.6,766.0,-0.3,58,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.8,,,2500 or more  or no clouds.,,,30.0,2.2,No precipitation,12,,,,
02.04.2020 08:00,7.7,765.9,766.3,0.4,54,Wind blowing from the south-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,,,,2500 or more  or no clouds.,,,30.0,-1.0,No precipitation,12,,,,
02.04.2020 05:00,5.2,765.5,766.0,-0.5,63,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,,,2.7,13.8,,,2500 or more  or no clouds.,,,30.0,-1.3,No precipitation,12,,,,
02.04.2020 02:00,5.0,766.0,766.5,-0.3,65,Wind blowing from the south-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.8,,,2500 or more  or no clouds.,,,30.0,-1.2,No precipitation,12,,,,
01.04.2020 23:00,7.1,766.3,766.7,0.1,38,Wind blowing from the south-west,4,,,,Cloud development not observed or not observable. ,,,2.7,13.8,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
01.04.2020 20:00,7.0,766.2,766.6,0.8,58,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.8,,,2500 or more  or no clouds.,,,30.0,-0.7,No precipitation,12,,,,
01.04.2020 17:00,13.0,765.4,765.8,-0.7,16,Wind blowing from the north-northeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.8,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
01.04.2020 14:00,13.1,766.1,766.6,-1.7,14,Wind blowing from the north-northeast,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,15.0,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
01.04.2020 11:00,11.5,767.8,768.3,-0.2,15,Wind blowing from the north-northeast,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,15.0,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
01.04.2020 08:00,7.3,768.0,768.4,0.5,27,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,15.0,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
01.04.2020 05:00,3.5,767.5,768.0,0.2,35,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,,,3.5,15.0,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
01.04.2020 02:00,5.8,767.3,767.8,0.7,30,Wind blowing from the north-northeast,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,15.0,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
31.03.2020 23:00,8.6,766.6,767.0,1.8,28,Wind blowing from the north-northeast,7,,12,,Cloud development not observed or not observable. ,,,8.1,15.0,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
31.03.2020 20:00,10.8,764.8,765.2,2.4,30,Wind blowing from the north-northeast,4,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,15.0,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
31.03.2020 17:00,13.6,762.4,762.9,-0.2,24,Wind blowing from the north-east,4,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,15.0,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
31.03.2020 14:00,14.7,762.6,763.0,-0.8,25,Wind blowing from the north-northeast,5,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,14.7,,,1500-2000,,,11.0,-5.1,No precipitation,12,,,,
31.03.2020 11:00,8.8,763.4,763.9,1.3,69,Wind blowing from the west,5,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.0,,,1500-2000,,,10.0,3.4,No precipitation,12,,,,
31.03.2020 08:00,10.2,762.1,762.6,0.9,49,Wind blowing from the south-southwest,7,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,,,,2500 or more  or no clouds.,,,19.0,0.0,No precipitation,12,,,,
31.03.2020 05:00,10.4,761.2,761.7,-0.6,46,Wind blowing from the south-southwest,6,,12,,Cloud development not observed or not observable. ,,,,14.0,,,2500 or more  or no clouds.,,,19.0,-0.7,No precipitation,12,,,,
31.03.2020 02:00,10.1,761.8,762.3,-0.8,49,Wind blowing from the south,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.0,,,2500 or more  or no clouds.,,,18.0,-0.1,No precipitation,12,,,,
30.03.2020 23:00,11.2,762.6,763.0,-0.1,42,Wind blowing from the south,5,,13,,Cloud development not observed or not observable. ,,,,14.0,,,2500 or more  or no clouds.,,,23.0,-1.2,No precipitation,12,,,,
30.03.2020 20:00,10.8,762.7,763.1,0.9,42,Wind blowing from the south-southwest,4,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,14.0,,,2500 or more  or no clouds.,,,28.0,-1.6,No precipitation,12,,,,
30.03.2020 17:00,12.7,761.8,762.3,-0.7,33,Wind blowing from the south-southwest,6,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,14.0,,,2500 or more  or no clouds.,,,30.0,-3.1,No precipitation,12,,,,
30.03.2020 14:00,11.9,762.5,763.0,-1.0,50,Wind blowing from the south-west,8,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,14.0,,,,,,15.0,1.8,No precipitation,12,,,,
30.03.2020 11:00,11.7,763.5,763.9,0.2,50,Wind blowing from the south-west,7,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,11.7,,,2500 or more  or no clouds.,,,19.0,1.6,No precipitation,12,,,,
30.03.2020 08:00,8.6,763.3,763.8,0.1,45,Wind blowing from the south-southwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,10.2,,,,,,30.0,-2.7,No precipitation,12,,,,
30.03.2020 05:00,6.3,763.2,763.6,-0.3,32,Wind blowing from the south,3,,10,,Cloud development not observed or not observable. ,,,4.0,10.2,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
30.03.2020 02:00,6.0,763.5,763.9,-0.2,47,Wind blowing from the south,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,10.2,,,2500 or more  or no clouds.,,,30.0,-4.5,No precipitation,12,,,,
29.03.2020 23:00,7.2,763.7,764.2,0.2,40,Wind blowing from the south,3,,14,,Cloud development not observed or not observable. ,,,3.9,10.2,,,2500 or more  or no clouds.,,,30.0,-5.5,No precipitation,12,,,,
29.03.2020 20:00,7.0,763.5,763.9,0.2,48,Wind blowing from the south-west,4,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,10.2,,,,,,30.0,-3.5,No precipitation,12,,,,
29.03.2020 17:00,8.5,763.3,763.7,-1.0,35,Wind blowing from the south-west,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,10.2,,,,,,30.0,-6.1,No precipitation,12,,,,
29.03.2020 14:00,10.1,764.3,764.8,-1.6,32,Wind blowing from the south-west,9,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,10.2,,,,,,30.0,-5.8,No precipitation,12,,,,
29.03.2020 11:00,9.2,765.9,766.3,-0.2,38,Wind blowing from the south-west,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,9.6,,,,,,30.0,-4.4,No precipitation,12,,,,
29.03.2020 08:00,7.3,766.1,766.6,-0.1,33,Wind blowing from the south-southwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,9.0,,,,,,30.0,-7.9,No precipitation,12,,,,
29.03.2020 05:00,4.1,766.2,766.6,-0.7,50,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,,,-2.3,9.0,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
29.03.2020 02:00,4.2,766.9,767.3,-0.6,44,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.0,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
28.03.2020 23:00,3.9,767.5,767.9,0.5,63,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,,,-2.3,9.0,,,2500 or more  or no clouds.,,,30.0,-2.5,No precipitation,12,,,,
28.03.2020 20:00,4.2,767.0,767.5,0.3,33,Wind blowing from the south-southwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.0,,,,,,30.0,-10.6,No precipitation,12,,,,
28.03.2020 17:00,7.6,766.7,767.2,-1.5,22,Wind blowing from the south-west,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.0,,,,,,30.0,-12.8,No precipitation,12,,,,
28.03.2020 14:00,8.1,768.2,768.7,-2.0,21,Wind blowing from the west-southwest,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.0,,,,,,30.0,-12.9,No precipitation,12,,,,
28.03.2020 11:00,7.3,770.2,770.7,-0.4,29,Wind blowing from the west-southwest,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.0,,,,,,30.0,-9.6,No precipitation,12,,,,
28.03.2020 08:00,4.6,770.6,771.1,0.8,34,Wind blowing from the north-northwest,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.0,,,,,,30.0,-9.9,No precipitation,12,,,,
28.03.2020 05:00,-2.2,769.8,770.2,,63,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,,,-2.2,10.0,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
28.03.2020 02:00,-0.6,769.8,770.2,-0.5,57,Wind blowing from the west-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,10.0,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
27.03.2020 23:00,1.3,770.3,770.8,0.9,34,Wind blowing from the north-northwest,2,,10,,Cloud development not observed or not observable. ,,,-1.0,10.0,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
27.03.2020 20:00,3.6,769.4,769.9,2.9,49,Wind blowing from the north-west,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.0,,,,,,30.0,-6.1,No precipitation,12,,,,
27.03.2020 17:00,5.6,766.5,766.9,-0.6,54,Wind blowing from the west,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,10.0,,,,,,30.0,-3.2,No precipitation,12,,,,
