Local time in Hailun,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 05:00,-2.1,743.0,763.5,-1.0,49,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,,,-5.5,10.1,,,2500 or more  or no clouds.,,,14.0,-11.6,No precipitation,12,,,,
06.04.2020 02:00,-1.2,744.0,764.5,-0.9,41,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,10.1,,,2500 or more  or no clouds.,,,14.0,-12.8,No precipitation,12,,,,
05.04.2020 23:00,-0.7,744.9,765.4,-0.4,42,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,,,-6.5,10.1,,,2500 or more  or no clouds.,,,11.0,-12.0,No precipitation,12,,,,
05.04.2020 20:00,1.5,745.3,766.0,0.4,34,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,10.1,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
05.04.2020 17:00,9.5,744.9,765.5,-1.1,15,Wind blowing from the west-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,10.1,,,2500 or more  or no clouds.,,,21.0,-15.9,No precipitation,12,,,,
05.04.2020 14:00,9.4,746.0,766.6,-2.1,15,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,9.4,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
05.04.2020 11:00,5.8,748.1,768.9,-0.8,23,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,5.8,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
05.04.2020 08:00,1.8,748.9,769.8,0.0,42,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,4.5,,,2500 or more  or no clouds.,,,18.0,-10.0,No precipitation,12,,,,
05.04.2020 05:00,-5.5,748.9,769.8,0.0,58,Wind blowing from the north-west,2,,10,,Cloud development not observed or not observable. ,,,-6.5,4.5,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
05.04.2020 02:00,-4.0,748.9,769.7,-0.1,53,Wind blowing from the north-northwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,4.5,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
04.04.2020 23:00,-2.7,749.0,769.9,0.1,50,Wind blowing from the north-northwest,2,,14,,Cloud development not observed or not observable. ,,,-5.4,4.5,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
04.04.2020 20:00,-1.2,748.9,769.9,1.4,47,Wind blowing from the north,3,,15,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,4.5,,,2500 or more  or no clouds.,,,3.4,-11.3,No precipitation,12,,,,
04.04.2020 17:00,3.6,747.5,768.4,0.1,31,Wind blowing from the north,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,4.5,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
04.04.2020 14:00,4.1,747.4,768.2,-0.4,32,Wind blowing from the north,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,4.1,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
04.04.2020 11:00,1.0,747.8,768.7,-0.1,36,Wind blowing from the north,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,1.1,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
04.04.2020 08:00,-2.6,747.9,768.9,0.9,36,Wind blowing from the north,8,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,,,,2500 or more  or no clouds.,,,29.0,-15.6,No precipitation,12,,,,
04.04.2020 05:00,-5.2,747.0,768.0,1.1,41,Wind blowing from the north-northwest,6,,14,,Cloud development not observed or not observable. ,,,-5.2,7.6,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
04.04.2020 02:00,-4.3,745.9,766.9,0.9,45,Wind blowing from the north-northwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,7.6,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
03.04.2020 23:00,-2.4,745.0,765.9,1.5,40,Wind blowing from the north-northwest,6,,18,,Cloud development not observed or not observable. ,,,-2.5,,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
03.04.2020 20:00,-1.3,743.5,764.2,2.7,50,Wind blowing from the north,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.6,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
03.04.2020 17:00,0.8,740.8,761.4,1.8,38,Wind blowing from the north,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.6,,,2500 or more  or no clouds.,,,27.0,-11.9,No precipitation,12,,,,
03.04.2020 14:00,-0.6,739.0,759.6,3.6,54,Wind blowing from the north,9,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.6,,,2500 or more  or no clouds.,,,23.0,-8.8,No precipitation,12,,,,
03.04.2020 11:00,1.2,735.4,755.8,1.1,69,Wind blowing from the north,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.8,,,2500 or more  or no clouds.,,,21.0,-4.0,No precipitation,12,,,,
03.04.2020 08:00,4.2,734.3,754.6,-2.6,42,Wind blowing from the south-southwest,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,8.0,,,2500 or more  or no clouds.,,,14.0,-7.6,No precipitation,12,,,,
03.04.2020 05:00,1.4,736.9,757.1,-2.4,46,Wind blowing from the south-west,6,,10,,Cloud development not observed or not observable. ,,,-2.3,8.0,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
03.04.2020 02:00,-0.4,739.3,759.7,-2.2,51,Wind blowing from the south,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,8.0,,,2500 or more  or no clouds.,,,27.0,-9.5,No precipitation,12,,,,
02.04.2020 23:00,1.2,741.5,761.8,-0.8,35,Wind blowing from the south-southwest,4,,16,,Cloud development not observed or not observable. ,,,-2.3,8.0,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
02.04.2020 20:00,-0.8,742.3,762.9,0.5,46,Wind blowing from the south-southwest,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,8.0,,,2500 or more  or no clouds.,,,25.0,-11.0,No precipitation,12,,,,
02.04.2020 17:00,5.8,741.8,762.3,0.7,23,Wind blowing from the north-northwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,10.0,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
02.04.2020 14:00,7.2,741.1,761.4,1.5,20,Wind blowing from the north-northwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,11.8,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
02.04.2020 11:00,7.7,739.6,759.9,1.6,32,Wind blowing from the north-northwest,8,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,11.8,,,2500 or more  or no clouds.,,,29.0,-7.9,No precipitation,12,,,,
02.04.2020 08:00,5.8,738.0,758.2,1.9,43,Wind blowing from the north-northwest,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,11.8,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
02.04.2020 05:00,-0.2,736.1,756.3,-0.3,60,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,,,-3.9,11.8,,,2500 or more  or no clouds.,,,17.0,-7.2,No precipitation,12,,,,
02.04.2020 02:00,1.6,736.4,756.4,-0.8,54,Wind blowing from the south-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,11.8,,,2500 or more  or no clouds.,,,15.0,-6.9,No precipitation,12,,,,
01.04.2020 23:00,3.3,737.2,757.4,-1.0,51,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,,,-3.9,11.8,,,2500 or more  or no clouds.,,,24.0,-6.1,No precipitation,12,,,,
01.04.2020 20:00,4.6,738.2,758.5,0.1,42,Wind blowing from the south-southwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,11.8,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
01.04.2020 17:00,10.1,738.1,758.4,-0.8,28,Wind blowing from the west-southwest,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,11.8,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
01.04.2020 14:00,11.6,738.9,759.1,-2.1,26,Wind blowing from the west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,11.8,,,2500 or more  or no clouds.,,,22.0,-7.2,No precipitation,12,,,,
01.04.2020 11:00,8.1,741.0,761.5,-1.3,34,Wind blowing from the west-southwest,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,10.1,,,2500 or more  or no clouds.,,,17.0,-6.8,No precipitation,12,,,,
01.04.2020 08:00,2.2,742.3,762.8,0.0,45,Wind blowing from the south-west,5,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,10.1,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
01.04.2020 05:00,-3.4,742.3,762.9,-0.3,56,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,,,-3.8,10.1,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
01.04.2020 02:00,-3.0,742.6,763.0,-0.1,58,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,10.1,,,2500 or more  or no clouds.,,,23.0,-10.1,No precipitation,12,,,,
31.03.2020 23:00,-2.1,742.7,763.2,0.4,56,Wind blowing from the west-southwest,3,,,,Cloud development not observed or not observable. ,,,-2.6,10.1,,,2500 or more  or no clouds.,,,26.0,-9.9,No precipitation,12,,,,
31.03.2020 20:00,1.4,742.3,762.8,2.1,41,Wind blowing from the north-west,2,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,10.1,,,2500 or more  or no clouds.,,,24.0,-10.4,No precipitation,12,,,,
31.03.2020 17:00,7.5,740.2,760.6,1.1,25,Wind blowing from the north-northwest,4,,12,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,10.1,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
31.03.2020 14:00,9.7,739.1,759.3,0.2,22,Wind blowing from the north-northwest,5,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,11.2,,,1000-1500,,,30.0,-11.0,No precipitation,12,,,,
31.03.2020 11:00,8.4,738.9,759.1,1.1,56,Wind blowing from the north-northwest,6,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,11.2,,,1000-1500,,,26.0,0.1,No precipitation,12,,,,
31.03.2020 08:00,3.4,737.8,758.0,0.9,62,Wind blowing from the north-northwest,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,,,,2500 or more  or no clouds.,,,17.0,-3.2,No precipitation,12,,,,
31.03.2020 05:00,1.1,736.9,757.0,0.7,79,Wind blowing from the north-west,1,,4,,Haze. ,,,-1.1,11.2,,,2500 or more  or no clouds.,,,4.6,-2.1,No precipitation,12,,,,
31.03.2020 02:00,2.3,736.2,756.2,-0.7,74,Wind blowing from the north,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.2,,,2500 or more  or no clouds.,,,4.5,-2.0,No precipitation,12,,,,
30.03.2020 23:00,2.3,736.9,757.1,-0.3,72,Wind blowing from the south-southeast,2,,10,,Haze. ,,,-1.1,11.2,,,2500 or more  or no clouds.,,,5.0,-2.2,No precipitation,12,,,,
30.03.2020 20:00,4.8,737.2,757.4,0.0,64,Wind blowing from the south-southeast,2,,10,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.2,,,2500 or more  or no clouds.,,,6.0,-1.6,No precipitation,12,,,,
30.03.2020 17:00,9.8,737.2,757.5,-0.6,49,Wind blowing from the south,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.2,,,2500 or more  or no clouds.,,,14.0,-0.4,No precipitation,12,,,,
30.03.2020 14:00,10.9,737.8,757.9,-1.0,41,Wind blowing from the south,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.6,,,2500 or more  or no clouds.,,,16.0,-1.8,No precipitation,12,,,,
30.03.2020 11:00,6.7,738.8,759.0,0.1,55,Wind blowing from the south-southeast,5,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.6,,,2500 or more  or no clouds.,,,15.0,-1.7,No precipitation,12,,,,
30.03.2020 08:00,3.1,738.7,758.9,1.1,67,Wind blowing from the south,4,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.6,,,2500 or more  or no clouds.,,,13.0,-2.6,No precipitation,12,,,,
30.03.2020 05:00,-1.0,737.6,757.9,0.7,73,Wind blowing from the south,2,,13,,Cloud development not observed or not observable. ,,,-2.6,11.6,,,2500 or more  or no clouds.,,,17.0,-5.2,No precipitation,12,,,,
30.03.2020 02:00,1.3,736.9,757.0,0.9,57,Wind blowing from the south-west,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,11.6,,,2500 or more  or no clouds.,,,16.0,-6.3,No precipitation,12,,,,
29.03.2020 23:00,4.2,736.0,756.1,1.5,52,Wind blowing from the south-west,6,,16,,Cloud development not observed or not observable. ,,,-2.6,11.6,,,2500 or more  or no clouds.,,,14.0,-4.8,No precipitation,12,,,,
29.03.2020 20:00,6.3,734.5,754.6,0.0,44,Wind blowing from the south,8,,16,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,11.6,,,1000-1500,,,28.0,-5.1,No precipitation,12,,,,
29.03.2020 17:00,10.3,734.5,754.7,-1.4,37,Wind blowing from the south,7,,16,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,11.6,,,1000-1500,,,30.0,-3.7,No precipitation,12,,,,
29.03.2020 14:00,10.5,735.9,756.1,-2.2,40,Wind blowing from the south-southwest,11,,14,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,10.5,,,2500 or more  or no clouds.,,,18.0,-2.5,No precipitation,12,,,,
29.03.2020 11:00,7.3,738.1,758.5,-1.5,51,Wind blowing from the south,8,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,7.3,,,2500 or more  or no clouds.,,,25.0,-2.4,No precipitation,12,,,,
29.03.2020 08:00,1.4,739.6,760.3,0.0,56,Wind blowing from the south-southwest,5,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,3.5,,,2500 or more  or no clouds.,,,21.0,-6.6,No precipitation,12,,,,
29.03.2020 05:00,-2.3,739.6,760.2,-0.3,60,Wind blowing from the south-southwest,5,,12,,Cloud development not observed or not observable. ,,,-8.0,3.5,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
29.03.2020 02:00,-1.6,739.9,760.4,0.0,61,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,3.5,,,2500 or more  or no clouds.,,,25.0,-8.3,No precipitation,12,,,,
28.03.2020 23:00,-0.8,739.9,760.6,-0.4,56,Wind blowing from the south-southwest,4,,13,,Cloud development not observed or not observable. ,,,-8.0,3.5,,,2500 or more  or no clouds.,,,12.0,-8.5,No precipitation,12,,,,
28.03.2020 20:00,-0.3,740.3,761.1,0.0,54,Wind blowing from the south,4,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,3.5,,,2500 or more  or no clouds.,,,28.0,-8.7,No precipitation,12,,,,
28.03.2020 17:00,2.7,740.3,761.2,-0.4,38,Wind blowing from the west-southwest,7,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,3.5,,,1000-1500,,,30.0,-10.5,No precipitation,12,,,,
28.03.2020 14:00,3.0,740.7,761.5,-1.4,33,Wind blowing from the west,9,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,3.1,,,1000-1500,,,30.0,-11.7,No precipitation,12,,,,
28.03.2020 11:00,0.8,742.1,763.0,-0.7,38,Wind blowing from the west,9,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,0.9,,,1000-1500,,,30.0,-11.9,No precipitation,12,,,,
28.03.2020 08:00,-3.6,742.8,763.8,0.8,54,Wind blowing from the west,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,-0.4,,,,,,30.0,-11.6,No precipitation,12,,,,
28.03.2020 05:00,-7.8,742.0,763.0,0.7,66,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,,,-7.8,-0.4,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
28.03.2020 02:00,-6.8,741.3,762.3,0.2,65,Wind blowing from the west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,-0.4,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
27.03.2020 23:00,-5.7,741.1,762.0,0.0,62,Wind blowing from the west,3,,14,,Cloud development not observed or not observable. ,,,-6.1,-0.4,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
27.03.2020 20:00,-4.1,741.1,762.1,0.7,56,Wind blowing from the west,4,,14,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,-0.4,,,1000-1500,,,30.0,-11.6,No precipitation,12,,,,
