Local time in Chengde (weather station 54423),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 14:00,18.6,728.0,765.9,-3.0,21,Wind blowing from the west-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,19.2,,,2500 or more  or no clouds.,,,14.0,-4.1,No precipitation,12,,,,
05.04.2020 11:00,14.4,731.0,769.1,-1.7,26,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,17.7,,,2500 or more  or no clouds.,,,15.0,-4.8,No precipitation,12,,,,
05.04.2020 08:00,4.1,732.7,771.3,0.3,31,Wind blowing from the north-northwest,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,17.7,,,2500 or more  or no clouds.,,,16.0,-11.5,No precipitation,12,,,,
05.04.2020 05:00,1.4,732.4,770.7,-0.5,41,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,1.4,17.7,,,2500 or more  or no clouds.,,,16.0,-10.4,No precipitation,12,,,,
05.04.2020 02:00,4.0,732.9,771.1,0.1,39,Wind blowing from the east-southeast,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,17.7,,,2500 or more  or no clouds.,,,14.0,-9.0,No precipitation,12,,,,
04.04.2020 23:00,7.4,732.8,771.2,1.0,27,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,,,4.8,17.7,,,2500 or more  or no clouds.,,,11.0,-10.4,No precipitation,12,,,,
04.04.2020 20:00,12.2,731.8,770.0,1.0,19,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,17.7,,,2500 or more  or no clouds.,,,21.0,-10.7,No precipitation,12,,,,
04.04.2020 17:00,17.6,730.8,768.7,-1.9,6,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,21.7,,,2500 or more  or no clouds.,,,28.0,-20.4,No precipitation,12,,,,
04.04.2020 14:00,16.2,732.7,770.6,-2.1,9,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,23.3,,,2500 or more  or no clouds.,,,21.0,-16.7,No precipitation,12,,,,
04.04.2020 11:00,11.5,734.8,772.8,-0.1,11,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,23.3,,,2500 or more  or no clouds.,,,20.0,-18.0,No precipitation,12,,,,
04.04.2020 08:00,7.3,734.9,773.0,1.6,17,Wind blowing from the east-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,23.3,,,2500 or more  or no clouds.,,,8.0,-16.2,No precipitation,12,,,,
04.04.2020 05:00,5.8,733.3,771.1,1.7,21,Wind blowing from the east,2,,14,,Cloud development not observed or not observable. ,,,0.9,23.3,,,2500 or more  or no clouds.,,,15.0,-14.8,No precipitation,12,,,,
04.04.2020 02:00,9.9,731.6,769.0,1.6,19,Wind blowing from the north,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.3,,,2500 or more  or no clouds.,,,26.0,-12.6,No precipitation,12,,,,
03.04.2020 23:00,13.5,730.0,767.3,2.9,16,Wind blowing from the north-northwest,3,,15,,Cloud development not observed or not observable. ,,,,23.3,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
03.04.2020 20:00,17.2,727.1,764.8,2.6,12,Wind blowing from the north-northwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.3,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
03.04.2020 17:00,21.6,724.5,762.1,-0.8,8,Wind blowing from the north-northwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,23.3,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
03.04.2020 14:00,22.2,725.3,762.7,-2.9,9,Wind blowing from the west-northwest,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,22.2,,,2500 or more  or no clouds.,,,28.0,-12.2,No precipitation,12,,,,
03.04.2020 11:00,18.0,728.2,765.8,-1.3,14,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.5,,,2500 or more  or no clouds.,,,22.0,-9.9,No precipitation,12,,,,
03.04.2020 08:00,6.2,729.5,767.7,0.5,31,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,19.5,,,2500 or more  or no clouds.,,,22.0,-9.7,No precipitation,12,,,,
03.04.2020 05:00,1.8,729.0,767.1,0.0,40,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,,,-2.6,19.5,,,2500 or more  or no clouds.,,,27.0,-10.4,No precipitation,12,,,,
03.04.2020 02:00,4.3,729.0,766.9,0.5,33,Wind blowing from the north,0,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.5,,,2500 or more  or no clouds.,,,22.0,-10.6,No precipitation,12,,,,
02.04.2020 23:00,8.6,728.5,766.3,1.1,23,Wind blowing from the south-east,1,,10,,Cloud development not observed or not observable. ,,,,19.5,,,2500 or more  or no clouds.,,,25.0,-11.4,No precipitation,12,,,,
02.04.2020 20:00,12.9,727.4,765.7,1.3,13,Wind blowing from the north-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.5,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
02.04.2020 17:00,18.5,726.1,764.3,-1.1,9,Wind blowing from the west-northwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,19.5,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
02.04.2020 14:00,18.5,727.2,765.3,-2.0,9,Wind blowing from the north-west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,18.6,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
02.04.2020 11:00,14.8,729.2,767.3,-1.5,10,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,15.2,,,2500 or more  or no clouds.,,,26.0,-16.5,No precipitation,12,,,,
02.04.2020 08:00,2.2,730.7,769.5,0.6,28,Wind blowing from the east,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,15.2,,,2500 or more  or no clouds.,,,19.0,-14.4,No precipitation,12,,,,
02.04.2020 05:00,-2.1,730.1,768.8,0.2,46,Wind blowing from the north-east,0,,5,,Cloud development not observed or not observable. ,,,-2.1,15.2,,,2500 or more  or no clouds.,,,29.0,-12.4,No precipitation,12,,,,
02.04.2020 02:00,0.1,729.9,768.4,0.3,36,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,15.2,,,2500 or more  or no clouds.,,,22.0,-13.2,No precipitation,12,,,,
01.04.2020 23:00,5.2,729.6,768.0,1.1,25,Wind blowing from the south-east,1,,8,,Cloud development not observed or not observable. ,,,-1.6,15.2,,,2500 or more  or no clouds.,,,19.0,-13.2,No precipitation,12,,,,
01.04.2020 20:00,9.4,728.5,767.1,0.7,11,Wind blowing from the west-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,15.2,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
01.04.2020 17:00,14.1,727.8,766.3,-1.6,7,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,15.2,,,2500 or more  or no clouds.,,,30.0,-21.2,No precipitation,12,,,,
01.04.2020 14:00,14.4,729.4,767.5,-2.6,8,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,15.5,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
01.04.2020 11:00,10.6,732.0,770.3,-0.9,12,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,16.2,,,2500 or more  or no clouds.,,,30.0,-17.6,No precipitation,12,,,,
01.04.2020 08:00,2.7,732.9,771.7,0.9,27,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,16.2,,,2500 or more  or no clouds.,,,26.0,-14.4,No precipitation,12,,,,
01.04.2020 05:00,-0.1,732.0,770.8,0.0,34,Wind blowing from the east-southeast,1,,9,,Cloud development not observed or not observable. ,,,-0.1,16.2,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
01.04.2020 02:00,4.1,732.0,770.2,0.8,18,Wind blowing from the north-northwest,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,16.2,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,12,,,,
31.03.2020 23:00,7.8,731.2,769.2,2.7,20,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,,,2.9,16.2,,,2500 or more  or no clouds.,,,28.0,-13.8,No precipitation,12,,,,
31.03.2020 20:00,10.1,728.5,766.9,2.5,36,Wind blowing from the east,1,,12,20–30%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,16.2,,,1000-1500,,,25.0,-4.3,Trace of precipitation,12,,,,
31.03.2020 17:00,11.8,726.0,764.2,1.2,39,Wind blowing from the east-southeast,2,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,17.5,,,1000-1500,,,14.0,-1.7,No precipitation,12,,,,
31.03.2020 14:00,15.5,724.8,762.6,-0.7,33,Wind blowing from the east-southeast,3,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,20.0,,,1000-1500,,,9.0,-0.7,No precipitation,12,,,,
31.03.2020 11:00,14.7,725.5,763.1,0.6,39,Wind blowing from the north-east,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,20.0,,,2500 or more  or no clouds.,,,8.0,0.9,No precipitation,12,,,,
31.03.2020 08:00,5.5,724.9,762.8,1.1,62,Wind blowing from the north-northeast,1,,3,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,20.0,,,2500 or more  or no clouds.,,,8.0,-1.2,No precipitation,12,,,,
31.03.2020 05:00,3.5,723.8,761.5,-0.2,69,Wind blowing from the east,0,,8,,Cloud development not observed or not observable. ,,,-0.1,20.0,,,2500 or more  or no clouds.,,,9.0,-1.8,No precipitation,12,,,,
31.03.2020 02:00,5.7,724.0,761.6,-0.1,58,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,20.0,,,2500 or more  or no clouds.,,,10.0,-1.9,No precipitation,12,,,,
30.03.2020 23:00,9.8,724.1,761.8,0.4,45,Wind blowing from the south-east,1,,9,,Cloud development not observed or not observable. ,,,-0.1,20.0,,,2500 or more  or no clouds.,,,12.0,-1.6,No precipitation,12,,,,
30.03.2020 20:00,13.2,723.7,761.8,2.0,32,Wind blowing from the south-west,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,20.0,,,1000-1500,,,13.0,-3.1,No precipitation,12,,,,
30.03.2020 17:00,17.5,721.7,759.6,-1.1,20,Wind blowing from the south-west,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,20.0,,,1000-1500,,,15.0,-5.7,No precipitation,12,,,,
30.03.2020 14:00,18.3,722.8,760.6,-2.5,24,Wind blowing from the east-southeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,18.3,,,,,,11.0,-2.6,No precipitation,12,,,,
30.03.2020 11:00,12.9,725.3,763.3,-0.6,30,Wind blowing from the south-east,1,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,16.0,,,2500 or more  or no clouds.,,,13.0,-4.2,No precipitation,12,,,,
30.03.2020 08:00,2.9,725.9,764.3,0.8,54,Wind blowing from the north-northeast,1,,3,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,16.0,,,2500 or more  or no clouds.,,,11.0,-5.7,No precipitation,12,,,,
30.03.2020 05:00,0.6,725.1,763.3,-0.1,60,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,,,-4.0,16.0,,,2500 or more  or no clouds.,,,13.0,-6.3,No precipitation,12,,,,
30.03.2020 02:00,2.5,725.2,763.3,0.0,53,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,16.0,,,2500 or more  or no clouds.,,,13.0,-6.1,No precipitation,12,,,,
29.03.2020 23:00,5.4,725.2,763.4,0.9,44,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,,,,16.0,,,2500 or more  or no clouds.,,,12.0,-5.9,No precipitation,12,,,,
29.03.2020 20:00,10.0,724.3,762.8,1.6,30,Wind blowing from the west-southwest,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,16.0,,,,,,17.0,-6.8,No precipitation,12,,,,
29.03.2020 17:00,14.5,722.7,761.1,-1.5,22,Wind blowing from the west,3,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,16.0,,,2500 or more  or no clouds.,,,22.0,-7.0,No precipitation,12,,,,
29.03.2020 14:00,15.9,724.2,762.4,-2.7,18,Wind blowing from the south-west,2,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,15.9,,,2500 or more  or no clouds.,,,26.0,-8.4,No precipitation,12,,,,
29.03.2020 11:00,10.2,726.9,765.4,-1.0,21,Wind blowing from the south-east,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.0,,,2500 or more  or no clouds.,,,26.0,-11.2,No precipitation,12,,,,
29.03.2020 08:00,0.0,727.9,766.9,0.0,41,Wind blowing from the north-northeast,1,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.0,,,2500 or more  or no clouds.,,,23.0,-11.7,No precipitation,12,,,,
29.03.2020 05:00,-3.4,727.9,766.7,-0.8,51,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,,,-6.1,12.0,,,2500 or more  or no clouds.,,,22.0,-12.3,No precipitation,12,,,,
29.03.2020 02:00,-1.5,728.7,767.5,0.3,43,Wind blowing from the east-northeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,12.0,,,2500 or more  or no clouds.,,,19.0,-12.7,No precipitation,12,,,,
28.03.2020 23:00,2.3,728.4,767.1,0.8,32,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,,,-6.1,12.0,,,2500 or more  or no clouds.,,,20.0,-12.7,No precipitation,12,,,,
28.03.2020 20:00,6.3,727.6,766.8,0.3,16,Wind blowing from the south-west,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,12.0,,,,,,30.0,-17.7,No precipitation,12,,,,
28.03.2020 17:00,11.2,727.3,766.3,-1.8,10,Wind blowing from the south-west,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,12.0,,,,,,30.0,-19.3,No precipitation,12,,,,
28.03.2020 14:00,11.1,729.1,768.1,-3.1,9,Wind blowing from the west-northwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,11.3,,,,,,30.0,-20.6,No precipitation,12,,,,
28.03.2020 11:00,8.0,732.2,771.2,-1.6,12,Wind blowing from the west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,9.8,,,,,,28.0,-19.7,No precipitation,12,,,,
28.03.2020 08:00,-1.8,733.8,773.5,1.1,40,Wind blowing from the east,1,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,9.8,,,,,,24.0,-13.9,No precipitation,12,,,,
28.03.2020 05:00,-5.6,732.7,772.4,-0.1,48,Wind blowing from the north-northeast,1,,17,,Cloud development not observed or not observable. ,,,-5.6,9.8,,,2500 or more  or no clouds.,,,29.0,-14.9,No precipitation,12,,,,
28.03.2020 02:00,-3.2,732.8,772.1,-0.1,34,Wind blowing from the east,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,9.8,,,2500 or more  or no clouds.,,,26.0,-16.8,No precipitation,12,,,,
27.03.2020 23:00,1.7,732.9,772.0,0.2,15,Wind blowing from the west-northwest,2,,17,,Cloud development not observed or not observable. ,,,-2.0,9.8,,,2500 or more  or no clouds.,,,30.0,-22.2,No precipitation,12,,,,
27.03.2020 20:00,3.0,732.7,772.1,1.7,16,Wind blowing from the north-northwest,4,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,9.8,,,,,,30.0,-20.4,No precipitation,12,,,,
27.03.2020 17:00,6.4,731.0,770.2,0.7,16,Wind blowing from the north-northwest,9,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,9.8,,,,,,30.0,-17.6,No precipitation,12,,,,
