Local time in Shanwei,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 14:00,16.6,763.1,764.7,-2.0,86,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,,,,2500 or more  or no clouds.,,,23.0,14.2,7.0,12,,,,
05.04.2020 11:00,15.8,765.1,766.7,0.3,93,Wind blowing from the east-northeast,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,,,,2500 or more  or no clouds.,,,11.0,14.6,6.0,12,,,,
05.04.2020 08:00,17.0,764.8,766.3,2.2,86,Wind blowing from the east-northeast,2,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,,,,2500 or more  or no clouds.,,,27.0,14.6,0.3,12,,,,
05.04.2020 05:00,17.6,762.6,764.2,-0.3,91,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,,,17.4,24.7,,,2500 or more  or no clouds.,,,16.0,16.1,No precipitation,12,,,,
05.04.2020 02:00,18.3,762.9,764.5,-0.7,81,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,24.7,,,2500 or more  or no clouds.,,,21.0,14.9,No precipitation,12,,,,
04.04.2020 23:00,19.1,763.6,765.1,0.6,88,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,,,18.6,24.7,,,2500 or more  or no clouds.,,,21.0,17.0,No precipitation,12,,,,
04.04.2020 20:00,19.8,763.0,764.5,1.1,76,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,24.7,,,2500 or more  or no clouds.,,,30.0,15.4,No precipitation,12,,,,
04.04.2020 17:00,20.8,761.9,763.5,0.4,84,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,24.7,,,2500 or more  or no clouds.,,,17.0,18.0,,,,,,
04.04.2020 14:00,22.7,761.5,763.1,-2.4,75,Wind blowing from the south-west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,24.7,,,2500 or more  or no clouds.,,,30.0,18.0,2.0,12,,,,
04.04.2020 11:00,21.2,763.9,765.4,1.0,81,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,24.0,,,2500 or more  or no clouds.,,,30.0,17.8,2.0,12,,,,
04.04.2020 08:00,19.7,762.9,764.5,1.6,96,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,,,,2500 or more  or no clouds.,,,17.0,19.0,4.0,12,,,,
04.04.2020 05:00,18.9,761.3,762.9,,100,Wind blowing from the east,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,18.7,24.0,,,2500 or more  or no clouds.,,,6.0,18.9,5.0,12,,,,
04.04.2020 02:00,19.1,762.1,763.7,,100,Wind blowing from the east-northeast,2,,8,, ,,,18.7,24.0,,,,,,10.0,19.1,3.0,6,,,,
03.04.2020 23:00,18.9,763.0,764.5,0.8,100,Wind blowing from the north-east,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,18.5,24.0,,,2500 or more  or no clouds.,,,4.1,18.9,3.0,12,,,,
03.04.2020 20:00,19.2,762.2,763.8,1.3,95,Wind blowing from the east-northeast,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,24.0,,,2500 or more  or no clouds.,,,8.0,18.3,1.0,12,,,,
03.04.2020 17:00,23.0,760.9,762.4,0.2,72,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,24.0,,,2500 or more  or no clouds.,,,14.0,17.6,No precipitation,12,,,,
03.04.2020 14:00,23.4,760.7,762.3,-2.4,69,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,23.8,,,2500 or more  or no clouds.,,,16.0,17.3,No precipitation,12,,,,
03.04.2020 11:00,20.1,763.1,764.7,0.4,81,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,,,,2500 or more  or no clouds.,,,9.0,16.7,0.3,12,,,,
03.04.2020 08:00,19.2,762.7,764.2,1.3,85,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,,,,2500 or more  or no clouds.,,,9.0,16.6,0.3,12,,,,
03.04.2020 05:00,18.8,761.4,763.0,-0.7,89,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,17.9,23.3,,,2500 or more  or no clouds.,,,9.0,16.9,0.3,12,,,,
03.04.2020 02:00,18.7,762.1,763.6,-0.8,93,Wind blowing from the east-northeast,1,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,23.3,,,2500 or more  or no clouds.,,,10.0,17.5,0.3,12,,,,
02.04.2020 23:00,20.1,762.9,764.5,1.3,78,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,,,17.9,23.3,,,2500 or more  or no clouds.,,,29.0,16.1,No precipitation,12,,,,
02.04.2020 20:00,20.2,761.6,763.2,0.8,81,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,23.3,,,2500 or more  or no clouds.,,,30.0,16.8,No precipitation,12,,,,
02.04.2020 17:00,20.5,760.8,762.4,-0.1,82,Wind blowing from the east-southeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,23.3,,,2500 or more  or no clouds.,,,30.0,17.3,No precipitation,12,,,,
02.04.2020 14:00,22.8,760.9,762.5,-1.9,63,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,23.3,,,2500 or more  or no clouds.,,,30.0,15.3,No precipitation,12,,,,
02.04.2020 11:00,21.1,762.8,764.4,-0.2,65,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,21.1,,,2500 or more  or no clouds.,,,30.0,14.2,No precipitation,12,,,,
02.04.2020 08:00,18.1,763.0,764.5,1.4,87,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,19.6,,,2500 or more  or no clouds.,,,12.0,15.9,No precipitation,12,,,,
02.04.2020 05:00,18.0,761.6,763.2,-0.2,81,Wind blowing from the east,4,,7,,Cloud development not observed or not observable. ,,,17.6,19.6,,,2500 or more  or no clouds.,,,30.0,14.6,No precipitation,12,,,,
02.04.2020 02:00,18.7,761.8,763.3,0.0,75,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,19.6,,,2500 or more  or no clouds.,,,30.0,14.1,No precipitation,12,,,,
01.04.2020 23:00,18.7,761.8,763.4,0.7,86,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,,,17.6,20.0,,,2500 or more  or no clouds.,,,14.0,16.3,No precipitation,12,,,,
01.04.2020 20:00,18.6,761.1,762.7,1.4,90,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.3,,,2500 or more  or no clouds.,,,18.0,16.9,No precipitation,12,,,,
01.04.2020 17:00,19.4,759.7,761.3,-0.2,79,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.3,,,2500 or more  or no clouds.,,,30.0,15.6,No precipitation,12,,,,
01.04.2020 14:00,19.3,759.9,761.5,-1.7,74,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.7,,,2500 or more  or no clouds.,,,30.0,14.5,No precipitation,12,,,,
01.04.2020 11:00,18.6,761.6,763.2,0.9,74,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.7,,,2500 or more  or no clouds.,,,30.0,13.8,0.2,12,,,,
01.04.2020 08:00,17.8,760.7,762.3,1.8,78,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.7,,,2500 or more  or no clouds.,,,30.0,13.9,0.2,12,,,,
01.04.2020 05:00,18.1,758.9,760.5,0.2,83,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,,,17.9,20.7,,,2500 or more  or no clouds.,,,30.0,15.1,0.2,12,,,,
01.04.2020 02:00,18.7,758.7,760.3,-0.6,98,Wind blowing from the east-northeast,2,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,20.7,,,2500 or more  or no clouds.,,,16.0,18.3,0.2,12,,,,
31.03.2020 23:00,20.0,759.3,760.9,0.9,100,Wind blowing from the north-northeast,1,,4,,Mist. ,,,18.1,20.7,,,2500 or more  or no clouds.,,,1.1,20.0,No precipitation,12,,,,
31.03.2020 20:00,20.2,758.4,760.0,1.0,97,Wind blowing from the east,2,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,20.7,,,1500-2000,,,6.0,19.7,Trace of precipitation,12,,,,
31.03.2020 17:00,20.3,757.4,759.0,-0.8,96,Wind blowing from the east,2,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,20.7,,,1500-2000,,,8.0,19.6,No precipitation,12,,,,
31.03.2020 14:00,20.5,758.2,759.7,-1.9,94,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,20.6,,,1500-2000,,,12.0,19.5,0.3,12,,,,
31.03.2020 11:00,19.4,760.1,761.7,0.1,97,Wind blowing from the north-east,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,19.4,,,1500-2000,,,11.0,18.9,0.3,12,,,,
31.03.2020 08:00,18.8,760.0,761.5,1.2,100,Wind blowing from the east-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,18.1,19.4,,,1500-2000,,,8.0,18.8,0.5,12,,,,
31.03.2020 05:00,18.2,758.8,760.4,0.0,100,Wind blowing from the east,2,,,,Rain (not freezing) not falling as shower(s). ,,,18.1,19.4,,,2500 or more  or no clouds.,,,4.3,18.2,0.9,12,,,,
31.03.2020 02:00,18.2,758.8,760.3,-0.4,100,Wind blowing from the east-northeast,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,19.4,,,2500 or more  or no clouds.,,,4.3,18.2,0.6,12,,,,
30.03.2020 23:00,18.5,759.2,760.8,1.1,100,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,,,18.1,19.4,,,2500 or more  or no clouds.,,,9.0,18.5,0.6,12,,,,
30.03.2020 20:00,18.6,758.1,759.7,1.1,100,Wind blowing from the east-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,18.1,19.4,,,1500-2000,,,3.4,18.6,0.4,12,,,,
30.03.2020 17:00,19.3,757.0,758.5,-0.6,100,Wind blowing from the east-northeast,2,,6,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,20.3,,,1500-2000,,,6.0,19.3,No precipitation,12,,,,
30.03.2020 14:00,19.2,757.6,759.1,-1.6,100,Wind blowing from the north-east,2,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,,,,1500-2000,,,3.3,19.2,Trace of precipitation,12,,,,
30.03.2020 11:00,19.1,759.2,760.8,-0.1,90,Wind blowing from the north-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,,,,2500 or more  or no clouds.,,,6.0,17.4,No precipitation,12,,,,
30.03.2020 08:00,18.3,759.3,760.9,1.1,90,Wind blowing from the east-northeast,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,,,,1500-2000,,,7.0,16.6,No precipitation,12,,,,
30.03.2020 05:00,18.3,758.2,759.7,-0.3,89,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,,,18.0,21.5,,,2500 or more  or no clouds.,,,8.0,16.4,No precipitation,12,,,,
30.03.2020 02:00,18.4,758.5,760.0,-0.6,84,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,21.5,,,2500 or more  or no clouds.,,,13.0,15.6,No precipitation,12,,,,
29.03.2020 23:00,18.5,759.1,760.6,0.7,83,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,,,18.0,21.5,,,2500 or more  or no clouds.,,,15.0,15.5,No precipitation,12,,,,
29.03.2020 20:00,19.2,758.4,760.0,1.0,80,Wind blowing from the east,3,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,21.5,,,1500-2000,,,19.0,15.6,Trace of precipitation,12,,,,
29.03.2020 17:00,20.3,757.4,759.0,-0.8,76,Wind blowing from the east-northeast,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,23.3,,,1500-2000,,,26.0,15.9,No precipitation,12,,,,
29.03.2020 14:00,21.3,758.2,759.7,-2.7,72,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,24.5,,,2500 or more  or no clouds.,,,30.0,16.0,No precipitation,12,,,,
29.03.2020 11:00,18.7,760.9,762.5,-0.3,77,Wind blowing from the east-northeast,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,,,,1000-1500,,,30.0,14.5,No precipitation,12,,,,
29.03.2020 08:00,18.2,761.2,762.8,0.8,78,Wind blowing from the east,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,,,,2500 or more  or no clouds.,,,30.0,14.3,No precipitation,12,,,,
29.03.2020 05:00,18.4,760.4,762.0,-0.2,80,Wind blowing from the east,4,,8,,Cloud development not observed or not observable. ,,,18.4,26.4,,,2500 or more  or no clouds.,,,30.0,14.8,No precipitation,12,,,,
29.03.2020 02:00,18.9,760.6,762.1,-0.2,82,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,26.4,,,2500 or more  or no clouds.,,,28.0,15.7,No precipitation,12,,,,
28.03.2020 23:00,19.2,760.8,762.4,1.4,73,Wind blowing from the east-northeast,2,,7,,Rain (not freezing) not falling as shower(s). ,,,19.2,26.4,,,2500 or more  or no clouds.,,,30.0,14.2,No precipitation,12,,,,
28.03.2020 20:00,20.9,759.4,760.9,1.5,68,Wind blowing from the north,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.9,26.4,,,600-1000,,,30.0,14.7,Trace of precipitation,12,,,,
28.03.2020 17:00,23.0,757.9,759.4,-0.5,70,Wind blowing from the east,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,26.4,,,600-1000,,,23.0,17.2,No precipitation,12,,,,
28.03.2020 14:00,24.6,758.4,759.9,-1.3,79,Wind blowing from the east-southeast,2,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,27.0,,,600-1000,,,19.0,20.7,0.1,12,,,,
28.03.2020 11:00,25.4,759.7,761.2,0.0,79,Wind blowing from the south-southeast,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,27.4,,,1500-2000,,,14.0,21.4,0.5,12,,,,
28.03.2020 08:00,22.6,759.7,761.2,1.6,99,Wind blowing from the north,0,,5,70 – 80%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,,,,600-1000,,,5.0,22.4,0.5,12,,,,
28.03.2020 05:00,22.2,758.1,759.6,-0.6,99,Wind blowing from the east-northeast,1,,5,,Mist. ,,,21.6,27.4,,,2500 or more  or no clouds.,,,5.0,22.1,0.5,12,,,,
28.03.2020 02:00,22.7,758.7,760.2,-0.8,99,Wind blowing from the east-northeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,27.4,,,2500 or more  or no clouds.,,,4.9,22.6,0.4,12,,,,
27.03.2020 23:00,22.7,759.5,761.0,1.3,98,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,,,21.3,27.4,,,2500 or more  or no clouds.,,,10.0,22.3,No precipitation,12,,,,
27.03.2020 20:00,23.3,758.2,759.7,1.2,93,Wind blowing from the north-northeast,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,27.4,,,600-1000,,,16.0,22.1,No precipitation,12,,,,
27.03.2020 17:00,25.1,757.0,758.5,-1.0,81,Wind blowing from the west-southwest,3,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,27.4,,,600-1000,,,30.0,21.6,No precipitation,12,,,,
27.03.2020 14:00,27.1,758.0,759.5,-2.0,65,Wind blowing from the south,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,27.4,,,600-1000,,,30.0,19.9,No precipitation,12,,,,
27.03.2020 11:00,26.0,760.0,761.5,0.6,74,Wind blowing from the east,2,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,26.3,,,600-1000,,,27.0,21.0,No precipitation,12,,,,
27.03.2020 08:00,22.2,759.4,760.9,1.1,97,Wind blowing from the east-northeast,1,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,,,,1500-2000,,,10.0,21.7,No precipitation,12,,,,
27.03.2020 05:00,21.8,758.3,759.8,-0.6,99,Wind blowing from the north-east,1,,4,,Mist. ,,,21.0,26.3,,,2500 or more  or no clouds.,,,3.0,21.7,No precipitation,12,,,,
