Local time in Qinzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 14:00,15.6,757.8,762.4,-2.3,91,Wind blowing from the north,4,,10,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,15.7,,,2500 or more  or no clouds.,,,12.0,14.1,13.0,12,,,,
06.04.2020 11:00,15.3,760.1,764.7,0.8,95,Wind blowing from the north-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,15.3,,,2500 or more  or no clouds.,,,23.0,14.5,14.0,12,,,,
06.04.2020 08:00,14.4,759.3,763.9,0.8,99,Wind blowing from the north,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,14.6,,,2500 or more  or no clouds.,,,22.0,14.2,15.0,12,,,,
06.04.2020 05:00,13.9,758.5,763.1,-0.9,99,Wind blowing from the north,6,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,,,,,2500 or more  or no clouds.,,,3.3,13.7,17.0,12,,,,
06.04.2020 02:00,13.8,759.4,764.0,-1.4,99,Wind blowing from the north-northwest,3,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,14.9,,,2500 or more  or no clouds.,,,3.1,13.6,18.0,12,,,,
05.04.2020 23:00,13.9,760.8,765.4,1.1,99,Wind blowing from the north,4,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.6,14.9,,,2500 or more  or no clouds.,,,3.0,13.7,18.0,12,,,,
05.04.2020 20:00,13.9,759.7,764.2,0.6,99,Wind blowing from the north,3,,12,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,,,,2500 or more  or no clouds.,,,9.0,13.7,27.0,12,,,,
05.04.2020 17:00,13.9,759.1,763.6,-0.8,99,Wind blowing from the north-northwest,5,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,15.8,,,2500 or more  or no clouds.,,,4.3,13.7,14.0,12,,,,
05.04.2020 14:00,14.4,759.9,764.5,-1.6,99,Wind blowing from the north,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,,,,2500 or more  or no clouds.,,,30.0,14.2,12.0,12,,,,
05.04.2020 11:00,13.8,761.5,766.0,,99,Wind blowing from the north,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,16.7,,,,,,3.0,13.6,10.0,6,,,,
05.04.2020 08:00,13.9,760.6,765.2,1.3,99,Wind blowing from the north,4,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,16.7,,,2500 or more  or no clouds.,,,7.0,13.7,1.0,12,,,,
05.04.2020 05:00,14.6,759.3,763.9,-1.1,92,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,,,14.4,16.7,,,2500 or more  or no clouds.,,,30.0,13.3,4.0,12,,,,
05.04.2020 02:00,14.6,760.4,765.0,-0.4,97,Wind blowing from the north,5,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,16.7,,,2500 or more  or no clouds.,,,30.0,14.1,4.0,12,,,,
04.04.2020 23:00,14.8,760.8,765.4,1.3,99,Wind blowing from the north,4,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.7,16.7,,,2500 or more  or no clouds.,,,6.0,14.6,4.0,12,,,,
04.04.2020 20:00,15.2,759.5,764.1,1.0,99,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,16.7,,,2500 or more  or no clouds.,,,10.0,15.0,4.0,12,,,,
04.04.2020 17:00,15.6,758.5,763.1,-1.1,96,Wind blowing from the north,4,,10,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,16.7,,,2500 or more  or no clouds.,,,27.0,15.0,0.5,12,,,,
04.04.2020 14:00,16.1,759.6,764.2,-1.3,94,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,16.5,,,2500 or more  or no clouds.,,,29.0,15.1,0.8,12,,,,
04.04.2020 11:00,15.9,760.9,765.5,0.6,99,Wind blowing from the north,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,16.5,,,2500 or more  or no clouds.,,,26.0,15.7,0.7,12,,,,
04.04.2020 08:00,14.9,760.3,764.9,2.1,99,Wind blowing from the north-northwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,16.5,,,2500 or more  or no clouds.,,,27.0,14.7,0.7,12,,,,
04.04.2020 05:00,14.9,758.2,762.7,-0.3,99,Wind blowing from the north,5,,8,,Cloud development not observed or not observable. ,,,14.8,16.5,,,2500 or more  or no clouds.,,,23.0,14.7,0.7,12,,,,
04.04.2020 02:00,15.0,758.5,763.1,-0.2,99,Wind blowing from the north,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,16.5,,,2500 or more  or no clouds.,,,4.1,14.8,2.0,12,,,,
03.04.2020 23:00,15.7,758.7,763.2,1.7,99,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,,,15.5,16.5,,,2500 or more  or no clouds.,,,10.0,15.5,2.0,12,,,,
03.04.2020 20:00,15.8,757.0,761.5,0.5,99,Wind blowing from the north,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,16.5,,,2500 or more  or no clouds.,,,10.0,15.6,2.0,12,,,,
03.04.2020 17:00,16.3,756.5,761.0,-1.1,99,Wind blowing from the north,3,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,16.6,,,2500 or more  or no clouds.,,,27.0,16.1,3.0,12,,,,
03.04.2020 14:00,16.0,757.6,762.1,-1.4,99,Wind blowing from the north,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,17.3,,,2500 or more  or no clouds.,,,12.0,15.8,2.0,12,,,,
03.04.2020 11:00,15.7,759.0,763.5,0.8,99,Wind blowing from the north,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,17.4,,,2500 or more  or no clouds.,,,4.1,15.5,2.0,12,,,,
03.04.2020 08:00,15.7,758.2,762.7,1.8,99,Wind blowing from the north,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,17.4,,,2500 or more  or no clouds.,,,6.0,15.5,2.0,12,,,,
03.04.2020 05:00,16.2,756.4,760.9,0.0,99,Wind blowing from the north,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,,,,,2500 or more  or no clouds.,,,3.7,16.0,0.8,12,,,,
03.04.2020 02:00,16.3,756.4,760.9,-0.9,99,Wind blowing from the north,3,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,17.4,,,2500 or more  or no clouds.,,,2.6,16.1,0.1,12,,,,
02.04.2020 23:00,16.2,757.3,761.8,1.4,99,Wind blowing from the north,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.7,17.4,,,2500 or more  or no clouds.,,,3.2,16.0,No precipitation,12,,,,
02.04.2020 20:00,16.4,755.9,760.4,0.7,99,Wind blowing from the north,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,17.4,,,2500 or more  or no clouds.,,,2.7,16.2,0.1,12,,,,
02.04.2020 17:00,16.4,755.2,759.7,-1.8,99,Wind blowing from the north-northeast,3,,7,, ,,,14.4,17.2,,,2500 or more  or no clouds.,,,,16.2,0.4,12,,,,
02.04.2020 14:00,17.1,757.0,761.5,-1.2,99,Wind blowing from the north-northwest,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,17.4,,,2500 or more  or no clouds.,,,1.6,16.9,0.5,12,,,,
02.04.2020 11:00,16.3,758.2,762.7,,99,Wind blowing from the north,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,16.3,,,,,,2.3,16.1,0.5,6,,,,
02.04.2020 08:00,15.3,757.2,761.8,1.2,99,Wind blowing from the north-northeast,3,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,15.8,,,2500 or more  or no clouds.,,,9.0,15.1,1.0,12,,,,
02.04.2020 05:00,15.0,756.0,760.5,-0.3,99,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,14.6,15.8,,,2500 or more  or no clouds.,,,9.0,14.8,1.0,12,,,,
02.04.2020 02:00,14.9,756.3,760.8,-0.5,99,Wind blowing from the north,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,15.8,,,2500 or more  or no clouds.,,,3.4,14.7,1.0,12,,,,
01.04.2020 23:00,14.7,756.8,761.4,1.0,99,Wind blowing from the north-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.6,15.8,,,2500 or more  or no clouds.,,,3.2,14.5,0.8,12,,,,
01.04.2020 20:00,14.6,755.8,760.3,1.2,99,Wind blowing from the north-northeast,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,15.8,,,2500 or more  or no clouds.,,,2.4,14.4,0.3,12,,,,
01.04.2020 17:00,15.1,754.6,759.1,-1.2,99,Wind blowing from the north,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,15.8,,,2500 or more  or no clouds.,,,3.0,14.9,No precipitation,12,,,,
01.04.2020 14:00,15.5,755.8,760.3,-2.1,98,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,15.8,,,2500 or more  or no clouds.,,,9.0,15.2,No precipitation,12,,,,
01.04.2020 11:00,15.0,757.9,762.4,0.8,99,Wind blowing from the north,3,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,15.8,,,2500 or more  or no clouds.,,,7.0,14.8,No precipitation,12,,,,
01.04.2020 08:00,15.7,757.1,761.6,1.6,88,Wind blowing from the north-northeast,2,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.8,,,2500 or more  or no clouds.,,,21.0,13.7,No precipitation,12,,,,
01.04.2020 05:00,15.7,755.5,760.0,-0.2,83,Wind blowing from the north,3,,8,,Rain (not freezing) not falling as shower(s). ,,,,15.7,,,2500 or more  or no clouds.,,,29.0,12.8,No precipitation,12,,,,
01.04.2020 02:00,15.6,755.7,760.2,-1.1,82,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.6,,,2500 or more  or no clouds.,,,30.0,12.5,No precipitation,12,,,,
31.03.2020 23:00,15.4,756.8,761.4,1.2,78,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,,,12.3,15.4,,,2500 or more  or no clouds.,,,30.0,11.6,No precipitation,12,,,,
31.03.2020 20:00,15.3,755.6,760.2,0.5,83,Wind blowing from the north,4,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,15.3,,,1500-2000,,,30.0,12.4,Trace of precipitation,12,,,,
31.03.2020 17:00,14.9,755.1,759.7,-1.9,90,Wind blowing from the north,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,15.5,,,600-1000,,,21.0,13.3,0.4,12,,,,
31.03.2020 14:00,14.6,757.0,761.5,-1.2,84,Wind blowing from the north,6,,11,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,15.7,,,600-1000,,,30.0,11.9,0.4,12,,,,
31.03.2020 11:00,13.9,758.2,762.7,0.8,91,Wind blowing from the north,6,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,15.7,,,600-1000,,,29.0,12.5,0.4,12,,,,
31.03.2020 08:00,12.5,757.4,762.0,,99,Wind blowing from the north,5,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,15.7,,,1000-1500,,,17.0,12.3,0.4,6,,,,
31.03.2020 05:00,12.7,754.9,759.4,0.3,99,Wind blowing from the north,5,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.9,15.7,,,2500 or more  or no clouds.,,,5.0,12.5,No precipitation,12,,,,
31.03.2020 02:00,13.6,754.6,759.1,-0.3,97,Wind blowing from the north,3,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,15.7,,,2500 or more  or no clouds.,,,6.0,13.1,No precipitation,12,,,,
30.03.2020 23:00,14.1,754.9,759.4,1.0,89,Wind blowing from the north,3,,11,,Cloud development not observed or not observable. ,,,11.9,15.7,,,2500 or more  or no clouds.,,,9.0,12.3,No precipitation,12,,,,
30.03.2020 20:00,14.6,753.9,758.5,0.6,86,Wind blowing from the north,2,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,18.1,,,600-1000,,,13.0,12.3,No precipitation,12,,,,
30.03.2020 17:00,15.5,753.3,757.8,-1.3,81,Wind blowing from the north,4,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,600-1000,,,30.0,12.3,0.2,12,,,,
30.03.2020 14:00,15.6,754.6,759.1,-2.3,78,Wind blowing from the north,5,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,600-1000,,,30.0,11.8,0.2,12,,,,
30.03.2020 11:00,14.6,756.9,761.4,0.3,81,Wind blowing from the north,7,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,600-1000,,,29.0,11.4,0.2,12,,,,
30.03.2020 08:00,12.1,756.6,761.1,2.0,98,Wind blowing from the north,5,,12,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,600-1000,,,30.0,11.8,0.2,12,,,,
30.03.2020 05:00,13.4,754.6,759.1,-0.1,84,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,,,13.4,28.1,,,2500 or more  or no clouds.,,,30.0,10.8,No precipitation,12,,,,
30.03.2020 02:00,13.8,754.7,759.1,0.1,84,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,28.1,,,2500 or more  or no clouds.,,,30.0,11.1,No precipitation,12,,,,
29.03.2020 23:00,15.3,754.6,759.1,2.2,86,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,,,15.2,28.1,,,2500 or more  or no clouds.,,,30.0,13.0,No precipitation,12,,,,
29.03.2020 20:00,18.1,752.4,756.9,1.6,99,Wind blowing from the north-northeast,6,,10,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,28.1,,,600-1000,,,5.0,17.9,No precipitation,12,,,,
29.03.2020 17:00,27.2,750.8,755.2,-1.6,77,Wind blowing from the south-southeast,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,28.1,,,600-1000,,,29.0,22.8,0.1,12,,,,
29.03.2020 14:00,26.7,752.4,756.8,-2.7,81,Wind blowing from the south-southeast,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,27.2,,,600-1000,,,16.0,23.2,0.9,12,,,,
29.03.2020 11:00,19.6,755.1,759.6,,98,Wind blowing from the west-northwest,0,,7,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,22.0,,,600-1000,,,4.7,19.3,0.1,6,,,,
29.03.2020 08:00,15.7,754.5,759.0,0.9,99,Wind blowing from the north,1,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,22.0,,,1500-2000,,,3.8,15.5,1.0,12,,,,
29.03.2020 05:00,15.3,753.6,758.1,-1.3,99,Wind blowing from the north,2,,8,,Rain (not freezing) not falling as shower(s). ,,,15.2,22.3,,,2500 or more  or no clouds.,,,3.6,15.1,1.0,12,,,,
29.03.2020 02:00,15.4,754.9,759.4,0.0,99,Wind blowing from the north-northwest,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,22.9,,,2500 or more  or no clouds.,,,4.4,15.2,0.2,12,,,,
28.03.2020 23:00,17.4,754.9,759.4,0.9,84,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,,,17.2,23.6,,,2500 or more  or no clouds.,,,17.0,14.7,No precipitation,12,,,,
28.03.2020 20:00,17.5,754.0,758.5,0.3,81,Wind blowing from the north-northwest,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,24.7,,,600-1000,,,21.0,14.2,Trace of precipitation,12,,,,
28.03.2020 17:00,18.8,753.7,758.1,-1.4,78,Wind blowing from the north,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,26.6,,,600-1000,,,30.0,14.9,No precipitation,12,,,,
28.03.2020 14:00,21.1,755.1,759.5,-2.0,72,Wind blowing from the north,4,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,27.0,,,600-1000,,,30.0,15.9,Trace of precipitation,12,,,,
28.03.2020 11:00,20.2,757.1,761.5,1.0,81,Wind blowing from the north-northeast,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,27.4,,,600-1000,,,30.0,16.8,No precipitation,12,,,,
28.03.2020 08:00,20.0,756.1,760.6,1.7,88,Wind blowing from the north,2,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,27.4,,,1500-2000,,,19.0,18.0,No precipitation,12,,,,
28.03.2020 05:00,22.4,754.4,758.8,0.2,96,Wind blowing from the north-east,5,,8,,Cloud development not observed or not observable. ,,,22.1,27.4,,,2500 or more  or no clouds.,,,7.0,21.7,No precipitation,12,,,,
28.03.2020 02:00,22.2,754.2,758.5,0.2,99,Wind blowing from the north-east,3,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,27.4,,,2500 or more  or no clouds.,,,4.4,22.0,No precipitation,12,,,,
27.03.2020 23:00,23.4,754.0,758.3,1.5,99,Wind blowing from the south,1,,,,Mist. ,,,23.1,27.4,,,2500 or more  or no clouds.,,,7.0,23.2,No precipitation,12,,,,
27.03.2020 20:00,24.7,752.5,756.9,1.1,95,Wind blowing from the south,2,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.1,27.4,,,600-1000,,,14.0,23.8,No precipitation,12,,,,
27.03.2020 17:00,26.4,751.4,755.8,,84,Wind blowing from the south,5,,,90  or more  but not 100%, ,,,23.1,27.4,,,600-1000,,,24.0,23.5,No precipitation,6,,,,
27.03.2020 14:00,26.5,752.7,757.0,,83,Wind blowing from the south,4,,8,90  or more  but not 100%, ,,,23.1,27.4,,,600-1000,,,22.0,23.4,No precipitation,6,,,,
27.03.2020 11:00,26.1,754.6,758.9,0.7,84,Wind blowing from the south,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.1,27.6,,,600-1000,,,23.0,23.2,No precipitation,12,,,,
27.03.2020 08:00,23.9,753.9,758.2,,100,Wind blowing from the south-east,2,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.4,,,,600-1000,,,5.0,23.9,No precipitation,6,,,,
27.03.2020 05:00,23.4,752.9,757.3,-0.5,99,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,20.5,27.6,,,2500 or more  or no clouds.,,,9.0,23.2,No precipitation,12,,,,
