Local time in Keshan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,4.2,737.3,764.4,0.2,46,Wind blowing from the north,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,11.0,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
06.04.2020 08:00,3.0,737.1,764.1,0.8,54,Wind blowing from the north,10,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,11.0,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
06.04.2020 05:00,-0.1,736.3,763.1,-0.3,48,Wind blowing from the north-northwest,6,,8,,Cloud development not observed or not observable. ,,,-5.9,11.0,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
06.04.2020 02:00,1.1,736.6,763.4,,24,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,11.0,,,2500 or more  or no clouds.,,,26.0,-17.2,No precipitation,12,,,,
05.04.2020 20:00,3.9,738.4,765.5,0.3,20,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,11.0,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
05.04.2020 17:00,10.2,738.1,765.2,-1.2,13,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,11.0,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
05.04.2020 14:00,9.9,739.3,766.6,-2.1,12,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,10.1,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
05.04.2020 11:00,7.0,741.4,768.8,-1.2,15,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,7.0,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
05.04.2020 08:00,1.2,742.6,770.2,0.1,31,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,4.3,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
05.04.2020 05:00,-5.0,742.5,770.2,-0.6,44,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,,,-6.4,4.3,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
05.04.2020 02:00,-5.1,743.1,770.7,,44,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,4.3,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
04.04.2020 20:00,-1.8,742.9,770.8,0.9,36,Wind blowing from the north-northwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,4.3,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
04.04.2020 17:00,3.0,742.0,769.7,-0.1,25,Wind blowing from the north,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,4.3,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
04.04.2020 14:00,4.0,742.1,769.7,-0.8,23,Wind blowing from the north,9,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,4.0,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
04.04.2020 11:00,0.9,742.9,770.5,0.0,24,Wind blowing from the north,10,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,2.3,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
04.04.2020 08:00,-2.7,742.9,770.7,0.9,28,Wind blowing from the north-northwest,11,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,5.2,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
04.04.2020 05:00,-6.1,742.0,769.8,0.7,34,Wind blowing from the north-northwest,8,,20,,Cloud development not observed or not observable. ,,,-6.3,5.8,,,2500 or more  or no clouds.,,,30.0,-19.4,No precipitation,12,,,,
04.04.2020 02:00,-5.1,741.3,769.0,,32,Wind blowing from the north-northwest,8,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,5.8,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
03.04.2020 20:00,-1.8,738.8,766.0,2.7,30,Wind blowing from the north,8,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,5.8,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
03.04.2020 17:00,0.6,736.1,763.3,2.1,31,Wind blowing from the north,10,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,7.0,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
03.04.2020 14:00,0.7,734.0,761.2,1.2,27,Wind blowing from the north,12,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,7.5,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
03.04.2020 11:00,-1.1,732.8,760.0,4.6,63,Wind blowing from the north,13,,21,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,7.5,,,2500 or more  or no clouds.,,,18.0,-7.4,No precipitation,12,,,,
03.04.2020 08:00,5.2,728.2,754.9,-0.2,38,Wind blowing from the north-west,10,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,7.5,,,2500 or more  or no clouds.,,,24.0,-8.0,No precipitation,12,,,,
03.04.2020 05:00,2.9,728.4,754.9,-2.9,43,Wind blowing from the south-southwest,6,,11,,Cloud development not observed or not observable. ,,,-0.4,7.5,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
03.04.2020 02:00,1.4,731.3,758.1,,37,Wind blowing from the south-southwest,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,7.5,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
02.04.2020 20:00,3.0,735.4,762.2,0.2,22,Wind blowing from the south,1,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,7.5,,,2500 or more  or no clouds.,,,27.0,-16.7,No precipitation,12,,,,
02.04.2020 17:00,7.0,735.2,762.1,-0.4,16,Wind blowing from the north-west,6,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,11.5,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
02.04.2020 14:00,6.5,735.6,762.5,0.5,15,Wind blowing from the north-west,10,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.2,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
02.04.2020 11:00,6.0,735.1,761.8,2.3,17,Wind blowing from the north-northwest,11,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.2,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
02.04.2020 08:00,5.9,732.8,759.4,2.9,40,Wind blowing from the north-northwest,12,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.2,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
02.04.2020 05:00,0.6,729.9,756.4,0.5,43,Wind blowing from the west-northwest,2,,10,,Cloud development not observed or not observable. ,,,-4.0,12.2,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
02.04.2020 02:00,1.5,729.4,755.8,,38,Wind blowing from the south-west,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.2,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
01.04.2020 20:00,5.0,731.0,757.8,0.7,31,Wind blowing from the south-southwest,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.2,,,2500 or more  or no clouds.,,,24.0,-10.7,No precipitation,12,,,,
01.04.2020 17:00,11.5,730.3,757.0,-1.5,19,Wind blowing from the south-southwest,8,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.2,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
01.04.2020 14:00,11.1,731.8,758.5,-1.5,20,Wind blowing from the west-southwest,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,11.5,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
01.04.2020 11:00,9.7,733.3,760.1,-1.4,21,Wind blowing from the west-southwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,9.8,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
01.04.2020 08:00,2.2,734.7,761.8,-0.3,34,Wind blowing from the south-west,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,9.5,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
01.04.2020 05:00,-3.3,735.0,762.1,-0.5,39,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,,,-4.0,9.5,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
01.04.2020 02:00,-3.1,735.5,762.6,,32,Wind blowing from the south-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,9.5,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
31.03.2020 20:00,2.1,735.8,762.7,1.2,24,Wind blowing from the south-west,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,9.5,,,,,,30.0,-16.4,No precipitation,12,,,,
31.03.2020 17:00,6.4,734.6,761.5,0.7,19,Wind blowing from the north-west,7,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,11.1,,,600-1000,,,30.0,-15.6,No precipitation,12,,,,
31.03.2020 14:00,8.0,733.9,760.6,0.1,18,Wind blowing from the north-west,9,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,13.6,,,600-1000,,,30.0,-14.9,No precipitation,12,,,,
31.03.2020 11:00,8.4,733.8,760.4,0.8,20,Wind blowing from the north-west,7,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,13.8,,,600-1000,,,30.0,-13.3,No precipitation,12,,,,
31.03.2020 08:00,5.3,733.0,759.6,1.3,45,Wind blowing from the north-northwest,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,13.8,,,,,,30.0,-5.7,No precipitation,12,,,,
31.03.2020 05:00,2.1,731.7,758.2,1.0,41,Wind blowing from the north,7,,10,,Cloud development not observed or not observable. ,,,-0.5,13.8,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
31.03.2020 02:00,3.2,730.7,757.0,,32,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.8,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
30.03.2020 20:00,6.9,730.6,757.0,0.4,39,Wind blowing from the south-southwest,2,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.8,,,2500 or more  or no clouds.,,,21.0,-6.1,No precipitation,12,,,,
30.03.2020 17:00,11.1,730.2,756.7,-0.1,25,Wind blowing from the south,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.8,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
30.03.2020 14:00,13.5,730.3,756.6,-1.0,17,Wind blowing from the south,5,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.9,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
30.03.2020 11:00,11.2,731.3,757.6,-0.2,22,Wind blowing from the south,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.9,,,,,,30.0,-9.7,No precipitation,12,,,,
30.03.2020 08:00,5.4,731.5,758.0,0.9,32,Wind blowing from the west-southwest,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.9,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
30.03.2020 05:00,1.5,730.6,757.0,0.4,35,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,,,-4.1,13.9,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
30.03.2020 02:00,1.6,730.2,756.5,,33,Wind blowing from the south-southwest,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,13.9,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
29.03.2020 20:00,7.4,727.3,753.8,1.4,24,Wind blowing from the west-southwest,4,,18,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,13.9,,,2500 or more  or no clouds.,,,27.0,-11.9,No precipitation,12,,,,
29.03.2020 17:00,13.3,725.9,752.4,-1.0,12,Wind blowing from the south-southwest,10,,18,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,13.9,,,2500 or more  or no clouds.,,,26.0,-15.5,No precipitation,12,,,,
29.03.2020 14:00,13.5,726.9,753.4,-2.5,18,Wind blowing from the south-southwest,11,,17,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,13.6,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
29.03.2020 11:00,11.7,729.4,756.0,-2.1,19,Wind blowing from the south-southwest,10,,15,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,11.7,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
29.03.2020 08:00,1.5,731.5,758.6,-0.6,45,Wind blowing from the south,4,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,4.3,,,2500 or more  or no clouds.,,,12.0,-9.4,No precipitation,12,,,,
29.03.2020 05:00,-3.4,732.1,759.2,-0.3,51,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,,,-10.3,4.3,,,2500 or more  or no clouds.,,,29.0,-12.1,No precipitation,12,,,,
29.03.2020 02:00,-2.6,732.4,759.6,,48,Wind blowing from the south-west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,4.3,,,2500 or more  or no clouds.,,,27.0,-12.1,No precipitation,12,,,,
28.03.2020 20:00,-0.2,732.5,760.0,-0.1,34,Wind blowing from the south,5,,15,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,4.3,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
28.03.2020 17:00,3.9,732.6,760.1,-0.4,24,Wind blowing from the south-west,7,,15,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,4.3,,,600-1000,,,30.0,-14.8,No precipitation,12,,,,
28.03.2020 14:00,3.8,733.0,760.4,-1.5,20,Wind blowing from the west-southwest,9,,15,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,3.8,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
28.03.2020 11:00,1.6,734.5,762.0,-1.0,22,Wind blowing from the west-southwest,8,,13,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,1.6,,,2500 or more  or no clouds.,,,30.0,-17.8,No precipitation,12,,,,
28.03.2020 08:00,-4.3,735.5,763.3,0.6,45,Wind blowing from the west-southwest,5,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,-1.1,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
28.03.2020 05:00,-10.0,734.9,762.9,0.2,58,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,,,-10.1,-1.1,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
28.03.2020 02:00,-8.9,734.7,762.5,,58,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,-1.1,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
27.03.2020 20:00,-5.3,734.5,762.2,0.9,48,Wind blowing from the west,3,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,-1.1,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
27.03.2020 17:00,-2.8,733.6,761.3,0.8,33,Wind blowing from the west-northwest,6,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,-0.2,,,600-1000,,,30.0,-16.8,No precipitation,12,,,,
27.03.2020 14:00,-1.6,732.8,760.5,-0.5,29,Wind blowing from the west,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,1.2,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
27.03.2020 11:00,-1.9,733.3,760.9,-0.5,27,Wind blowing from the west,9,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,1.9,,,600-1000,,,30.0,-18.4,No precipitation,12,,,,
27.03.2020 08:00,-4.0,733.8,761.4,0.0,38,Wind blowing from the west,7,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,1.9,,,,,,30.0,-16.5,No precipitation,12,,,,
27.03.2020 05:00,-7.4,733.8,761.4,-0.3,51,Wind blowing from the west-southwest,5,,,,Cloud development not observed or not observable. ,,,-7.7,1.9,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
27.03.2020 02:00,-7.0,734.1,761.6,,50,Wind blowing from the south-west,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,5.5,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
26.03.2020 20:00,-3.8,734.8,762.4,1.6,34,Wind blowing from the west,5,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,9.3,,,,,,30.0,-17.4,No precipitation,12,,,,
26.03.2020 17:00,-0.2,733.2,760.4,,23,Wind blowing from the west-southwest,8,,14,no clouds, ,,,-1.8,,,,,,,30.0,-18.8,No precipitation,6,,,,
26.03.2020 14:00,1.0,732.6,759.4,0.0,26,Wind blowing from the west,9,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,13.7,,,,,,30.0,-16.4,0.6,12,,,,
26.03.2020 11:00,1.1,732.6,759.3,,36,Wind blowing from the west-southwest,8,,14,40%., ,,,-1.8,13.7,,,2500 or more  or no clouds.,,,30.0,-12.3,0.1,6,,,,
