Local time in Kuandian,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,12.8,741.2,765.2,-1.3,15,Wind blowing from the south,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,14.0,,,2500 or more  or no clouds.,,,28.0,-13.2,No precipitation,12,,,,
06.04.2020 08:00,4.5,742.5,766.7,-0.1,32,Wind blowing from the north-west,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,14.0,,,2500 or more  or no clouds.,,,6.0,-10.8,No precipitation,12,,,,
06.04.2020 05:00,-4.6,742.6,766.9,-0.5,74,Wind blowing from the north-west,0,,7,,Cloud development not observed or not observable. ,,,-5.7,14.0,,,2500 or more  or no clouds.,,,16.0,-8.5,No precipitation,12,,,,
06.04.2020 02:00,-2.6,743.1,767.2,,65,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,14.0,,,2500 or more  or no clouds.,,,21.0,-8.3,No precipitation,12,,,,
05.04.2020 20:00,4.2,743.2,767.5,1.2,31,Wind blowing from the south-southeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,14.0,,,2500 or more  or no clouds.,,,16.0,-11.4,No precipitation,12,,,,
05.04.2020 17:00,12.6,742.0,766.3,-1.0,10,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,14.0,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
05.04.2020 14:00,12.6,743.0,767.2,-1.9,10,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,12.8,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
05.04.2020 11:00,9.5,744.9,769.1,-1.4,11,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,9.7,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
05.04.2020 08:00,3.0,746.3,770.8,0.0,23,Wind blowing from the south,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,7.7,,,2500 or more  or no clouds.,,,5.0,-16.1,No precipitation,12,,,,
05.04.2020 05:00,-5.4,746.3,771.0,0.0,55,Wind blowing from the south-southwest,1,,11,,Cloud development not observed or not observable. ,,,-5.5,7.7,,,2500 or more  or no clouds.,,,29.0,-13.2,No precipitation,12,,,,
05.04.2020 02:00,-2.2,746.3,770.8,,35,Wind blowing from the north-west,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,7.7,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
04.04.2020 20:00,3.1,746.3,770.8,1.8,16,Wind blowing from the north-east,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,10.8,,,2500 or more  or no clouds.,,,30.0,-20.3,No precipitation,12,,,,
04.04.2020 17:00,5.7,744.5,768.9,0.4,13,Wind blowing from the north-northeast,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,14.6,,,2500 or more  or no clouds.,,,23.0,-20.6,No precipitation,12,,,,
04.04.2020 14:00,7.0,744.1,768.3,-1.0,12,Wind blowing from the north,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,16.5,,,2500 or more  or no clouds.,,,24.0,-20.5,No precipitation,12,,,,
04.04.2020 11:00,5.1,745.1,769.1,-0.5,13,Wind blowing from the north-northeast,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,,,,2500 or more  or no clouds.,,,21.0,-21.1,No precipitation,12,,,,
04.04.2020 08:00,2.6,745.6,769.8,1.3,19,Wind blowing from the east-northeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,16.5,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
04.04.2020 05:00,0.7,744.3,768.3,1.4,22,Wind blowing from the north-east,5,,13,,Cloud development not observed or not observable. ,,,-2.4,16.5,,,2500 or more  or no clouds.,,,30.0,-18.6,No precipitation,12,,,,
04.04.2020 02:00,3.2,742.9,766.7,,23,Wind blowing from the north-northeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,16.5,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
03.04.2020 20:00,8.1,737.8,761.6,1.2,63,Wind blowing from the west-northwest,2,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,16.5,,,2500 or more  or no clouds.,,,5.0,1.3,No precipitation,12,,,,
03.04.2020 17:00,14.7,736.6,760.4,-1.2,35,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,16.5,,,2500 or more  or no clouds.,,,7.0,-0.6,No precipitation,12,,,,
03.04.2020 14:00,15.7,737.8,761.5,,30,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,17.6,,,2500 or more  or no clouds.,,,7.0,-1.8,No precipitation,12,,,,
03.04.2020 08:00,5.1,741.6,765.7,0.2,63,Wind blowing from the west,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,,,,2500 or more  or no clouds.,,,2.8,-1.4,No precipitation,12,,,,
03.04.2020 05:00,-2.2,741.4,765.4,-0.2,84,Wind blowing from the west-southwest,0,,6,,Mist. ,,,-4.1,17.6,,,2500 or more  or no clouds.,,,4.9,-4.5,No precipitation,12,,,,
03.04.2020 02:00,-0.4,741.6,765.4,,78,Wind blowing from the south-east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,17.6,,,2500 or more  or no clouds.,,,9.0,-3.8,No precipitation,12,,,,
02.04.2020 20:00,6.2,741.4,765.5,1.2,40,Wind blowing from the south-east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.6,,,2500 or more  or no clouds.,,,12.0,-6.4,No precipitation,12,,,,
02.04.2020 17:00,14.2,740.2,764.2,0.3,17,Wind blowing from the west-southwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,17.6,,,2500 or more  or no clouds.,,,13.0,-10.5,No precipitation,12,,,,
02.04.2020 14:00,17.0,739.9,763.8,-1.8,10,Wind blowing from the west-northwest,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,17.0,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
02.04.2020 11:00,13.3,741.7,765.7,-1.2,17,Wind blowing from the north-west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,13.3,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
02.04.2020 08:00,4.8,742.9,766.9,0.3,42,Wind blowing from the south-southeast,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,12.8,,,2500 or more  or no clouds.,,,2.4,-7.3,No precipitation,12,,,,
02.04.2020 05:00,-3.6,742.6,766.8,0.3,74,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,,,-4.0,12.8,,,2500 or more  or no clouds.,,,9.0,-7.7,No precipitation,12,,,,
02.04.2020 02:00,-1.9,742.3,766.4,,65,Wind blowing from the south,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,12.8,,,2500 or more  or no clouds.,,,8.0,-7.6,No precipitation,12,,,,
01.04.2020 20:00,8.0,741.5,765.4,1.9,19,Wind blowing from the north,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,12.8,,,2500 or more  or no clouds.,,,17.0,-14.2,No precipitation,12,,,,
01.04.2020 17:00,11.8,739.6,763.4,-0.3,12,Wind blowing from the east-northeast,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,12.8,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
01.04.2020 14:00,11.9,739.9,763.6,-1.1,12,Wind blowing from the north-northeast,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,14.3,,,2500 or more  or no clouds.,,,25.0,-16.6,No precipitation,12,,,,
01.04.2020 11:00,10.8,741.0,764.7,-0.1,18,Wind blowing from the north-east,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,14.8,,,2500 or more  or no clouds.,,,16.0,-12.6,No precipitation,12,,,,
01.04.2020 08:00,6.6,741.1,765.0,0.3,16,Wind blowing from the north-northeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,14.8,,,2500 or more  or no clouds.,,,26.0,-17.4,No precipitation,12,,,,
01.04.2020 05:00,4.8,740.8,764.6,0.2,20,Wind blowing from the north,3,,10,,Cloud development not observed or not observable. ,,,-0.6,14.8,,,2500 or more  or no clouds.,,,29.0,-16.3,No precipitation,12,,,,
01.04.2020 02:00,7.2,740.6,764.2,,23,Wind blowing from the north-northeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.8,,,2500 or more  or no clouds.,,,27.0,-12.6,No precipitation,12,,,,
31.03.2020 20:00,9.7,739.5,763.3,1.4,54,Wind blowing from the west-northwest,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.8,,,1000-1500,,,10.0,0.8,No precipitation,12,,,,
31.03.2020 17:00,12.0,738.1,762.0,-0.3,47,Wind blowing from the west,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.8,,,1000-1500,,,12.0,1.0,No precipitation,12,,,,
31.03.2020 14:00,14.1,738.4,762.2,-1.8,34,Wind blowing from the west,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.8,,,2500 or more  or no clouds.,,,9.0,-1.5,No precipitation,12,,,,
31.03.2020 11:00,12.4,740.2,764.1,-0.7,34,Wind blowing from the west,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.0,,,2500 or more  or no clouds.,,,12.0,-3.0,No precipitation,12,,,,
31.03.2020 08:00,5.3,740.9,764.9,0.2,55,Wind blowing from the north-northeast,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.0,,,2500 or more  or no clouds.,,,3.8,-3.2,No precipitation,12,,,,
31.03.2020 05:00,-0.5,740.7,764.7,-0.3,74,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,,,-4.8,14.0,,,2500 or more  or no clouds.,,,10.0,-4.7,No precipitation,12,,,,
31.03.2020 02:00,1.0,741.0,764.9,,69,Wind blowing from the south-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,14.0,,,2500 or more  or no clouds.,,,13.0,-4.2,No precipitation,12,,,,
30.03.2020 20:00,6.5,741.6,765.7,1.6,40,Wind blowing from the north-west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,14.0,,,,,,11.0,-6.1,No precipitation,12,,,,
30.03.2020 17:00,12.1,740.0,764.2,-0.4,22,Wind blowing from the west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,14.0,,,,,,15.0,-9.0,No precipitation,12,,,,
30.03.2020 14:00,13.7,740.4,764.5,-1.5,17,Wind blowing from the west-northwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,13.8,,,,,,30.0,-10.9,No precipitation,12,,,,
30.03.2020 11:00,10.5,741.9,766.0,-0.4,14,Wind blowing from the west,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,13.3,,,,,,30.0,-15.9,No precipitation,12,,,,
30.03.2020 08:00,3.2,742.3,766.6,0.6,37,Wind blowing from the south,1,,2,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,13.3,,,,,,3.7,-10.1,No precipitation,12,,,,
30.03.2020 05:00,-4.6,741.7,766.0,0.1,79,Wind blowing from the south-west,1,,7,,Haze. ,,,-6.2,13.3,,,2500 or more  or no clouds.,,,6.0,-7.8,No precipitation,12,,,,
30.03.2020 02:00,-3.3,741.6,765.7,,74,Wind blowing from the north,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,13.3,,,2500 or more  or no clouds.,,,17.0,-7.3,No precipitation,12,,,,
29.03.2020 20:00,2.6,741.1,765.4,0.6,50,Wind blowing from the south-east,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,13.3,,,,,,8.0,-6.8,No precipitation,12,,,,
29.03.2020 17:00,10.7,740.5,764.8,-0.3,25,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,13.3,,,,,,17.0,-8.5,No precipitation,12,,,,
29.03.2020 14:00,12.8,740.8,765.0,-2.1,13,Wind blowing from the west,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,13.1,,,,,,30.0,-14.9,No precipitation,12,,,,
29.03.2020 11:00,9.8,742.9,767.2,-1.3,17,Wind blowing from the west-northwest,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,9.9,,,,,,30.0,-14.1,No precipitation,12,,,,
29.03.2020 08:00,1.7,744.2,768.7,0.1,42,Wind blowing from the south,1,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,8.5,,,,,,13.0,-10.1,No precipitation,12,,,,
29.03.2020 05:00,-5.8,744.1,768.7,0.3,80,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-6.3,8.5,,,2500 or more  or no clouds.,,,9.0,-8.7,No precipitation,12,,,,
29.03.2020 02:00,-4.7,743.8,768.2,,76,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,8.5,,,2500 or more  or no clouds.,,,8.0,-8.3,No precipitation,12,,,,
28.03.2020 20:00,0.6,743.4,767.9,1.4,43,Wind blowing from the south-east,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,8.5,,,,,,17.0,-10.8,No precipitation,12,,,,
28.03.2020 17:00,7.6,742.0,766.5,-0.9,13,Wind blowing from the north,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,8.5,,,,,,24.0,-19.1,No precipitation,12,,,,
28.03.2020 14:00,8.1,742.9,767.2,-2.1,12,Wind blowing from the north,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,8.8,,,,,,30.0,-19.6,No precipitation,12,,,,
28.03.2020 11:00,5.1,745.0,769.4,-1.1,18,Wind blowing from the west-northwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,9.0,,,,,,30.0,-17.3,No precipitation,12,,,,
28.03.2020 08:00,1.4,746.1,770.5,0.8,23,Wind blowing from the north-northeast,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.0,,,,,,11.0,-17.5,No precipitation,12,,,,
28.03.2020 05:00,-5.6,745.3,770.0,,69,Wind blowing from the south-east,1,,11,,Cloud development not observed or not observable. ,,,-5.6,9.0,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
28.03.2020 02:00,-2.4,744.5,768.9,,44,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.0,,,2500 or more  or no clouds.,,,27.0,-13.0,No precipitation,12,,,,
27.03.2020 20:00,3.9,742.9,767.3,2.1,23,Wind blowing from the north,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.0,,,,,,30.0,-15.4,No precipitation,12,,,,
27.03.2020 17:00,6.8,740.8,765.1,0.5,18,Wind blowing from the north,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.0,,,,,,20.0,-15.9,No precipitation,12,,,,
27.03.2020 14:00,8.8,740.3,764.3,-1.0,14,Wind blowing from the north,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.0,,,,,,30.0,-17.3,No precipitation,12,,,,
27.03.2020 11:00,5.3,741.3,765.5,-0.2,19,Wind blowing from the north-east,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.3,,,,,,30.0,-16.5,No precipitation,12,,,,
27.03.2020 08:00,2.1,741.5,765.8,0.4,24,Wind blowing from the east-northeast,7,,12,no clouds,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,,,,,,,30.0,-16.4,Trace of precipitation,12,,,,
27.03.2020 05:00,0.9,741.1,765.4,0.0,36,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,,,0.9,10.5,,,2500 or more  or no clouds.,,,30.0,-12.5,2.0,12,,,,
27.03.2020 02:00,2.6,741.1,765.2,,39,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,10.5,,,2500 or more  or no clouds.,,,30.0,-10.0,2.0,12,,,,
26.03.2020 20:00,3.7,741.0,765.1,1.7,75,Wind blowing from the north,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,3.5,10.5,,,1000-1500,,,29.0,-0.3,3.0,12,,,,
26.03.2020 17:00,4.7,739.3,763.3,,84,Calm  no wind,0,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,3.9,11.4,,,1000-1500,,,6.0,2.2,2.0,6,,,,
26.03.2020 14:00,8.9,738.7,762.6,-1.3,91,Wind blowing from the west-northwest,2,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,12.8,,,1000-1500,,,3.4,7.5,0.8,12,,,,
26.03.2020 11:00,9.1,740.0,763.9,,84,Wind blowing from the south-west,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,13.3,,,1000-1500,,,3.9,6.5,No precipitation,6,,,,
26.03.2020 08:00,6.8,740.5,764.5,0.9,80,Wind blowing from the south-west,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,13.3,,,1000-1500,,,1.8,3.6,No precipitation,12,,,,
26.03.2020 05:00,4.3,739.6,763.4,,83,Wind blowing from the east,1,,4,, ,,,2.1,13.3,,,,,,7.0,1.7,No precipitation,6,,,,
26.03.2020 02:00,4.4,739.8,763.6,,78,Wind blowing from the south-southwest,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,13.3,,,2500 or more  or no clouds.,,,9.0,0.9,No precipitation,12,,,,
