Local time in Jingdezhen,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 17:00,18.3,760.6,766.3,-1.0,44,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,21.2,,,2500 or more  or no clouds.,,,12.0,5.9,No precipitation,12,,,,
05.04.2020 14:00,18.5,761.6,767.3,-1.7,42,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,22.3,,,2500 or more  or no clouds.,,,11.0,5.4,No precipitation,12,,,,
05.04.2020 11:00,17.5,763.3,769.0,-0.2,58,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,22.3,,,2500 or more  or no clouds.,,,11.0,9.2,No precipitation,12,,,,
05.04.2020 08:00,12.9,763.5,769.2,1.5,74,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,22.3,,,2500 or more  or no clouds.,,,12.0,8.4,No precipitation,12,,,,
05.04.2020 05:00,11.2,762.0,767.7,-0.6,84,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,,,11.2,22.3,,,2500 or more  or no clouds.,,,13.0,8.6,No precipitation,12,,,,
05.04.2020 02:00,12.3,762.6,768.3,0.0,80,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,22.3,,,2500 or more  or no clouds.,,,13.0,9.0,No precipitation,12,,,,
04.04.2020 23:00,13.7,762.6,768.3,0.4,72,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,,,12.0,22.3,,,2500 or more  or no clouds.,,,15.0,8.7,No precipitation,12,,,,
04.04.2020 20:00,16.3,762.2,767.9,1.3,55,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,22.3,,,2500 or more  or no clouds.,,,14.0,7.3,No precipitation,12,,,,
04.04.2020 17:00,21.3,760.9,766.6,-0.5,40,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,22.3,,,2500 or more  or no clouds.,,,14.0,7.2,No precipitation,12,,,,
04.04.2020 14:00,20.6,761.4,767.1,-1.7,42,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,21.0,,,2500 or more  or no clouds.,,,13.0,7.3,0.1,12,,,,
04.04.2020 11:00,16.4,763.1,768.8,0.1,71,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,16.4,,,2500 or more  or no clouds.,,,11.0,11.1,0.2,12,,,,
04.04.2020 08:00,12.5,763.0,768.8,1.2,93,Wind blowing from the north,1,,2,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,,,,2500 or more  or no clouds.,,,5.0,11.4,0.3,12,,,,
04.04.2020 05:00,12.2,761.8,767.5,,95,Wind blowing from the west,1,,3,,Mist. ,,,11.8,15.4,,,2500 or more  or no clouds.,,,4.7,11.4,0.3,12,,,,
04.04.2020 02:00,12.1,761.5,767.2,,94,Calm  no wind,0,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,15.4,,,,,,5.0,11.2,0.2,6,,,,
03.04.2020 23:00,12.3,761.8,767.5,0.7,90,Calm  no wind,0,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.8,15.4,,,2500 or more  or no clouds.,,,8.0,10.7,0.1,12,,,,
03.04.2020 20:00,13.1,761.1,766.9,0.9,79,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,15.4,,,2500 or more  or no clouds.,,,8.0,9.5,No precipitation,12,,,,
03.04.2020 17:00,14.9,760.2,765.9,-1.1,72,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,15.4,,,2500 or more  or no clouds.,,,11.0,9.9,No precipitation,12,,,,
03.04.2020 14:00,14.6,761.3,767.0,-1.0,71,Wind blowing from the east-northeast,0,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,15.5,,,2500 or more  or no clouds.,,,10.0,9.4,No precipitation,12,,,,
03.04.2020 11:00,14.0,762.3,768.1,0.7,84,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,15.8,,,2500 or more  or no clouds.,,,7.0,11.3,No precipitation,12,,,,
03.04.2020 08:00,12.6,761.6,767.3,1.4,90,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,15.8,,,2500 or more  or no clouds.,,,7.0,11.0,No precipitation,12,,,,
03.04.2020 05:00,12.0,760.2,765.9,-0.8,91,Wind blowing from the east-southeast,1,,5,,Mist. ,,,11.1,15.8,,,2500 or more  or no clouds.,,,6.0,10.6,No precipitation,12,,,,
03.04.2020 02:00,12.4,761.0,766.7,-0.1,90,Wind blowing from the north-northwest,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.8,,,2500 or more  or no clouds.,,,7.0,10.8,No precipitation,12,,,,
02.04.2020 23:00,12.6,761.1,766.8,-0.1,87,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,,,11.0,15.8,,,2500 or more  or no clouds.,,,8.0,10.5,No precipitation,12,,,,
02.04.2020 20:00,13.7,761.2,767.0,1.8,78,Wind blowing from the east,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,15.8,,,2500 or more  or no clouds.,,,11.0,9.9,No precipitation,12,,,,
02.04.2020 17:00,14.9,759.4,765.1,-0.3,75,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,16.0,,,2500 or more  or no clouds.,,,14.0,10.5,No precipitation,12,,,,
02.04.2020 14:00,15.5,759.7,765.4,-1.2,70,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,16.8,,,2500 or more  or no clouds.,,,16.0,10.1,No precipitation,12,,,,
02.04.2020 11:00,14.7,760.9,766.6,0.9,71,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,16.8,,,2500 or more  or no clouds.,,,16.0,9.5,No precipitation,12,,,,
02.04.2020 08:00,12.2,760.0,765.7,0.6,85,Wind blowing from the north,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,16.8,,,2500 or more  or no clouds.,,,2.1,9.8,No precipitation,12,,,,
02.04.2020 05:00,11.2,759.4,765.1,-0.4,90,Wind blowing from the north-east,1,,,,Mist. ,,,7.6,16.8,,,2500 or more  or no clouds.,,,2.8,9.6,No precipitation,12,,,,
02.04.2020 02:00,11.6,759.8,765.5,-0.2,91,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.8,,,2500 or more  or no clouds.,,,18.0,10.2,No precipitation,12,,,,
01.04.2020 23:00,11.7,760.0,765.7,0.6,90,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,,,7.6,16.8,,,2500 or more  or no clouds.,,,16.0,10.1,No precipitation,12,,,,
01.04.2020 20:00,14.0,759.4,765.1,0.3,78,Wind blowing from the north-east,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.8,,,2500 or more  or no clouds.,,,15.0,10.2,No precipitation,12,,,,
01.04.2020 17:00,16.0,759.1,764.9,-0.6,65,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.8,,,2500 or more  or no clouds.,,,19.0,9.4,No precipitation,12,,,,
01.04.2020 14:00,16.7,759.7,765.4,-2.1,63,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.8,,,2500 or more  or no clouds.,,,18.0,9.6,No precipitation,12,,,,
01.04.2020 11:00,15.9,761.8,767.5,-0.1,66,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.0,,,2500 or more  or no clouds.,,,15.0,9.6,No precipitation,12,,,,
01.04.2020 08:00,9.3,761.9,767.8,1.7,97,Wind blowing from the east-northeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,10.8,,,2500 or more  or no clouds.,,,5.0,8.8,0.1,12,,,,
01.04.2020 05:00,7.9,760.2,766.0,0.5,97,Wind blowing from the east-southeast,0,,3,,Mist. ,,,7.9,10.8,,,2500 or more  or no clouds.,,,3.5,7.5,0.3,12,,,,
01.04.2020 02:00,8.7,759.7,765.5,0.0,96,Wind blowing from the south-west,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,10.8,,,2500 or more  or no clouds.,,,6.0,8.1,0.3,12,,,,
31.03.2020 23:00,9.2,759.7,765.4,1.4,93,Wind blowing from the west-southwest,2,,3,,Mist. ,,,9.2,10.8,,,2500 or more  or no clouds.,,,6.0,8.1,0.8,12,,,,
31.03.2020 20:00,9.7,758.3,764.1,1.6,96,Wind blowing from the south-west,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,10.8,,,600-1000,,,8.0,9.1,3.0,12,,,,
31.03.2020 17:00,10.6,756.7,762.4,-0.1,90,Wind blowing from the west,2,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,11.4,,,600-1000,,,15.0,9.0,4.0,12,,,,
31.03.2020 14:00,10.0,756.8,762.6,-1.0,95,Wind blowing from the west,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,2500 or more  or no clouds.,,,7.0,9.2,4.0,12,,,,
31.03.2020 11:00,10.2,757.8,763.6,0.1,92,Wind blowing from the north,0,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,2500 or more  or no clouds.,,,11.0,9.0,4.0,12,,,,
31.03.2020 08:00,9.4,757.7,763.5,0.8,96,Wind blowing from the north,0,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,,,,100-200,,,6.0,8.8,2.0,12,,,,
31.03.2020 05:00,9.7,756.9,762.7,-1.6,89,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,,,7.0,12.5,,,2500 or more  or no clouds.,,,21.0,8.0,No precipitation,12,,,,
31.03.2020 02:00,9.7,758.5,764.2,-0.7,89,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,12.5,,,2500 or more  or no clouds.,,,21.0,8.0,No precipitation,12,,,,
30.03.2020 23:00,10.1,759.2,765.0,1.0,85,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,,12.5,,,2500 or more  or no clouds.,,,21.0,7.7,No precipitation,12,,,,
30.03.2020 20:00,10.4,758.2,763.9,0.3,82,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,12.5,,,2500 or more  or no clouds.,,,16.0,7.5,No precipitation,12,,,,
30.03.2020 17:00,11.4,757.9,763.6,-0.8,74,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,12.5,,,2500 or more  or no clouds.,,,9.0,6.9,No precipitation,12,,,,
30.03.2020 14:00,11.6,758.7,764.5,-1.2,68,Wind blowing from the north-west,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,12.3,,,2500 or more  or no clouds.,,,3.5,5.9,No precipitation,12,,,,
30.03.2020 11:00,10.4,759.9,765.7,0.3,74,Wind blowing from the east,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,10.4,,,1000-1500,,,11.0,6.0,No precipitation,12,,,,
30.03.2020 08:00,8.5,759.6,765.4,0.7,89,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,8.5,,,2500 or more  or no clouds.,,,8.0,6.8,0.3,12,,,,
30.03.2020 05:00,7.0,758.9,764.8,-0.5,93,Wind blowing from the north,0,,3,,Mist. ,,,,7.2,,,2500 or more  or no clouds.,,,7.0,5.9,0.8,12,,,,
30.03.2020 02:00,7.0,759.4,765.3,0.3,95,Wind blowing from the west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,7.1,,,2500 or more  or no clouds.,,,4.3,6.3,3.0,12,,,,
29.03.2020 23:00,6.9,759.1,764.9,0.6,97,Wind blowing from the north,0,,7,,Mist. ,,,6.0,8.2,,,2500 or more  or no clouds.,,,2.7,6.5,11.0,12,,,,
29.03.2020 20:00,6.8,758.5,764.4,0.4,97,Wind blowing from the north,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,,,,2500 or more  or no clouds.,,,3.5,6.4,32.0,12,,,,
29.03.2020 17:00,6.7,758.1,763.9,-0.1,95,Wind blowing from the north,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,6.0,,,,600-1000,,,7.0,6.0,36.0,12,,,,
29.03.2020 14:00,6.9,758.2,764.0,-0.9,96,Wind blowing from the north,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,,,,2500 or more  or no clouds.,,,4.5,6.3,33.0,12,,,,
29.03.2020 11:00,6.2,759.1,765.0,0.9,96,Wind blowing from the east-northeast,3,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,9.7,,,2500 or more  or no clouds.,,,4.1,5.6,25.0,12,,,,
29.03.2020 08:00,6.3,758.2,764.1,-1.3,94,Wind blowing from the north-east,2,,6,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,9.7,,,600-1000,,,7.0,5.4,4.0,12,,,,
29.03.2020 05:00,7.0,759.5,765.4,-0.8,88,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,,,6.0,9.7,,,2500 or more  or no clouds.,,,24.0,5.2,No precipitation,12,,,,
29.03.2020 02:00,7.2,760.3,766.2,-1.2,85,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,9.7,,,2500 or more  or no clouds.,,,23.0,4.9,No precipitation,12,,,,
28.03.2020 23:00,8.2,761.5,767.3,-0.3,78,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,6.0,9.7,,,2500 or more  or no clouds.,,,22.0,4.6,No precipitation,12,,,,
28.03.2020 20:00,8.7,761.8,767.6,-0.5,76,Wind blowing from the east-northeast,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,11.1,,,2500 or more  or no clouds.,,,22.0,4.7,0.1,12,,,,
28.03.2020 17:00,9.2,762.3,768.1,0.0,73,Wind blowing from the north-east,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,13.5,,,600-1000,,,22.0,4.6,2.0,12,,,,
28.03.2020 14:00,9.0,762.3,768.1,-1.4,72,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,,,,2500 or more  or no clouds.,,,22.0,4.2,7.0,12,,,,
28.03.2020 11:00,7.4,763.7,769.6,0.6,83,Wind blowing from the north,2,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,,,,600-1000,,,21.0,4.7,14.0,12,,,,
28.03.2020 08:00,6.2,763.1,769.0,2.8,93,Wind blowing from the north,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,,,,100-200,,,15.0,5.2,21.0,12,,,,
28.03.2020 05:00,7.3,760.3,766.1,1.0,95,Wind blowing from the north-northeast,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,7.2,18.8,,,2500 or more  or no clouds.,,,14.0,6.6,20.0,12,,,,
28.03.2020 02:00,8.2,759.3,765.0,1.0,96,Wind blowing from the north-northeast,2,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,19.2,,,2500 or more  or no clouds.,,,6.0,7.6,16.0,12,,,,
27.03.2020 23:00,9.2,758.3,764.0,0.9,96,Wind blowing from the north-northeast,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.2,19.4,,,2500 or more  or no clouds.,,,7.0,8.6,9.0,12,,,,
27.03.2020 20:00,11.1,757.4,763.1,1.4,91,Wind blowing from the north-northeast,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,19.8,,,300-600,,,15.0,9.7,2.0,12,,,,
27.03.2020 17:00,13.5,756.0,761.6,-0.4,87,Wind blowing from the north-northeast,2,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,21.0,,,2500 or more  or no clouds.,,,20.0,11.4,0.7,12,,,,
27.03.2020 14:00,16.7,756.4,762.1,-1.3,71,Wind blowing from the north-northeast,2,,8,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,21.4,,,1000-1500,,,17.0,11.4,3.0,12,,,,
27.03.2020 11:00,18.0,757.7,763.3,1.0,73,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,,,,2500 or more  or no clouds.,,,8.0,13.1,3.0,12,,,,
27.03.2020 08:00,16.8,756.7,762.4,1.4,85,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.8,,,,2500 or more  or no clouds.,,,11.0,14.3,3.0,12,,,,
