Local time in Zhaotong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 20:00,5.6,606.0,767.2,1.0,80,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,7.6,,,2500 or more  or no clouds.,,,30.0,2.4,No precipitation,12,,,,
05.04.2020 17:00,6.3,605.0,765.8,-1.2,79,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,7.6,,,2500 or more  or no clouds.,,,28.0,2.9,No precipitation,12,,,,
05.04.2020 14:00,7.4,606.2,767.2,,72,Wind blowing from the north-northeast,2,,4,, ,,,2.8,7.4,,,,,,30.0,2.7,No precipitation,6,,,,
05.04.2020 11:00,5.4,607.9,769.2,0.6,80,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,7.9,,,2500 or more  or no clouds.,,,30.0,2.2,2.0,12,,,,
05.04.2020 08:00,3.8,607.3,768.9,0.8,91,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,7.9,,,2500 or more  or no clouds.,,,12.0,2.5,2.0,12,,,,
05.04.2020 05:00,3.5,606.5,767.6,-1.3,89,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,,,2.8,7.9,,,2500 or more  or no clouds.,,,30.0,1.9,2.0,12,,,,
05.04.2020 02:00,2.8,607.8,769.3,,91,Wind blowing from the north-northwest,2,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,7.9,,,2500 or more  or no clouds.,,,30.0,1.5,2.0,12,,,,
04.04.2020 20:00,5.6,606.7,767.2,1.2,77,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,8.3,,,2500 or more  or no clouds.,,,30.0,1.9,No precipitation,12,,,,
04.04.2020 17:00,6.6,605.5,765.4,,76,Wind blowing from the north-northeast,4,,8,, ,,,6.1,,,,,,,30.0,2.7,No precipitation,6,,,,
04.04.2020 14:00,7.1,606.8,766.9,-1.0,72,Wind blowing from the north-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,,,,2500 or more  or no clouds.,,,19.0,2.4,No precipitation,12,,,,
04.04.2020 11:00,7.5,607.8,767.8,0.7,73,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,,,,2500 or more  or no clouds.,,,30.0,3.0,No precipitation,12,,,,
04.04.2020 08:00,6.2,607.1,767.0,1.0,74,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,,,,2500 or more  or no clouds.,,,30.0,1.9,No precipitation,12,,,,
04.04.2020 05:00,6.3,606.1,764.7,,77,Calm  no wind,0,,,, ,,,6.3,16.1,,,,,,30.0,2.6,No precipitation,6,,,,
04.04.2020 02:00,6.4,606.9,764.3,,77,Wind blowing from the north,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,16.1,,,2500 or more  or no clouds.,,,30.0,2.7,No precipitation,12,,,,
03.04.2020 20:00,8.2,604.9,763.5,2.1,74,Wind blowing from the north,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,16.1,,,2500 or more  or no clouds.,,,30.0,3.7,No precipitation,12,,,,
03.04.2020 17:00,11.6,602.8,759.8,-0.2,66,Wind blowing from the north,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,16.1,,,2500 or more  or no clouds.,,,30.0,5.3,No precipitation,12,,,,
03.04.2020 14:00,15.8,603.0,758.8,-2.2,53,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,16.1,,,2500 or more  or no clouds.,,,25.0,6.3,No precipitation,12,,,,
03.04.2020 11:00,11.6,605.2,762.8,0.2,66,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,,,,2500 or more  or no clouds.,,,26.0,5.5,No precipitation,12,,,,
03.04.2020 08:00,8.6,605.0,763.5,1.0,79,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,,,,2500 or more  or no clouds.,,,30.0,5.2,No precipitation,12,,,,
03.04.2020 05:00,8.5,604.0,761.4,-0.8,79,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,,,8.3,,,,2500 or more  or no clouds.,,,30.0,5.1,No precipitation,12,,,,
03.04.2020 02:00,8.8,604.8,760.8,,77,Wind blowing from the north-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,17.3,,,2500 or more  or no clouds.,,,30.0,5.0,No precipitation,12,,,,
02.04.2020 20:00,8.4,603.5,761.5,2.1,81,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,17.3,,,2500 or more  or no clouds.,,,29.0,5.3,No precipitation,12,,,,
02.04.2020 17:00,11.4,601.4,757.9,0.0,70,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,18.1,,,2500 or more  or no clouds.,,,16.0,6.1,No precipitation,12,,,,
02.04.2020 14:00,16.2,601.4,756.3,-2.0,53,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,19.4,,,2500 or more  or no clouds.,,,17.0,6.6,No precipitation,12,,,,
02.04.2020 11:00,13.5,603.4,759.7,,62,Wind blowing from the north,2,,5,, ,,,8.7,19.4,,,,,,16.0,6.4,No precipitation,6,,,,
02.04.2020 08:00,8.8,603.1,760.1,0.8,82,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,,,,2500 or more  or no clouds.,,,16.0,5.9,No precipitation,12,,,,
02.04.2020 05:00,9.3,602.3,757.0,-0.7,79,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,,,7.6,19.4,,,2500 or more  or no clouds.,,,15.0,5.8,No precipitation,12,,,,
02.04.2020 02:00,9.6,603.0,757.8,,78,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,19.4,,,2500 or more  or no clouds.,,,14.0,6.0,No precipitation,12,,,,
01.04.2020 20:00,11.5,601.2,758.0,1.8,67,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,19.4,,,2500 or more  or no clouds.,,,20.0,5.6,No precipitation,12,,,,
01.04.2020 17:00,18.1,599.4,753.7,-1.2,44,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,25.6,,,2500 or more  or no clouds.,,,19.0,5.7,No precipitation,12,,,,
01.04.2020 14:00,18.2,600.6,754.9,-2.8,40,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,25.6,,,2500 or more  or no clouds.,,,22.0,4.4,No precipitation,12,,,,
01.04.2020 11:00,12.9,603.4,759.2,-0.4,54,Wind blowing from the south-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,,,,2500 or more  or no clouds.,,,19.0,3.8,No precipitation,12,,,,
01.04.2020 08:00,7.6,603.8,759.7,1.4,78,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,,,,2500 or more  or no clouds.,,,30.0,4.0,No precipitation,12,,,,
01.04.2020 05:00,8.1,602.4,755.4,0.2,83,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,4.0,25.6,,,2500 or more  or no clouds.,,,22.0,5.4,No precipitation,12,,,,
01.04.2020 02:00,8.7,602.2,757.2,,80,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,25.6,,,2500 or more  or no clouds.,,,20.0,5.4,No precipitation,12,,,,
31.03.2020 20:00,17.2,600.3,755.9,0.6,42,Wind blowing from the north-east,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,25.6,,,,,,25.0,4.2,No precipitation,12,,,,
31.03.2020 17:00,25.2,599.7,752.8,-3.0,19,Wind blowing from the south,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,25.3,,,,,,30.0,0.0,No precipitation,12,,,,
31.03.2020 14:00,17.7,602.7,758.7,,34,Wind blowing from the east-northeast,1,,6,no clouds, ,,,4.0,,,,,,,27.0,1.7,No precipitation,6,,,,
31.03.2020 11:00,11.0,605.2,763.8,0.3,52,Wind blowing from the south-west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,,,,,,,30.0,1.5,No precipitation,12,,,,
31.03.2020 08:00,5.2,604.9,765.0,1.4,79,Wind blowing from the south-east,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,,,,,,,30.0,1.9,No precipitation,12,,,,
31.03.2020 05:00,5.7,603.5,760.5,-0.6,74,Wind blowing from the north,1,,12,,Cloud development not observed or not observable. ,,,5.2,,,,2500 or more  or no clouds.,,,30.0,1.4,No precipitation,12,,,,
31.03.2020 02:00,5.6,604.1,758.9,,75,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,25.8,,,2500 or more  or no clouds.,,,30.0,1.5,No precipitation,12,,,,
30.03.2020 20:00,6.7,600.3,759.0,3.9,79,Wind blowing from the north,5,,12,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,25.8,,,600-1000,,,26.0,3.3,No precipitation,12,,,,
30.03.2020 17:00,15.1,596.4,751.7,-1.2,51,Wind blowing from the north-northeast,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,25.8,,,,,,22.0,5.0,No precipitation,12,,,,
30.03.2020 14:00,22.8,597.6,750.9,-3.0,25,Wind blowing from the south-east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,22.8,,,,,,28.0,1.8,No precipitation,12,,,,
30.03.2020 11:00,11.6,600.6,757.9,-0.6,59,Wind blowing from the east,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,11.6,,,,,,24.0,3.9,No precipitation,12,,,,
30.03.2020 08:00,5.8,601.2,760.3,-0.1,82,Wind blowing from the north-northeast,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,8.5,,,300-600,,,18.0,3.0,Trace of precipitation,12,,,,
30.03.2020 05:00,5.2,601.3,760.5,-1.5,88,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,,,5.0,8.5,,,2500 or more  or no clouds.,,,17.0,3.4,No precipitation,12,,,,
30.03.2020 02:00,5.0,602.8,761.9,,92,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,8.5,,,2500 or more  or no clouds.,,,7.0,3.8,No precipitation,12,,,,
29.03.2020 20:00,6.3,601.7,760.8,1.1,71,Wind blowing from the north,2,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,8.5,,,300-600,,,30.0,1.4,No precipitation,12,,,,
29.03.2020 17:00,6.7,600.6,759.3,-1.2,75,Wind blowing from the north,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,300-600,,,30.0,2.6,No precipitation,12,,,,
29.03.2020 14:00,8.4,601.8,760.0,-0.9,71,Wind blowing from the north,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,300-600,,,29.0,3.3,No precipitation,12,,,,
29.03.2020 11:00,7.3,602.7,761.3,1.4,72,Wind blowing from the north-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,300-600,,,30.0,2.6,No precipitation,12,,,,
29.03.2020 08:00,6.0,601.3,759.8,,81,Wind blowing from the north,1,,9,100%., ,,,6.0,,,,300-600,,,30.0,3.0,No precipitation,6,,,,
29.03.2020 05:00,6.3,600.0,755.7,-0.2,81,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,,,6.2,19.1,,,2500 or more  or no clouds.,,,30.0,3.3,No precipitation,12,,,,
29.03.2020 02:00,6.8,600.2,755.3,,80,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,19.1,,,2500 or more  or no clouds.,,,30.0,3.6,No precipitation,12,,,,
28.03.2020 20:00,8.0,598.0,754.9,1.2,81,Wind blowing from the north,3,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,19.1,,,1000-1500,,,30.0,4.9,No precipitation,12,,,,
28.03.2020 17:00,15.6,596.8,751.1,-2.5,58,Wind blowing from the north-northeast,3,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,19.1,,,1000-1500,,,18.0,7.4,No precipitation,12,,,,
28.03.2020 14:00,17.2,599.3,753.7,-3.7,55,Wind blowing from the north-east,1,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,18.5,,,1000-1500,,,14.0,8.1,No precipitation,12,,,,
28.03.2020 11:00,9.8,603.0,760.3,-0.8,74,Wind blowing from the east-northeast,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,,,,300-600,,,17.0,5.4,No precipitation,12,,,,
28.03.2020 08:00,8.2,603.8,761.3,-0.4,80,Wind blowing from the north,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,,,,300-600,,,30.0,5.0,No precipitation,12,,,,
28.03.2020 05:00,8.2,604.2,760.4,,79,Wind blowing from the north-northeast,1,,12,, ,,,8.2,19.4,,,,,,30.0,4.8,No precipitation,6,,,,
28.03.2020 02:00,8.7,605.8,761.5,,80,Wind blowing from the north-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,19.4,,,2500 or more  or no clouds.,,,30.0,5.4,No precipitation,12,,,,
27.03.2020 20:00,11.0,604.5,761.0,2.7,78,Wind blowing from the north,4,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,19.4,,,300-600,,,30.0,7.3,No precipitation,12,,,,
27.03.2020 17:00,15.9,601.8,755.8,,61,Wind blowing from the north-northeast,5,,11,no clouds, ,,,11.7,26.3,,,,,,20.0,8.4,No precipitation,6,,,,
27.03.2020 14:00,18.3,602.4,755.8,-1.2,54,Wind blowing from the north-northeast,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,26.6,,,,,,18.0,8.8,No precipitation,12,,,,
27.03.2020 11:00,16.7,603.6,757.3,0.9,61,Wind blowing from the east-northeast,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,1000-1500,,,18.0,9.2,No precipitation,12,,,,
27.03.2020 08:00,11.9,602.7,756.7,,79,Wind blowing from the north-northeast,2,,7,100%., ,,,10.3,26.6,,,300-600,,,24.0,8.4,No precipitation,6,,,,
27.03.2020 05:00,13.4,601.2,752.0,-0.2,84,Wind blowing from the north-northeast,0,,9,,Cloud development not observed or not observable. ,,,9.0,26.6,,,2500 or more  or no clouds.,,,8.0,10.8,No precipitation,12,,,,
27.03.2020 02:00,13.6,601.4,752.8,,84,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,26.6,,,2500 or more  or no clouds.,,,8.0,11.0,No precipitation,12,,,,
26.03.2020 20:00,18.2,599.8,753.5,1.9,60,Wind blowing from the north-northeast,4,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,26.6,,,1000-1500,,,15.0,10.3,No precipitation,12,,,,
26.03.2020 17:00,26.2,597.9,748.8,,16,Wind blowing from the south-west,4,,8,10%  or less  but not 0, ,,,9.0,26.6,,Sky obscured by fog and/or other meteorological phenomena.,1000-1500,,,30.0,-1.6,No precipitation,6,,,,
26.03.2020 14:00,24.4,598.8,749.8,-1.6,19,Wind blowing from the south-west,3,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,25.1,,,1000-1500,,,30.0,-0.7,No precipitation,12,,,,
26.03.2020 11:00,19.8,600.4,751.8,,31,Wind blowing from the west-southwest,3,,5,no clouds, ,,,9.0,25.1,,,,,,28.0,2.2,No precipitation,6,,,,
26.03.2020 08:00,10.3,599.7,752.6,1.2,53,Calm  no wind,0,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,25.1,,,,,,23.0,1.1,No precipitation,12,,,,
26.03.2020 05:00,10.6,598.5,750.0,,46,Wind blowing from the south-southeast,1,,7,, ,,,8.5,25.1,,,,,,27.0,-0.5,No precipitation,6,,,,
26.03.2020 02:00,12.6,598.8,750.1,,44,Wind blowing from the east,1,,9,, ,,,8.5,25.1,,,,,,19.0,0.7,No precipitation,6,,,,
25.03.2020 20:00,21.0,597.9,750.7,0.6,21,Wind blowing from the south-southwest,3,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,25.1,,,1000-1500,,,30.0,-2.1,No precipitation,12,,,,
25.03.2020 17:00,24.6,597.3,748.4,,18,Wind blowing from the south-west,4,,9,10%  or less  but not 0, ,,,8.5,25.1,,Sky obscured by fog and/or other meteorological phenomena.,1000-1500,,,30.0,-1.3,No precipitation,6,,,,
25.03.2020 14:00,23.4,598.8,750.3,-1.8,22,Wind blowing from the south-southwest,2,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,23.5,,,1000-1500,,,30.0,0.5,No precipitation,12,,,,
25.03.2020 11:00,18.8,600.6,753.1,,31,Wind blowing from the south-west,3,,7,no clouds, ,,,8.5,23.5,,,,,,30.0,1.3,No precipitation,6,,,,
25.03.2020 08:00,8.6,600.5,754.4,0.3,87,Wind blowing from the north,0,,6,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,23.5,,,1000-1500,,,9.0,6.6,No precipitation,12,,,,
