Local time in Ya'an,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 17:00,10.9,711.6,767.2,-0.4,94,Wind blowing from the south-west,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,12.5,,,2500 or more  or no clouds.,,,3.0,10.0,4.0,12,,,,
03.04.2020 14:00,11.1,712.0,767.6,-0.9,94,Wind blowing from the east,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,2500 or more  or no clouds.,,,3.5,10.2,4.0,12,,,,
03.04.2020 11:00,10.9,712.9,768.6,0.9,96,Wind blowing from the east,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,2500 or more  or no clouds.,,,3.0,10.3,4.0,12,,,,
03.04.2020 08:00,10.3,712.0,767.5,1.5,97,Wind blowing from the east,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,13.2,,,2500 or more  or no clouds.,,,2.7,9.8,5.0,12,,,,
03.04.2020 05:00,10.5,710.5,766.0,-0.9,97,Wind blowing from the east,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.5,13.2,,,2500 or more  or no clouds.,,,3.2,10.0,4.0,12,,,,
03.04.2020 02:00,10.9,711.4,766.7,,96,Wind blowing from the north,0,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.2,,,2500 or more  or no clouds.,,,2.1,10.3,4.0,12,,,,
02.04.2020 20:00,12.2,710.1,765.4,1.7,95,Wind blowing from the south-southwest,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.3,,,2500 or more  or no clouds.,,,1.9,11.4,4.0,12,,,,
02.04.2020 17:00,12.4,708.4,763.5,-0.6,94,Wind blowing from the west,0,,2,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,2500 or more  or no clouds.,,,4.4,11.5,5.0,12,,,,
02.04.2020 14:00,13.1,709.0,764.0,-0.9,95,Wind blowing from the east,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,2500 or more  or no clouds.,,,1.7,12.3,5.0,12,,,,
02.04.2020 11:00,12.8,709.9,764.9,1.2,96,Wind blowing from the north-northeast,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,2500 or more  or no clouds.,,,2.4,12.2,4.0,12,,,,
02.04.2020 08:00,12.2,708.7,763.7,0.9,97,Wind blowing from the west,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,17.0,,,2500 or more  or no clouds.,,,0.7,11.7,3.0,12,,,,
02.04.2020 05:00,12.4,707.8,762.4,-0.9,96,Wind blowing from the west-northwest,1,,2,,Mist. ,,,11.8,17.0,,,2500 or more  or no clouds.,,,1.3,11.8,2.0,12,,,,
02.04.2020 02:00,12.4,708.7,763.4,,95,Wind blowing from the south-west,0,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,17.0,,,2500 or more  or no clouds.,,,1.4,11.6,0.8,12,,,,
01.04.2020 20:00,14.1,707.1,761.8,1.7,87,Wind blowing from the south-west,1,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,17.0,,,2500 or more  or no clouds.,,,4.5,12.0,No precipitation,12,,,,
01.04.2020 17:00,15.9,705.4,759.8,-1.2,73,Wind blowing from the east,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,19.3,,,2500 or more  or no clouds.,,,7.0,11.1,No precipitation,12,,,,
01.04.2020 14:00,15.8,706.6,760.9,-2.1,75,Wind blowing from the north-east,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,,,,2500 or more  or no clouds.,,,7.0,11.4,No precipitation,12,,,,
01.04.2020 11:00,14.9,708.7,763.3,0.2,81,Wind blowing from the east-northeast,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,,,,2500 or more  or no clouds.,,,6.0,11.7,No precipitation,12,,,,
01.04.2020 08:00,13.4,708.5,763.0,0.7,87,Wind blowing from the south-southeast,0,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,22.2,,,2500 or more  or no clouds.,,,8.0,11.3,No precipitation,12,,,,
01.04.2020 05:00,13.9,707.8,762.1,-0.1,83,Wind blowing from the south,0,,3,,Cloud development not observed or not observable. ,,,9.2,22.2,,,2500 or more  or no clouds.,,,13.0,11.1,No precipitation,12,,,,
01.04.2020 02:00,14.5,707.9,761.8,,81,Wind blowing from the south,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,22.2,,,2500 or more  or no clouds.,,,11.0,11.3,No precipitation,12,,,,
31.03.2020 20:00,16.9,706.1,760.8,1.4,64,Wind blowing from the south-southwest,0,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,22.2,,,2500 or more  or no clouds.,,,17.0,10.1,No precipitation,12,,,,
31.03.2020 17:00,19.3,704.7,758.9,-1.3,46,Wind blowing from the east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,22.2,,,2500 or more  or no clouds.,,,22.0,7.4,No precipitation,12,,,,
31.03.2020 14:00,22.1,706.0,760.0,-2.7,46,Wind blowing from the east,2,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,22.1,,,600-1000,,,24.0,10.0,No precipitation,12,,,,
31.03.2020 11:00,17.9,708.7,763.5,-0.1,60,Wind blowing from the east,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,17.9,,,,,,19.0,10.0,No precipitation,12,,,,
31.03.2020 08:00,10.1,708.8,764.4,0.1,86,Wind blowing from the south-west,1,,5,no clouds,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,,,,,,,12.0,7.9,Trace of precipitation,12,,,,
31.03.2020 05:00,10.8,708.7,764.0,-0.9,84,Wind blowing from the west,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.9,13.5,,,2500 or more  or no clouds.,,,13.0,8.2,0.6,12,,,,
31.03.2020 02:00,10.6,709.6,764.8,,87,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,13.5,,,2500 or more  or no clouds.,,,14.0,8.5,0.6,12,,,,
30.03.2020 20:00,10.0,708.6,764.0,3.2,93,Wind blowing from the south,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,13.5,,,300-600,,,2.7,8.9,0.6,12,,,,
30.03.2020 17:00,11.4,705.4,760.6,-0.3,85,Wind blowing from the north-east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,14.8,,,300-600,,,3.9,9.0,No precipitation,12,,,,
30.03.2020 14:00,13.4,705.7,760.6,-1.4,72,Wind blowing from the east,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,14.8,,,1000-1500,,,6.0,8.5,No precipitation,12,,,,
30.03.2020 11:00,12.1,707.1,762.1,0.8,82,Wind blowing from the north,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,1000-1500,,,5.0,9.1,No precipitation,12,,,,
30.03.2020 08:00,11.1,706.3,761.2,0.3,91,Wind blowing from the east,1,,2,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,14.8,,,1000-1500,,,5.0,9.7,Trace of precipitation,12,,,,
30.03.2020 05:00,10.7,706.0,760.9,-2.0,92,Wind blowing from the east-northeast,0,,2,,Cloud development not observed or not observable. ,,,8.6,14.8,,,2500 or more  or no clouds.,,,9.0,9.5,No precipitation,12,,,,
30.03.2020 02:00,11.0,708.0,763.0,,92,Wind blowing from the west-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.8,,,2500 or more  or no clouds.,,,8.0,9.8,No precipitation,12,,,,
29.03.2020 20:00,12.7,707.2,762.4,0.6,78,Wind blowing from the north,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.8,,,2500 or more  or no clouds.,,,21.0,9.0,0.2,12,,,,
29.03.2020 17:00,14.6,706.6,761.6,-1.6,66,Wind blowing from the south-southeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.8,,,2500 or more  or no clouds.,,,22.0,8.3,0.4,12,,,,
29.03.2020 14:00,14.0,708.2,763.4,-2.3,65,Wind blowing from the south-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.0,,,2500 or more  or no clouds.,,,30.0,7.5,1.0,12,,,,
29.03.2020 11:00,10.9,710.5,766.3,1.3,78,Wind blowing from the east-northeast,1,,2,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,8.6,12.0,,,2500 or more  or no clouds.,,,30.0,7.2,2.0,12,,,,
29.03.2020 08:00,8.7,709.2,764.9,2.0,95,Wind blowing from the east-northeast,1,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.6,,,,300-600,,,4.5,7.9,2.0,12,,,,
29.03.2020 05:00,8.9,707.2,762.8,-0.3,96,Wind blowing from the east,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,8.9,12.6,,,2500 or more  or no clouds.,,,2.5,8.3,3.0,12,,,,
29.03.2020 02:00,9.3,707.5,763.0,,96,Wind blowing from the east,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,13.6,,,2500 or more  or no clouds.,,,1.9,8.7,5.0,12,,,,
28.03.2020 20:00,9.9,706.0,761.2,0.9,96,Wind blowing from the east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,9.8,,,,300-600,,,2.9,9.3,7.0,12,,,,
28.03.2020 17:00,10.2,705.1,760.0,-1.6,95,Wind blowing from the north-east,1,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.1,,,,300-600,,,1.8,9.4,7.0,12,,,,
28.03.2020 14:00,11.2,706.7,761.7,-2.5,95,Wind blowing from the east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.7,,,,300-600,,,2.7,10.4,6.0,12,,,,
28.03.2020 11:00,11.6,709.2,764.1,0.0,96,Wind blowing from the east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,11.5,,,,300-600,,,2.4,11.0,5.0,12,,,,
28.03.2020 08:00,11.7,709.2,764.1,-0.1,95,Wind blowing from the east-northeast,1,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,18.5,,,300-600,,,2.2,10.9,3.0,12,,,,
28.03.2020 05:00,12.6,709.3,763.9,-1.9,94,Wind blowing from the east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.6,18.5,,,2500 or more  or no clouds.,,,1.9,11.7,0.9,12,,,,
28.03.2020 02:00,13.5,711.2,765.9,,86,Wind blowing from the east,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,18.5,,,2500 or more  or no clouds.,,,9.0,11.2,0.3,12,,,,
27.03.2020 20:00,15.7,710.6,765.4,1.9,73,Wind blowing from the east-southeast,0,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,19.9,,,2500 or more  or no clouds.,,,26.0,10.9,No precipitation,12,,,,
27.03.2020 17:00,17.4,708.7,763.1,0.2,60,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,21.9,,,2500 or more  or no clouds.,,,30.0,9.6,0.8,12,,,,
27.03.2020 14:00,17.7,708.5,762.8,-1.1,58,Wind blowing from the west,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,,,,2500 or more  or no clouds.,,,30.0,9.3,1.0,12,,,,
27.03.2020 11:00,15.0,709.6,764.0,1.2,73,Wind blowing from the south-southwest,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,,,,2500 or more  or no clouds.,,,28.0,10.2,3.0,12,,,,
27.03.2020 08:00,13.8,708.4,762.6,2.0,94,Wind blowing from the south,0,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,25.8,,,2000-2500,,,10.0,12.9,3.0,12,,,,
27.03.2020 05:00,14.5,706.4,760.2,-0.6,95,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.5,25.8,,,2500 or more  or no clouds.,,,2.8,13.7,2.0,12,,,,
27.03.2020 02:00,14.9,707.0,760.4,,92,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,25.8,,,2500 or more  or no clouds.,,,3.0,13.6,2.0,12,,,,
26.03.2020 20:00,19.9,703.0,756.4,2.1,65,Wind blowing from the east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,25.8,,,300-600,,,11.0,13.1,Trace of precipitation,12,,,,
26.03.2020 17:00,22.0,700.9,753.8,,69,Wind blowing from the east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,27.1,,,600-1000,,,7.0,16.1,No precipitation,6,,,,
26.03.2020 14:00,25.7,701.2,753.7,-1.1,58,Wind blowing from the east,2,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,27.5,,,2500 or more  or no clouds.,,,7.0,16.8,No precipitation,12,,,,
26.03.2020 11:00,21.8,702.3,755.2,,69,Wind blowing from the north-west,0,,2,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,27.5,,,,,,5.0,15.9,No precipitation,6,,,,
26.03.2020 08:00,17.8,701.2,754.2,1.5,86,Wind blowing from the south-southeast,1,,2,90  or more  but not 100%,Mist. ,Rain.,Fog or ice fog or thick haze.,16.4,27.5,,,2500 or more  or no clouds.,,,4.9,15.4,Trace of precipitation,12,,,,
26.03.2020 05:00,18.5,699.7,752.1,,83,Wind blowing from the south-east,0,,3,,Rain (not freezing) not falling as shower(s). ,,,15.9,27.5,,,,,,3.4,15.6,No precipitation,6,,,,
26.03.2020 02:00,19.5,699.4,751.9,,77,Wind blowing from the west,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,27.5,,,2500 or more  or no clouds.,,,5.0,15.4,No precipitation,12,,,,
25.03.2020 20:00,22.7,698.2,751.1,1.0,61,Wind blowing from the west,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,27.5,,,2500 or more  or no clouds.,,,9.0,14.8,No precipitation,12,,,,
