Local time in Liuzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 20:00,12.6,736.8,764.4,1.1,98,Wind blowing from the north-east,4,,15,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,11.1,12.8,,,2500 or more  or no clouds.,,,0.1,12.3,22.0,12,,,,
03.04.2020 17:00,12.7,735.7,763.2,-0.6,98,Wind blowing from the north-northwest,3,,15,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,12.8,,,2500 or more  or no clouds.,,,0.2,12.4,30.0,12,,,,
03.04.2020 14:00,11.9,736.3,763.9,-1.9,98,Wind blowing from the north-east,7,,15,,Rain  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,12.6,,,2500 or more  or no clouds.,,,0.9,11.6,42.0,12,,,,
03.04.2020 11:00,12.3,738.2,765.8,0.7,98,Wind blowing from the north-northwest,6,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,11.1,12.7,,,2500 or more  or no clouds.,,,0.5,12.0,33.0,12,,,,
03.04.2020 08:00,11.3,737.5,765.1,0.7,98,Wind blowing from the north-east,2,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,12.7,,,2500 or more  or no clouds.,,,0.8,11.0,32.0,12,,,,
03.04.2020 05:00,12.0,736.8,764.3,0.8,98,Wind blowing from the north,5,,13,,Rain  not freezing  intermittent  moderate at time of observation. ,,,11.6,12.7,,,2500 or more  or no clouds.,,,0.6,11.7,16.0,12,,,,
03.04.2020 02:00,12.0,736.0,763.5,,98,Wind blowing from the north-northeast,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,11.6,12.7,,,2500 or more  or no clouds.,,,0.4,11.7,2.0,12,,,,
02.04.2020 20:00,12.3,735.4,763.0,1.4,97,Wind blowing from the north-east,3,,14,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.2,,,2500 or more  or no clouds.,,,0.5,11.8,3.0,12,,,,
02.04.2020 17:00,12.1,734.0,761.5,-1.5,97,Wind blowing from the north-east,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.8,,,2500 or more  or no clouds.,,,10.0,11.6,3.0,12,,,,
02.04.2020 14:00,12.5,735.5,763.0,-1.2,98,Wind blowing from the east,3,,14,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,11.6,,,,2500 or more  or no clouds.,,,0.1,12.2,3.0,12,,,,
02.04.2020 11:00,11.8,736.7,764.2,,98,Wind blowing from the north-east,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,11.6,,,,,,,0.1,11.5,0.6,6,,,,
02.04.2020 08:00,11.7,735.9,763.3,1.3,98,Wind blowing from the north-northeast,5,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,14.1,,,2500 or more  or no clouds.,,,0.4,11.4,0.5,12,,,,
02.04.2020 05:00,11.7,734.6,762.0,-0.7,98,Wind blowing from the north-east,2,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,11.6,14.1,,,2500 or more  or no clouds.,,,0.1,11.4,0.5,12,,,,
02.04.2020 02:00,11.8,735.3,762.7,,98,Wind blowing from the north-northeast,6,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Rain.,Drizzle.,11.8,14.1,,,2500 or more  or no clouds.,,,0.1,11.5,0.4,12,,,,
01.04.2020 20:00,13.2,733.6,761.0,0.4,79,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,14.1,,,2500 or more  or no clouds.,,,18.0,9.6,No precipitation,12,,,,
01.04.2020 17:00,13.7,733.2,760.5,-1.2,74,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,15.5,,,2500 or more  or no clouds.,,,22.0,9.2,No precipitation,12,,,,
01.04.2020 14:00,13.9,734.4,761.8,-1.7,75,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,16.5,,,2500 or more  or no clouds.,,,17.0,9.5,No precipitation,12,,,,
01.04.2020 11:00,13.4,736.1,763.5,0.5,79,Wind blowing from the north,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,,,,2500 or more  or no clouds.,,,18.0,9.8,No precipitation,12,,,,
01.04.2020 08:00,12.5,735.6,763.0,1.3,78,Wind blowing from the north-east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,16.5,,,2500 or more  or no clouds.,,,19.0,8.8,No precipitation,12,,,,
01.04.2020 05:00,12.1,734.3,761.6,-0.3,83,Wind blowing from the north-east,4,,10,,Cloud development not observed or not observable. ,,,8.5,16.5,,,2500 or more  or no clouds.,,,17.0,9.3,No precipitation,12,,,,
01.04.2020 02:00,12.6,734.6,761.9,,86,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,16.5,,,2500 or more  or no clouds.,,,20.0,10.3,No precipitation,12,,,,
31.03.2020 20:00,14.0,734.2,761.7,0.6,76,Wind blowing from the east,1,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,16.5,,,2500 or more  or no clouds.,,,30.0,9.8,0.1,12,,,,
31.03.2020 17:00,15.5,733.6,761.0,-1.7,71,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,16.5,,,2500 or more  or no clouds.,,,30.0,10.3,0.1,12,,,,
31.03.2020 14:00,14.5,735.3,762.8,,75,Wind blowing from the north-northwest,3,,9,90  or more  but not 100%, ,,,8.5,14.5,,,600-1000,,,30.0,10.1,0.1,6,,,,
31.03.2020 11:00,10.6,737.3,765.1,1.1,93,Wind blowing from the north,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,10.6,,,600-1000,,,27.0,9.5,1.0,12,,,,
31.03.2020 08:00,8.9,736.2,764.0,1.7,98,Wind blowing from the north,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,,9.5,,,300-600,,,4.2,8.6,2.0,12,,,,
31.03.2020 05:00,8.6,734.5,762.2,0.1,98,Wind blowing from the north,4,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,7.7,9.5,,,2500 or more  or no clouds.,,,0.3,8.3,2.0,12,,,,
31.03.2020 02:00,8.8,734.4,762.1,,98,Wind blowing from the north-northwest,5,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,7.4,9.5,,,2500 or more  or no clouds.,,,0.1,8.5,2.0,12,,,,
30.03.2020 20:00,8.6,733.0,760.9,0.6,98,Wind blowing from the north-northeast,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,7.4,9.5,,,300-600,,,0.3,8.3,0.7,12,,,,
30.03.2020 17:00,9.2,732.4,760.2,-1.5,98,Wind blowing from the north,2,,8,100%.,Fog or ice fog  sky visible  no appreciable change during the preceding hour. ,Rain.,Fog or ice fog or thick haze.,7.4,9.5,,,300-600,,,0.1,8.9,0.6,12,,,,
30.03.2020 14:00,9.3,733.9,761.7,-1.9,97,Wind blowing from the north,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,9.4,,,1500-2000,,,0.4,8.8,0.3,12,,,,
30.03.2020 11:00,8.8,735.8,763.7,0.4,97,Wind blowing from the north,3,,9,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,9.5,,,300-600,,,4.0,8.4,0.3,12,,,,
30.03.2020 08:00,7.8,735.4,763.3,0.9,96,Wind blowing from the north,4,,9,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,,,,1500-2000,,,5.0,7.2,0.9,12,,,,
30.03.2020 05:00,7.7,734.5,762.4,-0.3,98,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,,,7.4,,,,2500 or more  or no clouds.,,,18.0,7.4,2.0,12,,,,
30.03.2020 02:00,7.5,734.8,762.6,,98,Wind blowing from the north,5,,9,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,9.9,,,2500 or more  or no clouds.,,,3.5,7.2,4.0,12,,,,
29.03.2020 20:00,7.7,733.7,761.5,1.0,98,Wind blowing from the north,6,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,7.7,12.6,,,300-600,,,0.2,7.4,8.0,12,,,,
29.03.2020 17:00,8.2,732.7,760.5,-0.6,98,Wind blowing from the north,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,8.2,,,,300-600,,,0.2,7.9,8.0,12,,,,
29.03.2020 14:00,8.9,733.3,760.9,-1.1,98,Wind blowing from the north-northwest,5,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,8.9,,,,300-600,,,0.1,8.6,5.0,12,,,,
29.03.2020 11:00,9.5,734.4,762.1,1.0,98,Wind blowing from the north,5,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,9.1,,,,300-600,,,0.1,9.2,4.0,12,,,,
29.03.2020 08:00,9.5,733.4,760.9,,98,Wind blowing from the north,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,9.1,15.6,,,300-600,,,0.1,9.2,1.0,6,,,,
29.03.2020 05:00,9.2,732.2,759.7,-1.2,97,Wind blowing from the north,4,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.2,15.6,,,2500 or more  or no clouds.,,,0.1,8.7,0.4,12,,,,
29.03.2020 02:00,9.9,733.4,760.8,,96,Wind blowing from the north-northwest,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,15.6,,,2500 or more  or no clouds.,,,3.5,9.3,0.3,12,,,,
28.03.2020 20:00,12.6,733.3,760.7,0.4,79,Wind blowing from the north-northeast,2,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,17.3,,,1500-2000,,,23.0,9.1,Trace of precipitation,12,,,,
28.03.2020 17:00,14.1,732.9,760.2,-2.5,70,Wind blowing from the north-northeast,3,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,1500-2000,,,26.0,8.7,No precipitation,12,,,,
28.03.2020 14:00,15.2,735.4,762.6,-2.1,70,Wind blowing from the north-northwest,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,2500 or more  or no clouds.,,,30.0,9.8,No precipitation,12,,,,
28.03.2020 11:00,14.3,737.5,764.8,0.0,74,Wind blowing from the north,6,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,1500-2000,,,30.0,9.7,No precipitation,12,,,,
28.03.2020 08:00,11.2,737.5,764.9,1.5,84,Wind blowing from the north-northwest,5,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,26.2,,,1500-2000,,,30.0,8.6,No precipitation,12,,,,
28.03.2020 05:00,12.4,736.0,762.9,,83,Wind blowing from the north,6,,16,, ,,,12.4,26.2,,,,,,30.0,9.6,No precipitation,6,,,,
28.03.2020 02:00,14.4,736.0,762.7,,85,Wind blowing from the north,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,26.2,,,2500 or more  or no clouds.,,,30.0,11.9,No precipitation,12,,,,
27.03.2020 20:00,17.3,732.7,759.4,3.2,91,Wind blowing from the north-east,6,,16,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,26.2,,,300-600,,,30.0,15.8,Trace of precipitation,12,,,,
27.03.2020 17:00,25.6,729.5,755.7,,78,Wind blowing from the south,4,,11,90  or more  but not 100%, ,,,21.9,26.2,,,600-1000,,,16.0,21.5,No precipitation,6,,,,
27.03.2020 14:00,25.8,730.2,756.4,-1.9,76,Wind blowing from the south-southwest,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,25.9,,,600-1000,,,17.0,21.2,No precipitation,12,,,,
27.03.2020 11:00,23.2,732.1,758.4,0.9,89,Wind blowing from the south,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,24.4,,,600-1000,,,9.0,21.3,No precipitation,12,,,,
27.03.2020 08:00,22.2,731.2,757.5,,92,Wind blowing from the south,5,,,100%., ,,,,24.4,,,600-1000,,,7.0,20.8,No precipitation,6,,,,
27.03.2020 05:00,22.0,730.5,756.8,-0.7,92,Wind blowing from the south-southeast,4,,9,,Cloud development not observed or not observable. ,,,,24.4,,,2500 or more  or no clouds.,,,7.0,20.6,No precipitation,12,,,,
27.03.2020 02:00,22.7,731.2,757.6,,86,Wind blowing from the south,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,24.4,,,2500 or more  or no clouds.,,,19.0,20.2,No precipitation,12,,,,
26.03.2020 20:00,23.0,730.4,756.9,0.7,86,Wind blowing from the south-southeast,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,24.4,,,1500-2000,,,15.0,20.5,Trace of precipitation,12,,,,
26.03.2020 17:00,23.8,729.7,756.1,,83,Wind blowing from the south,3,,10,90  or more  but not 100%, ,,,17.1,24.4,,,1500-2000,,,17.0,20.7,No precipitation,6,,,,
26.03.2020 14:00,23.0,730.7,757.3,-1.5,88,Wind blowing from the south-southeast,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,23.0,,,600-1000,,,12.0,20.9,No precipitation,12,,,,
26.03.2020 11:00,20.7,732.2,758.9,,91,Wind blowing from the south,2,,10,100%., ,,,17.1,22.1,,,1500-2000,,,9.0,19.2,No precipitation,6,,,,
26.03.2020 08:00,19.5,731.8,758.5,0.9,93,Wind blowing from the south,5,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,22.1,,,1500-2000,,,12.0,18.3,No precipitation,12,,,,
26.03.2020 05:00,18.1,730.9,757.6,,93,Wind blowing from the south,3,,17,, ,,,17.1,,,,,,,14.0,17.0,No precipitation,6,,,,
26.03.2020 02:00,17.4,731.7,758.5,,95,Wind blowing from the south,3,,17,, ,,,17.1,22.1,,,,,,8.0,16.6,No precipitation,6,,,,
25.03.2020 20:00,17.7,730.8,757.4,1.8,96,Wind blowing from the south-west,3,,17,60%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,22.4,,,600-1000,,,6.0,17.1,14.0,12,,,,
25.03.2020 17:00,17.6,729.0,755.6,,97,Wind blowing from the east-southeast,10,,16,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,17.6,23.4,,,300-600,,,4.6,17.1,12.0,6,,,,
25.03.2020 14:00,19.6,731.5,758.1,-2.0,89,Wind blowing from the south-southeast,3,,16,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,24.3,,,300-600,,,12.0,17.7,2.0,12,,,,
25.03.2020 11:00,18.8,733.5,760.1,,91,Wind blowing from the south,7,,16,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,24.5,,,600-1000,,,7.0,17.3,2.0,6,,,,
25.03.2020 08:00,20.6,732.1,758.6,0.3,93,Wind blowing from the south-southeast,5,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,24.5,,,600-1000,,,4.8,19.4,0.3,12,,,,
25.03.2020 05:00,20.5,731.8,758.2,,96,Wind blowing from the south-southeast,5,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,19.2,24.5,,,,,,2.8,19.8,0.3,6,,,,
25.03.2020 02:00,21.0,732.1,758.5,,92,Wind blowing from the south,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,24.5,,,2500 or more  or no clouds.,,,7.0,19.7,No precipitation,12,,,,
24.03.2020 20:00,22.3,732.0,758.5,,84,Wind blowing from the south,4,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,24.5,,,600-1000,,,13.0,19.5,Trace of precipitation,12,,,,
