Local time in Zhumadian,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 20:00,14.3,757.9,767.6,0.6,48,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,18.0,,,2500 or more  or no clouds.,,,9.0,3.4,No precipitation,12,,,,
05.04.2020 17:00,17.1,757.3,767.1,-1.5,39,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,19.6,,,2500 or more  or no clouds.,,,9.0,3.0,No precipitation,12,,,,
05.04.2020 14:00,17.7,758.8,768.6,-2.1,46,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,21.0,,,2500 or more  or no clouds.,,,8.0,5.9,No precipitation,12,,,,
05.04.2020 11:00,15.4,760.9,770.8,0.3,61,Wind blowing from the south-east,3,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,21.0,,,2500 or more  or no clouds.,,,7.0,7.9,No precipitation,12,,,,
05.04.2020 08:00,10.9,760.6,770.5,0.7,71,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,,,,2500 or more  or no clouds.,,,7.0,5.7,No precipitation,12,,,,
05.04.2020 05:00,9.0,759.9,769.6,0.1,73,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,7.3,21.0,,,2500 or more  or no clouds.,,,8.0,4.4,No precipitation,12,,,,
05.04.2020 02:00,8.6,759.8,769.6,,79,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,21.0,,,2500 or more  or no clouds.,,,9.0,5.2,No precipitation,12,,,,
04.04.2020 20:00,11.8,759.3,769.1,0.8,63,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,21.0,,,2500 or more  or no clouds.,,,8.0,5.0,No precipitation,12,,,,
04.04.2020 17:00,19.6,758.5,768.3,-0.4,34,Wind blowing from the east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,21.0,,,2500 or more  or no clouds.,,,8.0,3.3,No precipitation,12,,,,
04.04.2020 14:00,20.6,758.9,768.6,-0.8,26,Wind blowing from the east-northeast,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,20.8,,,2500 or more  or no clouds.,,,8.0,0.4,No precipitation,12,,,,
04.04.2020 11:00,18.4,759.7,769.3,0.5,37,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,18.4,,,2500 or more  or no clouds.,,,7.0,3.5,No precipitation,12,,,,
04.04.2020 08:00,11.6,759.2,769.0,1.6,83,Wind blowing from the north-northwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,16.2,,,2500 or more  or no clouds.,,,6.0,8.8,No precipitation,12,,,,
04.04.2020 05:00,8.6,757.6,767.4,-0.3,94,Wind blowing from the west-northwest,0,,3,,Mist. ,,,6.8,16.2,,,2500 or more  or no clouds.,,,4.9,7.7,No precipitation,12,,,,
04.04.2020 02:00,9.5,757.9,767.6,,86,Wind blowing from the north-west,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.2,,,2500 or more  or no clouds.,,,6.0,7.3,No precipitation,12,,,,
03.04.2020 20:00,11.9,757.8,767.6,0.4,67,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.2,,,2500 or more  or no clouds.,,,8.0,6.0,No precipitation,12,,,,
03.04.2020 17:00,15.6,757.4,767.2,-1.1,38,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,16.2,,,2500 or more  or no clouds.,,,9.0,1.3,No precipitation,12,,,,
03.04.2020 14:00,15.1,758.5,768.3,,43,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.3,,,2500 or more  or no clouds.,,,7.0,2.6,No precipitation,12,,,,
03.04.2020 08:00,8.7,759.7,769.6,0.9,91,Wind blowing from the north-west,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,11.7,,,2500 or more  or no clouds.,,,3.5,7.3,No precipitation,12,,,,
03.04.2020 05:00,7.5,758.8,768.7,-0.3,91,Wind blowing from the west,1,,6,,Mist. ,,,6.7,11.7,,,2500 or more  or no clouds.,,,2.6,6.1,No precipitation,12,,,,
03.04.2020 02:00,8.3,759.1,769.0,,91,Wind blowing from the west-northwest,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,11.7,,,2500 or more  or no clouds.,,,3.7,6.9,No precipitation,12,,,,
02.04.2020 20:00,9.9,759.3,769.2,1.3,86,Wind blowing from the west-southwest,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,11.7,,,2500 or more  or no clouds.,,,4.4,7.7,No precipitation,12,,,,
02.04.2020 17:00,11.0,758.0,767.9,-0.4,75,Wind blowing from the north,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,12.9,,,2500 or more  or no clouds.,,,5.0,6.6,No precipitation,12,,,,
02.04.2020 14:00,11.3,758.4,768.3,-1.9,69,Wind blowing from the north,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,13.6,,,2500 or more  or no clouds.,,,6.0,5.8,No precipitation,12,,,,
02.04.2020 11:00,9.0,760.3,770.2,1.2,67,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,,,,2500 or more  or no clouds.,,,8.0,3.2,No precipitation,12,,,,
02.04.2020 08:00,7.1,759.1,769.0,1.1,69,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,13.6,,,2500 or more  or no clouds.,,,10.0,1.8,No precipitation,12,,,,
02.04.2020 05:00,7.1,758.0,767.9,-0.5,69,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,,,3.7,13.6,,,2500 or more  or no clouds.,,,10.0,1.8,No precipitation,12,,,,
02.04.2020 02:00,8.0,758.5,768.3,,69,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,13.6,,,2500 or more  or no clouds.,,,10.0,2.5,No precipitation,12,,,,
01.04.2020 20:00,11.2,757.5,767.4,1.1,79,Wind blowing from the north,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,13.6,,,2500 or more  or no clouds.,,,7.0,7.7,No precipitation,12,,,,
01.04.2020 17:00,12.8,756.4,766.3,-1.1,66,Wind blowing from the east,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,13.6,,,2500 or more  or no clouds.,,,7.0,6.6,No precipitation,12,,,,
01.04.2020 14:00,12.6,757.5,767.4,-1.2,64,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,12.6,,,2500 or more  or no clouds.,,,8.0,6.0,No precipitation,12,,,,
01.04.2020 11:00,9.0,758.7,768.7,0.4,90,Wind blowing from the south-east,3,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,12.5,,,2500 or more  or no clouds.,,,6.0,7.4,No precipitation,12,,,,
01.04.2020 08:00,6.2,758.3,768.3,2.4,90,Wind blowing from the east,1,,4,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,12.5,,,2500 or more  or no clouds.,,,0.6,4.7,No precipitation,12,,,,
01.04.2020 05:00,3.7,755.9,765.8,0.5,90,Wind blowing from the east-northeast,1,,6,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,3.6,12.5,,,2500 or more  or no clouds.,,,0.4,2.2,No precipitation,12,,,,
01.04.2020 02:00,4.2,755.4,765.3,,90,Wind blowing from the north-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,12.5,,,2500 or more  or no clouds.,,,2.4,2.7,No precipitation,12,,,,
31.03.2020 20:00,8.0,753.6,763.5,1.9,83,Wind blowing from the east-southeast,2,,,60%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,12.5,,,2500 or more  or no clouds.,,,7.0,5.3,No precipitation,12,,,,
31.03.2020 17:00,11.7,751.7,761.5,-1.1,62,Wind blowing from the east-southeast,3,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,12.5,,,2500 or more  or no clouds.,,,9.0,4.7,No precipitation,12,,,,
31.03.2020 14:00,11.8,752.8,762.6,-1.6,54,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,12.1,,,2500 or more  or no clouds.,,,9.0,2.8,No precipitation,12,,,,
31.03.2020 11:00,9.8,754.4,764.2,0.1,62,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,10.0,,,2500 or more  or no clouds.,,,9.0,2.9,No precipitation,12,,,,
31.03.2020 08:00,7.2,754.3,764.2,0.3,80,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,9.2,,,2500 or more  or no clouds.,,,8.0,4.0,No precipitation,12,,,,
31.03.2020 05:00,6.7,754.0,763.9,-1.0,85,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,,,,9.2,,,2500 or more  or no clouds.,,,8.0,4.4,No precipitation,12,,,,
31.03.2020 02:00,7.1,755.0,764.9,,77,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.2,,,2500 or more  or no clouds.,,,9.0,3.3,No precipitation,12,,,,
30.03.2020 20:00,8.0,755.5,765.5,1.2,69,Wind blowing from the south-east,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,9.2,,,2500 or more  or no clouds.,,,9.0,2.7,No precipitation,12,,,,
30.03.2020 17:00,8.6,754.3,764.3,-0.9,64,Wind blowing from the south-east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,9.2,,,2500 or more  or no clouds.,,,10.0,2.0,No precipitation,12,,,,
30.03.2020 14:00,9.0,755.2,765.1,-1.8,61,Wind blowing from the south-east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,9.2,,,2500 or more  or no clouds.,,,10.0,1.7,No precipitation,12,,,,
30.03.2020 11:00,8.4,757.0,766.9,1.0,58,Wind blowing from the south-east,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,8.7,,,2500 or more  or no clouds.,,,9.0,0.6,No precipitation,12,,,,
30.03.2020 08:00,5.6,756.0,766.0,0.6,90,Wind blowing from the east,2,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,7.4,,,2500 or more  or no clouds.,,,3.4,4.1,No precipitation,12,,,,
30.03.2020 05:00,3.2,755.4,765.4,-0.7,90,Wind blowing from the south-southeast,1,,4,,Mist. ,,,3.1,7.4,,,2500 or more  or no clouds.,,,3.8,1.7,No precipitation,12,,,,
30.03.2020 02:00,4.4,756.1,766.0,,90,Wind blowing from the west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,7.4,,,2500 or more  or no clouds.,,,3.8,2.9,No precipitation,12,,,,
29.03.2020 20:00,5.9,755.9,765.9,0.7,88,Wind blowing from the north,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,8.6,,,2500 or more  or no clouds.,,,6.0,4.1,2.0,12,,,,
29.03.2020 17:00,6.9,755.2,765.1,-0.8,75,Wind blowing from the north,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,11.0,,,2500 or more  or no clouds.,,,10.0,2.8,3.0,12,,,,
29.03.2020 14:00,6.6,756.0,766.0,-1.9,74,Wind blowing from the east,4,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,,,,2500 or more  or no clouds.,,,10.0,2.3,6.0,12,,,,
29.03.2020 11:00,6.0,757.9,767.9,0.6,77,Wind blowing from the east-southeast,3,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,,,,600-1000,,,9.0,2.3,12.0,12,,,,
29.03.2020 08:00,4.6,757.3,767.3,0.9,82,Wind blowing from the south-east,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,4.2,13.0,,,600-1000,,,9.0,1.8,10.0,12,,,,
29.03.2020 05:00,4.3,756.4,766.3,-2.1,90,Wind blowing from the south,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,2.9,13.0,,,2500 or more  or no clouds.,,,6.0,2.8,9.0,12,,,,
29.03.2020 02:00,4.5,758.5,768.4,,88,Wind blowing from the north-northwest,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,13.0,,,2500 or more  or no clouds.,,,6.0,2.7,6.0,12,,,,
28.03.2020 20:00,8.3,757.8,767.8,0.1,57,Wind blowing from the east-southeast,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,13.0,,,2500 or more  or no clouds.,,,11.0,0.3,No precipitation,12,,,,
28.03.2020 17:00,11.0,757.7,767.7,-1.4,41,Wind blowing from the east-southeast,4,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,13.0,,,2500 or more  or no clouds.,,,11.0,-1.7,No precipitation,12,,,,
28.03.2020 14:00,12.3,759.1,769.0,-2.7,33,Wind blowing from the east,4,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,13.0,,,2500 or more  or no clouds.,,,10.0,-3.5,No precipitation,12,,,,
28.03.2020 11:00,11.2,761.8,771.7,0.3,41,Wind blowing from the south-east,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,11.4,,,,,,10.0,-1.6,1.0,12,,,,
28.03.2020 08:00,6.1,761.5,771.6,0.2,67,Wind blowing from the west,3,,11,20–30%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,2.9,9.0,,,2500 or more  or no clouds.,,,11.0,0.4,3.0,12,,,,
28.03.2020 05:00,4.0,761.3,771.4,-0.5,77,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,,,3.6,9.0,,,2500 or more  or no clouds.,,,12.0,0.3,3.0,12,,,,
28.03.2020 02:00,3.8,761.8,771.8,,82,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,9.0,,,2500 or more  or no clouds.,,,12.0,1.0,3.0,12,,,,
27.03.2020 20:00,7.0,761.3,771.3,0.6,50,Wind blowing from the north-east,4,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,9.0,,,600-1000,,,12.0,-2.7,0.7,12,,,,
27.03.2020 17:00,6.1,760.7,770.8,0.4,63,Wind blowing from the north,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.7,,,600-1000,,,11.0,-0.6,0.1,12,,,,
27.03.2020 14:00,8.5,760.3,770.3,-1.5,31,Wind blowing from the north-northeast,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,,,,1500-2000,,,12.0,-7.7,No precipitation,12,,,,
27.03.2020 11:00,8.6,761.8,771.8,1.0,40,Wind blowing from the north-northeast,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,,,,1500-2000,,,12.0,-4.2,No precipitation,12,,,,
27.03.2020 08:00,7.4,760.8,770.8,1.4,54,Wind blowing from the north-northeast,3,,13,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,,,,600-1000,,,12.0,-1.3,2.0,12,,,,
27.03.2020 05:00,6.8,759.4,769.3,0.0,56,Wind blowing from the north,4,,14,,Cloud development not observed or not observable. ,,,6.5,16.6,,,2500 or more  or no clouds.,,,12.0,-1.4,2.0,12,,,,
27.03.2020 02:00,6.8,759.4,769.3,,60,Wind blowing from the north,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,17.3,,,2500 or more  or no clouds.,,,13.0,-0.6,2.0,12,,,,
26.03.2020 20:00,7.8,756.5,766.3,4.0,90,Wind blowing from the north,5,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,18.3,,,600-1000,,,7.0,6.3,2.0,12,,,,
26.03.2020 17:00,10.7,752.5,762.1,,90,Calm  no wind,0,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,19.5,,,600-1000,,,9.0,9.1,No precipitation,6,,,,
26.03.2020 14:00,15.5,749.6,759.1,0.1,90,Wind blowing from the north,3,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Fog or ice fog or thick haze.,15.2,20.0,,,600-1000,,,3.2,13.9,2.0,12,,,,
26.03.2020 11:00,15.4,749.5,759.0,,90,Wind blowing from the north,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,15.3,20.0,,,600-1000,,,2.3,13.8,2.0,6,,,,
26.03.2020 08:00,15.5,747.7,757.2,1.3,90,Wind blowing from the north-northwest,2,,4,100%.,Fog or ice fog  sky visible  no appreciable change during the preceding hour. ,Rain.,Drizzle.,15.4,20.0,,,2500 or more  or no clouds.,,,0.3,13.9,0.4,12,,,,
26.03.2020 05:00,16.7,746.4,755.8,,90,Wind blowing from the north,2,,5,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,16.1,20.0,,,,,,0.2,15.1,0.2,6,,,,
26.03.2020 02:00,17.3,746.7,756.1,,90,Wind blowing from the east,1,,,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,20.0,,,2500 or more  or no clouds.,,,0.2,15.6,0.4,12,,,,
25.03.2020 20:00,18.3,746.3,755.8,1.2,90,Wind blowing from the east,2,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,20.5,,,2500 or more  or no clouds.,,,2.3,16.6,0.1,12,,,,
