Local time in Benxi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 14:00,11.8,751.1,768.5,-2.1,11,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,12.3,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
05.04.2020 11:00,8.8,753.2,770.7,-1.2,16,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.8,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
05.04.2020 08:00,1.0,754.4,772.0,0.2,40,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,7.3,,,2500 or more  or no clouds.,,,23.0,-11.1,No precipitation,12,,,,
05.04.2020 05:00,-4.2,754.2,771.9,0.0,60,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,,,-4.2,7.3,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
05.04.2020 02:00,-2.1,754.2,771.8,,49,Wind blowing from the east,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,7.3,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
04.04.2020 20:00,3.5,754.5,772.0,0.9,19,Wind blowing from the north-northeast,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,13.0,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
04.04.2020 17:00,5.9,753.6,771.1,-0.2,16,Wind blowing from the north-northwest,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,18.3,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
04.04.2020 14:00,6.6,753.8,771.3,-0.5,15,Wind blowing from the north-northwest,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
04.04.2020 11:00,5.4,754.3,771.7,-0.4,18,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
04.04.2020 08:00,2.3,754.7,772.0,1.1,27,Wind blowing from the north-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,19.1,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
04.04.2020 05:00,0.2,753.6,770.8,1.4,36,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,,,0.1,19.1,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
04.04.2020 02:00,2.4,752.2,769.3,,31,Wind blowing from the north-northeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,19.1,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
03.04.2020 20:00,13.1,746.0,763.0,3.7,28,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,19.1,,,2500 or more  or no clouds.,,,6.0,-5.0,No precipitation,12,,,,
03.04.2020 17:00,18.3,742.3,759.1,-1.6,18,Wind blowing from the west-southwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,19.1,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
03.04.2020 14:00,18.5,743.9,760.7,,17,Wind blowing from the west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,18.5,,,2500 or more  or no clouds.,,,14.0,-7.0,No precipitation,12,,,,
03.04.2020 08:00,6.9,747.4,764.5,0.0,42,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,17.9,,,2500 or more  or no clouds.,,,16.0,-5.1,No precipitation,12,,,,
03.04.2020 05:00,2.6,747.4,764.4,-0.3,52,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,,,-1.0,17.9,,,2500 or more  or no clouds.,,,28.0,-6.3,No precipitation,12,,,,
03.04.2020 02:00,5.3,747.7,764.5,,42,Wind blowing from the east,1,,10,, ,,,-1.0,17.9,,,,,,29.0,-6.6,No precipitation,6,,,,
02.04.2020 20:00,12.7,747.8,764.9,1.3,17,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,17.9,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
02.04.2020 17:00,16.4,746.5,763.6,-0.4,13,Wind blowing from the west-southwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,17.9,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
02.04.2020 14:00,17.2,746.9,763.9,-1.1,11,Wind blowing from the south-west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,17.4,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
02.04.2020 11:00,15.1,748.0,765.0,-0.8,14,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,15.2,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
02.04.2020 08:00,4.5,748.8,766.0,0.0,45,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.0,,,2500 or more  or no clouds.,,,17.0,-6.4,No precipitation,12,,,,
02.04.2020 05:00,-1.0,748.8,766.1,-0.3,60,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,,,-1.0,13.0,,,2500 or more  or no clouds.,,,26.0,-7.8,No precipitation,12,,,,
02.04.2020 02:00,0.5,749.1,766.3,,55,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,13.0,,,2500 or more  or no clouds.,,,23.0,-7.7,No precipitation,12,,,,
01.04.2020 20:00,7.4,749.1,766.3,0.9,30,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,13.0,,,2500 or more  or no clouds.,,,22.0,-9.0,No precipitation,12,,,,
01.04.2020 17:00,11.4,748.2,765.4,-0.1,15,Wind blowing from the west-northwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,13.0,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
01.04.2020 14:00,12.0,748.3,765.4,-2.0,16,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,14.4,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
01.04.2020 11:00,9.4,750.3,767.4,-0.2,19,Wind blowing from the north-northwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,14.9,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
01.04.2020 08:00,3.9,750.5,767.8,0.7,29,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,14.9,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
01.04.2020 05:00,2.3,749.8,766.9,0.0,35,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,,,2.3,14.9,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
01.04.2020 02:00,5.1,749.8,766.9,,24,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,14.9,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
31.03.2020 20:00,9.8,748.0,764.9,2.3,26,Wind blowing from the north-northwest,3,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.9,,,1000-1500,,,30.0,-8.8,No precipitation,12,,,,
31.03.2020 17:00,12.5,745.7,762.6,0.4,24,Wind blowing from the north-west,3,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,15.7,,,1000-1500,,,30.0,-7.5,No precipitation,12,,,,
31.03.2020 14:00,14.1,745.3,762.1,-0.3,47,Wind blowing from the west,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,17.5,,,1000-1500,,,9.0,3.0,No precipitation,12,,,,
31.03.2020 11:00,14.8,745.6,762.4,0.0,40,Wind blowing from the west,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,17.5,,,1000-1500,,,14.0,1.3,No precipitation,12,,,,
31.03.2020 08:00,10.5,745.6,762.5,0.3,49,Wind blowing from the west-southwest,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,,,,,,,13.0,0.2,No precipitation,12,,,,
31.03.2020 05:00,8.9,745.3,762.1,-0.6,50,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,,,0.4,17.5,,,2500 or more  or no clouds.,,,17.0,-1.0,No precipitation,12,,,,
31.03.2020 02:00,9.1,745.9,762.7,,50,Wind blowing from the south-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,17.5,,,2500 or more  or no clouds.,,,19.0,-1.0,No precipitation,12,,,,
30.03.2020 20:00,11.8,746.2,763.1,1.2,42,Wind blowing from the south,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,17.5,,,,,,30.0,-0.7,No precipitation,12,,,,
30.03.2020 17:00,15.7,745.0,762.0,-0.4,29,Wind blowing from the south-southeast,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,17.5,,,,,,28.0,-2.3,No precipitation,12,,,,
30.03.2020 14:00,17.0,745.4,762.4,-1.7,20,Wind blowing from the south,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,17.0,,,,,,30.0,-6.1,No precipitation,12,,,,
30.03.2020 11:00,13.2,747.1,764.1,-0.1,19,Wind blowing from the south-southwest,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,15.4,,,,,,30.0,-9.9,No precipitation,12,,,,
30.03.2020 08:00,7.0,747.2,764.3,0.3,32,Wind blowing from the south,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,15.4,,,,,,20.0,-8.6,No precipitation,12,,,,
30.03.2020 05:00,0.6,746.9,764.1,-0.4,62,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,-2.5,15.4,,,2500 or more  or no clouds.,,,25.0,-6.0,No precipitation,12,,,,
30.03.2020 02:00,2.0,747.3,764.4,,58,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,15.4,,,2500 or more  or no clouds.,,,25.0,-5.6,No precipitation,12,,,,
29.03.2020 20:00,8.5,746.8,764.1,0.9,29,Wind blowing from the west-northwest,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,15.4,,,,,,18.0,-8.5,No precipitation,12,,,,
29.03.2020 17:00,12.8,745.9,763.1,-0.6,21,Wind blowing from the west,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,15.4,,,,,,28.0,-9.0,No precipitation,12,,,,
29.03.2020 14:00,14.7,746.5,763.6,-2.0,13,Wind blowing from the south,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,15.2,,,,,,30.0,-13.4,No precipitation,12,,,,
29.03.2020 11:00,12.7,748.5,765.7,-1.0,15,Wind blowing from the south-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,12.8,,,,,,30.0,-13.3,No precipitation,12,,,,
29.03.2020 08:00,2.6,749.5,767.0,-0.3,46,Wind blowing from the east,2,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,8.7,,,,,,24.0,-8.1,No precipitation,12,,,,
29.03.2020 05:00,-2.4,749.8,767.2,-0.6,59,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,,,-4.1,8.7,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
29.03.2020 02:00,-1.5,750.4,767.8,,57,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,8.7,,,2500 or more  or no clouds.,,,28.0,-9.1,No precipitation,12,,,,
28.03.2020 20:00,3.6,750.1,767.7,0.4,31,Wind blowing from the east,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,8.7,,,,,,27.0,-12.0,No precipitation,12,,,,
28.03.2020 17:00,7.3,749.7,767.2,-1.0,18,Wind blowing from the west-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,8.7,,,,,,30.0,-15.5,No precipitation,12,,,,
28.03.2020 14:00,7.8,750.7,768.2,-2.2,16,Wind blowing from the north-west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,8.5,,,,,,18.0,-16.5,No precipitation,12,,,,
28.03.2020 11:00,6.4,752.9,770.4,-0.5,18,Wind blowing from the north-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,8.1,,,,,,30.0,-16.2,No precipitation,12,,,,
28.03.2020 08:00,0.7,753.4,771.0,0.8,44,Wind blowing from the east,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,,,,,,,26.0,-10.4,No precipitation,12,,,,
28.03.2020 05:00,-3.5,752.6,770.2,,59,Wind blowing from the east,2,,14,,Cloud development not observed or not observable. ,,,-3.5,8.1,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
28.03.2020 02:00,-2.1,752.3,769.9,,59,Wind blowing from the east-northeast,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,8.1,,,2500 or more  or no clouds.,,,28.0,-9.2,No precipitation,12,,,,
27.03.2020 20:00,2.8,751.3,768.9,2.3,26,Wind blowing from the north-northwest,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,8.1,,,,,,30.0,-14.8,No precipitation,12,,,,
27.03.2020 17:00,7.3,749.0,766.5,-0.3,25,Wind blowing from the west-northwest,3,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,8.1,,,1000-1500,,,30.0,-11.4,No precipitation,12,,,,
27.03.2020 14:00,7.7,749.3,766.7,-0.7,19,Wind blowing from the west-northwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,7.8,,,,,,30.0,-14.5,No precipitation,12,,,,
27.03.2020 11:00,5.7,750.0,767.5,-0.7,26,Wind blowing from the north,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,5.7,,,,,,30.0,-12.3,No precipitation,12,,,,
27.03.2020 08:00,1.6,750.7,768.3,0.4,52,Wind blowing from the north-east,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,,,,,,,27.0,-7.2,No precipitation,12,,,,
27.03.2020 05:00,-1.5,750.3,768.0,-0.5,90,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,,,-1.5,,,,2500 or more  or no clouds.,,,16.0,-2.9,0.4,12,,,,
27.03.2020 02:00,-0.5,750.8,768.4,,91,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,,,,2500 or more  or no clouds.,,,29.0,-1.8,2.0,12,,,,
26.03.2020 20:00,0.8,750.1,767.4,0.2,90,Wind blowing from the north,2,,10,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,0.5,12.3,,,1000-1500,,,24.0,-0.7,2.0,12,,,,
26.03.2020 17:00,0.5,749.9,767.2,,94,Wind blowing from the north,2,,10,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,0.5,12.8,,,1000-1500,,,3.3,-0.4,2.0,6,,,,
26.03.2020 14:00,2.9,749.3,766.6,0.0,79,Wind blowing from the north,3,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,14.5,,,1000-1500,,,30.0,-0.4,Trace of precipitation,12,,,,
26.03.2020 11:00,4.7,749.3,766.5,,76,Wind blowing from the west-northwest,2,,,100%., ,,,4.7,14.5,,,1000-1500,,,27.0,0.7,No precipitation,6,,,,
26.03.2020 08:00,10.3,747.1,764.0,1.8,70,Wind blowing from the west,3,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,14.5,,,1000-1500,,,20.0,5.1,No precipitation,12,,,,
26.03.2020 05:00,10.4,745.3,762.1,,66,Wind blowing from the south-west,3,,14,, ,,,10.4,14.5,,,,,,30.0,4.3,No precipitation,6,,,,
26.03.2020 02:00,10.9,744.9,761.7,,62,Wind blowing from the south,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,14.5,,,2500 or more  or no clouds.,,,30.0,3.9,No precipitation,12,,,,
