Local time in Shenyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
02.04.2020 20:00,12.2,759.6,764.3,1.7,21,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,19.3,,,2500 or more  or no clouds.,,,16.0,-9.5,No precipitation,12,,,,
02.04.2020 17:00,17.4,757.9,762.6,-0.6,15,Wind blowing from the south-west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,19.3,,,2500 or more  or no clouds.,,,29.0,-9.5,No precipitation,12,,,,
02.04.2020 14:00,18.4,758.5,763.2,-1.5,12,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,18.7,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
02.04.2020 11:00,14.6,760.0,764.7,-0.6,19,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.6,,,2500 or more  or no clouds.,,,19.0,-8.8,No precipitation,12,,,,
02.04.2020 08:00,7.8,760.6,765.4,0.3,34,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,13.4,,,2500 or more  or no clouds.,,,13.0,-7.1,No precipitation,12,,,,
02.04.2020 05:00,1.7,760.3,765.1,-0.4,43,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,,,1.7,13.4,,,2500 or more  or no clouds.,,,15.0,-9.8,No precipitation,12,,,,
02.04.2020 02:00,3.9,760.7,765.5,-0.4,42,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,13.4,,,2500 or more  or no clouds.,,,10.0,-8.1,No precipitation,12,,,,
01.04.2020 23:00,4.2,761.1,765.9,0.3,34,Wind blowing from the south-west,1,,8,,Cloud development not observed or not observable. ,,,2.9,13.4,,,2500 or more  or no clouds.,,,9.0,-10.3,No precipitation,12,,,,
01.04.2020 20:00,5.8,760.8,765.6,0.5,29,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,13.4,,,2500 or more  or no clouds.,,,9.0,-10.9,No precipitation,12,,,,
01.04.2020 17:00,12.8,760.3,765.1,-0.6,15,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,13.4,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
01.04.2020 14:00,12.5,760.9,765.7,-2.1,13,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,14.8,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
01.04.2020 11:00,10.3,763.0,767.8,-0.3,17,Wind blowing from the north,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,14.8,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
01.04.2020 08:00,5.0,763.3,768.1,0.9,25,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,14.8,,,2500 or more  or no clouds.,,,28.0,-13.4,No precipitation,12,,,,
01.04.2020 05:00,3.5,762.4,767.2,0.2,25,Wind blowing from the north-northwest,3,,12,,Cloud development not observed or not observable. ,,,3.5,14.8,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
01.04.2020 02:00,5.7,762.2,766.9,0.2,20,Wind blowing from the north-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,14.8,,,2500 or more  or no clouds.,,,9.0,-15.5,No precipitation,12,,,,
31.03.2020 23:00,8.5,762.0,766.7,1.9,16,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,,,8.5,14.8,,,2500 or more  or no clouds.,,,25.0,-15.9,No precipitation,12,,,,
31.03.2020 20:00,10.8,760.1,764.8,1.9,22,Wind blowing from the north,1,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,14.8,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
31.03.2020 17:00,13.3,758.2,762.9,0.6,16,Wind blowing from the north,3,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,15.9,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
31.03.2020 14:00,14.1,757.6,762.4,-0.5,23,Wind blowing from the north-west,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.1,,,2500 or more  or no clouds.,,,17.0,-6.7,No precipitation,12,,,,
31.03.2020 11:00,13.4,758.1,762.8,1.1,44,Wind blowing from the west,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.1,,,2500 or more  or no clouds.,,,8.0,1.4,No precipitation,12,,,,
31.03.2020 08:00,11.7,757.0,761.6,0.6,44,Wind blowing from the south-southwest,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,18.1,,,2500 or more  or no clouds.,,,8.0,-0.1,No precipitation,12,,,,
31.03.2020 05:00,9.6,756.4,761.0,-0.5,46,Wind blowing from the south-southwest,3,,11,,Cloud development not observed or not observable. ,,,-1.5,18.1,,,2500 or more  or no clouds.,,,9.0,-1.7,No precipitation,12,,,,
31.03.2020 02:00,9.6,756.9,761.5,-1.0,42,Wind blowing from the south,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,18.1,,,2500 or more  or no clouds.,,,15.0,-2.7,No precipitation,12,,,,
30.03.2020 23:00,9.3,757.9,762.7,0.6,53,Wind blowing from the south,2,,13,,Cloud development not observed or not observable. ,,,,18.1,,,2500 or more  or no clouds.,,,13.0,0.0,No precipitation,12,,,,
30.03.2020 20:00,12.6,757.3,762.1,0.8,38,Wind blowing from the south-west,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.1,,,,,,13.0,-1.3,No precipitation,12,,,,
30.03.2020 17:00,15.9,756.5,761.2,-0.3,33,Wind blowing from the south-west,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,18.1,,,,,,14.0,-0.3,No precipitation,12,,,,
30.03.2020 14:00,17.6,756.8,761.5,-1.6,23,Wind blowing from the south-west,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,18.1,,,,,,15.0,-3.8,No precipitation,12,,,,
30.03.2020 11:00,14.5,758.4,763.1,-0.4,21,Wind blowing from the south-southwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,15.1,,,,,,23.0,-7.6,No precipitation,12,,,,
30.03.2020 08:00,8.9,758.8,763.6,0.4,25,Wind blowing from the south,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,15.1,,,,,,24.0,-10.1,No precipitation,12,,,,
30.03.2020 05:00,-1.3,758.4,763.2,-0.5,60,Wind blowing from the south,1,,12,,Cloud development not observed or not observable. ,,,-3.4,15.1,,,2500 or more  or no clouds.,,,17.0,-8.1,No precipitation,12,,,,
30.03.2020 02:00,-0.8,758.9,763.7,-0.1,59,Wind blowing from the north-northeast,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,15.1,,,2500 or more  or no clouds.,,,8.0,-7.8,No precipitation,12,,,,
29.03.2020 23:00,2.5,759.0,763.8,0.4,42,Wind blowing from the south-west,1,,13,,Cloud development not observed or not observable. ,,,-3.5,15.1,,,2500 or more  or no clouds.,,,12.0,-9.1,No precipitation,12,,,,
29.03.2020 20:00,8.0,758.6,763.4,0.7,30,Wind blowing from the south-southwest,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,15.1,,,,,,22.0,-8.5,No precipitation,12,,,,
29.03.2020 17:00,12.5,757.9,762.7,-0.6,15,Wind blowing from the west-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,15.1,,,,,,30.0,-13.4,No precipitation,12,,,,
29.03.2020 14:00,14.4,758.5,763.3,-1.8,15,Wind blowing from the west-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,15.1,,,,,,30.0,-11.9,No precipitation,12,,,,
29.03.2020 11:00,12.7,760.3,765.1,-1.0,16,Wind blowing from the south-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,12.8,,,,,,30.0,-12.5,No precipitation,12,,,,
29.03.2020 08:00,6.9,761.3,766.1,-0.1,21,Wind blowing from the south-southwest,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,9.4,,,,,,21.0,-13.9,No precipitation,12,,,,
29.03.2020 05:00,-3.2,761.4,766.3,-0.7,51,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,,,-6.4,9.4,,,2500 or more  or no clouds.,,,18.0,-12.1,No precipitation,12,,,,
29.03.2020 02:00,-1.8,762.1,767.0,-0.2,48,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,9.4,,,2500 or more  or no clouds.,,,12.0,-11.4,No precipitation,12,,,,
28.03.2020 23:00,2.9,762.3,767.2,0.3,28,Wind blowing from the south-west,2,,7,,Cloud development not observed or not observable. ,,,-6.4,9.4,,,2500 or more  or no clouds.,,,13.0,-13.8,No precipitation,12,,,,
28.03.2020 20:00,2.5,762.0,766.9,0.3,29,Wind blowing from the south,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,9.4,,,,,,20.0,-13.7,No precipitation,12,,,,
28.03.2020 17:00,8.7,761.7,766.6,-1.6,13,Wind blowing from the south-west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,9.4,,,,,,30.0,-18.2,No precipitation,12,,,,
28.03.2020 14:00,8.5,763.3,768.1,-2.1,12,Wind blowing from the west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,9.2,,,,,,30.0,-19.3,No precipitation,12,,,,
28.03.2020 11:00,6.3,765.4,770.2,-0.5,15,Wind blowing from the north-west,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,9.2,,,,,,30.0,-18.5,No precipitation,12,,,,
28.03.2020 08:00,2.1,765.9,770.8,0.9,39,Wind blowing from the south,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,9.2,,,,,,14.0,-10.4,No precipitation,12,,,,
28.03.2020 05:00,-5.7,765.0,769.9,,68,Wind blowing from the east-southeast,1,,10,,Cloud development not observed or not observable. ,,,-5.7,9.2,,,2500 or more  or no clouds.,,,17.0,-10.7,No precipitation,12,,,,
28.03.2020 02:00,-2.7,764.8,769.6,0.0,41,Wind blowing from the west-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.2,,,2500 or more  or no clouds.,,,28.0,-14.4,No precipitation,12,,,,
27.03.2020 23:00,-0.2,764.8,769.6,0.9,28,Wind blowing from the west-southwest,1,,13,,Cloud development not observed or not observable. ,,,-4.9,9.2,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
27.03.2020 20:00,4.0,763.9,768.7,2.1,20,Wind blowing from the north-northwest,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.2,,,,,,30.0,-16.9,No precipitation,12,,,,
27.03.2020 17:00,7.1,761.8,766.6,0.1,15,Wind blowing from the north-northwest,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.2,,,,,,30.0,-17.8,No precipitation,12,,,,
27.03.2020 14:00,7.8,761.7,766.6,-1.1,18,Wind blowing from the north-west,3,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,8.1,,,1000-1500,,,30.0,-15.1,No precipitation,12,,,,
