Local time in Qingdao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,11.4,757.0,764.0,-1.2,62,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,12.1,,,2500 or more  or no clouds.,,,30.0,4.2,No precipitation,12,,,,
06.04.2020 14:00,11.9,758.2,765.4,-1.6,67,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,12.1,,,2500 or more  or no clouds.,,,18.0,5.8,No precipitation,12,,,,
06.04.2020 11:00,11.9,759.8,766.9,-0.4,67,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,13.4,,,2500 or more  or no clouds.,,,13.0,6.0,No precipitation,12,,,,
06.04.2020 08:00,9.3,760.2,767.3,0.2,86,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,2500 or more  or no clouds.,,,10.0,7.1,No precipitation,12,,,,
06.04.2020 05:00,7.5,760.0,767.2,-0.9,81,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,,,4.7,,,,2500 or more  or no clouds.,,,30.0,4.5,No precipitation,12,,,,
06.04.2020 02:00,7.6,760.9,768.1,-1.0,76,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,13.4,,,2500 or more  or no clouds.,,,30.0,3.5,No precipitation,12,,,,
05.04.2020 23:00,7.5,761.9,769.0,-0.2,67,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,,,4.7,13.4,,,2500 or more  or no clouds.,,,30.0,1.6,No precipitation,12,,,,
05.04.2020 20:00,8.2,762.1,769.3,0.5,57,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,13.4,,,2500 or more  or no clouds.,,,30.0,0.0,No precipitation,12,,,,
05.04.2020 17:00,9.3,761.6,768.8,-1.5,43,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,13.4,,,2500 or more  or no clouds.,,,30.0,-2.9,No precipitation,12,,,,
05.04.2020 14:00,11.0,763.1,770.2,-2.0,26,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,13.4,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
05.04.2020 11:00,10.3,765.1,772.3,-0.7,25,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,14.5,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
05.04.2020 08:00,6.0,765.8,773.0,1.1,41,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,,,,2500 or more  or no clouds.,,,24.0,-6.3,No precipitation,12,,,,
05.04.2020 05:00,5.4,764.7,771.9,-0.3,38,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,,,5.4,14.5,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
05.04.2020 02:00,6.5,765.0,772.2,-0.4,25,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,14.5,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
04.04.2020 23:00,7.5,765.4,772.6,0.3,18,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,,,7.1,14.5,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
04.04.2020 20:00,7.8,765.1,772.3,1.5,59,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,14.5,,,2500 or more  or no clouds.,,,30.0,0.1,No precipitation,12,,,,
04.04.2020 17:00,9.5,763.6,770.7,0.0,47,Wind blowing from the south-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.5,,,2500 or more  or no clouds.,,,30.0,-1.5,No precipitation,12,,,,
04.04.2020 14:00,11.1,763.6,770.8,-0.6,45,Wind blowing from the south-southeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.5,,,2500 or more  or no clouds.,,,30.0,-0.4,No precipitation,12,,,,
04.04.2020 11:00,13.2,764.2,771.3,1.5,21,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,16.3,,,2500 or more  or no clouds.,,,25.0,-8.6,No precipitation,12,,,,
04.04.2020 08:00,11.5,762.7,769.9,2.4,29,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,,,,2500 or more  or no clouds.,,,10.0,-5.9,No precipitation,12,,,,
04.04.2020 05:00,9.8,760.3,767.3,1.1,72,Wind blowing from the north-west,3,,6,,Mist. ,,,7.6,,,,2500 or more  or no clouds.,,,4.8,5.0,No precipitation,12,,,,
04.04.2020 02:00,9.0,759.2,766.3,-0.4,85,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.3,,,2500 or more  or no clouds.,,,5.0,6.6,No precipitation,12,,,,
03.04.2020 23:00,9.4,759.6,766.6,0.2,81,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,,,7.6,16.3,,,2500 or more  or no clouds.,,,7.0,6.3,No precipitation,12,,,,
03.04.2020 20:00,9.8,759.4,766.5,0.6,81,Wind blowing from the south,4,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.3,,,2500 or more  or no clouds.,,,6.0,6.7,No precipitation,12,,,,
03.04.2020 17:00,11.5,758.8,766.0,-1.0,70,Wind blowing from the south,4,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.3,,,2500 or more  or no clouds.,,,6.0,6.2,No precipitation,12,,,,
03.04.2020 14:00,13.8,759.8,766.9,-1.6,57,Wind blowing from the south,4,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,16.3,,,2500 or more  or no clouds.,,,5.0,5.4,No precipitation,12,,,,
03.04.2020 11:00,14.2,761.4,768.4,-0.2,43,Wind blowing from the west,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,14.7,,,2500 or more  or no clouds.,,,10.0,1.8,No precipitation,12,,,,
03.04.2020 08:00,9.3,761.6,768.7,0.7,71,Wind blowing from the north,3,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,,,,2500 or more  or no clouds.,,,5.0,4.3,No precipitation,12,,,,
03.04.2020 05:00,7.7,760.9,768.1,-0.3,77,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,,,7.4,14.7,,,2500 or more  or no clouds.,,,9.0,3.9,No precipitation,12,,,,
03.04.2020 02:00,8.5,761.2,768.4,-0.6,58,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,14.7,,,2500 or more  or no clouds.,,,15.0,0.7,No precipitation,12,,,,
02.04.2020 23:00,8.5,761.8,769.0,0.6,48,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,,,7.2,14.7,,,2500 or more  or no clouds.,,,30.0,-1.9,No precipitation,12,,,,
02.04.2020 20:00,9.0,761.2,768.3,0.4,56,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,14.7,,,2500 or more  or no clouds.,,,30.0,0.7,No precipitation,12,,,,
02.04.2020 17:00,11.4,760.8,767.9,-0.4,31,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,14.7,,,2500 or more  or no clouds.,,,30.0,-5.1,No precipitation,12,,,,
02.04.2020 14:00,13.5,761.2,768.4,-1.4,16,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,15.4,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
02.04.2020 11:00,11.5,762.6,769.7,-0.1,18,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,15.4,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
02.04.2020 08:00,8.2,762.7,769.9,0.7,31,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,,,,2500 or more  or no clouds.,,,26.0,-7.9,No precipitation,12,,,,
02.04.2020 05:00,7.4,762.0,769.1,0.3,48,Wind blowing from the north-northwest,3,,11,,Cloud development not observed or not observable. ,,,7.2,15.4,,,2500 or more  or no clouds.,,,30.0,-2.9,No precipitation,12,,,,
02.04.2020 02:00,7.7,761.7,768.7,-0.1,36,Wind blowing from the north-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,15.4,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
01.04.2020 23:00,7.6,761.8,768.9,0.6,39,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,,,7.6,15.4,,,2500 or more  or no clouds.,,,30.0,-5.5,No precipitation,12,,,,
01.04.2020 20:00,9.0,761.2,768.4,1.3,34,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.4,,,2500 or more  or no clouds.,,,30.0,-6.0,No precipitation,12,,,,
01.04.2020 17:00,13.2,759.9,766.9,-0.5,27,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.4,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
01.04.2020 14:00,14.8,760.4,767.5,-1.4,19,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,14.8,,,2500 or more  or no clouds.,,,30.0,-8.6,No precipitation,12,,,,
01.04.2020 11:00,12.1,761.8,769.0,1.0,19,Wind blowing from the north,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,12.8,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
01.04.2020 08:00,9.5,760.8,767.9,,42,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,,,,2500 or more  or no clouds.,,,15.0,-2.8,No precipitation,12,,,,
31.03.2020 23:00,9.9,758.1,765.1,1.5,80,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,,,7.1,12.8,,,2500 or more  or no clouds.,,,9.0,6.6,No precipitation,12,,,,
31.03.2020 20:00,9.2,756.6,763.7,1.3,92,Wind blowing from the south,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,12.8,,,2500 or more  or no clouds.,,,11.0,8.0,No precipitation,12,,,,
31.03.2020 17:00,10.0,755.3,762.4,-0.6,81,Wind blowing from the south,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,12.8,,,,,,14.0,6.9,No precipitation,12,,,,
31.03.2020 14:00,11.2,755.9,763.0,-1.8,75,Wind blowing from the south,4,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,12.8,,,2500 or more  or no clouds.,,,15.0,6.9,No precipitation,12,,,,
31.03.2020 11:00,11.1,757.7,764.8,0.1,76,Wind blowing from the south,3,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.2,,,2500 or more  or no clouds.,,,21.0,7.0,No precipitation,12,,,,
31.03.2020 08:00,9.0,757.6,764.8,-0.2,85,Wind blowing from the south-southeast,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.1,,,,,,30.0,6.6,No precipitation,12,,,,
31.03.2020 05:00,7.3,757.8,764.9,-0.3,88,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,,,6.2,11.1,,,2500 or more  or no clouds.,,,30.0,5.4,No precipitation,12,,,,
31.03.2020 02:00,7.4,758.1,765.2,-0.7,81,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,11.1,,,2500 or more  or no clouds.,,,30.0,4.4,No precipitation,12,,,,
30.03.2020 23:00,7.7,758.8,766.0,0.2,82,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,,,6.1,11.1,,,2500 or more  or no clouds.,,,30.0,4.8,No precipitation,12,,,,
30.03.2020 20:00,8.1,758.6,765.7,0.7,84,Wind blowing from the south,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,11.1,,,,,,20.0,5.6,No precipitation,12,,,,
30.03.2020 17:00,9.4,757.9,765.0,-0.3,73,Wind blowing from the south-southeast,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,11.1,,,,,,26.0,4.8,No precipitation,12,,,,
30.03.2020 14:00,10.6,758.2,765.3,-1.3,72,Wind blowing from the south,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,11.1,,,,,,25.0,5.8,No precipitation,12,,,,
30.03.2020 11:00,10.6,759.5,766.6,0.1,70,Wind blowing from the south,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,10.8,,,,,,27.0,5.4,No precipitation,12,,,,
30.03.2020 08:00,8.7,759.4,766.5,0.6,78,Wind blowing from the south,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,9.5,,,,,,30.0,5.1,No precipitation,12,,,,
30.03.2020 05:00,6.3,758.8,766.0,0.0,82,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,,,4.6,9.5,,,2500 or more  or no clouds.,,,30.0,3.5,No precipitation,12,,,,
30.03.2020 02:00,6.6,758.8,766.0,-0.5,73,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,9.5,,,2500 or more  or no clouds.,,,30.0,2.1,No precipitation,12,,,,
29.03.2020 23:00,7.0,759.3,766.4,0.8,67,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,,,4.5,9.5,,,2500 or more  or no clouds.,,,30.0,1.3,No precipitation,12,,,,
29.03.2020 20:00,7.3,758.5,765.7,0.0,61,Wind blowing from the south,4,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.5,,,2500 or more  or no clouds.,,,30.0,0.1,No precipitation,12,,,,
29.03.2020 17:00,7.9,758.5,765.7,-1.0,62,Wind blowing from the south,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,9.5,,,2500 or more  or no clouds.,,,30.0,1.1,No precipitation,12,,,,
29.03.2020 14:00,8.5,759.5,766.7,-1.7,61,Wind blowing from the south,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,9.5,,,2500 or more  or no clouds.,,,30.0,1.4,No precipitation,12,,,,
29.03.2020 11:00,8.5,761.2,768.4,0.3,62,Wind blowing from the south,4,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,10.9,,,2500 or more  or no clouds.,,,30.0,1.6,No precipitation,12,,,,
29.03.2020 08:00,7.9,760.9,768.1,0.1,59,Wind blowing from the south-southeast,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,10.9,,,,,,28.0,0.2,No precipitation,12,,,,
29.03.2020 05:00,4.7,760.8,768.0,-0.6,68,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,,,4.5,10.9,,,2500 or more  or no clouds.,,,30.0,-0.7,No precipitation,12,,,,
29.03.2020 02:00,5.0,761.4,768.6,-0.9,66,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,10.9,,,2500 or more  or no clouds.,,,30.0,-0.8,No precipitation,12,,,,
28.03.2020 23:00,5.9,762.3,769.5,0.2,57,Wind blowing from the south-southwest,1,,7,,Cloud development not observed or not observable. ,,,5.7,10.9,,,2500 or more  or no clouds.,,,30.0,-2.0,No precipitation,12,,,,
28.03.2020 20:00,6.5,762.1,769.3,0.9,50,Wind blowing from the south,2,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,10.9,,,2500 or more  or no clouds.,,,30.0,-3.2,No precipitation,12,,,,
28.03.2020 17:00,7.3,761.2,768.4,-1.3,42,Wind blowing from the south,4,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,10.9,,,2500 or more  or no clouds.,,,30.0,-4.8,No precipitation,12,,,,
28.03.2020 14:00,9.1,762.5,769.7,-1.7,33,Wind blowing from the south,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,10.9,,,,,,30.0,-6.3,No precipitation,12,,,,
28.03.2020 11:00,9.3,764.2,771.4,0.0,26,Wind blowing from the west-northwest,3,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,10.8,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
28.03.2020 08:00,6.9,764.2,771.4,0.8,22,Wind blowing from the north,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
28.03.2020 05:00,5.8,763.4,770.6,0.4,23,Wind blowing from the north,2,,12,,Cloud development not observed or not observable. ,,,5.8,10.8,,,2500 or more  or no clouds.,,,29.0,-13.7,No precipitation,12,,,,
28.03.2020 02:00,6.4,763.0,770.2,-0.3,27,Wind blowing from the north-northwest,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.8,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
27.03.2020 23:00,6.4,763.3,770.5,-0.2,15,Wind blowing from the north,3,,16,,Cloud development not observed or not observable. ,,,5.9,10.8,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
27.03.2020 20:00,7.2,763.5,770.7,2.3,22,Wind blowing from the north-northwest,5,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.8,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
27.03.2020 17:00,8.9,761.2,768.4,0.1,23,Wind blowing from the north-northwest,7,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.8,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
27.03.2020 14:00,10.5,761.1,768.2,-1.3,16,Wind blowing from the north-northwest,8,,19,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,14.3,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
27.03.2020 11:00,8.9,762.4,769.6,1.5,19,Wind blowing from the north,8,,19,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,2500 or more  or no clouds.,,,27.0,-13.5,No precipitation,12,,,,
27.03.2020 08:00,6.4,760.9,768.1,1.7,32,Wind blowing from the north,8,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,,,,29.0,-9.1,No precipitation,12,,,,
