Local time in Anqing,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 02:00,11.2,761.7,767.5,-0.1,76,Wind blowing from the north-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,17.6,,,2500 or more  or no clouds.,,,13.0,7.1,No precipitation,12,,,,
03.04.2020 23:00,14.0,761.8,767.5,0.3,52,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,,,10.2,17.6,,,2500 or more  or no clouds.,,,18.0,4.3,No precipitation,12,,,,
03.04.2020 20:00,14.4,761.5,767.3,1.2,56,Wind blowing from the south-east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,17.6,,,2500 or more  or no clouds.,,,16.0,5.7,No precipitation,12,,,,
03.04.2020 17:00,16.2,760.3,766.1,-1.0,54,Wind blowing from the north-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,17.6,,,2500 or more  or no clouds.,,,17.0,6.9,No precipitation,12,,,,
03.04.2020 14:00,17.2,761.3,767.0,-1.3,49,Wind blowing from the north-east,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,17.2,,,2500 or more  or no clouds.,,,17.0,6.4,No precipitation,12,,,,
03.04.2020 11:00,15.7,762.6,768.4,0.7,62,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,16.8,,,2500 or more  or no clouds.,,,15.0,8.4,No precipitation,12,,,,
03.04.2020 08:00,11.7,761.9,767.7,1.1,75,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,16.8,,,2500 or more  or no clouds.,,,13.0,7.4,No precipitation,12,,,,
03.04.2020 05:00,11.6,760.8,766.6,-0.6,74,Wind blowing from the north-northeast,4,,8,,Cloud development not observed or not observable. ,,,10.5,16.8,,,2500 or more  or no clouds.,,,17.0,7.1,No precipitation,12,,,,
03.04.2020 02:00,13.1,761.4,767.1,0.2,59,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.8,,,2500 or more  or no clouds.,,,18.0,5.3,No precipitation,12,,,,
02.04.2020 23:00,13.2,761.2,767.0,-0.2,59,Wind blowing from the north-northeast,2,,12,,Cloud development not observed or not observable. ,,,10.5,16.8,,,2500 or more  or no clouds.,,,18.0,5.4,No precipitation,12,,,,
02.04.2020 20:00,13.5,761.4,767.2,1.1,57,Wind blowing from the north-east,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.8,,,2500 or more  or no clouds.,,,20.0,5.2,No precipitation,12,,,,
02.04.2020 17:00,14.8,760.3,766.0,0.6,51,Wind blowing from the north-northeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.8,,,2500 or more  or no clouds.,,,19.0,4.8,No precipitation,12,,,,
02.04.2020 14:00,16.0,759.7,765.4,-1.8,58,Wind blowing from the north-east,8,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.8,,,2500 or more  or no clouds.,,,10.0,7.7,No precipitation,12,,,,
02.04.2020 11:00,14.9,761.5,767.3,0.7,70,Wind blowing from the north-east,4,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,15.6,,,2500 or more  or no clouds.,,,6.0,9.5,No precipitation,12,,,,
02.04.2020 08:00,11.3,760.8,766.6,0.3,92,Wind blowing from the north-northeast,5,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,15.6,,,2500 or more  or no clouds.,,,2.4,10.0,No precipitation,12,,,,
02.04.2020 05:00,10.9,760.5,766.3,-0.1,90,Wind blowing from the north-northeast,4,,8,,Mist. ,,,9.0,15.6,,,2500 or more  or no clouds.,,,5.0,9.3,No precipitation,12,,,,
02.04.2020 02:00,12.2,760.6,766.3,-0.5,83,Wind blowing from the north-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,15.6,,,2500 or more  or no clouds.,,,8.0,9.4,No precipitation,12,,,,
01.04.2020 23:00,12.2,761.1,766.9,0.8,88,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,,,8.5,15.6,,,2500 or more  or no clouds.,,,10.0,10.3,No precipitation,12,,,,
01.04.2020 20:00,13.2,760.3,766.1,0.3,84,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,15.6,,,2500 or more  or no clouds.,,,10.0,10.6,No precipitation,12,,,,
01.04.2020 17:00,14.2,760.0,765.7,-0.6,75,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,15.6,,,2500 or more  or no clouds.,,,13.0,9.8,No precipitation,12,,,,
01.04.2020 14:00,14.6,760.6,766.3,-1.8,74,Wind blowing from the north-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,15.4,,,2500 or more  or no clouds.,,,14.0,10.0,No precipitation,12,,,,
01.04.2020 11:00,12.7,762.4,768.2,0.1,84,Wind blowing from the north-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,12.8,,,2500 or more  or no clouds.,,,11.0,10.1,No precipitation,12,,,,
01.04.2020 08:00,9.6,762.3,768.1,2.6,99,Wind blowing from the west,0,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,10.3,,,2500 or more  or no clouds.,,,3.6,9.5,0.1,12,,,,
01.04.2020 05:00,9.0,759.7,765.5,0.1,99,Wind blowing from the north-east,2,,,,Mist. ,,,8.5,10.3,,,2500 or more  or no clouds.,,,3.6,8.9,0.3,12,,,,
01.04.2020 02:00,8.6,759.6,765.4,-0.1,99,Wind blowing from the north-northwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,10.3,,,2500 or more  or no clouds.,,,1.1,8.5,0.5,12,,,,
31.03.2020 23:00,8.7,759.7,765.5,1.5,99,Wind blowing from the north-east,1,,,,Mist. ,,,8.5,10.3,,,2500 or more  or no clouds.,,,2.7,8.6,0.5,12,,,,
31.03.2020 20:00,9.1,758.2,764.1,1.4,99,Wind blowing from the west,1,,3,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,10.3,,,1000-1500,,,3.1,9.0,0.4,12,,,,
31.03.2020 17:00,9.2,756.8,762.7,0.1,98,Wind blowing from the west,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,10.3,,,100-200,,,3.8,8.9,0.2,12,,,,
31.03.2020 14:00,10.1,756.7,762.4,-1.2,92,Wind blowing from the west-southwest,2,,6,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,10.3,,,1000-1500,,,4.7,8.9,Trace of precipitation,12,,,,
31.03.2020 11:00,10.2,757.9,763.6,0.2,90,Wind blowing from the north-northwest,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,10.2,,,200-300,,,6.0,8.6,No precipitation,12,,,,
31.03.2020 08:00,9.2,757.7,763.6,0.2,94,Wind blowing from the south-southwest,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.6,,,1000-1500,,,5.0,8.3,No precipitation,12,,,,
31.03.2020 05:00,8.6,757.5,763.3,-1.4,94,Wind blowing from the east-northeast,2,,6,,Mist. ,,,,9.6,,,2500 or more  or no clouds.,,,5.0,7.7,No precipitation,12,,,,
31.03.2020 02:00,8.9,758.9,764.8,-0.8,90,Wind blowing from the north,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.6,,,2500 or more  or no clouds.,,,7.0,7.4,No precipitation,12,,,,
30.03.2020 23:00,8.8,759.7,765.6,0.9,91,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,,,5.6,9.6,,,2500 or more  or no clouds.,,,7.0,7.4,No precipitation,12,,,,
30.03.2020 20:00,8.7,758.8,764.7,0.3,93,Wind blowing from the east-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,9.6,,,600-1000,,,8.0,7.6,Trace of precipitation,12,,,,
30.03.2020 17:00,9.1,758.5,764.3,-0.8,86,Wind blowing from the north-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,9.6,,,600-1000,,,17.0,6.9,No precipitation,12,,,,
30.03.2020 14:00,8.7,759.3,765.1,-1.2,88,Wind blowing from the north-northeast,3,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,8.8,,,300-600,,,15.0,6.8,Trace of precipitation,12,,,,
30.03.2020 11:00,7.6,760.5,766.4,0.4,93,Wind blowing from the north-east,2,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,7.7,,,200-300,,,11.0,6.5,0.1,12,,,,
30.03.2020 08:00,6.7,760.1,766.0,0.7,95,Wind blowing from the north-northeast,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,6.7,,,300-600,,,12.0,6.0,0.3,12,,,,
30.03.2020 05:00,6.2,759.4,765.3,-0.4,95,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,5.5,6.6,,,2500 or more  or no clouds.,,,14.0,5.5,0.5,12,,,,
30.03.2020 02:00,5.9,759.8,765.7,0.4,93,Wind blowing from the north,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,,,,2500 or more  or no clouds.,,,13.0,4.9,1.0,12,,,,
29.03.2020 23:00,5.6,759.4,765.3,0.6,97,Wind blowing from the north-northwest,3,,11,,Rain (not freezing) not falling as shower(s). ,,,5.5,,,,2500 or more  or no clouds.,,,10.0,5.2,2.0,12,,,,
29.03.2020 20:00,5.6,758.8,764.7,0.5,97,Wind blowing from the north,3,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,7.4,,,100-200,,,12.0,5.2,10.0,12,,,,
29.03.2020 17:00,5.7,758.3,764.2,-0.6,97,Wind blowing from the north-northeast,4,,11,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,,,,200-300,,,8.0,5.3,13.0,12,,,,
29.03.2020 14:00,5.7,758.9,764.8,-1.0,96,Wind blowing from the north,5,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.7,8.3,,,200-300,,,8.0,5.1,13.0,12,,,,
29.03.2020 11:00,6.0,759.9,765.7,0.3,95,Wind blowing from the north-northeast,5,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.0,8.3,,,600-1000,,,6.0,5.3,12.0,12,,,,
29.03.2020 08:00,6.3,759.6,765.4,-0.8,95,Wind blowing from the north-northeast,3,,10,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.3,,,300-600,,,4.7,5.6,4.0,12,,,,
29.03.2020 05:00,6.3,760.4,766.3,-1.2,92,Wind blowing from the north-east,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,,8.3,,,2500 or more  or no clouds.,,,14.0,5.1,0.7,12,,,,
29.03.2020 02:00,6.8,761.6,767.5,-1.6,87,Wind blowing from the north,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.3,,,2500 or more  or no clouds.,,,17.0,4.8,0.1,12,,,,
28.03.2020 23:00,7.2,763.2,769.1,0.4,83,Wind blowing from the north-west,2,,11,,Cloud development not observed or not observable. ,,,2.9,8.3,,,2500 or more  or no clouds.,,,26.0,4.5,No precipitation,12,,,,
28.03.2020 20:00,7.2,762.8,768.7,-0.4,79,Wind blowing from the north-northeast,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,8.3,,,1000-1500,,,27.0,3.8,0.3,12,,,,
28.03.2020 17:00,8.0,763.2,769.1,-0.7,70,Wind blowing from the east-northeast,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,9.1,,,1000-1500,,,26.0,2.9,2.0,12,,,,
28.03.2020 14:00,6.5,763.9,769.9,-1.8,77,Wind blowing from the north-east,4,,15,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,2.9,10.2,,,600-1000,,,27.0,2.8,7.0,12,,,,
28.03.2020 11:00,4.9,765.7,771.6,0.1,88,Wind blowing from the north-northeast,7,,19,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,10.3,,,300-600,,,21.0,3.1,15.0,12,,,,
28.03.2020 08:00,3.1,765.6,771.5,2.0,97,Wind blowing from the north-east,4,,19,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,2.9,10.3,,,200-300,,,10.0,2.7,22.0,12,,,,
28.03.2020 05:00,3.7,763.6,769.6,,93,Wind blowing from the north-east,5,,19,,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,3.7,11.0,,,,,,8.0,2.7,13.0,6,,,,
28.03.2020 02:00,5.9,762.4,768.2,0.5,95,Wind blowing from the north-northeast,9,,19,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,13.0,,,2500 or more  or no clouds.,,,7.0,5.2,18.0,12,,,,
27.03.2020 23:00,7.6,761.9,767.8,0.4,94,Wind blowing from the north,10,,19,,Rain  not freezing  intermittent  moderate at time of observation. ,,,7.5,,,,2500 or more  or no clouds.,,,5.0,6.7,9.0,12,,,,
27.03.2020 20:00,7.8,761.5,767.4,1.2,93,Wind blowing from the north,8,,18,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,300-600,,,8.0,6.7,2.0,12,,,,
27.03.2020 17:00,9.1,760.3,766.1,0.0,74,Wind blowing from the north-northeast,5,,22,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,1000-1500,,,26.0,4.7,No precipitation,12,,,,
27.03.2020 14:00,10.1,760.3,766.0,-1.5,70,Wind blowing from the north-northeast,10,,24,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,600-1000,,,21.0,4.9,No precipitation,12,,,,
27.03.2020 11:00,9.3,761.8,767.6,0.9,84,Wind blowing from the north-northeast,10,,24,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,24.2,,,300-600,,,25.0,6.7,0.9,12,,,,
27.03.2020 08:00,9.3,760.9,766.7,2.7,94,Wind blowing from the north,8,,24,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,24.2,,,200-300,,,13.0,8.4,4.0,12,,,,
27.03.2020 05:00,11.0,758.2,763.9,1.6,89,Wind blowing from the north,12,,24,,Cloud development not observed or not observable. ,,,11.0,24.2,,,2500 or more  or no clouds.,,,30.0,9.3,10.0,12,,,,
27.03.2020 02:00,12.9,756.6,762.2,1.2,86,Wind blowing from the north,11,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,24.2,,,2500 or more  or no clouds.,,,24.0,10.6,23.0,12,,,,
