Local time in Dalian (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 05:00,3.7,762.9,771.6,-0.8,67,Wind blowing from the north,3,,15,,Cloud development not observed or not observable. ,,,3.7,8.9,,,2500 or more  or no clouds.,,,30.0,-1.9,No precipitation,12,,,,
05.04.2020 02:00,3.8,763.7,772.4,-0.3,67,Wind blowing from the north,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,9.2,,,2500 or more  or no clouds.,,,30.0,-1.8,No precipitation,12,,,,
04.04.2020 23:00,4.2,764.0,772.7,1.2,67,Wind blowing from the north,4,,15,,Cloud development not observed or not observable. ,,,4.2,15.3,,,2500 or more  or no clouds.,,,30.0,-1.4,No precipitation,12,,,,
04.04.2020 20:00,7.6,762.8,771.5,0.9,17,Wind blowing from the north,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
04.04.2020 17:00,8.3,761.9,770.5,-1.0,18,Wind blowing from the north,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,15.3,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
04.04.2020 14:00,8.0,762.9,771.5,-0.7,19,Wind blowing from the north,5,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
04.04.2020 11:00,7.8,763.6,772.2,0.8,15,Wind blowing from the north-northeast,5,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,19.0,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
04.04.2020 08:00,5.1,762.8,771.4,2.1,19,Wind blowing from the north-northeast,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,19.0,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
04.04.2020 05:00,5.2,760.7,769.3,2.0,21,Wind blowing from the north-northeast,9,,18,,Cloud development not observed or not observable. ,,,5.2,19.0,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
04.04.2020 02:00,9.3,758.7,767.1,2.7,23,Wind blowing from the north-northeast,7,,17,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,19.0,,,2500 or more  or no clouds.,,,7.0,-10.8,No precipitation,12,,,,
03.04.2020 23:00,14.9,756.0,764.3,1.1,19,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,,,8.9,19.0,,,2500 or more  or no clouds.,,,29.0,-8.5,No precipitation,12,,,,
03.04.2020 20:00,13.0,754.9,763.3,0.3,28,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,19.0,,,2500 or more  or no clouds.,,,14.0,-5.1,No precipitation,12,,,,
03.04.2020 17:00,15.1,754.6,763.0,-0.7,38,Wind blowing from the south-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,19.0,,,2500 or more  or no clouds.,,,7.0,0.9,No precipitation,12,,,,
03.04.2020 14:00,18.5,755.3,763.6,-1.6,20,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.7,,,2500 or more  or no clouds.,,,13.0,-4.9,No precipitation,12,,,,
03.04.2020 11:00,14.9,756.9,765.3,-0.4,40,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,15.5,,,2500 or more  or no clouds.,,,7.0,1.4,No precipitation,12,,,,
03.04.2020 08:00,13.1,757.3,765.8,0.3,39,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,15.3,,,2500 or more  or no clouds.,,,12.0,-0.5,No precipitation,12,,,,
03.04.2020 05:00,10.4,757.0,765.4,-0.7,41,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,6.8,15.3,,,2500 or more  or no clouds.,,,17.0,-2.3,No precipitation,12,,,,
03.04.2020 02:00,10.0,757.7,766.2,-0.4,54,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,15.3,,,2500 or more  or no clouds.,,,15.0,0.9,No precipitation,12,,,,
02.04.2020 23:00,9.0,758.1,766.6,-0.1,54,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,,,6.2,15.3,,,2500 or more  or no clouds.,,,13.0,0.2,No precipitation,12,,,,
02.04.2020 20:00,9.2,758.2,766.7,0.5,53,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.3,,,2500 or more  or no clouds.,,,13.0,0.1,No precipitation,12,,,,
02.04.2020 17:00,12.1,757.7,766.2,-0.3,41,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.3,,,2500 or more  or no clouds.,,,15.0,-0.7,No precipitation,12,,,,
02.04.2020 14:00,14.1,758.0,766.5,-0.8,30,Wind blowing from the west-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.3,,,2500 or more  or no clouds.,,,15.0,-3.2,No precipitation,12,,,,
02.04.2020 11:00,14.5,758.8,767.3,-0.4,23,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,14.8,,,2500 or more  or no clouds.,,,28.0,-6.4,No precipitation,12,,,,
02.04.2020 08:00,10.8,759.2,767.8,0.4,31,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,10.8,,,2500 or more  or no clouds.,,,28.0,-5.6,No precipitation,12,,,,
02.04.2020 05:00,7.2,758.8,767.3,-0.3,40,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,,,6.1,10.4,,,2500 or more  or no clouds.,,,30.0,-5.5,No precipitation,12,,,,
02.04.2020 02:00,6.6,759.1,767.6,-0.3,29,Wind blowing from the north,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,10.4,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
01.04.2020 23:00,6.3,759.4,768.0,0.6,20,Wind blowing from the north-west,2,,13,,Cloud development not observed or not observable. ,,,6.1,11.4,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
01.04.2020 20:00,7.7,758.8,767.4,0.9,20,Wind blowing from the north,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,11.7,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
01.04.2020 17:00,9.5,757.9,766.5,-0.3,22,Wind blowing from the north,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,11.9,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
01.04.2020 14:00,9.7,758.2,766.8,-1.5,21,Wind blowing from the north,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
01.04.2020 11:00,9.5,759.7,768.1,0.1,20,Wind blowing from the north,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.7,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
01.04.2020 08:00,7.6,759.6,768.1,1.1,20,Wind blowing from the north-northeast,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,15.7,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
01.04.2020 05:00,7.2,758.5,767.1,0.7,18,Wind blowing from the north-northeast,6,,16,,Cloud development not observed or not observable. ,,,7.0,15.7,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
01.04.2020 02:00,9.4,757.8,766.3,1.1,22,Wind blowing from the north,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,15.7,,,2500 or more  or no clouds.,,,29.0,-11.2,No precipitation,12,,,,
31.03.2020 23:00,11.3,756.7,765.1,1.0,25,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,,,6.7,15.7,,,2500 or more  or no clouds.,,,24.0,-8.0,No precipitation,12,,,,
31.03.2020 20:00,10.2,755.7,764.2,1.6,54,Wind blowing from the north-northwest,2,,8,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,15.7,,,2500 or more  or no clouds.,,,6.0,1.1,No precipitation,12,,,,
31.03.2020 17:00,11.9,754.1,762.6,-0.3,53,Wind blowing from the north,3,,8,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,15.7,,,2500 or more  or no clouds.,,,6.0,2.6,No precipitation,12,,,,
31.03.2020 14:00,14.8,754.4,762.8,-1.1,40,Wind blowing from the north-northwest,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,15.2,,,2500 or more  or no clouds.,,,11.0,1.3,No precipitation,12,,,,
31.03.2020 11:00,14.3,755.5,764.0,0.0,39,Wind blowing from the south-southeast,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,14.3,,,2500 or more  or no clouds.,,,13.0,0.5,No precipitation,12,,,,
31.03.2020 08:00,9.4,755.5,764.1,0.4,49,Wind blowing from the south-southwest,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,,,,2500 or more  or no clouds.,,,10.0,-1.0,No precipitation,12,,,,
31.03.2020 05:00,7.5,755.1,763.6,-0.6,54,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,,,4.2,13.8,,,2500 or more  or no clouds.,,,10.0,-1.2,No precipitation,12,,,,
31.03.2020 02:00,7.3,755.7,764.2,-1.1,66,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,13.8,,,2500 or more  or no clouds.,,,9.0,1.4,No precipitation,12,,,,
30.03.2020 23:00,6.9,756.8,765.4,0.2,67,Wind blowing from the south-southwest,3,,7,,Haze. ,,,4.2,13.8,,,2500 or more  or no clouds.,,,5.0,1.2,No precipitation,12,,,,
30.03.2020 20:00,8.1,756.6,765.1,1.1,64,Wind blowing from the south-southwest,3,,7,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,13.8,,,,,,6.0,1.7,No precipitation,12,,,,
30.03.2020 17:00,12.4,755.5,764.0,-0.6,41,Wind blowing from the south-southwest,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,13.8,,,2500 or more  or no clouds.,,,12.0,-0.5,No precipitation,12,,,,
30.03.2020 14:00,12.3,756.1,764.6,-1.1,54,Wind blowing from the south-southwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,12.3,,,,,,8.0,3.3,No precipitation,12,,,,
30.03.2020 11:00,10.4,757.2,765.7,0.3,59,Wind blowing from the south,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,10.4,,,,,,13.0,2.7,No precipitation,12,,,,
30.03.2020 08:00,6.7,756.9,765.5,0.7,74,Wind blowing from the south-southwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,,,,,,,13.0,2.4,No precipitation,12,,,,
30.03.2020 05:00,4.4,756.2,764.8,-0.2,83,Wind blowing from the south-southwest,1,,7,,Cloud development not observed or not observable. ,,,2.8,10.9,,,2500 or more  or no clouds.,,,13.0,1.8,No precipitation,12,,,,
30.03.2020 02:00,4.4,756.4,765.0,-0.3,76,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,10.9,,,2500 or more  or no clouds.,,,27.0,0.4,No precipitation,12,,,,
29.03.2020 23:00,5.2,756.7,765.3,0.0,61,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,,,2.8,10.9,,,2500 or more  or no clouds.,,,30.0,-1.9,No precipitation,12,,,,
29.03.2020 20:00,5.4,756.7,765.3,0.2,35,Wind blowing from the south,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,10.9,,,,,,30.0,-8.8,No precipitation,12,,,,
29.03.2020 17:00,8.5,756.5,765.1,-1.2,11,Wind blowing from the south-southwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,10.9,,,,,,30.0,-20.3,No precipitation,12,,,,
29.03.2020 14:00,9.8,757.7,766.3,-1.4,10,Wind blowing from the south-southwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,10.9,,,,,,30.0,-20.4,No precipitation,12,,,,
29.03.2020 11:00,8.1,759.1,767.7,0.0,52,Wind blowing from the south-southwest,5,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,10.9,,,2500 or more  or no clouds.,,,30.0,-1.2,No precipitation,12,,,,
29.03.2020 08:00,7.1,759.1,767.8,0.3,36,Wind blowing from the south-southwest,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,9.0,,,,,,30.0,-7.0,No precipitation,12,,,,
29.03.2020 05:00,3.1,758.8,767.4,-0.8,19,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,2.6,9.0,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
29.03.2020 02:00,3.8,759.6,768.2,-0.7,16,Wind blowing from the south-southwest,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,9.0,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
28.03.2020 23:00,3.5,760.3,769.0,0.5,20,Wind blowing from the west-southwest,1,,10,,Cloud development not observed or not observable. ,,,2.6,9.0,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
28.03.2020 20:00,5.2,759.8,768.4,0.4,18,Wind blowing from the south-west,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,9.0,,,,,,30.0,-17.2,No precipitation,12,,,,
28.03.2020 17:00,8.0,759.4,768.1,-0.9,12,Wind blowing from the north-west,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,9.0,,,,,,30.0,-19.7,No precipitation,12,,,,
28.03.2020 14:00,8.0,760.3,768.9,-2.1,11,Wind blowing from the north,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,8.9,,,,,,30.0,-20.7,No precipitation,12,,,,
28.03.2020 11:00,7.6,762.4,771.1,-0.6,11,Wind blowing from the north,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,8.2,,,,,,30.0,-21.0,No precipitation,12,,,,
28.03.2020 08:00,6.0,763.0,771.7,0.9,17,Wind blowing from the north,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,7.5,,,,,,30.0,-17.2,No precipitation,12,,,,
28.03.2020 05:00,2.6,762.1,770.8,,28,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,,,2.6,7.5,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
28.03.2020 02:00,4.1,762.4,771.1,0.6,26,Wind blowing from the north-northeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,7.5,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
27.03.2020 23:00,4.0,761.8,770.5,0.8,24,Wind blowing from the east,2,,14,,Cloud development not observed or not observable. ,,,3.1,7.5,,,2500 or more  or no clouds.,,,18.0,-14.8,No precipitation,12,,,,
27.03.2020 20:00,4.4,761.0,769.7,1.9,18,Wind blowing from the west,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,7.5,,,,,,30.0,-17.9,No precipitation,12,,,,
27.03.2020 17:00,6.8,759.1,767.8,-0.5,16,Wind blowing from the north,4,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,7.5,,,,,,30.0,-17.3,No precipitation,12,,,,
27.03.2020 14:00,6.4,759.6,768.3,-0.4,23,Wind blowing from the north,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,7.3,,,,,,30.0,-13.2,No precipitation,12,,,,
