Local time in Arxan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.04.2020 17:00,6.3,673.9,763.0,-1.4,4,Wind blowing from the north-west,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,6.7,,,2500 or more  or no clouds.,,,30.0,-33.0,No precipitation,12,,,,
01.04.2020 14:00,5.7,675.3,764.8,-1.6,8,Wind blowing from the west-northwest,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,5.9,,,2500 or more  or no clouds.,,,30.0,-26.1,No precipitation,12,,,,
01.04.2020 11:00,3.5,676.9,766.9,-0.7,14,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,3.5,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
01.04.2020 08:00,-2.0,677.6,768.2,0.0,22,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,-0.2,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
01.04.2020 05:00,-8.0,677.6,768.4,-0.6,48,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,,,-9.4,-0.2,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
01.04.2020 02:00,-8.5,678.2,769.3,-0.5,49,Wind blowing from the south,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-0.2,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
31.03.2020 23:00,-8.7,678.7,770.0,0.2,47,Wind blowing from the south-southeast,1,,16,,Cloud development not observed or not observable. ,,,-9.4,-0.2,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
31.03.2020 20:00,-5.4,678.5,769.7,0.9,36,Wind blowing from the north,0,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-0.2,,,,,,30.0,-18.1,No precipitation,12,,,,
31.03.2020 17:00,-0.7,677.6,768.4,0.1,9,Wind blowing from the north-west,6,,16,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,3.3,,,600-1000,,,30.0,-29.7,No precipitation,12,,,,
31.03.2020 14:00,-1.1,677.5,767.8,-0.6,18,Wind blowing from the north-west,7,,16,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,5.3,,,600-1000,,,30.0,-22.4,No precipitation,12,,,,
31.03.2020 11:00,-2.0,678.1,768.1,0.7,27,Wind blowing from the north-west,6,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,5.6,,,600-1000,,,30.0,-18.5,No precipitation,12,,,,
31.03.2020 08:00,-4.6,677.4,767.6,1.5,41,Wind blowing from the north,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,5.6,,,,,,30.0,-15.9,No precipitation,12,,,,
31.03.2020 05:00,-7.8,675.9,765.7,0.7,50,Wind blowing from the south,1,,,,Cloud development not observed or not observable. ,,,-7.8,5.6,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
31.03.2020 02:00,-4.9,675.2,764.2,0.7,35,Wind blowing from the north-northwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,5.6,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
30.03.2020 23:00,-2.1,674.5,763.1,0.6,34,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,,,-7.1,5.6,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
30.03.2020 20:00,-1.1,673.9,763.3,1.9,38,Wind blowing from the north-northwest,3,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,5.6,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
30.03.2020 17:00,3.4,672.0,761.0,0.5,26,Wind blowing from the north-west,5,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,5.8,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
30.03.2020 14:00,5.2,671.5,760.1,-0.1,37,Wind blowing from the north-west,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,7.5,,,2500 or more  or no clouds.,,,30.0,-8.6,No precipitation,12,,,,
30.03.2020 11:00,3.7,671.6,760.2,1.4,22,Wind blowing from the west-northwest,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,8.8,,,600-1000,,,30.0,-16.1,No precipitation,12,,,,
30.03.2020 08:00,-2.0,670.2,759.2,0.5,54,Wind blowing from the east,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
30.03.2020 05:00,-6.3,669.7,757.9,-0.8,60,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,,,-7.6,8.8,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
30.03.2020 02:00,-6.1,670.5,758.7,-0.1,60,Wind blowing from the west,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,8.8,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
29.03.2020 23:00,-4.3,670.6,758.7,-0.1,55,Wind blowing from the south,2,,12,,Cloud development not observed or not observable. ,,,-8.7,8.8,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
29.03.2020 20:00,-2.0,670.7,759.1,1.3,51,Wind blowing from the south-southwest,1,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,8.8,,,,,,30.0,-10.8,No precipitation,12,,,,
29.03.2020 17:00,5.9,669.4,757.8,0.4,20,Wind blowing from the north-northwest,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,8.8,,,,,,30.0,-15.4,No precipitation,12,,,,
29.03.2020 14:00,7.2,669.0,757.4,-0.7,17,Wind blowing from the west-northwest,8,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,8.8,,,,,,30.0,-16.2,No precipitation,12,,,,
29.03.2020 11:00,5.8,669.7,757.8,-0.9,21,Wind blowing from the west-southwest,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,5.8,,,,,,30.0,-14.8,No precipitation,12,,,,
29.03.2020 08:00,1.6,670.6,759.4,-0.4,19,Wind blowing from the south,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,2.4,,,,,,30.0,-19.6,No precipitation,12,,,,
29.03.2020 05:00,-7.0,671.0,760.3,-1.1,49,Wind blowing from the east-southeast,1,,8,,Cloud development not observed or not observable. ,,,-15.6,2.4,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
29.03.2020 02:00,-8.7,672.1,762.0,-0.6,63,Wind blowing from the south-west,0,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.6,2.4,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
28.03.2020 23:00,-5.2,672.7,762.7,-0.2,44,Wind blowing from the south,2,,14,,Cloud development not observed or not observable. ,,,-15.6,2.4,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
28.03.2020 20:00,-3.5,672.9,763.4,0.2,44,Wind blowing from the south,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.6,2.4,,,,,,30.0,-14.0,No precipitation,12,,,,
28.03.2020 17:00,2.0,672.7,763.6,-0.9,21,Wind blowing from the west-northwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.6,2.4,,,,,,30.0,-18.0,No precipitation,12,,,,
28.03.2020 14:00,0.7,673.6,764.3,-1.4,26,Wind blowing from the west-northwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.6,1.1,,,,,,30.0,-16.6,No precipitation,12,,,,
28.03.2020 11:00,-2.2,675.0,766.4,-0.4,32,Wind blowing from the west-northwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.6,-2.1,,,,,,30.0,-16.7,No precipitation,12,,,,
28.03.2020 08:00,-7.0,675.4,767.1,0.2,29,Wind blowing from the west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.6,-6.8,,,,,,30.0,-22.0,No precipitation,12,,,,
28.03.2020 05:00,-14.9,675.2,768.2,-0.3,62,Wind blowing from the south,1,,15,,Cloud development not observed or not observable. ,,,-15.1,-7.3,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
28.03.2020 02:00,-12.2,675.5,768.3,-0.5,51,Wind blowing from the north,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,-7.3,,,2500 or more  or no clouds.,,,30.0,-20.3,No precipitation,12,,,,
27.03.2020 23:00,-11.8,676.0,768.9,0.0,48,Wind blowing from the north,0,,17,,Cloud development not observed or not observable. ,,,-12.3,-7.3,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
27.03.2020 20:00,-8.5,676.0,768.7,0.6,32,Wind blowing from the north-west,5,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-7.3,,,,,,30.0,-22.3,No precipitation,12,,,,
27.03.2020 17:00,-7.7,675.4,768.0,0.2,32,Wind blowing from the north-northwest,9,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-7.3,,,600-1000,,,30.0,-21.5,No precipitation,12,,,,
