Local time in Hong Kong (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 23:00,17.9,764.6,765.3,1.1,88,Wind blowing from the east,3,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Shower(s).,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,11.0,15.9,,,,,,
05.04.2020 20:00,18.2,763.5,764.2,1.4,85,Wind blowing from the east-northeast,3,,,90  or more  but not 100%,Shower(s) of rain. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,19.3,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,50%.,300-600,Altostratus opacus or Nimbostratus.,,26.0,15.6,6.0,12,,,,
05.04.2020 17:00,18.0,762.1,762.8,-1.8,89,Wind blowing from the east,5,,,90  or more  but not 100%,Shower(s) of rain. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,50%.,300-600,Altostratus opacus or Nimbostratus.,,12.0,16.1,,,,,,
05.04.2020 14:00,18.9,763.9,764.5,-1.0,81,Wind blowing from the east,4,,,100%.,Rain (not freezing) not falling as shower(s). ,Shower(s).,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,18.0,15.6,3.0,6,,,,
05.04.2020 11:00,18.6,764.9,765.6,-0.1,86,Wind blowing from the east,6,,,100%.,Clouds generally dissolving or becoming less developed. ,Shower(s).,Rain.,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,300-600,Altostratus opacus or Nimbostratus.,,20.0,16.2,,,,,,
05.04.2020 08:00,16.9,765.0,765.7,2.0,94,Wind blowing from the north-east,5,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,16.9,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,5.0,16.0,5.0,12,,,,
05.04.2020 05:00,17.9,763.0,763.8,0.1,93,Wind blowing from the north-northeast,4,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altostratus opacus or Nimbostratus.,,5.0,16.8,,,,,,
05.04.2020 02:00,20.0,762.9,763.6,-1.0,86,Wind blowing from the north-east,4,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altostratus opacus or Nimbostratus.,,10.0,17.5,0.7,6,,,,
04.04.2020 23:00,20.3,763.9,764.5,1.1,90,Wind blowing from the east-northeast,4,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altostratus opacus or Nimbostratus.,,10.0,18.6,,,,,,
04.04.2020 20:00,21.7,762.8,763.5,0.1,82,Wind blowing from the east-southeast,3,,,100%., ,,,,23.8,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altostratus opacus or Nimbostratus.,,9.0,18.5,Trace of precipitation,12,,,,
04.04.2020 17:00,21.3,762.7,763.3,0.1,85,Wind blowing from the west-northwest,4,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,8.0,18.6,,,,,,
04.04.2020 14:00,22.7,762.6,763.3,-1.9,79,Wind blowing from the east-northeast,3,,,90  or more  but not 100%,Clouds generally dissolving or becoming less developed. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,,18.0,18.8,Trace of precipitation,6,,,,
04.04.2020 11:00,19.8,764.5,765.1,0.9,92,Wind blowing from the north-east,4,,,90  or more  but not 100%,Drizzle  not freezing  intermittent  slight at time of observation. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,100-200,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,2.8,18.5,,,,,,
04.04.2020 08:00,20.3,763.6,764.2,1.6,92,Wind blowing from the north-northwest,4,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,19.6,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,14.0,19.0,5.0,12,,,,
04.04.2020 05:00,20.3,762.0,762.7,-0.7,92,Wind blowing from the north,3,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,17.0,18.9,,,,,,
04.04.2020 02:00,20.3,762.7,763.4,0.0,94,Wind blowing from the north-northwest,3,,,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratus nebulosus or Stratus fractus other than of bad weather  or both.,90  or more  but not 100%,100-200,Altocumulus translucidus at a single level.,,4.6,19.3,3.0,6,,,,
03.04.2020 23:00,20.7,762.7,763.4,0.3,88,Wind blowing from the east-southeast,5,,,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratus nebulosus or Stratus fractus other than of bad weather  or both.,50%.,200-300,Altocumulus translucidus at a single level.,,40.0,18.7,,,,,,
03.04.2020 20:00,21.1,762.4,763.1,0.9,89,Wind blowing from the north-northeast,4,,,90  or more  but not 100%,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,24.3,Stratus nebulosus or Stratus fractus other than of bad weather  or both.,50%.,200-300,Altocumulus translucidus at a single level.,,6.0,19.2,1.0,12,,,,
03.04.2020 17:00,19.6,761.5,762.2,-0.1,95,Wind blowing from the north-northwest,6,,,90  or more  but not 100%,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,,3.2,18.7,,,,,,
03.04.2020 14:00,22.8,761.6,762.3,-1.6,74,Wind blowing from the east-northeast,7,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,11.0,18.0,No precipitation,6,,,,
03.04.2020 11:00,21.9,763.2,763.9,0.5,79,Wind blowing from the east,10,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,No Cirrus  Cirrocumulus or Cirrostratus.,13.0,18.0,,,,,,
03.04.2020 08:00,20.9,762.7,763.4,1.5,81,Wind blowing from the east,9,,,90  or more  but not 100%, ,,,20.1,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,11.0,17.5,No precipitation,12,,,,
03.04.2020 05:00,20.6,761.2,761.8,-0.9,81,Wind blowing from the east,9,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,No Cirrus  Cirrocumulus or Cirrostratus.,16.0,17.2,,,,,,
03.04.2020 02:00,20.3,762.1,762.8,-0.6,85,Wind blowing from the east,9,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,11.0,17.6,No precipitation,6,,,,
02.04.2020 23:00,20.8,762.7,763.4,0.9,88,Wind blowing from the east,7,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,15.0,18.8,,,,,,
02.04.2020 20:00,21.3,761.8,762.5,1.1,86,Wind blowing from the east,8,,,90  or more  but not 100%, ,,,,23.3,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,17.0,18.8,No precipitation,12,,,,
02.04.2020 17:00,21.3,760.7,761.4,-1.1,80,Wind blowing from the east,9,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,16.0,17.6,,,,,,
02.04.2020 14:00,21.2,761.8,762.5,-1.1,78,Wind blowing from the east,9,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,15.0,17.2,No precipitation,6,,,,
02.04.2020 11:00,22.4,762.9,763.6,0.4,72,Wind blowing from the east,9,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,16.0,17.0,,,,,,
02.04.2020 08:00,20.3,762.5,763.2,0.9,78,Wind blowing from the east,10,,,60%., ,,,20.0,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altostratus opacus or Nimbostratus.,No Cirrus  Cirrocumulus or Cirrostratus.,16.0,16.3,No precipitation,12,,,,
02.04.2020 05:00,20.2,761.6,762.3,0.1,82,Wind blowing from the east,7,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,13.0,17.1,,,,,,
02.04.2020 02:00,20.1,761.5,762.2,-0.3,85,Wind blowing from the east,8,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,13.0,17.5,No precipitation,6,,,,
01.04.2020 23:00,20.3,761.8,762.5,0.9,86,Wind blowing from the east,8,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altostratus opacus or Nimbostratus.,,12.0,17.8,,,,,,
01.04.2020 20:00,20.1,760.9,761.5,0.9,85,Wind blowing from the east,5,,,100%., ,,,,20.7,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altostratus opacus or Nimbostratus.,,12.0,17.5,No precipitation,12,,,,
01.04.2020 17:00,19.7,760.0,760.6,-0.4,87,Wind blowing from the east-northeast,2,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altostratus opacus or Nimbostratus.,,8.0,17.4,,,,,,
01.04.2020 14:00,19.2,760.4,761.1,-1.6,83,Wind blowing from the north-west,4,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altostratus opacus or Nimbostratus.,,12.0,16.2,No precipitation,6,,,,
01.04.2020 11:00,18.7,762.0,762.7,0.2,85,Wind blowing from the east-northeast,4,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altostratus opacus or Nimbostratus.,,20.0,16.1,,,,,,
01.04.2020 08:00,18.6,761.8,762.6,1.8,86,Wind blowing from the north,4,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,17.9,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altostratus opacus or Nimbostratus.,,22.0,16.2,0.3,12,,,,
01.04.2020 05:00,18.3,760.0,760.6,0.0,96,Wind blowing from the north,2,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,3.2,17.7,,,,,,
01.04.2020 02:00,18.6,760.0,760.6,-0.9,91,Wind blowing from the north-northwest,3,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altostratus opacus or Nimbostratus.,,12.0,17.1,Trace of precipitation,6,,,,
31.03.2020 23:00,18.3,760.9,761.6,0.9,92,Wind blowing from the north-west,6,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,9.0,16.9,,,,,,
31.03.2020 20:00,18.0,760.0,760.7,1.5,94,Wind blowing from the north-west,6,,,100%.,Drizzle  not freezing  continuous  slight at time of observation. ,Rain.,Drizzle.,,21.9,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,7.0,17.0,5.0,12,,,,
31.03.2020 17:00,18.7,758.5,759.1,-0.3,96,Wind blowing from the north-west,5,,,100%.,Drizzle  not freezing  intermittent  moderate at time of observation. ,Rain.,Drizzle.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altostratus opacus or Nimbostratus.,,2.9,18.1,,,,,,
31.03.2020 14:00,18.9,758.8,759.4,-1.8,98,Wind blowing from the north-west,5,,,100%.,Rain  not freezing  continuous  moderate at time of observation. ,Rain.,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,2.3,18.5,3.0,6,,,,
31.03.2020 11:00,20.8,760.6,761.2,0.3,94,Wind blowing from the north-northwest,2,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,2.5,19.8,,,,,,
31.03.2020 08:00,19.9,760.3,761.0,1.5,94,Wind blowing from the south-southeast,3,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,19.4,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,2.5,18.9,Trace of precipitation,12,,,,
31.03.2020 05:00,20.0,758.8,759.5,-0.3,95,Wind blowing from the south,2,,,100%.,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,100-200,Altostratus opacus or Nimbostratus.,,2.7,19.1,,,,,,
31.03.2020 02:00,19.6,759.1,759.7,-0.4,93,Wind blowing from the north-west,3,,,100%.,State of sky on the whole unchanged. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,5.0,18.4,Trace of precipitation,6,,,,
30.03.2020 23:00,20.3,759.5,760.2,0.8,93,variable wind direction,1,,,100%.,Mist. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,3.0,19.2,,,,,,
30.03.2020 20:00,19.6,758.7,759.4,1.4,95,Wind blowing from the north-west,3,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,20.7,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,5.0,18.8,5.0,12,,,,
30.03.2020 17:00,19.6,757.3,758.0,-1.2,93,Wind blowing from the north-northwest,3,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altostratus opacus or Nimbostratus.,,7.0,18.4,,,,,,
30.03.2020 14:00,19.2,758.5,759.1,-1.3,96,Wind blowing from the north-west,4,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,8.0,18.5,5.0,6,,,,
30.03.2020 11:00,19.7,759.8,760.5,0.7,96,Wind blowing from the north-northwest,3,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,100-200,Altostratus opacus or Nimbostratus.,,3.8,19.1,,,,,,
30.03.2020 08:00,20.5,759.1,759.7,1.2,94,Wind blowing from the east-northeast,6,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,20.2,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altostratus opacus or Nimbostratus.,,12.0,19.5,6.0,12,,,,
30.03.2020 05:00,20.5,757.9,758.6,-0.2,92,Wind blowing from the east-northeast,5,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altocumulus translucidus at a single level.,,9.0,19.2,,,,,,
30.03.2020 02:00,21.1,758.1,758.8,-0.4,87,Wind blowing from the east,9,,,90  or more  but not 100%,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altocumulus translucidus at a single level.,,9.0,18.9,Trace of precipitation,6,,,,
29.03.2020 23:00,21.8,758.5,759.1,0.7,86,Wind blowing from the east-northeast,9,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,,11.0,19.3,,,,,,
29.03.2020 20:00,23.6,757.8,758.4,0.9,78,Wind blowing from the east-northeast,8,,,90  or more  but not 100%, ,,,,24.6,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,16.0,19.6,Trace of precipitation,12,,,,
29.03.2020 17:00,22.5,756.9,757.6,-1.1,79,Wind blowing from the east,9,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,12.0,18.7,,,,,,
29.03.2020 14:00,23.7,758.0,758.7,-2.2,75,Wind blowing from the east,9,,,90  or more  but not 100%,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,11.0,18.9,Trace of precipitation,6,,,,
29.03.2020 11:00,22.3,760.2,760.9,-0.1,79,Wind blowing from the east,11,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,12.0,18.5,,,,,,
29.03.2020 08:00,20.8,760.3,760.9,0.3,83,Wind blowing from the east,10,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,19.9,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,18.0,17.8,2.0,12,,,,
29.03.2020 05:00,20.3,760.0,760.6,-0.5,84,Wind blowing from the east,11,,,100%.,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,26.0,17.4,,,,,,
29.03.2020 02:00,20.0,760.5,761.2,0.1,86,Wind blowing from the east,8,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,10.0,17.6,2.0,6,,,,
28.03.2020 23:00,21.3,760.4,761.1,1.0,88,Wind blowing from the east,6,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,200-300,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,8.0,19.2,,,,,,
28.03.2020 20:00,20.2,759.4,760.0,0.7,96,variable wind direction,1,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,26.0,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,200-300,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,2.5,19.5,0.6,12,,,,
28.03.2020 17:00,21.3,758.7,759.4,-0.9,85,variable wind direction,1,,,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altocumulus translucidus at a single level.,,7.0,18.6,,,,,,
