Local time in Leting,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.04.2020 20:00,8.5,767.2,768.1,0.9,37,Wind blowing from the west-southwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,15.6,,,2500 or more  or no clouds.,,,27.0,-5.4,No precipitation,12,,,,
01.04.2020 17:00,12.8,766.3,767.2,-1.3,24,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,15.6,,,2500 or more  or no clouds.,,,30.0,-7.3,No precipitation,12,,,,
01.04.2020 14:00,14.9,767.6,768.5,-2.2,9,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,17.7,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
01.04.2020 11:00,12.5,769.8,770.7,0.2,10,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,17.7,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
01.04.2020 08:00,9.9,769.6,770.5,1.1,12,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,17.7,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
01.04.2020 05:00,7.6,768.5,769.4,1.0,17,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,,,7.6,17.7,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
01.04.2020 02:00,11.7,767.5,768.4,1.2,16,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.7,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
31.03.2020 23:00,11.4,766.3,767.2,1.5,40,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,,,8.0,17.7,,,2500 or more  or no clouds.,,,11.0,-1.7,No precipitation,12,,,,
31.03.2020 20:00,12.0,764.8,765.7,3.2,40,Wind blowing from the east,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.7,,,2500 or more  or no clouds.,,,14.0,-1.2,No precipitation,12,,,,
31.03.2020 17:00,14.9,761.6,762.5,0.4,50,Wind blowing from the south,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.7,,,2500 or more  or no clouds.,,,17.0,4.6,No precipitation,12,,,,
31.03.2020 14:00,17.5,761.2,762.1,-1.2,38,Wind blowing from the south-southwest,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.7,,,2500 or more  or no clouds.,,,17.0,3.0,No precipitation,12,,,,
31.03.2020 11:00,15.8,762.4,763.3,0.3,46,Wind blowing from the west,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.2,,,2500 or more  or no clouds.,,,15.0,4.2,No precipitation,12,,,,
31.03.2020 08:00,10.6,762.1,763.0,0.5,72,Wind blowing from the west-southwest,2,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,,,,2500 or more  or no clouds.,,,6.0,5.8,No precipitation,12,,,,
31.03.2020 05:00,8.4,761.6,762.5,-0.6,84,Wind blowing from the south-west,2,,8,,Mist. ,,,4.7,17.2,,,2500 or more  or no clouds.,,,4.6,5.9,No precipitation,12,,,,
31.03.2020 02:00,9.1,762.2,763.1,-0.6,75,Wind blowing from the south-west,3,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,17.2,,,2500 or more  or no clouds.,,,5.0,4.9,No precipitation,12,,,,
30.03.2020 23:00,8.8,762.8,763.7,0.2,77,Wind blowing from the south,2,,12,,Mist. ,,,4.7,17.2,,,2500 or more  or no clouds.,,,6.0,5.0,No precipitation,12,,,,
30.03.2020 20:00,10.5,762.6,763.5,1.2,64,Wind blowing from the south,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,17.2,,,2500 or more  or no clouds.,,,8.0,3.8,No precipitation,12,,,,
30.03.2020 17:00,14.6,761.4,762.3,-1.0,42,Wind blowing from the south-west,4,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,17.2,,,2500 or more  or no clouds.,,,14.0,1.8,No precipitation,12,,,,
30.03.2020 14:00,16.4,762.4,763.3,-1.2,29,Wind blowing from the south-west,6,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,17.2,,,2500 or more  or no clouds.,,,20.0,-1.7,No precipitation,12,,,,
30.03.2020 11:00,15.4,763.6,764.5,0.0,37,Wind blowing from the west-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,15.8,,,,,,21.0,0.8,No precipitation,12,,,,
30.03.2020 08:00,9.3,763.6,764.5,0.6,63,Wind blowing from the west,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,15.0,,,,,,10.0,2.6,No precipitation,12,,,,
30.03.2020 05:00,5.4,763.0,763.9,0.0,83,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,2.5,15.0,,,2500 or more  or no clouds.,,,17.0,2.7,No precipitation,12,,,,
30.03.2020 02:00,6.6,763.0,763.9,-0.4,69,Wind blowing from the south-southwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,15.0,,,2500 or more  or no clouds.,,,30.0,1.3,No precipitation,12,,,,
29.03.2020 23:00,6.9,763.4,764.3,0.6,58,Wind blowing from the south,2,,10,,Cloud development not observed or not observable. ,,,2.5,15.0,,,2500 or more  or no clouds.,,,30.0,-0.8,No precipitation,12,,,,
29.03.2020 20:00,8.5,762.8,763.7,0.4,29,Wind blowing from the south,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,15.0,,,,,,30.0,-8.5,No precipitation,12,,,,
29.03.2020 17:00,12.1,762.4,763.3,-1.7,21,Wind blowing from the south,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,15.0,,,,,,30.0,-9.6,No precipitation,12,,,,
29.03.2020 14:00,14.5,764.1,765.0,-1.6,14,Wind blowing from the south-southwest,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,15.0,,,,,,30.0,-12.7,No precipitation,12,,,,
29.03.2020 11:00,13.7,765.7,766.6,-0.5,21,Wind blowing from the south-west,4,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,14.4,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
29.03.2020 08:00,7.5,766.2,767.1,0.5,62,Wind blowing from the south-west,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,14.4,,,2500 or more  or no clouds.,,,30.0,0.5,No precipitation,12,,,,
29.03.2020 05:00,2.9,765.7,766.6,-1.1,82,Wind blowing from the north-northwest,0,,10,,Cloud development not observed or not observable. ,,,-0.6,14.4,,,2500 or more  or no clouds.,,,30.0,0.1,No precipitation,12,,,,
29.03.2020 02:00,4.5,766.8,767.7,-0.7,70,Wind blowing from the south-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.4,,,2500 or more  or no clouds.,,,30.0,-0.5,No precipitation,12,,,,
28.03.2020 23:00,5.6,767.5,768.4,0.6,54,Wind blowing from the south-southwest,2,,11,,Cloud development not observed or not observable. ,,,-0.6,14.4,,,2500 or more  or no clouds.,,,30.0,-3.0,No precipitation,12,,,,
28.03.2020 20:00,6.3,766.9,767.8,0.9,34,Wind blowing from the south-southwest,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.4,,,,,,30.0,-8.4,No precipitation,12,,,,
28.03.2020 17:00,10.4,766.0,766.9,-1.6,17,Wind blowing from the south-west,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.4,,,,,,30.0,-13.6,No precipitation,12,,,,
28.03.2020 14:00,13.5,767.6,768.5,-3.1,6,Wind blowing from the north-west,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,13.8,,,,,,30.0,-23.4,No precipitation,12,,,,
28.03.2020 11:00,11.3,770.7,771.6,-1.0,8,Wind blowing from the west-northwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,13.7,,,,,,30.0,-21.8,No precipitation,12,,,,
28.03.2020 08:00,5.8,771.7,772.6,0.8,24,Wind blowing from the west,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,13.7,,,,,,12.0,-13.2,No precipitation,12,,,,
28.03.2020 05:00,0.3,770.9,771.8,0.1,32,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,,,0.1,13.7,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
28.03.2020 02:00,4.0,770.8,771.7,0.6,18,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,13.7,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
27.03.2020 23:00,6.4,770.2,771.1,1.8,20,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,,,2.4,13.7,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
27.03.2020 20:00,10.1,768.4,769.3,2.4,13,Wind blowing from the north,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,13.7,,,,,,22.0,-17.1,No precipitation,12,,,,
27.03.2020 17:00,13.1,766.0,766.9,-1.9,8,Wind blowing from the west-northwest,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,13.7,,,,,,30.0,-20.5,No precipitation,12,,,,
27.03.2020 14:00,12.8,767.9,768.8,-1.8,9,Wind blowing from the north-west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.9,,,,,,30.0,-19.3,No precipitation,12,,,,
