Local time in Hami,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,23.5,697.0,760.3,-1.2,8,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,24.3,,,2500 or more  or no clouds.,,,16.0,-12.7,No precipitation,12,,,,
06.04.2020 14:00,22.5,698.2,761.8,-1.2,8,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,22.5,,,2500 or more  or no clouds.,,,20.0,-13.4,No precipitation,12,,,,
06.04.2020 11:00,17.0,699.4,763.3,0.7,9,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,22.2,,,2500 or more  or no clouds.,,,16.0,-16.1,No precipitation,12,,,,
06.04.2020 08:00,7.2,698.7,762.7,0.7,17,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,22.2,,,2500 or more  or no clouds.,,,16.0,-16.2,No precipitation,12,,,,
06.04.2020 05:00,6.4,698.0,761.7,0.1,20,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,,,1.0,22.2,,,2500 or more  or no clouds.,,,12.0,-14.9,No precipitation,12,,,,
06.04.2020 02:00,6.6,697.9,761.7,-0.3,19,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,22.2,,,2500 or more  or no clouds.,,,9.0,-15.4,No precipitation,12,,,,
05.04.2020 23:00,10.2,698.2,762.3,0.6,15,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,,,,22.2,,,2500 or more  or no clouds.,,,7.0,-15.3,No precipitation,12,,,,
05.04.2020 20:00,19.1,697.6,762.1,-0.1,6,Wind blowing from the west-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,22.2,,,2500 or more  or no clouds.,,,11.0,-19.3,No precipitation,12,,,,
05.04.2020 17:00,21.6,697.7,761.8,-1.4,5,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,22.2,,,2500 or more  or no clouds.,,,17.0,-19.7,No precipitation,12,,,,
05.04.2020 14:00,20.9,699.1,763.1,-1.3,6,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,22.0,,,2500 or more  or no clouds.,,,18.0,-18.0,No precipitation,12,,,,
05.04.2020 11:00,14.9,700.4,764.8,0.4,10,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,,,,2500 or more  or no clouds.,,,11.0,-16.5,No precipitation,12,,,,
05.04.2020 08:00,1.8,700.0,764.8,0.6,27,Wind blowing from the north-east,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,22.0,,,2500 or more  or no clouds.,,,10.0,-15.2,No precipitation,12,,,,
05.04.2020 05:00,3.2,699.4,763.6,-0.6,23,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,,,2.9,22.0,,,2500 or more  or no clouds.,,,15.0,-15.9,No precipitation,12,,,,
05.04.2020 02:00,5.2,700.0,764.2,-0.7,19,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,22.0,,,2500 or more  or no clouds.,,,12.0,-16.6,No precipitation,12,,,,
04.04.2020 23:00,9.4,700.7,764.8,0.1,15,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,,22.0,,,2500 or more  or no clouds.,,,8.0,-15.9,No precipitation,12,,,,
04.04.2020 20:00,18.4,700.6,764.8,-0.1,6,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,22.0,,,2500 or more  or no clouds.,,,14.0,-19.9,No precipitation,12,,,,
04.04.2020 17:00,21.7,700.7,764.8,-1.7,5,Wind blowing from the west-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,21.9,,,2500 or more  or no clouds.,,,26.0,-19.6,No precipitation,12,,,,
04.04.2020 14:00,19.9,702.4,767.2,-1.2,6,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,20.8,,,2500 or more  or no clouds.,,,16.0,-18.8,No precipitation,12,,,,
04.04.2020 11:00,16.8,703.6,768.1,0.4,8,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,20.8,,,2500 or more  or no clouds.,,,19.0,-17.7,No precipitation,12,,,,
04.04.2020 08:00,7.4,703.2,767.7,0.8,14,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,20.8,,,2500 or more  or no clouds.,,,26.0,-18.4,No precipitation,12,,,,
04.04.2020 05:00,5.0,702.4,766.8,-0.3,14,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,,,1.2,20.8,,,2500 or more  or no clouds.,,,14.0,-20.3,No precipitation,12,,,,
04.04.2020 02:00,2.6,702.7,767.5,0.0,18,Wind blowing from the west-northwest,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,20.8,,,2500 or more  or no clouds.,,,3.2,-19.4,No precipitation,12,,,,
03.04.2020 23:00,8.7,702.7,767.2,0.8,9,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,,,3.1,20.8,,,2500 or more  or no clouds.,,,15.0,-22.5,No precipitation,12,,,,
03.04.2020 20:00,17.7,701.9,766.6,-0.2,4,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,20.8,,,2500 or more  or no clouds.,,,6.0,-25.0,No precipitation,12,,,,
03.04.2020 17:00,20.3,702.1,766.2,-1.3,3,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,20.5,,,2500 or more  or no clouds.,,,27.0,-26.3,No precipitation,12,,,,
03.04.2020 14:00,19.5,703.4,767.3,-1.1,3,Wind blowing from the south-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,19.6,,,2500 or more  or no clouds.,,,30.0,-26.9,No precipitation,12,,,,
03.04.2020 11:00,15.4,704.5,768.7,0.8,5,Wind blowing from the east,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,19.2,,,2500 or more  or no clouds.,,,26.0,-24.1,No precipitation,12,,,,
03.04.2020 08:00,4.9,703.7,768.8,1.0,7,Wind blowing from the east,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,19.2,,,2500 or more  or no clouds.,,,30.0,-28.1,No precipitation,12,,,,
03.04.2020 05:00,7.0,702.7,767.1,0.0,7,Wind blowing from the east,2,,15,,Cloud development not observed or not observable. ,,,5.2,19.2,,,2500 or more  or no clouds.,,,30.0,-26.6,No precipitation,12,,,,
03.04.2020 02:00,10.8,702.7,766.9,0.6,5,Wind blowing from the east-southeast,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,19.2,,,2500 or more  or no clouds.,,,30.0,-27.4,No precipitation,12,,,,
02.04.2020 23:00,13.3,702.1,766.3,1.2,4,Wind blowing from the east,6,,15,,Cloud development not observed or not observable. ,,,5.2,19.2,,,2500 or more  or no clouds.,,,30.0,-28.0,No precipitation,12,,,,
02.04.2020 20:00,15.8,700.9,765.5,0.4,4,Wind blowing from the east-southeast,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,19.2,,,2500 or more  or no clouds.,,,27.0,-26.3,No precipitation,12,,,,
02.04.2020 17:00,18.9,700.5,764.6,-1.6,4,Wind blowing from the east-southeast,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,19.2,,,2500 or more  or no clouds.,,,15.0,-24.1,No precipitation,12,,,,
02.04.2020 14:00,16.9,702.1,766.4,-1.5,5,Wind blowing from the east-southeast,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,17.2,,,2500 or more  or no clouds.,,,23.0,-23.0,No precipitation,12,,,,
02.04.2020 11:00,13.4,703.6,768.2,0.6,9,Wind blowing from the east-southeast,8,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,16.6,,,2500 or more  or no clouds.,,,10.0,-18.9,No precipitation,12,,,,
02.04.2020 08:00,7.0,703.0,768.0,0.9,13,Wind blowing from the east-southeast,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,16.6,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
02.04.2020 05:00,7.2,702.1,766.7,0.4,13,Wind blowing from the east-southeast,5,,16,,Cloud development not observed or not observable. ,,,6.9,16.6,,,2500 or more  or no clouds.,,,30.0,-19.4,No precipitation,12,,,,
02.04.2020 02:00,9.3,701.7,766.2,1.0,11,Wind blowing from the east-southeast,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,16.6,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
01.04.2020 23:00,11.5,700.7,765.1,1.8,11,Wind blowing from the east,6,,16,,Cloud development not observed or not observable. ,,,6.9,16.6,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
01.04.2020 20:00,13.5,698.9,763.6,0.3,11,Wind blowing from the east-southeast,8,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,16.6,,,2500 or more  or no clouds.,,,10.0,-16.4,No precipitation,12,,,,
01.04.2020 17:00,16.2,698.6,762.8,-1.7,9,Wind blowing from the east-southeast,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,16.6,,,2500 or more  or no clouds.,,,14.0,-16.7,No precipitation,12,,,,
01.04.2020 14:00,14.9,700.3,764.7,-1.5,11,Wind blowing from the south-east,5,,,,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,15.6,,,2500 or more  or no clouds.,,,7.0,-15.3,No precipitation,12,,,,
01.04.2020 11:00,12.0,701.8,766.6,0.3,15,Wind blowing from the east-southeast,7,,15,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,15.6,,,2500 or more  or no clouds.,,,3.0,-13.8,No precipitation,12,,,,
01.04.2020 08:00,7.2,701.5,766.6,1.0,21,Wind blowing from the east-southeast,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,15.6,,,2500 or more  or no clouds.,,,17.0,-13.7,No precipitation,12,,,,
01.04.2020 05:00,8.0,700.5,765.0,-0.7,15,Wind blowing from the east-southeast,7,,14,,Cloud development not observed or not observable. ,,,-0.3,15.6,,,2500 or more  or no clouds.,,,17.0,-17.1,No precipitation,12,,,,
01.04.2020 02:00,8.8,701.2,765.8,0.0,18,Wind blowing from the east-southeast,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,15.6,,,2500 or more  or no clouds.,,,20.0,-14.2,No precipitation,12,,,,
31.03.2020 23:00,9.9,701.2,766.2,0.3,12,Wind blowing from the east-southeast,6,,10,,Cloud development not observed or not observable. ,,,-0.3,15.6,,,2500 or more  or no clouds.,,,15.0,-18.2,No precipitation,12,,,,
31.03.2020 20:00,11.8,700.9,766.3,-0.3,11,Wind blowing from the east-southeast,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,15.6,,,,,,25.0,-17.7,No precipitation,12,,,,
31.03.2020 17:00,15.0,701.2,766.3,-1.7,9,Wind blowing from the south-east,2,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,15.9,,,1500-2000,,,27.0,-17.6,No precipitation,12,,,,
31.03.2020 14:00,13.3,702.9,768.6,-0.8,12,Wind blowing from the north-east,2,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,15.9,,,2500 or more  or no clouds.,,,23.0,-15.5,No precipitation,12,,,,
31.03.2020 11:00,9.1,703.7,769.3,1.8,14,Wind blowing from the west-southwest,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,15.9,,,2500 or more  or no clouds.,,,20.0,-17.0,No precipitation,12,,,,
31.03.2020 08:00,3.5,701.9,767.2,1.6,22,Wind blowing from the north-northeast,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,15.9,,,2500 or more  or no clouds.,,,21.0,-16.2,No precipitation,12,,,,
31.03.2020 05:00,3.9,700.3,765.2,0.0,23,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,,,0.8,15.9,,,2500 or more  or no clouds.,,,19.0,-15.4,No precipitation,12,,,,
31.03.2020 02:00,1.8,700.3,765.7,0.6,34,Wind blowing from the north,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,15.9,,,2500 or more  or no clouds.,,,1.5,-12.4,No precipitation,12,,,,
30.03.2020 23:00,6.7,699.7,765.0,1.5,28,Wind blowing from the west-southwest,1,,10,,Cloud development not observed or not observable. ,,,5.5,15.9,,,2500 or more  or no clouds.,,,11.0,-10.5,No precipitation,12,,,,
30.03.2020 20:00,13.4,698.2,763.0,0.0,13,Wind blowing from the west,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,15.9,,,,,,24.0,-14.5,No precipitation,12,,,,
30.03.2020 17:00,15.4,698.2,762.6,-1.6,12,Wind blowing from the south-west,2,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,17.8,,,2500 or more  or no clouds.,,,22.0,-13.9,No precipitation,12,,,,
30.03.2020 14:00,13.6,699.8,764.2,-1.1,20,Wind blowing from the south-east,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,18.0,,,2500 or more  or no clouds.,,,26.0,-8.9,No precipitation,12,,,,
30.03.2020 11:00,9.0,700.9,765.8,0.7,33,Wind blowing from the east-southeast,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,18.0,,,,,,6.0,-6.4,No precipitation,12,,,,
30.03.2020 08:00,5.7,700.2,764.9,2.0,38,Wind blowing from the east-southeast,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,18.0,,,2500 or more  or no clouds.,,,28.0,-7.5,No precipitation,12,,,,
30.03.2020 05:00,7.2,698.2,762.2,0.6,40,Wind blowing from the east,4,,12,,Cloud development not observed or not observable. ,,,-1.4,18.0,,,2500 or more  or no clouds.,,,30.0,-5.5,No precipitation,12,,,,
30.03.2020 02:00,9.4,697.6,761.6,1.5,34,Wind blowing from the east-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.0,,,2500 or more  or no clouds.,,,28.0,-5.7,No precipitation,12,,,,
29.03.2020 23:00,11.1,696.1,760.1,1.7,28,Wind blowing from the east-northeast,5,,12,,Cloud development not observed or not observable. ,,,,18.0,,,2500 or more  or no clouds.,,,13.0,-6.7,No precipitation,12,,,,
29.03.2020 20:00,15.4,694.4,759.3,0.7,15,Wind blowing from the west-northwest,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,18.0,,,2500 or more  or no clouds.,,,14.0,-11.1,No precipitation,12,,,,
29.03.2020 17:00,17.6,693.7,758.1,-1.7,8,Wind blowing from the north-northwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,18.0,,,2500 or more  or no clouds.,,,17.0,-17.1,No precipitation,12,,,,
29.03.2020 14:00,15.2,695.4,760.3,-1.3,9,Wind blowing from the north,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,15.9,,,2500 or more  or no clouds.,,,23.0,-17.5,No precipitation,12,,,,
29.03.2020 11:00,12.0,696.7,761.7,0.2,12,Wind blowing from the east-southeast,3,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,15.9,,,2500 or more  or no clouds.,,,14.0,-16.5,No precipitation,12,,,,
29.03.2020 08:00,-0.1,696.5,761.8,0.4,26,Wind blowing from the east-northeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,15.9,,,2500 or more  or no clouds.,,,21.0,-17.3,No precipitation,12,,,,
29.03.2020 05:00,0.4,696.1,761.0,-0.4,24,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,,,-1.3,15.9,,,2500 or more  or no clouds.,,,13.0,-17.8,No precipitation,12,,,,
29.03.2020 02:00,0.7,696.5,761.7,-0.5,25,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,15.9,,,2500 or more  or no clouds.,,,7.0,-17.1,No precipitation,12,,,,
28.03.2020 23:00,3.5,697.0,762.4,0.9,21,Wind blowing from the north,1,,9,,Haze. ,,,-2.4,15.9,,,2500 or more  or no clouds.,,,7.0,-16.8,No precipitation,12,,,,
28.03.2020 20:00,12.9,696.1,761.2,0.0,10,Wind blowing from the west,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,15.9,,,,,,17.0,-18.0,No precipitation,12,,,,
28.03.2020 17:00,15.2,696.1,761.2,-1.8,8,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,15.9,,,,,,12.0,-18.9,No precipitation,12,,,,
28.03.2020 14:00,13.6,697.9,763.3,-1.6,8,Wind blowing from the north-northeast,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,13.9,,,,,,10.0,-20.1,No precipitation,12,,,,
28.03.2020 11:00,8.7,699.5,765.1,0.6,10,Wind blowing from the south-east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,13.9,,,,,,21.0,-21.3,No precipitation,12,,,,
28.03.2020 08:00,1.2,698.9,764.5,-0.1,15,Wind blowing from the north-east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,13.9,,,,,,29.0,-22.6,No precipitation,12,,,,
28.03.2020 05:00,-0.2,699.0,764.5,-0.6,21,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,,,-2.4,13.9,,,2500 or more  or no clouds.,,,20.0,-19.9,No precipitation,12,,,,
28.03.2020 02:00,0.0,699.6,765.3,-0.9,23,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,13.9,,,2500 or more  or no clouds.,,,8.0,-18.7,No precipitation,12,,,,
27.03.2020 23:00,3.9,700.5,766.5,-0.1,18,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,,,-2.2,13.9,,,2500 or more  or no clouds.,,,12.0,-18.3,No precipitation,12,,,,
27.03.2020 20:00,11.2,700.6,766.6,-0.6,9,Wind blowing from the west,2,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,13.9,,,2500 or more  or no clouds.,,,6.0,-20.5,No precipitation,12,,,,
