Local time in Tonghua,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,10.8,744.7,765.7,-1.8,12,Wind blowing from the west-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,12.4,,,2500 or more  or no clouds.,,,15.0,-17.4,No precipitation,12,,,,
06.04.2020 08:00,1.9,746.5,767.7,-0.5,46,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,12.4,,,2500 or more  or no clouds.,,,14.0,-8.7,No precipitation,12,,,,
06.04.2020 05:00,-4.0,747.0,768.1,-0.4,60,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,,,-5.5,12.4,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
06.04.2020 02:00,-1.7,747.4,768.4,,49,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.4,,,2500 or more  or no clouds.,,,22.0,-11.2,No precipitation,12,,,,
05.04.2020 20:00,3.9,746.9,768.1,1.3,25,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.4,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
05.04.2020 17:00,10.9,745.6,766.7,-0.9,10,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.4,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
05.04.2020 14:00,10.4,746.5,767.6,-2.0,17,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,10.4,,,2500 or more  or no clouds.,,,26.0,-13.6,No precipitation,12,,,,
05.04.2020 11:00,6.7,748.5,769.7,-1.6,23,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.7,,,2500 or more  or no clouds.,,,27.0,-12.9,No precipitation,12,,,,
05.04.2020 08:00,0.5,750.1,771.4,0.3,38,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,6.4,,,2500 or more  or no clouds.,,,9.0,-12.4,No precipitation,12,,,,
05.04.2020 05:00,-5.5,749.8,771.4,0.2,54,Wind blowing from the north-northeast,2,,14,,Cloud development not observed or not observable. ,,,-5.5,6.4,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
05.04.2020 02:00,-3.5,749.6,771.0,,44,Wind blowing from the north,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,6.4,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
04.04.2020 20:00,1.4,749.6,770.9,1.6,21,Wind blowing from the north,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,,,,2500 or more  or no clouds.,,,29.0,-18.5,No precipitation,12,,,,
04.04.2020 17:00,4.2,748.0,769.3,0.6,14,Wind blowing from the north-northwest,6,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,16.0,,,2500 or more  or no clouds.,,,24.0,-20.9,No precipitation,12,,,,
04.04.2020 14:00,6.1,747.4,768.4,-0.6,14,Wind blowing from the north,6,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,,,,2500 or more  or no clouds.,,,29.0,-19.4,No precipitation,12,,,,
04.04.2020 11:00,4.3,748.0,769.0,-0.3,14,Wind blowing from the north-northeast,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
04.04.2020 08:00,2.6,748.3,769.1,1.2,17,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,18.7,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,12,,,,
04.04.2020 05:00,-0.5,747.1,767.9,0.9,34,Wind blowing from the north-northwest,2,,14,,Cloud development not observed or not observable. ,,,-1.0,18.7,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
04.04.2020 02:00,2.0,746.2,766.8,,29,Wind blowing from the north-northeast,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,18.7,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
03.04.2020 20:00,14.3,738.2,758.6,0.4,29,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,18.7,,,2500 or more  or no clouds.,,,15.0,-3.4,No precipitation,12,,,,
03.04.2020 17:00,16.0,737.8,758.3,-1.2,23,Wind blowing from the south-west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,18.7,,,2500 or more  or no clouds.,,,15.0,-5.1,No precipitation,12,,,,
03.04.2020 14:00,17.9,739.0,759.4,,15,Wind blowing from the south-west,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,18.5,,,2500 or more  or no clouds.,,,18.0,-9.0,No precipitation,12,,,,
03.04.2020 08:00,5.1,744.7,765.5,0.2,46,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,18.1,,,2500 or more  or no clouds.,,,16.0,-5.8,No precipitation,12,,,,
03.04.2020 05:00,-0.6,744.5,765.2,0.1,61,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,,,-3.9,18.1,,,2500 or more  or no clouds.,,,30.0,-7.3,No precipitation,12,,,,
03.04.2020 02:00,2.2,744.4,765.0,,48,Wind blowing from the north-northeast,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,18.1,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
02.04.2020 20:00,7.8,743.3,764.2,1.4,28,Wind blowing from the north-northwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.1,,,2500 or more  or no clouds.,,,26.0,-9.5,No precipitation,12,,,,
02.04.2020 17:00,16.5,741.9,762.7,-0.4,11,Wind blowing from the west-southwest,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,18.1,,,2500 or more  or no clouds.,,,28.0,-14.0,No precipitation,12,,,,
02.04.2020 14:00,17.0,742.3,762.9,-2.4,9,Wind blowing from the south,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,17.2,,,2500 or more  or no clouds.,,,29.0,-16.1,No precipitation,12,,,,
02.04.2020 11:00,12.7,744.7,765.5,-1.7,18,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,13.2,,,2500 or more  or no clouds.,,,17.0,-11.0,No precipitation,12,,,,
02.04.2020 08:00,2.4,746.4,767.5,0.2,52,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,13.2,,,2500 or more  or no clouds.,,,8.0,-6.6,No precipitation,12,,,,
02.04.2020 05:00,-3.5,746.2,767.3,0.2,65,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,-3.6,13.2,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
02.04.2020 02:00,-1.5,746.0,766.9,,60,Wind blowing from the north-northeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,13.2,,,2500 or more  or no clouds.,,,28.0,-8.4,No precipitation,12,,,,
01.04.2020 20:00,5.0,744.5,765.4,1.8,30,Wind blowing from the east,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,13.2,,,2500 or more  or no clouds.,,,16.0,-11.1,No precipitation,12,,,,
01.04.2020 17:00,11.3,742.7,763.5,0.3,13,Wind blowing from the north,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,14.6,,,2500 or more  or no clouds.,,,18.0,-16.1,No precipitation,12,,,,
01.04.2020 14:00,12.7,742.4,763.0,-1.1,14,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,16.2,,,2500 or more  or no clouds.,,,29.0,-14.1,No precipitation,12,,,,
01.04.2020 11:00,11.1,743.5,763.9,-0.2,19,Wind blowing from the east-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,16.2,,,2500 or more  or no clouds.,,,17.0,-11.6,No precipitation,12,,,,
01.04.2020 08:00,6.7,743.7,764.2,0.3,42,Wind blowing from the east-southeast,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,16.2,,,2500 or more  or no clouds.,,,6.0,-5.5,No precipitation,12,,,,
01.04.2020 05:00,2.0,743.4,764.0,0.1,55,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,,,-0.3,16.2,,,2500 or more  or no clouds.,,,29.0,-6.2,No precipitation,12,,,,
01.04.2020 02:00,6.2,743.3,763.8,,49,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,16.2,,,2500 or more  or no clouds.,,,18.0,-3.9,No precipitation,12,,,,
31.03.2020 20:00,12.5,741.4,762.0,1.1,42,Wind blowing from the north,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,16.2,,,2500 or more  or no clouds.,,,9.0,-0.3,No precipitation,12,,,,
31.03.2020 17:00,14.6,740.3,760.9,-0.4,30,Wind blowing from the south-west,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,16.2,,,2500 or more  or no clouds.,,,12.0,-2.7,No precipitation,12,,,,
31.03.2020 14:00,15.1,740.7,761.2,-2.2,27,Wind blowing from the south-west,6,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,16.1,,,2500 or more  or no clouds.,,,13.0,-3.7,No precipitation,12,,,,
31.03.2020 11:00,13.5,742.9,763.6,-1.5,32,Wind blowing from the south-southwest,4,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,16.1,,,2500 or more  or no clouds.,,,13.0,-2.8,No precipitation,12,,,,
31.03.2020 08:00,4.4,744.4,765.3,0.3,56,Wind blowing from the south-west,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,16.1,,,2500 or more  or no clouds.,,,11.0,-3.8,No precipitation,12,,,,
31.03.2020 05:00,0.5,744.1,764.8,-0.3,67,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,-3.6,16.1,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
31.03.2020 02:00,2.2,744.4,765.0,,58,Wind blowing from the north-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,16.1,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
30.03.2020 20:00,7.5,743.6,764.5,1.4,37,Wind blowing from the north-northeast,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,16.1,,,,,,24.0,-6.5,No precipitation,12,,,,
30.03.2020 17:00,14.8,742.2,763.0,-0.8,16,Wind blowing from the south-west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,16.1,,,,,,23.0,-10.7,No precipitation,12,,,,
30.03.2020 14:00,15.0,743.0,763.8,-2.0,12,Wind blowing from the south,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,15.4,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
30.03.2020 11:00,11.8,745.0,765.8,-0.9,17,Wind blowing from the south-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.9,,,,,,30.0,-12.4,No precipitation,12,,,,
30.03.2020 08:00,2.4,745.9,767.0,0.3,55,Wind blowing from the south-southwest,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.9,,,,,,9.0,-5.9,No precipitation,12,,,,
30.03.2020 05:00,-3.2,745.6,766.6,0.9,71,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,-5.7,13.9,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
30.03.2020 02:00,-1.2,744.7,765.6,,62,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,13.9,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
29.03.2020 20:00,5.6,743.7,764.8,0.9,33,Wind blowing from the north-northeast,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,13.9,,,,,,20.0,-9.7,No precipitation,12,,,,
29.03.2020 17:00,12.5,742.8,763.8,-1.0,12,Wind blowing from the south-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,13.9,,,,,,29.0,-16.1,No precipitation,12,,,,
29.03.2020 14:00,13.4,743.8,764.7,-2.4,13,Wind blowing from the south-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,13.4,,,,,,30.0,-14.4,No precipitation,12,,,,
29.03.2020 11:00,8.2,746.2,767.3,-2.0,20,Wind blowing from the south-southeast,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,8.3,,,,,,27.0,-13.4,No precipitation,12,,,,
29.03.2020 08:00,0.0,748.2,769.6,0.1,52,Wind blowing from the north-northeast,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,8.3,,,,,,14.0,-8.8,No precipitation,12,,,,
29.03.2020 05:00,-4.7,748.1,769.4,0.4,74,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,,,-5.2,8.3,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
29.03.2020 02:00,-3.5,747.7,769.0,,61,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,8.3,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
28.03.2020 20:00,1.0,746.6,767.9,1.3,37,Wind blowing from the north,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,8.3,,,,,,30.0,-12.3,No precipitation,12,,,,
28.03.2020 17:00,7.0,745.3,766.6,-0.6,14,Wind blowing from the north-northwest,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,8.3,,,,,,30.0,-18.7,No precipitation,12,,,,
28.03.2020 14:00,7.4,745.9,767.0,-2.2,13,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.7,,,,,,30.0,-19.2,No precipitation,12,,,,
28.03.2020 11:00,4.8,748.1,769.3,-1.1,17,Wind blowing from the south-west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.7,,,,,,30.0,-18.2,No precipitation,12,,,,
28.03.2020 08:00,1.7,749.2,770.5,1.0,40,Wind blowing from the south-southeast,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,9.7,,,,,,21.0,-10.7,No precipitation,12,,,,
28.03.2020 05:00,-4.2,748.2,769.5,0.8,50,Wind blowing from the north,2,,10,,Cloud development not observed or not observable. ,,,-4.2,9.7,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
28.03.2020 02:00,-2.6,747.4,768.5,,40,Wind blowing from the north,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,9.7,,,2500 or more  or no clouds.,,,28.0,-14.6,No precipitation,12,,,,
27.03.2020 20:00,4.4,745.6,766.7,2.4,21,Wind blowing from the west,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,9.7,,,,,,30.0,-16.0,No precipitation,12,,,,
27.03.2020 17:00,7.1,743.2,764.1,0.6,15,Wind blowing from the north,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,9.7,,,,,,30.0,-17.8,No precipitation,12,,,,
27.03.2020 14:00,8.5,742.6,763.5,-1.5,16,Wind blowing from the north-northeast,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,14.3,,,,,,30.0,-15.9,No precipitation,12,,,,
27.03.2020 11:00,6.6,744.1,765.1,-0.7,23,Wind blowing from the east,4,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,14.6,,,2500 or more  or no clouds.,,,30.0,-13.0,0.3,12,,,,
27.03.2020 08:00,2.7,744.8,765.9,-0.1,37,Wind blowing from the north-northeast,3,,8,no clouds,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,0.9,,,,,,,30.0,-10.8,2.0,12,,,,
27.03.2020 05:00,1.3,744.9,765.8,-0.4,57,Wind blowing from the east-northeast,2,,11,,Cloud development not observed or not observable. ,,,0.9,14.6,,,2500 or more  or no clouds.,,,30.0,-6.4,3.0,12,,,,
27.03.2020 02:00,1.3,745.3,766.1,,78,Wind blowing from the north-east,0,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,14.6,,,2500 or more  or no clouds.,,,30.0,-2.2,3.0,12,,,,
26.03.2020 20:00,3.9,744.4,765.3,3.0,89,Wind blowing from the north-northeast,1,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.6,,,1000-1500,,,13.0,2.3,0.8,12,,,,
26.03.2020 17:00,9.0,741.4,762.1,,57,Wind blowing from the north,7,,12,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.6,,,1000-1500,,,15.0,0.9,No precipitation,6,,,,
26.03.2020 14:00,14.2,740.9,761.5,-2.0,44,Wind blowing from the south-west,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.6,,,1000-1500,,,27.0,2.1,No precipitation,12,,,,
26.03.2020 11:00,14.4,742.9,763.3,,40,Wind blowing from the south-southwest,2,,5,70 – 80%., ,,,1.9,14.4,,,1000-1500,,,20.0,1.0,No precipitation,6,,,,
26.03.2020 08:00,6.0,743.9,764.7,0.4,61,Wind blowing from the south,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,11.9,,,1000-1500,,,10.0,-1.1,No precipitation,12,,,,
26.03.2020 05:00,1.9,743.5,764.3,,80,Wind blowing from the west-northwest,1,,6,, ,,,0.9,11.9,,,,,,16.0,-1.3,No precipitation,6,,,,
