Local time in Macheng,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,20.9,758.6,765.4,-0.6,33,Wind blowing from the north-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,22.6,,,2500 or more  or no clouds.,,,14.0,4.0,No precipitation,12,,,,
06.04.2020 08:00,14.5,759.2,766.0,0.4,63,Wind blowing from the north-east,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,10.0,7.5,No precipitation,12,,,,
06.04.2020 05:00,13.7,758.8,765.5,-0.9,73,Wind blowing from the east,1,,6,,Haze. ,,,11.9,22.6,,,2500 or more  or no clouds.,,,6.0,9.0,No precipitation,12,,,,
06.04.2020 02:00,14.9,759.7,766.4,,63,Wind blowing from the south-southeast,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,22.6,,,2500 or more  or no clouds.,,,7.0,7.9,No precipitation,12,,,,
05.04.2020 20:00,16.9,759.8,766.6,1.1,62,Wind blowing from the west-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,22.6,,,2500 or more  or no clouds.,,,10.0,9.6,No precipitation,12,,,,
05.04.2020 17:00,19.9,758.7,765.4,-1.6,39,Wind blowing from the south-west,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,22.6,,,2500 or more  or no clouds.,,,11.0,5.5,No precipitation,12,,,,
05.04.2020 14:00,22.4,760.3,767.1,-1.9,22,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,22.4,,,2500 or more  or no clouds.,,,15.0,-0.3,No precipitation,12,,,,
05.04.2020 11:00,20.0,762.2,769.0,0.0,40,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,22.0,,,2500 or more  or no clouds.,,,13.0,6.0,No precipitation,12,,,,
05.04.2020 08:00,13.1,762.2,769.0,0.7,72,Wind blowing from the east-northeast,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,22.0,,,2500 or more  or no clouds.,,,6.0,8.2,No precipitation,12,,,,
05.04.2020 05:00,12.3,761.5,768.2,0.0,68,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,,,9.7,22.0,,,2500 or more  or no clouds.,,,8.0,6.6,No precipitation,12,,,,
05.04.2020 02:00,13.4,761.5,768.3,,66,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,22.0,,,2500 or more  or no clouds.,,,7.0,7.2,No precipitation,12,,,,
04.04.2020 20:00,17.0,761.0,767.8,1.0,50,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,22.0,,,2500 or more  or no clouds.,,,11.0,6.5,No precipitation,12,,,,
04.04.2020 17:00,21.7,760.0,766.8,-1.1,34,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,22.0,,,2500 or more  or no clouds.,,,17.0,5.2,No precipitation,12,,,,
04.04.2020 14:00,20.4,761.1,767.9,-1.5,39,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,20.4,,,2500 or more  or no clouds.,,,13.0,6.0,No precipitation,12,,,,
04.04.2020 11:00,16.4,762.6,769.4,0.4,52,Wind blowing from the south-southeast,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,19.1,,,2500 or more  or no clouds.,,,9.0,6.5,No precipitation,12,,,,
04.04.2020 08:00,10.9,762.2,769.1,1.3,85,Wind blowing from the north,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,19.1,,,2500 or more  or no clouds.,,,4.5,8.5,No precipitation,12,,,,
04.04.2020 05:00,9.6,760.9,767.7,0.3,91,Wind blowing from the north,2,,7,,Mist. ,,,9.3,19.1,,,2500 or more  or no clouds.,,,3.3,8.2,No precipitation,12,,,,
04.04.2020 02:00,10.6,760.6,767.4,,79,Wind blowing from the north,2,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,19.1,,,2500 or more  or no clouds.,,,5.0,7.1,No precipitation,12,,,,
03.04.2020 20:00,14.6,760.1,766.9,1.0,54,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,19.1,,,2500 or more  or no clouds.,,,13.0,5.4,No precipitation,12,,,,
03.04.2020 17:00,17.6,759.1,765.9,-0.9,49,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,19.1,,,2500 or more  or no clouds.,,,11.0,6.8,No precipitation,12,,,,
03.04.2020 14:00,17.7,760.0,766.8,-1.4,49,Wind blowing from the south-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,18.3,,,2500 or more  or no clouds.,,,12.0,6.9,No precipitation,12,,,,
03.04.2020 11:00,15.8,761.4,768.2,0.1,57,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,18.3,,,2500 or more  or no clouds.,,,9.0,7.3,No precipitation,12,,,,
03.04.2020 08:00,11.8,761.3,768.1,1.6,72,Wind blowing from the north-northwest,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,18.3,,,2500 or more  or no clouds.,,,5.0,6.9,No precipitation,12,,,,
03.04.2020 05:00,10.3,759.7,766.5,-1.4,71,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,,,10.3,18.3,,,2500 or more  or no clouds.,,,10.0,5.3,No precipitation,12,,,,
03.04.2020 02:00,11.6,761.1,767.9,,66,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,18.3,,,2500 or more  or no clouds.,,,10.0,5.3,No precipitation,12,,,,
02.04.2020 20:00,15.1,759.7,766.6,1.6,58,Wind blowing from the north,5,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,18.3,,,2500 or more  or no clouds.,,,5.0,6.9,No precipitation,12,,,,
02.04.2020 17:00,17.0,758.1,764.9,-0.7,56,Wind blowing from the north,4,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,18.3,,,2500 or more  or no clouds.,,,5.0,8.2,No precipitation,12,,,,
02.04.2020 14:00,16.2,758.8,765.6,-2.1,65,Wind blowing from the north,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,17.4,,,2500 or more  or no clouds.,,,7.0,9.6,No precipitation,12,,,,
02.04.2020 11:00,14.7,760.9,767.7,1.0,69,Wind blowing from the north-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,17.6,,,2500 or more  or no clouds.,,,7.0,9.1,No precipitation,12,,,,
02.04.2020 08:00,12.5,759.9,766.7,1.1,79,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,8.0,9.0,No precipitation,12,,,,
02.04.2020 05:00,12.3,758.8,765.6,-0.7,82,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,,,6.0,17.6,,,2500 or more  or no clouds.,,,9.0,9.3,No precipitation,12,,,,
02.04.2020 02:00,12.4,759.5,766.3,,82,Wind blowing from the north,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.6,,,2500 or more  or no clouds.,,,8.0,9.4,No precipitation,12,,,,
01.04.2020 20:00,13.1,758.9,765.8,1.5,79,Wind blowing from the north-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.6,,,2500 or more  or no clouds.,,,7.0,9.5,No precipitation,12,,,,
01.04.2020 17:00,16.4,757.4,764.3,-1.3,57,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.6,,,2500 or more  or no clouds.,,,22.0,7.9,No precipitation,12,,,,
01.04.2020 14:00,16.9,758.7,765.6,-1.9,52,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.6,,,2500 or more  or no clouds.,,,22.0,7.0,No precipitation,12,,,,
01.04.2020 11:00,14.0,760.6,767.5,0.2,62,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,14.0,,,2500 or more  or no clouds.,,,24.0,6.8,No precipitation,12,,,,
01.04.2020 08:00,8.0,760.4,767.4,1.1,100,Wind blowing from the east-northeast,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.5,,,2500 or more  or no clouds.,,,4.4,8.0,No precipitation,12,,,,
01.04.2020 05:00,6.0,759.3,766.3,0.8,100,Wind blowing from the north,1,,4,,Mist. ,,,5.9,10.5,,,2500 or more  or no clouds.,,,1.7,6.0,No precipitation,12,,,,
01.04.2020 02:00,6.9,758.5,765.5,,100,Wind blowing from the north-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,10.5,,,2500 or more  or no clouds.,,,0.5,6.9,No precipitation,12,,,,
31.03.2020 20:00,9.0,757.3,764.2,1.4,89,Wind blowing from the south-west,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,10.5,,,2500 or more  or no clouds.,,,7.0,7.3,No precipitation,12,,,,
31.03.2020 17:00,10.2,755.9,762.8,-0.1,78,Wind blowing from the south,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,10.5,,,2500 or more  or no clouds.,,,11.0,6.5,No precipitation,12,,,,
31.03.2020 14:00,10.4,756.0,762.9,-1.2,72,Wind blowing from the west-southwest,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,10.7,,,2500 or more  or no clouds.,,,16.0,5.6,No precipitation,12,,,,
31.03.2020 11:00,10.3,757.2,764.1,0.1,79,Wind blowing from the west-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,10.8,,,2500 or more  or no clouds.,,,13.0,6.8,No precipitation,12,,,,
31.03.2020 08:00,8.7,757.1,764.0,0.4,95,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,10.8,,,2500 or more  or no clouds.,,,14.0,7.9,No precipitation,12,,,,
31.03.2020 05:00,8.3,756.7,763.6,-1.5,96,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,,,,10.8,,,2500 or more  or no clouds.,,,12.0,7.7,No precipitation,12,,,,
31.03.2020 02:00,8.6,758.2,765.1,,88,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.8,,,2500 or more  or no clouds.,,,17.0,6.7,No precipitation,12,,,,
30.03.2020 20:00,9.5,757.7,764.7,0.9,80,Wind blowing from the west-northwest,0,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,10.8,,,2500 or more  or no clouds.,,,11.0,6.2,No precipitation,12,,,,
30.03.2020 17:00,10.1,756.8,763.8,-0.9,71,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,10.8,,,2500 or more  or no clouds.,,,25.0,5.1,No precipitation,12,,,,
30.03.2020 14:00,10.5,757.7,764.7,-1.9,67,Wind blowing from the south-east,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,10.8,,,2500 or more  or no clouds.,,,18.0,4.6,No precipitation,12,,,,
30.03.2020 11:00,8.6,759.6,766.6,1.1,77,Wind blowing from the east-southeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,8.6,,,2500 or more  or no clouds.,,,15.0,4.8,No precipitation,12,,,,
30.03.2020 08:00,6.5,758.5,765.4,0.5,90,Wind blowing from the north-east,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,7.5,,,2500 or more  or no clouds.,,,10.0,5.0,0.1,12,,,,
30.03.2020 05:00,5.4,758.0,765.0,-0.3,100,Wind blowing from the north-northwest,2,,5,,Mist. ,,,5.0,7.5,,,2500 or more  or no clouds.,,,6.0,5.4,0.1,12,,,,
30.03.2020 02:00,6.2,758.3,765.3,,97,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,7.5,,,2500 or more  or no clouds.,,,8.0,5.8,,,,,,
29.03.2020 20:00,7.2,757.8,764.8,0.4,89,Wind blowing from the north,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,10.3,,,2500 or more  or no clouds.,,,26.0,5.5,2.0,12,,,,
29.03.2020 17:00,7.4,757.4,764.4,-0.7,89,Wind blowing from the north-northwest,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,,,,2500 or more  or no clouds.,,,30.0,5.7,5.0,12,,,,
29.03.2020 14:00,6.9,758.1,765.1,-1.3,97,Wind blowing from the north,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,,,,2500 or more  or no clouds.,,,24.0,6.5,11.0,12,,,,
29.03.2020 11:00,6.1,759.4,766.3,0.8,100,Wind blowing from the north,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.0,,,,2500 or more  or no clouds.,,,14.0,6.1,15.0,12,,,,
29.03.2020 08:00,5.6,758.6,765.6,0.2,100,Wind blowing from the north-northwest,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.7,,,2500 or more  or no clouds.,,,7.0,5.6,13.0,12,,,,
29.03.2020 05:00,5.5,758.4,765.3,-1.9,100,Wind blowing from the north,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.9,13.7,,,2500 or more  or no clouds.,,,7.0,5.5,10.0,12,,,,
29.03.2020 02:00,6.8,760.3,767.2,,100,Wind blowing from the east-northeast,3,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.7,,,2500 or more  or no clouds.,,,9.0,6.8,5.0,12,,,,
28.03.2020 20:00,10.3,760.4,767.4,0.7,73,Wind blowing from the south-west,2,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.7,,,2500 or more  or no clouds.,,,30.0,5.7,No precipitation,12,,,,
28.03.2020 17:00,12.4,759.7,766.7,-1.1,56,Wind blowing from the south-southeast,3,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.7,,,2500 or more  or no clouds.,,,30.0,3.9,,,,,,
28.03.2020 14:00,13.6,760.8,767.8,-2.8,45,Wind blowing from the south-east,2,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,13.7,,,2500 or more  or no clouds.,,,30.0,1.9,4.0,12,,,,
28.03.2020 11:00,10.5,763.6,770.5,-0.4,53,Wind blowing from the north-northeast,6,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,10.5,,,2500 or more  or no clouds.,,,30.0,1.3,8.0,12,,,,
28.03.2020 08:00,5.4,764.0,771.1,1.1,94,Wind blowing from the north-northeast,4,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,10.6,,,2500 or more  or no clouds.,,,30.0,4.5,17.0,12,,,,
28.03.2020 05:00,3.9,762.9,769.9,0.8,100,Wind blowing from the north,5,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.8,10.6,,,2500 or more  or no clouds.,,,9.0,3.9,24.0,12,,,,
28.03.2020 02:00,4.9,762.1,769.1,,100,Wind blowing from the north,6,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,10.6,,,2500 or more  or no clouds.,,,8.0,4.9,21.0,12,,,,
27.03.2020 20:00,6.8,761.1,768.1,1.7,100,Wind blowing from the north,6,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,,,,2500 or more  or no clouds.,,,6.0,6.8,8.0,12,,,,
27.03.2020 17:00,8.0,759.4,766.4,-0.2,78,Wind blowing from the north-northeast,5,,15,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,,,,2500 or more  or no clouds.,,,10.0,4.4,1.0,12,,,,
27.03.2020 14:00,9.8,759.6,766.5,-0.4,57,Wind blowing from the north-northeast,6,,16,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,2500 or more  or no clouds.,,,27.0,1.7,0.2,12,,,,
27.03.2020 11:00,9.5,760.0,766.9,0.6,79,Wind blowing from the north,6,,19,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,,,,2500 or more  or no clouds.,,,17.0,6.0,0.2,12,,,,
27.03.2020 08:00,9.8,759.4,766.3,2.2,80,Wind blowing from the north,9,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,24.4,,,2500 or more  or no clouds.,,,29.0,6.5,0.1,12,,,,
27.03.2020 05:00,10.1,757.2,764.0,-0.5,87,Wind blowing from the north,8,,19,,Cloud development not observed or not observable. ,,,9.9,24.4,,,2500 or more  or no clouds.,,,30.0,8.0,6.0,12,,,,
27.03.2020 02:00,10.2,757.7,764.5,,84,Wind blowing from the north,11,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,24.4,,,2500 or more  or no clouds.,,,30.0,7.6,13.0,12,,,,
26.03.2020 20:00,16.6,753.4,760.1,1.8,100,Wind blowing from the north,5,,15,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,24.4,,,2500 or more  or no clouds.,,,30.0,16.6,15.0,12,,,,
26.03.2020 17:00,18.2,751.6,758.2,,100,Wind blowing from the north-west,3,,10,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,24.4,,,2500 or more  or no clouds.,,,6.0,18.2,7.0,6,,,,
26.03.2020 14:00,20.7,750.3,756.9,-0.4,98,Wind blowing from the east-southeast,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,24.4,,,2500 or more  or no clouds.,,,9.0,20.4,5.0,12,,,,
26.03.2020 11:00,22.5,750.7,757.3,,75,Wind blowing from the east,3,,10,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,22.5,,,2500 or more  or no clouds.,,,27.0,17.8,2.0,6,,,,
26.03.2020 08:00,18.5,750.3,756.9,1.4,97,Wind blowing from the east-northeast,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,21.6,,,600-1000,,,14.0,18.0,3.0,12,,,,
26.03.2020 05:00,18.6,748.9,755.5,,100,Wind blowing from the north-northeast,2,,6,,Rain (not freezing) not falling as shower(s). ,,,18.4,21.6,,,,,,4.5,18.6,3.0,6,,,,
