Local time in Yuanling,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 14:00,13.7,753.5,767.4,-1.4,71,Wind blowing from the east-northeast,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.2,,,2500 or more  or no clouds.,,,3.8,8.5,0.6,12,,,,
03.04.2020 11:00,12.3,754.9,768.8,1.2,86,Wind blowing from the north-east,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,2500 or more  or no clouds.,,,2.9,10.0,3.0,12,,,,
03.04.2020 08:00,12.1,753.7,767.6,0.9,83,Wind blowing from the north-east,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.2,,,2500 or more  or no clouds.,,,3.5,9.3,4.0,12,,,,
03.04.2020 05:00,11.9,752.8,766.6,0.9,90,Wind blowing from the north-east,1,,7,,Mist. ,,,11.7,14.2,,,2500 or more  or no clouds.,,,4.1,10.3,4.0,12,,,,
03.04.2020 02:00,11.8,751.9,765.7,,92,Wind blowing from the north-east,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.2,,,2500 or more  or no clouds.,,,4.2,10.5,4.0,12,,,,
02.04.2020 20:00,13.8,752.8,766.6,1.6,71,Wind blowing from the east-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.5,,,2500 or more  or no clouds.,,,7.0,8.6,No precipitation,12,,,,
02.04.2020 17:00,13.8,751.2,765.0,-0.7,71,Wind blowing from the north-east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,6.0,8.6,No precipitation,12,,,,
02.04.2020 14:00,14.1,751.9,765.7,-1.6,68,Wind blowing from the east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,7.0,8.3,No precipitation,12,,,,
02.04.2020 11:00,13.7,753.5,767.3,,70,Wind blowing from the east-northeast,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,,,,6.0,8.3,No precipitation,6,,,,
02.04.2020 08:00,13.1,752.5,766.3,1.3,72,Wind blowing from the east-northeast,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,18.8,,,2500 or more  or no clouds.,,,5.0,8.2,No precipitation,12,,,,
02.04.2020 05:00,13.1,751.2,764.9,-0.2,73,Wind blowing from the north-east,1,,8,,Mist. ,,,8.2,18.8,,,2500 or more  or no clouds.,,,5.0,8.4,No precipitation,12,,,,
02.04.2020 02:00,13.9,751.4,765.1,,68,Wind blowing from the east-northeast,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,18.8,,,2500 or more  or no clouds.,,,6.0,8.1,No precipitation,12,,,,
01.04.2020 20:00,15.5,749.8,763.6,1.3,58,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,18.8,,,2500 or more  or no clouds.,,,11.0,7.3,No precipitation,12,,,,
01.04.2020 17:00,17.6,748.5,762.2,-0.6,52,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,18.8,,,2500 or more  or no clouds.,,,10.0,7.6,No precipitation,12,,,,
01.04.2020 14:00,18.2,749.1,762.8,-2.2,49,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,18.8,,,2500 or more  or no clouds.,,,10.0,7.3,No precipitation,12,,,,
01.04.2020 11:00,17.7,751.3,765.0,-0.9,54,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,18.2,,,2500 or more  or no clouds.,,,9.0,8.3,No precipitation,12,,,,
01.04.2020 08:00,10.6,752.2,766.1,1.8,92,Wind blowing from the east,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,18.2,,,2500 or more  or no clouds.,,,6.0,9.4,No precipitation,12,,,,
01.04.2020 05:00,9.2,750.4,764.2,0.3,96,Wind blowing from the north-west,0,,2,,Cloud development not observed or not observable. ,,,8.6,18.2,,,2500 or more  or no clouds.,,,7.0,8.6,No precipitation,12,,,,
01.04.2020 02:00,9.9,750.1,763.9,,97,Wind blowing from the north,0,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,18.2,,,2500 or more  or no clouds.,,,6.0,9.4,No precipitation,12,,,,
31.03.2020 20:00,14.4,748.8,762.6,1.1,75,Wind blowing from the east-northeast,1,,6,10%  or less  but not 0,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,18.2,,,600-1000,,,7.0,10.0,No precipitation,12,,,,
31.03.2020 17:00,18.0,747.7,761.5,-1.7,48,Wind blowing from the south-southeast,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,18.2,,,2500 or more  or no clouds.,,,9.0,6.8,No precipitation,12,,,,
31.03.2020 14:00,16.3,749.4,763.2,-2.2,50,Wind blowing from the south-southeast,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,16.6,,,1000-1500,,,9.0,5.9,No precipitation,12,,,,
31.03.2020 11:00,12.4,751.6,765.5,0.0,63,Wind blowing from the south-southwest,2,,4,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,12.5,,,1000-1500,,,6.0,5.6,No precipitation,12,,,,
31.03.2020 08:00,9.2,751.6,765.5,,83,Wind blowing from the north-west,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,12.1,,,600-1000,,,5.0,6.5,No precipitation,6,,,,
31.03.2020 05:00,8.9,750.5,764.5,-0.6,82,Wind blowing from the east-southeast,1,,,,Mist. ,,,7.0,12.1,,,2500 or more  or no clouds.,,,6.0,6.0,No precipitation,12,,,,
31.03.2020 02:00,9.4,751.1,765.1,,75,Wind blowing from the east-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,12.1,,,2500 or more  or no clouds.,,,6.0,5.2,No precipitation,12,,,,
30.03.2020 20:00,10.4,749.7,763.6,1.3,69,Wind blowing from the east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,12.1,,,2500 or more  or no clouds.,,,11.0,5.0,No precipitation,12,,,,
30.03.2020 17:00,11.8,748.4,762.4,-1.3,64,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,12.1,,,2500 or more  or no clouds.,,,12.0,5.2,No precipitation,12,,,,
30.03.2020 14:00,11.6,749.7,763.6,-2.2,62,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,11.7,,,2500 or more  or no clouds.,,,12.0,4.6,No precipitation,12,,,,
30.03.2020 11:00,10.7,751.9,765.9,0.3,64,Wind blowing from the north-northeast,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,10.7,,,2500 or more  or no clouds.,,,11.0,4.2,No precipitation,12,,,,
30.03.2020 08:00,8.0,751.6,765.7,0.7,85,Wind blowing from the north-east,1,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,8.9,,,2500 or more  or no clouds.,,,9.0,5.6,0.2,12,,,,
30.03.2020 05:00,7.3,750.9,764.9,-1.0,94,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,,,6.5,8.9,,,2500 or more  or no clouds.,,,7.0,6.4,0.2,12,,,,
30.03.2020 02:00,7.4,751.9,766.0,,92,Wind blowing from the north-east,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.9,,,2500 or more  or no clouds.,,,5.0,6.2,0.2,12,,,,
29.03.2020 20:00,8.1,751.2,765.3,1.0,83,Wind blowing from the east,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.9,,,600-1000,,,14.0,5.4,0.1,12,,,,
29.03.2020 17:00,8.6,750.2,764.2,-0.8,79,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.9,,,300-600,,,15.0,5.2,3.0,12,,,,
29.03.2020 14:00,8.1,751.0,765.1,-1.5,82,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.1,,,300-600,,,15.0,5.2,11.0,12,,,,
29.03.2020 11:00,7.9,752.5,766.6,,85,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,7.9,,,300-600,,,13.0,5.5,3.0,6,,,,
29.03.2020 08:00,6.9,750.9,765.0,0.8,96,Wind blowing from the north,0,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,,,,300-600,,,5.0,6.3,32.0,12,,,,
29.03.2020 05:00,6.5,750.1,764.2,-0.6,95,Wind blowing from the north-northeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,6.0,,,,2500 or more  or no clouds.,,,7.0,5.8,29.0,12,,,,
29.03.2020 02:00,6.3,750.7,764.8,,96,Wind blowing from the north-northeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,7.9,,,2500 or more  or no clouds.,,,4.8,5.7,21.0,12,,,,
28.03.2020 20:00,6.6,751.6,765.7,-0.6,80,Wind blowing from the north-east,3,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,7.9,,,2500 or more  or no clouds.,,,11.0,3.4,1.0,12,,,,
28.03.2020 17:00,6.9,752.2,766.4,-2.1,81,Wind blowing from the east-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,8.5,,,300-600,,,11.0,3.9,1.0,12,,,,
28.03.2020 14:00,7.4,754.3,768.5,-2.0,81,Wind blowing from the east-northeast,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,9.3,,,2500 or more  or no clouds.,,,9.0,4.4,1.0,12,,,,
28.03.2020 11:00,7.5,756.3,770.5,0.0,81,Wind blowing from the east-northeast,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,,,,2500 or more  or no clouds.,,,8.0,4.5,0.1,12,,,,
28.03.2020 08:00,7.0,756.3,770.5,0.2,78,Wind blowing from the east-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,,,,2500 or more  or no clouds.,,,14.0,3.4,No precipitation,12,,,,
28.03.2020 05:00,6.0,756.1,770.2,-1.1,83,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,,,5.7,,,,2500 or more  or no clouds.,,,18.0,3.3,0.2,12,,,,
28.03.2020 02:00,6.3,757.2,771.4,,80,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,,,,2500 or more  or no clouds.,,,18.0,3.1,0.7,12,,,,
27.03.2020 20:00,7.1,755.2,769.3,2.7,84,Wind blowing from the east-northeast,3,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,,,,2500 or more  or no clouds.,,,10.0,4.6,3.0,12,,,,
27.03.2020 17:00,8.5,752.5,766.3,,77,Wind blowing from the east-northeast,4,,14,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,,,,600-1000,,,15.0,4.7,2.0,6,,,,
27.03.2020 14:00,9.4,751.4,765.1,,80,Wind blowing from the east-northeast,4,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,28.2,,,300-600,,,6.0,6.1,2.0,6,,,,
27.03.2020 11:00,11.2,752.7,766.4,3.3,77,Wind blowing from the north-northeast,2,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,28.2,,,2500 or more  or no clouds.,,,10.0,7.3,0.8,12,,,,
27.03.2020 08:00,13.1,749.4,762.9,,70,Wind blowing from the east-northeast,6,,14,100%., ,,,13.1,28.2,,,300-600,,,14.0,7.8,No precipitation,6,,,,
27.03.2020 05:00,15.0,748.4,761.8,1.6,70,Wind blowing from the east-northeast,5,,14,,Cloud development not observed or not observable. ,,,15.0,28.2,,,2500 or more  or no clouds.,,,13.0,9.6,6.0,12,,,,
27.03.2020 02:00,19.2,746.8,760.0,,75,Wind blowing from the east-northeast,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,28.2,,,2500 or more  or no clouds.,,,13.0,14.7,6.0,12,,,,
26.03.2020 20:00,24.3,743.0,756.3,1.9,67,Wind blowing from the north-east,1,,6,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,28.2,,,300-600,,,8.0,17.8,No precipitation,12,,,,
26.03.2020 17:00,27.1,741.1,754.3,,56,Wind blowing from the north-northeast,1,,,90  or more  but not 100%, ,,,,,,,600-1000,,,8.0,17.6,,,,,,
26.03.2020 14:00,26.2,741.9,755.1,-1.7,59,Wind blowing from the south,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,26.3,,,2500 or more  or no clouds.,,,9.0,17.6,No precipitation,12,,,,
26.03.2020 11:00,20.3,743.6,757.0,,88,Calm  no wind,0,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,24.7,,,600-1000,,,7.0,18.2,No precipitation,6,,,,
26.03.2020 08:00,17.0,742.8,756.1,1.2,100,Calm  no wind,0,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,24.7,,,600-1000,,,3.1,17.0,No precipitation,12,,,,
26.03.2020 05:00,16.9,741.6,754.9,,100,Calm  no wind,0,,,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,16.7,24.7,,,,,,0.4,16.9,No precipitation,6,,,,
26.03.2020 02:00,17.3,741.8,755.1,,100,Calm  no wind,0,,,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.7,,,2500 or more  or no clouds.,,,0.3,17.3,No precipitation,12,,,,
25.03.2020 20:00,21.5,740.2,753.5,0.2,83,Calm  no wind,0,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.7,,,2500 or more  or no clouds.,,,5.0,18.5,No precipitation,12,,,,
25.03.2020 17:00,24.1,740.0,753.3,,70,Wind blowing from the north,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.7,,,2500 or more  or no clouds.,,,6.0,18.3,No precipitation,6,,,,
