Local time in Zhangwu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,16.6,754.6,762.0,-0.8,15,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,17.2,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
06.04.2020 14:00,16.4,755.4,762.8,-1.8,18,Wind blowing from the east-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,16.4,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
06.04.2020 11:00,13.0,757.2,764.6,-0.8,20,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,13.5,,,2500 or more  or no clouds.,,,29.0,-9.4,No precipitation,12,,,,
06.04.2020 08:00,6.5,758.0,765.5,-0.2,34,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,13.5,,,2500 or more  or no clouds.,,,21.0,-8.2,No precipitation,12,,,,
06.04.2020 05:00,-2.5,758.2,765.7,-0.9,62,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-7.8,13.5,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
06.04.2020 02:00,-1.4,759.1,766.6,-0.6,57,Wind blowing from the south,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,13.5,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
05.04.2020 23:00,1.7,759.7,767.2,0.0,40,Wind blowing from the north,0,,9,,Cloud development not observed or not observable. ,,,,13.5,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
05.04.2020 20:00,6.7,759.7,767.2,0.6,22,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.5,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
05.04.2020 17:00,12.6,759.1,766.7,-1.3,11,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,13.5,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
05.04.2020 14:00,12.6,760.4,768.0,-2.3,10,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,12.9,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
05.04.2020 11:00,10.5,762.7,770.2,-0.9,9,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,10.5,,,2500 or more  or no clouds.,,,30.0,-21.1,No precipitation,12,,,,
05.04.2020 08:00,3.9,763.6,771.2,0.0,26,Wind blowing from the east-northeast,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,9.0,,,2500 or more  or no clouds.,,,16.0,-13.9,No precipitation,12,,,,
05.04.2020 05:00,-6.8,763.6,771.4,-0.6,57,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-6.8,9.0,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
05.04.2020 02:00,-5.8,764.2,772.0,-0.2,46,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,9.0,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
04.04.2020 23:00,-2.3,764.4,772.0,-0.1,38,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,,,-3.3,9.0,,,2500 or more  or no clouds.,,,25.0,-14.7,No precipitation,12,,,,
04.04.2020 20:00,3.6,764.5,772.2,0.9,17,Wind blowing from the north-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,9.0,,,2500 or more  or no clouds.,,,29.0,-19.2,No precipitation,12,,,,
04.04.2020 17:00,8.5,763.6,771.1,-0.7,9,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,19.0,,,2500 or more  or no clouds.,,,30.0,-22.6,No precipitation,12,,,,
04.04.2020 14:00,8.2,764.3,771.9,-1.1,11,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
04.04.2020 11:00,6.4,765.4,773.0,-0.2,15,Wind blowing from the north,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
04.04.2020 08:00,3.3,765.6,773.2,1.1,31,Wind blowing from the north-west,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
04.04.2020 05:00,-0.7,764.5,772.0,0.5,38,Wind blowing from the north-northeast,2,,16,,Cloud development not observed or not observable. ,,,-0.7,,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
04.04.2020 02:00,1.4,764.0,771.4,1.3,37,Wind blowing from the north-northwest,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,22.4,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
03.04.2020 23:00,3.6,762.7,770.2,4.0,32,Wind blowing from the north-northeast,3,,17,,Cloud development not observed or not observable. ,,,3.6,22.4,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
03.04.2020 20:00,6.8,758.7,766.1,6.6,32,Wind blowing from the north-northeast,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,22.4,,,2500 or more  or no clouds.,,,18.0,-8.7,No precipitation,12,,,,
03.04.2020 17:00,19.0,752.1,759.4,0.8,10,Wind blowing from the north-west,9,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,22.4,,,2500 or more  or no clouds.,,,12.0,-13.3,No precipitation,12,,,,
03.04.2020 14:00,22.0,751.3,758.5,-2.7,10,Wind blowing from the west-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,22.4,,,2500 or more  or no clouds.,,,24.0,-11.0,No precipitation,12,,,,
03.04.2020 11:00,18.8,754.0,761.3,-1.9,15,Wind blowing from the west,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,20.6,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
03.04.2020 08:00,9.6,755.9,763.3,-0.2,30,Wind blowing from the west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,20.6,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
03.04.2020 05:00,5.6,756.1,763.3,-0.4,32,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,,,-2.1,20.6,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
03.04.2020 02:00,6.6,756.5,763.8,0.1,33,Wind blowing from the west-northwest,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.6,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
02.04.2020 23:00,5.7,756.4,763.7,0.4,38,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,,,,20.6,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
02.04.2020 20:00,13.4,756.0,763.3,1.2,19,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.6,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
02.04.2020 17:00,19.2,754.8,762.1,0.0,11,Wind blowing from the west-northwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,20.6,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
02.04.2020 14:00,20.4,754.8,762.1,-1.3,10,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,20.4,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
02.04.2020 11:00,16.8,756.1,763.5,-0.6,11,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,16.9,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
02.04.2020 08:00,6.5,756.7,764.2,0.1,31,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,14.5,,,2500 or more  or no clouds.,,,20.0,-9.4,No precipitation,12,,,,
02.04.2020 05:00,-0.9,756.6,764.0,-0.1,55,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,,,-1.3,14.5,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
02.04.2020 02:00,0.1,756.7,764.2,-0.3,47,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,14.5,,,2500 or more  or no clouds.,,,26.0,-9.9,No precipitation,12,,,,
01.04.2020 23:00,7.3,757.0,764.4,-0.3,22,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,,,0.2,14.5,,,2500 or more  or no clouds.,,,24.0,-13.0,No precipitation,12,,,,
01.04.2020 20:00,8.9,757.3,764.8,0.4,21,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.5,,,2500 or more  or no clouds.,,,11.0,-12.2,No precipitation,12,,,,
01.04.2020 17:00,14.2,756.9,764.3,-1.2,13,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.5,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
01.04.2020 14:00,13.8,758.1,765.5,-2.2,14,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.2,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
01.04.2020 11:00,10.3,760.3,767.8,-0.9,16,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.2,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
01.04.2020 08:00,4.8,761.2,768.7,0.8,26,Wind blowing from the west-northwest,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.2,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
01.04.2020 05:00,0.4,760.4,767.9,0.1,33,Wind blowing from the west-northwest,4,,10,,Cloud development not observed or not observable. ,,,0.4,14.2,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
01.04.2020 02:00,1.9,760.3,767.8,0.0,26,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,14.2,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
31.03.2020 23:00,5.9,760.3,767.7,1.9,18,Wind blowing from the north-northwest,4,,12,,Cloud development not observed or not observable. ,,,5.9,14.2,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
31.03.2020 20:00,8.8,758.4,765.8,2.3,16,Wind blowing from the north-west,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,14.2,,,,,,30.0,-15.7,No precipitation,12,,,,
31.03.2020 17:00,13.0,756.1,763.5,0.3,12,Wind blowing from the north-northwest,5,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,14.7,,,1000-1500,,,30.0,-15.8,No precipitation,12,,,,
31.03.2020 14:00,13.8,755.8,763.2,-0.4,15,Wind blowing from the north,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,17.1,,,1000-1500,,,30.0,-12.4,No precipitation,12,,,,
31.03.2020 11:00,11.5,756.2,763.6,2.2,17,Wind blowing from the north,5,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,17.1,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
31.03.2020 08:00,8.3,754.0,761.3,1.5,61,Wind blowing from the north-northwest,3,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,,,,1000-1500,,,15.0,1.2,No precipitation,12,,,,
31.03.2020 05:00,6.6,752.5,759.9,0.0,64,Wind blowing from the south-southwest,4,,13,,Cloud development not observed or not observable. ,,,2.4,17.1,,,2500 or more  or no clouds.,,,19.0,0.1,No precipitation,12,,,,
31.03.2020 02:00,8.1,752.5,759.7,-0.5,63,Wind blowing from the south-southwest,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,17.1,,,2500 or more  or no clouds.,,,18.0,1.3,No precipitation,12,,,,
30.03.2020 23:00,8.1,753.0,760.3,0.2,59,Wind blowing from the south,7,,14,,Cloud development not observed or not observable. ,,,2.4,17.1,,,2500 or more  or no clouds.,,,20.0,0.6,No precipitation,12,,,,
30.03.2020 20:00,10.0,752.8,760.2,0.8,51,Wind blowing from the south-southwest,5,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,17.1,,,,,,25.0,0.1,No precipitation,12,,,,
30.03.2020 17:00,14.7,752.0,759.4,-0.7,38,Wind blowing from the south-southwest,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,17.1,,,,,,22.0,0.5,No precipitation,12,,,,
30.03.2020 14:00,16.7,752.7,760.0,-1.8,33,Wind blowing from the south,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,16.9,,,,,,25.0,0.4,No precipitation,12,,,,
30.03.2020 11:00,12.4,754.5,761.8,-0.1,39,Wind blowing from the south,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,15.3,,,,,,30.0,-1.2,No precipitation,12,,,,
30.03.2020 08:00,4.8,754.6,762.1,0.3,62,Wind blowing from the south-southwest,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,,,,,,,30.0,-1.9,No precipitation,12,,,,
30.03.2020 05:00,2.5,754.3,761.7,0.2,59,Wind blowing from the south,3,,13,,Cloud development not observed or not observable. ,,,-1.4,15.3,,,2500 or more  or no clouds.,,,30.0,-4.9,No precipitation,12,,,,
30.03.2020 02:00,3.9,754.1,761.5,-0.5,46,Wind blowing from the south-southwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,15.3,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
29.03.2020 23:00,5.3,754.6,762.1,0.2,37,Wind blowing from the south-southwest,5,,15,,Cloud development not observed or not observable. ,,,-1.4,15.3,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
29.03.2020 20:00,7.3,754.4,761.9,0.7,35,Wind blowing from the south-southwest,5,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,15.3,,,,,,30.0,-7.1,No precipitation,12,,,,
29.03.2020 17:00,11.9,753.7,761.2,-0.6,28,Wind blowing from the south,7,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,15.3,,,,,,30.0,-6.0,No precipitation,12,,,,
29.03.2020 14:00,14.4,754.3,761.7,-2.1,21,Wind blowing from the south,9,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,15.3,,,,,,23.0,-7.6,No precipitation,12,,,,
29.03.2020 11:00,10.9,756.4,763.8,-1.1,42,Wind blowing from the south,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,10.9,,,,,,30.0,-1.5,No precipitation,12,,,,
29.03.2020 08:00,2.9,757.5,765.1,0.1,73,Wind blowing from the south,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,10.8,,,,,,30.0,-1.6,No precipitation,12,,,,
29.03.2020 05:00,-0.5,757.4,764.9,-0.1,70,Wind blowing from the south,2,,10,,Cloud development not observed or not observable. ,,,-2.1,10.8,,,2500 or more  or no clouds.,,,30.0,-5.3,No precipitation,12,,,,
29.03.2020 02:00,1.1,757.5,765.0,-0.4,60,Wind blowing from the south-southwest,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,10.8,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
28.03.2020 23:00,2.2,757.9,765.4,-0.1,41,Wind blowing from the south-southwest,4,,11,,Cloud development not observed or not observable. ,,,-2.1,10.8,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
28.03.2020 20:00,5.3,758.0,765.6,0.4,32,Wind blowing from the south-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,10.8,,,,,,30.0,-10.1,No precipitation,12,,,,
28.03.2020 17:00,9.3,757.6,765.1,-1.8,17,Wind blowing from the south,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,10.8,,,,,,30.0,-14.5,No precipitation,12,,,,
28.03.2020 14:00,10.3,759.4,766.9,-2.4,14,Wind blowing from the south-southwest,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,10.3,,,,,,30.0,-16.0,No precipitation,12,,,,
28.03.2020 11:00,6.8,761.8,769.4,-0.8,17,Wind blowing from the south-west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,8.7,,,,,,30.0,-16.6,No precipitation,12,,,,
28.03.2020 08:00,1.5,762.6,770.2,0.7,31,Wind blowing from the west,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,,,,,,,30.0,-13.8,No precipitation,12,,,,
28.03.2020 05:00,-1.2,761.9,769.6,,34,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,,,-4.4,8.7,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
28.03.2020 02:00,-0.9,762.0,769.6,0.2,34,Wind blowing from the west,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,8.7,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
27.03.2020 23:00,0.4,761.8,769.4,0.8,27,Wind blowing from the west,2,,14,,Cloud development not observed or not observable. ,,,-4.4,8.7,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
27.03.2020 20:00,2.2,761.0,768.7,1.2,23,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,8.7,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
27.03.2020 17:00,5.1,759.8,767.5,1.0,18,Wind blowing from the north-west,7,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,8.7,,,,,,30.0,-17.3,No precipitation,12,,,,
27.03.2020 14:00,8.3,758.8,766.4,-1.2,16,Wind blowing from the west-northwest,6,,13,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,8.7,,,600-1000,,,30.0,-16.1,No precipitation,12,,,,
