Local time in Changde,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 08:00,10.8,755.8,769.7,1.2,96,Wind blowing from the north-northwest,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,12.8,,,2500 or more  or no clouds.,,,2.4,10.2,No precipitation,12,,,,
04.04.2020 05:00,10.1,754.6,768.5,0.0,98,Wind blowing from the north-west,3,,6,,Mist. ,,,9.8,12.8,,,2500 or more  or no clouds.,,,1.6,9.8,No precipitation,12,,,,
04.04.2020 02:00,11.2,754.6,768.4,-0.7,87,Wind blowing from the north-west,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,12.8,,,2500 or more  or no clouds.,,,3.0,9.1,No precipitation,12,,,,
03.04.2020 23:00,11.0,755.3,769.1,0.7,87,Wind blowing from the west-northwest,3,,6,,Mist. ,,,10.9,13.0,,,2500 or more  or no clouds.,,,2.9,8.9,0.4,12,,,,
03.04.2020 20:00,11.2,754.6,768.4,0.9,85,Wind blowing from the north-west,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,13.2,,,2500 or more  or no clouds.,,,3.6,8.8,,,,,,
03.04.2020 17:00,11.9,753.7,767.5,-0.3,75,Wind blowing from the north-east,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,13.4,,,2500 or more  or no clouds.,,,5.0,7.6,0.4,12,,,,
03.04.2020 14:00,12.2,754.0,767.8,-1.5,85,Wind blowing from the north-northeast,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,2500 or more  or no clouds.,,,3.1,9.8,0.4,12,,,,
03.04.2020 11:00,12.1,755.5,769.3,1.2,80,Wind blowing from the north-northwest,1,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,15.0,,,2500 or more  or no clouds.,,,3.7,8.8,No precipitation,12,,,,
03.04.2020 08:00,11.4,754.3,768.1,1.2,82,Wind blowing from the north,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,15.0,,,2500 or more  or no clouds.,,,3.6,8.4,No precipitation,12,,,,
03.04.2020 05:00,11.4,753.1,766.9,-0.5,83,Wind blowing from the north-northwest,3,,10,,Mist. ,,,11.3,15.0,,,2500 or more  or no clouds.,,,3.9,8.6,No precipitation,12,,,,
03.04.2020 02:00,12.0,753.6,767.3,-0.7,79,Wind blowing from the north-northwest,4,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,15.0,,,2500 or more  or no clouds.,,,6.0,8.5,No precipitation,12,,,,
02.04.2020 23:00,12.9,754.3,768.1,0.9,79,Wind blowing from the north,1,,9,,Haze. ,,,11.4,15.0,,,2500 or more  or no clouds.,,,5.0,9.4,No precipitation,12,,,,
02.04.2020 20:00,12.9,753.4,767.2,1.1,81,Wind blowing from the north,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,15.0,,,2500 or more  or no clouds.,,,6.0,9.7,No precipitation,12,,,,
02.04.2020 17:00,13.5,752.3,766.0,0.2,75,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,15.1,,,2500 or more  or no clouds.,,,8.0,9.2,No precipitation,12,,,,
02.04.2020 14:00,14.8,752.1,765.7,-1.6,68,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,19.5,,,2500 or more  or no clouds.,,,7.0,9.0,No precipitation,12,,,,
02.04.2020 11:00,12.8,753.7,767.5,0.8,84,Wind blowing from the north,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,2500 or more  or no clouds.,,,6.0,10.2,No precipitation,12,,,,
02.04.2020 08:00,11.4,752.9,766.6,1.0,86,Wind blowing from the north,2,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,,,,2500 or more  or no clouds.,,,5.0,9.1,No precipitation,12,,,,
02.04.2020 05:00,11.9,751.9,765.5,0.0,84,Wind blowing from the north,2,,10,,Mist. ,,,7.8,19.5,,,2500 or more  or no clouds.,,,5.0,9.3,No precipitation,12,,,,
02.04.2020 02:00,12.5,751.9,765.4,-0.9,79,Wind blowing from the north,2,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,19.5,,,2500 or more  or no clouds.,,,6.0,9.0,No precipitation,12,,,,
01.04.2020 23:00,12.9,752.8,766.4,1.6,76,Wind blowing from the north-northwest,2,,10,,Haze. ,,,7.8,19.5,,,2500 or more  or no clouds.,,,6.0,8.8,No precipitation,12,,,,
01.04.2020 20:00,13.7,751.2,764.9,1.1,70,Wind blowing from the east-northeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,19.5,,,2500 or more  or no clouds.,,,9.0,8.3,No precipitation,12,,,,
01.04.2020 17:00,15.1,750.1,763.8,-0.4,65,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,19.5,,,2500 or more  or no clouds.,,,16.0,8.6,No precipitation,12,,,,
01.04.2020 14:00,19.5,750.5,764.1,-2.6,49,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,19.5,,,2500 or more  or no clouds.,,,21.0,8.5,No precipitation,12,,,,
01.04.2020 11:00,17.4,753.1,766.8,0.4,59,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,17.4,,,2500 or more  or no clouds.,,,14.0,9.3,No precipitation,12,,,,
01.04.2020 08:00,10.2,752.7,766.5,2.3,93,Wind blowing from the north,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,,,,2500 or more  or no clouds.,,,5.0,9.1,No precipitation,12,,,,
01.04.2020 05:00,8.4,750.4,764.2,-0.9,94,Wind blowing from the east,3,,6,,Mist. ,,,7.1,17.4,,,2500 or more  or no clouds.,,,3.7,7.5,No precipitation,12,,,,
01.04.2020 02:00,9.7,751.3,765.1,0.0,84,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,17.4,,,2500 or more  or no clouds.,,,11.0,7.1,No precipitation,12,,,,
31.03.2020 23:00,9.9,751.3,765.1,1.3,84,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,,,6.9,17.4,,,2500 or more  or no clouds.,,,12.0,7.3,No precipitation,12,,,,
31.03.2020 20:00,11.6,750.0,763.8,1.2,76,Wind blowing from the east-southeast,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,17.4,,,2000-2500,,,16.0,7.5,No precipitation,12,,,,
31.03.2020 17:00,16.3,748.8,762.5,-0.8,53,Wind blowing from the south-east,1,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,17.4,,,600-1000,,,14.0,6.7,No precipitation,12,,,,
31.03.2020 14:00,16.3,749.6,763.3,-1.9,56,Wind blowing from the east-northeast,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,16.3,,,2500 or more  or no clouds.,,,13.0,7.5,No precipitation,12,,,,
31.03.2020 11:00,11.1,751.5,765.4,0.1,73,Wind blowing from the west,2,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,11.1,,,2500 or more  or no clouds.,,,7.0,6.4,No precipitation,12,,,,
31.03.2020 08:00,7.6,751.4,765.4,0.8,91,Wind blowing from the north-northwest,2,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,,,,2000-2500,,,5.0,6.2,No precipitation,12,,,,
31.03.2020 05:00,7.1,750.6,764.5,-0.7,93,Wind blowing from the north-northwest,2,,5,,Mist. ,,,5.3,9.9,,,2500 or more  or no clouds.,,,5.0,6.0,No precipitation,12,,,,
31.03.2020 02:00,7.0,751.3,765.2,-0.6,90,Wind blowing from the north,0,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,9.9,,,2500 or more  or no clouds.,,,7.0,5.5,No precipitation,12,,,,
30.03.2020 23:00,7.4,751.9,765.9,1.2,85,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,,,5.2,9.9,,,2500 or more  or no clouds.,,,11.0,5.0,No precipitation,12,,,,
30.03.2020 20:00,8.0,750.7,764.6,1.0,80,Wind blowing from the north-east,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,9.9,,,2000-2500,,,12.0,4.8,No precipitation,12,,,,
30.03.2020 17:00,9.1,749.7,763.6,-1.0,77,Wind blowing from the east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,9.9,,,2000-2500,,,16.0,5.3,No precipitation,12,,,,
30.03.2020 14:00,9.5,750.7,764.6,-1.8,77,Wind blowing from the east-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,9.5,,,2000-2500,,,18.0,5.7,No precipitation,12,,,,
30.03.2020 11:00,8.6,752.5,766.5,0.3,79,Wind blowing from the north-northeast,0,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,9.1,,,2000-2500,,,12.0,5.2,No precipitation,12,,,,
30.03.2020 08:00,6.1,752.2,766.3,0.9,97,Wind blowing from the north,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,7.5,,,2000-2500,,,4.8,5.7,No precipitation,12,,,,
30.03.2020 05:00,5.5,751.3,765.3,-0.7,93,Wind blowing from the north,1,,5,,Mist. ,,,5.2,7.5,,,2500 or more  or no clouds.,,,6.0,4.5,No precipitation,12,,,,
30.03.2020 02:00,5.3,752.0,766.0,-0.9,96,Wind blowing from the north,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,7.5,,,2500 or more  or no clouds.,,,6.0,4.7,No precipitation,12,,,,
29.03.2020 23:00,5.5,752.9,767.0,1.3,97,Wind blowing from the north,3,,7,,Mist. ,,,5.5,7.5,,,2500 or more  or no clouds.,,,5.0,5.1,No precipitation,12,,,,
29.03.2020 20:00,6.8,751.6,765.6,0.9,92,Wind blowing from the north,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,7.5,,,1500-2000,,,27.0,5.6,1.0,12,,,,
29.03.2020 17:00,7.2,750.7,764.8,-0.9,91,Wind blowing from the north,0,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,7.5,,,1500-2000,,,24.0,5.8,9.0,12,,,,
29.03.2020 14:00,6.6,751.6,765.6,-1.2,100,Wind blowing from the north,3,,9,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,6.8,,,300-600,,,4.0,6.6,19.0,12,,,,
29.03.2020 11:00,6.2,752.8,766.9,1.2,100,Wind blowing from the north,2,,9,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,6.3,,,1500-2000,,,4.7,6.2,31.0,12,,,,
29.03.2020 08:00,5.9,751.6,765.6,1.1,100,Wind blowing from the north-northwest,2,,9,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,6.3,,,300-600,,,1.9,5.9,31.0,12,,,,
29.03.2020 05:00,5.7,750.5,764.5,-1.4,100,Wind blowing from the north,3,,9,,Rain (not freezing) not falling as shower(s). ,,,5.3,6.3,,,2500 or more  or no clouds.,,,5.0,5.7,23.0,12,,,,
29.03.2020 02:00,6.1,751.9,765.9,-0.9,100,Wind blowing from the north-northwest,3,,8,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,6.3,,,2500 or more  or no clouds.,,,1.3,6.1,13.0,12,,,,
28.03.2020 23:00,5.9,752.8,766.9,0.2,99,Wind blowing from the north,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,,6.3,,,2500 or more  or no clouds.,,,1.8,5.8,2.0,12,,,,
28.03.2020 20:00,5.7,752.6,766.7,-0.8,97,Wind blowing from the east,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,6.3,,,1500-2000,,,4.0,5.3,0.9,12,,,,
28.03.2020 17:00,5.9,753.4,767.5,-1.4,93,Wind blowing from the north-east,0,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,6.3,,,1500-2000,,,8.0,4.9,0.3,12,,,,
28.03.2020 14:00,5.8,754.8,769.0,-2.6,88,Wind blowing from the north-northeast,3,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,6.3,,,1500-2000,,,30.0,4.0,No precipitation,12,,,,
28.03.2020 11:00,6.1,757.4,771.6,0.1,86,Wind blowing from the north-east,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,7.5,,,1000-1500,,,30.0,3.9,0.3,12,,,,
28.03.2020 08:00,5.6,757.3,771.5,1.0,86,Wind blowing from the north-east,3,,15,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,,,,1000-1500,,,30.0,3.4,5.0,12,,,,
28.03.2020 05:00,5.5,756.3,770.5,-0.7,92,Wind blowing from the north,4,,15,,Cloud development not observed or not observable. ,,,3.8,,,,2500 or more  or no clouds.,,,29.0,4.3,7.0,12,,,,
28.03.2020 02:00,4.7,757.0,771.1,-0.6,95,Wind blowing from the north,4,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,,,,2500 or more  or no clouds.,,,19.0,4.0,11.0,12,,,,
27.03.2020 23:00,4.1,757.6,771.7,1.3,98,Wind blowing from the north-northwest,6,,17,,Drizzle  not freezing  intermittent  slight at time of observation. ,,,3.8,,,,2500 or more  or no clouds.,,,4.4,3.8,12.0,12,,,,
27.03.2020 20:00,4.3,756.3,770.4,2.9,97,Wind blowing from the north-northwest,5,,17,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,,,,300-600,,,3.7,3.9,8.0,12,,,,
27.03.2020 17:00,5.1,753.4,767.5,0.4,97,Wind blowing from the north,7,,17,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,300-600,,,4.9,4.7,9.0,12,,,,
27.03.2020 14:00,6.2,753.0,766.9,-0.7,97,Wind blowing from the north,5,,17,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,,,,300-600,,,3.7,5.8,10.0,12,,,,
27.03.2020 11:00,7.5,753.7,767.4,1.5,92,Wind blowing from the north,4,,20,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,24.9,,,300-600,,,6.0,6.3,15.0,12,,,,
27.03.2020 08:00,8.5,752.2,765.8,1.4,83,Wind blowing from the north-northeast,6,,20,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,24.9,,,1500-2000,,,29.0,5.8,22.0,12,,,,
27.03.2020 05:00,9.7,750.8,764.3,1.5,96,Wind blowing from the north,5,,20,,Rain  not freezing  intermittent  moderate at time of observation. ,,,9.7,24.9,,,2500 or more  or no clouds.,,,2.4,9.1,19.0,12,,,,
27.03.2020 02:00,12.5,749.3,762.7,1.7,94,Wind blowing from the north,8,,20,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,24.9,,,2500 or more  or no clouds.,,,5.0,11.6,15.0,12,,,,
