Local time in Xining,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 11:00,6.8,571.7,766.3,-0.1,47,Wind blowing from the south-southeast,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,7.6,,,2500 or more  or no clouds.,,,9.0,-3.7,No precipitation,12,,,,
05.04.2020 08:00,-0.5,571.8,768.5,0.5,75,Wind blowing from the west,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,7.6,,,2500 or more  or no clouds.,,,6.0,-4.4,No precipitation,12,,,,
05.04.2020 05:00,1.4,571.3,766.3,-0.6,67,Wind blowing from the west-southwest,1,,4,,Cloud development not observed or not observable. ,,,-0.4,7.6,,,2500 or more  or no clouds.,,,8.0,-4.1,No precipitation,12,,,,
05.04.2020 02:00,2.4,571.9,767.5,-0.4,62,Wind blowing from the west-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,7.6,,,2500 or more  or no clouds.,,,10.0,-4.3,No precipitation,12,,,,
04.04.2020 23:00,3.1,572.3,768.1,1.0,60,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,,,-0.4,7.6,,,2500 or more  or no clouds.,,,8.0,-4.1,No precipitation,12,,,,
04.04.2020 20:00,5.1,571.3,767.7,0.2,50,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,7.6,,,2500 or more  or no clouds.,,,14.0,-4.5,No precipitation,12,,,,
04.04.2020 17:00,7.2,571.1,766.6,-1.5,45,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,7.6,,,2500 or more  or no clouds.,,,16.0,-4.2,No precipitation,12,,,,
04.04.2020 14:00,4.9,572.6,769.2,-1.0,53,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,5.5,,,2500 or more  or no clouds.,,,13.0,-3.9,No precipitation,12,,,,
04.04.2020 11:00,4.1,573.6,770.4,0.0,59,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,5.5,,,2500 or more  or no clouds.,,,13.0,-3.2,No precipitation,12,,,,
04.04.2020 08:00,-0.2,573.6,772.0,0.8,84,Wind blowing from the north-east,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,5.5,,,2500 or more  or no clouds.,,,6.0,-2.6,No precipitation,12,,,,
04.04.2020 05:00,-0.1,572.8,769.9,-0.5,80,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,-2.6,5.5,,,2500 or more  or no clouds.,,,9.0,-3.1,No precipitation,12,,,,
04.04.2020 02:00,0.7,573.3,770.8,-0.2,70,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,5.5,,,2500 or more  or no clouds.,,,15.0,-4.3,No precipitation,12,,,,
03.04.2020 23:00,1.6,573.5,771.7,1.4,64,Wind blowing from the south-east,4,,,,Cloud development not observed or not observable. ,,,-2.6,5.5,,,2500 or more  or no clouds.,,,16.0,-4.5,No precipitation,12,,,,
03.04.2020 20:00,2.3,572.1,770.9,1.2,60,Wind blowing from the east-southeast,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,5.5,,,2500 or more  or no clouds.,,,18.0,-4.7,No precipitation,12,,,,
03.04.2020 17:00,4.6,570.9,768.2,-0.7,45,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,5.5,,,2500 or more  or no clouds.,,,20.0,-6.3,,,,,,
03.04.2020 14:00,3.2,571.6,769.3,-1.1,51,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,4.0,,,2500 or more  or no clouds.,,,19.0,-6.0,0.1,12,,,,
03.04.2020 11:00,0.6,572.7,771.5,0.4,67,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,1.5,,,2500 or more  or no clouds.,,,13.0,-4.8,0.1,12,,,,
03.04.2020 08:00,-2.5,572.3,772.0,0.8,85,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,1.5,,,2500 or more  or no clouds.,,,9.0,-4.7,0.1,12,,,,
03.04.2020 05:00,-2.1,571.5,770.3,-0.2,78,Wind blowing from the east-northeast,2,,10,,Cloud development not observed or not observable. ,,,-2.2,1.5,,,2500 or more  or no clouds.,,,12.0,-5.4,No precipitation,12,,,,
03.04.2020 02:00,-1.1,571.7,770.4,-0.1,61,Wind blowing from the east-southeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,1.5,,,2500 or more  or no clouds.,,,20.0,-7.7,No precipitation,12,,,,
02.04.2020 23:00,-0.5,571.8,770.5,1.3,59,Wind blowing from the east-southeast,4,,10,,Cloud development not observed or not observable. ,,,-1.9,1.5,,,2500 or more  or no clouds.,,,21.0,-7.7,No precipitation,12,,,,
02.04.2020 20:00,0.2,570.5,769.1,0.7,57,Wind blowing from the east-southeast,7,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,1.5,,,2500 or more  or no clouds.,,,22.0,-7.5,No precipitation,12,,,,
02.04.2020 17:00,1.1,569.8,767.9,-0.7,56,Wind blowing from the south-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,6.2,,,2500 or more  or no clouds.,,,17.0,-6.7,No precipitation,12,,,,
02.04.2020 14:00,0.7,570.5,768.7,-0.5,61,Wind blowing from the south-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,,,,2500 or more  or no clouds.,,,14.0,-6.0,No precipitation,12,,,,
02.04.2020 11:00,0.1,571.0,769.4,1.0,73,Wind blowing from the east-southeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,,,,2500 or more  or no clouds.,,,9.0,-4.2,No precipitation,12,,,,
02.04.2020 08:00,-1.4,570.0,768.2,0.6,79,Wind blowing from the east-southeast,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,,,,2500 or more  or no clouds.,,,9.0,-4.7,No precipitation,12,,,,
02.04.2020 05:00,-1.7,569.4,765.2,-0.3,78,Wind blowing from the south-southeast,2,,16,,Cloud development not observed or not observable. ,,,-1.8,7.9,,,2500 or more  or no clouds.,,,11.0,-5.0,No precipitation,12,,,,
02.04.2020 02:00,-1.0,569.7,765.9,0.2,79,Wind blowing from the south-east,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,7.9,,,2500 or more  or no clouds.,,,9.0,-4.3,No precipitation,12,,,,
01.04.2020 23:00,-0.3,569.5,767.0,2.0,76,Wind blowing from the south-east,7,,16,,Cloud development not observed or not observable. ,,,-1.7,7.9,,,2500 or more  or no clouds.,,,9.0,-4.0,No precipitation,12,,,,
01.04.2020 20:00,0.8,567.5,764.8,1.6,68,Wind blowing from the south-east,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,7.9,,,2500 or more  or no clouds.,,,11.0,-4.6,No precipitation,12,,,,
01.04.2020 17:00,6.4,565.9,760.5,-1.4,43,Wind blowing from the south-southeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,7.9,,,2500 or more  or no clouds.,,,13.0,-5.3,No precipitation,12,,,,
01.04.2020 14:00,5.0,567.3,762.7,-1.8,50,Wind blowing from the east-northeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,12.1,,,2500 or more  or no clouds.,,,13.0,-4.8,0.1,12,,,,
01.04.2020 11:00,1.0,569.1,766.3,0.5,70,Wind blowing from the south-east,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,,,,2500 or more  or no clouds.,,,10.0,-3.9,0.1,12,,,,
01.04.2020 08:00,-1.5,568.6,764.5,0.1,83,Wind blowing from the east-southeast,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,12.1,,,2500 or more  or no clouds.,,,12.0,-4.0,0.1,12,,,,
01.04.2020 05:00,-1.5,568.5,763.3,-0.5,82,Wind blowing from the east-southeast,5,,18,,Snow not falling as shower(s). ,,,-1.5,12.1,,,2500 or more  or no clouds.,,,9.0,-4.2,0.1,12,,,,
01.04.2020 02:00,-0.8,569.0,763.0,0.3,76,Wind blowing from the south-east,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,12.1,,,2500 or more  or no clouds.,,,14.0,-4.5,No precipitation,12,,,,
31.03.2020 23:00,0.2,568.7,763.7,1.5,73,Wind blowing from the south-east,8,,18,,Cloud development not observed or not observable. ,,,0.2,12.1,,,2500 or more  or no clouds.,,,12.0,-4.1,No precipitation,12,,,,
31.03.2020 20:00,5.4,567.2,761.2,1.9,55,Wind blowing from the east-northeast,1,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.1,,,600-1000,,,14.0,-2.9,No precipitation,12,,,,
31.03.2020 17:00,7.7,565.3,757.8,-0.9,39,Wind blowing from the north,9,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.1,,,600-1000,,,7.0,-5.4,No precipitation,12,,,,
31.03.2020 14:00,9.6,566.2,757.5,-1.8,26,Wind blowing from the south,3,,14,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.6,,,2500 or more  or no clouds.,,,17.0,-9.0,No precipitation,12,,,,
31.03.2020 11:00,6.0,568.0,760.9,0.1,28,Wind blowing from the south-southeast,3,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.6,,,2500 or more  or no clouds.,,,20.0,-11.1,No precipitation,12,,,,
31.03.2020 08:00,1.9,567.9,762.1,0.3,43,Wind blowing from the east-southeast,4,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.6,,,600-1000,,,20.0,-9.4,No precipitation,12,,,,
31.03.2020 05:00,2.0,567.6,760.3,-0.9,44,Wind blowing from the east,4,,14,,Cloud development not observed or not observable. ,,,2.0,12.6,,,2500 or more  or no clouds.,,,20.0,-9.0,No precipitation,12,,,,
31.03.2020 02:00,3.9,568.5,760.0,-0.4,42,Wind blowing from the east-southeast,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.6,,,2500 or more  or no clouds.,,,22.0,-8.1,No precipitation,12,,,,
30.03.2020 23:00,4.9,568.9,761.6,1.6,40,Wind blowing from the east,4,,14,,Cloud development not observed or not observable. ,,,2.4,12.6,,,2500 or more  or no clouds.,,,21.0,-7.6,No precipitation,12,,,,
30.03.2020 20:00,5.6,567.3,761.1,2.1,44,Wind blowing from the east-southeast,6,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.6,,,600-1000,,,15.0,-5.7,No precipitation,12,,,,
30.03.2020 17:00,9.2,565.2,756.7,-1.1,39,Wind blowing from the east-southeast,8,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,12.6,,,600-1000,,,13.0,-4.0,No precipitation,12,,,,
30.03.2020 14:00,11.0,566.3,757.2,-1.0,38,Wind blowing from the south-southeast,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,11.2,,,600-1000,,,12.0,-2.8,No precipitation,12,,,,
30.03.2020 11:00,7.3,567.3,759.7,1.2,54,Wind blowing from the east-southeast,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,7.6,,,600-1000,,,8.0,-1.6,No precipitation,12,,,,
30.03.2020 08:00,2.6,566.1,759.8,1.0,74,Wind blowing from the east-northeast,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,7.6,,,600-1000,,,8.0,-1.6,No precipitation,12,,,,
30.03.2020 05:00,2.8,565.1,757.3,-0.1,69,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,,,0.2,7.6,,,2500 or more  or no clouds.,,,9.0,-2.3,No precipitation,12,,,,
30.03.2020 02:00,3.5,565.2,757.5,-0.5,65,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,7.6,,,2500 or more  or no clouds.,,,11.0,-2.5,No precipitation,12,,,,
29.03.2020 23:00,4.3,565.7,759.1,0.3,61,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,,,0.2,7.6,,,2500 or more  or no clouds.,,,15.0,-2.6,No precipitation,12,,,,
29.03.2020 20:00,4.8,565.4,759.7,0.5,57,Wind blowing from the south-southeast,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,7.6,,,600-1000,,,14.0,-3.0,No precipitation,12,,,,
29.03.2020 17:00,7.4,564.9,758.1,-1.4,47,Wind blowing from the east-southeast,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,8.6,,,600-1000,,,18.0,-3.2,Trace of precipitation,12,,,,
29.03.2020 14:00,6.7,566.3,759.9,-1.9,49,Wind blowing from the east-northeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.4,,,600-1000,,,15.0,-3.3,Trace of precipitation,12,,,,
29.03.2020 11:00,3.2,568.2,762.9,0.3,66,Wind blowing from the south-east,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.4,,,600-1000,,,13.0,-2.7,Trace of precipitation,12,,,,
29.03.2020 08:00,0.4,567.9,762.5,0.6,85,Wind blowing from the south-southeast,3,,12,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.4,,,2500 or more  or no clouds.,,,7.0,-1.8,Trace of precipitation,12,,,,
29.03.2020 05:00,0.2,567.3,760.9,-0.6,86,Wind blowing from the south-east,4,,12,,Cloud development not observed or not observable. ,,,0.2,9.4,,,2500 or more  or no clouds.,,,7.0,-1.9,No precipitation,12,,,,
29.03.2020 02:00,0.9,567.9,761.5,0.7,88,Wind blowing from the south-east,3,,12,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,9.4,,,2500 or more  or no clouds.,,,7.0,-0.9,No precipitation,12,,,,
28.03.2020 23:00,3.2,567.2,761.1,2.4,66,Wind blowing from the south-east,5,,12,,Cloud development not observed or not observable. ,,,0.6,9.4,,,2500 or more  or no clouds.,,,13.0,-2.7,No precipitation,12,,,,
28.03.2020 20:00,6.0,564.8,758.2,1.4,37,Wind blowing from the east-southeast,7,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,9.4,,,2500 or more  or no clouds.,,,17.0,-7.6,No precipitation,12,,,,
28.03.2020 17:00,8.5,563.4,755.4,-1.6,32,Wind blowing from the east-southeast,5,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,9.8,,,2500 or more  or no clouds.,,,16.0,-7.2,No precipitation,12,,,,
28.03.2020 14:00,8.0,565.0,757.3,-2.2,35,Wind blowing from the east,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.5,,,2500 or more  or no clouds.,,,14.0,-6.5,No precipitation,12,,,,
28.03.2020 11:00,4.4,567.2,760.9,-0.3,49,Wind blowing from the south-southeast,2,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,,,,2500 or more  or no clouds.,,,15.0,-5.4,No precipitation,12,,,,
28.03.2020 08:00,0.8,567.5,761.8,-0.4,61,Wind blowing from the east,3,,16,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,12.5,,,2500 or more  or no clouds.,,,17.0,-5.9,No precipitation,12,,,,
28.03.2020 05:00,0.8,567.9,760.9,-1.1,61,Wind blowing from the south-east,3,,16,,Cloud development not observed or not observable. ,,,-0.9,12.5,,,2500 or more  or no clouds.,,,20.0,-5.9,No precipitation,12,,,,
28.03.2020 02:00,1.8,569.0,762.1,-0.3,57,Wind blowing from the east-southeast,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,12.5,,,2500 or more  or no clouds.,,,18.0,-5.8,No precipitation,12,,,,
27.03.2020 23:00,3.9,569.3,763.3,1.4,51,Wind blowing from the south-east,7,,16,,Cloud development not observed or not observable. ,,,-0.9,12.5,,,2500 or more  or no clouds.,,,17.0,-5.3,No precipitation,12,,,,
27.03.2020 20:00,5.9,567.9,763.0,1.0,40,Wind blowing from the south-east,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,12.5,,,600-1000,,,19.0,-6.7,No precipitation,12,,,,
27.03.2020 17:00,9.7,566.9,760.1,-2.5,31,Wind blowing from the east-southeast,7,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,12.5,,,600-1000,,,16.0,-6.6,No precipitation,12,,,,
