Local time in Dunhuang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 20:00,14.0,670.0,769.0,0.9,10,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.1,,,2500 or more  or no clouds.,,,23.0,-17.1,No precipitation,12,,,,
03.04.2020 17:00,16.9,669.1,767.1,-0.6,10,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.0,,,2500 or more  or no clouds.,,,22.0,-14.9,No precipitation,12,,,,
03.04.2020 14:00,14.4,669.7,767.5,-0.6,12,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.0,,,2500 or more  or no clouds.,,,21.0,-14.6,No precipitation,12,,,,
03.04.2020 11:00,8.9,670.3,768.4,1.0,17,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.0,,,2500 or more  or no clouds.,,,20.0,-14.8,No precipitation,12,,,,
03.04.2020 08:00,-0.8,669.3,768.4,0.8,31,Wind blowing from the south-east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.0,,,2500 or more  or no clouds.,,,18.0,-15.8,No precipitation,12,,,,
03.04.2020 05:00,1.8,668.5,766.3,0.0,18,Wind blowing from the north-northwest,1,,13,,Cloud development not observed or not observable. ,,,-0.4,17.0,,,2500 or more  or no clouds.,,,24.0,-20.0,No precipitation,12,,,,
03.04.2020 02:00,5.6,668.5,766.4,0.2,14,Wind blowing from the east-northeast,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,17.0,,,2500 or more  or no clouds.,,,23.0,-19.8,No precipitation,12,,,,
02.04.2020 23:00,9.7,668.3,766.5,1.7,21,Wind blowing from the east-northeast,3,,13,,Cloud development not observed or not observable. ,,,-0.4,17.0,,,2500 or more  or no clouds.,,,13.0,-11.5,No precipitation,12,,,,
02.04.2020 20:00,13.1,666.6,765.2,0.9,18,Wind blowing from the east-northeast,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,17.0,,,2500 or more  or no clouds.,,,12.0,-10.6,No precipitation,12,,,,
02.04.2020 17:00,17.0,665.7,763.0,-1.2,16,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,17.0,,,2500 or more  or no clouds.,,,22.0,-8.9,No precipitation,12,,,,
02.04.2020 14:00,13.1,666.9,764.5,-1.4,23,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,15.4,,,2500 or more  or no clouds.,,,23.0,-7.5,No precipitation,12,,,,
02.04.2020 11:00,7.2,668.3,766.8,-0.1,22,Wind blowing from the east-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,15.4,,,2500 or more  or no clouds.,,,23.0,-13.0,No precipitation,12,,,,
02.04.2020 08:00,-0.1,668.4,767.5,0.6,31,Wind blowing from the east-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,15.4,,,2500 or more  or no clouds.,,,25.0,-15.5,No precipitation,12,,,,
02.04.2020 05:00,2.4,667.8,765.7,0.7,32,Wind blowing from the north-east,3,,12,,Cloud development not observed or not observable. ,,,0.4,15.4,,,2500 or more  or no clouds.,,,21.0,-12.9,No precipitation,12,,,,
02.04.2020 02:00,5.4,667.1,764.8,1.0,43,Wind blowing from the north-east,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,15.4,,,2500 or more  or no clouds.,,,19.0,-6.4,No precipitation,12,,,,
01.04.2020 23:00,7.7,666.1,764.4,1.7,39,Wind blowing from the east-northeast,5,,12,,Cloud development not observed or not observable. ,,,0.4,15.4,,,2500 or more  or no clouds.,,,15.0,-5.6,No precipitation,12,,,,
01.04.2020 20:00,11.6,664.4,762.9,0.8,27,Wind blowing from the north-east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,15.4,,,2500 or more  or no clouds.,,,11.0,-6.7,No precipitation,12,,,,
01.04.2020 17:00,14.9,663.6,761.0,-1.0,21,Wind blowing from the north-east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,15.4,,,2500 or more  or no clouds.,,,15.0,-7.2,No precipitation,12,,,,
01.04.2020 14:00,13.1,664.6,762.2,-2.0,26,Wind blowing from the north-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,13.6,,,2500 or more  or no clouds.,,,13.0,-5.9,No precipitation,12,,,,
01.04.2020 11:00,6.3,666.6,765.4,-0.2,46,Wind blowing from the east,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,13.2,,,2500 or more  or no clouds.,,,24.0,-4.7,No precipitation,12,,,,
01.04.2020 08:00,0.5,666.8,766.0,0.7,59,Wind blowing from the east-northeast,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,13.2,,,2500 or more  or no clouds.,,,22.0,-6.7,No precipitation,12,,,,
01.04.2020 05:00,1.9,666.1,764.3,-0.5,58,Wind blowing from the east-northeast,5,,13,,Cloud development not observed or not observable. ,,,1.9,13.2,,,2500 or more  or no clouds.,,,25.0,-5.6,No precipitation,12,,,,
01.04.2020 02:00,3.5,666.6,764.8,-0.8,55,Wind blowing from the north-east,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,13.2,,,2500 or more  or no clouds.,,,25.0,-4.8,No precipitation,12,,,,
31.03.2020 23:00,5.5,667.4,766.2,0.6,48,Wind blowing from the east-northeast,7,,13,,Cloud development not observed or not observable. ,,,3.5,13.2,,,2500 or more  or no clouds.,,,21.0,-4.8,No precipitation,12,,,,
31.03.2020 20:00,9.4,666.8,765.4,-0.2,31,Wind blowing from the east-northeast,6,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,14.1,,,2500 or more  or no clouds.,,,22.0,-7.2,No precipitation,12,,,,
31.03.2020 17:00,13.1,667.0,764.8,-1.4,26,Wind blowing from the east-northeast,5,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.4,,,2500 or more  or no clouds.,,,17.0,-5.9,No precipitation,12,,,,
31.03.2020 14:00,11.5,668.4,766.1,-0.8,22,Wind blowing from the east-northeast,6,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.4,,,2500 or more  or no clouds.,,,18.0,-9.4,No precipitation,12,,,,
31.03.2020 11:00,7.1,669.2,767.5,2.2,24,Wind blowing from the east-northeast,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.4,,,2500 or more  or no clouds.,,,21.0,-12.1,No precipitation,12,,,,
31.03.2020 08:00,3.7,667.0,764.7,1.9,23,Wind blowing from the north-east,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,17.4,,,2500 or more  or no clouds.,,,27.0,-15.5,No precipitation,12,,,,
31.03.2020 05:00,4.7,665.1,761.9,0.1,24,Wind blowing from the east-northeast,6,,11,,Cloud development not observed or not observable. ,,,4.6,17.4,,,2500 or more  or no clouds.,,,22.0,-14.1,No precipitation,12,,,,
31.03.2020 02:00,7.8,665.0,761.7,-0.5,32,Wind blowing from the north-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.4,,,2500 or more  or no clouds.,,,12.0,-7.8,No precipitation,12,,,,
30.03.2020 23:00,9.6,665.5,762.9,1.2,29,Wind blowing from the east-southeast,1,,9,,Cloud development not observed or not observable. ,,,5.9,17.4,,,2500 or more  or no clouds.,,,13.0,-7.5,No precipitation,12,,,,
30.03.2020 20:00,14.2,664.3,761.2,-0.1,20,Wind blowing from the north,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.4,,,2500 or more  or no clouds.,,,13.0,-8.4,No precipitation,12,,,,
30.03.2020 17:00,17.0,664.4,760.6,-1.6,16,Wind blowing from the west-northwest,3,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.4,,,2500 or more  or no clouds.,,,14.0,-8.9,No precipitation,12,,,,
30.03.2020 14:00,14.6,666.0,762.1,-1.1,21,Wind blowing from the west,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,16.5,,,2500 or more  or no clouds.,,,18.0,-7.4,No precipitation,12,,,,
30.03.2020 11:00,8.8,667.1,764.2,0.9,27,Wind blowing from the north-west,3,,6,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,16.5,,,2500 or more  or no clouds.,,,21.0,-9.1,No precipitation,12,,,,
30.03.2020 08:00,6.3,666.2,763.3,1.1,35,Wind blowing from the west-northwest,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,16.5,,,2500 or more  or no clouds.,,,21.0,-8.3,No precipitation,12,,,,
30.03.2020 05:00,7.2,665.1,761.5,1.0,32,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,,,0.9,16.5,,,2500 or more  or no clouds.,,,17.0,-8.7,No precipitation,12,,,,
30.03.2020 02:00,11.5,664.1,760.0,0.4,23,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.5,,,2500 or more  or no clouds.,,,15.0,-8.9,No precipitation,12,,,,
29.03.2020 23:00,12.7,663.7,760.6,1.2,17,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,,,0.9,16.5,,,2500 or more  or no clouds.,,,18.0,-11.7,No precipitation,12,,,,
29.03.2020 20:00,14.9,662.5,759.8,0.6,15,Wind blowing from the west,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.5,,,2500 or more  or no clouds.,,,18.0,-11.5,No precipitation,12,,,,
29.03.2020 17:00,16.4,661.9,759.0,-1.3,12,Wind blowing from the north-west,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.5,,,2500 or more  or no clouds.,,,23.0,-13.0,No precipitation,12,,,,
29.03.2020 14:00,14.1,663.2,760.7,-1.1,14,Wind blowing from the east-southeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.1,,,2500 or more  or no clouds.,,,20.0,-13.0,No precipitation,12,,,,
29.03.2020 11:00,7.4,664.3,762.5,0.3,24,Wind blowing from the north-northeast,2,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,16.1,,,2500 or more  or no clouds.,,,12.0,-11.8,No precipitation,12,,,,
29.03.2020 08:00,1.9,664.0,761.8,0.3,35,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,16.1,,,2500 or more  or no clouds.,,,13.0,-12.2,No precipitation,12,,,,
29.03.2020 05:00,1.3,663.7,761.2,-0.7,36,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,,,-2.0,16.1,,,2500 or more  or no clouds.,,,13.0,-12.1,No precipitation,12,,,,
29.03.2020 02:00,2.2,664.4,762.1,0.1,36,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,16.1,,,2500 or more  or no clouds.,,,8.0,-11.3,No precipitation,12,,,,
28.03.2020 23:00,6.2,664.3,762.5,0.6,26,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,,,-2.0,16.1,,,2500 or more  or no clouds.,,,11.0,-11.8,No precipitation,12,,,,
28.03.2020 20:00,13.8,663.7,762.1,0.4,10,Wind blowing from the west-southwest,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,16.1,,,2500 or more  or no clouds.,,,24.0,-17.3,No precipitation,12,,,,
28.03.2020 17:00,15.6,663.3,761.0,-1.4,12,Wind blowing from the west,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,15.8,,,2500 or more  or no clouds.,,,23.0,-13.7,No precipitation,12,,,,
28.03.2020 14:00,13.9,664.7,762.4,-1.6,14,Wind blowing from the north-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,14.1,,,2500 or more  or no clouds.,,,21.0,-13.1,0.3,12,,,,
28.03.2020 11:00,6.8,666.3,764.9,0.2,21,Wind blowing from the north,2,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,13.7,,,2500 or more  or no clouds.,,,13.0,-14.0,No precipitation,12,,,,
28.03.2020 08:00,-1.9,666.1,765.4,0.5,35,Wind blowing from the south-southeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,13.7,,,2500 or more  or no clouds.,,,17.0,-15.3,No precipitation,12,,,,
28.03.2020 05:00,-0.4,665.6,764.0,-1.0,32,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,,,-0.7,13.7,,,2500 or more  or no clouds.,,,16.0,-15.4,No precipitation,12,,,,
28.03.2020 02:00,2.3,666.6,765.2,-0.3,27,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,13.7,,,2500 or more  or no clouds.,,,19.0,-14.7,No precipitation,12,,,,
27.03.2020 23:00,5.8,666.9,766.0,-0.4,23,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,,,-0.2,13.7,,,2500 or more  or no clouds.,,,15.0,-13.7,No precipitation,12,,,,
27.03.2020 20:00,10.9,667.3,766.4,-0.5,19,Wind blowing from the north-east,1,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,13.7,,,2500 or more  or no clouds.,,,19.0,-11.8,No precipitation,12,,,,
