Local time in Dongfang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.03.2020 20:00,26.4,755.3,756.1,0.7,77,Wind blowing from the north-east,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,29.3,,,,,,12.0,22.0,No precipitation,12,,,,
30.03.2020 17:00,27.0,754.6,755.3,-1.1,78,Wind blowing from the north,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,31.9,,,,,,13.0,22.8,No precipitation,12,,,,
30.03.2020 14:00,28.9,755.7,756.4,-1.9,73,Wind blowing from the north,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,31.9,,,,,,11.0,23.6,No precipitation,12,,,,
30.03.2020 11:00,28.0,757.6,758.4,1.0,79,Wind blowing from the north,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,32.4,,,,,,10.0,24.0,No precipitation,12,,,,
30.03.2020 08:00,25.7,756.6,757.3,1.6,83,Wind blowing from the north-northeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.3,,,,,,,14.0,22.6,No precipitation,12,,,,
30.03.2020 05:00,25.0,755.0,755.8,-0.4,81,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,,,24.2,32.4,,,2500 or more  or no clouds.,,,17.0,21.5,No precipitation,12,,,,
30.03.2020 02:00,26.6,755.4,756.1,-0.1,80,Wind blowing from the north-east,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,32.4,,,2500 or more  or no clouds.,,,18.0,22.9,No precipitation,12,,,,
29.03.2020 23:00,26.7,755.5,756.2,1.2,82,Wind blowing from the north-northwest,2,,13,,Cloud development not observed or not observable. ,,,24.2,32.4,,,2500 or more  or no clouds.,,,16.0,23.4,No precipitation,12,,,,
29.03.2020 20:00,27.6,754.3,755.1,0.9,80,Wind blowing from the north-northeast,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,32.4,,,,,,18.0,23.8,No precipitation,12,,,,
29.03.2020 17:00,31.9,753.4,754.1,-1.3,54,Wind blowing from the south,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,32.4,,,,,,24.0,21.4,No precipitation,12,,,,
29.03.2020 14:00,31.3,754.7,755.5,-2.7,64,Wind blowing from the south,8,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,32.4,,,,,,18.0,23.7,No precipitation,12,,,,
29.03.2020 11:00,29.2,757.4,758.2,0.4,63,Wind blowing from the north-west,3,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,30.5,,,,,,17.0,21.4,No precipitation,12,,,,
29.03.2020 08:00,25.9,757.0,757.8,0.9,80,Wind blowing from the north-northeast,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,,,,600-1000,,,10.0,22.2,No precipitation,12,,,,
29.03.2020 05:00,24.5,756.1,756.9,-0.7,90,Wind blowing from the north-east,1,,7,,Mist. ,,,24.0,30.5,,,2500 or more  or no clouds.,,,6.0,22.8,No precipitation,12,,,,
29.03.2020 02:00,25.4,756.8,757.6,-0.7,86,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,30.5,,,2500 or more  or no clouds.,,,10.0,22.9,No precipitation,12,,,,
28.03.2020 23:00,25.8,757.5,758.2,1.5,85,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,,,24.0,30.5,,,2500 or more  or no clouds.,,,9.0,23.1,No precipitation,12,,,,
28.03.2020 20:00,26.7,756.0,756.7,0.7,85,Wind blowing from the north-northwest,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,30.5,,,600-1000,,,15.0,24.0,No precipitation,12,,,,
28.03.2020 17:00,28.4,755.3,756.1,-1.7,74,Wind blowing from the west,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,30.5,,,600-1000,,,25.0,23.3,No precipitation,12,,,,
28.03.2020 14:00,29.8,757.0,757.7,-1.7,62,Wind blowing from the west,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,31.3,,,600-1000,,,20.0,21.7,No precipitation,12,,,,
28.03.2020 11:00,28.8,758.7,759.4,0.6,67,Wind blowing from the north-west,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,31.3,,,600-1000,,,15.0,22.1,No precipitation,12,,,,
28.03.2020 08:00,24.9,758.1,758.8,1.4,80,Wind blowing from the east-northeast,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,31.3,,,600-1000,,,15.0,21.2,No precipitation,12,,,,
28.03.2020 05:00,24.9,756.7,757.4,-0.2,71,Wind blowing from the north-northeast,2,,11,,Cloud development not observed or not observable. ,,,24.9,31.3,,,2500 or more  or no clouds.,,,22.0,19.3,No precipitation,12,,,,
28.03.2020 02:00,26.0,756.9,757.6,0.1,74,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.9,31.3,,,2500 or more  or no clouds.,,,20.0,21.0,No precipitation,12,,,,
27.03.2020 23:00,28.3,756.8,757.6,1.5,53,Wind blowing from the south-southeast,3,,11,,Cloud development not observed or not observable. ,,,25.8,31.3,,,2500 or more  or no clouds.,,,30.0,17.8,No precipitation,12,,,,
27.03.2020 20:00,28.8,755.3,756.1,0.9,67,Wind blowing from the south,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.8,31.3,,,,,,24.0,22.1,No precipitation,12,,,,
27.03.2020 17:00,30.1,754.4,755.2,-1.2,68,Wind blowing from the south,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.8,31.3,,,,,,19.0,23.5,No precipitation,12,,,,
27.03.2020 14:00,30.9,755.6,756.4,-2.3,67,Wind blowing from the south,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.8,31.3,,,,,,19.0,24.1,No precipitation,12,,,,
27.03.2020 11:00,29.6,757.9,758.6,0.9,62,Wind blowing from the north-west,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.8,30.1,,,,,,20.0,21.5,No precipitation,12,,,,
