Local time in Sunwu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,1.0,743.0,765.1,0.3,65,Wind blowing from the north,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
06.04.2020 08:00,1.3,742.7,764.8,0.4,62,Wind blowing from the north-northeast,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,2500 or more  or no clouds.,,,30.0,-5.2,No precipitation,12,,,,
06.04.2020 05:00,0.7,742.3,764.0,0.1,67,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,,,-9.1,11.2,,,2500 or more  or no clouds.,,,30.0,-4.7,No precipitation,12,,,,
06.04.2020 02:00,-0.3,742.2,763.9,,51,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,11.2,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
05.04.2020 20:00,1.2,742.5,764.5,0.4,42,Wind blowing from the west-southwest,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,11.2,,,2500 or more  or no clouds.,,,6.0,-10.3,No precipitation,12,,,,
05.04.2020 17:00,11.0,742.1,764.2,-1.4,14,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,11.2,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
05.04.2020 14:00,9.8,743.5,765.5,-2.2,15,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,10.1,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
05.04.2020 11:00,6.4,745.7,767.8,-1.6,19,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,6.4,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
05.04.2020 08:00,0.3,747.3,769.6,-0.2,43,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,3.7,,,2500 or more  or no clouds.,,,20.0,-10.8,No precipitation,12,,,,
05.04.2020 05:00,-8.9,747.5,770.0,-0.2,72,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,,,-8.9,3.7,,,2500 or more  or no clouds.,,,13.0,-13.0,No precipitation,12,,,,
05.04.2020 02:00,-7.1,747.7,770.1,,66,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,3.7,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
04.04.2020 20:00,-0.1,748.0,770.4,0.8,38,Wind blowing from the north-northwest,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.7,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
04.04.2020 17:00,2.7,747.2,769.6,0.2,29,Wind blowing from the north-northeast,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.7,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
04.04.2020 14:00,3.5,747.0,769.3,-0.7,30,Wind blowing from the north,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.6,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
04.04.2020 11:00,0.8,747.7,770.1,0.1,36,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,0.9,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
04.04.2020 08:00,-3.3,747.6,770.1,1.1,38,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,0.9,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
04.04.2020 05:00,-5.9,746.5,769.0,1.2,38,Wind blowing from the north-northwest,4,,15,,Cloud development not observed or not observable. ,,,-5.9,0.9,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
04.04.2020 02:00,-4.6,745.3,767.7,,34,Wind blowing from the north,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,0.9,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,12,,,,
03.04.2020 20:00,-1.6,743.4,765.8,2.6,35,Wind blowing from the north,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,0.9,,,2500 or more  or no clouds.,,,30.0,-15.1,,,,,,
03.04.2020 17:00,0.2,740.8,763.0,1.8,37,Wind blowing from the north,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,4.4,,,2500 or more  or no clouds.,,,30.0,-12.8,2.0,12,,,,
03.04.2020 14:00,0.3,739.0,761.3,,37,Wind blowing from the north-northeast,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.2,,,2500 or more  or no clouds.,,,30.0,-12.7,2.0,12,,,,
03.04.2020 08:00,-4.7,737.9,760.2,1.9,89,Wind blowing from the north-east,4,,12,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.2,,,2500 or more  or no clouds.,,,1.5,-6.2,0.9,12,,,,
03.04.2020 05:00,-1.3,736.0,757.9,-1.5,32,Wind blowing from the east-northeast,4,,10,,Cloud development not observed or not observable. ,,,-5.8,5.2,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
03.04.2020 02:00,-5.7,737.5,759.6,,68,Wind blowing from the east-northeast,2,,13,, ,,,-5.7,5.2,,,,,,30.0,-10.8,No precipitation,6,,,,
02.04.2020 20:00,-1.9,739.6,761.6,0.0,39,Wind blowing from the south-west,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,6.1,,,2500 or more  or no clouds.,,,25.0,-14.3,No precipitation,12,,,,
02.04.2020 17:00,4.4,739.6,761.2,0.4,15,Wind blowing from the north-west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,12,,,,
02.04.2020 14:00,4.6,739.2,760.9,0.5,15,Wind blowing from the north-west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
02.04.2020 11:00,3.9,738.7,760.3,1.9,18,Wind blowing from the north-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
02.04.2020 08:00,3.5,736.8,758.4,3.5,38,Wind blowing from the north-west,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
02.04.2020 05:00,4.8,733.3,754.5,1.2,39,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,,,-1.3,11.9,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
02.04.2020 02:00,4.1,732.1,753.4,,39,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,11.9,,,2500 or more  or no clouds.,,,30.0,-8.6,No precipitation,12,,,,
01.04.2020 20:00,5.6,733.6,755.1,0.0,34,Wind blowing from the south-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,11.9,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
01.04.2020 17:00,11.0,733.6,755.0,-1.2,25,Wind blowing from the west-southwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,11.9,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
01.04.2020 14:00,11.2,734.8,756.4,-1.5,24,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,11.4,,,2500 or more  or no clouds.,,,30.0,-8.6,No precipitation,12,,,,
01.04.2020 11:00,9.5,736.3,758.1,-1.0,24,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,9.9,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
01.04.2020 08:00,4.7,737.3,759.1,-0.2,29,Wind blowing from the west,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,7.8,,,2500 or more  or no clouds.,,,27.0,-11.8,No precipitation,12,,,,
01.04.2020 05:00,-0.1,737.5,740.5,-0.6,33,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,,,-5.8,7.8,,,2500 or more  or no clouds.,,,12.0,-14.4,No precipitation,12,,,,
01.04.2020 02:00,-2.1,738.1,741.1,,40,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,7.8,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
31.03.2020 20:00,0.0,739.5,761.4,1.0,31,Wind blowing from the south-west,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,7.8,,,,,,30.0,-15.1,No precipitation,12,,,,
31.03.2020 17:00,5.9,738.5,760.2,0.4,16,Wind blowing from the west-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,10.5,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
31.03.2020 14:00,6.5,738.1,759.7,-0.2,23,Wind blowing from the north,2,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,14.4,,,600-1000,,,30.0,-13.1,No precipitation,12,,,,
31.03.2020 11:00,7.3,738.3,759.9,0.1,23,Wind blowing from the north,3,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,14.4,,,600-1000,,,30.0,-12.5,No precipitation,12,,,,
31.03.2020 08:00,4.1,738.2,760.0,0.8,46,Wind blowing from the north,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,,,,2500 or more  or no clouds.,,,30.0,-6.5,No precipitation,12,,,,
31.03.2020 05:00,1.3,737.4,758.9,0.5,54,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,,,-3.6,14.4,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
31.03.2020 02:00,3.0,736.9,758.2,,45,Wind blowing from the north-northeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,14.4,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
30.03.2020 20:00,2.5,735.8,757.4,0.8,47,Wind blowing from the south,2,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,14.4,,,2500 or more  or no clouds.,,,16.0,-7.9,No precipitation,12,,,,
30.03.2020 17:00,10.6,735.0,756.6,0.6,25,Wind blowing from the north-northwest,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,14.4,,,600-1000,,,29.0,-8.6,No precipitation,12,,,,
30.03.2020 14:00,13.0,734.4,755.8,-0.5,18,Wind blowing from the west-southwest,5,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.9,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
30.03.2020 11:00,12.2,734.9,756.1,-0.3,17,Wind blowing from the west-southwest,6,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,12.4,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
30.03.2020 08:00,4.8,735.2,756.7,0.3,48,Wind blowing from the north,1,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,12.4,,,2500 or more  or no clouds.,,,8.0,-5.3,No precipitation,12,,,,
30.03.2020 05:00,-3.2,734.9,756.5,1.0,71,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,,,-4.4,12.4,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
30.03.2020 02:00,-1.7,733.9,755.4,,63,Wind blowing from the south-west,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,12.4,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
29.03.2020 20:00,7.1,730.5,751.9,1.0,31,Wind blowing from the south-west,3,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,12.4,,,,,,30.0,-8.9,No precipitation,12,,,,
29.03.2020 17:00,10.6,729.5,751.0,-0.8,35,Wind blowing from the south-southwest,5,,17,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,12.4,,,2500 or more  or no clouds.,,,30.0,-4.2,No precipitation,12,,,,
29.03.2020 14:00,11.8,730.3,751.6,-2.9,23,Wind blowing from the south-west,10,,17,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,12.2,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
29.03.2020 11:00,9.7,733.2,754.6,-2.2,20,Wind blowing from the west-southwest,8,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,10.0,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
29.03.2020 08:00,2.0,735.4,757.2,-0.3,41,Wind blowing from the south-west,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,4.0,,,,,,30.0,-9.9,No precipitation,12,,,,
29.03.2020 05:00,-4.4,735.7,757.7,-0.3,59,Wind blowing from the south-southwest,2,,9,,Cloud development not observed or not observable. ,,,-8.3,4.0,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
29.03.2020 02:00,-2.4,736.0,757.9,,51,Wind blowing from the south-southwest,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,4.0,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
28.03.2020 20:00,0.1,736.0,758.0,0.4,39,Wind blowing from the south-west,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,4.0,,,,,,30.0,-12.2,No precipitation,12,,,,
28.03.2020 17:00,3.4,735.6,757.7,-0.4,25,Wind blowing from the west-southwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,4.0,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
28.03.2020 14:00,3.3,736.0,758.1,-1.3,24,Wind blowing from the west-southwest,7,,13,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,3.5,,,600-1000,,,30.0,-15.4,No precipitation,12,,,,
28.03.2020 11:00,0.9,737.3,759.5,-1.1,23,Wind blowing from the west,8,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,1.0,,,,,,30.0,-17.9,No precipitation,12,,,,
28.03.2020 08:00,-3.5,738.4,760.7,0.5,35,Wind blowing from the west-southwest,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,-0.6,,,,,,30.0,-16.8,No precipitation,12,,,,
28.03.2020 05:00,-8.3,737.9,760.3,0.3,52,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,,,-8.4,-0.6,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
28.03.2020 02:00,-7.5,737.6,760.0,,47,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,-0.6,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
27.03.2020 20:00,-4.4,737.8,760.2,0.9,38,Wind blowing from the west,2,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,-0.6,,,2500 or more  or no clouds.,,,30.0,-16.6,0.1,12,,,,
27.03.2020 17:00,-2.4,736.9,759.2,0.8,33,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,0.2,,,2500 or more  or no clouds.,,,30.0,-16.5,0.1,12,,,,
27.03.2020 14:00,-1.4,736.1,758.3,-0.5,32,Wind blowing from the west,5,,9,60%.,Cloud development not observed or not observable. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,2.3,,,2500 or more  or no clouds.,,,30.0,-16.0,0.1,12,,,,
27.03.2020 11:00,-2.8,736.6,758.8,-0.1,59,Wind blowing from the west,4,,9,,Rain and snow or ice pellets not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,2.4,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
27.03.2020 08:00,-3.7,736.7,758.9,0.1,47,Wind blowing from the west,4,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,2.4,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
27.03.2020 05:00,-6.1,736.6,758.8,-0.3,57,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,,,-6.1,2.4,,,2500 or more  or no clouds.,,,28.0,-13.4,No precipitation,12,,,,
27.03.2020 02:00,-5.2,736.9,759.0,,50,Wind blowing from the west-southwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,8.2,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
26.03.2020 20:00,-2.4,737.7,759.7,1.7,43,Wind blowing from the west,6,,14,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
26.03.2020 17:00,0.2,736.0,757.9,,32,Wind blowing from the west,6,,14,20–30%., ,,,0.2,,,,600-1000,,,15.0,-14.6,No precipitation,6,,,,
26.03.2020 14:00,1.6,735.1,756.7,0.2,33,Wind blowing from the west-southwest,8,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,15.4,,,600-1000,,,30.0,-12.9,0.6,12,,,,
26.03.2020 11:00,1.5,734.9,756.4,,38,Wind blowing from the west-southwest,6,,,70 – 80%., ,,,0.2,15.5,,,2500 or more  or no clouds.,,,30.0,-11.3,0.2,6,,,,
26.03.2020 08:00,0.7,734.6,756.1,0.2,44,Wind blowing from the west-southwest,6,,,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,0.3,15.5,,,2500 or more  or no clouds.,,,30.0,-10.4,0.6,12,,,,
26.03.2020 05:00,1.6,734.4,755.7,,80,Wind blowing from the west,7,,12,,Intermittent fall of snowflakes  slight at time of observation. ,,,-4.1,15.5,,,,,,13.0,-1.5,0.4,6,,,,
