Local time in Shenzhen,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,16.1,754.7,760.4,-2.3,99,Wind blowing from the north-northeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,,,,2500 or more  or no clouds.,,,15.0,15.9,35.0,12,,,,
06.04.2020 14:00,16.1,757.0,762.7,-1.7,99,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,,,,2500 or more  or no clouds.,,,2.0,15.9,18.0,12,,,,
06.04.2020 11:00,16.1,758.7,764.4,0.8,97,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,17.9,,,2500 or more  or no clouds.,,,2.7,15.7,6.0,12,,,,
06.04.2020 08:00,16.3,757.9,763.6,0.4,94,Wind blowing from the north-northeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,17.9,,,2500 or more  or no clouds.,,,11.0,15.3,6.0,12,,,,
06.04.2020 05:00,15.7,757.5,763.2,-0.6,97,Wind blowing from the east-northeast,1,,,,Rain (not freezing) not falling as shower(s). ,,,15.6,17.9,,,2500 or more  or no clouds.,,,11.0,15.2,6.0,12,,,,
06.04.2020 02:00,16.3,758.1,763.8,-1.5,99,Wind blowing from the east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,17.9,,,2500 or more  or no clouds.,,,6.0,16.1,8.0,12,,,,
05.04.2020 23:00,17.1,759.6,765.3,1.0,99,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,,,,,2500 or more  or no clouds.,,,6.0,16.9,9.0,12,,,,
05.04.2020 20:00,17.0,758.6,764.4,1.3,99,Wind blowing from the north-northeast,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,2500 or more  or no clouds.,,,8.0,16.8,8.0,12,,,,
05.04.2020 17:00,17.4,757.3,763.0,-1.8,98,Wind blowing from the east,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,2500 or more  or no clouds.,,,7.0,17.0,9.0,12,,,,
05.04.2020 14:00,16.9,759.1,764.8,-1.2,97,Wind blowing from the north-northeast,2,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,2500 or more  or no clouds.,,,2.7,16.4,6.0,12,,,,
05.04.2020 11:00,16.8,760.3,766.0,0.0,94,Wind blowing from the north-west,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,2500 or more  or no clouds.,,,28.0,15.8,3.0,12,,,,
05.04.2020 08:00,15.8,760.3,766.0,1.9,99,Wind blowing from the north-northeast,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,24.4,,,2500 or more  or no clouds.,,,8.0,15.6,3.0,12,,,,
05.04.2020 05:00,16.5,758.4,764.1,0.2,95,Wind blowing from the north,2,,7,,Rain (not freezing) not falling as shower(s). ,,,16.2,24.4,,,2500 or more  or no clouds.,,,18.0,15.7,0.1,12,,,,
05.04.2020 02:00,17.3,758.2,763.8,-0.8,93,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,24.4,,,2500 or more  or no clouds.,,,10.0,16.1,No precipitation,12,,,,
04.04.2020 23:00,18.6,759.0,764.7,1.0,88,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,18.5,24.4,,,2500 or more  or no clouds.,,,19.0,16.5,No precipitation,12,,,,
04.04.2020 20:00,20.9,758.0,763.7,0.7,79,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,24.4,,,2500 or more  or no clouds.,,,30.0,17.1,No precipitation,12,,,,
04.04.2020 17:00,23.0,757.3,762.9,0.0,78,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,24.4,,,2500 or more  or no clouds.,,,27.0,18.9,,,,,,
04.04.2020 14:00,23.5,757.3,763.0,-2.1,68,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,24.4,,,2500 or more  or no clouds.,,,30.0,17.2,13.0,12,,,,
04.04.2020 11:00,19.2,759.4,765.1,0.6,95,Wind blowing from the north-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,,,,2500 or more  or no clouds.,,,11.0,18.3,20.0,12,,,,
04.04.2020 08:00,19.0,758.8,764.5,1.8,99,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,,,,2500 or more  or no clouds.,,,22.0,18.8,21.0,12,,,,
04.04.2020 05:00,18.7,757.0,762.7,-0.9,99,Wind blowing from the north-northeast,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,18.5,,,,2500 or more  or no clouds.,,,5.0,18.5,21.0,12,,,,
04.04.2020 02:00,18.9,757.9,763.5,0.1,99,Wind blowing from the north,1,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,23.3,,,2500 or more  or no clouds.,,,2.2,18.7,9.0,12,,,,
03.04.2020 23:00,18.9,757.8,763.4,0.2,98,Wind blowing from the north-northeast,1,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,18.6,23.3,,,2500 or more  or no clouds.,,,30.0,18.5,2.0,12,,,,
03.04.2020 20:00,19.4,757.6,763.3,1.0,93,Wind blowing from the north-northeast,3,,10,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,23.3,,,2500 or more  or no clouds.,,,30.0,18.2,0.8,12,,,,
03.04.2020 17:00,20.4,756.6,762.2,-0.1,92,Wind blowing from the north-northeast,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,23.3,,,2500 or more  or no clouds.,,,7.0,19.0,No precipitation,12,,,,
03.04.2020 14:00,22.6,756.7,762.4,-1.7,77,Wind blowing from the east-northeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,23.3,,,2500 or more  or no clouds.,,,24.0,18.3,No precipitation,12,,,,
03.04.2020 11:00,22.1,758.4,764.0,0.5,76,Wind blowing from the east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,22.9,,,2500 or more  or no clouds.,,,30.0,17.6,No precipitation,12,,,,
03.04.2020 08:00,20.7,757.9,763.6,1.2,81,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,22.1,,,2500 or more  or no clouds.,,,27.0,17.3,No precipitation,12,,,,
03.04.2020 05:00,19.9,756.7,762.4,-0.4,85,Wind blowing from the east-northeast,1,,10,,Cloud development not observed or not observable. ,,,19.0,22.1,,,2500 or more  or no clouds.,,,28.0,17.3,No precipitation,12,,,,
03.04.2020 02:00,19.8,757.1,762.7,-0.9,87,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,22.1,,,2500 or more  or no clouds.,,,25.0,17.5,No precipitation,12,,,,
02.04.2020 23:00,20.5,758.0,763.6,1.0,84,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,,,,22.1,,,2500 or more  or no clouds.,,,30.0,17.7,No precipitation,12,,,,
02.04.2020 20:00,20.8,757.0,762.7,1.2,81,Wind blowing from the east-northeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,22.1,,,2500 or more  or no clouds.,,,30.0,17.4,No precipitation,12,,,,
02.04.2020 17:00,21.1,755.8,761.5,-1.4,75,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,22.1,,,2500 or more  or no clouds.,,,30.0,16.5,No precipitation,12,,,,
02.04.2020 14:00,20.8,757.2,762.8,-1.0,79,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,22.1,,,2500 or more  or no clouds.,,,30.0,17.0,No precipitation,12,,,,
02.04.2020 11:00,21.5,758.2,763.9,0.4,73,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,22.1,,,2500 or more  or no clouds.,,,30.0,16.4,No precipitation,12,,,,
02.04.2020 08:00,19.5,757.8,763.5,1.1,84,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,19.9,,,2500 or more  or no clouds.,,,29.0,16.7,No precipitation,12,,,,
02.04.2020 05:00,19.1,756.7,762.4,0.0,87,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,,,16.9,19.9,,,2500 or more  or no clouds.,,,29.0,16.8,No precipitation,12,,,,
02.04.2020 02:00,19.2,756.7,762.4,-0.4,89,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,19.9,,,2500 or more  or no clouds.,,,21.0,17.3,No precipitation,12,,,,
01.04.2020 23:00,18.7,757.1,762.8,0.9,92,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,,,16.9,19.9,,,2500 or more  or no clouds.,,,12.0,17.3,No precipitation,12,,,,
01.04.2020 20:00,18.0,756.2,761.9,1.1,89,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,19.9,,,2500 or more  or no clouds.,,,23.0,16.1,No precipitation,12,,,,
01.04.2020 17:00,18.3,755.1,760.8,-0.3,84,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,19.9,,,2500 or more  or no clouds.,,,24.0,15.5,No precipitation,12,,,,
01.04.2020 14:00,19.2,755.4,761.1,-1.6,79,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,19.9,,,2500 or more  or no clouds.,,,30.0,15.4,No precipitation,12,,,,
01.04.2020 11:00,18.2,757.0,762.7,0.0,83,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,,,,2500 or more  or no clouds.,,,30.0,15.2,No precipitation,12,,,,
01.04.2020 08:00,17.1,757.0,762.7,2.1,86,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,,,,2500 or more  or no clouds.,,,30.0,14.7,0.4,12,,,,
01.04.2020 05:00,17.1,754.9,760.6,-0.1,97,Wind blowing from the north-northeast,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.9,,,,2500 or more  or no clouds.,,,20.0,16.6,2.0,12,,,,
01.04.2020 02:00,17.2,755.0,760.7,-0.9,99,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,21.3,,,2500 or more  or no clouds.,,,9.0,17.0,2.0,12,,,,
31.03.2020 23:00,17.2,755.9,761.6,1.0,99,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,,,16.9,21.3,,,2500 or more  or no clouds.,,,24.0,17.0,2.0,12,,,,
31.03.2020 20:00,17.1,754.9,760.6,1.7,99,Wind blowing from the west-northwest,2,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Drizzle.,17.1,21.3,,,300-600,,,7.0,16.9,2.0,12,,,,
31.03.2020 17:00,18.3,753.2,758.8,-0.5,99,Wind blowing from the west-northwest,3,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,21.3,,,300-600,,,4.5,18.1,0.7,12,,,,
31.03.2020 14:00,19.6,753.7,759.4,-1.8,98,Wind blowing from the north-west,1,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,21.3,,,300-600,,,2.8,19.2,0.2,12,,,,
31.03.2020 11:00,20.6,755.5,761.1,0.1,93,Wind blowing from the east-northeast,1,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,20.6,,,300-600,,,22.0,19.4,0.2,12,,,,
31.03.2020 08:00,18.7,755.4,761.1,1.6,99,Wind blowing from the east-northeast,1,,,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,5.0,18.5,0.1,12,,,,
31.03.2020 05:00,18.4,753.8,759.4,-0.3,98,Wind blowing from the north-northeast,2,,4,,Cloud development not observed or not observable. ,,,17.9,,,,2500 or more  or no clouds.,,,10.0,18.0,No precipitation,12,,,,
31.03.2020 02:00,18.5,754.1,759.7,-0.5,97,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,20.6,,,2500 or more  or no clouds.,,,9.0,18.0,0.1,12,,,,
30.03.2020 23:00,18.6,754.6,760.2,0.9,94,Wind blowing from the south,0,,4,,Cloud development not observed or not observable. ,,,18.4,20.6,,,2500 or more  or no clouds.,,,17.0,17.6,2.0,12,,,,
30.03.2020 20:00,18.6,753.7,759.3,1.3,94,Wind blowing from the north-northeast,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,20.7,,,300-600,,,28.0,17.6,2.0,12,,,,
30.03.2020 17:00,19.2,752.4,758.0,-0.9,94,Wind blowing from the north-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,21.0,,,300-600,,,23.0,18.2,2.0,12,,,,
30.03.2020 14:00,19.8,753.3,758.9,-1.5,99,Wind blowing from the north-northeast,1,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,19.5,,,,300-600,,,1.8,19.6,2.0,12,,,,
30.03.2020 11:00,20.4,754.8,760.4,0.6,97,Wind blowing from the north,1,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,,,,300-600,,,7.0,19.9,0.2,12,,,,
30.03.2020 08:00,20.0,754.2,759.8,0.9,94,Wind blowing from the east,1,,10,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,22.1,,,300-600,,,13.0,19.0,Trace of precipitation,12,,,,
30.03.2020 05:00,19.8,753.3,758.9,0.1,93,Wind blowing from the east-northeast,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,18.8,22.1,,,2500 or more  or no clouds.,,,10.0,18.6,No precipitation,12,,,,
30.03.2020 02:00,20.0,753.2,758.8,-0.5,91,Wind blowing from the east-northeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,22.1,,,2500 or more  or no clouds.,,,18.0,18.4,No precipitation,12,,,,
29.03.2020 23:00,20.4,753.7,759.4,0.5,91,Wind blowing from the east-northeast,3,,11,,Cloud development not observed or not observable. ,,,,22.1,,,2500 or more  or no clouds.,,,20.0,18.8,No precipitation,12,,,,
29.03.2020 20:00,20.7,753.2,758.8,0.7,88,Wind blowing from the east,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,22.1,,,600-1000,,,27.0,18.6,No precipitation,12,,,,
29.03.2020 17:00,20.9,752.5,758.1,-0.8,85,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,22.4,,,2500 or more  or no clouds.,,,22.0,18.2,No precipitation,12,,,,
29.03.2020 14:00,21.4,753.3,758.9,-2.2,83,Wind blowing from the east,3,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,24.1,,,600-1000,,,28.0,18.3,No precipitation,12,,,,
29.03.2020 11:00,21.2,755.5,761.1,0.1,81,Wind blowing from the east-southeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,24.9,,,2500 or more  or no clouds.,,,30.0,17.8,No precipitation,12,,,,
29.03.2020 08:00,19.4,755.4,761.0,0.0,87,Wind blowing from the east,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,,,,2500 or more  or no clouds.,,,30.0,17.1,No precipitation,12,,,,
29.03.2020 05:00,19.0,755.4,761.0,-0.4,87,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,,,17.6,25.3,,,2500 or more  or no clouds.,,,30.0,16.7,0.1,12,,,,
29.03.2020 02:00,17.7,755.8,761.4,0.0,85,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,25.3,,,2500 or more  or no clouds.,,,30.0,15.1,0.1,12,,,,
28.03.2020 23:00,18.8,755.8,761.5,1.4,82,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,18.8,25.3,,,2500 or more  or no clouds.,,,30.0,15.6,0.1,12,,,,
28.03.2020 20:00,20.8,754.4,760.0,1.0,80,Wind blowing from the north-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,25.3,,,300-600,,,30.0,17.2,0.1,12,,,,
28.03.2020 17:00,22.4,753.4,759.1,-0.8,91,Wind blowing from the south-east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,26.3,,,300-600,,,6.0,20.8,0.1,12,,,,
28.03.2020 14:00,24.0,754.2,759.7,-1.5,83,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,29.0,,,300-600,,,11.0,20.9,0.1,12,,,,
28.03.2020 11:00,24.5,755.7,761.2,0.3,81,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,,,,600-1000,,,18.0,21.0,5.0,12,,,,
28.03.2020 08:00,22.7,755.4,760.9,1.5,96,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,,,,600-1000,,,12.0,22.0,7.0,12,,,,
28.03.2020 05:00,21.9,753.9,759.4,-0.2,97,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,,,21.5,29.6,,,2500 or more  or no clouds.,,,22.0,21.4,7.0,12,,,,
28.03.2020 02:00,22.2,754.1,759.7,-1.1,98,Wind blowing from the north-northwest,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,29.6,,,2500 or more  or no clouds.,,,12.0,21.8,7.0,12,,,,
27.03.2020 23:00,23.3,755.2,760.7,1.6,92,Wind blowing from the east-northeast,1,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,,,21.5,29.6,,,2500 or more  or no clouds.,,,5.0,21.9,2.0,12,,,,
27.03.2020 20:00,24.4,753.6,759.1,1.2,83,Wind blowing from the north-east,2,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,29.6,,,600-1000,,,30.0,21.3,No precipitation,12,,,,
27.03.2020 17:00,26.1,752.4,757.9,-1.1,75,Wind blowing from the south-southeast,3,,6,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,29.6,,,600-1000,,,30.0,21.3,No precipitation,12,,,,
27.03.2020 14:00,28.9,753.5,759.1,-1.9,66,Wind blowing from the south-southwest,3,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,29.6,,,600-1000,,,30.0,21.9,No precipitation,12,,,,
27.03.2020 11:00,27.4,755.4,760.9,0.2,71,Wind blowing from the south,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,28.1,,,600-1000,,,30.0,21.6,No precipitation,12,,,,
27.03.2020 08:00,22.8,755.2,760.7,1.2,92,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,,,,2500 or more  or no clouds.,,,19.0,21.4,No precipitation,12,,,,
