Local time in Tongliao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 23:00,3.9,750.1,766.7,-0.3,24,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,,,-2.7,14.1,,,2500 or more  or no clouds.,,,20.0,-14.8,No precipitation,12,,,,
05.04.2020 20:00,7.1,750.4,767.0,0.8,15,Wind blowing from the south-southeast,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,14.1,,,2500 or more  or no clouds.,,,4.1,-17.8,No precipitation,12,,,,
05.04.2020 17:00,13.0,749.6,766.3,-1.4,9,Wind blowing from the south-east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,14.1,,,2500 or more  or no clouds.,,,26.0,-19.2,No precipitation,12,,,,
05.04.2020 14:00,13.6,751.0,767.7,-2.0,7,Wind blowing from the south-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,13.8,,,2500 or more  or no clouds.,,,28.0,-21.6,No precipitation,12,,,,
05.04.2020 11:00,11.3,753.0,769.7,-1.0,8,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,11.3,,,2500 or more  or no clouds.,,,29.0,-21.8,No precipitation,12,,,,
05.04.2020 08:00,5.7,754.0,770.8,-0.1,12,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,8.4,,,2500 or more  or no clouds.,,,15.0,-21.5,No precipitation,12,,,,
05.04.2020 05:00,-2.0,754.1,771.1,-0.8,24,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,,,-2.7,8.4,,,2500 or more  or no clouds.,,,22.0,-19.9,No precipitation,12,,,,
05.04.2020 02:00,-2.6,754.9,771.8,-0.3,24,Wind blowing from the south,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,8.4,,,2500 or more  or no clouds.,,,19.0,-20.4,No precipitation,12,,,,
04.04.2020 23:00,1.0,755.2,772.1,0.1,15,Wind blowing from the south-southeast,1,,12,,Cloud development not observed or not observable. ,,,-1.5,8.4,,,2500 or more  or no clouds.,,,20.0,-22.8,No precipitation,12,,,,
04.04.2020 20:00,4.0,755.1,772.0,0.4,11,Wind blowing from the east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,8.4,,,2500 or more  or no clouds.,,,10.0,-23.9,No precipitation,12,,,,
04.04.2020 17:00,8.0,754.7,771.6,-0.7,7,Wind blowing from the north,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,8.4,,,2500 or more  or no clouds.,,,26.0,-25.8,No precipitation,12,,,,
04.04.2020 14:00,7.7,755.4,772.3,-1.4,9,Wind blowing from the north-northwest,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,,,,2500 or more  or no clouds.,,,30.0,-23.2,No precipitation,12,,,,
04.04.2020 11:00,4.5,756.8,773.8,-0.2,13,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,,,,2500 or more  or no clouds.,,,30.0,-21.6,No precipitation,12,,,,
04.04.2020 08:00,1.6,757.0,774.0,1.1,24,Wind blowing from the north-northeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,,,,2500 or more  or no clouds.,,,27.0,-16.8,No precipitation,12,,,,
04.04.2020 05:00,-0.8,755.9,772.9,0.6,34,Wind blowing from the west,2,,15,,Cloud development not observed or not observable. ,,,-0.8,,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
04.04.2020 02:00,1.3,755.3,771.8,1.0,29,Wind blowing from the north-northwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,19.5,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
03.04.2020 23:00,3.3,754.3,770.8,2.9,32,Wind blowing from the north-east,4,,20,,Cloud development not observed or not observable. ,,,3.3,19.5,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
03.04.2020 20:00,3.9,751.4,768.1,4.8,35,Wind blowing from the north-east,6,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.5,,,2500 or more  or no clouds.,,,14.0,-10.2,No precipitation,12,,,,
03.04.2020 17:00,8.3,746.6,763.2,4.3,34,Wind blowing from the north-northeast,8,,20,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.5,,,2500 or more  or no clouds.,,,2.6,-6.6,No precipitation,12,,,,
03.04.2020 14:00,18.7,742.3,758.5,-1.4,11,Wind blowing from the west-northwest,6,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.5,,,2500 or more  or no clouds.,,,8.0,-12.4,No precipitation,12,,,,
03.04.2020 11:00,17.5,743.7,759.7,-1.5,15,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,18.6,,,2500 or more  or no clouds.,,,15.0,-9.4,No precipitation,12,,,,
03.04.2020 08:00,8.3,745.2,761.5,-1.1,31,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,18.6,,,2500 or more  or no clouds.,,,17.0,-7.8,No precipitation,12,,,,
03.04.2020 05:00,3.7,746.3,762.6,-0.9,33,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,,,2.7,18.6,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
03.04.2020 02:00,7.0,747.2,763.4,-0.5,25,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,18.6,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
02.04.2020 23:00,11.0,747.7,763.9,0.6,18,Wind blowing from the west-northwest,4,,11,,Cloud development not observed or not observable. ,,,2.7,18.6,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
02.04.2020 20:00,9.8,747.1,763.5,1.0,25,Wind blowing from the west,1,,11,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,18.6,,,2500 or more  or no clouds.,,,2.5,-9.3,No precipitation,12,,,,
02.04.2020 17:00,17.5,746.1,762.4,0.2,14,Wind blowing from the north-west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,18.6,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
02.04.2020 14:00,17.7,745.9,762.2,-0.6,13,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,18.6,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
02.04.2020 11:00,15.9,746.5,762.7,0.1,13,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,16.3,,,2500 or more  or no clouds.,,,23.0,-12.5,No precipitation,12,,,,
02.04.2020 08:00,8.8,746.4,762.7,0.2,18,Wind blowing from the west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,15.1,,,2500 or more  or no clouds.,,,22.0,-14.2,No precipitation,12,,,,
02.04.2020 05:00,3.1,746.2,762.6,-0.1,26,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,,,-0.6,15.1,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
02.04.2020 02:00,4.5,746.3,762.7,-0.5,23,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,15.1,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
01.04.2020 23:00,6.2,746.8,763.3,0.0,21,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,,,-0.6,15.1,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
01.04.2020 20:00,10.1,746.8,763.3,0.1,14,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,15.1,,,2500 or more  or no clouds.,,,18.0,-16.2,No precipitation,12,,,,
01.04.2020 17:00,14.5,746.7,763.2,-1.5,10,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,15.1,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
01.04.2020 14:00,14.2,748.2,764.7,-2.5,12,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,14.4,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
01.04.2020 11:00,10.8,750.7,767.3,-1.1,15,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,12.9,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
01.04.2020 08:00,4.0,751.8,768.5,0.3,25,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,12.9,,,2500 or more  or no clouds.,,,18.0,-14.3,No precipitation,12,,,,
01.04.2020 05:00,0.5,751.5,768.2,0.1,29,Wind blowing from the west,2,,12,,Cloud development not observed or not observable. ,,,0.5,12.9,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
01.04.2020 02:00,2.1,751.4,768.0,0.4,24,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,12.9,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
31.03.2020 23:00,3.9,751.0,767.6,0.8,18,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,,,3.9,12.9,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
31.03.2020 20:00,6.9,750.2,766.8,2.5,14,Wind blowing from the west-northwest,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,12.9,,,,,,30.0,-18.8,No precipitation,12,,,,
31.03.2020 17:00,11.3,747.7,764.1,0.3,10,Wind blowing from the west,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,17.5,,,,,,30.0,-19.2,No precipitation,12,,,,
31.03.2020 14:00,12.9,747.4,763.7,-0.5,11,Wind blowing from the north-west,3,,13,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,19.2,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
31.03.2020 11:00,11.9,747.9,764.2,1.5,14,Wind blowing from the north,4,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,19.2,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
31.03.2020 08:00,7.2,746.4,762.7,1.8,21,Wind blowing from the north,4,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,19.2,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
31.03.2020 05:00,7.6,744.6,760.7,2.2,23,Wind blowing from the north-northeast,5,,13,,Cloud development not observed or not observable. ,,,2.7,19.2,,,2500 or more  or no clouds.,,,18.0,-12.2,No precipitation,12,,,,
31.03.2020 02:00,8.3,742.4,758.5,0.9,58,Wind blowing from the west,1,,12,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.2,,,2500 or more  or no clouds.,,,6.0,0.5,No precipitation,12,,,,
30.03.2020 23:00,10.2,741.5,757.6,-0.1,50,Wind blowing from the south-southwest,3,,12,,Cloud development not observed or not observable. ,,,2.6,19.2,,,2500 or more  or no clouds.,,,7.0,0.2,No precipitation,12,,,,
30.03.2020 20:00,12.8,741.6,757.9,0.8,43,Wind blowing from the south,5,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.2,,,2500 or more  or no clouds.,,,8.0,0.5,No precipitation,12,,,,
30.03.2020 17:00,17.5,740.8,757.0,-0.7,29,Wind blowing from the south,5,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,19.2,,,2500 or more  or no clouds.,,,10.0,-0.7,No precipitation,12,,,,
30.03.2020 14:00,18.7,741.5,757.6,-1.8,23,Wind blowing from the south,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,18.8,,,,,,11.0,-2.8,No precipitation,12,,,,
30.03.2020 11:00,14.7,743.3,759.6,-0.1,26,Wind blowing from the south-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.1,,,,,,14.0,-4.6,No precipitation,12,,,,
30.03.2020 08:00,6.6,743.4,759.8,0.5,42,Wind blowing from the south,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.1,,,,,,12.0,-5.4,No precipitation,12,,,,
30.03.2020 05:00,2.8,742.9,759.2,0.0,52,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,,,0.0,17.1,,,2500 or more  or no clouds.,,,16.0,-6.1,No precipitation,12,,,,
30.03.2020 02:00,4.1,742.9,759.2,-0.3,46,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.1,,,2500 or more  or no clouds.,,,17.0,-6.5,No precipitation,12,,,,
29.03.2020 23:00,6.5,743.2,759.5,0.2,39,Wind blowing from the south,3,,13,,Cloud development not observed or not observable. ,,,0.0,17.1,,,2500 or more  or no clouds.,,,13.0,-6.5,No precipitation,12,,,,
29.03.2020 20:00,9.3,743.0,759.4,1.0,31,Wind blowing from the south,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.1,,,,,,15.0,-7.0,No precipitation,12,,,,
29.03.2020 17:00,16.2,742.0,758.3,-1.1,11,Wind blowing from the south-southwest,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.1,,,,,,26.0,-14.3,No precipitation,12,,,,
29.03.2020 14:00,16.2,743.1,759.4,-1.9,11,Wind blowing from the south-southwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,16.5,,,2500 or more  or no clouds.,,,22.0,-14.3,No precipitation,12,,,,
29.03.2020 11:00,14.4,745.0,761.4,-1.5,13,Wind blowing from the south-west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,14.7,,,,,,28.0,-13.7,No precipitation,12,,,,
29.03.2020 08:00,4.9,746.5,763.1,0.1,33,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,10.5,,,2500 or more  or no clouds.,,,14.0,-10.0,No precipitation,12,,,,
29.03.2020 05:00,0.4,746.4,763.0,-0.2,41,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,,,-4.1,10.5,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
29.03.2020 02:00,2.4,746.6,763.2,0.0,31,Wind blowing from the south-southwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,10.5,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
28.03.2020 23:00,4.1,746.6,763.3,-0.2,26,Wind blowing from the south-west,2,,,,Cloud development not observed or not observable. ,,,-4.1,10.5,,,2500 or more  or no clouds.,,,23.0,-13.7,No precipitation,12,,,,
28.03.2020 20:00,5.5,746.8,763.6,-0.4,19,Wind blowing from the south-southeast,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,10.5,,,,,,18.0,-16.3,No precipitation,12,,,,
28.03.2020 17:00,10.2,747.2,763.9,-1.6,11,Wind blowing from the west-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,10.5,,,,,,30.0,-19.0,No precipitation,12,,,,
28.03.2020 14:00,9.2,748.8,765.6,-2.2,11,Wind blowing from the west-southwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,9.4,,,,,,30.0,-19.8,No precipitation,12,,,,
28.03.2020 11:00,6.8,751.0,767.9,-1.1,13,Wind blowing from the west-southwest,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.0,,,,,,30.0,-19.7,No precipitation,12,,,,
28.03.2020 08:00,0.5,752.1,769.1,0.2,33,Wind blowing from the west-southwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,5.7,,,,,,18.0,-13.9,No precipitation,12,,,,
28.03.2020 05:00,-3.7,751.9,769.0,0.0,42,Wind blowing from the west-southwest,2,,,,Cloud development not observed or not observable. ,,,-3.7,5.7,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
28.03.2020 02:00,-3.4,751.9,769.0,0.0,41,Wind blowing from the west,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,5.7,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
27.03.2020 23:00,-0.4,751.9,768.9,0.6,30,Wind blowing from the west,2,,14,,Cloud development not observed or not observable. ,,,-3.3,5.7,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
27.03.2020 20:00,1.2,751.3,768.4,1.0,23,Wind blowing from the west,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.7,,,,,,20.0,-17.7,No precipitation,12,,,,
27.03.2020 17:00,3.5,750.3,767.3,0.1,16,Wind blowing from the west,5,,14,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.7,,,1500-2000,,,20.0,-20.0,No precipitation,12,,,,
27.03.2020 14:00,3.1,750.2,767.2,-0.1,21,Wind blowing from the west-northwest,6,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.9,,,1500-2000,,,16.0,-17.1,No precipitation,12,,,,
