Local time in Langzhong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 02:00,10.0,733.5,767.8,,90,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,16.1,,,2500 or more  or no clouds.,,,21.0,8.4,No precipitation,12,,,,
05.04.2020 20:00,13.1,733.0,767.3,0.7,74,Wind blowing from the south-southeast,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,16.1,,,2500 or more  or no clouds.,,,30.0,8.6,0.4,12,,,,
05.04.2020 17:00,14.6,732.3,766.5,-1.6,64,Wind blowing from the east-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,16.1,,,2500 or more  or no clouds.,,,30.0,7.9,0.4,12,,,,
05.04.2020 14:00,14.1,733.9,768.3,-1.5,71,Wind blowing from the east,2,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.9,,,2500 or more  or no clouds.,,,30.0,8.9,0.4,12,,,,
05.04.2020 11:00,12.7,735.4,769.8,0.9,82,Wind blowing from the north-northwest,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.9,,,2500 or more  or no clouds.,,,30.0,9.7,0.3,12,,,,
05.04.2020 08:00,11.1,734.5,768.9,1.0,92,Wind blowing from the north,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,14.9,,,2500 or more  or no clouds.,,,25.0,9.9,No precipitation,12,,,,
05.04.2020 05:00,11.0,733.5,767.8,-1.1,92,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,,,10.2,14.9,,,2500 or more  or no clouds.,,,30.0,9.8,No precipitation,12,,,,
05.04.2020 02:00,11.4,734.6,769.0,,89,Wind blowing from the north,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,14.9,,,2500 or more  or no clouds.,,,30.0,9.7,No precipitation,12,,,,
04.04.2020 20:00,13.3,734.5,769.0,0.8,74,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,14.9,,,2500 or more  or no clouds.,,,30.0,8.8,0.9,12,,,,
04.04.2020 17:00,14.7,733.7,768.1,-1.6,63,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,14.9,,,2500 or more  or no clouds.,,,30.0,7.7,1.0,12,,,,
04.04.2020 14:00,13.4,735.3,769.8,-1.1,72,Wind blowing from the north-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,13.7,,,2500 or more  or no clouds.,,,30.0,8.5,1.0,12,,,,
04.04.2020 11:00,11.2,736.4,771.0,1.0,90,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,11.8,,,2500 or more  or no clouds.,,,22.0,9.6,2.0,12,,,,
04.04.2020 08:00,10.4,735.4,769.9,1.5,87,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,11.8,,,2500 or more  or no clouds.,,,30.0,8.3,2.0,12,,,,
04.04.2020 05:00,10.3,733.9,768.4,-0.9,84,Wind blowing from the north-northwest,2,,4,,Rain (not freezing) not falling as shower(s). ,,,10.2,11.8,,,2500 or more  or no clouds.,,,30.0,7.7,1.0,12,,,,
04.04.2020 02:00,10.5,734.8,769.3,,85,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,12.3,,,2500 or more  or no clouds.,,,30.0,8.1,1.0,12,,,,
03.04.2020 20:00,11.6,733.6,768.1,1.2,86,Wind blowing from the north-northwest,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,12.8,,,2500 or more  or no clouds.,,,30.0,9.3,1.0,12,,,,
03.04.2020 17:00,11.8,732.4,766.7,-0.6,84,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,13.2,,,2500 or more  or no clouds.,,,30.0,9.2,2.0,12,,,,
03.04.2020 14:00,11.3,733.0,767.3,-0.9,89,Wind blowing from the north-northeast,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.2,,,2500 or more  or no clouds.,,,12.0,9.6,2.0,12,,,,
03.04.2020 11:00,11.3,733.9,768.3,1.2,88,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,2500 or more  or no clouds.,,,11.0,9.4,0.8,12,,,,
03.04.2020 08:00,10.9,732.7,767.0,1.7,92,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,14.8,,,2500 or more  or no clouds.,,,14.0,9.7,0.3,12,,,,
03.04.2020 05:00,11.6,731.0,765.2,-0.5,83,Wind blowing from the north-northwest,3,,5,,Cloud development not observed or not observable. ,,,11.6,14.8,,,2500 or more  or no clouds.,,,30.0,8.8,0.3,12,,,,
03.04.2020 02:00,12.3,731.5,765.7,,78,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,14.8,,,2500 or more  or no clouds.,,,30.0,8.6,0.6,12,,,,
02.04.2020 20:00,12.5,731.0,765.1,1.4,91,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,16.5,,,2500 or more  or no clouds.,,,30.0,11.1,0.6,12,,,,
02.04.2020 17:00,13.2,729.6,763.6,-0.7,93,Wind blowing from the north-northeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,9.0,12.1,0.3,12,,,,
02.04.2020 14:00,14.2,730.3,764.3,-0.3,79,Wind blowing from the north-east,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,30.0,10.6,No precipitation,12,,,,
02.04.2020 11:00,14.0,730.6,764.6,1.4,76,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,30.0,9.8,No precipitation,12,,,,
02.04.2020 08:00,13.7,729.2,763.0,1.0,77,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,19.1,,,2500 or more  or no clouds.,,,30.0,9.7,No precipitation,12,,,,
02.04.2020 05:00,13.9,728.2,761.8,-0.3,73,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,,,12.9,19.1,,,2500 or more  or no clouds.,,,30.0,9.1,No precipitation,12,,,,
02.04.2020 02:00,13.4,728.5,762.1,,78,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,19.1,,,2500 or more  or no clouds.,,,30.0,9.6,No precipitation,12,,,,
01.04.2020 20:00,16.6,727.6,761.3,1.2,62,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,19.1,,,2500 or more  or no clouds.,,,19.0,9.3,No precipitation,12,,,,
01.04.2020 17:00,18.1,726.4,760.0,-0.7,53,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,20.0,,,2500 or more  or no clouds.,,,30.0,8.4,No precipitation,12,,,,
01.04.2020 14:00,18.4,727.1,760.7,-2.3,54,Wind blowing from the north-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,21.2,,,2500 or more  or no clouds.,,,30.0,8.9,No precipitation,12,,,,
01.04.2020 11:00,15.8,729.4,763.3,0.5,69,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,,,,2500 or more  or no clouds.,,,30.0,10.1,No precipitation,12,,,,
01.04.2020 08:00,13.1,728.9,762.7,0.8,85,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,21.2,,,2500 or more  or no clouds.,,,30.0,10.6,No precipitation,12,,,,
01.04.2020 05:00,13.1,728.1,761.7,-0.5,86,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,,,9.5,21.2,,,2500 or more  or no clouds.,,,30.0,10.8,No precipitation,12,,,,
01.04.2020 02:00,13.4,728.6,762.2,,84,Wind blowing from the north-west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,21.2,,,2500 or more  or no clouds.,,,30.0,10.8,No precipitation,12,,,,
31.03.2020 20:00,16.7,727.3,761.2,1.7,57,Wind blowing from the south-southeast,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,21.2,,,,,,30.0,8.1,No precipitation,12,,,,
31.03.2020 17:00,20.1,725.6,759.2,-2.2,47,Wind blowing from the south-southeast,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,21.2,,,1000-1500,,,30.0,8.4,0.1,12,,,,
31.03.2020 14:00,19.5,727.8,761.5,-2.2,46,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,19.7,,,2500 or more  or no clouds.,,,30.0,7.6,0.4,12,,,,
31.03.2020 11:00,16.7,730.0,763.9,0.3,62,Wind blowing from the south,2,,3,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,16.7,,,1000-1500,,,30.0,9.4,1.0,12,,,,
31.03.2020 08:00,10.5,729.7,763.9,1.0,89,Wind blowing from the north-east,1,,,60%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,14.5,,,2500 or more  or no clouds.,,,30.0,8.8,1.0,12,,,,
31.03.2020 05:00,10.2,728.7,762.8,-1.0,92,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,,,10.2,14.5,,,2500 or more  or no clouds.,,,30.0,9.0,1.0,12,,,,
31.03.2020 02:00,10.9,729.7,763.9,,84,Wind blowing from the north-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,14.5,,,2500 or more  or no clouds.,,,24.0,8.3,0.9,12,,,,
30.03.2020 20:00,12.6,727.6,761.7,1.2,75,Wind blowing from the west-northwest,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,14.5,,,2500 or more  or no clouds.,,,30.0,8.3,Trace of precipitation,12,,,,
30.03.2020 17:00,14.0,726.4,760.4,-0.7,67,Wind blowing from the north-northwest,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,14.5,,,2000-2500,,,18.0,8.0,No precipitation,12,,,,
30.03.2020 14:00,14.0,727.1,761.2,-1.4,63,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,14.6,,,2000-2500,,,30.0,7.1,No precipitation,12,,,,
30.03.2020 11:00,12.7,728.5,762.7,0.6,76,Wind blowing from the north-northeast,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,14.6,,,1000-1500,,,30.0,8.6,No precipitation,12,,,,
30.03.2020 08:00,10.7,727.9,762.1,0.4,88,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,14.6,,,2500 or more  or no clouds.,,,30.0,8.8,Trace of precipitation,12,,,,
30.03.2020 05:00,10.3,727.5,761.6,-1.3,92,Wind blowing from the north-northeast,2,,3,,Cloud development not observed or not observable. ,,,8.9,14.6,,,2500 or more  or no clouds.,,,30.0,9.1,No precipitation,12,,,,
30.03.2020 02:00,10.4,728.8,763.0,,91,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,14.6,,,2500 or more  or no clouds.,,,30.0,9.0,No precipitation,12,,,,
29.03.2020 20:00,11.9,728.1,762.4,0.8,78,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,14.6,,,2500 or more  or no clouds.,,,30.0,8.2,No precipitation,12,,,,
29.03.2020 17:00,13.7,727.3,761.5,-1.7,61,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,14.6,,,2500 or more  or no clouds.,,,30.0,6.3,No precipitation,12,,,,
29.03.2020 14:00,12.5,729.0,763.3,-1.6,73,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,12.9,,,2500 or more  or no clouds.,,,30.0,7.8,0.8,12,,,,
29.03.2020 11:00,10.2,730.6,765.1,1.6,81,Wind blowing from the north-west,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,11.8,,,1500-2000,,,30.0,7.1,1.0,12,,,,
29.03.2020 08:00,9.1,729.0,763.5,1.0,84,Wind blowing from the north-northwest,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,,,,2500 or more  or no clouds.,,,30.0,6.5,3.0,12,,,,
29.03.2020 05:00,9.4,728.0,762.4,0.2,91,Wind blowing from the north-northeast,1,,5,,Rain (not freezing) not falling as shower(s). ,,,9.2,,,,2500 or more  or no clouds.,,,30.0,8.0,4.0,12,,,,
29.03.2020 02:00,9.2,727.8,762.2,,94,Wind blowing from the north-east,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,,,,2500 or more  or no clouds.,,,30.0,8.3,4.0,12,,,,
28.03.2020 20:00,9.3,727.5,761.8,0.8,95,Wind blowing from the north-northeast,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,14.9,,,2500 or more  or no clouds.,,,7.0,8.5,2.0,12,,,,
28.03.2020 17:00,9.8,726.7,760.9,-2.1,87,Wind blowing from the east,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,15.7,,,2500 or more  or no clouds.,,,30.0,7.7,0.8,12,,,,
28.03.2020 14:00,9.9,728.8,763.1,-1.9,90,Wind blowing from the north-northeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,15.7,,,2500 or more  or no clouds.,,,11.0,8.3,0.2,12,,,,
28.03.2020 11:00,11.8,730.7,764.9,-0.4,64,Wind blowing from the east,4,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,2500 or more  or no clouds.,,,30.0,5.2,No precipitation,12,,,,
28.03.2020 08:00,11.4,731.1,765.2,0.2,73,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,15.7,,,2500 or more  or no clouds.,,,30.0,6.7,No precipitation,12,,,,
28.03.2020 05:00,11.9,730.9,764.9,-1.5,72,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,,,10.7,15.7,,,2500 or more  or no clouds.,,,30.0,7.0,No precipitation,12,,,,
28.03.2020 02:00,12.3,732.4,766.7,,80,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,15.7,,,2500 or more  or no clouds.,,,18.0,9.0,No precipitation,12,,,,
27.03.2020 20:00,14.9,731.1,765.2,1.0,60,Wind blowing from the south-east,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,17.6,,,1500-2000,,,30.0,7.2,0.7,12,,,,
27.03.2020 17:00,15.1,730.1,764.2,0.1,66,Wind blowing from the north-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,20.9,,,2500 or more  or no clouds.,,,30.0,8.8,0.8,12,,,,
27.03.2020 14:00,12.3,730.0,764.3,-0.1,78,Wind blowing from the north-northwest,4,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,,,,2500 or more  or no clouds.,,,30.0,8.6,7.0,12,,,,
27.03.2020 11:00,11.6,730.1,764.2,2.5,79,Wind blowing from the north-northwest,3,,14,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,,,,2500 or more  or no clouds.,,,18.0,8.1,16.0,12,,,,
27.03.2020 08:00,11.9,727.6,761.4,1.2,67,Wind blowing from the north-northeast,2,,14,100%.,Rain shower(s)  slight. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,26.8,,,2500 or more  or no clouds.,,,30.0,6.0,16.0,12,,,,
27.03.2020 05:00,10.7,726.4,760.0,-0.9,78,Wind blowing from the north,3,,14,,Rain (not freezing) not falling as shower(s). ,,,10.1,26.8,,,2500 or more  or no clouds.,,,30.0,7.0,16.0,12,,,,
27.03.2020 02:00,10.5,727.3,760.6,,89,Wind blowing from the north-west,3,,,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,26.8,,,2500 or more  or no clouds.,,,20.0,8.8,10.0,12,,,,
26.03.2020 20:00,17.5,724.2,757.5,2.1,38,Wind blowing from the north,5,,15,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,26.8,,,2500 or more  or no clouds.,,,30.0,3.0,No precipitation,12,,,,
26.03.2020 17:00,20.9,722.1,755.2,,30,Wind blowing from the north-northwest,6,,15,100%., ,,,16.0,27.5,,,2500 or more  or no clouds.,,,16.0,2.7,No precipitation,6,,,,
26.03.2020 14:00,26.1,721.3,754.0,-0.7,26,Wind blowing from the north-northwest,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,27.8,,,2500 or more  or no clouds.,,,11.0,5.1,No precipitation,12,,,,
26.03.2020 11:00,24.6,722.0,754.7,,51,Wind blowing from the north-west,3,,5,10%  or less  but not 0, ,,,16.0,27.8,,,2500 or more  or no clouds.,,,29.0,13.8,No precipitation,6,,,,
26.03.2020 08:00,17.1,720.7,753.5,1.4,81,Wind blowing from the north-northwest,2,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,27.8,,,2500 or more  or no clouds.,,,18.0,13.8,No precipitation,12,,,,
26.03.2020 05:00,16.6,719.3,751.9,,85,Wind blowing from the north-west,1,,,, ,,,,,,,,,,16.0,14.1,,,,,,
