Local time in Mudanjiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 17:00,2.0,735.4,764.2,1.1,36,Wind blowing from the west-northwest,8,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,6.0,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
04.04.2020 14:00,1.4,734.3,763.0,0.5,37,Wind blowing from the north-west,9,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
04.04.2020 11:00,0.5,733.8,762.4,-0.1,35,Wind blowing from the west-northwest,10,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
04.04.2020 08:00,-1.7,733.9,762.6,0.3,43,Wind blowing from the west-northwest,10,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
04.04.2020 05:00,-4.1,733.6,762.1,0.8,70,Wind blowing from the west,6,,16,,Cloud development not observed or not observable. ,,,-4.1,13.6,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
04.04.2020 02:00,-3.0,732.8,760.9,0.6,74,Wind blowing from the west,5,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,13.6,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
03.04.2020 23:00,-1.9,732.2,760.3,1.8,66,Wind blowing from the west,7,,21,,Cloud development not observed or not observable. ,,,-1.9,13.6,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
03.04.2020 20:00,1.1,730.4,758.5,2.2,60,Wind blowing from the west,10,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,13.6,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
03.04.2020 17:00,6.0,728.2,756.4,1.8,57,Wind blowing from the west-northwest,8,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,13.6,,,2500 or more  or no clouds.,,,30.0,-1.9,No precipitation,12,,,,
03.04.2020 14:00,12.4,726.4,754.0,-2.4,24,Wind blowing from the west,11,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,14.7,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
03.04.2020 11:00,11.2,728.8,756.5,-3.7,15,Wind blowing from the south-west,10,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,16.5,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
03.04.2020 08:00,6.1,732.5,760.4,-1.6,24,Wind blowing from the west-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,16.5,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
03.04.2020 05:00,-1.4,734.1,762.1,-0.7,40,Wind blowing from the east-southeast,2,,11,,Cloud development not observed or not observable. ,,,-1.7,16.5,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
03.04.2020 02:00,-0.6,734.8,762.8,-0.3,48,Wind blowing from the south,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,16.5,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
02.04.2020 23:00,3.7,735.1,763.0,1.3,38,Wind blowing from the north-northwest,3,,17,,Cloud development not observed or not observable. ,,,-1.2,16.5,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
02.04.2020 20:00,6.0,733.8,761.8,2.5,40,Wind blowing from the west-southwest,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,16.5,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
02.04.2020 17:00,11.7,731.3,759.1,1.3,28,Wind blowing from the west,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,16.5,,,2500 or more  or no clouds.,,,30.0,-6.2,No precipitation,12,,,,
02.04.2020 14:00,13.7,730.0,757.8,-0.7,20,Wind blowing from the west,9,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,16.5,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
02.04.2020 11:00,12.9,730.7,758.5,-1.3,18,Wind blowing from the south-west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,13.2,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
02.04.2020 08:00,6.5,732.0,760.0,-0.3,27,Wind blowing from the south-west,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,12.7,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
02.04.2020 05:00,2.0,732.3,760.3,-1.0,36,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,,,-1.9,12.7,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
02.04.2020 02:00,-0.4,733.3,761.2,-0.8,45,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,12.7,,,2500 or more  or no clouds.,,,15.0,-10.9,No precipitation,12,,,,
01.04.2020 23:00,1.1,734.1,762.2,-0.7,41,Wind blowing from the south-southeast,1,,11,,Cloud development not observed or not observable. ,,,-1.9,12.7,,,2500 or more  or no clouds.,,,18.0,-10.7,No precipitation,12,,,,
01.04.2020 20:00,2.4,734.8,763.1,1.3,40,Wind blowing from the north-east,0,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,12.7,,,2500 or more  or no clouds.,,,20.0,-10.1,No precipitation,12,,,,
01.04.2020 17:00,9.5,733.5,761.7,-0.1,19,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,12.7,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
01.04.2020 14:00,12.1,733.6,761.4,-1.8,15,Wind blowing from the west,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,14.9,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
01.04.2020 11:00,8.6,735.4,763.3,-0.9,17,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,15.6,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
01.04.2020 08:00,3.7,736.3,764.5,0.5,38,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,15.6,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
01.04.2020 05:00,-1.3,735.8,764.1,1.1,57,Wind blowing from the south-southeast,1,,10,,Cloud development not observed or not observable. ,,,-1.3,15.6,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
01.04.2020 02:00,2.1,734.7,762.5,0.6,43,Wind blowing from the north,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,15.6,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
31.03.2020 23:00,5.8,734.1,761.7,0.9,48,Wind blowing from the west,6,,15,,Cloud development not observed or not observable. ,,,4.2,15.6,,,2500 or more  or no clouds.,,,27.0,-4.6,No precipitation,12,,,,
31.03.2020 20:00,7.1,733.2,760.9,1.2,61,Wind blowing from the west-southwest,5,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,15.6,,,1500-2000,,,13.0,-0.1,No precipitation,12,,,,
31.03.2020 17:00,9.2,732.0,759.7,1.9,53,Wind blowing from the west-northwest,7,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,15.6,,,1500-2000,,,12.0,-0.1,No precipitation,12,,,,
31.03.2020 14:00,14.4,730.1,757.6,-1.0,29,Wind blowing from the west-southwest,7,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,17.2,,,1500-2000,,,26.0,-3.4,No precipitation,12,,,,
31.03.2020 11:00,13.4,731.1,758.5,-0.7,25,Wind blowing from the west-southwest,9,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,17.2,,,1500-2000,,,30.0,-6.2,No precipitation,12,,,,
31.03.2020 08:00,10.6,731.8,759.3,-0.4,29,Wind blowing from the south-southwest,7,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,17.2,,,1500-2000,,,30.0,-6.7,No precipitation,12,,,,
31.03.2020 05:00,5.7,732.2,759.7,-0.9,37,Wind blowing from the south-west,1,,12,,Cloud development not observed or not observable. ,,,4.1,17.2,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
31.03.2020 02:00,5.3,733.1,760.6,-0.3,43,Wind blowing from the north,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,17.2,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
30.03.2020 23:00,9.4,733.4,760.9,0.4,29,Wind blowing from the south,4,,15,,Cloud development not observed or not observable. ,,,4.1,17.2,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
30.03.2020 20:00,9.4,733.0,760.6,1.2,33,Wind blowing from the south,4,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,17.2,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
30.03.2020 17:00,14.8,731.8,759.4,0.0,22,Wind blowing from the south-west,7,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,17.2,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
30.03.2020 14:00,16.8,731.8,759.2,-1.4,20,Wind blowing from the west-southwest,7,,14,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,16.9,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
30.03.2020 11:00,13.3,733.2,760.8,-1.1,19,Wind blowing from the south-west,7,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,13.4,,,,,,30.0,-9.8,No precipitation,12,,,,
30.03.2020 08:00,8.2,734.3,762.1,0.5,27,Wind blowing from the south-west,8,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,13.0,,,,,,30.0,-9.7,No precipitation,12,,,,
30.03.2020 05:00,5.1,733.8,761.5,0.5,30,Wind blowing from the south-southeast,2,,12,,Cloud development not observed or not observable. ,,,-0.3,13.0,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
30.03.2020 02:00,5.3,733.3,761.0,-0.3,32,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,13.0,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
29.03.2020 23:00,6.5,733.6,761.4,0.1,30,Wind blowing from the south-west,5,,17,,Cloud development not observed or not observable. ,,,-0.3,13.0,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
29.03.2020 20:00,7.9,733.5,761.5,1.5,25,Wind blowing from the south-southwest,6,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.0,,,,,,30.0,-10.9,No precipitation,12,,,,
29.03.2020 17:00,11.6,732.0,759.9,-0.7,19,Wind blowing from the south-west,7,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.0,,,,,,30.0,-11.2,No precipitation,12,,,,
29.03.2020 14:00,12.2,732.7,760.6,-2.1,18,Wind blowing from the west-southwest,7,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,12.4,,,,,,30.0,-11.4,No precipitation,12,,,,
29.03.2020 11:00,8.4,734.8,763.0,-2.0,20,Wind blowing from the south-west,10,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,8.6,,,,,,30.0,-13.3,No precipitation,12,,,,
29.03.2020 08:00,3.4,736.8,765.3,-0.1,26,Wind blowing from the south-west,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,4.8,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
29.03.2020 05:00,0.0,736.9,765.5,0.0,34,Wind blowing from the south-southwest,4,,13,,Cloud development not observed or not observable. ,,,-4.3,4.8,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
29.03.2020 02:00,0.1,736.9,765.4,-0.1,34,Wind blowing from the south-west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,4.8,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
28.03.2020 23:00,-0.1,737.0,765.7,0.0,34,Wind blowing from the south-west,6,,17,,Cloud development not observed or not observable. ,,,-4.3,4.8,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
28.03.2020 20:00,0.5,737.0,765.8,1.3,29,Wind blowing from the south-west,4,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,4.8,,,,,,30.0,-15.5,No precipitation,12,,,,
28.03.2020 17:00,2.7,735.7,764.5,-0.2,26,Wind blowing from the west,7,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,4.8,,,,,,30.0,-14.9,No precipitation,12,,,,
28.03.2020 14:00,4.3,735.9,764.5,-1.1,24,Wind blowing from the west,8,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,5.4,,,1000-1500,,,30.0,-14.5,No precipitation,12,,,,
28.03.2020 11:00,1.5,737.0,765.8,0.0,27,Wind blowing from the west,9,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,5.4,,,,,,30.0,-15.5,No precipitation,12,,,,
28.03.2020 08:00,-2.2,737.0,766.0,1.6,36,Wind blowing from the west,8,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,,,,1000-1500,,,30.0,-15.3,No precipitation,12,,,,
28.03.2020 05:00,-4.1,735.4,764.3,0.7,45,Wind blowing from the west,7,,12,,Cloud development not observed or not observable. ,,,-4.2,5.4,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
28.03.2020 02:00,-3.2,734.7,763.3,0.1,42,Wind blowing from the west,6,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,5.4,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
27.03.2020 23:00,-2.5,734.6,763.3,0.2,48,Wind blowing from the west-southwest,5,,17,,Cloud development not observed or not observable. ,,,-2.8,5.4,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
27.03.2020 20:00,-2.0,734.4,763.2,1.0,53,Wind blowing from the west,6,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,5.4,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
27.03.2020 17:00,0.3,733.4,762.1,0.8,45,Wind blowing from the west-northwest,9,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,5.4,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
