Local time in Shaoguan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,14.6,752.1,763.1,-1.0,97,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,14.7,,,2500 or more  or no clouds.,,,24.0,14.2,7.0,12,,,,
06.04.2020 14:00,14.4,753.1,764.1,-1.7,100,Wind blowing from the north-northwest,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,14.4,,,2500 or more  or no clouds.,,,16.0,14.4,10.0,12,,,,
06.04.2020 11:00,13.5,754.8,765.8,0.6,100,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,13.9,,,2500 or more  or no clouds.,,,5.0,13.5,8.0,12,,,,
06.04.2020 08:00,13.3,754.2,765.2,0.8,100,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,13.9,,,2500 or more  or no clouds.,,,1.8,13.3,7.0,12,,,,
06.04.2020 05:00,13.1,753.4,764.5,-1.1,100,Wind blowing from the north-northwest,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.5,13.9,,,2500 or more  or no clouds.,,,3.4,13.1,7.0,12,,,,
06.04.2020 02:00,13.2,754.5,765.5,-1.5,100,Wind blowing from the west-northwest,1,,3,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,13.9,,,2500 or more  or no clouds.,,,1.1,13.2,4.0,12,,,,
05.04.2020 23:00,13.4,756.0,767.1,0.8,100,Wind blowing from the west-northwest,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,,13.9,,,2500 or more  or no clouds.,,,2.2,13.4,6.0,12,,,,
05.04.2020 20:00,13.7,755.2,766.3,1.1,100,Wind blowing from the west-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,14.3,,,2500 or more  or no clouds.,,,4.2,13.7,8.0,12,,,,
05.04.2020 17:00,13.7,754.1,765.1,-0.2,100,Wind blowing from the south-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,14.9,,,2500 or more  or no clouds.,,,2.2,13.7,12.0,12,,,,
05.04.2020 14:00,13.6,754.3,765.4,-2.8,100,Wind blowing from the south-southeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,,,,2500 or more  or no clouds.,,,7.0,13.6,21.0,12,,,,
05.04.2020 11:00,13.4,757.1,768.2,0.7,100,Wind blowing from the north-west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,,,,2500 or more  or no clouds.,,,6.0,13.4,26.0,12,,,,
05.04.2020 08:00,12.8,756.4,767.5,1.8,100,Wind blowing from the west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,16.6,,,2500 or more  or no clouds.,,,3.0,12.8,31.0,12,,,,
05.04.2020 05:00,12.6,754.6,765.6,-1.5,100,Wind blowing from the south,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.4,16.6,,,2500 or more  or no clouds.,,,3.0,12.6,27.0,12,,,,
05.04.2020 02:00,12.6,756.1,767.2,-0.3,100,Wind blowing from the north,2,,7,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,16.6,,,2500 or more  or no clouds.,,,3.2,12.6,22.0,12,,,,
04.04.2020 23:00,12.8,756.4,767.5,1.2,100,Wind blowing from the north-west,2,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,,,12.7,16.6,,,2500 or more  or no clouds.,,,2.1,12.8,15.0,12,,,,
04.04.2020 20:00,14.3,755.2,766.2,0.4,96,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,16.6,,,2500 or more  or no clouds.,,,25.0,13.6,6.0,12,,,,
04.04.2020 17:00,14.6,754.8,765.8,-0.2,100,Wind blowing from the north,2,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,16.6,,,2500 or more  or no clouds.,,,7.0,14.6,10.0,12,,,,
04.04.2020 14:00,15.6,755.0,766.0,-1.5,94,Wind blowing from the north-northwest,3,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,16.6,,,2500 or more  or no clouds.,,,12.0,14.6,6.0,12,,,,
04.04.2020 11:00,14.8,756.5,767.5,0.5,100,Wind blowing from the north-west,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.1,,,2500 or more  or no clouds.,,,19.0,14.8,11.0,12,,,,
04.04.2020 08:00,13.2,756.0,767.1,1.4,100,Wind blowing from the west,1,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,14.4,,,2500 or more  or no clouds.,,,5.0,13.2,11.0,12,,,,
04.04.2020 05:00,13.7,754.6,765.7,,100,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,,,13.1,14.4,,,2500 or more  or no clouds.,,,23.0,13.7,8.0,12,,,,
04.04.2020 02:00,13.6,754.3,765.3,,100,Wind blowing from the north-west,2,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,14.4,,,,,,6.0,13.6,7.0,6,,,,
03.04.2020 23:00,14.2,754.8,765.8,2.2,100,Wind blowing from the east-southeast,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.0,14.4,,,2500 or more  or no clouds.,,,9.0,14.2,15.0,12,,,,
03.04.2020 20:00,14.1,752.6,763.6,-1.3,100,Wind blowing from the north-west,5,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,14.4,,,2500 or more  or no clouds.,,,15.0,14.1,20.0,12,,,,
03.04.2020 17:00,14.4,753.9,764.9,0.5,100,Wind blowing from the south-southwest,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.4,,,2500 or more  or no clouds.,,,26.0,14.4,20.0,12,,,,
03.04.2020 14:00,13.7,753.4,764.4,-3.0,100,Wind blowing from the south-west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,13.8,,,2500 or more  or no clouds.,,,13.0,13.7,20.0,12,,,,
03.04.2020 11:00,13.4,756.4,767.5,2.1,100,Wind blowing from the north-northeast,2,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,13.5,,,2500 or more  or no clouds.,,,3.9,13.4,22.0,12,,,,
03.04.2020 08:00,13.1,754.3,765.4,1.1,100,Wind blowing from the west-northwest,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.2,,,2500 or more  or no clouds.,,,2.0,13.1,41.0,12,,,,
03.04.2020 05:00,13.1,753.2,764.2,-0.5,100,Wind blowing from the north-northwest,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,,13.2,,,2500 or more  or no clouds.,,,3.6,13.1,54.0,12,,,,
03.04.2020 02:00,13.0,753.7,764.8,-1.0,100,Wind blowing from the north-west,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.2,,,2500 or more  or no clouds.,,,9.0,13.0,57.0,12,,,,
02.04.2020 23:00,13.1,754.7,765.8,1.4,100,Wind blowing from the north-west,2,,9,,Rain  not freezing  intermittent  heavy at time of observation. ,,,,13.2,,,2500 or more  or no clouds.,,,1.8,13.1,44.0,12,,,,
02.04.2020 20:00,13.0,753.3,764.4,0.5,100,Wind blowing from the south-west,2,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,13.6,,,2500 or more  or no clouds.,,,3.9,13.0,21.0,12,,,,
02.04.2020 17:00,12.8,752.8,763.9,-0.1,100,Wind blowing from the north,2,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.4,,,2500 or more  or no clouds.,,,2.2,12.8,6.0,12,,,,
02.04.2020 14:00,12.9,752.9,764.0,-2.1,100,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,2500 or more  or no clouds.,,,18.0,12.9,3.0,12,,,,
02.04.2020 11:00,12.6,755.0,766.1,0.7,100,Wind blowing from the north,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,2500 or more  or no clouds.,,,4.4,12.6,3.0,12,,,,
02.04.2020 08:00,12.0,754.3,765.4,1.0,100,Wind blowing from the west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,15.1,,,2500 or more  or no clouds.,,,1.0,12.0,2.0,12,,,,
02.04.2020 05:00,11.8,753.3,764.3,0.5,100,Wind blowing from the north-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.3,15.1,,,2500 or more  or no clouds.,,,1.5,11.8,2.0,12,,,,
02.04.2020 02:00,11.7,752.8,763.9,-0.9,100,Wind blowing from the west,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,15.1,,,2500 or more  or no clouds.,,,3.3,11.7,0.9,12,,,,
01.04.2020 23:00,12.4,753.7,764.7,0.9,97,Wind blowing from the south,0,,5,,Rain (not freezing) not falling as shower(s). ,,,11.3,15.1,,,2500 or more  or no clouds.,,,6.0,11.9,0.1,12,,,,
01.04.2020 20:00,13.6,752.8,763.8,1.2,81,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,15.1,,,2500 or more  or no clouds.,,,30.0,10.4,No precipitation,12,,,,
01.04.2020 17:00,14.4,751.6,762.7,-0.8,76,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,15.1,,,2500 or more  or no clouds.,,,30.0,10.2,No precipitation,12,,,,
01.04.2020 14:00,14.5,752.4,763.4,-2.0,74,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,14.5,,,2500 or more  or no clouds.,,,30.0,9.9,No precipitation,12,,,,
01.04.2020 11:00,13.7,754.4,765.5,0.1,79,Wind blowing from the north-northwest,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,13.7,,,2500 or more  or no clouds.,,,30.0,10.1,No precipitation,12,,,,
01.04.2020 08:00,12.1,754.3,765.4,1.4,88,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.1,,,2500 or more  or no clouds.,,,30.0,10.1,0.1,12,,,,
01.04.2020 05:00,11.7,752.9,764.0,0.1,90,Wind blowing from the north-northeast,2,,4,,Cloud development not observed or not observable. ,,,,12.1,,,2500 or more  or no clouds.,,,30.0,10.1,0.8,12,,,,
01.04.2020 02:00,11.7,752.8,763.9,-0.6,95,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.1,,,2500 or more  or no clouds.,,,30.0,10.9,2.0,12,,,,
31.03.2020 23:00,12.0,753.4,764.5,1.2,99,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,,,10.1,12.1,,,2500 or more  or no clouds.,,,21.0,11.8,3.0,12,,,,
31.03.2020 20:00,11.9,752.2,763.3,1.2,99,Wind blowing from the west,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,12.0,,,600-1000,,,10.0,11.7,4.0,12,,,,
31.03.2020 17:00,11.7,751.0,762.1,0.0,99,Wind blowing from the north-northeast,2,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,11.9,,,600-1000,,,5.0,11.5,4.0,12,,,,
31.03.2020 14:00,11.7,751.0,762.1,-1.2,99,Calm  no wind,0,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,11.8,,,600-1000,,,4.6,11.5,4.0,12,,,,
31.03.2020 11:00,11.2,752.2,763.3,0.3,99,Wind blowing from the north-northeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,12.0,,,600-1000,,,7.0,11.0,4.0,12,,,,
31.03.2020 08:00,10.5,751.9,763.0,0.9,99,Wind blowing from the west-northwest,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,,,,600-1000,,,4.4,10.3,3.0,12,,,,
31.03.2020 05:00,10.5,751.0,762.1,-0.7,98,Wind blowing from the north,1,,4,,Rain (not freezing) not falling as shower(s). ,,,10.1,12.0,,,2500 or more  or no clouds.,,,30.0,10.2,3.0,12,,,,
31.03.2020 02:00,10.2,751.7,762.8,-0.3,99,Wind blowing from the west-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,12.0,,,2500 or more  or no clouds.,,,11.0,10.0,3.0,12,,,,
30.03.2020 23:00,10.3,752.0,763.1,1.1,100,Wind blowing from the north-west,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.3,12.0,,,2500 or more  or no clouds.,,,4.6,10.3,3.0,12,,,,
30.03.2020 20:00,10.6,750.9,762.0,0.7,100,Wind blowing from the north-northwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,12.0,,,600-1000,,,4.6,10.6,5.0,12,,,,
30.03.2020 17:00,11.0,750.2,761.3,-0.8,97,Wind blowing from the north-northwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,12.0,,,600-1000,,,16.0,10.5,10.0,12,,,,
30.03.2020 14:00,11.5,751.0,762.1,-1.8,94,Wind blowing from the north,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,12.0,,,300-600,,,30.0,10.5,10.0,12,,,,
30.03.2020 11:00,11.4,752.8,763.9,0.5,93,Wind blowing from the north-northwest,2,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,11.8,,,300-600,,,30.0,10.3,14.0,12,,,,
30.03.2020 08:00,10.5,752.3,763.4,1.0,98,Wind blowing from the north,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,10.4,11.8,,,300-600,,,29.0,10.2,14.0,12,,,,
30.03.2020 05:00,10.7,751.3,762.4,-0.6,97,Wind blowing from the north,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.5,12.5,,,2500 or more  or no clouds.,,,30.0,10.2,14.0,12,,,,
30.03.2020 02:00,10.8,751.9,763.0,-0.6,99,Wind blowing from the north-west,2,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,12.9,,,2500 or more  or no clouds.,,,30.0,10.6,18.0,12,,,,
29.03.2020 23:00,10.8,752.5,763.6,2.0,99,Wind blowing from the north-northwest,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.7,,,,2500 or more  or no clouds.,,,30.0,10.6,13.0,12,,,,
29.03.2020 20:00,11.4,750.5,761.6,0.9,100,Wind blowing from the north-northwest,3,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.8,,,,300-600,,,4.5,11.4,9.0,12,,,,
29.03.2020 17:00,11.6,749.6,760.6,-0.5,100,Wind blowing from the north-east,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.8,,,,300-600,,,3.9,11.6,5.0,12,,,,
29.03.2020 14:00,11.3,750.1,761.1,-1.5,99,Wind blowing from the north-northwest,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,300-600,,,3.2,11.1,1.0,12,,,,
29.03.2020 11:00,11.1,751.6,762.7,0.5,98,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,600-1000,,,10.0,10.8,No precipitation,12,,,,
29.03.2020 08:00,11.7,751.1,762.1,0.1,83,Wind blowing from the north-west,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,1000-1500,,,26.0,8.9,No precipitation,12,,,,
29.03.2020 05:00,12.5,751.0,762.0,-0.9,75,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,,,12.5,18.7,,,2500 or more  or no clouds.,,,30.0,8.1,No precipitation,12,,,,
29.03.2020 02:00,12.9,751.9,762.8,-1.9,73,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,18.7,,,2500 or more  or no clouds.,,,30.0,8.1,No precipitation,12,,,,
28.03.2020 23:00,13.5,753.8,764.8,1.5,71,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,,,12.9,18.8,,,2500 or more  or no clouds.,,,30.0,8.3,No precipitation,12,,,,
28.03.2020 20:00,14.4,752.3,763.3,1.3,72,Wind blowing from the north,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,18.9,,,1000-1500,,,26.0,9.4,No precipitation,12,,,,
28.03.2020 17:00,16.9,751.0,762.0,-1.5,68,Wind blowing from the north,3,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,19.3,,,600-1000,,,30.0,10.9,No precipitation,12,,,,
28.03.2020 14:00,18.4,752.5,763.3,-2.3,62,Wind blowing from the north-northeast,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,20.2,,,600-1000,,,30.0,11.0,0.1,12,,,,
28.03.2020 11:00,16.0,754.8,765.7,-0.1,62,Wind blowing from the north,4,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,21.8,,,1500-2000,,,30.0,8.7,0.2,12,,,,
28.03.2020 08:00,13.3,754.9,765.8,2.1,68,Wind blowing from the north,4,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,22.6,,,1000-1500,,,30.0,7.5,15.0,12,,,,
28.03.2020 05:00,13.2,752.8,763.8,1.2,76,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,,,13.2,22.6,,,2500 or more  or no clouds.,,,30.0,9.0,21.0,12,,,,
28.03.2020 02:00,15.5,751.6,762.5,0.8,89,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,22.6,,,2500 or more  or no clouds.,,,30.0,13.7,25.0,12,,,,
27.03.2020 23:00,18.7,750.8,761.5,1.3,100,Wind blowing from the west,3,,7,,Rain (not freezing) not falling as shower(s). ,,,18.4,22.6,,,2500 or more  or no clouds.,,,4.6,18.7,33.0,12,,,,
27.03.2020 20:00,18.9,749.5,760.3,0.9,100,Wind blowing from the north,2,,8,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,22.6,,,600-1000,,,3.1,18.9,18.0,12,,,,
27.03.2020 17:00,19.3,748.6,759.4,-0.6,100,Wind blowing from the west-northwest,1,,16,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,22.6,,,600-1000,,,7.0,19.3,18.0,12,,,,
27.03.2020 14:00,19.8,749.2,759.9,-1.2,100,Wind blowing from the south-west,1,,16,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,22.6,,,600-1000,,,10.0,19.8,16.0,12,,,,
27.03.2020 11:00,21.8,750.4,761.2,1.5,83,Wind blowing from the west-southwest,3,,16,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,22.6,,,600-1000,,,30.0,18.7,8.0,12,,,,
27.03.2020 08:00,20.0,748.9,759.6,0.0,93,Wind blowing from the west,2,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Fog or ice fog or thick haze.,18.4,,,,1000-1500,,,30.0,18.8,8.0,12,,,,
