Local time in Bengbu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,19.4,761.2,763.7,-1.2,37,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,20.0,,,2500 or more  or no clouds.,,,27.0,4.4,No precipitation,12,,,,
06.04.2020 14:00,19.4,762.4,764.9,-1.9,40,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,19.7,,,2500 or more  or no clouds.,,,22.0,5.5,No precipitation,12,,,,
06.04.2020 11:00,16.6,764.3,766.9,0.1,51,Wind blowing from the east-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,17.4,,,2500 or more  or no clouds.,,,18.0,6.4,No precipitation,12,,,,
06.04.2020 08:00,10.7,764.2,766.8,0.4,79,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,17.4,,,2500 or more  or no clouds.,,,15.0,7.2,No precipitation,12,,,,
06.04.2020 05:00,9.2,763.8,766.3,-0.9,81,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,,,6.1,17.4,,,2500 or more  or no clouds.,,,20.0,6.1,No precipitation,12,,,,
06.04.2020 02:00,10.0,764.7,767.2,-1.3,75,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,17.4,,,2500 or more  or no clouds.,,,22.0,5.8,No precipitation,12,,,,
05.04.2020 23:00,10.0,766.0,768.6,0.1,80,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,,,6.1,17.4,,,2500 or more  or no clouds.,,,20.0,6.7,No precipitation,12,,,,
05.04.2020 20:00,12.6,765.9,768.4,0.8,67,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,17.4,,,2500 or more  or no clouds.,,,25.0,6.6,No precipitation,12,,,,
05.04.2020 17:00,16.4,765.1,767.7,-1.4,49,Wind blowing from the north-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,19.6,,,2500 or more  or no clouds.,,,30.0,5.7,No precipitation,12,,,,
05.04.2020 14:00,17.0,766.5,769.0,-2.5,42,Wind blowing from the east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,20.4,,,2500 or more  or no clouds.,,,30.0,4.0,No precipitation,12,,,,
05.04.2020 11:00,14.3,769.0,771.6,-0.4,45,Wind blowing from the east-southeast,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,20.4,,,2500 or more  or no clouds.,,,30.0,2.5,No precipitation,12,,,,
05.04.2020 08:00,9.5,769.4,772.0,1.3,73,Wind blowing from the east-southeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,20.4,,,2500 or more  or no clouds.,,,20.0,4.9,No precipitation,12,,,,
05.04.2020 05:00,6.5,768.1,770.7,0.1,89,Wind blowing from the east-northeast,3,,11,,Cloud development not observed or not observable. ,,,6.5,20.4,,,2500 or more  or no clouds.,,,16.0,4.8,No precipitation,12,,,,
05.04.2020 02:00,7.9,768.0,770.5,-0.1,82,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,20.4,,,2500 or more  or no clouds.,,,17.0,5.0,No precipitation,12,,,,
04.04.2020 23:00,10.3,768.1,770.6,0.9,73,Wind blowing from the east,4,,11,,Cloud development not observed or not observable. ,,,7.9,20.4,,,2500 or more  or no clouds.,,,16.0,5.7,No precipitation,12,,,,
04.04.2020 20:00,14.8,767.2,769.8,1.3,69,Wind blowing from the east-northeast,8,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,20.4,,,2500 or more  or no clouds.,,,8.0,9.2,No precipitation,12,,,,
04.04.2020 17:00,19.6,765.9,768.4,-0.3,38,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,20.4,,,2500 or more  or no clouds.,,,15.0,4.9,No precipitation,12,,,,
04.04.2020 14:00,20.1,766.2,768.7,-0.9,44,Wind blowing from the east-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,20.2,,,2500 or more  or no clouds.,,,14.0,7.5,No precipitation,12,,,,
04.04.2020 11:00,18.2,767.1,769.6,0.6,45,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,18.7,,,2500 or more  or no clouds.,,,12.0,6.1,No precipitation,12,,,,
04.04.2020 08:00,11.4,766.5,769.0,1.7,99,Wind blowing from the north,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,18.7,,,2500 or more  or no clouds.,,,3.3,11.3,No precipitation,12,,,,
04.04.2020 05:00,8.4,764.8,767.3,0.0,99,Wind blowing from the south-southwest,1,,4,,Fog or ice fog. ,,,7.9,18.7,,,2500 or more  or no clouds.,,,2.7,8.3,No precipitation,12,,,,
04.04.2020 02:00,8.9,764.8,767.4,-0.3,99,Wind blowing from the south-east,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,18.7,,,2500 or more  or no clouds.,,,1.1,8.8,No precipitation,12,,,,
03.04.2020 23:00,10.9,765.1,767.7,0.4,94,Wind blowing from the south-east,1,,5,,Mist. ,,,9.2,18.7,,,2500 or more  or no clouds.,,,5.0,10.0,No precipitation,12,,,,
03.04.2020 20:00,15.0,764.7,767.2,0.8,69,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.7,,,2500 or more  or no clouds.,,,12.0,9.4,No precipitation,12,,,,
03.04.2020 17:00,16.8,763.9,766.4,-0.7,54,Wind blowing from the west-northwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.7,,,2500 or more  or no clouds.,,,14.0,7.5,No precipitation,12,,,,
03.04.2020 14:00,17.8,764.6,767.2,-1.8,48,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.3,,,2500 or more  or no clouds.,,,19.0,6.7,No precipitation,12,,,,
03.04.2020 11:00,16.0,766.4,769.0,0.6,48,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,17.8,,,2500 or more  or no clouds.,,,18.0,5.0,No precipitation,12,,,,
03.04.2020 08:00,12.9,765.8,768.4,0.7,73,Wind blowing from the east-northeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,17.8,,,2500 or more  or no clouds.,,,10.0,8.2,No precipitation,12,,,,
03.04.2020 05:00,9.9,765.1,767.7,-0.2,88,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,,,6.5,17.8,,,2500 or more  or no clouds.,,,9.0,8.0,No precipitation,12,,,,
03.04.2020 02:00,10.0,765.3,767.8,-0.5,86,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.8,,,2500 or more  or no clouds.,,,10.0,7.8,No precipitation,12,,,,
02.04.2020 23:00,11.5,765.8,768.4,0.4,73,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,,,6.5,17.8,,,2500 or more  or no clouds.,,,16.0,6.8,No precipitation,12,,,,
02.04.2020 20:00,13.4,765.4,767.9,1.5,60,Wind blowing from the east-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.8,,,2500 or more  or no clouds.,,,22.0,5.8,No precipitation,12,,,,
02.04.2020 17:00,16.0,763.9,766.5,-0.8,47,Wind blowing from the north-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.8,,,2500 or more  or no clouds.,,,30.0,4.7,No precipitation,12,,,,
02.04.2020 14:00,17.3,764.7,767.2,-1.8,45,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,17.4,,,2500 or more  or no clouds.,,,30.0,5.3,No precipitation,12,,,,
02.04.2020 11:00,15.3,766.5,769.0,0.5,47,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,15.7,,,2500 or more  or no clouds.,,,27.0,4.1,No precipitation,12,,,,
02.04.2020 08:00,10.3,766.0,768.5,1.3,69,Wind blowing from the east-northeast,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,15.7,,,2500 or more  or no clouds.,,,20.0,4.9,No precipitation,12,,,,
02.04.2020 05:00,7.2,764.7,767.2,-0.4,89,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,,,7.2,15.7,,,2500 or more  or no clouds.,,,12.0,5.5,No precipitation,12,,,,
02.04.2020 02:00,9.4,765.1,767.7,-0.5,87,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.7,,,2500 or more  or no clouds.,,,9.0,7.4,No precipitation,12,,,,
01.04.2020 23:00,12.1,765.6,768.1,1.1,81,Wind blowing from the east,2,,7,,Mist. ,,,8.9,15.7,,,2500 or more  or no clouds.,,,6.0,8.9,No precipitation,12,,,,
01.04.2020 20:00,13.3,764.5,767.1,0.6,86,Wind blowing from the north-east,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.7,,,2500 or more  or no clouds.,,,4.7,11.0,No precipitation,12,,,,
01.04.2020 17:00,15.1,763.9,766.4,0.0,75,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.7,,,2500 or more  or no clouds.,,,7.0,10.7,No precipitation,12,,,,
01.04.2020 14:00,14.9,763.9,766.5,-2.1,77,Wind blowing from the east-northeast,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.7,,,2500 or more  or no clouds.,,,7.0,10.9,No precipitation,12,,,,
01.04.2020 11:00,14.0,766.0,768.6,0.9,75,Wind blowing from the north-northeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,14.1,,,2500 or more  or no clouds.,,,9.0,9.6,0.1,12,,,,
01.04.2020 08:00,10.8,765.1,767.7,1.8,99,Wind blowing from the east-northeast,1,,3,,Mist. ,Rain.,Drizzle.,8.9,11.7,,,2500 or more  or no clouds.,,,2.5,10.7,0.4,12,,,,
01.04.2020 05:00,9.8,763.3,765.9,1.0,99,Wind blowing from the north-northeast,1,,3,,Mist. ,,,8.9,11.7,,,2500 or more  or no clouds.,,,2.0,9.7,4.0,12,,,,
01.04.2020 02:00,9.0,762.3,764.8,-0.5,99,Wind blowing from the north-northeast,2,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,11.7,,,2500 or more  or no clouds.,,,2.2,8.9,6.0,12,,,,
31.03.2020 23:00,10.1,762.8,765.4,1.9,99,Wind blowing from the north-northwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.8,11.7,,,2500 or more  or no clouds.,,,2.6,10.0,6.0,12,,,,
31.03.2020 20:00,10.0,760.9,763.4,1.2,99,Wind blowing from the east,2,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,11.7,,,300-600,,,1.9,9.9,6.0,12,,,,
31.03.2020 17:00,10.6,759.7,762.3,0.0,99,Wind blowing from the north-east,1,,5,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,11.7,,,300-600,,,2.0,10.5,2.0,12,,,,
31.03.2020 14:00,11.6,759.7,762.2,-1.5,88,Wind blowing from the east-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,11.7,,,1000-1500,,,7.0,9.7,Trace of precipitation,12,,,,
31.03.2020 11:00,10.9,761.2,763.8,0.0,91,Wind blowing from the east-southeast,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,11.5,,,2500 or more  or no clouds.,,,7.0,9.5,No precipitation,12,,,,
31.03.2020 08:00,10.4,761.2,763.7,0.1,90,Wind blowing from the east,3,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.5,,,2500 or more  or no clouds.,,,8.0,8.8,No precipitation,12,,,,
31.03.2020 05:00,9.9,761.1,763.6,-1.1,92,Wind blowing from the east-northeast,2,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,,11.5,,,2500 or more  or no clouds.,,,10.0,8.7,No precipitation,12,,,,
31.03.2020 02:00,9.9,762.2,764.8,-1.1,91,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.5,,,2500 or more  or no clouds.,,,12.0,8.5,No precipitation,12,,,,
30.03.2020 23:00,10.2,763.3,765.9,1.1,88,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,,11.5,,,2500 or more  or no clouds.,,,14.0,8.3,No precipitation,12,,,,
30.03.2020 20:00,10.5,762.2,764.8,0.5,85,Wind blowing from the east,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,11.5,,,1000-1500,,,13.0,8.1,No precipitation,12,,,,
30.03.2020 17:00,11.1,761.7,764.3,-1.0,75,Wind blowing from the east-northeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,11.5,,,1000-1500,,,18.0,6.8,No precipitation,12,,,,
30.03.2020 14:00,11.0,762.7,765.4,-1.0,75,Wind blowing from the east-northeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,11.0,,,1000-1500,,,21.0,6.7,No precipitation,12,,,,
30.03.2020 11:00,9.9,763.7,766.3,0.4,79,Wind blowing from the east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,10.1,,,1000-1500,,,18.0,6.3,No precipitation,12,,,,
30.03.2020 08:00,7.8,763.3,765.9,0.3,88,Wind blowing from the east,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,9.6,,,1000-1500,,,10.0,5.9,Trace of precipitation,12,,,,
30.03.2020 05:00,6.3,763.0,765.6,-0.3,91,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,,,5.4,,,,2500 or more  or no clouds.,,,10.0,4.9,No precipitation,12,,,,
30.03.2020 02:00,5.7,763.3,766.0,-0.2,90,Wind blowing from the east,0,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,9.6,,,2500 or more  or no clouds.,,,18.0,4.2,No precipitation,12,,,,
29.03.2020 23:00,5.5,763.5,766.1,0.6,90,Wind blowing from the south-east,1,,11,,Rain (not freezing) not falling as shower(s). ,,,5.4,9.6,,,2500 or more  or no clouds.,,,23.0,4.0,No precipitation,12,,,,
29.03.2020 20:00,5.6,762.9,765.5,0.5,90,Wind blowing from the east,2,,11,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,9.6,,,2500 or more  or no clouds.,,,25.0,4.1,Trace of precipitation,12,,,,
29.03.2020 17:00,6.1,762.4,765.1,-1.4,79,Wind blowing from the east,5,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,11.7,,,2500 or more  or no clouds.,,,20.0,2.7,No precipitation,12,,,,
29.03.2020 14:00,8.4,763.8,766.4,-0.7,60,Wind blowing from the east-southeast,4,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,,,,2500 or more  or no clouds.,,,24.0,1.1,Trace of precipitation,12,,,,
29.03.2020 11:00,9.0,764.5,767.2,0.6,69,Wind blowing from the south-east,4,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,,,,2500 or more  or no clouds.,,,14.0,3.6,No precipitation,12,,,,
29.03.2020 08:00,8.2,763.9,766.6,-0.3,80,Wind blowing from the east,3,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,1000-1500,,,14.0,5.0,Trace of precipitation,12,,,,
29.03.2020 05:00,7.3,764.2,766.8,-0.8,87,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,,,4.6,12.9,,,2500 or more  or no clouds.,,,15.0,5.3,No precipitation,12,,,,
29.03.2020 02:00,7.6,765.0,767.6,-0.7,82,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.9,,,2500 or more  or no clouds.,,,19.0,4.7,No precipitation,12,,,,
28.03.2020 23:00,7.6,765.7,768.4,-0.3,74,Wind blowing from the south-southeast,1,,7,,Cloud development not observed or not observable. ,,,4.6,12.9,,,2500 or more  or no clouds.,,,24.0,3.3,No precipitation,12,,,,
28.03.2020 20:00,8.6,766.0,768.6,0.4,60,Wind blowing from the south-east,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.9,,,2500 or more  or no clouds.,,,30.0,1.3,No precipitation,12,,,,
28.03.2020 17:00,11.7,765.6,768.2,-1.3,48,Wind blowing from the south-east,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.9,,,2500 or more  or no clouds.,,,28.0,1.1,No precipitation,12,,,,
28.03.2020 14:00,11.8,766.9,769.5,-2.0,45,Wind blowing from the east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.7,,,1000-1500,,,26.0,0.0,0.2,12,,,,
28.03.2020 11:00,9.4,768.9,771.5,-0.3,74,Wind blowing from the west-northwest,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,13.2,,,1000-1500,,,13.0,5.0,7.0,12,,,,
28.03.2020 08:00,5.1,769.2,771.8,1.3,92,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,13.2,,,2500 or more  or no clouds.,,,14.0,3.9,11.0,12,,,,
28.03.2020 05:00,4.7,767.9,770.5,0.5,91,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,,,4.7,13.2,,,2500 or more  or no clouds.,,,17.0,3.4,11.0,12,,,,
28.03.2020 02:00,5.2,767.4,770.0,-0.8,94,Wind blowing from the south-east,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,13.2,,,2500 or more  or no clouds.,,,5.0,4.3,11.0,12,,,,
27.03.2020 23:00,6.1,768.2,770.8,1.6,93,Wind blowing from the north-northeast,3,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,,,6.1,13.2,,,2500 or more  or no clouds.,,,4.8,5.1,5.0,12,,,,
27.03.2020 20:00,10.3,766.6,769.2,1.1,56,Wind blowing from the north-northeast,4,,13,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,14.9,,,2500 or more  or no clouds.,,,19.0,1.9,Trace of precipitation,12,,,,
27.03.2020 17:00,10.8,765.5,768.1,-0.2,56,Wind blowing from the north-northeast,4,,13,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,15.2,,,2500 or more  or no clouds.,,,21.0,2.4,No precipitation,12,,,,
27.03.2020 14:00,12.2,765.7,768.4,-1.8,50,Wind blowing from the north-east,5,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,16.4,,,2500 or more  or no clouds.,,,28.0,2.1,0.1,12,,,,
27.03.2020 11:00,10.6,767.5,770.2,1.4,58,Wind blowing from the north-east,4,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,,,,2500 or more  or no clouds.,,,29.0,2.7,0.4,12,,,,
