Local time in Mengshan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 05:00,12.0,747.6,764.2,-1.6,96,Wind blowing from the west-northwest,1,,7,,Rain  not freezing  intermittent  heavy at time of observation. ,,,11.6,12.8,,,2500 or more  or no clouds.,,,2.5,11.4,12.0,12,,,,
06.04.2020 02:00,12.3,749.2,765.7,,97,Wind blowing from the north-northwest,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,12.8,,,2500 or more  or no clouds.,,,3.0,11.8,2.0,12,,,,
05.04.2020 20:00,12.3,749.5,766.0,1.1,97,Wind blowing from the north-northwest,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.1,,,2500 or more  or no clouds.,,,3.4,11.8,14.0,12,,,,
05.04.2020 17:00,12.7,748.4,765.0,-1.4,94,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.2,,,2500 or more  or no clouds.,,,10.0,11.8,24.0,12,,,,
05.04.2020 14:00,12.4,749.8,766.4,,95,Wind blowing from the north-northwest,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.8,,,,,,10.0,11.6,13.0,6,,,,
05.04.2020 11:00,12.1,751.1,767.8,0.6,97,Wind blowing from the north-west,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,,,,2500 or more  or no clouds.,,,10.0,11.6,41.0,12,,,,
05.04.2020 08:00,11.6,750.5,767.1,1.0,97,Wind blowing from the north,2,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.8,,,2500 or more  or no clouds.,,,5.0,11.1,37.0,12,,,,
05.04.2020 05:00,11.6,749.5,766.1,-0.4,96,Wind blowing from the north-west,3,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,,,11.5,13.8,,,2500 or more  or no clouds.,,,8.0,11.0,28.0,12,,,,
05.04.2020 02:00,11.6,749.9,766.5,,96,Wind blowing from the north-northwest,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.8,,,2500 or more  or no clouds.,,,13.0,11.0,22.0,12,,,,
04.04.2020 20:00,13.0,749.9,766.5,1.0,93,Wind blowing from the north-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,13.8,,,2500 or more  or no clouds.,,,20.0,11.9,6.0,12,,,,
04.04.2020 17:00,13.3,748.9,765.4,,92,Wind blowing from the north-west,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,13.8,,,,,,12.0,12.0,4.0,6,,,,
04.04.2020 14:00,13.6,749.8,766.3,-1.0,91,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,13.8,,,2500 or more  or no clouds.,,,20.0,12.2,11.0,12,,,,
04.04.2020 11:00,13.4,750.8,767.4,0.7,89,Wind blowing from the north-west,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,13.5,,,2500 or more  or no clouds.,,,6.0,11.6,7.0,12,,,,
04.04.2020 08:00,12.7,750.1,766.7,1.0,95,Wind blowing from the north-northwest,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,13.5,,,2500 or more  or no clouds.,,,7.0,11.9,27.0,12,,,,
04.04.2020 05:00,12.7,749.1,765.7,,95,Wind blowing from the north-northwest,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,,13.5,,,,,,8.0,11.9,3.0,6,,,,
04.04.2020 02:00,13.1,748.9,765.5,,94,Wind blowing from the north,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.5,,,2500 or more  or no clouds.,,,11.0,12.2,27.0,12,,,,
03.04.2020 20:00,13.0,747.7,764.2,0.4,94,Wind blowing from the north-west,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,13.5,,,2500 or more  or no clouds.,,,21.0,12.1,16.0,12,,,,
03.04.2020 17:00,12.8,747.3,763.8,-1.0,96,Wind blowing from the north-west,4,,18,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,13.5,,,2500 or more  or no clouds.,,,8.0,12.2,40.0,12,,,,
03.04.2020 14:00,12.7,748.3,764.8,-1.2,96,Wind blowing from the west,2,,18,,Rain  not freezing  intermittent  moderate at time of observation. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,13.5,,,2500 or more  or no clouds.,,,3.8,12.1,36.0,12,,,,
03.04.2020 11:00,13.3,749.5,766.0,0.6,92,Wind blowing from the east-northeast,1,,18,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,13.5,,,2500 or more  or no clouds.,,,29.0,12.0,32.0,12,,,,
03.04.2020 08:00,12.0,748.9,765.5,1.9,97,Wind blowing from the north-northeast,2,,18,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,13.1,,,2500 or more  or no clouds.,,,11.0,11.5,32.0,12,,,,
03.04.2020 05:00,12.7,747.0,763.5,-0.7,96,Wind blowing from the north-northwest,3,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,,,12.4,13.1,,,2500 or more  or no clouds.,,,7.0,12.1,11.0,12,,,,
03.04.2020 02:00,12.8,747.7,764.2,,97,Wind blowing from the north-northwest,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,13.1,,,2500 or more  or no clouds.,,,5.0,12.3,14.0,12,,,,
02.04.2020 20:00,12.8,747.2,763.7,1.1,98,Wind blowing from the north-west,1,,11,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,13.3,,,2500 or more  or no clouds.,,,4.3,12.5,11.0,12,,,,
02.04.2020 17:00,13.1,746.1,762.6,-1.4,95,Wind blowing from the south,0,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,,,,2500 or more  or no clouds.,,,5.0,12.3,7.0,12,,,,
02.04.2020 14:00,12.9,747.5,764.0,-0.8,96,Wind blowing from the north-west,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,,,,2500 or more  or no clouds.,,,4.8,12.3,4.0,12,,,,
02.04.2020 11:00,12.9,748.3,764.8,,96,Wind blowing from the north,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,,,,,,,4.0,12.3,0.6,6,,,,
02.04.2020 08:00,12.6,747.7,764.2,1.3,96,Wind blowing from the north,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,,,,2500 or more  or no clouds.,,,5.0,12.0,2.0,12,,,,
02.04.2020 05:00,12.5,746.4,762.8,-0.6,95,Wind blowing from the north-northwest,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.2,15.8,,,2500 or more  or no clouds.,,,5.0,11.7,2.0,12,,,,
02.04.2020 02:00,12.7,747.0,763.4,,95,Wind blowing from the north-northwest,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,15.8,,,2500 or more  or no clouds.,,,3.4,11.9,0.6,12,,,,
01.04.2020 20:00,13.3,746.1,762.5,1.1,94,Wind blowing from the north-northwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.8,,,2500 or more  or no clouds.,,,3.7,12.4,0.1,12,,,,
01.04.2020 17:00,14.8,745.0,761.4,-0.8,84,Wind blowing from the west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.8,,,2500 or more  or no clouds.,,,9.0,12.1,No precipitation,12,,,,
01.04.2020 14:00,15.5,745.8,762.2,-1.8,76,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.8,,,2500 or more  or no clouds.,,,19.0,11.3,No precipitation,12,,,,
01.04.2020 11:00,15.4,747.6,764.1,0.0,71,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,15.4,,,2500 or more  or no clouds.,,,27.0,10.2,No precipitation,12,,,,
01.04.2020 08:00,13.0,747.6,764.1,1.4,79,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.6,,,2500 or more  or no clouds.,,,30.0,9.4,No precipitation,12,,,,
01.04.2020 05:00,12.4,746.2,762.6,-0.3,84,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,,,9.5,14.6,,,2500 or more  or no clouds.,,,27.0,9.8,No precipitation,12,,,,
01.04.2020 02:00,11.8,746.5,763.0,,88,Wind blowing from the north-northwest,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,14.6,,,2500 or more  or no clouds.,,,23.0,9.9,No precipitation,12,,,,
31.03.2020 20:00,12.2,745.8,762.4,0.8,88,Wind blowing from the north-northwest,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,14.6,,,,,,13.0,10.3,Trace of precipitation,12,,,,
31.03.2020 17:00,14.1,745.0,761.5,-1.0,75,Wind blowing from the west-northwest,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,14.1,,,600-1000,,,30.0,9.7,No precipitation,12,,,,
31.03.2020 14:00,12.4,746.0,762.6,,80,Wind blowing from the north-west,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,12.4,,,300-600,,,30.0,9.1,Trace of precipitation,6,,,,
31.03.2020 11:00,10.7,747.9,764.5,0.8,87,Wind blowing from the north-west,5,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,11.0,,,300-600,,,19.0,8.6,0.2,12,,,,
31.03.2020 08:00,9.7,747.1,763.7,1.8,93,Wind blowing from the north-west,4,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,11.0,,,300-600,,,12.0,8.6,0.6,12,,,,
31.03.2020 05:00,9.6,745.3,761.9,-0.1,94,Wind blowing from the north-west,4,,7,,Cloud development not observed or not observable. ,,,9.2,11.0,,,2500 or more  or no clouds.,,,13.0,8.7,0.8,12,,,,
31.03.2020 02:00,10.0,745.4,762.0,,95,Wind blowing from the north-west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.0,,,2500 or more  or no clouds.,,,6.0,9.2,0.6,12,,,,
30.03.2020 20:00,10.1,744.5,761.2,0.8,94,Wind blowing from the north-northwest,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.0,,,300-600,,,6.0,9.2,0.2,12,,,,
30.03.2020 17:00,10.5,743.7,760.3,-1.3,92,Wind blowing from the north-west,3,,7,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.0,,,300-600,,,11.0,9.3,No precipitation,12,,,,
30.03.2020 14:00,10.9,745.0,761.5,-1.8,89,Wind blowing from the north-west,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,10.9,,,300-600,,,24.0,9.2,No precipitation,12,,,,
30.03.2020 11:00,10.3,746.8,763.5,0.2,88,Wind blowing from the north-west,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.1,,,300-600,,,26.0,8.4,No precipitation,12,,,,
30.03.2020 08:00,9.5,746.6,763.3,1.3,91,Wind blowing from the north-west,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,,,,300-600,,,30.0,8.1,Trace of precipitation,12,,,,
30.03.2020 05:00,9.3,745.3,762.0,-0.5,92,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,,,9.3,,,,2500 or more  or no clouds.,,,19.0,8.1,1.0,12,,,,
30.03.2020 02:00,9.6,745.8,762.4,,91,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,2500 or more  or no clouds.,,,28.0,8.2,3.0,12,,,,
29.03.2020 20:00,9.4,744.9,761.5,1.1,93,Wind blowing from the north-west,4,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,15.2,,,300-600,,,30.0,8.3,10.0,12,,,,
29.03.2020 17:00,9.9,743.8,760.3,-0.2,93,Wind blowing from the north-west,5,,11,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,9.9,16.0,,,300-600,,,25.0,8.8,12.0,12,,,,
29.03.2020 14:00,10.6,744.0,760.5,-1.1,95,Wind blowing from the north-west,5,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,,,,300-600,,,5.0,9.8,12.0,12,,,,
29.03.2020 11:00,11.1,745.1,761.6,1.0,95,Wind blowing from the north-northwest,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,,,,300-600,,,6.0,10.3,8.0,12,,,,
29.03.2020 08:00,12.6,744.1,760.4,,98,Wind blowing from the south-southeast,1,,5,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,17.9,,,300-600,,,3.2,12.3,5.0,6,,,,
29.03.2020 05:00,12.3,743.8,760.2,-1.5,97,Wind blowing from the east-southeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.8,17.9,,,2500 or more  or no clouds.,,,2.8,11.8,3.0,12,,,,
29.03.2020 02:00,11.9,745.3,761.7,,94,Wind blowing from the north-northwest,2,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.9,,,2500 or more  or no clouds.,,,4.6,11.0,1.0,12,,,,
28.03.2020 20:00,15.3,744.7,761.0,0.6,73,Wind blowing from the north-west,3,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,18.7,,,1500-2000,,,28.0,10.5,No precipitation,12,,,,
28.03.2020 17:00,16.0,744.1,760.4,-2.1,69,Wind blowing from the north-west,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,,,,1000-1500,,,30.0,10.3,No precipitation,12,,,,
28.03.2020 14:00,17.0,746.2,762.5,-2.5,65,Wind blowing from the north-west,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,,,,1000-1500,,,30.0,10.4,No precipitation,12,,,,
28.03.2020 11:00,15.3,748.7,765.1,0.3,71,Wind blowing from the north-west,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,,,,1500-2000,,,30.0,10.1,No precipitation,12,,,,
28.03.2020 08:00,13.2,748.4,764.8,1.3,81,Wind blowing from the north-west,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,25.6,,,1500-2000,,,30.0,10.0,No precipitation,12,,,,
28.03.2020 05:00,13.7,747.1,763.2,,85,Wind blowing from the north-west,6,,12,, ,,,13.7,25.6,,,,,,30.0,11.2,No precipitation,6,,,,
28.03.2020 02:00,15.5,746.7,762.7,,90,Wind blowing from the north-west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,25.6,,,2500 or more  or no clouds.,,,26.0,13.9,12.0,12,,,,
27.03.2020 20:00,18.6,743.4,759.4,3.2,93,Wind blowing from the north-northwest,5,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,25.6,,,300-600,,,5.0,17.4,12.0,12,,,,
27.03.2020 17:00,25.5,740.2,756.0,,80,Wind blowing from the east,2,,6,90  or more  but not 100%, ,,,20.8,25.6,,,1500-2000,,,17.0,21.8,No precipitation,6,,,,
27.03.2020 14:00,24.7,741.2,757.0,-2.0,82,Wind blowing from the east-southeast,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,24.8,,,1000-1500,,,24.0,21.4,0.1,12,,,,
27.03.2020 11:00,22.5,743.2,759.1,0.6,93,Wind blowing from the south,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,24.7,,,300-600,,,12.0,21.3,1.0,12,,,,
27.03.2020 08:00,21.4,742.6,758.5,,99,Wind blowing from the south,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,24.7,,,300-600,,,1.3,21.2,0.1,6,,,,
27.03.2020 05:00,21.0,741.8,757.6,-0.8,99,Wind blowing from the north-northwest,1,,6,,Mist. ,,,18.2,24.7,,,2500 or more  or no clouds.,,,1.0,20.8,22.0,12,,,,
27.03.2020 02:00,21.2,742.6,758.5,,99,Wind blowing from the west-northwest,1,,6,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,24.7,,,2500 or more  or no clouds.,,,0.3,21.0,22.0,12,,,,
26.03.2020 20:00,22.7,741.7,757.6,0.8,95,Wind blowing from the south-east,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,24.7,,,300-600,,,6.0,21.9,0.3,12,,,,
26.03.2020 17:00,24.5,740.9,756.8,,80,Wind blowing from the east-southeast,2,,5,90  or more  but not 100%, ,,,17.7,24.7,,,600-1000,,,21.0,20.8,No precipitation,6,,,,
26.03.2020 14:00,21.9,742.5,758.5,-1.6,88,Wind blowing from the south,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,21.9,,,300-600,,,23.0,19.8,0.3,12,,,,
26.03.2020 11:00,20.2,744.1,760.3,,92,Wind blowing from the south-southeast,1,,4,100%., ,,,17.7,20.9,,,300-600,,,30.0,18.9,0.2,6,,,,
26.03.2020 08:00,18.6,743.6,759.7,1.3,98,Wind blowing from the south-southwest,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,,,,300-600,,,5.0,18.3,0.3,12,,,,
26.03.2020 05:00,18.2,742.3,758.4,,98,Wind blowing from the south-west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.7,20.9,,,,,,9.0,17.9,0.1,6,,,,
26.03.2020 02:00,18.1,743.2,759.3,,98,Wind blowing from the south,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,20.9,,,,,,4.2,17.8,No precipitation,6,,,,
25.03.2020 20:00,18.3,742.1,758.2,-1.1,96,Wind blowing from the east-northeast,1,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,20.9,,,300-600,,,15.0,17.7,35.0,12,,,,
25.03.2020 17:00,19.3,743.2,759.2,,96,Wind blowing from the north,4,,7,100%.,Rain  not freezing  intermittent  heavy at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,20.9,,,300-600,,,4.1,18.6,13.0,6,,,,
