Local time in Naqu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,3.1,438.7,759.3,-1.4,10,Wind blowing from the west-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,3.5,,,2500 or more  or no clouds.,,,30.0,-25.6,No precipitation,12,,,,
06.04.2020 14:00,1.2,440.1,760.9,-1.4,16,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,2.4,,,2500 or more  or no clouds.,,,30.0,-21.9,No precipitation,12,,,,
06.04.2020 11:00,-2.7,441.5,764.6,0.7,48,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,3.2,,,2500 or more  or no clouds.,,,15.0,-12.2,No precipitation,12,,,,
06.04.2020 08:00,-11.9,440.8,768.5,0.6,81,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,3.2,,,2500 or more  or no clouds.,,,6.0,-14.6,No precipitation,12,,,,
06.04.2020 05:00,-10.1,440.2,767.2,-0.8,77,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,,,-10.1,3.2,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
06.04.2020 02:00,-7.3,441.0,763.2,-0.2,71,Wind blowing from the south-east,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,3.2,,,2500 or more  or no clouds.,,,30.0,-11.8,0.5,12,,,,
05.04.2020 23:00,-5.0,441.2,762.6,1.2,69,Wind blowing from the west-southwest,2,,14,,Cloud development not observed or not observable. ,,,-8.1,3.2,,,2500 or more  or no clouds.,,,29.0,-9.8,0.5,12,,,,
05.04.2020 20:00,-2.5,440.0,764.0,0.6,55,Wind blowing from the north-west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,3.2,,,2500 or more  or no clouds.,,,29.0,-10.3,0.5,12,,,,
05.04.2020 17:00,-4.0,439.4,763.3,0.0,81,Wind blowing from the north-northwest,4,,14,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,3.2,,,2500 or more  or no clouds.,,,1.9,-6.8,0.5,12,,,,
05.04.2020 14:00,0.5,439.4,759.4,-0.7,29,Wind blowing from the north-west,3,,9,,Rain and snow or ice pellets not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,3.2,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
05.04.2020 11:00,-0.7,440.1,760.6,0.5,40,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,1.6,,,2500 or more  or no clouds.,,,20.0,-12.9,No precipitation,12,,,,
05.04.2020 08:00,-7.9,439.6,762.8,0.1,64,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,1.6,,,2500 or more  or no clouds.,,,17.0,-13.5,No precipitation,12,,,,
05.04.2020 05:00,-6.8,439.5,759.8,-1.0,56,Wind blowing from the north-east,1,,11,,Cloud development not observed or not observable. ,,,-8.2,1.6,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
05.04.2020 02:00,-6.0,440.5,762.4,-0.2,52,Wind blowing from the north-east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,1.6,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
04.04.2020 23:00,-4.9,440.7,763.0,0.8,45,Wind blowing from the east-southeast,3,,12,,Cloud development not observed or not observable. ,,,-8.2,1.6,,,2500 or more  or no clouds.,,,21.0,-15.0,No precipitation,12,,,,
04.04.2020 20:00,-1.7,439.9,763.3,0.4,38,Wind blowing from the east-southeast,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,1.6,,,2500 or more  or no clouds.,,,23.0,-14.2,No precipitation,12,,,,
04.04.2020 17:00,1.0,439.5,759.0,-1.2,22,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,3.8,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
04.04.2020 14:00,-1.0,440.7,760.8,-0.6,24,Wind blowing from the north-northwest,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,4.2,,,2500 or more  or no clouds.,,,30.0,-19.0,No precipitation,12,,,,
04.04.2020 11:00,-2.5,441.3,761.5,0.8,41,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,4.2,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
04.04.2020 08:00,-7.8,440.5,,1.0,64,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.2,,,2500 or more  or no clouds.,,,24.0,-13.4,No precipitation,12,,,,
04.04.2020 05:00,-5.7,439.5,757.5,-0.2,49,Wind blowing from the north,2,,13,,Cloud development not observed or not observable. ,,,-8.3,4.2,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
04.04.2020 02:00,-3.5,439.7,757.2,,39,Wind blowing from the north-west,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.2,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
03.04.2020 17:00,3.1,437.0,752.5,-1.1,11,Wind blowing from the west-southwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.2,,,2500 or more  or no clouds.,,,30.0,-24.6,,,,,,
03.04.2020 14:00,1.7,438.1,754.3,-0.5,31,Wind blowing from the south,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.5,,,2500 or more  or no clouds.,,,30.0,-13.6,1.0,12,,,,
03.04.2020 11:00,-1.2,438.6,757.4,0.6,50,Wind blowing from the east-southeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.5,,,2500 or more  or no clouds.,,,17.0,-10.5,1.0,12,,,,
03.04.2020 08:00,-8.2,438.0,758.6,0.9,84,Wind blowing from the east-southeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,4.5,,,2500 or more  or no clouds.,,,7.0,-10.4,1.0,12,,,,
03.04.2020 05:00,-4.8,437.1,752.5,-0.3,80,Wind blowing from the south-east,2,,13,,Snow not falling as shower(s). ,,,-5.0,4.5,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
03.04.2020 02:00,-3.4,437.4,752.9,0.0,46,Wind blowing from the east-southeast,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,4.5,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
02.04.2020 23:00,-3.4,437.4,755.2,0.9,49,Wind blowing from the east,1,,15,,Cloud development not observed or not observable. ,,,-4.2,4.5,,,2500 or more  or no clouds.,,,17.0,-12.6,No precipitation,12,,,,
02.04.2020 20:00,0.4,436.5,752.6,0.4,31,Wind blowing from the north-west,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,4.5,,,2500 or more  or no clouds.,,,30.0,-14.8,,,,,,
02.04.2020 17:00,3.4,436.1,749.0,-1.3,17,Wind blowing from the west-southwest,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,7.0,,,2500 or more  or no clouds.,,,23.0,-19.4,2.0,12,,,,
02.04.2020 14:00,1.9,437.4,751.3,-0.6,29,Wind blowing from the west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,7.2,,,2500 or more  or no clouds.,,,30.0,-14.3,2.0,12,,,,
02.04.2020 11:00,-1.2,438.0,753.9,0.9,55,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,,,,2500 or more  or no clouds.,,,30.0,-9.3,2.0,12,,,,
02.04.2020 08:00,-3.6,437.1,751.6,0.3,85,Wind blowing from the west-southwest,3,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,7.8,,,2500 or more  or no clouds.,,,5.0,-5.8,2.0,12,,,,
02.04.2020 05:00,-2.5,436.8,747.7,-0.6,64,Wind blowing from the east-northeast,1,,11,,Cloud development not observed or not observable. ,,,-11.1,7.8,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
02.04.2020 02:00,-1.2,437.4,748.3,-0.5,60,Wind blowing from the south-southeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,7.8,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
01.04.2020 23:00,-0.2,437.9,751.1,1.2,48,Wind blowing from the south-west,2,,,,Cloud development not observed or not observable. ,,,-11.1,7.8,,,2500 or more  or no clouds.,,,29.0,-10.1,No precipitation,12,,,,
01.04.2020 20:00,3.2,436.7,756.4,0.4,28,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,7.8,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
01.04.2020 17:00,7.1,436.3,752.1,-1.7,8,Wind blowing from the south-west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,7.8,,,2500 or more  or no clouds.,,,30.0,-25.0,No precipitation,12,,,,
01.04.2020 14:00,6.3,438.0,753.3,-2.1,8,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,7.8,,,2500 or more  or no clouds.,,,30.0,-25.6,No precipitation,12,,,,
01.04.2020 11:00,2.5,440.1,755.8,0.0,22,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,6.1,,,2500 or more  or no clouds.,,,26.0,-17.1,No precipitation,12,,,,
01.04.2020 08:00,-11.0,440.1,762.7,0.2,54,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,6.1,,,2500 or more  or no clouds.,,,8.0,-18.5,No precipitation,12,,,,
01.04.2020 05:00,-9.9,439.9,760.3,-0.5,49,Wind blowing from the north,2,,14,,Cloud development not observed or not observable. ,,,-11.4,6.1,,,2500 or more  or no clouds.,,,30.0,-18.8,No precipitation,12,,,,
01.04.2020 02:00,-6.9,440.4,758.4,-0.3,41,Wind blowing from the north-west,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,6.1,,,2500 or more  or no clouds.,,,11.0,-18.2,No precipitation,12,,,,
31.03.2020 23:00,-1.5,440.7,758.3,1.2,26,Wind blowing from the south-east,1,,14,,Cloud development not observed or not observable. ,,,-11.4,6.1,,,2500 or more  or no clouds.,,,15.0,-18.5,No precipitation,12,,,,
31.03.2020 20:00,2.7,439.5,761.9,0.4,18,Wind blowing from the north-west,3,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,6.1,,,1500-2000,,,21.0,-19.3,No precipitation,12,,,,
31.03.2020 17:00,4.4,439.1,759.2,-0.8,16,Wind blowing from the west,5,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,5.9,,,1500-2000,,,30.0,-19.2,No precipitation,12,,,,
31.03.2020 14:00,5.0,439.9,758.8,-0.8,11,Wind blowing from the west-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,5.7,,,2500 or more  or no clouds.,,,30.0,-23.1,No precipitation,12,,,,
31.03.2020 11:00,0.4,440.7,760.0,0.7,15,Wind blowing from the south-west,2,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,2.5,,,1500-2000,,,22.0,-23.3,No precipitation,12,,,,
31.03.2020 08:00,-11.3,440.0,764.0,0.3,36,Wind blowing from the north-east,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,2.5,,,,,,14.0,-23.4,No precipitation,12,,,,
31.03.2020 05:00,-10.4,439.7,761.9,-0.9,30,Wind blowing from the north-east,2,,18,,Cloud development not observed or not observable. ,,,-10.4,2.5,,,2500 or more  or no clouds.,,,29.0,-24.7,No precipitation,12,,,,
31.03.2020 02:00,-8.5,440.6,762.9,-0.3,24,Wind blowing from the east,1,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,2.5,,,2500 or more  or no clouds.,,,30.0,-25.5,No precipitation,12,,,,
30.03.2020 23:00,-3.7,440.9,761.8,0.5,13,Wind blowing from the south-southwest,1,,18,,Cloud development not observed or not observable. ,,,-3.7,2.5,,,2500 or more  or no clouds.,,,30.0,-28.2,No precipitation,12,,,,
30.03.2020 20:00,0.9,440.4,758.8,0.1,9,Wind blowing from the west-northwest,4,,18,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,4.2,,,1500-2000,,,30.0,-28.5,No precipitation,12,,,,
30.03.2020 17:00,2.1,440.3,756.1,-0.3,8,Wind blowing from the west-northwest,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,10.7,,,2500 or more  or no clouds.,,,30.0,-28.8,No precipitation,12,,,,
30.03.2020 14:00,1.0,440.6,755.5,0.3,11,Wind blowing from the west-northwest,8,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,,,,1500-2000,,,30.0,-26.2,No precipitation,12,,,,
30.03.2020 11:00,-1.6,440.3,756.8,1.3,24,Wind blowing from the west-northwest,5,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,,,,1500-2000,,,30.0,-19.5,No precipitation,12,,,,
30.03.2020 08:00,-3.3,439.0,754.0,1.8,30,Wind blowing from the west,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,14.9,,,1500-2000,,,30.0,-18.4,No precipitation,12,,,,
30.03.2020 05:00,-0.9,437.2,746.2,0.2,17,Wind blowing from the west-northwest,4,,15,,Cloud development not observed or not observable. ,,,-8.2,14.9,,,2500 or more  or no clouds.,,,30.0,-22.9,No precipitation,12,,,,
30.03.2020 02:00,1.6,437.0,746.1,0.9,11,Wind blowing from the west-northwest,4,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,14.9,,,2500 or more  or no clouds.,,,30.0,-25.7,No precipitation,12,,,,
29.03.2020 23:00,1.7,436.1,747.8,0.8,12,Wind blowing from the south-southwest,1,,21,,Cloud development not observed or not observable. ,,,-8.2,14.9,,,2500 or more  or no clouds.,,,10.0,-24.7,No precipitation,12,,,,
29.03.2020 20:00,4.2,435.3,751.2,-1.1,8,Wind blowing from the north-west,3,,21,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,14.9,,,1500-2000,,,30.0,-27.2,No precipitation,12,,,,
29.03.2020 17:00,8.5,436.4,747.7,-2.5,7,Wind blowing from the west,9,,21,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,14.9,,,2500 or more  or no clouds.,,,30.0,-25.0,No precipitation,12,,,,
29.03.2020 14:00,5.7,438.9,750.5,-1.5,,Wind blowing from the west,9,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,11.5,,,2500 or more  or no clouds.,,,27.0,,No precipitation,12,,,,
29.03.2020 11:00,0.9,440.4,755.9,0.8,9,Wind blowing from the west-southwest,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,11.5,,,,,,30.0,-28.5,No precipitation,12,,,,
29.03.2020 08:00,-8.1,439.6,756.8,1.0,22,Wind blowing from the south-west,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,11.5,,,,,,30.0,-26.1,No precipitation,12,,,,
29.03.2020 05:00,-5.1,438.6,750.3,0.0,17,Wind blowing from the south-west,2,,17,,Cloud development not observed or not observable. ,,,-5.1,11.5,,,2500 or more  or no clouds.,,,30.0,-26.4,No precipitation,12,,,,
29.03.2020 02:00,0.0,438.6,748.0,0.9,12,Wind blowing from the west,4,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,11.5,,,2500 or more  or no clouds.,,,30.0,-26.1,No precipitation,12,,,,
28.03.2020 23:00,0.6,437.7,747.6,2.2,12,Wind blowing from the north-west,2,,19,,Cloud development not observed or not observable. ,,,0.1,11.5,,,2500 or more  or no clouds.,,,10.0,-25.6,No precipitation,12,,,,
28.03.2020 20:00,6.6,435.5,743.8,0.2,8,Wind blowing from the north-west,6,,19,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.5,,,1500-2000,,,13.0,-25.4,No precipitation,12,,,,
28.03.2020 17:00,10.4,435.3,740.4,-1.9,9,Wind blowing from the west,6,,19,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.5,,,2500 or more  or no clouds.,,,30.0,-21.2,No precipitation,12,,,,
28.03.2020 14:00,8.4,437.2,742.3,-1.4,19,Wind blowing from the west,9,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.3,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
28.03.2020 11:00,6.4,438.6,746.2,0.0,27,Wind blowing from the west-southwest,7,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.3,,,1500-2000,,,30.0,-11.2,No precipitation,12,,,,
28.03.2020 08:00,0.2,438.6,748.0,0.1,44,Wind blowing from the south-west,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,11.3,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
28.03.2020 05:00,0.9,438.5,746.1,-0.7,45,Wind blowing from the south-west,3,,12,,Cloud development not observed or not observable. ,,,,11.3,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
28.03.2020 02:00,4.9,439.2,745.9,-0.5,28,Wind blowing from the south-west,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.3,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
27.03.2020 23:00,4.8,439.7,751.2,0.3,24,Wind blowing from the west-southwest,2,,15,,Cloud development not observed or not observable. ,,,,11.3,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
27.03.2020 20:00,8.1,439.4,757.1,-0.7,12,Wind blowing from the west,2,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,11.3,,,1500-2000,,,16.0,-19.6,No precipitation,12,,,,
27.03.2020 17:00,10.1,440.1,755.6,-2.1,10,Wind blowing from the west,3,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,10.7,,,1500-2000,,,30.0,-20.2,No precipitation,12,,,,
27.03.2020 14:00,8.2,442.2,758.6,-0.9,11,Wind blowing from the west,6,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,8.9,,,1500-2000,,,30.0,-20.6,No precipitation,12,,,,
