Local time in Delingha,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,3.5,533.1,763.6,0.8,30,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,8.9,,,2500 or more  or no clouds.,,,17.0,-12.4,No precipitation,12,,,,
06.04.2020 08:00,-0.5,532.3,763.0,0.7,43,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,8.9,,,2500 or more  or no clouds.,,,16.0,-11.8,No precipitation,12,,,,
06.04.2020 05:00,-0.6,531.6,760.6,-0.3,51,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,-4.2,8.9,,,2500 or more  or no clouds.,,,25.0,-9.5,No precipitation,12,,,,
06.04.2020 02:00,0.7,531.9,760.9,,46,Wind blowing from the north-northeast,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.9,,,2500 or more  or no clouds.,,,25.0,-9.6,No precipitation,12,,,,
05.04.2020 20:00,5.7,531.6,763.6,0.2,31,Wind blowing from the north,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.9,,,2500 or more  or no clouds.,,,24.0,-10.1,No precipitation,12,,,,
05.04.2020 17:00,8.6,531.4,761.8,-1.3,22,Wind blowing from the west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.9,,,2500 or more  or no clouds.,,,19.0,-11.9,No precipitation,12,,,,
05.04.2020 14:00,7.6,532.7,763.3,-1.4,20,Wind blowing from the south-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.2,,,2500 or more  or no clouds.,,,18.0,-13.9,No precipitation,12,,,,
05.04.2020 11:00,3.7,534.1,766.2,0.4,27,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.2,,,2500 or more  or no clouds.,,,13.0,-13.6,No precipitation,12,,,,
05.04.2020 08:00,-3.9,533.7,766.6,0.7,47,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.2,,,2500 or more  or no clouds.,,,12.0,-13.6,No precipitation,12,,,,
05.04.2020 05:00,-3.8,533.0,764.8,-0.3,42,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-3.9,8.2,,,2500 or more  or no clouds.,,,19.0,-15.1,No precipitation,12,,,,
05.04.2020 02:00,-1.9,533.3,764.8,,36,Wind blowing from the south,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.2,,,2500 or more  or no clouds.,,,17.0,-15.0,No precipitation,12,,,,
04.04.2020 20:00,5.9,532.8,764.3,0.3,17,Wind blowing from the south-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.2,,,2500 or more  or no clouds.,,,19.0,-17.3,No precipitation,12,,,,
04.04.2020 17:00,7.2,532.5,763.2,-1.3,17,Wind blowing from the south-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.2,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
04.04.2020 14:00,6.3,533.8,765.0,-1.1,19,Wind blowing from the south-east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.1,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
04.04.2020 11:00,3.2,534.9,766.0,0.9,22,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.1,,,2500 or more  or no clouds.,,,26.0,-16.5,No precipitation,12,,,,
04.04.2020 08:00,-2.0,534.0,766.6,0.9,53,Wind blowing from the east-southeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.1,,,2500 or more  or no clouds.,,,15.0,-10.5,No precipitation,12,,,,
04.04.2020 05:00,-2.0,533.1,764.5,-0.2,41,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,,,-2.1,7.1,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
04.04.2020 02:00,-0.8,533.3,764.5,,39,Wind blowing from the north-west,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,7.1,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
03.04.2020 20:00,4.7,531.9,762.1,0.7,28,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,8.8,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
03.04.2020 17:00,6.2,531.2,760.1,-0.4,30,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,10.3,,,2500 or more  or no clouds.,,,29.0,-10.1,No precipitation,12,,,,
03.04.2020 14:00,5.7,531.6,760.0,-0.5,28,Wind blowing from the east-southeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,11.3,,,2500 or more  or no clouds.,,,16.0,-11.4,No precipitation,12,,,,
03.04.2020 11:00,2.6,532.1,762.2,1.5,34,Wind blowing from the south-east,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,,,,2500 or more  or no clouds.,,,25.0,-11.7,No precipitation,12,,,,
03.04.2020 08:00,1.0,530.6,758.2,1.6,48,Wind blowing from the east,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,11.3,,,2500 or more  or no clouds.,,,27.0,-9.0,No precipitation,12,,,,
03.04.2020 05:00,1.5,529.0,755.2,0.2,46,Wind blowing from the east,5,,12,,Cloud development not observed or not observable. ,,,-2.8,11.3,,,2500 or more  or no clouds.,,,21.0,-9.1,No precipitation,12,,,,
03.04.2020 02:00,3.3,528.8,753.8,,38,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,11.3,,,2500 or more  or no clouds.,,,21.0,-9.7,No precipitation,12,,,,
02.04.2020 20:00,8.8,527.4,754.8,0.4,19,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,11.3,,,2500 or more  or no clouds.,,,23.0,-13.6,No precipitation,12,,,,
02.04.2020 17:00,10.1,527.0,754.1,-1.2,17,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,12.0,,,2500 or more  or no clouds.,,,26.0,-13.9,No precipitation,12,,,,
02.04.2020 14:00,10.5,528.2,754.3,-1.2,17,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,12.0,,,2500 or more  or no clouds.,,,25.0,-13.5,No precipitation,12,,,,
02.04.2020 11:00,6.2,529.4,756.1,0.7,22,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,12.0,,,2500 or more  or no clouds.,,,19.0,-13.9,No precipitation,12,,,,
02.04.2020 08:00,-1.2,528.7,756.5,0.5,39,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.0,,,2500 or more  or no clouds.,,,23.0,-13.4,No precipitation,12,,,,
02.04.2020 05:00,-2.4,528.2,755.2,-0.1,44,Wind blowing from the north-east,0,,10,,Cloud development not observed or not observable. ,,,-4.2,12.0,,,2500 or more  or no clouds.,,,26.0,-13.0,No precipitation,12,,,,
02.04.2020 02:00,0.4,528.3,755.3,,37,Wind blowing from the north,0,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,12.0,,,2500 or more  or no clouds.,,,23.0,-12.6,No precipitation,12,,,,
01.04.2020 20:00,9.1,526.8,755.0,0.3,17,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,12.0,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
01.04.2020 17:00,11.5,526.5,752.2,-1.7,15,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,11.5,,,2500 or more  or no clouds.,,,22.0,-14.2,No precipitation,12,,,,
01.04.2020 14:00,8.9,528.2,753.5,-1.8,18,Wind blowing from the south-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,9.2,,,2500 or more  or no clouds.,,,23.0,-14.1,No precipitation,12,,,,
01.04.2020 11:00,4.2,530.0,757.9,0.5,28,Wind blowing from the south-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,9.2,,,2500 or more  or no clouds.,,,16.0,-12.7,No precipitation,12,,,,
01.04.2020 08:00,-4.0,529.5,760.6,0.8,67,Wind blowing from the north-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,9.2,,,2500 or more  or no clouds.,,,17.0,-9.2,No precipitation,12,,,,
01.04.2020 05:00,-1.2,528.7,756.7,-0.5,61,Wind blowing from the east-southeast,0,,13,,Cloud development not observed or not observable. ,,,-2.1,9.2,,,2500 or more  or no clouds.,,,21.0,-7.8,No precipitation,12,,,,
01.04.2020 02:00,3.8,529.2,755.8,,30,Wind blowing from the west,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.2,,,2500 or more  or no clouds.,,,29.0,-12.2,No precipitation,12,,,,
31.03.2020 20:00,6.0,528.3,757.2,0.1,10,Wind blowing from the west,2,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.2,,,1000-1500,,,23.0,-23.4,Trace of precipitation,12,,,,
31.03.2020 17:00,8.8,528.2,755.6,-0.8,10,Wind blowing from the west,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.9,,,2500 or more  or no clouds.,,,21.0,-21.2,Trace of precipitation,12,,,,
31.03.2020 14:00,7.1,529.0,758.2,-1.1,26,Wind blowing from the west-southwest,4,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,10.0,,,1000-1500,,,10.0,-11.1,Trace of precipitation,12,,,,
31.03.2020 11:00,3.6,530.1,759.9,0.6,37,Wind blowing from the south-west,2,,4,90  or more  but not 100%,Shower(s) of snow  or of rain and snow. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,10.0,,,1000-1500,,,15.0,-9.7,Trace of precipitation,12,,,,
31.03.2020 08:00,-0.9,529.5,759.0,0.6,33,Wind blowing from the west-southwest,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,10.0,,,1000-1500,,,12.0,-15.2,No precipitation,12,,,,
31.03.2020 05:00,-0.6,528.9,756.2,-0.9,30,Wind blowing from the south-east,2,,11,,Cloud development not observed or not observable. ,,,-3.4,10.0,,,2500 or more  or no clouds.,,,16.0,-16.0,No precipitation,12,,,,
31.03.2020 02:00,-1.8,529.8,759.0,,32,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,10.0,,,2500 or more  or no clouds.,,,22.0,-16.3,No precipitation,12,,,,
30.03.2020 20:00,6.0,528.7,758.9,0.6,14,Wind blowing from the west-southwest,2,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,10.0,,,1000-1500,,,22.0,-19.5,No precipitation,12,,,,
30.03.2020 17:00,9.5,528.1,755.6,-1.3,11,Wind blowing from the west-southwest,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,10.0,,,1000-1500,,,21.0,-19.5,No precipitation,12,,,,
30.03.2020 14:00,7.7,529.4,757.8,-1.0,21,Wind blowing from the west,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,8.2,,,1000-1500,,,10.0,-13.3,No precipitation,12,,,,
30.03.2020 11:00,3.5,530.4,760.3,1.1,29,Wind blowing from the south,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,8.2,,,2500 or more  or no clouds.,,,19.0,-12.9,No precipitation,12,,,,
30.03.2020 08:00,-3.1,529.3,760.0,1.2,60,Wind blowing from the north,0,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,8.2,,,1000-1500,,,15.0,-9.8,No precipitation,12,,,,
30.03.2020 05:00,-1.6,528.1,756.8,0.7,52,Wind blowing from the east,0,,7,,Cloud development not observed or not observable. ,,,-1.8,8.2,,,2500 or more  or no clouds.,,,25.0,-10.2,No precipitation,12,,,,
30.03.2020 02:00,-0.5,527.4,755.4,,56,Wind blowing from the north-northeast,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,8.2,,,2500 or more  or no clouds.,,,21.0,-8.2,No precipitation,12,,,,
29.03.2020 20:00,5.5,526.5,754.6,0.6,47,Wind blowing from the west-southwest,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,8.2,,,1000-1500,,,30.0,-4.9,0.3,12,,,,
29.03.2020 17:00,7.1,525.9,753.1,-1.0,39,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,8.7,,,2500 or more  or no clouds.,,,30.0,-5.9,0.3,12,,,,
29.03.2020 14:00,6.9,526.9,754.0,-1.7,48,Wind blowing from the south-southwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,9.1,,,2500 or more  or no clouds.,,,22.0,-3.6,0.3,12,,,,
29.03.2020 11:00,1.8,528.6,757.9,0.1,76,Wind blowing from the north-northeast,1,,5,no clouds,Shower(s) of rain and snow mixed  slight. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,,,,,,,9.0,-2.0,0.3,12,,,,
29.03.2020 08:00,-0.3,528.5,756.7,0.2,76,Wind blowing from the north,1,,7,100%.,Cloud development not observed or not observable. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,9.1,,,2500 or more  or no clouds.,,,30.0,-4.0,Trace of precipitation,12,,,,
29.03.2020 05:00,-0.5,528.3,755.8,-0.6,77,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,,,-0.7,9.1,,,2500 or more  or no clouds.,,,30.0,-4.0,No precipitation,12,,,,
29.03.2020 02:00,0.9,528.9,756.2,,71,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,9.1,,,2500 or more  or no clouds.,,,30.0,-3.8,No precipitation,12,,,,
28.03.2020 20:00,7.0,527.0,754.2,1.4,30,Wind blowing from the west,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,9.1,,,1000-1500,,,30.0,-9.4,No precipitation,12,,,,
28.03.2020 17:00,8.6,525.6,751.0,-0.9,24,Wind blowing from the west-southwest,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,12.1,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
28.03.2020 14:00,8.0,526.5,754.1,-0.8,20,Wind blowing from the west,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,12.1,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
28.03.2020 11:00,7.5,527.3,754.0,-0.2,18,Wind blowing from the south-east,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,12.1,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
28.03.2020 08:00,0.5,527.5,754.1,-0.3,33,Wind blowing from the north-northeast,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,12.1,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
28.03.2020 05:00,1.5,527.8,752.8,-1.6,30,Wind blowing from the east-northeast,2,,13,,Cloud development not observed or not observable. ,,,-3.1,12.1,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
28.03.2020 02:00,-1.6,529.4,757.1,,35,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.1,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
27.03.2020 20:00,8.8,529.6,758.8,-0.1,16,Wind blowing from the west-northwest,3,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.1,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
27.03.2020 17:00,11.6,529.7,756.4,-1.7,16,Wind blowing from the west-southwest,4,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.0,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
27.03.2020 14:00,10.2,531.4,757.3,-1.5,19,Wind blowing from the west-southwest,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.0,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
27.03.2020 11:00,6.4,532.9,760.3,0.8,27,Wind blowing from the south-southwest,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.0,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
27.03.2020 08:00,-3.0,532.1,762.3,1.3,54,Wind blowing from the north,0,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.0,,,,,,30.0,-11.2,No precipitation,12,,,,
27.03.2020 05:00,-0.7,530.8,757.9,-0.1,46,Wind blowing from the north-east,0,,10,,Cloud development not observed or not observable. ,,,-0.8,12.0,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
27.03.2020 02:00,4.1,530.9,756.4,,35,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,12.0,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
26.03.2020 20:00,8.9,529.2,756.4,0.5,18,Wind blowing from the north-northwest,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,12.0,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
26.03.2020 17:00,12.0,528.7,754.5,,12,Wind blowing from the west-southwest,3,,,90  or more  but not 100%, ,,,-0.8,13.1,,,,,,29.0,-16.5,No precipitation,6,,,,
26.03.2020 14:00,10.6,529.9,755.5,-1.1,21,Wind blowing from the south-west,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,14.5,,,2500 or more  or no clouds.,,,19.0,-10.8,No precipitation,12,,,,
26.03.2020 11:00,7.0,531.0,756.3,,30,Wind blowing from the south-southeast,2,,,no clouds, ,,,,,,,,,,30.0,-9.4,,,,,,
