Local time in Akqi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,7.7,603.3,764.3,0.3,48,Wind blowing from the west-southwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,,,,2500 or more  or no clouds.,,,11.0,-2.6,No precipitation,12,,,,
06.04.2020 08:00,4.5,603.0,763.5,0.1,63,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,16.3,,,2500 or more  or no clouds.,,,13.0,-2.1,No precipitation,12,,,,
06.04.2020 05:00,3.4,602.9,763.3,-0.1,68,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,,,0.3,16.3,,,2500 or more  or no clouds.,,,13.0,-2.1,No precipitation,12,,,,
06.04.2020 02:00,5.5,603.0,763.7,,58,Wind blowing from the north,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,16.3,,,2500 or more  or no clouds.,,,6.0,-2.1,No precipitation,12,,,,
05.04.2020 20:00,14.5,601.5,762.6,0.0,27,Wind blowing from the east-northeast,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,16.3,,,2500 or more  or no clouds.,,,6.0,-4.3,No precipitation,12,,,,
05.04.2020 17:00,15.9,601.5,761.9,-1.3,25,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.9,,,2500 or more  or no clouds.,,,12.0,-4.1,No precipitation,12,,,,
05.04.2020 14:00,13.2,602.8,763.9,-1.1,28,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,13.9,,,2500 or more  or no clouds.,,,13.0,-4.9,No precipitation,12,,,,
05.04.2020 11:00,6.8,603.9,766.4,0.6,58,Wind blowing from the south-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,13.9,,,2500 or more  or no clouds.,,,11.0,-0.9,No precipitation,12,,,,
05.04.2020 08:00,1.3,603.3,766.7,-0.1,84,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,13.9,,,2500 or more  or no clouds.,,,11.0,-1.1,No precipitation,12,,,,
05.04.2020 05:00,2.3,603.4,765.5,-0.8,80,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,,,0.8,13.9,,,2500 or more  or no clouds.,,,13.0,-0.8,No precipitation,12,,,,
05.04.2020 02:00,4.0,604.2,766.4,,75,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,13.9,,,2500 or more  or no clouds.,,,13.0,0.0,No precipitation,12,,,,
04.04.2020 20:00,9.1,603.3,766.7,0.3,51,Wind blowing from the east-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,13.9,,,2500 or more  or no clouds.,,,10.0,-0.5,No precipitation,12,,,,
04.04.2020 17:00,12.1,603.0,764.8,-1.8,34,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,12.9,,,2500 or more  or no clouds.,,,10.0,-3.3,No precipitation,12,,,,
04.04.2020 14:00,10.7,604.8,767.0,-0.4,43,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,10.8,,,2500 or more  or no clouds.,,,10.0,-1.4,No precipitation,12,,,,
04.04.2020 11:00,5.7,605.2,768.8,0.2,68,Wind blowing from the south-east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,8.7,,,2500 or more  or no clouds.,,,10.0,0.1,No precipitation,12,,,,
04.04.2020 08:00,1.1,605.0,769.3,-0.5,87,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,8.7,,,2500 or more  or no clouds.,,,10.0,-0.8,No precipitation,12,,,,
04.04.2020 05:00,2.7,605.5,769.6,-0.3,82,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,,,2.6,8.7,,,2500 or more  or no clouds.,,,11.0,-0.1,0.3,12,,,,
04.04.2020 02:00,4.4,605.8,769.3,,74,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,8.7,,,2500 or more  or no clouds.,,,11.0,0.2,0.3,12,,,,
03.04.2020 20:00,7.6,604.3,768.0,-0.2,55,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,8.7,,,2500 or more  or no clouds.,,,10.0,-0.9,0.3,12,,,,
03.04.2020 17:00,7.4,604.5,768.2,-1.1,54,Wind blowing from the north-east,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,8.7,,,2500 or more  or no clouds.,,,10.0,-1.5,No precipitation,12,,,,
03.04.2020 14:00,7.3,605.6,768.9,0.0,54,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,8.6,,,2500 or more  or no clouds.,,,8.0,-1.6,No precipitation,12,,,,
03.04.2020 11:00,4.7,605.6,769.6,0.8,70,Wind blowing from the west-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,8.6,,,2500 or more  or no clouds.,,,7.0,-0.3,No precipitation,12,,,,
03.04.2020 08:00,2.8,604.8,768.7,0.1,81,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,8.6,,,2500 or more  or no clouds.,,,8.0,-0.1,No precipitation,12,,,,
03.04.2020 05:00,3.2,604.7,768.1,0.0,78,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,,,1.0,8.6,,,2500 or more  or no clouds.,,,9.0,-0.4,No precipitation,12,,,,
03.04.2020 02:00,5.3,604.7,768.1,,55,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,8.6,,,2500 or more  or no clouds.,,,9.0,-3.0,No precipitation,12,,,,
02.04.2020 20:00,7.2,602.4,766.2,0.0,49,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,8.6,,,2500 or more  or no clouds.,,,8.0,-2.8,No precipitation,12,,,,
02.04.2020 17:00,8.0,602.4,766.0,-0.9,49,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,9.4,,,2500 or more  or no clouds.,,,9.0,-2.3,No precipitation,12,,,,
02.04.2020 14:00,6.1,603.3,767.5,-0.1,57,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,9.4,,,2500 or more  or no clouds.,,,9.0,-1.8,0.3,12,,,,
02.04.2020 11:00,2.8,603.4,767.5,1.1,83,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,,,,2500 or more  or no clouds.,,,11.0,0.2,0.3,12,,,,
02.04.2020 08:00,1.1,602.3,766.0,0.1,91,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,9.4,,,2500 or more  or no clouds.,,,8.0,-0.2,0.3,12,,,,
02.04.2020 05:00,1.0,602.2,765.4,-0.3,93,Wind blowing from the east,1,,8,,Snow not falling as shower(s). ,,,0.9,9.4,,,2500 or more  or no clouds.,,,6.0,0.0,0.3,12,,,,
02.04.2020 02:00,2.1,602.5,766.2,,81,Wind blowing from the east,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,9.4,,,2500 or more  or no clouds.,,,6.0,-0.8,No precipitation,12,,,,
01.04.2020 20:00,7.3,600.0,762.2,0.6,39,Wind blowing from the east-northeast,3,,7,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,9.4,,,2500 or more  or no clouds.,,,6.0,-5.7,No precipitation,12,,,,
01.04.2020 17:00,9.1,599.4,760.7,-1.3,34,Wind blowing from the east,3,,,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,9.2,,,2500 or more  or no clouds.,,,5.0,-5.9,No precipitation,12,,,,
01.04.2020 14:00,6.7,600.7,763.2,-0.5,36,Wind blowing from the north-northeast,2,,5,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,7.7,,,2500 or more  or no clouds.,,,5.0,-7.3,No precipitation,12,,,,
01.04.2020 11:00,4.3,601.2,764.3,1.0,44,Wind blowing from the east-northeast,3,,5,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,4.9,-6.9,No precipitation,12,,,,
01.04.2020 08:00,3.8,600.2,762.8,-0.1,65,Wind blowing from the east,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,7.7,,,2500 or more  or no clouds.,,,5.0,-2.2,No precipitation,12,,,,
01.04.2020 05:00,4.2,600.3,762.6,-0.8,63,Wind blowing from the east,2,,6,,Mist. ,,,1.1,7.7,,,2500 or more  or no clouds.,,,5.0,-2.4,No precipitation,12,,,,
01.04.2020 02:00,4.3,601.1,764.1,,66,Wind blowing from the east-northeast,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,7.7,,,2500 or more  or no clouds.,,,5.0,-1.5,No precipitation,12,,,,
31.03.2020 20:00,6.4,599.6,762.7,-0.6,57,Wind blowing from the east-northeast,3,,7,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,10.1,,,1500-2000,,,5.0,-1.7,0.4,12,,,,
31.03.2020 17:00,7.2,600.2,762.1,-1.7,54,Wind blowing from the east-northeast,3,,7,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,12.9,,,1500-2000,,,5.0,-1.5,0.4,12,,,,
31.03.2020 14:00,5.3,601.9,765.0,-0.7,61,Wind blowing from the east,2,,7,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,,,,1500-2000,,,5.0,-1.6,0.4,12,,,,
31.03.2020 11:00,1.6,602.6,766.0,0.7,84,Wind blowing from the east,1,,7,,Rain or drizzle and snow  slight. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,,,,2500 or more  or no clouds.,,,3.9,-0.8,0.4,12,,,,
31.03.2020 08:00,1.8,601.9,764.5,0.9,77,Wind blowing from the north,1,,7,90  or more  but not 100%,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,13.7,,,1500-2000,,,3.6,-1.8,Trace of precipitation,12,,,,
31.03.2020 05:00,4.9,601.0,761.6,0.4,45,Wind blowing from the east-northeast,2,,11,,Haze. ,,,1.1,13.7,,,2500 or more  or no clouds.,,,4.0,-6.3,No precipitation,12,,,,
31.03.2020 02:00,4.8,600.6,761.2,,47,Wind blowing from the north-northeast,1,,11,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,13.7,,,2500 or more  or no clouds.,,,4.7,-5.6,No precipitation,12,,,,
30.03.2020 20:00,9.9,598.2,760.0,0.3,32,Wind blowing from the south,4,,11,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,14.7,,,1000-1500,,,6.0,-6.0,No precipitation,12,,,,
30.03.2020 17:00,12.3,597.9,758.1,-1.5,17,Wind blowing from the east,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,15.8,,,1000-1500,,,9.0,-12.1,No precipitation,12,,,,
30.03.2020 14:00,11.9,599.4,759.8,-0.7,14,Wind blowing from the south-southwest,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,15.8,,,1000-1500,,,30.0,-14.8,No precipitation,12,,,,
30.03.2020 11:00,6.0,600.1,761.0,0.4,29,Wind blowing from the west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,,,,,,,21.0,-10.7,No precipitation,12,,,,
30.03.2020 08:00,1.2,599.7,760.3,0.1,52,Wind blowing from the west-southwest,2,,7,60%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,15.8,,,1000-1500,,,7.0,-7.8,No precipitation,12,,,,
30.03.2020 05:00,3.3,599.6,759.7,-0.1,48,Wind blowing from the west-southwest,2,,9,,Haze. ,,,0.3,15.8,,,2500 or more  or no clouds.,,,3.5,-6.7,No precipitation,12,,,,
30.03.2020 02:00,4.4,599.7,760.3,,49,Wind blowing from the east,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.8,,,2500 or more  or no clouds.,,,3.0,-5.6,No precipitation,12,,,,
29.03.2020 20:00,14.7,596.4,755.6,-0.3,8,Wind blowing from the west,3,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.8,,,1500-2000,,,30.0,-19.2,No precipitation,12,,,,
29.03.2020 17:00,14.1,596.7,756.6,-1.5,11,Wind blowing from the north-east,2,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,14.2,,,1500-2000,,,30.0,-15.9,No precipitation,12,,,,
29.03.2020 14:00,11.5,598.2,759.2,-0.8,18,Wind blowing from the west,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,11.6,,,1500-2000,,,29.0,-12.0,No precipitation,12,,,,
29.03.2020 11:00,6.6,599.0,760.7,0.5,39,Wind blowing from the west-southwest,4,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,9.9,,,1500-2000,,,10.0,-6.4,No precipitation,12,,,,
29.03.2020 08:00,2.7,598.5,760.2,-0.3,54,Wind blowing from the west-southwest,3,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,9.9,,,1500-2000,,,6.0,-5.7,No precipitation,12,,,,
29.03.2020 05:00,1.5,598.8,760.6,-0.7,54,Wind blowing from the west-southwest,1,,6,,Mist. ,,,-0.7,9.9,,,2500 or more  or no clouds.,,,5.0,-6.8,No precipitation,12,,,,
29.03.2020 02:00,2.0,599.5,762.0,,53,Wind blowing from the north,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,9.9,,,2500 or more  or no clouds.,,,5.0,-6.8,No precipitation,12,,,,
28.03.2020 20:00,8.7,598.5,761.2,0.0,30,Wind blowing from the east-northeast,2,,6,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,9.9,,,1500-2000,,,6.0,-7.9,No precipitation,12,,,,
28.03.2020 17:00,9.7,598.5,759.8,-1.5,29,Wind blowing from the east,3,,,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,9.8,,,1500-2000,,,6.0,-7.5,No precipitation,12,,,,
28.03.2020 14:00,8.0,600.0,761.8,-0.6,30,Wind blowing from the east,2,,,60%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,9.2,,,1500-2000,,,5.0,-8.5,No precipitation,12,,,,
28.03.2020 11:00,3.7,600.6,763.7,0.4,42,Wind blowing from the east-southeast,1,,4,40%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,9.2,,,1500-2000,,,5.0,-8.0,No precipitation,12,,,,
28.03.2020 08:00,0.0,600.2,763.4,-0.4,58,Wind blowing from the north-northeast,1,,5,60%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,9.2,,,1500-2000,,,6.0,-7.3,No precipitation,12,,,,
28.03.2020 05:00,3.3,600.6,762.7,-0.8,43,Wind blowing from the south-southeast,1,,5,,Haze. ,,,1.9,9.2,,,2500 or more  or no clouds.,,,5.0,-8.1,No precipitation,12,,,,
28.03.2020 02:00,4.6,601.4,764.1,,36,Wind blowing from the east-northeast,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,9.2,,,2500 or more  or no clouds.,,,5.0,-9.5,No precipitation,12,,,,
27.03.2020 20:00,8.2,601.0,763.9,-1.0,36,Wind blowing from the east,2,,,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,9.2,,,1500-2000,,,5.0,-6.0,No precipitation,12,,,,
27.03.2020 17:00,8.7,602.0,764.8,-1.4,36,Wind blowing from the east,2,,,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,8.7,,,1500-2000,,,5.0,-5.5,No precipitation,12,,,,
27.03.2020 14:00,6.2,603.4,767.2,-0.5,37,Wind blowing from the east,3,,,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,6.5,,,1500-2000,,,5.0,-7.4,No precipitation,12,,,,
27.03.2020 11:00,3.3,603.9,768.8,0.5,42,Wind blowing from the east-northeast,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,4.0,,,1500-2000,,,7.0,-8.4,No precipitation,12,,,,
27.03.2020 08:00,2.0,603.4,768.3,-0.2,67,Wind blowing from the north-east,1,,4,100%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,4.0,,,1500-2000,,,3.0,-3.5,No precipitation,12,,,,
27.03.2020 05:00,2.3,603.6,768.8,-0.6,66,Wind blowing from the east-northeast,1,,,,Mist. ,,,0.8,4.0,,,2500 or more  or no clouds.,,,2.9,-3.4,No precipitation,12,,,,
27.03.2020 02:00,2.8,604.2,769.3,,62,Wind blowing from the east-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,4.0,,,2500 or more  or no clouds.,,,2.6,-3.8,0.6,12,,,,
26.03.2020 20:00,3.9,602.8,767.1,-0.2,60,Wind blowing from the west-northwest,1,,6,90  or more  but not 100%,Mist. ,Rain and snow or other types of solid precipitation,Rain.,0.8,5.0,,,1500-2000,,,3.9,-3.2,2.0,12,,,,
26.03.2020 17:00,2.6,603.0,768.1,,81,Wind blowing from the east-northeast,2,,6,90  or more  but not 100%,Rain and snow or ice pellets not falling as shower(s). ,Rain and snow or other types of solid precipitation,Rain.,0.8,,,,1500-2000,,,4.3,-0.3,2.0,6,,,,
26.03.2020 14:00,3.0,603.9,769.1,0.3,83,Wind blowing from the east,3,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,0.8,,,,1500-2000,,,7.0,0.4,1.0,12,,,,
