Local time in Changling Economic Development Area,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,12.6,746.5,763.9,-0.9,16,Wind blowing from the west,6,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,12.6,,,2500 or more  or no clouds.,,,9.0,-12.5,No precipitation,12,,,,
06.04.2020 08:00,6.2,747.4,764.9,-0.6,20,Wind blowing from the south-southwest,4,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,11.3,,,2500 or more  or no clouds.,,,5.0,-15.1,No precipitation,12,,,,
06.04.2020 05:00,3.1,748.0,765.5,-0.6,22,Wind blowing from the south,3,,6,,Haze. ,,,-5.6,11.3,,,2500 or more  or no clouds.,,,6.0,-16.5,No precipitation,12,,,,
06.04.2020 02:00,4.3,748.6,766.1,,18,Wind blowing from the south-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,11.3,,,2500 or more  or no clouds.,,,7.0,-17.9,No precipitation,12,,,,
05.04.2020 20:00,7.1,749.8,767.5,0.3,12,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,11.3,,,2500 or more  or no clouds.,,,14.0,-20.4,No precipitation,12,,,,
05.04.2020 17:00,10.9,749.5,767.3,-1.2,7,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,11.3,,,2500 or more  or no clouds.,,,13.0,-23.6,No precipitation,12,,,,
05.04.2020 14:00,10.6,750.7,768.7,-1.8,7,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,10.6,,,2500 or more  or no clouds.,,,13.0,-23.8,No precipitation,12,,,,
05.04.2020 11:00,8.6,752.5,770.5,-0.6,9,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,8.6,,,2500 or more  or no clouds.,,,13.0,-22.5,No precipitation,12,,,,
05.04.2020 08:00,3.2,753.1,771.1,0.0,15,Wind blowing from the north-west,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.5,,,2500 or more  or no clouds.,,,12.0,-20.9,No precipitation,12,,,,
05.04.2020 05:00,-5.3,753.1,771.3,-0.3,33,Wind blowing from the west-southwest,1,,9,,Cloud development not observed or not observable. ,,,-5.8,5.5,,,2500 or more  or no clouds.,,,22.0,-19.3,No precipitation,12,,,,
05.04.2020 02:00,-5.4,753.4,771.6,,44,Wind blowing from the west-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.5,,,2500 or more  or no clouds.,,,23.0,-15.9,No precipitation,12,,,,
04.04.2020 20:00,0.1,753.9,772.0,0.6,19,Wind blowing from the north,0,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.5,,,2500 or more  or no clouds.,,,12.0,-20.8,No precipitation,12,,,,
04.04.2020 17:00,5.0,753.3,771.4,-0.2,11,Wind blowing from the north,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.6,,,2500 or more  or no clouds.,,,16.0,-23.0,No precipitation,12,,,,
04.04.2020 14:00,4.9,753.5,771.7,-1.0,11,Wind blowing from the north,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,11.9,,,2500 or more  or no clouds.,,,16.0,-23.1,No precipitation,12,,,,
04.04.2020 11:00,2.8,754.5,772.6,-0.2,15,Wind blowing from the north-northwest,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,,,,2500 or more  or no clouds.,,,16.0,-21.3,No precipitation,12,,,,
04.04.2020 08:00,-0.4,754.7,772.9,0.8,24,Wind blowing from the north,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,,,,2500 or more  or no clouds.,,,21.0,-18.5,No precipitation,12,,,,
04.04.2020 05:00,-5.2,753.9,772.0,0.9,42,Wind blowing from the north-northwest,2,,17,,Cloud development not observed or not observable. ,,,-5.2,,,,2500 or more  or no clouds.,,,29.0,-16.3,No precipitation,12,,,,
04.04.2020 02:00,-4.6,753.0,770.8,,50,Wind blowing from the north-west,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,17.9,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
03.04.2020 20:00,1.8,749.5,767.3,4.6,29,Wind blowing from the north-northeast,5,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,17.9,,,2500 or more  or no clouds.,,,24.0,-14.3,No precipitation,12,,,,
03.04.2020 17:00,5.6,744.9,762.5,4.1,30,Wind blowing from the north-northeast,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,17.9,,,2500 or more  or no clouds.,,,10.0,-10.6,No precipitation,12,,,,
03.04.2020 14:00,11.9,740.8,758.2,,32,Wind blowing from the north-northeast,7,,,,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,17.9,,,2500 or more  or no clouds.,,,2.8,-4.2,No precipitation,12,,,,
03.04.2020 08:00,6.1,742.2,759.5,-1.3,35,Wind blowing from the west-southwest,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,17.4,,,2500 or more  or no clouds.,,,10.0,-8.5,No precipitation,12,,,,
03.04.2020 05:00,3.8,743.5,760.7,-2.1,48,Wind blowing from the south,2,,6,,Cloud development not observed or not observable. ,,,2.2,17.4,,,2500 or more  or no clouds.,,,10.0,-6.4,No precipitation,12,,,,
03.04.2020 02:00,4.8,745.6,762.9,,42,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,17.4,,,2500 or more  or no clouds.,,,8.0,-7.3,No precipitation,12,,,,
02.04.2020 20:00,10.5,745.9,763.2,0.9,27,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,17.4,,,2500 or more  or no clouds.,,,10.0,-7.6,No precipitation,12,,,,
02.04.2020 17:00,15.3,745.0,762.4,0.7,19,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,17.4,,,2500 or more  or no clouds.,,,11.0,-8.1,No precipitation,12,,,,
02.04.2020 14:00,17.3,744.3,761.5,-0.4,14,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,17.4,,,2500 or more  or no clouds.,,,11.0,-10.4,No precipitation,12,,,,
02.04.2020 11:00,14.7,744.7,761.9,0.6,14,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.7,,,2500 or more  or no clouds.,,,12.0,-12.5,No precipitation,12,,,,
02.04.2020 08:00,8.5,744.1,761.4,0.6,17,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,13.8,,,2500 or more  or no clouds.,,,13.0,-15.1,No precipitation,12,,,,
02.04.2020 05:00,2.2,743.5,760.9,-0.3,31,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,,,-3.9,13.8,,,2500 or more  or no clouds.,,,28.0,-13.5,No precipitation,12,,,,
02.04.2020 02:00,3.5,743.8,761.2,,29,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,13.8,,,2500 or more  or no clouds.,,,19.0,-13.2,No precipitation,12,,,,
01.04.2020 20:00,10.5,744.7,762.2,0.1,14,Wind blowing from the west-southwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,13.8,,,2500 or more  or no clouds.,,,13.0,-15.8,No precipitation,12,,,,
01.04.2020 17:00,13.6,744.6,762.1,-1.7,12,Wind blowing from the west,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,13.8,,,2500 or more  or no clouds.,,,12.0,-15.2,No precipitation,12,,,,
01.04.2020 14:00,12.9,746.3,763.9,-2.5,14,Wind blowing from the west,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,12.9,,,2500 or more  or no clouds.,,,13.0,-13.9,No precipitation,12,,,,
01.04.2020 11:00,9.3,748.8,766.5,-0.9,15,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,12.3,,,2500 or more  or no clouds.,,,14.0,-16.0,No precipitation,12,,,,
01.04.2020 08:00,2.3,749.7,767.5,0.3,27,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,12.3,,,2500 or more  or no clouds.,,,16.0,-14.7,No precipitation,12,,,,
01.04.2020 05:00,-3.2,749.4,767.2,0.5,39,Wind blowing from the west-northwest,1,,8,,Cloud development not observed or not observable. ,,,-3.2,12.3,,,2500 or more  or no clouds.,,,20.0,-15.4,No precipitation,12,,,,
01.04.2020 02:00,-0.2,748.9,766.6,,38,Wind blowing from the north-west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,12.3,,,2500 or more  or no clouds.,,,24.0,-13.1,No precipitation,12,,,,
31.03.2020 20:00,5.0,747.4,765.0,2.0,20,Wind blowing from the west-northwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,12.3,,,,,,15.0,-16.1,No precipitation,12,,,,
31.03.2020 17:00,10.9,745.4,762.8,0.3,10,Wind blowing from the north-west,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,15.8,,,,,,13.0,-19.5,No precipitation,12,,,,
31.03.2020 14:00,12.0,745.1,762.4,-0.2,11,Wind blowing from the north-northwest,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,16.9,,,,,,12.0,-17.5,No precipitation,12,,,,
31.03.2020 11:00,11.1,745.3,762.6,0.9,16,Wind blowing from the north-northwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,16.9,,,2500 or more  or no clouds.,,,12.0,-13.7,No precipitation,12,,,,
31.03.2020 08:00,5.8,744.4,761.7,2.1,29,Wind blowing from the north,4,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,16.9,,,2500 or more  or no clouds.,,,15.0,-11.2,No precipitation,12,,,,
31.03.2020 05:00,6.1,742.3,759.5,1.0,37,Wind blowing from the north-northeast,2,,15,,Cloud development not observed or not observable. ,,,2.7,16.9,,,2500 or more  or no clouds.,,,12.0,-7.8,No precipitation,12,,,,
31.03.2020 02:00,8.0,741.3,758.4,,53,Wind blowing from the west-southwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,16.9,,,2500 or more  or no clouds.,,,10.0,-1.2,No precipitation,12,,,,
30.03.2020 20:00,12.0,741.1,758.3,0.4,46,Wind blowing from the south-southwest,4,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,16.9,,,2500 or more  or no clouds.,,,9.0,0.7,No precipitation,12,,,,
30.03.2020 17:00,15.8,740.7,757.9,-0.4,29,Wind blowing from the south-west,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,16.9,,,2500 or more  or no clouds.,,,10.0,-2.1,No precipitation,12,,,,
30.03.2020 14:00,16.4,741.1,758.3,-1.5,23,Wind blowing from the south-west,6,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,16.4,,,2500 or more  or no clouds.,,,10.0,-4.7,No precipitation,12,,,,
30.03.2020 11:00,11.9,742.6,759.9,0.0,30,Wind blowing from the west-southwest,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,14.9,,,,,,11.0,-5.1,No precipitation,12,,,,
30.03.2020 08:00,5.2,742.6,760.0,0.2,42,Wind blowing from the south-west,5,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,14.9,,,2500 or more  or no clouds.,,,14.0,-6.9,No precipitation,12,,,,
30.03.2020 05:00,3.0,742.4,759.7,0.4,44,Wind blowing from the south-southwest,6,,13,,Cloud development not observed or not observable. ,,,-0.3,14.9,,,2500 or more  or no clouds.,,,21.0,-8.3,No precipitation,12,,,,
30.03.2020 02:00,3.9,742.0,759.3,,41,Wind blowing from the south-southwest,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,14.9,,,2500 or more  or no clouds.,,,19.0,-8.4,No precipitation,12,,,,
29.03.2020 20:00,8.8,742.3,759.7,1.0,33,Wind blowing from the south-west,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,14.9,,,,,,13.0,-6.9,No precipitation,12,,,,
29.03.2020 17:00,13.8,741.3,758.7,-1.0,22,Wind blowing from the south-west,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,14.9,,,,,,12.0,-7.5,No precipitation,12,,,,
29.03.2020 14:00,14.3,742.3,759.6,-2.1,18,Wind blowing from the south-west,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,14.3,,,2500 or more  or no clouds.,,,11.0,-9.6,No precipitation,12,,,,
29.03.2020 11:00,9.2,744.4,761.9,-1.0,31,Wind blowing from the south-west,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,9.2,,,,,,13.0,-7.0,No precipitation,12,,,,
29.03.2020 08:00,2.3,745.4,763.1,0.1,49,Wind blowing from the south-west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,8.4,,,2500 or more  or no clouds.,,,18.0,-7.5,No precipitation,12,,,,
29.03.2020 05:00,-0.1,745.3,763.0,-0.6,47,Wind blowing from the south-southwest,4,,,,Cloud development not observed or not observable. ,,,-5.9,8.4,,,2500 or more  or no clouds.,,,29.0,-10.3,No precipitation,12,,,,
29.03.2020 02:00,1.4,745.9,763.6,,35,Wind blowing from the south-southwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,8.4,,,2500 or more  or no clouds.,,,23.0,-12.7,No precipitation,12,,,,
28.03.2020 20:00,3.9,746.1,763.9,-0.1,28,Wind blowing from the south,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,8.4,,,,,,19.0,-13.3,No precipitation,12,,,,
28.03.2020 17:00,7.9,746.2,764.1,-1.1,12,Wind blowing from the west-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,8.4,,,,,,15.0,-19.7,No precipitation,12,,,,
28.03.2020 14:00,7.3,747.3,765.2,-2.4,13,Wind blowing from the west-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,7.3,,,,,,16.0,-19.3,No precipitation,12,,,,
28.03.2020 11:00,4.5,749.7,767.7,-0.6,18,Wind blowing from the west,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.5,,,,,,18.0,-17.7,No precipitation,12,,,,
28.03.2020 08:00,-1.1,750.3,768.4,0.6,37,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.4,,,2500 or more  or no clouds.,,,22.0,-14.2,No precipitation,12,,,,
28.03.2020 05:00,-5.9,749.7,767.9,0.3,56,Wind blowing from the west,2,,14,,Cloud development not observed or not observable. ,,,-6.0,4.4,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
28.03.2020 02:00,-5.2,749.4,767.5,,55,Wind blowing from the west,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,4.4,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
27.03.2020 20:00,-1.1,748.6,766.7,0.8,33,Wind blowing from the west-northwest,4,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,4.4,,,2500 or more  or no clouds.,,,25.0,-15.3,No precipitation,12,,,,
27.03.2020 17:00,1.5,747.8,765.9,0.7,23,Wind blowing from the north-west,7,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,4.4,,,2500 or more  or no clouds.,,,18.0,-17.3,No precipitation,12,,,,
27.03.2020 14:00,3.5,747.1,765.1,-0.9,14,Wind blowing from the north-west,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,4.6,,,2500 or more  or no clouds.,,,18.0,-21.5,No precipitation,12,,,,
27.03.2020 11:00,3.4,748.0,765.9,-0.9,22,Wind blowing from the west,7,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,4.6,,,,,,20.0,-16.3,No precipitation,12,,,,
27.03.2020 08:00,-0.7,748.9,766.9,-0.3,36,Wind blowing from the west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,4.6,,,,,,19.0,-14.2,No precipitation,12,,,,
27.03.2020 05:00,-3.7,749.2,767.2,-0.4,40,Wind blowing from the west-southwest,3,,,,Cloud development not observed or not observable. ,,,-4.3,4.6,,,2500 or more  or no clouds.,,,29.0,-15.6,No precipitation,12,,,,
27.03.2020 02:00,-3.9,749.6,767.6,,43,Wind blowing from the west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,8.1,,,2500 or more  or no clouds.,,,28.0,-14.9,No precipitation,12,,,,
26.03.2020 20:00,0.6,748.9,766.9,1.5,33,Wind blowing from the west-northwest,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,12.0,,,2500 or more  or no clouds.,,,26.0,-14.1,2.0,12,,,,
26.03.2020 17:00,3.8,747.4,765.1,,34,Wind blowing from the west,4,,,90  or more  but not 100%, ,,,0.0,,,,,,,20.0,-10.9,No precipitation,6,,,,
26.03.2020 14:00,4.5,747.2,764.8,-1.3,51,Wind blowing from the west,5,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.3,,,2500 or more  or no clouds.,,,18.0,-4.9,4.0,12,,,,
26.03.2020 11:00,0.7,748.5,766.1,,92,Wind blowing from the west-southwest,4,,16,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,17.3,,,2500 or more  or no clouds.,,,19.0,-0.5,4.0,6,,,,
26.03.2020 08:00,0.1,748.1,765.7,2.6,96,Wind blowing from the north-west,3,,16,90  or more  but not 100%,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,17.3,,,2500 or more  or no clouds.,,,2.8,-0.4,1.0,12,,,,
