Local time in Garze,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 14:00,11.9,504.5,754.3,-2.3,26,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.1,,,2500 or more  or no clouds.,,,30.0,-7.0,No precipitation,12,,,,
04.04.2020 11:00,7.0,506.8,760.0,-0.1,48,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,14.0,,,2500 or more  or no clouds.,,,30.0,-3.5,No precipitation,12,,,,
04.04.2020 08:00,2.0,506.9,760.7,1.2,73,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,,,,2500 or more  or no clouds.,,,30.0,-2.3,0.3,12,,,,
04.04.2020 05:00,1.6,505.7,757.9,,73,Wind blowing from the north-west,1,,,,Cloud development not observed or not observable. ,,,0.8,14.0,,,2500 or more  or no clouds.,,,30.0,-2.7,0.3,12,,,,
04.04.2020 02:00,1.7,505.7,756.4,,86,Wind blowing from the north-east,1,,15,, ,,,0.8,14.0,,,,,,30.0,-0.4,0.3,6,,,,
03.04.2020 23:00,2.4,505.4,756.1,1.7,86,Wind blowing from the east,1,,15,,Cloud development not observed or not observable. ,,,0.8,14.0,,,2500 or more  or no clouds.,,,30.0,0.3,0.3,12,,,,
03.04.2020 20:00,6.4,503.7,755.8,1.8,50,Wind blowing from the west,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,14.0,,,2500 or more  or no clouds.,,,30.0,-3.5,No precipitation,12,,,,
03.04.2020 17:00,8.6,501.9,752.3,-0.3,38,Wind blowing from the west,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,14.0,,,2500 or more  or no clouds.,,,30.0,-4.9,No precipitation,12,,,,
03.04.2020 14:00,11.3,502.2,750.7,-1.9,23,Wind blowing from the south-southwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,15.1,,,2500 or more  or no clouds.,,,29.0,-9.1,No precipitation,12,,,,
03.04.2020 11:00,10.5,504.1,752.8,0.4,22,Wind blowing from the north-east,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,15.1,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
03.04.2020 08:00,2.0,503.7,755.8,0.6,71,Wind blowing from the south-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,15.1,,,2500 or more  or no clouds.,,,24.0,-2.7,No precipitation,12,,,,
03.04.2020 05:00,1.6,503.1,751.5,-0.2,77,Wind blowing from the south-southeast,1,,19,,Cloud development not observed or not observable. ,,,1.3,15.1,,,2500 or more  or no clouds.,,,30.0,-2.0,No precipitation,12,,,,
03.04.2020 02:00,2.7,503.3,751.5,-0.5,63,Wind blowing from the north,1,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,15.1,,,2500 or more  or no clouds.,,,30.0,-3.8,No precipitation,12,,,,
02.04.2020 23:00,4.9,503.8,751.6,1.5,61,Wind blowing from the west-northwest,1,,19,,Rain (not freezing) not falling as shower(s). ,,,4.1,15.1,,,2500 or more  or no clouds.,,,30.0,-2.0,No precipitation,12,,,,
02.04.2020 20:00,6.7,502.3,752.2,1.7,51,Wind blowing from the west-northwest,9,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,15.1,,,2500 or more  or no clouds.,,,25.0,-2.7,No precipitation,12,,,,
02.04.2020 17:00,13.6,500.6,745.7,-1.3,18,Wind blowing from the south,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,15.4,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
02.04.2020 14:00,12.8,501.9,747.0,-1.6,17,Wind blowing from the south-west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,17.8,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
02.04.2020 11:00,12.1,503.5,749.1,0.4,20,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,17.8,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
02.04.2020 08:00,4.8,503.1,750.7,0.5,39,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.8,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
02.04.2020 05:00,5.4,502.6,747.7,-0.1,32,Wind blowing from the north,3,,11,,Cloud development not observed or not observable. ,,,-0.1,17.8,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
02.04.2020 02:00,7.4,502.7,746.8,0.2,28,Wind blowing from the north-northeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.8,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
01.04.2020 23:00,8.8,502.5,748.3,0.9,23,Wind blowing from the north-northeast,2,,13,,Cloud development not observed or not observable. ,,,-0.1,17.8,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
01.04.2020 20:00,11.9,501.6,750.3,0.4,16,Wind blowing from the east,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.8,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
01.04.2020 17:00,15.5,501.2,746.9,-1.6,10,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,17.8,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
01.04.2020 14:00,15.7,502.8,747.8,-2.3,9,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,15.8,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
01.04.2020 11:00,10.9,505.1,753.1,-0.4,32,Wind blowing from the south-southeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,15.8,,,2500 or more  or no clouds.,,,30.0,-5.1,No precipitation,12,,,,
01.04.2020 08:00,1.3,505.5,757.6,1.1,69,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,15.8,,,2500 or more  or no clouds.,,,26.0,-3.8,No precipitation,12,,,,
01.04.2020 05:00,2.8,504.4,752.9,-0.2,62,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,,,-1.5,15.8,,,2500 or more  or no clouds.,,,30.0,-3.8,No precipitation,12,,,,
01.04.2020 02:00,5.5,504.6,752.2,-0.1,44,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,15.8,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
31.03.2020 23:00,6.8,504.7,756.4,1.6,37,Wind blowing from the west-northwest,2,,12,,Cloud development not observed or not observable. ,,,-1.5,15.8,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
31.03.2020 20:00,9.2,503.1,755.4,0.9,25,Wind blowing from the east,1,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,15.8,,,1500-2000,,,30.0,-9.8,,,,,,
31.03.2020 17:00,13.2,502.2,751.2,-1.9,13,Wind blowing from the north-west,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,15.8,,,1500-2000,,,30.0,-14.6,,,,,,
31.03.2020 14:00,12.7,504.1,754.0,-2.9,17,Wind blowing from the west,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,13.7,,,1500-2000,,,30.0,-11.7,0.3,12,,,,
31.03.2020 11:00,3.5,507.0,762.3,0.0,58,Wind blowing from the north-east,1,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,,,,1500-2000,,,30.0,-4.0,0.8,12,,,,
31.03.2020 08:00,-1.4,507.0,765.6,0.8,77,Wind blowing from the north,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,,,,1500-2000,,,30.0,-4.9,0.5,12,,,,
31.03.2020 05:00,-0.1,506.2,758.9,-0.6,80,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-0.1,14.2,,,2500 or more  or no clouds.,,,30.0,-3.1,2.0,12,,,,
31.03.2020 02:00,0.5,506.8,757.4,0.1,88,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,14.2,,,2500 or more  or no clouds.,,,30.0,-1.3,2.0,12,,,,
30.03.2020 23:00,2.1,506.7,758.2,2.1,83,Wind blowing from the west,3,,24,,Cloud development not observed or not observable. ,,,0.9,14.2,,,2500 or more  or no clouds.,,,30.0,-0.6,1.0,12,,,,
30.03.2020 20:00,1.1,504.6,758.5,2.8,91,Wind blowing from the east,1,,24,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,0.9,14.2,,,1500-2000,,,9.0,-0.2,1.0,12,,,,
30.03.2020 17:00,9.9,501.8,749.3,0.8,36,Wind blowing from the west,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,15.1,,,1500-2000,,,30.0,-4.5,No precipitation,12,,,,
30.03.2020 14:00,13.8,501.0,746.0,-0.8,23,Wind blowing from the south-southwest,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,15.9,,,1500-2000,,,30.0,-7.0,No precipitation,12,,,,
30.03.2020 11:00,10.3,501.8,748.5,1.1,28,Wind blowing from the west,6,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,15.9,,,1500-2000,,,30.0,-7.4,No precipitation,12,,,,
30.03.2020 08:00,5.0,500.7,747.7,-0.2,61,Wind blowing from the east-southeast,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,15.9,,,1500-2000,,,19.0,-1.9,No precipitation,12,,,,
30.03.2020 05:00,5.6,500.9,746.3,-0.8,59,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,,,2.8,15.9,,,2500 or more  or no clouds.,,,30.0,-1.8,No precipitation,12,,,,
30.03.2020 02:00,5.9,501.7,747.0,-0.1,51,Wind blowing from the north,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,15.9,,,2500 or more  or no clouds.,,,30.0,-3.5,No precipitation,12,,,,
29.03.2020 23:00,6.7,501.8,749.4,1.2,44,Wind blowing from the north,2,,12,,Cloud development not observed or not observable. ,,,2.8,15.9,,,2500 or more  or no clouds.,,,30.0,-4.7,No precipitation,12,,,,
29.03.2020 20:00,10.5,500.6,748.3,0.5,33,Wind blowing from the east,3,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,15.9,,,1500-2000,,,30.0,-5.1,No precipitation,12,,,,
29.03.2020 17:00,13.0,500.1,746.5,-0.6,27,Wind blowing from the south-west,5,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,15.9,,,1500-2000,,,30.0,-5.6,No precipitation,12,,,,
29.03.2020 14:00,13.9,500.7,745.1,-2.4,30,Wind blowing from the south,2,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,20.2,,,1500-2000,,,30.0,-3.4,3.0,12,,,,
29.03.2020 11:00,8.6,503.1,749.5,1.1,64,Wind blowing from the south-southeast,1,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,20.2,,,1500-2000,,,30.0,2.0,3.0,12,,,,
29.03.2020 08:00,3.4,502.0,749.4,0.3,86,Wind blowing from the west-southwest,1,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,20.2,,,1500-2000,,,30.0,1.3,3.0,12,,,,
29.03.2020 05:00,2.9,501.7,748.3,-0.1,88,Wind blowing from the east-southeast,2,,13,,Rain  not freezing  intermittent  slight at time of observation. ,,,-1.8,20.2,,,2500 or more  or no clouds.,,,30.0,1.1,3.0,12,,,,
29.03.2020 02:00,6.7,501.8,744.1,1.1,64,Wind blowing from the east-southeast,1,,14,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,20.2,,,2500 or more  or no clouds.,,,19.0,0.4,No precipitation,12,,,,
28.03.2020 23:00,10.1,500.7,745.8,1.5,45,Wind blowing from the west-northwest,3,,,,Cloud development not observed or not observable. ,,,-1.8,20.2,,,2500 or more  or no clouds.,,,30.0,-1.3,No precipitation,12,,,,
28.03.2020 20:00,12.6,499.2,747.5,1.1,32,Wind blowing from the west-northwest,5,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,20.2,,,1500-2000,,,30.0,-3.6,No precipitation,12,,,,
28.03.2020 17:00,14.3,498.1,744.8,-1.2,27,Wind blowing from the west-southwest,6,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,20.2,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
28.03.2020 14:00,19.1,499.3,742.7,-3.2,11,Wind blowing from the west,5,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,19.1,,,1500-2000,,,30.0,-12.0,No precipitation,12,,,,
28.03.2020 11:00,9.1,502.5,750.7,-0.9,25,Wind blowing from the east,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,16.8,,,1500-2000,,,30.0,-9.9,No precipitation,12,,,,
28.03.2020 08:00,-1.2,503.4,755.0,-0.5,61,Wind blowing from the north-east,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,16.8,,,1500-2000,,,30.0,-7.8,No precipitation,12,,,,
28.03.2020 05:00,-0.7,503.9,752.5,-1.3,57,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,,,-2.8,16.8,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
28.03.2020 02:00,2.1,505.2,753.6,-0.4,45,Wind blowing from the south-southeast,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,16.8,,,2500 or more  or no clouds.,,,30.0,-8.6,No precipitation,12,,,,
27.03.2020 23:00,5.9,505.6,756.6,0.8,23,Wind blowing from the north-northwest,1,,14,,Cloud development not observed or not observable. ,,,-2.8,16.8,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
27.03.2020 20:00,10.5,504.8,757.2,0.1,17,Wind blowing from the north,1,,14,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,16.8,,,1500-2000,,,30.0,-13.5,No precipitation,12,,,,
27.03.2020 17:00,16.1,504.7,753.9,-1.4,8,Wind blowing from the west,6,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,16.8,,,1500-2000,,,30.0,-18.2,No precipitation,12,,,,
27.03.2020 14:00,14.8,506.1,756.1,-2.1,11,Wind blowing from the west,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,16.1,,,1500-2000,,,30.0,-15.4,No precipitation,12,,,,
