Local time in Aral,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,14.4,677.2,763.4,0.6,31,Wind blowing from the east-northeast,3,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,22.9,,,2500 or more  or no clouds.,,,5.0,-2.5,No precipitation,12,,,,
06.04.2020 08:00,6.3,676.6,762.6,0.4,61,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,22.9,,,2500 or more  or no clouds.,,,8.0,-0.7,No precipitation,12,,,,
06.04.2020 05:00,6.5,676.2,761.9,-0.4,67,Wind blowing from the north-west,0,,6,,Mist. ,,,6.5,22.9,,,2500 or more  or no clouds.,,,6.0,0.8,No precipitation,12,,,,
06.04.2020 02:00,7.9,676.6,762.4,,59,Wind blowing from the west-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,22.9,,,2500 or more  or no clouds.,,,8.0,0.4,No precipitation,12,,,,
05.04.2020 20:00,20.8,675.6,760.6,-0.3,18,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,22.9,,,2500 or more  or no clouds.,,,8.0,-4.4,No precipitation,12,,,,
05.04.2020 17:00,22.2,675.9,761.0,-1.6,14,Wind blowing from the west,4,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,22.9,,,2500 or more  or no clouds.,,,6.0,-6.5,No precipitation,12,,,,
05.04.2020 14:00,20.2,677.5,762.3,-0.9,14,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.0,,,2500 or more  or no clouds.,,,7.0,-8.1,No precipitation,12,,,,
05.04.2020 11:00,14.5,678.4,764.4,0.8,24,Wind blowing from the south-east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.0,,,2500 or more  or no clouds.,,,8.0,-5.8,No precipitation,12,,,,
05.04.2020 08:00,11.8,677.6,763.1,0.1,30,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,21.0,,,2500 or more  or no clouds.,,,9.0,-5.2,No precipitation,12,,,,
05.04.2020 05:00,10.2,677.5,763.1,-1.2,52,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,,,6.1,21.0,,,2500 or more  or no clouds.,,,8.0,0.8,No precipitation,12,,,,
05.04.2020 02:00,15.5,678.7,764.1,,28,Wind blowing from the west,2,,11,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,21.0,,,2500 or more  or no clouds.,,,7.0,-2.9,No precipitation,12,,,,
04.04.2020 20:00,19.7,677.2,763.5,-1.0,17,Wind blowing from the south-west,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,21.0,,,2500 or more  or no clouds.,,,6.0,-6.0,No precipitation,12,,,,
04.04.2020 17:00,20.8,678.2,764.1,-2.0,15,Wind blowing from the south-west,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,21.0,,,2500 or more  or no clouds.,,,9.0,-6.8,No precipitation,12,,,,
04.04.2020 14:00,17.8,680.2,766.4,-0.8,18,Wind blowing from the west-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,19.0,,,2500 or more  or no clouds.,,,8.0,-6.8,No precipitation,12,,,,
04.04.2020 11:00,11.2,681.0,768.1,0.7,36,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,19.0,,,2500 or more  or no clouds.,,,10.0,-3.3,No precipitation,12,,,,
04.04.2020 08:00,6.7,680.3,767.3,0.1,56,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,19.0,,,2500 or more  or no clouds.,,,11.0,-1.5,No precipitation,12,,,,
04.04.2020 05:00,8.6,680.2,766.8,-0.3,46,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,,,8.4,19.0,,,2500 or more  or no clouds.,,,11.0,-2.4,No precipitation,12,,,,
04.04.2020 02:00,11.2,680.5,767.0,,39,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,19.0,,,2500 or more  or no clouds.,,,10.0,-2.2,No precipitation,12,,,,
03.04.2020 20:00,17.3,679.1,765.6,-0.6,18,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,19.0,,,2500 or more  or no clouds.,,,8.0,-7.2,No precipitation,12,,,,
03.04.2020 17:00,18.3,679.7,766.0,-1.7,13,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,18.8,,,2500 or more  or no clouds.,,,10.0,-10.6,No precipitation,12,,,,
03.04.2020 14:00,16.4,681.4,767.8,-0.1,16,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,18.0,,,2500 or more  or no clouds.,,,11.0,-9.5,No precipitation,12,,,,
03.04.2020 11:00,11.4,681.5,768.7,1.2,31,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,,,,2500 or more  or no clouds.,,,9.0,-5.1,No precipitation,12,,,,
03.04.2020 08:00,8.9,680.3,767.2,0.8,43,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,18.0,,,2500 or more  or no clouds.,,,9.0,-3.0,No precipitation,12,,,,
03.04.2020 05:00,10.0,679.5,765.9,0.0,43,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,,,8.1,18.0,,,2500 or more  or no clouds.,,,9.0,-2.0,No precipitation,12,,,,
03.04.2020 02:00,12.0,679.5,765.7,,39,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,18.0,,,2500 or more  or no clouds.,,,10.0,-1.5,No precipitation,12,,,,
02.04.2020 20:00,16.2,677.5,764.1,0.0,23,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,18.0,,,2500 or more  or no clouds.,,,8.0,-4.9,No precipitation,12,,,,
02.04.2020 17:00,17.2,677.5,763.6,-1.2,20,Wind blowing from the south-southeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,18.0,,,2500 or more  or no clouds.,,,6.0,-5.9,No precipitation,12,,,,
02.04.2020 14:00,16.1,678.7,765.1,0.0,21,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,16.7,,,2500 or more  or no clouds.,,,9.0,-6.2,No precipitation,12,,,,
02.04.2020 11:00,11.5,678.7,765.5,1.1,37,Wind blowing from the east-northeast,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,,,,2500 or more  or no clouds.,,,7.0,-2.7,No precipitation,12,,,,
02.04.2020 08:00,8.7,677.6,764.4,0.7,39,Wind blowing from the north-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,16.7,,,2500 or more  or no clouds.,,,8.0,-4.5,No precipitation,12,,,,
02.04.2020 05:00,10.3,676.9,763.2,-0.1,33,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,,,6.1,16.7,,,2500 or more  or no clouds.,,,10.0,-5.3,No precipitation,12,,,,
02.04.2020 02:00,10.9,677.0,763.3,,29,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,16.7,,,2500 or more  or no clouds.,,,11.0,-6.4,No precipitation,12,,,,
01.04.2020 20:00,14.6,675.1,762.0,0.0,19,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,16.7,,,2500 or more  or no clouds.,,,7.0,-8.8,No precipitation,12,,,,
01.04.2020 17:00,15.8,675.1,761.5,-0.8,17,Wind blowing from the north-west,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,16.2,,,2500 or more  or no clouds.,,,6.0,-9.2,No precipitation,12,,,,
01.04.2020 14:00,14.7,675.9,762.3,-0.4,18,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,16.2,,,2500 or more  or no clouds.,,,8.0,-9.4,No precipitation,12,,,,
01.04.2020 11:00,9.4,676.3,763.3,1.1,35,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,16.2,,,2500 or more  or no clouds.,,,7.0,-5.3,No precipitation,12,,,,
01.04.2020 08:00,6.3,675.2,762.0,0.2,47,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,16.2,,,2500 or more  or no clouds.,,,8.0,-4.2,No precipitation,12,,,,
01.04.2020 05:00,8.0,675.0,761.3,-0.5,43,Wind blowing from the north-east,2,,11,,Cloud development not observed or not observable. ,,,8.0,16.2,,,2500 or more  or no clouds.,,,8.0,-3.8,No precipitation,12,,,,
01.04.2020 02:00,9.6,675.5,762.1,,37,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,16.2,,,2500 or more  or no clouds.,,,8.0,-4.4,No precipitation,12,,,,
31.03.2020 20:00,14.9,674.4,760.7,-0.8,22,Wind blowing from the north-east,3,,11,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,17.1,,,2500 or more  or no clouds.,,,3.6,-6.6,No precipitation,12,,,,
31.03.2020 17:00,16.1,675.2,761.3,-1.8,20,Wind blowing from the east-northeast,4,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,19.2,,,2500 or more  or no clouds.,,,4.1,-6.9,No precipitation,12,,,,
31.03.2020 14:00,13.7,677.0,763.5,-0.2,23,Wind blowing from the north-east,5,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,19.2,,,2500 or more  or no clouds.,,,4.9,-7.0,No precipitation,12,,,,
31.03.2020 11:00,9.5,677.2,763.9,1.5,40,Wind blowing from the north-east,4,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,,,,2500 or more  or no clouds.,,,4.4,-3.4,No precipitation,12,,,,
31.03.2020 08:00,8.8,675.7,761.8,0.8,39,Wind blowing from the north-east,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,19.2,,,2500 or more  or no clouds.,,,2.7,-4.4,No precipitation,12,,,,
31.03.2020 05:00,9.4,674.9,760.6,0.0,41,Wind blowing from the north-east,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,8.5,19.2,,,2500 or more  or no clouds.,,,4.0,-3.2,No precipitation,12,,,,
31.03.2020 02:00,11.0,674.9,760.6,,42,Wind blowing from the east-northeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,19.2,,,2500 or more  or no clouds.,,,3.5,-1.4,No precipitation,12,,,,
30.03.2020 20:00,17.1,672.3,757.9,-0.6,23,Wind blowing from the east-northeast,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,19.2,,,2500 or more  or no clouds.,,,3.4,-4.2,No precipitation,12,,,,
30.03.2020 17:00,19.1,672.9,758.1,-1.6,19,Wind blowing from the east,2,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,19.2,,,2500 or more  or no clouds.,,,2.3,-5.0,No precipitation,12,,,,
30.03.2020 14:00,16.8,674.5,760.2,-0.1,27,Wind blowing from the north-northeast,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,18.7,,,2500 or more  or no clouds.,,,3.3,-2.3,No precipitation,12,,,,
30.03.2020 11:00,10.1,674.6,761.2,0.9,43,Wind blowing from the east-northeast,2,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,,,,2500 or more  or no clouds.,,,2.9,-1.9,No precipitation,12,,,,
30.03.2020 08:00,9.4,673.7,759.4,0.3,46,Wind blowing from the east-northeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,18.7,,,2500 or more  or no clouds.,,,2.0,-1.6,No precipitation,12,,,,
30.03.2020 05:00,10.3,673.4,758.8,0.1,43,Wind blowing from the north-east,1,,5,,Haze. ,,,9.4,18.7,,,2500 or more  or no clouds.,,,1.9,-1.7,No precipitation,12,,,,
30.03.2020 02:00,10.5,673.3,759.1,,50,Wind blowing from the east,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,18.7,,,2500 or more  or no clouds.,,,2.3,0.5,No precipitation,12,,,,
29.03.2020 20:00,17.6,671.2,756.4,-0.6,23,Wind blowing from the west-southwest,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,18.7,,,2500 or more  or no clouds.,,,1.7,-3.8,No precipitation,12,,,,
29.03.2020 17:00,18.2,671.8,756.8,-1.5,22,Wind blowing from the south-west,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,18.3,,,2500 or more  or no clouds.,,,1.7,-3.9,No precipitation,12,,,,
29.03.2020 14:00,15.9,673.3,759.1,-0.5,27,Wind blowing from the west-southwest,4,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,16.7,,,2500 or more  or no clouds.,,,1.4,-3.1,No precipitation,12,,,,
29.03.2020 11:00,11.7,673.8,760.2,0.5,36,Wind blowing from the south-west,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,2500 or more  or no clouds.,,,1.9,-2.9,No precipitation,12,,,,
29.03.2020 08:00,10.4,673.3,759.1,-0.1,37,Wind blowing from the south-southwest,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,16.7,,,2500 or more  or no clouds.,,,3.1,-3.7,No precipitation,12,,,,
29.03.2020 05:00,11.8,673.4,758.9,-0.8,22,Wind blowing from the south-southwest,2,,4,,Haze. ,,,3.4,16.7,,,2500 or more  or no clouds.,,,2.6,-9.2,No precipitation,12,,,,
29.03.2020 02:00,10.0,674.2,760.4,,36,Wind blowing from the south,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,16.7,,,2500 or more  or no clouds.,,,2.8,-4.4,No precipitation,12,,,,
28.03.2020 20:00,15.3,673.8,760.8,-0.4,14,Wind blowing from the west,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,16.7,,,2500 or more  or no clouds.,,,2.7,-12.0,No precipitation,12,,,,
28.03.2020 17:00,16.2,674.2,760.9,-1.5,13,Wind blowing from the south-southwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,16.7,,,2500 or more  or no clouds.,,,2.8,-12.2,No precipitation,12,,,,
28.03.2020 14:00,14.6,675.7,762.7,-0.5,14,Wind blowing from the east,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,15.8,,,2500 or more  or no clouds.,,,2.6,-12.6,No precipitation,12,,,,
28.03.2020 11:00,10.4,676.2,763.5,0.6,20,Wind blowing from the south-southeast,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,15.8,,,2500 or more  or no clouds.,,,2.2,-11.6,No precipitation,12,,,,
28.03.2020 08:00,3.6,675.6,763.0,-0.2,61,Wind blowing from the east-southeast,0,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,15.8,,,2500 or more  or no clouds.,,,3.5,-3.4,No precipitation,12,,,,
28.03.2020 05:00,5.4,675.8,762.8,-1.0,59,Wind blowing from the east,1,,4,,Haze. ,,,5.4,15.8,,,2500 or more  or no clouds.,,,3.7,-2.0,No precipitation,12,,,,
28.03.2020 02:00,6.3,676.8,763.9,,50,Wind blowing from the east,0,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,15.8,,,2500 or more  or no clouds.,,,3.6,-3.4,No precipitation,12,,,,
27.03.2020 20:00,14.3,676.9,764.0,-0.9,16,Wind blowing from the east,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,15.8,,,2500 or more  or no clouds.,,,3.5,-11.2,No precipitation,12,,,,
27.03.2020 17:00,15.3,677.8,764.8,-1.9,13,Wind blowing from the east-northeast,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,15.8,,,2500 or more  or no clouds.,,,3.8,-13.0,No precipitation,12,,,,
27.03.2020 14:00,14.2,679.7,767.0,-0.8,13,Wind blowing from the north-northeast,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,14.2,,,2500 or more  or no clouds.,,,3.8,-13.8,No precipitation,12,,,,
27.03.2020 11:00,9.2,680.5,768.7,0.6,18,Wind blowing from the south-southeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,13.7,,,2500 or more  or no clouds.,,,2.6,-13.9,No precipitation,12,,,,
27.03.2020 08:00,6.2,679.9,767.6,0.3,34,Wind blowing from the east,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,13.7,,,2500 or more  or no clouds.,,,4.3,-8.5,No precipitation,12,,,,
27.03.2020 05:00,7.2,679.6,767.0,-0.5,34,Wind blowing from the east,1,,8,,Haze. ,,,6.8,13.7,,,2500 or more  or no clouds.,,,4.7,-7.6,No precipitation,12,,,,
27.03.2020 02:00,7.7,680.1,767.8,,34,Wind blowing from the east-northeast,2,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,13.7,,,2500 or more  or no clouds.,,,3.6,-7.2,No precipitation,12,,,,
26.03.2020 20:00,12.7,678.3,765.4,-0.2,15,Wind blowing from the east,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.9,,,2500 or more  or no clouds.,,,3.6,-13.3,No precipitation,12,,,,
26.03.2020 17:00,13.6,678.5,765.4,,16,Wind blowing from the north-east,4,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,16.2,,,,,,3.5,-11.7,No precipitation,6,,,,
26.03.2020 14:00,11.7,680.0,767.2,0.5,17,Wind blowing from the north-east,4,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,16.2,,,2500 or more  or no clouds.,,,2.4,-12.5,No precipitation,12,,,,
26.03.2020 11:00,8.8,679.5,766.9,,31,Wind blowing from the east-northeast,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,,,,,,,1.8,-7.4,No precipitation,6,,,,
26.03.2020 08:00,9.1,677.2,763.9,0.9,34,Wind blowing from the north-east,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,16.2,,,2500 or more  or no clouds.,,,1.6,-5.9,No precipitation,12,,,,
26.03.2020 05:00,9.8,676.3,762.6,,40,Wind blowing from the east-northeast,3,,9,,Haze. ,,,9.2,16.2,,,,,,2.0,-3.2,No precipitation,6,,,,
26.03.2020 02:00,10.6,676.0,762.4,,42,Wind blowing from the east-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,16.2,,,2500 or more  or no clouds.,,,9.0,-1.8,No precipitation,12,,,,
