Local time in Gaoyao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 17:00,15.2,758.0,763.5,-1.7,99,Wind blowing from the east-southeast,2,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,,,,2500 or more  or no clouds.,,,10.0,15.0,11.0,12,,,,
05.04.2020 14:00,15.3,759.7,765.2,-1.8,99,Wind blowing from the north-northeast,1,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,,,,2500 or more  or no clouds.,,,2.4,15.1,23.0,12,,,,
05.04.2020 11:00,15.3,761.5,767.0,1.1,99,Wind blowing from the north-west,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,,,,2500 or more  or no clouds.,,,3.7,15.1,21.0,12,,,,
05.04.2020 08:00,14.5,760.4,765.9,0.7,100,Wind blowing from the east,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,21.7,,,2500 or more  or no clouds.,,,6.0,14.5,20.0,12,,,,
05.04.2020 05:00,14.8,759.7,765.2,-0.1,99,Wind blowing from the north-northeast,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.8,21.7,,,2500 or more  or no clouds.,,,7.0,14.6,15.0,12,,,,
05.04.2020 02:00,15.4,759.8,765.2,-0.3,97,Wind blowing from the north-northeast,5,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,21.7,,,2500 or more  or no clouds.,,,3.7,15.0,0.9,12,,,,
04.04.2020 23:00,16.2,760.1,765.6,1.2,99,Wind blowing from the east,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.2,21.7,,,2500 or more  or no clouds.,,,3.9,16.0,No precipitation,12,,,,
04.04.2020 20:00,17.7,758.9,764.4,1.1,88,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,21.7,,,2500 or more  or no clouds.,,,30.0,15.6,No precipitation,12,,,,
04.04.2020 17:00,18.3,757.8,763.2,-0.7,89,Wind blowing from the north-east,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,21.7,,,2500 or more  or no clouds.,,,30.0,16.4,0.2,12,,,,
04.04.2020 14:00,20.9,758.5,763.9,-1.9,77,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,21.2,,,2500 or more  or no clouds.,,,30.0,16.7,0.3,12,,,,
04.04.2020 11:00,18.3,760.4,765.9,0.7,95,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,18.3,,,2500 or more  or no clouds.,,,25.0,17.4,6.0,12,,,,
04.04.2020 08:00,16.9,759.7,765.2,1.5,100,Wind blowing from the east-southeast,1,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,,,,2500 or more  or no clouds.,,,1.0,16.9,7.0,12,,,,
04.04.2020 05:00,16.7,758.2,763.6,-0.1,100,Wind blowing from the east,1,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.5,17.8,,,2500 or more  or no clouds.,,,0.7,16.7,9.0,12,,,,
04.04.2020 02:00,16.8,758.3,763.8,-0.8,100,Wind blowing from the south,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,17.8,,,2500 or more  or no clouds.,,,3.0,16.8,10.0,12,,,,
03.04.2020 23:00,16.7,759.1,764.5,1.8,100,Wind blowing from the north-northwest,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.2,17.8,,,2500 or more  or no clouds.,,,5.0,16.7,6.0,12,,,,
03.04.2020 20:00,16.7,757.3,762.8,-0.1,100,Wind blowing from the north-east,4,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,17.8,,,2500 or more  or no clouds.,,,3.3,16.7,5.0,12,,,,
03.04.2020 17:00,17.6,757.4,762.9,-0.9,99,Wind blowing from the north-west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,17.8,,,2500 or more  or no clouds.,,,8.0,17.4,2.0,12,,,,
03.04.2020 14:00,17.4,758.3,763.8,-0.8,100,Wind blowing from the north-east,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,17.6,,,2500 or more  or no clouds.,,,3.2,17.4,2.0,12,,,,
03.04.2020 11:00,17.5,759.1,764.5,1.1,100,Wind blowing from the west-northwest,2,,4,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,17.6,,,2500 or more  or no clouds.,,,0.9,17.5,0.7,12,,,,
03.04.2020 08:00,16.7,758.0,763.5,0.7,100,Wind blowing from the east-northeast,1,,,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.7,,,2500 or more  or no clouds.,,,0.1,16.7,0.8,12,,,,
03.04.2020 05:00,16.5,757.3,762.7,-0.1,100,Wind blowing from the south-east,1,,4,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,,16.5,,,2500 or more  or no clouds.,,,0.2,16.5,1.0,12,,,,
03.04.2020 02:00,16.4,757.4,762.9,-1.0,100,Wind blowing from the east,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,,16.5,,,2500 or more  or no clouds.,,,0.1,16.4,1.0,12,,,,
02.04.2020 23:00,16.3,758.4,763.9,0.8,100,Wind blowing from the south-southeast,1,,5,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,,16.5,,,2500 or more  or no clouds.,,,0.1,16.3,1.0,12,,,,
02.04.2020 20:00,16.3,757.6,763.0,1.1,100,Wind blowing from the north-northeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,14.5,16.5,,,2500 or more  or no clouds.,,,0.6,16.3,1.0,12,,,,
02.04.2020 17:00,16.2,756.5,762.0,-0.8,100,Wind blowing from the east-northeast,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,16.5,,,2500 or more  or no clouds.,,,0.7,16.2,0.3,12,,,,
02.04.2020 14:00,16.3,757.3,762.7,-1.3,100,Wind blowing from the east-northeast,2,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,17.2,,,2500 or more  or no clouds.,,,0.8,16.3,0.3,12,,,,
02.04.2020 11:00,15.7,758.6,764.1,0.1,100,Wind blowing from the east,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,,,,2500 or more  or no clouds.,,,1.0,15.7,0.2,12,,,,
02.04.2020 08:00,14.9,758.5,763.9,1.2,100,Wind blowing from the south-southeast,1,,3,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,,,,2500 or more  or no clouds.,,,0.3,14.9,0.1,12,,,,
02.04.2020 05:00,14.7,757.3,762.7,-0.2,100,Wind blowing from the east-northeast,2,,5,,Mist. ,,,14.3,17.5,,,2500 or more  or no clouds.,,,1.1,14.7,0.4,12,,,,
02.04.2020 02:00,14.8,757.5,763.0,-0.2,100,Wind blowing from the east-southeast,1,,5,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,17.5,,,2500 or more  or no clouds.,,,0.4,14.8,0.3,12,,,,
01.04.2020 23:00,14.8,757.7,763.2,0.6,99,Wind blowing from the south-east,1,,5,,Mist. ,,,14.3,17.5,,,2500 or more  or no clouds.,,,3.6,14.6,0.4,12,,,,
01.04.2020 20:00,14.5,757.1,762.6,1.5,100,Wind blowing from the east,2,,,,Fog or ice fog. ,Rain.,Drizzle.,14.3,17.5,,,2500 or more  or no clouds.,,,1.2,14.5,0.4,12,,,,
01.04.2020 17:00,15.9,755.6,761.1,-0.5,87,Wind blowing from the east,3,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,17.5,,,2500 or more  or no clouds.,,,14.0,13.7,0.5,12,,,,
01.04.2020 14:00,17.2,756.1,761.6,-2.1,81,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,17.5,,,2500 or more  or no clouds.,,,28.0,13.9,0.7,12,,,,
01.04.2020 11:00,16.2,758.2,763.7,0.0,96,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,16.2,,,2500 or more  or no clouds.,,,11.0,15.5,0.6,12,,,,
01.04.2020 08:00,14.6,758.2,763.6,2.1,99,Wind blowing from the south,1,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,16.2,,,2500 or more  or no clouds.,,,6.0,14.4,0.6,12,,,,
01.04.2020 05:00,14.8,756.1,761.5,-0.2,100,Wind blowing from the west-southwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.8,16.2,,,2500 or more  or no clouds.,,,3.9,14.8,0.3,12,,,,
01.04.2020 02:00,14.5,756.3,761.8,-0.5,100,Wind blowing from the south-southeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,16.2,,,2500 or more  or no clouds.,,,0.6,14.5,0.1,12,,,,
31.03.2020 23:00,15.5,756.8,762.3,1.1,99,Wind blowing from the south-east,1,,5,,Mist. ,,,13.6,16.2,,,2500 or more  or no clouds.,,,4.0,15.3,0.2,12,,,,
31.03.2020 20:00,15.7,755.7,761.2,1.1,100,Wind blowing from the west-northwest,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,16.2,,,600-1000,,,30.0,15.7,0.5,12,,,,
31.03.2020 17:00,16.0,754.6,760.0,-0.3,99,Wind blowing from the west-northwest,3,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,16.2,,,600-1000,,,30.0,15.8,0.6,12,,,,
31.03.2020 14:00,15.7,754.9,760.4,-1.8,99,Wind blowing from the north-west,2,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Fog or ice fog or thick haze.,13.6,15.7,,,600-1000,,,10.0,15.5,1.0,12,,,,
31.03.2020 11:00,14.9,756.7,762.2,0.3,100,Wind blowing from the north-west,1,,5,100%.,Mist. ,Rain.,Fog or ice fog or thick haze.,13.6,15.1,,,600-1000,,,4.8,14.9,1.0,12,,,,
31.03.2020 08:00,14.0,756.4,761.8,1.5,100,Wind blowing from the south-east,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,13.6,,,,1000-1500,,,0.5,14.0,1.0,12,,,,
31.03.2020 05:00,13.8,754.9,760.3,0.0,100,Wind blowing from the east-northeast,2,,5,,Fog or ice fog. ,,,13.6,,,,2500 or more  or no clouds.,,,1.4,13.8,2.0,12,,,,
31.03.2020 02:00,13.6,754.9,760.4,-0.6,100,Wind blowing from the east,2,,4,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,,,,2500 or more  or no clouds.,,,0.4,13.6,1.0,12,,,,
30.03.2020 23:00,13.8,755.5,761.0,0.9,100,Wind blowing from the east-southeast,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.8,,,,2500 or more  or no clouds.,,,1.2,13.8,1.0,12,,,,
30.03.2020 20:00,13.9,754.6,760.0,1.0,100,Wind blowing from the east-southeast,1,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,13.9,,,,300-600,,,0.8,13.9,2.0,12,,,,
30.03.2020 17:00,14.2,753.6,759.1,-0.8,100,Wind blowing from the east,2,,8,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,,,,600-1000,,,3.6,14.2,1.0,12,,,,
30.03.2020 14:00,14.7,754.4,759.9,-2.0,99,Wind blowing from the east-southeast,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,14.2,17.0,,,600-1000,,,4.1,14.5,2.0,12,,,,
30.03.2020 11:00,14.4,756.4,761.8,0.6,99,Wind blowing from the north-east,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,14.2,17.9,,,300-600,,,3.5,14.2,3.0,12,,,,
30.03.2020 08:00,14.2,755.8,761.2,1.6,100,Wind blowing from the north,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,14.2,17.9,,,300-600,,,1.1,14.2,3.0,12,,,,
30.03.2020 05:00,15.0,754.2,759.6,-0.1,100,Wind blowing from the east,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.0,17.9,,,2500 or more  or no clouds.,,,3.1,15.0,3.0,12,,,,
30.03.2020 02:00,16.7,754.3,759.7,0.1,100,Wind blowing from the north-east,3,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,3.8,16.7,2.0,12,,,,
29.03.2020 23:00,17.0,754.2,759.6,1.1,100,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,,17.9,,,2500 or more  or no clouds.,,,2.2,17.0,1.0,12,,,,
29.03.2020 20:00,16.7,753.1,758.5,0.7,100,Wind blowing from the north-east,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,15.5,19.6,,,300-600,,,1.1,16.7,1.0,12,,,,
29.03.2020 17:00,17.0,752.4,757.8,-1.3,100,Wind blowing from the north-east,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,15.5,20.4,,,300-600,,,0.4,17.0,0.5,12,,,,
29.03.2020 14:00,17.0,753.7,759.1,-1.8,99,Wind blowing from the north,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,,,,300-600,,,1.1,16.8,0.1,12,,,,
29.03.2020 11:00,17.4,755.5,760.9,-0.1,100,Wind blowing from the east,2,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,21.7,,,1000-1500,,,6.0,17.4,No precipitation,12,,,,
29.03.2020 08:00,16.0,755.6,761.0,0.7,100,Wind blowing from the east,3,,7,100%.,Mist. ,Rain.,Drizzle.,15.5,21.7,,,600-1000,,,6.0,16.0,Trace of precipitation,12,,,,
29.03.2020 05:00,15.5,754.9,760.3,-1.2,100,Wind blowing from the east,4,,7,,Cloud development not observed or not observable. ,,,15.5,21.7,,,2500 or more  or no clouds.,,,7.0,15.5,No precipitation,12,,,,
29.03.2020 02:00,17.0,756.1,761.5,-0.3,86,Wind blowing from the east-northeast,3,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,21.7,,,2500 or more  or no clouds.,,,20.0,14.6,0.1,12,,,,
28.03.2020 23:00,17.9,756.4,761.8,1.7,86,Wind blowing from the north-northeast,4,,8,,Cloud development not observed or not observable. ,,,17.9,21.7,,,2500 or more  or no clouds.,,,22.0,15.5,0.1,12,,,,
28.03.2020 20:00,19.4,754.7,760.1,0.7,74,Wind blowing from the east-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,21.7,,,600-1000,,,30.0,14.6,0.1,12,,,,
28.03.2020 17:00,20.4,754.0,759.4,-1.5,71,Wind blowing from the north-east,5,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,,,,1000-1500,,,30.0,14.9,0.1,12,,,,
28.03.2020 14:00,20.9,755.5,760.8,-1.8,72,Wind blowing from the north-east,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,,,,1000-1500,,,30.0,15.6,0.1,12,,,,
28.03.2020 11:00,20.0,757.3,762.7,1.0,100,Wind blowing from the east-southeast,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,,,,600-1000,,,10.0,20.0,3.0,12,,,,
28.03.2020 08:00,20.7,756.3,761.7,1.6,100,Wind blowing from the north-northeast,4,,8,100%.,Cloud development not observed or not observable. ,Rain.,Fog or ice fog or thick haze.,20.1,,,,600-1000,,,30.0,20.7,10.0,12,,,,
28.03.2020 05:00,20.4,754.7,760.0,-0.4,98,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,,,20.1,28.2,,,2500 or more  or no clouds.,,,19.0,20.0,33.0,12,,,,
28.03.2020 02:00,20.2,755.1,760.4,-0.4,100,Wind blowing from the north-northwest,2,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,28.2,,,2500 or more  or no clouds.,,,3.9,20.2,32.0,12,,,,
27.03.2020 23:00,20.4,755.5,760.9,1.9,100,Wind blowing from the east,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.1,28.2,,,2500 or more  or no clouds.,,,30.0,20.4,30.0,12,,,,
27.03.2020 20:00,20.6,753.6,758.9,2.0,100,Wind blowing from the east-northeast,4,,11,100%.,Rain  not freezing  intermittent  heavy at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,28.2,,,600-1000,,,0.5,20.6,22.0,12,,,,
27.03.2020 17:00,26.8,751.6,756.9,-1.2,74,Wind blowing from the south,3,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,28.2,,,1000-1500,,,30.0,21.7,No precipitation,12,,,,
27.03.2020 14:00,27.2,752.8,758.0,-1.9,78,Wind blowing from the south,2,,,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,28.0,,,1000-1500,,,27.0,23.0,No precipitation,12,,,,
27.03.2020 11:00,27.2,754.7,760.0,0.1,81,Wind blowing from the south-southeast,4,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,27.7,,,1000-1500,,,8.0,23.6,No precipitation,12,,,,
27.03.2020 08:00,22.9,754.6,759.9,1.1,98,Wind blowing from the east,3,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,27.7,,,1000-1500,,,4.2,22.5,No precipitation,12,,,,
27.03.2020 05:00,22.6,753.5,758.8,-0.7,98,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,21.1,27.7,,,2500 or more  or no clouds.,,,7.0,22.2,No precipitation,12,,,,
27.03.2020 02:00,23.1,754.2,759.4,-0.5,99,Wind blowing from the south-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,27.7,,,2500 or more  or no clouds.,,,11.0,23.0,No precipitation,12,,,,
