Local time in Darhan Muminggan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 08:00,-1.4,653.3,773.3,0.9,33,Wind blowing from the south-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,11.4,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
03.04.2020 05:00,-4.3,652.4,771.9,-0.2,36,Wind blowing from the south-east,2,,,,Cloud development not observed or not observable. ,,,-9.6,11.4,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
03.04.2020 02:00,-1.9,652.6,771.9,,30,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.4,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
02.04.2020 20:00,6.7,651.4,772.3,0.6,14,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,11.4,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
02.04.2020 17:00,11.1,650.8,771.0,-0.9,8,Wind blowing from the west-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,11.3,,,2500 or more  or no clouds.,,,30.0,-22.0,No precipitation,12,,,,
02.04.2020 14:00,9.8,651.7,771.8,-1.2,8,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,10.1,,,2500 or more  or no clouds.,,,30.0,-23.0,No precipitation,12,,,,
02.04.2020 11:00,5.5,652.9,773.3,0.0,8,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,5.8,,,2500 or more  or no clouds.,,,30.0,-26.2,No precipitation,12,,,,
02.04.2020 08:00,-6.6,652.9,775.3,1.1,29,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,5.5,,,2500 or more  or no clouds.,,,30.0,-21.7,No precipitation,12,,,,
02.04.2020 05:00,-8.9,651.8,773.8,0.1,30,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,,,-9.6,5.5,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
02.04.2020 02:00,-6.2,651.7,773.1,,22,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,5.5,,,2500 or more  or no clouds.,,,30.0,-24.5,No precipitation,12,,,,
01.04.2020 20:00,1.0,650.7,772.3,0.8,9,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,5.5,,,2500 or more  or no clouds.,,,30.0,-28.4,No precipitation,12,,,,
01.04.2020 17:00,4.5,649.9,771.4,-0.9,6,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,5.5,,,2500 or more  or no clouds.,,,30.0,-30.1,No precipitation,12,,,,
01.04.2020 14:00,4.4,650.8,772.0,-1.8,7,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,4.6,,,2500 or more  or no clouds.,,,30.0,-28.5,No precipitation,12,,,,
01.04.2020 11:00,1.5,652.6,774.2,0.0,10,Wind blowing from the east-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,4.6,,,2500 or more  or no clouds.,,,30.0,-26.9,No precipitation,12,,,,
01.04.2020 08:00,-4.9,652.6,774.7,0.5,32,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,4.6,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
01.04.2020 05:00,-7.9,652.1,774.1,-0.5,32,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,,,-7.9,4.6,,,2500 or more  or no clouds.,,,30.0,-21.7,No precipitation,12,,,,
01.04.2020 02:00,-6.2,652.6,774.3,,28,Wind blowing from the north-northwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,4.6,,,2500 or more  or no clouds.,,,30.0,-21.7,No precipitation,12,,,,
31.03.2020 20:00,0.8,651.5,773.2,1.3,17,Wind blowing from the east-northeast,3,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,9.1,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
31.03.2020 17:00,3.7,650.2,770.8,0.1,12,Wind blowing from the north-east,6,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,12.7,,,2500 or more  or no clouds.,,,30.0,-23.1,No precipitation,12,,,,
31.03.2020 14:00,3.8,650.1,769.9,-0.3,17,Wind blowing from the north-east,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,13.5,,,2500 or more  or no clouds.,,,30.0,-19.0,No precipitation,12,,,,
31.03.2020 11:00,1.2,650.4,769.6,1.3,24,Wind blowing from the north-east,6,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
31.03.2020 08:00,-4.0,649.1,768.6,2.1,38,Wind blowing from the north,4,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,13.5,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
31.03.2020 05:00,-3.9,647.0,765.0,1.2,36,Wind blowing from the north-northwest,3,,12,,Cloud development not observed or not observable. ,,,-3.9,13.5,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
31.03.2020 02:00,-0.3,645.8,762.7,,29,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,13.5,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
30.03.2020 20:00,8.1,644.2,761.5,1.2,20,Wind blowing from the west-northwest,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,13.5,,,1000-1500,,,28.0,-13.5,No precipitation,12,,,,
30.03.2020 17:00,12.8,643.0,759.6,-0.3,10,Wind blowing from the west,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,13.5,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,12,,,,
30.03.2020 14:00,13.1,643.3,759.6,-0.9,5,Wind blowing from the west,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,13.3,,,1000-1500,,,30.0,-25.8,No precipitation,12,,,,
30.03.2020 11:00,10.5,644.2,760.9,0.8,18,Wind blowing from the south-west,6,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,11.5,,,1000-1500,,,19.0,-12.8,No precipitation,12,,,,
30.03.2020 08:00,1.6,643.4,761.0,0.1,62,Wind blowing from the south-west,4,,7,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,11.5,,,2500 or more  or no clouds.,,,7.0,-4.9,No precipitation,12,,,,
30.03.2020 05:00,-1.2,643.3,760.6,-0.6,47,Wind blowing from the south-east,1,,11,,Cloud development not observed or not observable. ,,,-2.5,11.5,,,2500 or more  or no clouds.,,,26.0,-11.1,No precipitation,12,,,,
30.03.2020 02:00,0.1,643.9,760.8,,32,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.5,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
29.03.2020 20:00,6.3,643.2,761.4,0.6,23,Wind blowing from the south-west,3,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.5,,,2500 or more  or no clouds.,,,28.0,-13.3,No precipitation,12,,,,
29.03.2020 17:00,10.7,642.6,759.7,-0.8,14,Wind blowing from the west,5,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.5,,,2500 or more  or no clouds.,,,29.0,-15.7,No precipitation,12,,,,
29.03.2020 14:00,10.9,643.4,760.5,-1.7,14,Wind blowing from the west-southwest,5,,10,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,10.9,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
29.03.2020 11:00,6.8,645.1,763.3,-0.1,52,Wind blowing from the south-west,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,8.8,,,2500 or more  or no clouds.,,,11.0,-2.6,No precipitation,12,,,,
29.03.2020 08:00,-1.3,645.2,764.7,0.5,97,Wind blowing from the south-west,3,,7,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,8.8,,,1000-1500,,,1.4,-1.7,No precipitation,12,,,,
29.03.2020 05:00,-1.6,644.7,762.9,-0.9,88,Wind blowing from the south-southwest,1,,11,,Mist. ,,,-10.6,8.8,,,2500 or more  or no clouds.,,,6.0,-3.3,No precipitation,12,,,,
29.03.2020 02:00,-0.9,645.6,763.8,,83,Wind blowing from the south-west,2,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,8.8,,,2500 or more  or no clouds.,,,5.0,-3.4,No precipitation,12,,,,
28.03.2020 20:00,2.4,645.3,766.3,0.6,59,Wind blowing from the south,4,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,8.8,,,2500 or more  or no clouds.,,,16.0,-4.8,No precipitation,12,,,,
28.03.2020 17:00,7.8,644.7,764.8,-1.3,21,Wind blowing from the south-southwest,5,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,8.8,,,2500 or more  or no clouds.,,,28.0,-13.2,No precipitation,12,,,,
28.03.2020 14:00,7.8,646.0,765.8,-2.7,15,Wind blowing from the south-west,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,8.1,,,,,,30.0,-17.2,No precipitation,12,,,,
28.03.2020 11:00,4.3,648.7,769.1,-1.2,15,Wind blowing from the south-southwest,4,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,4.4,,,2500 or more  or no clouds.,,,30.0,-20.1,No precipitation,12,,,,
28.03.2020 08:00,-7.9,649.9,772.9,0.0,53,Wind blowing from the south-east,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,2.6,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
28.03.2020 05:00,-9.9,649.9,772.4,-1.2,61,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,,,-11.0,2.6,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
28.03.2020 02:00,-7.5,651.1,773.2,,44,Wind blowing from the south-southeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,2.6,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
27.03.2020 20:00,-1.7,652.0,775.3,0.0,24,Wind blowing from the north-east,1,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,2.6,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,12,,,,
27.03.2020 17:00,2.2,652.0,774.8,-1.1,12,Wind blowing from the north-northwest,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,2.6,,,,,,30.0,-24.3,No precipitation,12,,,,
27.03.2020 14:00,1.8,653.1,775.7,-0.7,13,Wind blowing from the north-northwest,6,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,1.8,,,,,,30.0,-23.7,No precipitation,12,,,,
27.03.2020 11:00,-0.8,653.8,776.8,0.6,17,Wind blowing from the north-northwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,-0.3,,,,,,30.0,-22.8,No precipitation,12,,,,
27.03.2020 08:00,-7.9,653.2,777.1,0.6,53,Wind blowing from the east-southeast,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,-0.3,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
27.03.2020 05:00,-9.7,652.6,776.2,-0.2,62,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,,,-11.3,-0.3,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
27.03.2020 02:00,-7.7,652.8,776.5,,54,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,-0.3,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
26.03.2020 20:00,-3.2,652.6,776.8,0.7,34,Wind blowing from the north-northwest,3,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,-0.3,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
26.03.2020 17:00,-0.8,651.9,775.2,,24,Wind blowing from the north-northwest,3,,6,60%., ,,,-11.3,-0.7,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,6,,,,
26.03.2020 14:00,-3.1,652.3,775.4,-0.6,45,Wind blowing from the north-northwest,3,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,5.5,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
