Local time in Siping,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,13.6,747.9,764.6,-1.2,12,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,13.6,,,2500 or more  or no clouds.,,,13.0,-15.2,No precipitation,12,,,,
06.04.2020 08:00,7.2,749.1,766.0,-0.5,30,Wind blowing from the south-southeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,11.1,,,2500 or more  or no clouds.,,,5.0,-9.2,No precipitation,12,,,,
06.04.2020 05:00,-5.0,749.6,766.6,-0.5,68,Wind blowing from the south-east,2,,3,,Cloud development not observed or not observable. ,,,-8.8,11.1,,,2500 or more  or no clouds.,,,9.0,-10.1,No precipitation,12,,,,
06.04.2020 02:00,-4.0,750.1,767.0,,70,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,11.1,,,2500 or more  or no clouds.,,,13.0,-8.8,No precipitation,12,,,,
05.04.2020 20:00,0.0,751.3,768.4,0.6,48,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,11.1,,,2500 or more  or no clouds.,,,8.0,-9.9,No precipitation,12,,,,
05.04.2020 17:00,9.9,750.7,767.8,-1.2,11,Wind blowing from the west-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,11.1,,,2500 or more  or no clouds.,,,19.0,-19.2,No precipitation,12,,,,
05.04.2020 14:00,10.0,751.9,769.0,-1.8,10,Wind blowing from the north-west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,10.6,,,2500 or more  or no clouds.,,,20.0,-20.2,No precipitation,12,,,,
05.04.2020 11:00,7.0,753.7,770.8,-0.7,13,Wind blowing from the north-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,7.6,,,2500 or more  or no clouds.,,,16.0,-19.5,No precipitation,12,,,,
05.04.2020 08:00,2.4,754.4,771.5,0.1,35,Wind blowing from the south-southeast,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,5.9,,,2500 or more  or no clouds.,,,6.0,-11.8,No precipitation,12,,,,
05.04.2020 05:00,-8.7,754.3,771.7,0.0,81,Wind blowing from the south-southeast,1,,9,,Cloud development not observed or not observable. ,,,-8.9,5.9,,,2500 or more  or no clouds.,,,28.0,-11.4,No precipitation,12,,,,
05.04.2020 02:00,-6.6,754.3,771.7,,74,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,5.9,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
04.04.2020 20:00,1.8,754.8,772.0,0.8,19,Wind blowing from the north,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,5.9,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
04.04.2020 17:00,5.0,754.0,771.1,-0.3,13,Wind blowing from the north,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,10.1,,,2500 or more  or no clouds.,,,30.0,-21.1,No precipitation,12,,,,
04.04.2020 14:00,5.2,754.3,771.4,-0.8,13,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,2500 or more  or no clouds.,,,30.0,-21.0,No precipitation,12,,,,
04.04.2020 11:00,2.9,755.1,772.3,-0.3,18,Wind blowing from the north-northwest,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
04.04.2020 08:00,0.9,755.4,772.5,1.1,24,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
04.04.2020 05:00,-2.6,754.3,771.3,1.0,43,Wind blowing from the north-west,3,,18,,Cloud development not observed or not observable. ,,,-2.6,,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
04.04.2020 02:00,-0.7,753.3,769.9,,35,Wind blowing from the north-west,4,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,19.9,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
03.04.2020 20:00,3.6,748.9,765.7,5.9,39,Wind blowing from the north,6,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,19.9,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
03.04.2020 17:00,10.1,743.0,759.6,2.5,36,Wind blowing from the north,9,,,,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,19.9,,,2500 or more  or no clouds.,,,5.0,-4.6,No precipitation,12,,,,
03.04.2020 14:00,19.7,740.5,756.7,,12,Wind blowing from the west,10,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,19.7,,,2500 or more  or no clouds.,,,11.0,-10.5,No precipitation,12,,,,
03.04.2020 08:00,6.7,745.6,762.3,-0.2,52,Wind blowing from the south-west,7,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,,,,2500 or more  or no clouds.,,,10.0,-2.6,No precipitation,12,,,,
03.04.2020 05:00,3.1,745.8,762.2,-0.7,61,Wind blowing from the south-southwest,5,,7,,Cloud development not observed or not observable. ,,,1.9,17.9,,,2500 or more  or no clouds.,,,12.0,-3.8,No precipitation,12,,,,
03.04.2020 02:00,3.2,746.5,762.9,,53,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,17.9,,,2500 or more  or no clouds.,,,29.0,-5.6,No precipitation,12,,,,
02.04.2020 20:00,6.0,746.6,763.3,1.3,42,Wind blowing from the north-east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.9,,,2500 or more  or no clouds.,,,9.0,-6.2,No precipitation,12,,,,
02.04.2020 17:00,16.8,745.3,761.7,-0.3,12,Wind blowing from the west-northwest,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.9,,,2500 or more  or no clouds.,,,13.0,-12.7,No precipitation,12,,,,
02.04.2020 14:00,17.0,745.6,762.0,-0.8,14,Wind blowing from the west-southwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,17.5,,,2500 or more  or no clouds.,,,17.0,-10.6,No precipitation,12,,,,
02.04.2020 11:00,12.3,746.4,763.0,-0.6,24,Wind blowing from the south-west,7,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,13.0,,,2500 or more  or no clouds.,,,16.0,-7.6,No precipitation,12,,,,
02.04.2020 08:00,6.8,747.0,763.7,0.5,36,Wind blowing from the south-southwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,12.1,,,2500 or more  or no clouds.,,,26.0,-7.5,No precipitation,12,,,,
02.04.2020 05:00,2.5,746.5,763.1,-0.1,44,Wind blowing from the south-west,6,,10,,Cloud development not observed or not observable. ,,,-5.5,12.1,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
02.04.2020 02:00,3.5,746.6,763.3,,37,Wind blowing from the south-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.1,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
01.04.2020 20:00,4.2,747.6,764.5,0.2,37,Wind blowing from the south-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.1,,,2500 or more  or no clouds.,,,9.0,-9.5,No precipitation,12,,,,
01.04.2020 17:00,11.4,747.4,764.2,-1.1,16,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.1,,,2500 or more  or no clouds.,,,26.0,-13.5,No precipitation,12,,,,
01.04.2020 14:00,11.2,748.5,765.4,-2.1,13,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.5,,,2500 or more  or no clouds.,,,28.0,-16.2,No precipitation,12,,,,
01.04.2020 11:00,8.2,750.6,767.4,-0.4,17,Wind blowing from the west-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,13.0,,,2500 or more  or no clouds.,,,20.0,-15.4,No precipitation,12,,,,
01.04.2020 08:00,3.6,751.0,767.8,0.9,35,Wind blowing from the east-northeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,13.0,,,2500 or more  or no clouds.,,,21.0,-10.4,No precipitation,12,,,,
01.04.2020 05:00,-3.5,750.1,767.0,0.9,60,Wind blowing from the north,0,,10,,Cloud development not observed or not observable. ,,,-5.1,13.0,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
01.04.2020 02:00,-2.4,749.2,766.0,,49,Wind blowing from the south-west,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,13.0,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
31.03.2020 20:00,7.7,748.1,764.7,1.9,18,Wind blowing from the north-west,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,13.0,,,,,,23.0,-15.1,No precipitation,12,,,,
31.03.2020 17:00,11.0,746.2,762.7,0.3,16,Wind blowing from the north-northwest,3,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,15.1,,,1500-2000,,,29.0,-13.8,No precipitation,12,,,,
31.03.2020 14:00,12.0,745.9,762.4,0.0,20,Wind blowing from the north-northwest,4,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,16.6,,,1500-2000,,,21.0,-10.2,No precipitation,12,,,,
31.03.2020 11:00,10.8,745.9,762.3,1.5,41,Wind blowing from the west-northwest,3,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,,,,2500 or more  or no clouds.,,,11.0,-2.2,No precipitation,12,,,,
31.03.2020 08:00,9.2,744.4,760.9,1.1,51,Wind blowing from the west-southwest,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,,,,2500 or more  or no clouds.,,,11.0,-0.6,No precipitation,12,,,,
31.03.2020 05:00,9.1,743.3,759.6,-0.3,45,Wind blowing from the south-southwest,8,,15,,Cloud development not observed or not observable. ,,,5.1,16.6,,,2500 or more  or no clouds.,,,18.0,-2.4,No precipitation,12,,,,
31.03.2020 02:00,9.6,743.6,759.9,,45,Wind blowing from the south-southwest,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,16.6,,,2500 or more  or no clouds.,,,21.0,-2.0,No precipitation,12,,,,
30.03.2020 20:00,10.8,744.3,760.7,0.9,46,Wind blowing from the south-southwest,5,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,16.6,,,,,,11.0,-0.6,No precipitation,12,,,,
30.03.2020 17:00,15.1,743.4,759.7,-0.7,29,Wind blowing from the south-southwest,7,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,16.6,,,,,,12.0,-2.7,No precipitation,12,,,,
30.03.2020 14:00,15.7,744.1,760.5,-1.6,22,Wind blowing from the south-southwest,9,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,15.9,,,,,,15.0,-5.9,No precipitation,12,,,,
30.03.2020 11:00,12.3,745.7,762.2,0.1,21,Wind blowing from the south-southwest,8,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,14.2,,,2500 or more  or no clouds.,,,19.0,-9.3,No precipitation,12,,,,
30.03.2020 08:00,8.1,745.6,762.2,0.4,19,Wind blowing from the south-southwest,8,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
30.03.2020 05:00,5.3,745.2,761.7,-0.2,28,Wind blowing from the south-southwest,7,,14,,Cloud development not observed or not observable. ,,,1.5,14.2,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
30.03.2020 02:00,5.2,745.4,761.8,,30,Wind blowing from the south-southwest,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,14.2,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
29.03.2020 20:00,6.4,745.5,762.2,0.8,37,Wind blowing from the south,5,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,14.2,,,,,,29.0,-7.2,No precipitation,12,,,,
29.03.2020 17:00,11.6,744.7,761.4,-0.4,20,Wind blowing from the south-southwest,10,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,14.2,,,,,,25.0,-10.5,No precipitation,12,,,,
29.03.2020 14:00,14.2,745.1,761.7,-2.0,19,Wind blowing from the south-southwest,9,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,14.2,,,,,,20.0,-9.0,No precipitation,12,,,,
29.03.2020 11:00,10.6,747.1,763.8,-1.0,22,Wind blowing from the south-west,9,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,10.6,,,,,,29.0,-10.2,No precipitation,12,,,,
29.03.2020 08:00,5.1,748.1,765.1,0.1,26,Wind blowing from the south-southwest,10,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,7.0,,,,,,30.0,-12.8,No precipitation,12,,,,
29.03.2020 05:00,2.0,748.0,764.8,-0.6,27,Wind blowing from the south-southwest,5,,11,,Cloud development not observed or not observable. ,,,-7.7,7.0,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
29.03.2020 02:00,1.5,748.6,765.5,,32,Wind blowing from the south,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.0,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
28.03.2020 20:00,1.1,748.8,765.9,0.0,40,Wind blowing from the south,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.0,,,,,,30.0,-11.2,No precipitation,12,,,,
28.03.2020 17:00,5.9,748.8,766.0,-1.5,22,Wind blowing from the south-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.0,,,,,,30.0,-14.1,No precipitation,12,,,,
28.03.2020 14:00,6.3,750.3,767.5,-1.9,19,Wind blowing from the west-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,6.8,,,,,,30.0,-15.6,No precipitation,12,,,,
28.03.2020 11:00,3.9,752.2,769.3,-0.4,28,Wind blowing from the south-west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,6.8,,,,,,30.0,-13.3,No precipitation,12,,,,
28.03.2020 08:00,-0.4,752.6,769.9,0.8,47,Wind blowing from the south-west,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,6.8,,,,,,29.0,-10.5,No precipitation,12,,,,
28.03.2020 05:00,-7.0,751.8,769.1,0.6,70,Wind blowing from the south-southeast,1,,14,,Cloud development not observed or not observable. ,,,-7.5,6.8,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
28.03.2020 02:00,-6.2,751.2,768.4,,70,Wind blowing from the south-west,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,6.8,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
27.03.2020 20:00,0.0,750.5,767.7,1.3,31,Wind blowing from the west,3,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,6.8,,,,,,30.0,-15.4,No precipitation,12,,,,
27.03.2020 17:00,3.2,749.2,766.5,1.0,22,Wind blowing from the west-northwest,7,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,6.8,,,,,,30.0,-16.4,No precipitation,12,,,,
27.03.2020 14:00,5.4,748.2,765.3,-1.6,23,Wind blowing from the west-northwest,6,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,5.9,,,600-1000,,,30.0,-14.0,No precipitation,12,,,,
27.03.2020 11:00,3.5,749.8,766.9,-0.7,24,Wind blowing from the west-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,4.1,,,,,,30.0,-15.1,No precipitation,12,,,,
27.03.2020 08:00,-0.4,750.5,767.7,-0.3,54,Wind blowing from the south-west,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,2.8,,,,,,24.0,-8.7,No precipitation,12,,,,
27.03.2020 05:00,-6.7,750.8,768.1,-0.4,88,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,-6.7,7.1,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
27.03.2020 02:00,-5.4,751.2,768.4,,82,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,8.5,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
26.03.2020 20:00,0.2,750.4,767.5,1.2,92,Wind blowing from the south-west,3,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,,,,1500-2000,,,30.0,-1.0,3.0,12,,,,
26.03.2020 17:00,2.2,749.2,766.1,,80,Wind blowing from the south-west,3,,12,100%., ,,,0.4,14.4,,,1500-2000,,,30.0,-1.0,0.3,6,,,,
26.03.2020 14:00,2.3,749.0,765.8,-1.6,76,Wind blowing from the south-southeast,2,,12,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,0.4,16.1,,,1500-2000,,,30.0,-1.6,3.0,12,,,,
26.03.2020 11:00,0.6,750.6,767.4,,98,Wind blowing from the north-west,3,,12,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,0.4,16.3,,,1000-1500,,,8.0,0.3,2.0,6,,,,
26.03.2020 08:00,2.0,749.1,765.8,3.8,88,Wind blowing from the north-northwest,5,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,16.3,,,1000-1500,,,30.0,0.2,No precipitation,12,,,,
26.03.2020 05:00,7.2,745.3,761.8,,53,Wind blowing from the west-northwest,2,,,, ,,,7.1,16.3,,,,,,23.0,-1.9,No precipitation,6,,,,
