Local time in Fujin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 08:00,-0.3,758.9,765.3,0.4,61,Wind blowing from the north-northwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,3.4,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
05.04.2020 05:00,-2.8,758.5,765.0,0.3,67,Wind blowing from the north-northwest,5,,,,Cloud development not observed or not observable. ,,,-3.0,3.4,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
05.04.2020 02:00,-1.3,758.2,764.6,0.5,69,Wind blowing from the north,4,,16,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,3.4,,,2500 or more  or no clouds.,,,2.5,-6.4,No precipitation,12,,,,
04.04.2020 23:00,0.8,757.7,764.1,0.4,65,Wind blowing from the north-northeast,6,,17,,Cloud development not observed or not observable. ,,,-2.7,3.4,,,2500 or more  or no clouds.,,,30.0,-5.2,0.6,12,,,,
04.04.2020 20:00,2.3,757.3,763.7,1.5,62,Wind blowing from the north-east,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,3.4,,,2500 or more  or no clouds.,,,29.0,-4.4,2.0,12,,,,
04.04.2020 17:00,3.1,755.8,762.1,1.5,58,Wind blowing from the north-northeast,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,3.4,,,2500 or more  or no clouds.,,,20.0,-4.4,7.0,12,,,,
04.04.2020 14:00,3.0,754.3,760.6,0.2,64,Wind blowing from the north-northeast,7,,17,,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,-2.7,8.4,,,2500 or more  or no clouds.,,,30.0,-3.3,11.0,12,,,,
04.04.2020 11:00,-0.2,754.1,760.5,0.7,82,Wind blowing from the north-northeast,9,,14,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,-2.7,,,,2500 or more  or no clouds.,,,11.0,-2.9,13.0,12,,,,
04.04.2020 08:00,-2.3,753.4,759.8,1.5,97,Wind blowing from the north,6,,14,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,,,,2500 or more  or no clouds.,,,0.6,-2.7,15.0,12,,,,
04.04.2020 05:00,-2.0,751.9,758.3,1.3,98,Wind blowing from the north,6,,14,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,-4.4,,,,2500 or more  or no clouds.,,,0.4,-2.3,18.0,12,,,,
04.04.2020 02:00,-1.3,750.6,756.9,0.0,98,Wind blowing from the north,7,,13,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,8.5,,,2500 or more  or no clouds.,,,1.3,-1.6,15.0,12,,,,
03.04.2020 23:00,-1.9,750.6,756.9,0.4,98,Wind blowing from the north-northwest,6,,13,,Mist. ,,,-4.4,8.5,,,2500 or more  or no clouds.,,,1.1,-2.2,13.0,12,,,,
03.04.2020 20:00,-1.9,750.2,756.5,1.5,99,Wind blowing from the north,6,,13,,Mist. ,Snow and/or other types of solid precipitation,Rain.,-4.4,8.5,,,2500 or more  or no clouds.,,,0.6,-2.0,9.0,12,,,,
03.04.2020 17:00,-0.2,748.7,755.1,1.0,95,Wind blowing from the north-northeast,7,,13,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,8.5,,,2500 or more  or no clouds.,,,0.9,-0.9,1.0,12,,,,
03.04.2020 14:00,7.7,747.7,754.0,-2.7,33,Wind blowing from the south-east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,8.5,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
03.04.2020 11:00,5.9,750.4,756.7,-2.5,27,Wind blowing from the south-southeast,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,13.4,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
03.04.2020 08:00,3.0,752.9,759.2,-0.5,23,Wind blowing from the west-northwest,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,13.4,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
03.04.2020 05:00,-4.0,753.4,759.8,-0.7,46,Wind blowing from the west-southwest,2,,,,Cloud development not observed or not observable. ,,,-4.0,13.4,,,2500 or more  or no clouds.,,,8.0,-13.9,No precipitation,12,,,,
03.04.2020 02:00,-1.5,754.1,760.4,-0.5,34,Wind blowing from the west,4,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,13.4,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
02.04.2020 23:00,-1.9,754.6,760.9,0.8,39,Wind blowing from the west,3,,18,,Cloud development not observed or not observable. ,,,-2.3,13.4,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
02.04.2020 20:00,1.7,753.8,760.1,2.5,31,Wind blowing from the north-northwest,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,13.4,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
02.04.2020 17:00,6.1,751.3,757.6,1.7,30,Wind blowing from the north-northwest,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,13.4,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
02.04.2020 14:00,7.5,749.6,755.8,1.9,42,Wind blowing from the north-northwest,10,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,13.4,,,2500 or more  or no clouds.,,,30.0,-4.6,No precipitation,12,,,,
02.04.2020 11:00,13.3,747.7,753.9,-1.4,24,Wind blowing from the west,9,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,13.4,,,2500 or more  or no clouds.,,,13.0,-6.8,No precipitation,12,,,,
02.04.2020 08:00,8.0,749.1,755.3,-0.8,34,Wind blowing from the west-southwest,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.2,,,2500 or more  or no clouds.,,,12.0,-6.9,No precipitation,12,,,,
02.04.2020 05:00,-2.2,749.9,756.1,-1.4,66,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,,,-2.7,11.2,,,2500 or more  or no clouds.,,,22.0,-7.7,No precipitation,12,,,,
02.04.2020 02:00,-0.2,751.3,757.5,-1.2,63,Wind blowing from the south-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,11.2,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
01.04.2020 23:00,0.2,752.5,758.8,-0.6,62,Wind blowing from the south-southwest,3,,13,,Cloud development not observed or not observable. ,,,-3.8,11.2,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
01.04.2020 20:00,3.0,753.1,759.4,0.9,47,Wind blowing from the south-southwest,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,11.2,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
01.04.2020 17:00,9.8,752.2,758.5,-0.7,26,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,11.2,,,2500 or more  or no clouds.,,,21.0,-8.8,No precipitation,12,,,,
01.04.2020 14:00,10.6,752.9,759.1,-1.6,21,Wind blowing from the west,8,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,10.8,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
01.04.2020 11:00,9.4,754.5,760.8,-1.4,25,Wind blowing from the west,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,9.7,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
01.04.2020 08:00,4.1,755.9,762.2,0.2,63,Wind blowing from the west,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,10.9,,,2500 or more  or no clouds.,,,29.0,-2.5,No precipitation,12,,,,
01.04.2020 05:00,-2.1,755.7,762.1,0.8,67,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,,,-3.8,10.9,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
01.04.2020 02:00,-0.8,754.9,761.2,0.6,62,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,10.9,,,2500 or more  or no clouds.,,,30.0,-7.2,1.0,12,,,,
31.03.2020 23:00,0.6,754.3,760.6,0.7,94,Wind blowing from the west,4,,8,,Mist. ,,,0.6,10.9,,,2500 or more  or no clouds.,,,7.0,-0.3,1.0,12,,,,
31.03.2020 20:00,2.0,753.6,759.9,1.7,96,Wind blowing from the west,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,10.9,,,1000-1500,,,7.0,1.4,1.0,12,,,,
31.03.2020 17:00,3.6,751.9,758.2,0.4,95,Wind blowing from the south,2,,8,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,0.9,12.2,,,1000-1500,,,7.0,2.9,1.0,12,,,,
31.03.2020 14:00,5.0,751.5,757.8,1.0,80,Wind blowing from the north-northwest,5,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,14.7,,,2500 or more  or no clouds.,,,10.0,1.8,0.1,12,,,,
31.03.2020 11:00,8.7,750.5,756.7,-0.2,46,Wind blowing from the north-northwest,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,14.7,,,2500 or more  or no clouds.,,,14.0,-2.3,No precipitation,12,,,,
31.03.2020 08:00,7.6,750.7,756.9,0.0,46,Wind blowing from the west,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,14.7,,,2500 or more  or no clouds.,,,11.0,-3.3,No precipitation,12,,,,
31.03.2020 05:00,1.8,750.7,756.9,-0.4,67,Wind blowing from the south-southeast,3,,5,,Cloud development not observed or not observable. ,,,0.9,14.7,,,2500 or more  or no clouds.,,,14.0,-3.7,No precipitation,12,,,,
31.03.2020 02:00,3.0,751.1,757.3,-0.6,60,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,14.7,,,2500 or more  or no clouds.,,,16.0,-4.0,No precipitation,12,,,,
30.03.2020 23:00,1.1,751.7,757.9,-0.6,73,Wind blowing from the south-southeast,2,,9,,Cloud development not observed or not observable. ,,,0.9,14.7,,,2500 or more  or no clouds.,,,13.0,-3.2,No precipitation,12,,,,
30.03.2020 20:00,4.4,752.3,758.5,0.4,54,Wind blowing from the south-southeast,2,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,14.7,,,2500 or more  or no clouds.,,,18.0,-4.1,No precipitation,12,,,,
30.03.2020 17:00,12.2,751.9,758.0,0.0,27,Wind blowing from the south,2,,14,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,14.7,,,2500 or more  or no clouds.,,,18.0,-6.2,No precipitation,12,,,,
30.03.2020 14:00,14.1,751.9,758.0,-0.6,23,Wind blowing from the west-southwest,5,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,14.1,,,2500 or more  or no clouds.,,,28.0,-6.7,No precipitation,12,,,,
30.03.2020 11:00,12.5,752.5,758.7,0.3,27,Wind blowing from the west,5,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,13.1,,,300-600,,,20.0,-6.0,No precipitation,12,,,,
30.03.2020 08:00,8.9,752.2,758.5,1.3,31,Wind blowing from the west,8,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,12.5,,,2500 or more  or no clouds.,,,22.0,-7.3,No precipitation,12,,,,
30.03.2020 05:00,7.2,750.9,757.0,0.8,31,Wind blowing from the west-southwest,9,,13,,Cloud development not observed or not observable. ,,,-3.7,12.5,,,2500 or more  or no clouds.,,,26.0,-8.8,No precipitation,12,,,,
30.03.2020 02:00,3.3,750.1,756.3,-1.2,46,Wind blowing from the south,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,12.5,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
29.03.2020 23:00,1.2,751.3,757.5,-0.4,52,Wind blowing from the south,4,,12,,Cloud development not observed or not observable. ,,,-4.6,12.5,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
29.03.2020 20:00,4.0,751.7,757.9,0.6,43,Wind blowing from the south-southwest,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,12.5,,,,,,30.0,-7.7,No precipitation,12,,,,
29.03.2020 17:00,10.7,751.1,757.4,-0.8,22,Wind blowing from the south-west,5,,13,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,12.5,,,2500 or more  or no clouds.,,,17.0,-10.1,No precipitation,12,,,,
29.03.2020 14:00,12.2,751.9,758.2,-1.7,20,Wind blowing from the west-southwest,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,12.2,,,,,,30.0,-10.1,No precipitation,12,,,,
29.03.2020 11:00,10.0,753.6,759.9,-1.0,25,Wind blowing from the west-southwest,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,10.0,,,,,,30.0,-9.1,No precipitation,12,,,,
29.03.2020 08:00,4.7,754.6,760.9,-0.2,31,Wind blowing from the west-southwest,9,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,4.7,,,,,,20.0,-11.0,No precipitation,12,,,,
29.03.2020 05:00,-3.8,754.8,761.2,-0.4,61,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,,,-5.3,4.2,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
29.03.2020 02:00,-3.4,755.2,761.6,-0.3,59,Wind blowing from the south-southwest,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,4.2,,,2500 or more  or no clouds.,,,27.0,-10.3,No precipitation,12,,,,
28.03.2020 23:00,-1.7,755.5,761.9,0.4,46,Wind blowing from the south-west,4,,17,,Cloud development not observed or not observable. ,,,-5.3,4.2,,,2500 or more  or no clouds.,,,20.0,-11.8,No precipitation,12,,,,
28.03.2020 20:00,0.2,755.1,761.5,1.6,36,Wind blowing from the west-southwest,5,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,4.2,,,,,,26.0,-13.1,No precipitation,12,,,,
28.03.2020 17:00,2.7,753.5,759.9,0.0,24,Wind blowing from the west,7,,18,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,4.2,,,600-1000,,,30.0,-15.9,No precipitation,12,,,,
28.03.2020 14:00,3.5,753.5,759.9,-0.7,24,Wind blowing from the west,8,,18,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,3.5,,,600-1000,,,30.0,-15.2,No precipitation,12,,,,
28.03.2020 11:00,0.4,754.2,760.6,-0.2,28,Wind blowing from the west,9,,18,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,3.2,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
28.03.2020 08:00,-2.0,754.4,760.9,1.3,36,Wind blowing from the west-northwest,10,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,3.2,,,,,,30.0,-15.1,No precipitation,12,,,,
28.03.2020 05:00,-5.2,753.1,759.5,0.4,66,Wind blowing from the west,6,,12,,Cloud development not observed or not observable. ,,,-5.2,3.2,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
28.03.2020 02:00,-4.5,752.7,759.1,-0.1,65,Wind blowing from the west,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,3.2,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
27.03.2020 23:00,-3.7,752.8,759.1,-0.2,68,Wind blowing from the west,6,,15,,Cloud development not observed or not observable. ,,,-3.7,3.2,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
27.03.2020 20:00,-2.3,753.0,759.4,0.8,53,Wind blowing from the west,4,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,3.8,,,,,,30.0,-10.6,No precipitation,12,,,,
27.03.2020 17:00,0.5,752.2,758.6,0.3,35,Wind blowing from the west,7,,16,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,5.7,,,600-1000,,,25.0,-13.2,No precipitation,12,,,,
27.03.2020 14:00,2.7,751.9,758.2,-1.4,27,Wind blowing from the west,9,,16,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.8,,,600-1000,,,30.0,-14.4,No precipitation,12,,,,
