Local time in Anda,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,6.5,750.0,764.1,0.0,47,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,10.8,,,2500 or more  or no clouds.,,,29.0,-4.0,No precipitation,12,,,,
06.04.2020 08:00,2.3,750.0,764.1,0.0,38,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,2500 or more  or no clouds.,,,13.0,-10.6,No precipitation,12,,,,
06.04.2020 05:00,-0.6,750.0,763.9,-0.9,40,Wind blowing from the south-southwest,2,,4,,Haze. ,,,-4.2,10.8,,,2500 or more  or no clouds.,,,6.0,-12.8,No precipitation,12,,,,
06.04.2020 02:00,0.1,750.9,764.8,,33,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.8,,,2500 or more  or no clouds.,,,11.0,-14.3,No precipitation,12,,,,
05.04.2020 20:00,1.4,752.5,766.7,0.3,32,Wind blowing from the south-southeast,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.8,,,2500 or more  or no clouds.,,,2.6,-13.5,No precipitation,12,,,,
05.04.2020 17:00,10.1,752.2,766.3,-1.3,12,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.8,,,2500 or more  or no clouds.,,,25.0,-18.0,No precipitation,12,,,,
05.04.2020 14:00,10.0,753.5,767.6,-2.0,12,Wind blowing from the west-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.1,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,12,,,,
05.04.2020 11:00,7.5,755.5,769.6,-0.9,17,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,7.7,,,2500 or more  or no clouds.,,,20.0,-16.0,No precipitation,12,,,,
05.04.2020 08:00,2.4,756.4,770.6,0.3,29,Wind blowing from the north-west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,4.5,,,2500 or more  or no clouds.,,,14.0,-13.8,No precipitation,12,,,,
05.04.2020 05:00,-4.0,756.1,770.5,-0.3,57,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,,,-4.1,4.5,,,2500 or more  or no clouds.,,,18.0,-11.3,No precipitation,12,,,,
05.04.2020 02:00,-2.4,756.4,770.8,,47,Wind blowing from the north-west,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,4.5,,,2500 or more  or no clouds.,,,19.0,-12.2,No precipitation,12,,,,
04.04.2020 20:00,1.5,756.4,770.7,0.9,31,Wind blowing from the north-west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,4.5,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
04.04.2020 17:00,4.0,755.5,769.9,-0.3,23,Wind blowing from the north-northwest,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,4.5,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
04.04.2020 14:00,3.5,755.8,770.2,-0.6,22,Wind blowing from the north-west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,3.9,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
04.04.2020 11:00,1.4,756.4,770.8,-0.3,25,Wind blowing from the north-west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,6.1,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
04.04.2020 08:00,-1.4,756.7,771.1,0.9,27,Wind blowing from the north-northwest,8,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
04.04.2020 05:00,-3.4,755.8,770.1,0.9,36,Wind blowing from the north-northwest,5,,,,Cloud development not observed or not observable. ,,,-3.4,10.6,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
04.04.2020 02:00,-2.0,754.9,769.2,,33,Wind blowing from the north-northwest,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,10.6,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
03.04.2020 20:00,0.5,752.1,766.2,3.3,35,Wind blowing from the north-northwest,5,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,10.6,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
03.04.2020 17:00,2.9,748.8,762.9,2.3,26,Wind blowing from the north-northwest,7,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,10.6,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
03.04.2020 14:00,3.4,746.5,760.6,2.7,44,Wind blowing from the north-northwest,10,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,10.6,,,2500 or more  or no clouds.,,,21.0,-7.7,No precipitation,12,,,,
03.04.2020 11:00,5.8,743.8,757.7,1.4,44,Wind blowing from the north-northwest,10,,,,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,10.6,,,2500 or more  or no clouds.,,,6.0,-5.5,No precipitation,12,,,,
03.04.2020 08:00,5.3,742.4,756.3,-1.6,44,Wind blowing from the south-west,4,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,10.5,,,2500 or more  or no clouds.,,,5.0,-6.0,No precipitation,12,,,,
03.04.2020 05:00,1.6,744.0,757.9,-2.9,44,Wind blowing from the south-southwest,5,,9,,Cloud development not observed or not observable. ,,,-1.1,10.5,,,2500 or more  or no clouds.,,,17.0,-9.6,No precipitation,12,,,,
03.04.2020 02:00,1.3,746.9,760.8,,37,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,10.5,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
02.04.2020 20:00,2.4,749.5,763.5,0.6,40,Wind blowing from the south,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,10.5,,,2500 or more  or no clouds.,,,6.0,-9.8,No precipitation,12,,,,
02.04.2020 17:00,8.6,748.9,762.9,0.2,21,Wind blowing from the north,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,12.9,,,2500 or more  or no clouds.,,,20.0,-12.5,No precipitation,12,,,,
02.04.2020 14:00,9.7,748.7,762.7,0.8,22,Wind blowing from the north,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,13.9,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
02.04.2020 11:00,10.3,747.9,761.8,2.0,31,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,13.9,,,2500 or more  or no clouds.,,,23.0,-6.1,No precipitation,12,,,,
02.04.2020 08:00,8.7,745.9,759.7,2.0,30,Wind blowing from the north-northwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,13.9,,,2500 or more  or no clouds.,,,10.0,-7.9,No precipitation,12,,,,
02.04.2020 05:00,-0.6,743.9,757.7,-0.1,57,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,,,-4.2,13.9,,,2500 or more  or no clouds.,,,15.0,-8.1,No precipitation,12,,,,
02.04.2020 02:00,0.5,744.0,757.8,,53,Wind blowing from the south-southwest,2,,11,, ,,,-4.2,13.9,,,,,,20.0,-8.0,No precipitation,6,,,,
01.04.2020 20:00,6.0,745.0,758.9,-0.2,33,Wind blowing from the south,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,13.9,,,2500 or more  or no clouds.,,,20.0,-9.1,No precipitation,12,,,,
01.04.2020 17:00,12.9,745.2,759.1,-1.5,17,Wind blowing from the west-southwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,13.9,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
01.04.2020 14:00,12.9,746.7,760.6,-2.2,17,Wind blowing from the west-southwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,13.3,,,2500 or more  or no clouds.,,,29.0,-11.6,No precipitation,12,,,,
01.04.2020 11:00,9.6,748.9,762.9,-1.5,22,Wind blowing from the south-west,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.5,,,2500 or more  or no clouds.,,,28.0,-11.1,No precipitation,12,,,,
01.04.2020 08:00,2.7,750.4,764.4,-0.1,38,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.5,,,2500 or more  or no clouds.,,,14.0,-10.5,No precipitation,12,,,,
01.04.2020 05:00,-4.0,750.5,764.6,-0.2,59,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,,,-4.0,10.5,,,2500 or more  or no clouds.,,,23.0,-11.0,No precipitation,12,,,,
01.04.2020 02:00,-2.3,750.7,764.7,,51,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,10.5,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
31.03.2020 20:00,4.3,749.9,763.9,,31,Wind blowing from the west-northwest,2,,11,20–30%., ,,,4.0,10.5,,,600-1000,,,20.0,-11.3,No precipitation,6,,,,
31.03.2020 17:00,8.7,748.1,762.0,0.6,16,Wind blowing from the west-northwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,15.3,,,,,,23.0,-15.7,No precipitation,12,,,,
31.03.2020 14:00,9.9,747.5,761.3,0.0,18,Wind blowing from the west-northwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,15.7,,,,,,27.0,-13.3,No precipitation,12,,,,
31.03.2020 11:00,9.3,747.5,761.2,1.5,25,Wind blowing from the north-west,5,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,15.7,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
31.03.2020 08:00,5.2,746.0,759.9,1.6,37,Wind blowing from the north-west,5,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,,,,2500 or more  or no clouds.,,,25.0,-8.6,No precipitation,12,,,,
31.03.2020 05:00,4.4,744.4,758.1,1.3,35,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,,,-0.1,15.7,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
31.03.2020 02:00,5.4,743.1,756.7,,40,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,15.7,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
30.03.2020 20:00,6.7,742.7,756.5,,52,Wind blowing from the east-northeast,1,,9,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,15.7,,,2500 or more  or no clouds.,,,3.5,-2.5,No precipitation,6,,,,
30.03.2020 17:00,15.4,742.4,756.1,-1.0,27,Wind blowing from the south-southwest,3,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,15.7,,,2500 or more  or no clouds.,,,19.0,-3.5,No precipitation,12,,,,
30.03.2020 14:00,13.8,743.4,757.0,-1.0,29,Wind blowing from the south,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,14.9,,,2500 or more  or no clouds.,,,14.0,-3.9,No precipitation,12,,,,
30.03.2020 11:00,10.2,744.4,758.2,-0.7,35,Wind blowing from the south,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,14.9,,,,,,19.0,-4.6,No precipitation,12,,,,
30.03.2020 08:00,4.3,745.1,758.9,0.5,49,Wind blowing from the south-southwest,4,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,14.9,,,2500 or more  or no clouds.,,,14.0,-5.7,No precipitation,12,,,,
30.03.2020 05:00,-0.1,744.6,758.4,0.5,65,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,,,-3.0,14.9,,,2500 or more  or no clouds.,,,24.0,-5.9,No precipitation,12,,,,
30.03.2020 02:00,2.9,744.1,757.7,,54,Wind blowing from the south-southwest,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,14.9,,,2500 or more  or no clouds.,,,24.0,-5.7,No precipitation,12,,,,
29.03.2020 20:00,8.8,742.1,755.9,0.9,31,Wind blowing from the south,4,,15,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,14.9,,,2500 or more  or no clouds.,,,26.0,-7.4,No precipitation,12,,,,
29.03.2020 17:00,13.7,741.2,755.0,-1.4,18,Wind blowing from the south,6,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,14.9,,,2500 or more  or no clouds.,,,28.0,-10.2,No precipitation,12,,,,
29.03.2020 14:00,14.4,742.6,756.4,-2.4,19,Wind blowing from the south-southwest,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,14.5,,,,,,22.0,-8.9,No precipitation,12,,,,
29.03.2020 11:00,9.7,745.0,758.9,-1.4,29,Wind blowing from the south,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,9.7,,,,,,20.0,-7.5,No precipitation,12,,,,
29.03.2020 08:00,2.4,746.4,760.5,-0.4,47,Wind blowing from the south,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,6.0,,,,,,27.0,-8.0,No precipitation,12,,,,
29.03.2020 05:00,-2.8,746.8,760.9,-0.5,62,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,,,-7.8,6.0,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
29.03.2020 02:00,-1.3,747.3,761.4,,52,Wind blowing from the south,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,6.0,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
28.03.2020 20:00,1.1,747.1,761.3,-0.4,39,Wind blowing from the south,3,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,6.0,,,2500 or more  or no clouds.,,,17.0,-11.3,No precipitation,12,,,,
28.03.2020 17:00,5.3,747.5,761.8,-1.0,27,Wind blowing from the south-southwest,4,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,6.0,,,2500 or more  or no clouds.,,,14.0,-12.2,No precipitation,12,,,,
28.03.2020 14:00,5.1,748.5,762.7,,20,Wind blowing from the south-west,6,,12,no clouds, ,,,-7.8,5.4,,,,,,12.0,-16.0,No precipitation,6,,,,
28.03.2020 11:00,2.4,750.4,764.8,-0.9,22,Wind blowing from the west-southwest,7,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,2.9,,,,,,16.0,-17.2,No precipitation,12,,,,
28.03.2020 08:00,-2.7,751.3,765.7,0.7,44,Wind blowing from the west-southwest,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,1.4,,,,,,21.0,-13.3,No precipitation,12,,,,
28.03.2020 05:00,-7.5,750.6,765.1,0.5,66,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,,,-7.5,1.4,,,2500 or more  or no clouds.,,,19.0,-12.9,No precipitation,12,,,,
28.03.2020 02:00,-5.9,750.1,764.5,,59,Wind blowing from the west-southwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,1.4,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
27.03.2020 20:00,-2.5,749.6,763.9,1.0,43,Wind blowing from the west-northwest,2,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,1.4,,,600-1000,,,24.0,-13.4,No precipitation,12,,,,
27.03.2020 17:00,-0.7,748.6,763.0,0.6,36,Wind blowing from the west,5,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,2.7,,,600-1000,,,30.0,-13.9,No precipitation,12,,,,
27.03.2020 14:00,1.1,748.0,762.3,-0.8,32,Wind blowing from the west-northwest,4,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,5.1,,,600-1000,,,30.0,-13.8,No precipitation,12,,,,
27.03.2020 11:00,0.2,748.8,763.0,-1.0,30,Wind blowing from the west,5,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,5.7,,,600-1000,,,30.0,-15.3,No precipitation,12,,,,
27.03.2020 08:00,-2.1,749.8,764.1,0.0,39,Wind blowing from the west-southwest,4,,11,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,5.7,,,,,,6.0,-14.2,No precipitation,12,,,,
27.03.2020 05:00,-6.0,749.8,764.2,-0.7,59,Wind blowing from the south-southwest,3,,12,,Cloud development not observed or not observable. ,,,-6.0,5.7,,,2500 or more  or no clouds.,,,27.0,-12.9,No precipitation,12,,,,
27.03.2020 02:00,-5.2,750.5,764.8,,56,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,8.7,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
26.03.2020 20:00,-0.5,749.5,763.7,1.7,33,Wind blowing from the west-southwest,7,,14,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,11.3,,,2500 or more  or no clouds.,,,30.0,-14.8,1.0,12,,,,
26.03.2020 17:00,2.7,747.8,761.9,,22,Wind blowing from the west-southwest,7,,14,50%., ,,,0.2,,,,600-1000,,,30.0,-16.9,No precipitation,6,,,,
26.03.2020 14:00,4.9,746.9,760.7,-0.9,25,Wind blowing from the south-west,7,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,16.3,,,600-1000,,,25.0,-13.5,5.0,12,,,,
26.03.2020 11:00,3.9,747.8,761.6,,69,Wind blowing from the south-west,4,,15,70 – 80%., ,,,0.2,16.3,,,600-1000,,,30.0,-1.3,4.0,6,,,,
26.03.2020 08:00,0.3,747.7,761.5,1.6,96,Wind blowing from the south-southeast,3,,15,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,16.3,,,600-1000,,,3.2,-0.3,4.0,12,,,,
26.03.2020 05:00,0.7,746.1,759.8,,93,Wind blowing from the west-northwest,4,,15,,Intermittent fall of snowflakes  slight at time of observation. ,,,0.7,16.3,,,,,,4.0,-0.3,1.0,6,,,,
