Local time in Jiexiu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 08:00,6.8,705.1,771.4,1.2,80,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,19.0,,,2500 or more  or no clouds.,,,7.0,3.6,No precipitation,12,,,,
04.04.2020 05:00,5.7,703.9,769.4,0.8,81,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,,,0.5,19.0,,,2500 or more  or no clouds.,,,25.0,2.7,No precipitation,12,,,,
04.04.2020 02:00,8.4,703.1,768.4,,57,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,19.0,,,2500 or more  or no clouds.,,,25.0,0.4,No precipitation,12,,,,
03.04.2020 20:00,11.8,701.8,768.1,0.8,40,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,19.0,,,2500 or more  or no clouds.,,,27.0,-1.6,No precipitation,12,,,,
03.04.2020 17:00,17.9,701.0,766.8,-1.4,15,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,19.0,,,2500 or more  or no clouds.,,,11.0,-9.0,No precipitation,12,,,,
03.04.2020 14:00,17.5,702.4,768.1,-2.3,15,Wind blowing from the east-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,17.5,,,2500 or more  or no clouds.,,,11.0,-9.4,No precipitation,12,,,,
03.04.2020 11:00,12.4,704.7,770.9,-0.1,50,Wind blowing from the north,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,13.9,,,2500 or more  or no clouds.,,,7.0,2.3,No precipitation,12,,,,
03.04.2020 08:00,3.6,704.8,771.8,1.3,99,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,13.9,,,2500 or more  or no clouds.,,,7.0,3.5,No precipitation,12,,,,
03.04.2020 05:00,1.6,703.5,770.1,-0.4,99,Wind blowing from the east-southeast,1,,3,,Cloud development not observed or not observable. ,,,1.3,13.9,,,2500 or more  or no clouds.,,,25.0,1.5,No precipitation,12,,,,
03.04.2020 02:00,3.7,703.9,770.4,,86,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,13.9,,,2500 or more  or no clouds.,,,23.0,1.6,No precipitation,12,,,,
02.04.2020 20:00,9.0,702.4,769.3,0.5,60,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,13.9,,,2500 or more  or no clouds.,,,25.0,1.6,No precipitation,12,,,,
02.04.2020 17:00,13.4,701.9,768.1,-1.3,33,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,13.9,,,2500 or more  or no clouds.,,,10.0,-2.5,No precipitation,12,,,,
02.04.2020 14:00,12.0,703.2,769.7,-1.6,41,Wind blowing from the north-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,12.3,,,2500 or more  or no clouds.,,,9.0,-1.1,1.0,12,,,,
02.04.2020 11:00,7.6,704.8,772.0,0.9,99,Wind blowing from the north,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,7.6,,,2500 or more  or no clouds.,,,6.0,7.5,2.0,12,,,,
02.04.2020 08:00,3.5,703.9,771.6,0.6,99,Wind blowing from the north-east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,5.0,3.4,2.0,12,,,,
02.04.2020 05:00,3.1,703.3,770.9,0.0,99,Wind blowing from the north-northeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,2.9,,,,2500 or more  or no clouds.,,,24.0,3.0,4.0,12,,,,
02.04.2020 02:00,3.4,703.3,770.9,,99,Wind blowing from the north-northwest,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,,,,2500 or more  or no clouds.,,,24.0,3.3,6.0,12,,,,
01.04.2020 20:00,3.3,702.4,769.4,0.3,99,Wind blowing from the north-northeast,3,,12,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,,,,2500 or more  or no clouds.,,,24.0,3.2,11.0,12,,,,
01.04.2020 17:00,3.3,702.1,768.7,-0.1,99,Wind blowing from the north-east,4,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,18.1,,,2500 or more  or no clouds.,,,6.0,3.2,9.0,12,,,,
01.04.2020 14:00,3.1,702.2,768.7,-1.4,99,Wind blowing from the north-east,5,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,21.4,,,2500 or more  or no clouds.,,,6.0,3.0,6.0,12,,,,
01.04.2020 11:00,3.7,703.6,769.8,1.7,99,Wind blowing from the north-east,7,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,21.4,,,2500 or more  or no clouds.,,,6.0,3.6,2.0,12,,,,
01.04.2020 08:00,7.8,701.9,767.3,2.2,92,Wind blowing from the north-east,7,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,21.4,,,2500 or more  or no clouds.,,,6.0,6.6,No precipitation,12,,,,
01.04.2020 05:00,9.6,699.7,764.5,0.8,69,Wind blowing from the east-northeast,3,,11,,Cloud development not observed or not observable. ,,,8.9,21.4,,,2500 or more  or no clouds.,,,26.0,4.2,No precipitation,12,,,,
01.04.2020 02:00,11.2,698.9,763.1,,64,Wind blowing from the north-east,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,21.4,,,2500 or more  or no clouds.,,,27.0,4.6,No precipitation,12,,,,
31.03.2020 20:00,16.0,697.0,761.6,2.5,18,Wind blowing from the north-east,1,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,21.4,,,2500 or more  or no clouds.,,,29.0,-8.3,No precipitation,12,,,,
31.03.2020 17:00,18.2,694.5,758.6,-0.4,21,Wind blowing from the north-west,8,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,21.4,,,2500 or more  or no clouds.,,,9.0,-4.4,No precipitation,12,,,,
31.03.2020 14:00,20.0,694.9,758.6,-2.1,20,Wind blowing from the south-east,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,20.4,,,2500 or more  or no clouds.,,,10.0,-3.6,No precipitation,12,,,,
31.03.2020 11:00,16.4,697.0,761.2,0.1,35,Wind blowing from the north-east,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,18.6,,,2500 or more  or no clouds.,,,8.0,0.9,No precipitation,12,,,,
31.03.2020 08:00,10.2,696.9,761.6,0.6,68,Wind blowing from the south-west,2,,,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,18.6,,,2500 or more  or no clouds.,,,7.0,4.6,No precipitation,12,,,,
31.03.2020 05:00,10.3,696.3,760.6,-0.6,61,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,,,3.1,18.6,,,2500 or more  or no clouds.,,,25.0,3.1,No precipitation,12,,,,
31.03.2020 02:00,12.3,696.9,761.1,,44,Wind blowing from the west-southwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,18.6,,,2500 or more  or no clouds.,,,27.0,0.4,No precipitation,12,,,,
30.03.2020 20:00,15.0,696.0,761.2,1.1,29,Wind blowing from the south-southwest,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,18.6,,,2500 or more  or no clouds.,,,28.0,-2.8,No precipitation,12,,,,
30.03.2020 17:00,17.9,694.9,759.7,-1.1,25,Wind blowing from the south,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,18.6,,,2500 or more  or no clouds.,,,9.0,-2.3,No precipitation,12,,,,
30.03.2020 14:00,17.3,696.0,760.8,-2.5,29,Wind blowing from the east,3,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,17.4,,,2500 or more  or no clouds.,,,9.0,-0.8,No precipitation,12,,,,
30.03.2020 11:00,12.0,698.5,763.9,-0.3,55,Wind blowing from the north-east,3,,11,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,17.1,,,,,,7.0,3.2,No precipitation,12,,,,
30.03.2020 08:00,5.6,698.8,764.6,1.0,93,Wind blowing from the north,1,,11,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,17.1,,,,,,6.0,4.6,No precipitation,12,,,,
30.03.2020 05:00,4.4,697.8,763.2,-0.1,95,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,,,2.6,17.1,,,2500 or more  or no clouds.,,,25.0,3.7,No precipitation,12,,,,
30.03.2020 02:00,6.5,697.9,763.2,,75,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.1,,,2500 or more  or no clouds.,,,25.0,2.4,No precipitation,12,,,,
29.03.2020 20:00,11.8,695.8,761.4,1.0,32,Wind blowing from the west-southwest,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.1,,,,,,24.0,-4.3,No precipitation,12,,,,
29.03.2020 17:00,16.1,694.8,760.0,-1.9,22,Wind blowing from the south-west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,17.1,,,,,,10.0,-5.6,No precipitation,12,,,,
29.03.2020 14:00,14.9,696.7,762.0,-2.7,24,Wind blowing from the west-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,14.9,,,,,,10.0,-5.4,No precipitation,12,,,,
29.03.2020 11:00,10.7,699.4,765.2,0.0,34,Wind blowing from the south,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,12.0,,,,,,10.0,-4.8,No precipitation,12,,,,
29.03.2020 08:00,5.3,699.4,765.8,0.5,57,Wind blowing from the south-west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,12.0,,,,,,8.0,-2.7,No precipitation,12,,,,
29.03.2020 05:00,2.8,698.9,765.2,-0.8,66,Wind blowing from the south-west,0,,5,,Cloud development not observed or not observable. ,,,1.4,12.0,,,2500 or more  or no clouds.,,,24.0,-3.0,No precipitation,12,,,,
29.03.2020 02:00,5.8,699.7,765.8,,58,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.0,,,2500 or more  or no clouds.,,,24.0,-2.0,No precipitation,12,,,,
28.03.2020 20:00,8.5,698.9,765.5,0.2,58,Wind blowing from the north,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.0,,,2500 or more  or no clouds.,,,24.0,0.7,No precipitation,12,,,,
28.03.2020 17:00,10.7,698.7,765.1,-2.1,51,Wind blowing from the north,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.0,,,2500 or more  or no clouds.,,,8.0,1.0,No precipitation,12,,,,
28.03.2020 14:00,10.3,700.8,767.1,-3.0,43,Wind blowing from the north-northeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,11.5,,,2500 or more  or no clouds.,,,9.0,-2.0,No precipitation,12,,,,
28.03.2020 11:00,6.2,703.8,770.8,-0.5,49,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,11.5,,,2500 or more  or no clouds.,,,9.0,-3.9,No precipitation,12,,,,
28.03.2020 08:00,2.8,704.3,771.5,0.4,61,Wind blowing from the north-east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,11.5,,,2500 or more  or no clouds.,,,8.0,-4.1,No precipitation,12,,,,
28.03.2020 05:00,2.0,703.9,770.8,-0.3,59,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,,,1.3,11.5,,,2500 or more  or no clouds.,,,24.0,-5.3,No precipitation,12,,,,
28.03.2020 02:00,4.7,704.2,770.8,,36,Wind blowing from the east,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,11.5,,,2500 or more  or no clouds.,,,25.0,-9.4,No precipitation,12,,,,
27.03.2020 20:00,8.0,703.0,770.0,0.4,52,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,11.5,,,2500 or more  or no clouds.,,,25.0,-1.4,No precipitation,12,,,,
27.03.2020 17:00,11.0,702.6,769.3,-1.0,34,Wind blowing from the south,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,11.5,,,2500 or more  or no clouds.,,,10.0,-4.2,No precipitation,12,,,,
27.03.2020 14:00,10.0,703.6,770.2,-2.2,39,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,10.1,,,2500 or more  or no clouds.,,,10.0,-3.6,No precipitation,12,,,,
27.03.2020 11:00,7.2,705.8,772.9,0.1,44,Wind blowing from the north-east,4,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,8.2,,,2500 or more  or no clouds.,,,10.0,-4.5,No precipitation,12,,,,
27.03.2020 08:00,2.8,705.7,773.5,1.1,48,Wind blowing from the north-east,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,8.3,,,2500 or more  or no clouds.,,,9.0,-7.3,No precipitation,12,,,,
27.03.2020 05:00,2.6,704.6,772.4,-0.1,50,Wind blowing from the east-northeast,5,,9,,Cloud development not observed or not observable. ,,,2.6,,,,2500 or more  or no clouds.,,,23.0,-7.0,3.0,12,,,,
27.03.2020 02:00,4.2,704.7,772.0,,46,Wind blowing from the east-northeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,,,,2500 or more  or no clouds.,,,24.0,-6.6,8.0,12,,,,
26.03.2020 20:00,4.9,703.6,770.5,1.2,99,Wind blowing from the east-northeast,2,,13,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,3.4,,,,2500 or more  or no clouds.,,,25.0,4.8,11.0,12,,,,
26.03.2020 17:00,3.5,702.4,768.8,,99,Wind blowing from the east,5,,15,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,3.4,22.0,,,2500 or more  or no clouds.,,,5.0,3.4,8.0,6,,,,
26.03.2020 14:00,5.8,700.6,766.1,1.2,99,Wind blowing from the east,7,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,22.5,,,2500 or more  or no clouds.,,,5.0,5.7,3.0,12,,,,
26.03.2020 11:00,8.2,699.4,764.5,,96,Wind blowing from the east-northeast,4,,15,, ,,,7.4,22.5,,,,,,8.0,7.6,0.4,6,,,,
26.03.2020 08:00,8.2,696.6,761.2,3.3,99,Wind blowing from the east,7,,15,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,22.5,,,2500 or more  or no clouds.,,,16.0,8.1,No precipitation,12,,,,
