Local time in Tianjin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 02:00,10.5,765.0,765.4,,67,Wind blowing from the south-southeast,2,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.8,,,2500 or more  or no clouds.,,,6.0,4.6,No precipitation,12,,,,
05.04.2020 20:00,13.2,766.0,766.3,0.6,49,Wind blowing from the south-southeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.8,,,2500 or more  or no clouds.,,,20.0,2.7,No precipitation,12,,,,
05.04.2020 17:00,17.8,765.4,765.8,-2.0,27,Wind blowing from the south-east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.8,,,2500 or more  or no clouds.,,,21.0,-1.4,No precipitation,12,,,,
05.04.2020 14:00,19.0,767.4,767.8,-3.1,13,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,19.0,,,2500 or more  or no clouds.,,,28.0,-10.0,No precipitation,12,,,,
05.04.2020 11:00,14.3,770.5,770.8,-1.5,16,Wind blowing from the south-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,14.3,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
05.04.2020 08:00,8.1,772.0,772.3,0.5,37,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,13.5,,,2500 or more  or no clouds.,,,21.0,-5.7,No precipitation,12,,,,
05.04.2020 05:00,3.9,771.5,771.9,-0.3,60,Wind blowing from the north-northeast,0,,7,,Cloud development not observed or not observable. ,,,3.9,13.5,,,2500 or more  or no clouds.,,,30.0,-3.2,No precipitation,12,,,,
05.04.2020 02:00,6.4,771.8,772.2,,47,Wind blowing from the south,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,15.8,,,2500 or more  or no clouds.,,,29.0,-4.1,No precipitation,12,,,,
04.04.2020 20:00,8.4,771.7,772.1,0.4,47,Wind blowing from the south-southeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,18.9,,,2500 or more  or no clouds.,,,30.0,-2.5,No precipitation,12,,,,
04.04.2020 17:00,11.6,771.3,771.7,-1.5,33,Wind blowing from the south,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,,,,2500 or more  or no clouds.,,,30.0,-4.1,No precipitation,12,,,,
04.04.2020 14:00,13.2,772.8,773.2,-1.3,30,Wind blowing from the south,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,,,,2500 or more  or no clouds.,,,29.0,-4.0,No precipitation,12,,,,
04.04.2020 11:00,11.6,774.1,774.5,1.4,36,Wind blowing from the south-southeast,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,,,,2500 or more  or no clouds.,,,23.0,-3.0,No precipitation,12,,,,
04.04.2020 08:00,9.8,772.7,773.1,3.3,46,Wind blowing from the south-southeast,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,24.4,,,2500 or more  or no clouds.,,,12.0,-1.3,No precipitation,12,,,,
04.04.2020 05:00,10.3,769.4,769.8,3.4,47,Wind blowing from the east-southeast,6,,13,,Cloud development not observed or not observable. ,,,5.8,24.4,,,2500 or more  or no clouds.,,,7.0,-0.5,No precipitation,12,,,,
04.04.2020 02:00,12.5,766.0,766.3,,33,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,24.4,,,2500 or more  or no clouds.,,,19.0,-3.3,No precipitation,12,,,,
03.04.2020 20:00,18.8,763.6,764.0,0.9,16,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,24.4,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
03.04.2020 17:00,24.0,762.7,763.1,-1.4,7,Wind blowing from the west-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,24.4,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
03.04.2020 14:00,23.3,764.1,764.5,-2.2,8,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,23.4,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
03.04.2020 11:00,20.4,766.3,766.6,-0.4,12,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,21.1,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
03.04.2020 08:00,10.0,766.7,767.1,0.6,60,Wind blowing from the west,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,19.6,,,2500 or more  or no clouds.,,,6.0,2.6,No precipitation,12,,,,
03.04.2020 05:00,6.8,766.1,766.5,-0.4,70,Wind blowing from the west-southwest,1,,7,,Mist. ,,,6.6,19.6,,,2500 or more  or no clouds.,,,7.0,1.7,No precipitation,12,,,,
03.04.2020 02:00,9.0,766.5,766.9,,62,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,19.6,,,2500 or more  or no clouds.,,,9.0,2.1,No precipitation,12,,,,
02.04.2020 20:00,14.7,766.0,766.4,0.8,23,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,19.6,,,2500 or more  or no clouds.,,,28.0,-6.2,No precipitation,12,,,,
02.04.2020 17:00,19.2,765.2,765.6,-1.4,8,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,19.6,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
02.04.2020 14:00,18.1,766.6,767.0,-1.8,13,Wind blowing from the west,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,18.6,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
02.04.2020 11:00,15.5,768.4,768.8,-0.4,29,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,16.1,,,2500 or more  or no clouds.,,,17.0,-2.4,No precipitation,12,,,,
02.04.2020 08:00,9.1,768.8,769.2,0.6,66,Wind blowing from the west-southwest,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,16.1,,,2500 or more  or no clouds.,,,9.0,3.1,No precipitation,12,,,,
02.04.2020 05:00,7.5,768.2,768.6,0.4,66,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,,,7.4,16.1,,,2500 or more  or no clouds.,,,12.0,1.4,No precipitation,12,,,,
02.04.2020 02:00,7.6,767.8,768.2,,60,Wind blowing from the south-southwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,16.1,,,2500 or more  or no clouds.,,,17.0,0.3,No precipitation,12,,,,
01.04.2020 20:00,12.1,767.9,768.3,0.8,39,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,16.1,,,2500 or more  or no clouds.,,,30.0,-1.4,No precipitation,12,,,,
01.04.2020 17:00,15.5,767.1,767.5,-1.5,9,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,17.7,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
01.04.2020 14:00,15.9,768.6,769.0,-2.3,9,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,18.4,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
01.04.2020 11:00,14.0,770.9,771.3,-0.1,12,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,18.4,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
01.04.2020 08:00,11.1,771.0,771.4,2.0,17,Wind blowing from the north-east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,18.4,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
01.04.2020 05:00,11.4,769.0,769.4,1.0,26,Wind blowing from the east-northeast,3,,10,,Cloud development not observed or not observable. ,,,7.9,18.4,,,2500 or more  or no clouds.,,,21.0,-7.4,No precipitation,12,,,,
01.04.2020 02:00,11.6,768.0,768.4,,61,Wind blowing from the north,3,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,18.4,,,2500 or more  or no clouds.,,,5.0,4.3,No precipitation,12,,,,
31.03.2020 20:00,14.1,763.9,764.3,2.7,54,Wind blowing from the south-east,2,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,18.4,,,2500 or more  or no clouds.,,,11.0,4.9,No precipitation,12,,,,
31.03.2020 17:00,17.6,761.2,761.5,0.3,38,Wind blowing from the south-east,3,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,18.4,,,2500 or more  or no clouds.,,,18.0,3.1,No precipitation,12,,,,
31.03.2020 14:00,17.7,760.9,761.3,-1.7,38,Wind blowing from the south,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,19.0,,,2500 or more  or no clouds.,,,16.0,3.2,No precipitation,12,,,,
31.03.2020 11:00,14.4,762.6,763.0,0.1,50,Wind blowing from the south-southwest,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,19.0,,,2500 or more  or no clouds.,,,12.0,4.1,No precipitation,12,,,,
31.03.2020 08:00,10.3,762.5,762.9,0.6,66,Wind blowing from the south-southwest,4,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,19.0,,,2500 or more  or no clouds.,,,8.0,4.2,No precipitation,12,,,,
31.03.2020 05:00,9.4,761.9,762.3,-0.4,66,Wind blowing from the south-southwest,3,,9,,Cloud development not observed or not observable. ,,,4.7,19.0,,,2500 or more  or no clouds.,,,8.0,3.4,No precipitation,12,,,,
31.03.2020 02:00,11.1,762.3,762.7,,57,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,19.0,,,2500 or more  or no clouds.,,,12.0,2.7,No precipitation,12,,,,
30.03.2020 20:00,13.3,762.4,762.8,1.2,35,Wind blowing from the south,3,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,19.0,,,2500 or more  or no clouds.,,,20.0,-1.8,No precipitation,12,,,,
30.03.2020 17:00,17.6,761.2,761.6,-1.0,27,Wind blowing from the south-southwest,5,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,19.0,,,2500 or more  or no clouds.,,,20.0,-1.6,No precipitation,12,,,,
30.03.2020 14:00,17.8,762.2,762.6,-1.8,29,Wind blowing from the south-west,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,18.3,,,2500 or more  or no clouds.,,,19.0,-0.5,No precipitation,12,,,,
30.03.2020 11:00,15.4,764.0,764.4,-0.2,35,Wind blowing from the south-west,5,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,18.0,,,2500 or more  or no clouds.,,,19.0,0.0,No precipitation,12,,,,
30.03.2020 08:00,8.8,764.2,764.6,0.8,61,Wind blowing from the south-southwest,3,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,,,,2500 or more  or no clouds.,,,8.0,1.5,No precipitation,12,,,,
30.03.2020 05:00,6.9,763.4,763.8,-0.2,64,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,,,3.1,18.0,,,2500 or more  or no clouds.,,,12.0,0.4,No precipitation,12,,,,
30.03.2020 02:00,9.1,763.6,763.9,,55,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,18.0,,,2500 or more  or no clouds.,,,16.0,0.5,No precipitation,12,,,,
29.03.2020 20:00,11.0,762.6,763.0,1.0,37,Wind blowing from the south-east,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,18.0,,,,,,26.0,-3.1,No precipitation,12,,,,
29.03.2020 17:00,17.2,761.6,762.0,-2.0,20,Wind blowing from the south-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,18.0,,,2500 or more  or no clouds.,,,24.0,-5.9,No precipitation,12,,,,
29.03.2020 14:00,16.9,763.6,763.9,-2.1,18,Wind blowing from the south-west,4,,8,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,17.3,,,2500 or more  or no clouds.,,,28.0,-7.6,No precipitation,12,,,,
29.03.2020 11:00,15.1,765.7,766.1,-0.5,19,Wind blowing from the south,4,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,15.1,,,2500 or more  or no clouds.,,,27.0,-8.3,No precipitation,12,,,,
29.03.2020 08:00,7.8,766.2,766.6,0.5,35,Wind blowing from the south,3,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,14.5,,,2500 or more  or no clouds.,,,22.0,-6.7,No precipitation,12,,,,
29.03.2020 05:00,4.0,765.7,766.0,-1.2,58,Wind blowing from the south-southeast,3,,5,,Cloud development not observed or not observable. ,,,1.2,14.5,,,2500 or more  or no clouds.,,,22.0,-3.7,No precipitation,12,,,,
29.03.2020 02:00,4.7,766.9,767.3,,47,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,14.5,,,2500 or more  or no clouds.,,,24.0,-5.9,No precipitation,12,,,,
28.03.2020 20:00,7.9,766.9,767.3,0.5,37,Wind blowing from the south-east,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,14.5,,,,,,30.0,-5.9,No precipitation,12,,,,
28.03.2020 17:00,13.8,766.4,766.8,-2.3,12,Wind blowing from the west-southwest,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,14.5,,,,,,30.0,-15.1,No precipitation,12,,,,
28.03.2020 14:00,13.5,768.7,769.0,-3.0,12,Wind blowing from the south-west,4,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,14.1,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
28.03.2020 11:00,11.9,771.7,772.1,-0.7,12,Wind blowing from the north,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,14.1,,,,,,30.0,-16.6,No precipitation,12,,,,
28.03.2020 08:00,7.8,772.4,772.8,0.4,20,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,14.1,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
28.03.2020 05:00,3.5,772.0,772.3,0.4,31,Wind blowing from the south-southeast,1,,11,,Cloud development not observed or not observable. ,,,2.3,14.1,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
28.03.2020 02:00,6.6,771.6,772.0,,15,Wind blowing from the east-northeast,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,14.1,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
27.03.2020 20:00,10.8,770.2,770.6,2.1,13,Wind blowing from the north,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,14.1,,,,,,30.0,-16.5,No precipitation,12,,,,
27.03.2020 17:00,13.5,768.1,768.4,-1.4,9,Wind blowing from the north-northwest,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,14.1,,,,,,30.0,-18.8,No precipitation,12,,,,
27.03.2020 14:00,12.5,769.5,769.9,-2.3,8,Wind blowing from the north-northwest,7,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,13.1,,,,,,30.0,-20.9,No precipitation,12,,,,
27.03.2020 11:00,10.0,771.8,772.2,0.0,9,Wind blowing from the north-northwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,10.8,,,,,,30.0,-21.5,No precipitation,12,,,,
27.03.2020 08:00,6.6,771.8,772.2,0.7,21,Wind blowing from the north,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,10.8,,,,,,30.0,-14.2,No precipitation,12,,,,
27.03.2020 05:00,3.1,771.1,771.4,0.5,32,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,,,2.6,12.0,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
27.03.2020 02:00,5.1,770.6,771.0,,30,Wind blowing from the north,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,13.6,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
26.03.2020 20:00,9.0,769.4,769.8,2.5,18,Wind blowing from the north,6,,18,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,16.6,,,2500 or more  or no clouds.,,,30.0,-14.1,1.0,12,,,,
26.03.2020 17:00,10.8,766.9,767.2,,20,Wind blowing from the north,7,,18,100%., ,,,6.4,,,,2500 or more  or no clouds.,,,30.0,-11.3,0.3,6,,,,
26.03.2020 14:00,8.6,766.7,767.1,0.5,67,Wind blowing from the east-northeast,2,,18,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,23.1,,,2500 or more  or no clouds.,,,30.0,2.8,1.0,12,,,,
26.03.2020 11:00,6.5,766.2,766.6,,83,Wind blowing from the north-northeast,6,,18,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,23.1,,,2500 or more  or no clouds.,,,25.0,3.7,0.8,6,,,,
26.03.2020 08:00,8.5,763.2,763.6,3.2,55,Wind blowing from the north,11,,17,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,23.1,,,2500 or more  or no clouds.,,,29.0,0.0,No precipitation,12,,,,
