Local time in Zaoyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 08:00,10.2,758.1,769.7,1.4,89,Wind blowing from the north,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,14.9,,,2500 or more  or no clouds.,,,1.7,8.5,No precipitation,12,,,,
03.04.2020 05:00,10.1,756.7,768.3,-0.9,87,Wind blowing from the north,1,,7,,Mist. ,,,7.9,14.9,,,2500 or more  or no clouds.,,,2.1,8.0,No precipitation,12,,,,
03.04.2020 02:00,10.5,757.6,769.2,,85,Wind blowing from the north,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,14.9,,,2500 or more  or no clouds.,,,2.4,8.1,No precipitation,12,,,,
02.04.2020 20:00,12.2,757.1,768.7,1.8,77,Wind blowing from the north-east,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,14.9,,,2500 or more  or no clouds.,,,3.4,8.3,No precipitation,12,,,,
02.04.2020 17:00,14.0,755.3,766.9,-0.8,74,Wind blowing from the north,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,14.9,,,2500 or more  or no clouds.,,,4.4,9.4,No precipitation,12,,,,
02.04.2020 14:00,14.4,756.1,767.7,-1.7,69,Wind blowing from the north,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,14.9,,,2500 or more  or no clouds.,,,4.6,8.8,No precipitation,12,,,,
02.04.2020 11:00,12.1,757.8,769.4,0.9,78,Wind blowing from the east,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,14.7,,,2500 or more  or no clouds.,,,4.0,8.4,No precipitation,12,,,,
02.04.2020 08:00,9.0,756.9,768.5,1.4,92,Wind blowing from the east-northeast,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,14.7,,,2500 or more  or no clouds.,,,2.0,7.8,No precipitation,12,,,,
02.04.2020 05:00,8.4,755.5,767.1,-0.4,94,Wind blowing from the north-east,1,,6,,Mist. ,,,8.1,14.7,,,2500 or more  or no clouds.,,,3.0,7.5,No precipitation,12,,,,
02.04.2020 02:00,9.9,755.9,767.5,,87,Wind blowing from the west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,14.7,,,2500 or more  or no clouds.,,,5.0,7.8,No precipitation,12,,,,
01.04.2020 20:00,12.0,755.6,767.2,1.6,72,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,14.7,,,2500 or more  or no clouds.,,,11.0,7.1,No precipitation,12,,,,
01.04.2020 17:00,14.4,754.0,765.5,-1.2,61,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,14.7,,,2500 or more  or no clouds.,,,20.0,7.0,No precipitation,12,,,,
01.04.2020 14:00,12.4,755.2,766.9,-1.8,71,Wind blowing from the east,2,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,12.4,,,2500 or more  or no clouds.,,,6.0,7.3,No precipitation,12,,,,
01.04.2020 11:00,10.1,757.0,768.7,0.9,85,Wind blowing from the south-southeast,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,12.3,,,2500 or more  or no clouds.,,,3.4,7.7,No precipitation,12,,,,
01.04.2020 08:00,8.8,756.1,767.8,2.7,86,Wind blowing from the east-southeast,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,12.3,,,2500 or more  or no clouds.,,,4.9,6.6,No precipitation,12,,,,
01.04.2020 05:00,8.0,753.4,765.1,-0.1,90,Wind blowing from the east,2,,,,Mist. ,,,7.7,12.3,,,2500 or more  or no clouds.,,,4.8,6.5,No precipitation,12,,,,
01.04.2020 02:00,8.1,753.5,765.1,,92,Wind blowing from the east,2,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,12.3,,,2500 or more  or no clouds.,,,3.4,6.9,No precipitation,12,,,,
31.03.2020 20:00,10.0,752.0,763.6,1.6,87,Wind blowing from the east,1,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,12.3,,,,,,5.0,7.9,0.4,12,,,,
31.03.2020 17:00,12.3,750.4,762.0,-1.7,77,Wind blowing from the south-southeast,1,,3,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,12.3,,,2500 or more  or no clouds.,,,6.0,8.4,0.4,12,,,,
31.03.2020 14:00,10.4,752.1,763.7,-1.1,85,Wind blowing from the west-southwest,2,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,11.2,,,2500 or more  or no clouds.,,,5.0,8.0,0.4,12,,,,
31.03.2020 11:00,9.3,753.2,764.8,0.2,82,Wind blowing from the south-west,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,11.7,,,2500 or more  or no clouds.,,,5.0,6.4,0.1,12,,,,
31.03.2020 08:00,8.1,753.0,764.6,0.2,79,Wind blowing from the east-southeast,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,11.7,,,2500 or more  or no clouds.,,,8.0,4.7,Trace of precipitation,12,,,,
31.03.2020 05:00,7.8,752.8,764.5,-0.8,78,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,,,3.0,11.7,,,2500 or more  or no clouds.,,,9.0,4.2,No precipitation,12,,,,
31.03.2020 02:00,8.0,753.6,765.2,,78,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.7,,,2500 or more  or no clouds.,,,10.0,4.4,No precipitation,12,,,,
30.03.2020 20:00,9.9,753.5,765.2,1.2,77,Wind blowing from the east-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.7,,,2500 or more  or no clouds.,,,7.0,6.1,No precipitation,12,,,,
30.03.2020 17:00,10.4,752.3,764.1,-0.8,72,Wind blowing from the north,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.7,,,2500 or more  or no clouds.,,,11.0,5.6,No precipitation,12,,,,
30.03.2020 14:00,11.0,753.1,764.8,-2.3,66,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.7,,,2500 or more  or no clouds.,,,15.0,4.9,No precipitation,12,,,,
30.03.2020 11:00,9.7,755.4,767.2,1.1,70,Wind blowing from the north-northwest,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,9.7,,,2500 or more  or no clouds.,,,9.0,4.5,No precipitation,12,,,,
30.03.2020 08:00,4.9,754.3,766.1,0.7,99,Wind blowing from the south,1,,3,no clouds,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,6.6,,,,,,0.9,4.8,No precipitation,12,,,,
30.03.2020 05:00,3.4,753.6,765.4,-1.3,98,Wind blowing from the east,1,,4,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,3.0,6.6,,,2500 or more  or no clouds.,,,less than 0.1,3.1,No precipitation,12,,,,
30.03.2020 02:00,4.5,754.9,766.7,,95,Wind blowing from the west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,6.6,,,2500 or more  or no clouds.,,,2.1,3.8,No precipitation,12,,,,
29.03.2020 20:00,6.5,754.5,766.3,0.8,84,Wind blowing from the north,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,9.0,,,2500 or more  or no clouds.,,,12.0,4.0,3.0,12,,,,
29.03.2020 17:00,6.5,753.7,765.6,-0.6,88,Wind blowing from the north-west,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,10.6,,,2500 or more  or no clouds.,,,10.0,4.7,3.0,12,,,,
29.03.2020 14:00,6.1,754.3,766.2,-1.7,88,Wind blowing from the west-northwest,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,,,,2500 or more  or no clouds.,,,12.0,4.3,6.0,12,,,,
29.03.2020 11:00,5.0,756.0,767.8,0.3,90,Wind blowing from the north,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,3.0,,,,2500 or more  or no clouds.,,,10.0,3.5,8.0,12,,,,
29.03.2020 08:00,3.4,755.7,767.5,0.9,94,Wind blowing from the north-northwest,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,11.5,,,2500 or more  or no clouds.,,,4.3,2.5,8.0,12,,,,
29.03.2020 05:00,3.1,754.8,766.6,-1.5,93,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,2.1,11.5,,,2500 or more  or no clouds.,,,5.0,2.1,8.0,12,,,,
29.03.2020 02:00,4.1,756.3,768.1,,92,Wind blowing from the north-east,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,11.5,,,2500 or more  or no clouds.,,,4.5,2.9,4.0,12,,,,
28.03.2020 20:00,9.0,756.3,768.1,0.5,65,Wind blowing from the south,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,11.5,,,2500 or more  or no clouds.,,,6.0,2.6,0.4,12,,,,
28.03.2020 17:00,10.6,755.8,767.7,-1.8,57,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,11.5,,,2500 or more  or no clouds.,,,14.0,2.4,4.0,12,,,,
28.03.2020 14:00,10.7,757.6,769.5,-3.0,57,Wind blowing from the south-southeast,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,11.3,,,2500 or more  or no clouds.,,,16.0,2.5,6.0,12,,,,
28.03.2020 11:00,7.8,760.6,772.6,0.3,76,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,8.8,,,2500 or more  or no clouds.,,,13.0,3.8,6.0,12,,,,
28.03.2020 08:00,3.6,760.3,772.3,0.4,93,Wind blowing from the north-northeast,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,0.6,8.8,,,2500 or more  or no clouds.,,,7.0,2.6,11.0,12,,,,
28.03.2020 05:00,2.1,759.9,771.9,-1.0,97,Wind blowing from the north-northeast,2,,10,,Mist. ,,,0.6,8.8,,,2500 or more  or no clouds.,,,5.0,1.7,10.0,12,,,,
28.03.2020 02:00,1.6,760.9,772.9,,97,Wind blowing from the north-west,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,8.8,,,2500 or more  or no clouds.,,,5.0,1.2,8.0,12,,,,
27.03.2020 20:00,4.0,760.5,772.4,1.1,89,Wind blowing from the north,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,10.8,,,2500 or more  or no clouds.,,,8.0,2.4,4.0,12,,,,
27.03.2020 17:00,6.1,759.4,771.3,0.5,73,Wind blowing from the north,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,,,,2500 or more  or no clouds.,,,20.0,1.6,1.0,12,,,,
27.03.2020 14:00,6.9,758.9,770.7,-0.8,72,Wind blowing from the north-northwest,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,,,,2500 or more  or no clouds.,,,14.0,2.2,0.5,12,,,,
27.03.2020 11:00,8.5,759.7,771.4,1.2,54,Wind blowing from the north,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,,,,2500 or more  or no clouds.,,,25.0,-0.3,0.1,12,,,,
27.03.2020 08:00,7.8,758.5,770.2,1.8,68,Wind blowing from the north,2,,13,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,,,,2500 or more  or no clouds.,,,24.0,2.1,0.1,12,,,,
27.03.2020 05:00,7.8,756.7,768.3,-0.3,62,Wind blowing from the north,3,,14,,Cloud development not observed or not observable. ,,,7.8,19.3,,,2500 or more  or no clouds.,,,27.0,1.0,No precipitation,12,,,,
27.03.2020 02:00,8.6,757.0,768.6,,69,Wind blowing from the north,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,19.3,,,2500 or more  or no clouds.,,,27.0,3.2,No precipitation,12,,,,
26.03.2020 20:00,10.8,752.6,764.1,4.0,76,Wind blowing from the north-east,7,,14,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,19.3,,,2500 or more  or no clouds.,,,11.0,6.7,2.0,12,,,,
26.03.2020 17:00,17.1,748.6,759.8,,86,Wind blowing from the north-east,3,,9,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,19.4,,,2500 or more  or no clouds.,,,4.2,14.7,0.2,6,,,,
26.03.2020 14:00,18.1,747.2,758.4,0.4,90,Wind blowing from the north-northeast,3,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,19.4,,,2500 or more  or no clouds.,,,4.2,16.4,3.0,12,,,,
26.03.2020 11:00,18.3,746.8,758.0,,95,Wind blowing from the north-northeast,3,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,17.1,19.4,,,2500 or more  or no clouds.,,,2.0,17.5,3.0,6,,,,
26.03.2020 08:00,17.4,745.6,756.8,1.2,95,Wind blowing from the north-northeast,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,19.4,,,2500 or more  or no clouds.,,,1.4,16.6,1.0,12,,,,
26.03.2020 05:00,17.2,744.4,755.6,,94,Wind blowing from the north-east,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.2,19.4,,,,,,2.1,16.2,No precipitation,6,,,,
26.03.2020 02:00,17.9,744.6,755.8,,93,Wind blowing from the east-northeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,19.4,,,2500 or more  or no clouds.,,,2.3,16.8,No precipitation,12,,,,
25.03.2020 20:00,18.8,744.4,755.5,0.9,91,Wind blowing from the east-northeast,1,,5,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,,,,2500 or more  or no clouds.,,,2.1,17.3,Trace of precipitation,12,,,,
