Local time in Simao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,30.5,648.7,752.0,-2.3,15,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,30.6,,,2500 or more  or no clouds.,,,22.0,1.0,No precipitation,12,,,,
06.04.2020 14:00,29.5,651.0,754.1,-2.2,20,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,30.0,,,2500 or more  or no clouds.,,,18.0,4.2,No precipitation,12,,,,
06.04.2020 11:00,26.3,653.2,757.2,0.9,20,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,30.0,,,2500 or more  or no clouds.,,,15.0,1.6,No precipitation,12,,,,
06.04.2020 08:00,17.7,652.3,757.3,0.4,36,Wind blowing from the west-northwest,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.5,30.0,,,2500 or more  or no clouds.,,,17.0,2.5,No precipitation,12,,,,
06.04.2020 05:00,19.9,651.9,755.8,-0.7,35,Wind blowing from the north-west,1,,7,,Cloud development not observed or not observable. ,,,15.6,30.0,,,2500 or more  or no clouds.,,,14.0,4.0,No precipitation,12,,,,
06.04.2020 02:00,23.4,652.6,756.1,0.1,30,Wind blowing from the west-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.0,,,2500 or more  or no clouds.,,,13.0,4.9,No precipitation,12,,,,
05.04.2020 23:00,24.3,652.5,756.6,1.7,35,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,15.6,30.0,,,2500 or more  or no clouds.,,,11.0,7.9,No precipitation,12,,,,
05.04.2020 20:00,26.7,650.8,755.7,0.9,29,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.0,,,2500 or more  or no clouds.,,,10.0,7.2,No precipitation,12,,,,
05.04.2020 17:00,29.4,649.9,753.9,-2.1,25,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.0,,,2500 or more  or no clouds.,,,14.0,7.3,No precipitation,12,,,,
05.04.2020 14:00,28.9,652.0,756.0,-2.2,23,Wind blowing from the west-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.4,,,2500 or more  or no clouds.,,,17.0,5.7,No precipitation,12,,,,
05.04.2020 11:00,24.7,654.2,758.6,0.7,27,Wind blowing from the west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.4,,,2500 or more  or no clouds.,,,14.0,4.5,No precipitation,12,,,,
05.04.2020 08:00,16.5,653.5,759.0,1.3,60,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.4,,,2500 or more  or no clouds.,,,11.0,8.7,No precipitation,12,,,,
05.04.2020 05:00,17.7,652.2,756.8,-0.6,56,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,,,16.1,31.4,,,2500 or more  or no clouds.,,,12.0,8.8,No precipitation,12,,,,
05.04.2020 02:00,20.6,652.8,756.5,-0.1,49,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,31.4,,,2500 or more  or no clouds.,,,12.0,9.5,No precipitation,12,,,,
04.04.2020 23:00,24.0,652.9,757.1,1.5,38,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,16.1,31.4,,,2500 or more  or no clouds.,,,8.0,8.8,No precipitation,12,,,,
04.04.2020 20:00,26.4,651.4,756.4,0.9,33,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,31.4,,,2500 or more  or no clouds.,,,11.0,8.8,No precipitation,12,,,,
04.04.2020 17:00,28.4,650.5,754.9,-1.5,31,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,31.4,,,2500 or more  or no clouds.,,,11.0,9.7,No precipitation,12,,,,
04.04.2020 14:00,30.6,652.0,756.1,-1.8,24,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,31.3,,,2500 or more  or no clouds.,,,12.0,7.7,No precipitation,12,,,,
04.04.2020 11:00,25.1,653.8,758.8,0.9,35,Wind blowing from the west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.1,31.2,,,2500 or more  or no clouds.,,,8.0,8.6,No precipitation,12,,,,
04.04.2020 08:00,16.4,652.9,758.3,0.9,60,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,31.2,,,2500 or more  or no clouds.,,,9.0,8.6,No precipitation,12,,,,
04.04.2020 05:00,16.8,652.0,756.4,-0.8,57,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,,,15.5,31.2,,,2500 or more  or no clouds.,,,9.0,8.2,No precipitation,12,,,,
04.04.2020 02:00,18.0,652.8,757.0,0.2,51,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,31.2,,,2500 or more  or no clouds.,,,11.0,7.7,No precipitation,12,,,,
03.04.2020 23:00,20.3,652.6,757.1,1.5,42,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,15.5,31.2,,,2500 or more  or no clouds.,,,10.0,7.0,No precipitation,12,,,,
03.04.2020 20:00,25.8,651.1,756.4,0.7,26,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,31.2,,,2500 or more  or no clouds.,,,9.0,4.9,No precipitation,12,,,,
03.04.2020 17:00,30.2,650.4,754.6,-1.8,21,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,31.2,,,2500 or more  or no clouds.,,,12.0,5.5,No precipitation,12,,,,
03.04.2020 14:00,30.7,652.2,756.2,-1.8,19,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,31.8,,,2500 or more  or no clouds.,,,13.0,4.5,No precipitation,12,,,,
03.04.2020 11:00,26.9,654.0,758.4,1.1,26,Wind blowing from the west-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,31.8,,,2500 or more  or no clouds.,,,10.0,5.8,No precipitation,12,,,,
03.04.2020 08:00,15.8,652.9,758.2,1.5,59,Wind blowing from the west,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,31.8,,,2500 or more  or no clouds.,,,7.0,7.8,No precipitation,12,,,,
03.04.2020 05:00,16.7,651.4,755.6,0.0,53,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,,,16.7,31.8,,,2500 or more  or no clouds.,,,11.0,7.1,No precipitation,12,,,,
03.04.2020 02:00,18.5,651.4,755.5,0.0,46,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.4,31.8,,,2500 or more  or no clouds.,,,14.0,6.7,No precipitation,12,,,,
02.04.2020 23:00,21.6,651.4,755.5,1.6,35,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,,,17.4,31.8,,,2500 or more  or no clouds.,,,13.0,5.5,No precipitation,12,,,,
02.04.2020 20:00,27.3,649.8,754.3,0.7,20,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.4,31.8,,,2500 or more  or no clouds.,,,17.0,2.4,No precipitation,12,,,,
02.04.2020 17:00,31.2,649.1,752.4,-2.0,18,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.4,31.8,,,2500 or more  or no clouds.,,,19.0,4.1,No precipitation,12,,,,
02.04.2020 14:00,29.3,651.1,755.0,-1.8,26,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.4,32.0,,,2500 or more  or no clouds.,,,17.0,7.8,No precipitation,12,,,,
02.04.2020 11:00,26.4,652.9,757.3,1.2,38,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.4,32.0,,,2500 or more  or no clouds.,,,11.0,11.0,No precipitation,12,,,,
02.04.2020 08:00,17.5,651.7,756.5,1.1,64,Wind blowing from the north-west,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,32.0,,,2500 or more  or no clouds.,,,8.0,10.6,No precipitation,12,,,,
02.04.2020 05:00,19.2,650.6,754.0,-0.1,57,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,15.8,32.0,,,2500 or more  or no clouds.,,,8.0,10.5,No precipitation,12,,,,
02.04.2020 02:00,19.7,650.7,754.2,-0.5,51,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,32.0,,,2500 or more  or no clouds.,,,12.0,9.3,No precipitation,12,,,,
01.04.2020 23:00,21.5,651.2,755.3,1.7,44,Wind blowing from the west-northwest,0,,8,,Cloud development not observed or not observable. ,,,15.8,32.0,,,2500 or more  or no clouds.,,,12.0,8.7,No precipitation,12,,,,
01.04.2020 20:00,27.2,649.5,754.1,0.5,31,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,32.0,,,2500 or more  or no clouds.,,,13.0,8.6,No precipitation,12,,,,
01.04.2020 17:00,31.8,649.0,752.7,-1.8,21,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,33.0,,,2500 or more  or no clouds.,,,15.0,6.8,No precipitation,12,,,,
01.04.2020 14:00,30.9,650.8,754.8,-2.2,23,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,33.5,,,2500 or more  or no clouds.,,,15.0,7.4,No precipitation,12,,,,
01.04.2020 11:00,26.6,653.0,757.6,1.0,22,Wind blowing from the south-west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,33.5,,,2500 or more  or no clouds.,,,12.0,3.2,No precipitation,12,,,,
01.04.2020 08:00,16.3,652.0,757.0,1.4,47,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,33.5,,,2500 or more  or no clouds.,,,15.0,5.0,No precipitation,12,,,,
01.04.2020 05:00,16.1,650.6,754.4,-0.2,44,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,16.1,33.5,,,2500 or more  or no clouds.,,,14.0,3.9,No precipitation,12,,,,
01.04.2020 02:00,17.2,650.8,754.7,-0.7,38,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,33.5,,,2500 or more  or no clouds.,,,16.0,2.8,No precipitation,12,,,,
31.03.2020 23:00,20.3,651.5,755.6,1.6,28,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,,,16.6,33.5,,,2500 or more  or no clouds.,,,15.0,1.2,No precipitation,12,,,,
31.03.2020 20:00,27.8,649.9,754.3,0.8,12,Wind blowing from the west,2,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,33.5,,,2500 or more  or no clouds.,,,20.0,-4.2,No precipitation,12,,,,
31.03.2020 17:00,33.1,649.1,752.1,-2.3,9,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,33.5,,,,,,25.0,-4.0,No precipitation,12,,,,
31.03.2020 14:00,31.8,651.4,754.9,-1.7,11,Wind blowing from the west-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,33.0,,,,,,21.0,-2.3,No precipitation,12,,,,
31.03.2020 11:00,27.8,653.1,757.0,1.0,17,Wind blowing from the north-west,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,33.0,,,,,,16.0,0.5,No precipitation,12,,,,
31.03.2020 08:00,16.9,652.1,756.9,1.5,62,Wind blowing from the north-west,0,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,33.0,,,,,,9.0,9.6,No precipitation,12,,,,
31.03.2020 05:00,19.1,650.6,753.9,-0.2,56,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,15.8,33.0,,,2500 or more  or no clouds.,,,10.0,10.1,No precipitation,12,,,,
31.03.2020 02:00,19.4,650.8,754.3,0.0,57,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,33.0,,,2500 or more  or no clouds.,,,14.0,10.7,No precipitation,12,,,,
30.03.2020 23:00,22.8,650.8,754.4,1.7,45,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,,,15.8,33.0,,,2500 or more  or no clouds.,,,13.0,10.3,No precipitation,12,,,,
30.03.2020 20:00,28.1,649.1,753.5,0.9,29,Wind blowing from the west,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,33.0,,,,,,15.0,8.4,No precipitation,12,,,,
30.03.2020 17:00,32.6,648.2,751.5,-1.9,19,Wind blowing from the west,4,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,33.0,,,600-1000,,,19.0,6.0,No precipitation,12,,,,
30.03.2020 14:00,30.8,650.1,753.6,-1.6,25,Wind blowing from the west-southwest,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,32.2,,,600-1000,,,16.0,8.5,No precipitation,12,,,,
30.03.2020 11:00,27.6,651.7,755.5,0.9,32,Wind blowing from the south-southwest,1,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,32.2,,,,,,11.0,9.4,No precipitation,12,,,,
30.03.2020 08:00,16.3,650.8,755.6,1.0,73,Wind blowing from the north-west,1,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,32.2,,,,,,7.0,11.5,No precipitation,12,,,,
30.03.2020 05:00,17.0,649.8,753.5,-0.4,70,Wind blowing from the north-west,1,,8,,Haze. ,,,15.6,32.2,,,2500 or more  or no clouds.,,,7.0,11.5,No precipitation,12,,,,
30.03.2020 02:00,19.5,650.2,754.0,-0.3,59,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,32.2,,,2500 or more  or no clouds.,,,7.0,11.3,No precipitation,12,,,,
29.03.2020 23:00,22.7,650.5,754.1,1.8,46,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,,,15.6,32.2,,,2500 or more  or no clouds.,,,9.0,10.5,No precipitation,12,,,,
29.03.2020 20:00,27.9,648.7,753.1,0.8,29,Wind blowing from the west,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,32.2,,,,,,14.0,8.2,No precipitation,12,,,,
29.03.2020 17:00,31.9,647.9,751.3,-2.1,21,Wind blowing from the west,4,,10,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,32.2,,,600-1000,,,19.0,6.9,No precipitation,12,,,,
29.03.2020 14:00,29.4,650.0,753.9,-1.5,30,Wind blowing from the west,3,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.0,,,600-1000,,,16.0,10.0,No precipitation,12,,,,
29.03.2020 11:00,26.9,651.5,755.5,1.0,37,Wind blowing from the west-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.0,,,,,,12.0,11.0,No precipitation,12,,,,
29.03.2020 08:00,16.2,650.5,755.4,1.2,72,Wind blowing from the west,1,,2,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,31.0,,,,,,7.0,11.2,No precipitation,12,,,,
29.03.2020 05:00,16.8,649.3,753.4,-0.8,67,Wind blowing from the north-west,0,,7,,Cloud development not observed or not observable. ,,,14.1,31.0,,,2500 or more  or no clouds.,,,7.0,10.6,No precipitation,12,,,,
29.03.2020 02:00,18.7,650.1,754.0,-0.4,60,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,31.0,,,2500 or more  or no clouds.,,,8.0,10.8,No precipitation,12,,,,
28.03.2020 23:00,21.7,650.5,754.7,1.5,48,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,,,14.1,31.0,,,2500 or more  or no clouds.,,,8.0,10.2,No precipitation,12,,,,
28.03.2020 20:00,26.8,649.0,754.0,0.8,34,Wind blowing from the west-southwest,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,31.0,,,,,,13.0,9.6,No precipitation,12,,,,
28.03.2020 17:00,30.1,648.2,752.3,-2.3,27,Wind blowing from the west-southwest,4,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,31.0,,,600-1000,,,14.0,9.1,No precipitation,12,,,,
28.03.2020 14:00,29.2,650.5,754.8,-2.3,27,Wind blowing from the south,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,29.5,,,600-1000,,,17.0,8.3,No precipitation,12,,,,
28.03.2020 11:00,24.9,652.8,757.7,1.0,41,Wind blowing from the south-west,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,29.2,,,,,,9.0,10.8,No precipitation,12,,,,
28.03.2020 08:00,14.4,651.8,757.6,0.9,78,Wind blowing from the west,0,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,29.2,,,,,,8.0,10.6,No precipitation,12,,,,
28.03.2020 05:00,15.2,650.9,755.7,-1.0,71,Wind blowing from the west,0,,6,,Cloud development not observed or not observable. ,,,13.8,29.2,,,2500 or more  or no clouds.,,,10.0,10.0,No precipitation,12,,,,
28.03.2020 02:00,17.0,651.9,756.4,-0.1,63,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,29.2,,,2500 or more  or no clouds.,,,10.0,9.9,No precipitation,12,,,,
27.03.2020 23:00,19.9,652.0,756.8,1.5,51,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,,,13.8,29.2,,,2500 or more  or no clouds.,,,12.0,9.5,No precipitation,12,,,,
27.03.2020 20:00,24.9,650.5,756.2,0.6,34,Wind blowing from the west,1,,8,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,29.2,,,2500 or more  or no clouds.,,,2.8,8.0,No precipitation,12,,,,
27.03.2020 17:00,28.7,649.9,754.7,-1.5,28,Wind blowing from the north-west,2,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,29.2,,,600-1000,,,17.0,8.4,No precipitation,12,,,,
27.03.2020 14:00,28.9,651.4,756.0,-1.4,26,Wind blowing from the north-west,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,29.1,,,600-1000,,,19.0,7.5,No precipitation,12,,,,
