Local time in Mei County,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 11:00,18.1,755.8,766.2,1.5,97,Wind blowing from the north,1,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,,,,2500 or more  or no clouds.,,,9.0,17.6,11.0,12,,,,
03.04.2020 08:00,17.4,754.3,764.7,1.5,98,Wind blowing from the north-west,1,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,15.0,17.0,14.0,12,,,,
03.04.2020 05:00,17.1,752.8,763.3,-0.9,99,Wind blowing from the north-northeast,2,,11,,Rain (not freezing) not falling as shower(s). ,,,,,,,2500 or more  or no clouds.,,,7.0,16.9,16.0,12,,,,
03.04.2020 02:00,17.3,753.7,764.1,-0.6,99,Wind blowing from the north-northwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,21.4,,,2500 or more  or no clouds.,,,7.0,17.1,5.0,12,,,,
02.04.2020 23:00,17.4,754.3,764.7,0.9,98,Wind blowing from the north-northwest,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.6,21.4,,,2500 or more  or no clouds.,,,9.0,17.0,5.0,12,,,,
02.04.2020 20:00,17.4,753.4,763.8,0.1,98,Wind blowing from the north-northwest,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,21.4,,,2500 or more  or no clouds.,,,3.9,17.0,2.0,12,,,,
02.04.2020 17:00,18.3,753.3,763.7,0.8,87,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,21.4,,,2500 or more  or no clouds.,,,30.0,16.1,No precipitation,12,,,,
02.04.2020 14:00,20.9,752.5,762.9,-1.8,78,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,20.9,,,2500 or more  or no clouds.,,,30.0,16.9,0.8,12,,,,
02.04.2020 11:00,17.6,754.3,764.8,-0.5,90,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,18.7,,,2500 or more  or no clouds.,,,30.0,15.9,1.0,12,,,,
02.04.2020 08:00,15.4,754.8,765.3,1.0,99,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,18.7,,,2500 or more  or no clouds.,,,17.0,15.2,1.0,12,,,,
02.04.2020 05:00,14.7,753.8,764.3,0.6,99,Wind blowing from the west-southwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.2,18.7,,,2500 or more  or no clouds.,,,7.0,14.5,1.0,12,,,,
02.04.2020 02:00,14.9,753.2,763.6,0.0,97,Wind blowing from the west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,18.7,,,2500 or more  or no clouds.,,,2.5,14.4,0.7,12,,,,
01.04.2020 23:00,16.8,753.2,763.6,0.6,84,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,,,,18.7,,,2500 or more  or no clouds.,,,30.0,14.0,No precipitation,12,,,,
01.04.2020 20:00,17.1,752.6,763.1,1.2,81,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,18.7,,,2500 or more  or no clouds.,,,30.0,13.8,No precipitation,12,,,,
01.04.2020 17:00,18.1,751.4,761.8,-0.7,71,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,18.7,,,2500 or more  or no clouds.,,,30.0,12.7,No precipitation,12,,,,
01.04.2020 14:00,18.1,752.1,762.5,-2.1,65,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,18.7,,,2500 or more  or no clouds.,,,30.0,11.4,No precipitation,12,,,,
01.04.2020 11:00,17.2,754.2,764.7,-0.1,67,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,18.7,,,2500 or more  or no clouds.,,,30.0,11.0,No precipitation,12,,,,
01.04.2020 08:00,13.8,754.3,764.8,1.8,81,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,,,,2500 or more  or no clouds.,,,30.0,10.6,No precipitation,12,,,,
01.04.2020 05:00,13.5,752.5,763.0,0.0,86,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,,,13.1,18.7,,,2500 or more  or no clouds.,,,30.0,11.2,0.3,12,,,,
01.04.2020 02:00,13.5,752.5,763.0,-0.3,90,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,18.7,,,2500 or more  or no clouds.,,,30.0,11.8,0.3,12,,,,
31.03.2020 23:00,13.4,752.8,763.3,1.4,96,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,,,12.8,18.7,,,2500 or more  or no clouds.,,,30.0,12.7,0.3,12,,,,
31.03.2020 20:00,15.2,751.4,761.9,2.1,97,Wind blowing from the north-northwest,4,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,18.7,,,1000-1500,,,6.0,14.8,0.3,12,,,,
31.03.2020 17:00,17.6,749.3,759.7,-0.4,87,Wind blowing from the north-northwest,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,18.7,,,1000-1500,,,30.0,15.4,No precipitation,12,,,,
31.03.2020 14:00,18.0,749.7,760.1,-1.8,79,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,18.1,,,1000-1500,,,30.0,14.3,No precipitation,12,,,,
31.03.2020 11:00,16.6,751.5,762.0,0.2,81,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,16.6,,,1000-1500,,,30.0,13.3,No precipitation,12,,,,
31.03.2020 08:00,13.7,751.3,761.8,0.3,95,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,14.1,,,1000-1500,,,30.0,12.9,Trace of precipitation,12,,,,
31.03.2020 05:00,13.1,751.0,761.6,-0.5,95,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,,,12.6,14.1,,,2500 or more  or no clouds.,,,30.0,12.3,0.1,12,,,,
31.03.2020 02:00,13.0,751.5,762.1,-0.3,96,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,15.4,,,2500 or more  or no clouds.,,,30.0,12.3,0.3,12,,,,
30.03.2020 23:00,12.9,751.8,762.4,0.8,97,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,,,12.6,,,,2500 or more  or no clouds.,,,10.0,12.5,0.5,12,,,,
30.03.2020 20:00,13.2,751.0,761.6,0.9,96,Wind blowing from the north-northwest,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,,,,1000-1500,,,30.0,12.5,0.9,12,,,,
30.03.2020 17:00,13.5,750.1,760.6,-0.5,97,Wind blowing from the north-northwest,3,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,,,,1000-1500,,,29.0,13.0,1.0,12,,,,
30.03.2020 14:00,13.9,750.6,761.1,-1.4,96,Wind blowing from the north-northwest,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,18.8,,,1000-1500,,,19.0,13.2,2.0,12,,,,
30.03.2020 11:00,13.5,752.0,762.5,0.1,97,Wind blowing from the north-northwest,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,18.8,,,1000-1500,,,7.0,13.1,2.0,12,,,,
30.03.2020 08:00,12.7,751.9,762.4,1.2,97,Wind blowing from the north-northwest,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,18.8,,,1000-1500,,,5.0,12.3,2.0,12,,,,
30.03.2020 05:00,13.2,750.7,761.2,0.3,96,Wind blowing from the north-northwest,3,,7,,Rain (not freezing) not falling as shower(s). ,,,13.1,18.8,,,2500 or more  or no clouds.,,,30.0,12.5,1.0,12,,,,
30.03.2020 02:00,15.5,750.4,760.9,0.0,97,Wind blowing from the north-northwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,18.8,,,2500 or more  or no clouds.,,,3.2,15.1,0.6,12,,,,
29.03.2020 23:00,17.2,750.4,760.9,0.5,84,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,,,,18.8,,,2500 or more  or no clouds.,,,30.0,14.4,No precipitation,12,,,,
29.03.2020 20:00,17.3,749.9,760.3,0.7,81,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,18.8,,,1000-1500,,,30.0,14.0,No precipitation,12,,,,
29.03.2020 17:00,18.1,749.2,759.7,-1.1,74,Wind blowing from the east,3,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,18.8,,,1000-1500,,,30.0,13.4,No precipitation,12,,,,
29.03.2020 14:00,17.8,750.3,760.7,-1.9,72,Wind blowing from the south-southeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,18.4,,,1000-1500,,,30.0,12.6,No precipitation,12,,,,
29.03.2020 11:00,16.5,752.2,762.7,0.0,74,Wind blowing from the south-southwest,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,18.4,,,1000-1500,,,30.0,11.8,No precipitation,12,,,,
29.03.2020 08:00,14.2,752.2,762.7,0.7,78,Wind blowing from the north-northwest,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,1000-1500,,,30.0,10.4,No precipitation,12,,,,
29.03.2020 05:00,13.3,751.5,762.0,-1.5,77,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,,,13.3,21.2,,,2500 or more  or no clouds.,,,30.0,9.3,No precipitation,12,,,,
29.03.2020 02:00,14.0,753.0,763.5,-0.7,71,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,21.2,,,2500 or more  or no clouds.,,,30.0,8.8,No precipitation,12,,,,
28.03.2020 23:00,14.4,753.7,764.2,0.7,70,Wind blowing from the north-northwest,4,,8,,Cloud development not observed or not observable. ,,,14.4,21.2,,,2500 or more  or no clouds.,,,30.0,9.0,No precipitation,12,,,,
28.03.2020 20:00,15.8,753.0,763.4,1.2,68,Wind blowing from the north,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,21.2,,,1000-1500,,,30.0,9.9,No precipitation,12,,,,
28.03.2020 17:00,17.7,751.8,762.1,-0.8,62,Wind blowing from the north,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,23.6,,,1000-1500,,,30.0,10.3,No precipitation,12,,,,
28.03.2020 14:00,17.9,752.6,763.0,-1.1,68,Wind blowing from the north,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,,,,1000-1500,,,30.0,11.9,3.0,12,,,,
28.03.2020 11:00,17.3,753.7,764.0,0.3,76,Wind blowing from the north,5,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,,,,1000-1500,,,30.0,13.0,6.0,12,,,,
28.03.2020 08:00,20.3,753.4,763.6,2.1,96,Wind blowing from the north-west,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,,,,600-1000,,,21.0,19.6,8.0,12,,,,
28.03.2020 05:00,19.8,751.3,761.5,-0.1,99,Wind blowing from the north-northwest,2,,8,,Mist. ,,,19.8,,,,2500 or more  or no clouds.,,,5.0,19.6,9.0,12,,,,
28.03.2020 02:00,19.8,751.4,761.5,0.0,99,Wind blowing from the west-northwest,1,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,30.1,,,2500 or more  or no clouds.,,,2.5,19.6,6.0,12,,,,
27.03.2020 23:00,20.0,751.4,761.7,0.8,98,Wind blowing from the north-northwest,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,19.5,30.1,,,2500 or more  or no clouds.,,,10.0,19.6,3.0,12,,,,
27.03.2020 20:00,21.1,750.6,760.9,2.6,92,Wind blowing from the north-northwest,4,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,30.1,,,600-1000,,,29.0,19.7,0.9,12,,,,
27.03.2020 17:00,23.7,748.0,758.2,-0.6,74,Wind blowing from the north-west,2,,8,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,30.1,,,600-1000,,,28.0,18.7,0.1,12,,,,
27.03.2020 14:00,29.4,748.6,758.7,-2.1,55,Wind blowing from the south,2,,6,50%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,29.4,,,600-1000,,,30.0,19.4,No precipitation,12,,,,
27.03.2020 11:00,22.1,750.7,760.9,-0.3,97,Wind blowing from the south,2,,6,60%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,,,,600-1000,,,7.0,21.6,No precipitation,12,,,,
27.03.2020 08:00,20.9,751.0,761.2,1.3,100,Wind blowing from the north-west,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,,,,1000-1500,,,6.0,20.9,No precipitation,12,,,,
27.03.2020 05:00,20.0,749.7,759.9,-0.9,100,Wind blowing from the north-northwest,1,,3,,Mist. ,,,19.5,26.5,,,2500 or more  or no clouds.,,,4.9,20.0,No precipitation,12,,,,
