Local time in Ejin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.04.2020 17:00,18.6,685.4,766.7,-1.6,3,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.6,,,2500 or more  or no clouds.,,,30.0,-27.5,No precipitation,12,,,,
04.04.2020 14:00,18.3,687.0,768.3,-1.6,4,Wind blowing from the east,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,18.5,,,2500 or more  or no clouds.,,,30.0,-24.5,No precipitation,12,,,,
04.04.2020 11:00,13.9,688.6,770.4,0.4,7,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,17.2,,,2500 or more  or no clouds.,,,30.0,-21.4,No precipitation,12,,,,
04.04.2020 08:00,6.4,688.2,770.1,0.5,17,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,17.2,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
04.04.2020 05:00,3.6,687.7,769.5,-0.4,17,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,,,0.4,17.2,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
04.04.2020 02:00,5.4,688.1,769.9,-0.2,14,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,17.2,,,2500 or more  or no clouds.,,,12.0,-20.0,No precipitation,12,,,,
03.04.2020 23:00,8.0,688.3,770.3,0.8,13,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,,,0.4,17.2,,,2500 or more  or no clouds.,,,20.0,-18.8,No precipitation,12,,,,
03.04.2020 20:00,14.2,687.5,769.6,0.4,6,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,17.2,,,2500 or more  or no clouds.,,,30.0,-22.9,No precipitation,12,,,,
03.04.2020 17:00,16.7,687.1,769.2,-1.4,4,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,17.1,,,2500 or more  or no clouds.,,,28.0,-25.7,No precipitation,12,,,,
03.04.2020 14:00,15.7,688.5,770.6,-1.3,4,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,15.7,,,2500 or more  or no clouds.,,,30.0,-26.4,No precipitation,12,,,,
03.04.2020 11:00,11.7,689.8,772.4,0.5,6,Wind blowing from the east-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,13.8,,,2500 or more  or no clouds.,,,30.0,-24.8,No precipitation,12,,,,
03.04.2020 08:00,4.8,689.3,772.0,1.1,8,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,13.8,,,2500 or more  or no clouds.,,,30.0,-26.8,No precipitation,12,,,,
03.04.2020 05:00,1.3,688.2,770.9,-0.1,13,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,,,-3.7,13.8,,,2500 or more  or no clouds.,,,30.0,-24.1,No precipitation,12,,,,
03.04.2020 02:00,3.3,688.3,771.1,-0.2,14,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,13.8,,,2500 or more  or no clouds.,,,30.0,-21.7,No precipitation,12,,,,
02.04.2020 23:00,5.4,688.5,771.5,1.1,9,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,,,-3.7,13.8,,,2500 or more  or no clouds.,,,30.0,-25.0,No precipitation,12,,,,
02.04.2020 20:00,11.1,687.4,770.8,0.3,6,Wind blowing from the east-southeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,13.8,,,2500 or more  or no clouds.,,,30.0,-25.2,No precipitation,12,,,,
02.04.2020 17:00,13.7,687.1,770.0,-1.7,3,Wind blowing from the east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,13.7,,,2500 or more  or no clouds.,,,30.0,-30.8,No precipitation,12,,,,
02.04.2020 14:00,11.5,688.8,771.8,-1.3,5,Wind blowing from the east,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,11.9,,,2500 or more  or no clouds.,,,30.0,-26.9,No precipitation,12,,,,
02.04.2020 11:00,8.2,690.1,773.4,0.8,7,Wind blowing from the east-southeast,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,10.7,,,2500 or more  or no clouds.,,,30.0,-25.7,No precipitation,12,,,,
02.04.2020 08:00,-1.1,689.3,773.4,1.2,22,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,10.7,,,2500 or more  or no clouds.,,,30.0,-20.1,No precipitation,12,,,,
02.04.2020 05:00,-1.2,688.1,771.7,0.4,22,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,,,-1.6,10.7,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
02.04.2020 02:00,2.2,687.7,771.0,0.3,18,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,10.7,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
01.04.2020 23:00,5.0,687.4,770.6,1.2,15,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,,,-1.6,10.7,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
01.04.2020 20:00,8.2,686.2,769.9,0.3,11,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,10.7,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
01.04.2020 17:00,10.3,685.9,769.1,-1.2,8,Wind blowing from the east-southeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,10.6,,,2500 or more  or no clouds.,,,30.0,-22.6,No precipitation,12,,,,
01.04.2020 14:00,9.2,687.1,770.3,-2.0,11,Wind blowing from the east-northeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,9.8,,,2500 or more  or no clouds.,,,21.0,-19.8,No precipitation,12,,,,
01.04.2020 11:00,6.4,689.1,772.6,0.3,14,Wind blowing from the east-southeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,9.3,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
01.04.2020 08:00,-0.6,688.8,772.9,1.0,29,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,9.3,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
01.04.2020 05:00,-0.6,687.8,771.6,-0.3,32,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,,,-0.6,9.3,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
01.04.2020 02:00,1.7,688.1,771.6,-0.5,37,Wind blowing from the east-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,9.3,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
31.03.2020 23:00,4.3,688.6,772.1,0.6,37,Wind blowing from the east-northeast,2,,10,,Cloud development not observed or not observable. ,,,1.7,9.3,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
31.03.2020 20:00,7.6,688.0,771.7,0.9,19,Wind blowing from the east,2,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,9.5,,,2500 or more  or no clouds.,,,27.0,-14.6,No precipitation,12,,,,
31.03.2020 17:00,8.9,687.1,770.1,-0.3,18,Wind blowing from the east,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,13.1,,,2500 or more  or no clouds.,,,17.0,-14.1,No precipitation,12,,,,
31.03.2020 14:00,8.4,687.4,770.8,-0.3,20,Wind blowing from the east,5,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,13.1,,,2500 or more  or no clouds.,,,8.0,-13.3,No precipitation,12,,,,
31.03.2020 11:00,6.0,687.7,771.0,1.5,28,Wind blowing from the east,7,,,90  or more  but not 100%,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,13.1,,,2500 or more  or no clouds.,,,6.0,-11.1,No precipitation,12,,,,
31.03.2020 08:00,1.8,686.2,769.3,1.5,45,Wind blowing from the north-east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,13.1,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
31.03.2020 05:00,3.8,684.7,766.8,0.5,45,Wind blowing from the east-northeast,3,,11,,Cloud development not observed or not observable. ,,,1.9,13.1,,,2500 or more  or no clouds.,,,30.0,-7.3,No precipitation,12,,,,
31.03.2020 02:00,2.2,684.2,766.6,0.6,32,Wind blowing from the north,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,13.1,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
30.03.2020 23:00,5.4,683.6,766.1,1.0,13,Wind blowing from the west-northwest,2,,12,,Cloud development not observed or not observable. ,,,3.3,13.1,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
30.03.2020 20:00,9.5,682.6,765.0,1.0,11,Wind blowing from the north-northwest,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,13.9,,,,,,30.0,-19.5,No precipitation,12,,,,
30.03.2020 17:00,12.6,681.6,763.1,-0.7,9,Wind blowing from the west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,15.9,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
30.03.2020 14:00,11.7,682.3,763.5,-0.6,13,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,15.9,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
30.03.2020 11:00,7.4,682.9,764.5,1.3,21,Wind blowing from the west-northwest,6,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,15.9,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
30.03.2020 08:00,3.5,681.6,763.2,2.3,48,Wind blowing from the west,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,15.9,,,2500 or more  or no clouds.,,,30.0,-6.7,No precipitation,12,,,,
30.03.2020 05:00,5.3,679.3,760.1,0.5,37,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,,,-1.2,15.9,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
30.03.2020 02:00,8.9,678.8,759.1,1.0,17,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,15.9,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
29.03.2020 23:00,10.9,677.8,758.6,0.9,7,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,,,-1.2,15.9,,,2500 or more  or no clouds.,,,30.0,-23.6,No precipitation,12,,,,
29.03.2020 20:00,13.9,676.9,758.5,0.3,6,Wind blowing from the west-southwest,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,15.9,,,2500 or more  or no clouds.,,,30.0,-23.1,No precipitation,12,,,,
29.03.2020 17:00,15.3,676.6,758.0,-1.7,5,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,15.9,,,2500 or more  or no clouds.,,,30.0,-24.2,No precipitation,12,,,,
29.03.2020 14:00,15.1,678.3,759.1,-2.0,5,Wind blowing from the west,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,15.2,,,,,,30.0,-24.3,No precipitation,12,,,,
29.03.2020 11:00,8.9,680.3,762.2,0.1,7,Wind blowing from the west-northwest,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,12.9,,,2500 or more  or no clouds.,,,30.0,-25.1,No precipitation,12,,,,
29.03.2020 08:00,-1.0,680.2,762.8,0.6,17,Wind blowing from the west,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.9,,,,,,30.0,-23.0,No precipitation,12,,,,
29.03.2020 05:00,-0.9,679.6,761.8,-0.3,25,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,,,-3.1,12.9,,,2500 or more  or no clouds.,,,30.0,-18.5,No precipitation,12,,,,
29.03.2020 02:00,5.2,679.9,761.5,-0.5,15,Wind blowing from the south-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.9,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
28.03.2020 23:00,5.4,680.4,762.7,0.8,16,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,,,-3.1,12.9,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
28.03.2020 20:00,10.5,679.6,762.3,0.3,10,Wind blowing from the west-northwest,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.9,,,,,,29.0,-19.9,No precipitation,12,,,,
28.03.2020 17:00,12.5,679.3,761.6,-1.8,8,Wind blowing from the west,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,12.9,,,,,,30.0,-20.9,No precipitation,12,,,,
28.03.2020 14:00,10.2,681.1,763.6,-2.1,7,Wind blowing from the west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,10.5,,,,,,30.0,-24.2,No precipitation,12,,,,
28.03.2020 11:00,5.8,683.2,766.2,0.0,10,Wind blowing from the east,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,9.7,,,,,,30.0,-23.5,No precipitation,12,,,,
28.03.2020 08:00,-2.2,683.2,766.9,0.0,24,Wind blowing from the east-northeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,9.7,,,,,,30.0,-20.1,No precipitation,12,,,,
28.03.2020 05:00,-1.6,683.2,766.6,-1.4,25,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,,,-6.4,9.7,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
28.03.2020 02:00,1.3,684.6,767.8,-1.3,18,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,9.7,,,2500 or more  or no clouds.,,,30.0,-20.4,No precipitation,12,,,,
27.03.2020 23:00,3.6,685.9,769.6,-0.2,15,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,,,-6.4,9.7,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
27.03.2020 20:00,7.0,686.1,770.5,-0.6,12,Wind blowing from the east-northeast,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,9.7,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
