Local time in Huma,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,3.6,748.9,765.3,-0.3,34,Wind blowing from the north,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,10.7,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
06.04.2020 14:00,4.0,749.2,765.7,-0.9,30,Wind blowing from the north-northwest,10,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,11.6,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
06.04.2020 11:00,2.9,750.1,766.5,-0.6,35,Wind blowing from the north-northwest,11,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
06.04.2020 08:00,0.4,750.7,767.2,0.3,37,Wind blowing from the north-northwest,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
06.04.2020 05:00,-0.7,750.4,766.7,-0.2,55,Wind blowing from the north-northwest,7,,15,,Cloud development not observed or not observable. ,,,-10.4,11.7,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
06.04.2020 02:00,0.3,750.6,766.8,0.2,77,Wind blowing from the north,5,,15,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.7,,,2500 or more  or no clouds.,,,30.0,-3.3,No precipitation,12,,,,
05.04.2020 23:00,1.1,750.4,766.6,1.6,76,Wind blowing from the north-northwest,9,,15,,Cloud development not observed or not observable. ,,,,11.7,,,2500 or more  or no clouds.,,,30.0,-2.8,No precipitation,12,,,,
05.04.2020 20:00,3.4,748.8,765.3,2.6,49,Wind blowing from the north-northwest,9,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.7,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
05.04.2020 17:00,10.8,746.2,762.7,-1.1,23,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,11.7,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
05.04.2020 14:00,11.4,747.3,763.7,-1.9,18,Wind blowing from the south-east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,11.7,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
05.04.2020 11:00,7.5,749.2,765.7,-1.9,21,Wind blowing from the south-east,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,7.6,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
05.04.2020 08:00,-2.6,751.1,767.9,-1.0,56,Wind blowing from the south,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,3.3,,,2500 or more  or no clouds.,,,28.0,-10.2,No precipitation,12,,,,
05.04.2020 05:00,-10.3,752.1,769.0,-1.0,76,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,,,-10.6,3.3,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
05.04.2020 02:00,-8.1,753.1,769.9,-0.6,73,Wind blowing from the south,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,3.3,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
04.04.2020 23:00,-7.0,753.7,770.6,-0.3,75,Wind blowing from the south-southeast,1,,11,,Cloud development not observed or not observable. ,,,-7.2,3.3,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
04.04.2020 20:00,-4.4,754.0,770.8,0.2,63,Wind blowing from the north-northeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,3.3,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
04.04.2020 17:00,2.7,753.8,770.6,-0.8,30,Wind blowing from the north,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,3.3,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
04.04.2020 14:00,3.0,754.6,771.3,-0.7,33,Wind blowing from the north-northwest,8,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,3.0,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
04.04.2020 11:00,0.2,755.3,772.1,-0.5,34,Wind blowing from the north-northwest,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,1.3,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
04.04.2020 08:00,-4.0,755.8,772.6,0.9,38,Wind blowing from the north-northwest,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,1.3,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
04.04.2020 05:00,-6.9,754.9,771.8,1.2,44,Wind blowing from the north-northwest,7,,,,Cloud development not observed or not observable. ,,,-7.1,1.3,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
04.04.2020 02:00,-5.5,753.7,770.5,0.7,39,Wind blowing from the north-northwest,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,1.3,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
03.04.2020 23:00,-4.2,753.0,769.8,0.8,38,Wind blowing from the north-northwest,9,,18,,Cloud development not observed or not observable. ,,,-5.1,1.3,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
03.04.2020 20:00,-2.4,752.2,769.0,2.4,31,Wind blowing from the north,10,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,1.3,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
03.04.2020 17:00,-0.2,749.8,766.6,1.7,31,Wind blowing from the north,11,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,1.4,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
03.04.2020 14:00,1.1,748.1,764.7,1.0,34,Wind blowing from the north,12,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,2.4,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
03.04.2020 11:00,-0.6,747.1,763.7,0.9,42,Wind blowing from the north-northwest,12,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,2.4,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
03.04.2020 08:00,-3.5,746.2,762.9,0.9,44,Wind blowing from the north-northwest,11,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
03.04.2020 05:00,-4.1,745.3,761.8,0.6,48,Wind blowing from the north-northwest,6,,11,,Cloud development not observed or not observable. ,,,-4.8,2.4,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
03.04.2020 02:00,-3.4,744.7,761.2,0.3,57,Wind blowing from the north-northwest,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,2.4,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
02.04.2020 23:00,-4.1,744.4,760.9,-0.6,69,Wind blowing from the north-northwest,1,,19,,Cloud development not observed or not observable. ,,,-4.1,6.5,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
02.04.2020 20:00,-2.4,745.0,761.5,0.2,63,Wind blowing from the west-northwest,1,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,6.5,,,2500 or more  or no clouds.,,,21.0,-8.5,No precipitation,12,,,,
02.04.2020 17:00,1.4,744.8,761.2,0.4,31,Wind blowing from the north-northwest,8,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
02.04.2020 14:00,1.9,744.4,760.7,0.3,33,Wind blowing from the north-west,10,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,,,,2500 or more  or no clouds.,,,30.0,-12.7,0.1,12,,,,
02.04.2020 11:00,0.6,744.1,760.5,0.9,33,Wind blowing from the north-west,12,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,,,,2500 or more  or no clouds.,,,30.0,-13.8,0.1,12,,,,
02.04.2020 08:00,-1.2,743.2,759.6,2.1,39,Wind blowing from the north-west,13,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,11.8,,,2500 or more  or no clouds.,,,30.0,-13.4,0.1,12,,,,
02.04.2020 05:00,-0.2,741.1,757.2,3.1,48,Wind blowing from the north-west,12,,19,,Cloud development not observed or not observable. ,,,-1.3,11.8,,,2500 or more  or no clouds.,,,30.0,-9.9,0.1,12,,,,
02.04.2020 02:00,1.3,738.0,753.9,3.0,86,Wind blowing from the north-west,10,,18,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,11.8,,,2500 or more  or no clouds.,,,10.0,-0.8,No precipitation,12,,,,
01.04.2020 23:00,1.6,735.0,750.9,-0.7,62,Wind blowing from the south-west,4,,,,Cloud development not observed or not observable. ,,,-2.3,11.8,,,2500 or more  or no clouds.,,,30.0,-4.9,No precipitation,12,,,,
01.04.2020 20:00,4.1,735.7,751.6,0.3,49,Wind blowing from the west-southwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.8,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
01.04.2020 17:00,8.9,735.4,751.4,-1.6,42,Wind blowing from the south-southwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.8,,,2500 or more  or no clouds.,,,30.0,-3.3,No precipitation,12,,,,
01.04.2020 14:00,10.8,737.0,753.0,-2.3,27,Wind blowing from the west-southwest,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.7,,,2500 or more  or no clouds.,,,30.0,-7.4,No precipitation,12,,,,
01.04.2020 11:00,9.2,739.3,755.4,-0.9,30,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,9.2,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
01.04.2020 08:00,3.9,740.2,756.4,0.6,43,Wind blowing from the west-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,5.8,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
01.04.2020 05:00,-1.0,739.6,755.8,-0.1,51,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,,,-7.2,5.8,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
01.04.2020 02:00,-0.9,739.7,755.9,-1.3,51,Wind blowing from the west-southwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,5.8,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
31.03.2020 23:00,-1.9,741.0,757.3,-1.2,51,Wind blowing from the west-southwest,5,,13,,Cloud development not observed or not observable. ,,,-7.2,5.8,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
31.03.2020 20:00,-1.9,742.2,758.7,0.2,61,Wind blowing from the south-southwest,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,5.8,,,,,,30.0,-8.6,No precipitation,12,,,,
31.03.2020 17:00,5.1,742.0,758.5,-1.0,31,Wind blowing from the west,5,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,6.0,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
31.03.2020 14:00,5.2,743.0,759.4,-1.1,31,Wind blowing from the west-northwest,7,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.2,,,600-1000,,,30.0,-10.5,No precipitation,12,,,,
31.03.2020 11:00,4.2,744.1,760.4,-0.3,30,Wind blowing from the west,8,,11,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.5,,,600-1000,,,30.0,-11.8,No precipitation,12,,,,
31.03.2020 08:00,-1.6,744.4,760.8,0.8,74,Wind blowing from the south-east,1,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.5,,,600-1000,,,14.0,-5.6,No precipitation,12,,,,
31.03.2020 05:00,-7.2,743.6,760.0,0.1,91,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,,,-7.2,8.5,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
31.03.2020 02:00,-4.8,743.5,759.8,0.3,89,Wind blowing from the north,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.5,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
30.03.2020 23:00,-2.5,743.2,759.5,0.9,83,Wind blowing from the north,0,,14,,Cloud development not observed or not observable. ,,,-7.2,8.5,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
30.03.2020 20:00,0.9,742.3,758.8,2.1,67,Wind blowing from the north-northwest,5,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.5,,,600-1000,,,30.0,-4.7,No precipitation,12,,,,
30.03.2020 17:00,6.0,740.2,756.6,0.8,33,Wind blowing from the north-northwest,5,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,8.5,,,600-1000,,,30.0,-9.1,No precipitation,12,,,,
30.03.2020 14:00,8.0,739.4,755.7,0.3,29,Wind blowing from the west-northwest,6,,,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,9.3,,,600-1000,,,30.0,-8.9,No precipitation,12,,,,
30.03.2020 11:00,6.8,739.1,755.3,-0.1,33,Wind blowing from the north-east,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,9.3,,,600-1000,,,30.0,-8.3,No precipitation,12,,,,
30.03.2020 08:00,-2.0,739.2,755.6,0.6,67,Wind blowing from the south-southeast,1,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,,,,600-1000,,,16.0,-7.3,No precipitation,12,,,,
30.03.2020 05:00,-7.2,738.6,754.9,0.4,88,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,,,-10.5,9.3,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
30.03.2020 02:00,-5.1,738.2,754.4,0.5,82,Wind blowing from the south,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,9.3,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
29.03.2020 23:00,-3.4,737.7,753.9,1.2,81,Wind blowing from the south,2,,13,,Cloud development not observed or not observable. ,,,-11.0,9.3,,,2500 or more  or no clouds.,,,21.0,-6.2,No precipitation,12,,,,
29.03.2020 20:00,-1.4,736.5,752.8,1.9,75,Wind blowing from the south-west,2,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,9.3,,,,,,21.0,-5.3,No precipitation,12,,,,
29.03.2020 17:00,4.6,734.6,751.0,1.1,56,Wind blowing from the north-northwest,5,,15,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,9.3,,,600-1000,,,30.0,-3.4,No precipitation,12,,,,
29.03.2020 14:00,8.5,733.5,749.7,-1.5,33,Wind blowing from the south-west,5,,15,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,8.6,,,2500 or more  or no clouds.,,,30.0,-6.8,No precipitation,12,,,,
29.03.2020 11:00,6.0,735.0,751.3,-2.2,37,Wind blowing from the south-southwest,11,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,6.0,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
29.03.2020 08:00,-0.4,737.2,753.7,-0.6,59,Wind blowing from the south-southwest,6,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,2.5,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
29.03.2020 05:00,-10.2,737.8,754.4,-0.9,75,Wind blowing from the south,3,,4,,Cloud development not observed or not observable. ,,,-11.0,2.5,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
29.03.2020 02:00,-9.6,738.7,755.2,-0.5,77,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,2.5,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
28.03.2020 23:00,-8.8,739.2,755.8,0.2,75,Wind blowing from the south-southwest,2,,,,Cloud development not observed or not observable. ,,,-11.1,2.5,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
28.03.2020 20:00,-6.7,739.0,755.7,0.3,74,Wind blowing from the south-west,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,2.5,,,,,,30.0,-10.6,No precipitation,12,,,,
28.03.2020 17:00,1.2,738.7,755.2,-0.4,33,Wind blowing from the north-northeast,3,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,2.5,,,600-1000,,,30.0,-13.3,No precipitation,12,,,,
28.03.2020 14:00,1.2,739.1,755.7,-1.1,28,Wind blowing from the north-west,6,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,1.8,,,600-1000,,,30.0,-15.3,No precipitation,12,,,,
28.03.2020 11:00,-1.0,740.2,756.8,-0.9,38,Wind blowing from the west,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,-1.0,,,,,,30.0,-13.5,No precipitation,12,,,,
28.03.2020 08:00,-5.2,741.1,757.8,0.2,41,Wind blowing from the west,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,-4.5,,,,,,30.0,-16.4,No precipitation,12,,,,
28.03.2020 05:00,-9.9,740.9,757.8,-0.2,52,Wind blowing from the west,7,,12,,Cloud development not observed or not observable. ,,,-11.1,-4.5,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
28.03.2020 02:00,-9.7,741.1,757.9,-0.5,58,Wind blowing from the west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-4.5,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
27.03.2020 23:00,-7.9,741.6,758.4,-1.0,53,Wind blowing from the west-northwest,5,,,,Cloud development not observed or not observable. ,,,-9.6,-3.5,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
27.03.2020 20:00,-6.9,742.6,759.5,0.7,59,Wind blowing from the west-northwest,5,,16,50%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-3.2,,,1500-2000,,,30.0,-13.6,Trace of precipitation,12,,,,
27.03.2020 17:00,-5.7,741.9,758.7,0.8,55,Wind blowing from the north-west,6,,16,90  or more  but not 100%,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-0.2,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
