Local time in Xainza,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 11:00,-3.2,433.2,765.4,0.8,28,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,-0.4,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
06.04.2020 08:00,-10.5,432.4,767.2,0.1,62,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,-0.4,,,2500 or more  or no clouds.,,,29.0,-16.4,No precipitation,12,,,,
06.04.2020 05:00,-10.3,432.3,765.7,-0.7,59,Wind blowing from the south,1,,16,,Cloud development not observed or not observable. ,,,-10.3,-0.4,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
06.04.2020 02:00,-6.2,433.0,765.3,,44,Wind blowing from the south-west,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,-0.4,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
05.04.2020 20:00,-2.0,432.0,765.4,0.6,39,Wind blowing from the west-northwest,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,-0.4,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
05.04.2020 17:00,-0.7,431.4,760.9,-0.9,22,Wind blowing from the west-northwest,4,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,1.0,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
05.04.2020 14:00,-2.5,432.3,762.6,0.0,41,Wind blowing from the north-northwest,11,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,1.6,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
05.04.2020 11:00,-2.1,432.3,760.4,0.8,36,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,1.6,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
05.04.2020 08:00,-9.0,431.5,763.3,0.0,64,Wind blowing from the south-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,1.6,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
05.04.2020 05:00,-6.0,431.5,760.1,-0.2,60,Wind blowing from the east-southeast,3,,8,,Snow not falling as shower(s). ,,,-10.2,1.6,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
05.04.2020 02:00,-4.4,431.7,760.6,,27,Wind blowing from the east-northeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,1.6,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
04.04.2020 20:00,-0.5,430.8,762.6,-0.4,16,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,1.6,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
04.04.2020 17:00,0.6,431.2,762.0,-1.4,13,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,1.6,,,2500 or more  or no clouds.,,,30.0,-24.7,No precipitation,12,,,,
04.04.2020 14:00,-1.3,432.6,764.1,-0.8,14,Wind blowing from the north-northwest,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.0,,,2500 or more  or no clouds.,,,30.0,-25.4,No precipitation,12,,,,
04.04.2020 11:00,-4.2,433.4,766.3,0.7,32,Wind blowing from the north,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.0,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
04.04.2020 08:00,-9.7,432.7,766.3,0.5,52,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.0,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
04.04.2020 05:00,-9.1,432.2,763.5,-0.4,52,Wind blowing from the east,1,,16,,Cloud development not observed or not observable. ,,,-9.4,3.0,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
04.04.2020 02:00,-6.9,432.6,761.6,,56,Wind blowing from the north,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,3.0,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
03.04.2020 20:00,-0.9,430.1,759.7,1.0,20,Wind blowing from the north-northwest,10,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,3.0,,,2500 or more  or no clouds.,,,30.0,-21.1,No precipitation,12,,,,
03.04.2020 17:00,0.9,429.1,756.3,-0.8,16,Wind blowing from the north-northwest,10,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,4.8,,,2500 or more  or no clouds.,,,30.0,-22.1,No precipitation,12,,,,
03.04.2020 14:00,2.0,429.9,754.3,-0.5,8,Wind blowing from the north-west,9,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,4.8,,,2500 or more  or no clouds.,,,30.0,-28.9,No precipitation,12,,,,
03.04.2020 11:00,-2.3,430.4,757.8,0.6,14,Wind blowing from the west-northwest,9,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,4.8,,,2500 or more  or no clouds.,,,30.0,-26.2,No precipitation,12,,,,
03.04.2020 08:00,-7.2,429.8,756.8,0.7,21,Wind blowing from the east-northeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,4.8,,,2500 or more  or no clouds.,,,30.0,-25.8,No precipitation,12,,,,
03.04.2020 05:00,-6.8,429.1,753.7,-0.3,29,Wind blowing from the north-west,4,,18,,Cloud development not observed or not observable. ,,,-7.9,4.8,,,2500 or more  or no clouds.,,,30.0,-21.9,No precipitation,12,,,,
03.04.2020 02:00,-3.6,429.4,755.3,,20,Wind blowing from the west,9,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,4.8,,,2500 or more  or no clouds.,,,30.0,-23.3,No precipitation,12,,,,
02.04.2020 20:00,2.1,427.4,752.6,-0.1,7,Wind blowing from the west-northwest,9,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,4.8,,,2500 or more  or no clouds.,,,30.0,-30.2,No precipitation,12,,,,
02.04.2020 17:00,4.4,427.5,749.0,-2.1,7,Wind blowing from the west-northwest,10,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,4.7,,,2500 or more  or no clouds.,,,30.0,-28.5,No precipitation,12,,,,
02.04.2020 14:00,-0.3,429.6,755.4,-0.9,20,Wind blowing from the north-northwest,9,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,5.7,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
02.04.2020 11:00,-1.6,430.5,755.9,0.8,27,Wind blowing from the west-northwest,8,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,5.7,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
02.04.2020 08:00,-7.2,429.7,757.6,0.4,49,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,5.7,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
02.04.2020 05:00,-4.3,429.3,752.6,-0.4,56,Wind blowing from the west,3,,15,,Cloud development not observed or not observable. ,,,-11.3,5.7,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
02.04.2020 02:00,-3.4,429.7,751.9,,66,Wind blowing from the west,5,,17,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,5.7,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
01.04.2020 20:00,1.0,428.7,758.8,-0.1,32,Wind blowing from the west,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,5.7,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
01.04.2020 17:00,3.8,428.8,755.1,-1.0,18,Wind blowing from the west,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,5.7,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
01.04.2020 14:00,4.8,429.8,754.9,-1.9,14,Wind blowing from the west-northwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,5.0,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
01.04.2020 11:00,-0.7,431.7,759.4,0.0,17,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,3.8,,,2500 or more  or no clouds.,,,30.0,-22.7,No precipitation,12,,,,
01.04.2020 08:00,-11.1,431.7,763.0,0.1,50,Wind blowing from the west-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,3.8,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
01.04.2020 05:00,-8.8,431.6,760.9,-0.6,35,Wind blowing from the south-southeast,1,,15,,Cloud development not observed or not observable. ,,,-10.2,3.8,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
01.04.2020 02:00,-7.3,432.2,761.1,,47,Wind blowing from the north-northwest,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.8,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
31.03.2020 20:00,2.2,431.7,759.7,-0.2,22,Wind blowing from the north,3,,18,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.8,,,1500-2000,,,30.0,-17.3,No precipitation,12,,,,
31.03.2020 17:00,2.5,431.9,762.1,-0.9,24,Wind blowing from the north-northwest,13,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.8,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
31.03.2020 14:00,2.2,432.8,762.1,-0.4,19,Wind blowing from the north,9,,18,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.4,,,1500-2000,,,30.0,-19.1,No precipitation,12,,,,
31.03.2020 11:00,0.7,433.2,760.5,0.8,17,Wind blowing from the west-northwest,10,,15,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,2.6,,,1500-2000,,,30.0,-21.6,No precipitation,12,,,,
31.03.2020 08:00,-6.5,432.4,761.2,0.7,20,Wind blowing from the north,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,2.6,,,1500-2000,,,30.0,-25.8,No precipitation,12,,,,
31.03.2020 05:00,-9.6,431.7,762.4,-0.6,39,Wind blowing from the east,1,,13,,Cloud development not observed or not observable. ,,,-9.6,2.6,,,2500 or more  or no clouds.,,,30.0,-21.0,No precipitation,12,,,,
31.03.2020 02:00,-7.2,432.3,763.3,,24,Wind blowing from the north-east,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,2.6,,,2500 or more  or no clouds.,,,30.0,-24.4,No precipitation,12,,,,
30.03.2020 20:00,1.8,431.9,761.3,-0.3,13,Wind blowing from the north,4,,20,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,4.1,,,1500-2000,,,30.0,-23.7,No precipitation,12,,,,
30.03.2020 17:00,1.7,432.2,759.6,-1.3,11,Wind blowing from the north-northwest,7,,20,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,7.0,,,1500-2000,,,30.0,-25.7,No precipitation,12,,,,
30.03.2020 14:00,-0.6,433.5,761.9,0.3,17,Wind blowing from the north-northwest,10,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,7.0,,,2500 or more  or no clouds.,,,30.0,-22.7,No precipitation,12,,,,
30.03.2020 11:00,-3.9,433.2,761.2,1.2,26,Wind blowing from the west-northwest,11,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,7.0,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
30.03.2020 08:00,-7.9,432.0,759.7,1.4,48,Wind blowing from the north-northwest,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,7.0,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
30.03.2020 05:00,-4.8,430.6,753.6,0.2,43,Wind blowing from the west,9,,21,,Snow not falling as shower(s). ,,,-8.5,7.0,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
30.03.2020 02:00,-2.5,430.4,752.7,,32,Wind blowing from the west-northwest,7,,24,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,7.0,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
29.03.2020 20:00,4.0,426.9,751.0,-0.9,11,Wind blowing from the west-northwest,10,,24,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,7.0,,,2500 or more  or no clouds.,,,30.0,-23.9,No precipitation,12,,,,
29.03.2020 17:00,6.0,427.8,749.8,-2.7,5,Wind blowing from the west-northwest,13,,24,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,8.2,,,2500 or more  or no clouds.,,,30.0,-30.9,No precipitation,12,,,,
29.03.2020 14:00,4.4,430.5,752.4,-1.3,6,Wind blowing from the west,13,,24,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,8.7,,,2500 or more  or no clouds.,,,30.0,-30.1,No precipitation,12,,,,
29.03.2020 11:00,1.1,431.8,756.9,0.2,7,Wind blowing from the west,12,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,8.7,,,2500 or more  or no clouds.,,,30.0,-31.0,No precipitation,12,,,,
29.03.2020 08:00,-8.0,431.6,759.7,0.2,21,Wind blowing from the north-east,2,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,8.7,,,2500 or more  or no clouds.,,,30.0,-26.5,No precipitation,12,,,,
29.03.2020 05:00,-6.2,431.4,754.6,0.1,18,Wind blowing from the north-northwest,3,,25,,Cloud development not observed or not observable. ,,,-6.2,8.7,,,2500 or more  or no clouds.,,,30.0,-26.7,No precipitation,12,,,,
29.03.2020 02:00,-1.9,431.3,751.6,,7,Wind blowing from the west,12,,29,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,8.7,,,2500 or more  or no clouds.,,,23.0,-33.3,No precipitation,12,,,,
28.03.2020 20:00,3.4,429.1,749.1,0.4,11,Wind blowing from the north-west,10,,29,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,8.7,,,1500-2000,,,30.0,-24.3,No precipitation,12,,,,
28.03.2020 17:00,8.0,428.7,745.9,-1.1,7,Wind blowing from the west-northwest,15,,29,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,9.4,,,1500-2000,,,23.0,-25.8,No precipitation,12,,,,
28.03.2020 14:00,7.5,429.8,745.1,-1.4,9,Wind blowing from the west,17,,26,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,10.7,,,1500-2000,,,17.0,-23.4,No precipitation,12,,,,
28.03.2020 11:00,4.4,431.2,749.8,0.4,16,Wind blowing from the west-northwest,12,,18,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,10.7,,,1500-2000,,,30.0,-19.2,No precipitation,12,,,,
28.03.2020 08:00,0.3,430.8,749.4,-0.4,40,Wind blowing from the west,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,10.7,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
28.03.2020 05:00,-0.7,431.2,749.2,-0.4,40,Wind blowing from the south-east,2,,19,,Cloud development not observed or not observable. ,,,-8.2,10.7,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
28.03.2020 02:00,3.4,431.6,748.6,,25,Wind blowing from the west,8,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.7,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
27.03.2020 20:00,7.2,431.6,754.0,0.2,19,Wind blowing from the west,9,,19,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,10.7,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
27.03.2020 17:00,9.3,431.4,751.3,-2.4,12,Wind blowing from the north-northwest,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,10.7,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
27.03.2020 14:00,7.1,433.8,756.1,-1.2,14,Wind blowing from the north-northwest,6,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,7.2,,,2500 or more  or no clouds.,,,30.0,-18.6,No precipitation,12,,,,
27.03.2020 11:00,0.8,435.0,761.5,1.0,18,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,7.1,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
27.03.2020 08:00,-4.2,434.0,760.1,0.3,22,Wind blowing from the east-northeast,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,7.1,,,2500 or more  or no clouds.,,,30.0,-22.8,No precipitation,12,,,,
27.03.2020 05:00,-3.3,433.7,757.8,-0.2,19,Wind blowing from the east,2,,22,,Cloud development not observed or not observable. ,,,-6.3,7.1,,,2500 or more  or no clouds.,,,30.0,-23.7,No precipitation,12,,,,
27.03.2020 02:00,-1.8,433.9,757.6,,17,Wind blowing from the east,1,,23,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,7.1,,,2500 or more  or no clouds.,,,30.0,-23.7,No precipitation,12,,,,
26.03.2020 20:00,4.6,432.4,758.9,0.3,8,Wind blowing from the west-northwest,10,,23,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,7.1,,,2000-2500,,,30.0,-26.9,No precipitation,12,,,,
26.03.2020 17:00,6.1,432.1,755.5,,6,Wind blowing from the north-west,13,,23,50%., ,,,-6.3,6.6,,,2000-2500,,,30.0,-28.9,No precipitation,6,,,,
26.03.2020 14:00,5.3,433.1,756.0,-0.2,6,Wind blowing from the west-northwest,13,,19,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,5.3,,,2000-2500,,,30.0,-29.5,No precipitation,12,,,,
26.03.2020 11:00,0.5,433.3,759.5,,20,Wind blowing from the north-west,6,,,, ,,,-6.3,4.6,,,,,,30.0,-19.9,No precipitation,6,,,,
