Local time in Hotan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 14:00,21.6,647.2,759.1,-0.9,11,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,23.4,,,2500 or more  or no clouds.,,,8.0,-10.1,No precipitation,12,,,,
06.04.2020 11:00,16.2,648.1,761.1,1.1,17,Wind blowing from the west,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,23.4,,,2500 or more  or no clouds.,,,7.0,-8.9,No precipitation,12,,,,
06.04.2020 08:00,7.8,647.0,760.4,0.5,34,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,23.4,,,2500 or more  or no clouds.,,,11.0,-7.1,No precipitation,12,,,,
06.04.2020 05:00,10.5,646.5,759.1,-0.7,22,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,,,8.3,23.4,,,2500 or more  or no clouds.,,,12.0,-10.3,No precipitation,12,,,,
06.04.2020 02:00,15.2,647.2,759.4,-0.2,14,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,23.4,,,2500 or more  or no clouds.,,,11.0,-12.1,No precipitation,12,,,,
05.04.2020 23:00,15.9,647.4,760.4,1.0,14,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,,,8.3,23.4,,,2500 or more  or no clouds.,,,8.0,-11.6,No precipitation,12,,,,
05.04.2020 20:00,21.6,646.4,759.4,-0.3,8,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,23.4,,,2500 or more  or no clouds.,,,10.0,-14.1,No precipitation,12,,,,
05.04.2020 17:00,22.2,646.7,759.7,-1.9,9,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,23.0,,,2500 or more  or no clouds.,,,9.0,-12.2,No precipitation,12,,,,
05.04.2020 14:00,19.9,648.6,761.7,-0.9,14,Wind blowing from the east,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,20.8,,,2500 or more  or no clouds.,,,7.0,-8.4,No precipitation,12,,,,
05.04.2020 11:00,15.7,649.5,762.8,0.9,20,Wind blowing from the north-northwest,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,20.8,,,2500 or more  or no clouds.,,,5.0,-7.2,No precipitation,12,,,,
05.04.2020 08:00,9.4,648.6,762.4,0.5,26,Wind blowing from the south-west,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,20.8,,,2500 or more  or no clouds.,,,7.0,-9.1,No precipitation,12,,,,
05.04.2020 05:00,8.9,648.1,761.8,-0.5,29,Wind blowing from the south-west,1,,7,,Haze. ,,,7.8,20.8,,,2500 or more  or no clouds.,,,5.0,-8.2,No precipitation,12,,,,
05.04.2020 02:00,12.3,648.6,761.9,-0.3,21,Wind blowing from the south-east,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,20.8,,,2500 or more  or no clouds.,,,7.0,-9.4,No precipitation,12,,,,
04.04.2020 23:00,16.0,648.9,762.7,0.5,16,Wind blowing from the south-east,2,,,,Haze. ,,,7.8,20.8,,,2500 or more  or no clouds.,,,6.0,-9.8,No precipitation,12,,,,
04.04.2020 20:00,19.1,648.4,762.3,-0.6,13,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,20.8,,,2500 or more  or no clouds.,,,7.0,-10.0,No precipitation,12,,,,
04.04.2020 17:00,20.0,649.0,762.5,-1.9,12,Wind blowing from the north,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,20.6,,,2500 or more  or no clouds.,,,7.0,-10.3,No precipitation,12,,,,
04.04.2020 14:00,18.7,650.9,764.8,-0.8,20,Wind blowing from the west,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,19.0,,,2500 or more  or no clouds.,,,5.0,-4.7,No precipitation,12,,,,
04.04.2020 11:00,12.8,651.7,766.4,0.9,27,Wind blowing from the west,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,19.0,,,2500 or more  or no clouds.,,,3.0,-5.7,No precipitation,12,,,,
04.04.2020 08:00,9.3,650.8,765.4,0.5,35,Wind blowing from the west-southwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,19.0,,,2500 or more  or no clouds.,,,3.3,-5.4,No precipitation,12,,,,
04.04.2020 05:00,10.3,650.3,764.4,0.0,34,Wind blowing from the east-southeast,1,,,,Haze. ,,,8.6,19.0,,,2500 or more  or no clouds.,,,5.0,-4.9,No precipitation,12,,,,
04.04.2020 02:00,11.5,650.3,764.6,0.0,34,Wind blowing from the east,2,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,19.0,,,2500 or more  or no clouds.,,,4.2,-3.8,No precipitation,12,,,,
03.04.2020 23:00,14.2,650.3,764.8,0.8,25,Wind blowing from the south-east,1,,6,,Haze. ,,,8.6,19.0,,,2500 or more  or no clouds.,,,4.3,-5.5,No precipitation,12,,,,
03.04.2020 20:00,17.7,649.5,763.5,-0.4,18,Wind blowing from the north-northeast,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,19.0,,,2500 or more  or no clouds.,,,4.8,-6.9,No precipitation,12,,,,
03.04.2020 17:00,18.7,649.9,763.7,-1.3,18,Wind blowing from the east-northeast,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,18.8,,,2500 or more  or no clouds.,,,4.5,-6.1,No precipitation,12,,,,
03.04.2020 14:00,16.4,651.2,765.5,-0.5,22,Wind blowing from the west,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,17.5,,,2500 or more  or no clouds.,,,4.9,-5.4,No precipitation,12,,,,
03.04.2020 11:00,13.0,651.7,766.3,1.1,28,Wind blowing from the west-southwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,17.5,,,2500 or more  or no clouds.,,,3.6,-5.1,No precipitation,12,,,,
03.04.2020 08:00,10.8,650.6,765.3,1.2,27,Wind blowing from the west-southwest,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,17.5,,,2500 or more  or no clouds.,,,4.0,-7.4,No precipitation,12,,,,
03.04.2020 05:00,11.1,649.4,763.6,0.3,27,Wind blowing from the south-southwest,1,,7,,Haze. ,,,10.4,17.5,,,2500 or more  or no clouds.,,,4.2,-7.2,No precipitation,12,,,,
03.04.2020 02:00,12.2,649.1,763.4,0.3,26,Wind blowing from the south-southeast,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,17.5,,,2500 or more  or no clouds.,,,3.4,-6.7,No precipitation,12,,,,
02.04.2020 23:00,14.3,648.8,763.3,1.3,21,Wind blowing from the west,1,,8,,Haze. ,,,10.4,17.5,,,2500 or more  or no clouds.,,,3.6,-7.7,No precipitation,12,,,,
02.04.2020 20:00,15.7,647.5,761.6,0.4,17,Wind blowing from the west,2,,8,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,17.5,,,2500 or more  or no clouds.,,,4.2,-9.3,No precipitation,12,,,,
02.04.2020 17:00,16.7,647.1,761.0,-1.0,16,Wind blowing from the north,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,17.5,,,2500 or more  or no clouds.,,,4.8,-9.2,No precipitation,12,,,,
02.04.2020 14:00,14.8,648.1,762.3,0.1,20,Wind blowing from the north-west,4,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,16.3,,,2500 or more  or no clouds.,,,5.0,-7.9,No precipitation,12,,,,
02.04.2020 11:00,11.4,648.0,762.4,1.5,28,Wind blowing from the west-northwest,3,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,16.3,,,2500 or more  or no clouds.,,,4.5,-6.5,No precipitation,12,,,,
02.04.2020 08:00,10.6,646.5,760.6,0.4,30,Wind blowing from the west-northwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,16.3,,,2500 or more  or no clouds.,,,3.7,-6.2,No precipitation,12,,,,
02.04.2020 05:00,10.5,646.1,760.1,-0.4,26,Wind blowing from the north-west,1,,5,,Haze. ,,,10.4,16.3,,,2500 or more  or no clouds.,,,5.0,-8.2,No precipitation,12,,,,
02.04.2020 02:00,12.0,646.5,760.6,0.2,25,Wind blowing from the north-west,0,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,16.3,,,2500 or more  or no clouds.,,,3.6,-7.4,No precipitation,12,,,,
01.04.2020 23:00,13.9,646.3,760.4,1.0,22,Wind blowing from the north-northwest,1,,10,,Haze. ,,,11.0,16.3,,,2500 or more  or no clouds.,,,2.4,-7.5,No precipitation,12,,,,
01.04.2020 20:00,15.2,645.3,759.0,0.2,18,Wind blowing from the south-southwest,2,,,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,18.4,,,2500 or more  or no clouds.,,,2.8,-9.0,No precipitation,12,,,,
01.04.2020 17:00,15.5,645.1,758.5,-0.3,17,Wind blowing from the north-west,3,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,20.5,,,2500 or more  or no clouds.,,,2.7,-9.4,No precipitation,12,,,,
01.04.2020 14:00,13.9,645.4,759.0,0.3,20,Wind blowing from the north-west,5,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,2500 or more  or no clouds.,,,2.2,-8.7,No precipitation,12,,,,
01.04.2020 11:00,11.4,645.1,758.5,1.0,26,Wind blowing from the west-northwest,5,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,21.1,,,2500 or more  or no clouds.,,,2.0,-7.4,No precipitation,12,,,,
01.04.2020 08:00,11.5,644.1,756.9,0.2,30,Wind blowing from the west-northwest,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,21.1,,,2500 or more  or no clouds.,,,2.2,-5.5,No precipitation,12,,,,
01.04.2020 05:00,12.5,643.9,756.3,-0.3,28,Wind blowing from the west,3,,8,,Haze. ,,,8.8,21.1,,,2500 or more  or no clouds.,,,2.3,-5.5,No precipitation,12,,,,
01.04.2020 02:00,13.7,644.2,756.6,0.3,22,Wind blowing from the west,4,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,21.1,,,2500 or more  or no clouds.,,,2.4,-7.6,No precipitation,12,,,,
31.03.2020 23:00,16.2,643.9,757.1,0.9,17,Wind blowing from the west-northwest,3,,7,,Haze. ,,,8.8,21.1,,,2500 or more  or no clouds.,,,5.0,-8.9,No precipitation,12,,,,
31.03.2020 20:00,18.4,643.0,756.0,-0.5,16,Wind blowing from the west-northwest,3,,7,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,21.3,,,2500 or more  or no clouds.,,,5.0,-7.9,No precipitation,12,,,,
31.03.2020 17:00,19.5,643.5,756.0,-1.5,11,Wind blowing from the west-southwest,2,,6,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,22.5,,,2500 or more  or no clouds.,,,5.0,-11.7,No precipitation,12,,,,
31.03.2020 14:00,18.1,645.0,757.3,-0.2,15,Wind blowing from the north,3,,6,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,22.5,,,2500 or more  or no clouds.,,,5.0,-8.9,No precipitation,12,,,,
31.03.2020 11:00,11.7,645.2,758.3,1.2,24,Wind blowing from the west-northwest,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,22.5,,,2500 or more  or no clouds.,,,5.0,-8.2,No precipitation,12,,,,
31.03.2020 08:00,9.3,644.0,756.6,0.2,27,Wind blowing from the north-west,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,22.5,,,2500 or more  or no clouds.,,,5.0,-8.7,No precipitation,12,,,,
31.03.2020 05:00,11.4,643.8,755.8,-0.1,21,Wind blowing from the south,1,,7,,Haze. ,,,7.2,22.5,,,2500 or more  or no clouds.,,,5.0,-10.1,No precipitation,12,,,,
31.03.2020 02:00,15.1,643.9,755.7,0.8,14,Wind blowing from the east,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,22.5,,,2500 or more  or no clouds.,,,6.0,-12.2,No precipitation,12,,,,
30.03.2020 23:00,17.7,643.1,755.2,1.3,11,Wind blowing from the east-northeast,2,,7,,Haze. ,,,7.2,22.5,,,2500 or more  or no clouds.,,,7.0,-13.1,No precipitation,12,,,,
30.03.2020 20:00,21.4,641.8,754.3,-0.1,11,Wind blowing from the east-northeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,22.5,,,2500 or more  or no clouds.,,,6.0,-10.3,No precipitation,12,,,,
30.03.2020 17:00,21.7,641.9,754.0,-2.3,13,Wind blowing from the east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,22.2,,,2500 or more  or no clouds.,,,5.0,-7.9,No precipitation,12,,,,
30.03.2020 14:00,19.4,644.2,756.2,-0.6,18,Wind blowing from the east,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,19.5,,,2500 or more  or no clouds.,,,4.8,-5.5,No precipitation,12,,,,
30.03.2020 11:00,14.9,644.8,757.6,0.8,27,Wind blowing from the east,1,,3,20–30%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,19.3,,,2500 or more  or no clouds.,,,3.2,-3.9,No precipitation,12,,,,
30.03.2020 08:00,8.2,644.0,757.7,0.1,41,Wind blowing from the west-southwest,1,,3,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,19.3,,,2500 or more  or no clouds.,,,5.0,-4.3,No precipitation,12,,,,
30.03.2020 05:00,9.7,643.9,757.0,-0.2,39,Wind blowing from the south-southwest,1,,6,,Haze. ,,,9.1,19.3,,,2500 or more  or no clouds.,,,5.0,-3.6,No precipitation,12,,,,
30.03.2020 02:00,14.4,644.1,756.6,0.2,27,Wind blowing from the south-southeast,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,19.3,,,2500 or more  or no clouds.,,,4.3,-4.3,No precipitation,12,,,,
29.03.2020 23:00,15.6,643.9,757.0,0.4,25,Wind blowing from the south-southeast,1,,7,,Haze. ,,,9.1,19.3,,,2500 or more  or no clouds.,,,3.2,-4.3,No precipitation,12,,,,
29.03.2020 20:00,17.3,643.5,756.8,0.0,21,Wind blowing from the west,1,,7,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,19.3,,,2500 or more  or no clouds.,,,3.9,-5.2,No precipitation,12,,,,
29.03.2020 17:00,18.7,643.5,756.3,-1.7,20,Wind blowing from the north,3,,7,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,19.3,,,2500 or more  or no clouds.,,,3.0,-4.7,No precipitation,12,,,,
29.03.2020 14:00,17.0,645.2,758.7,-0.3,25,Wind blowing from the north-west,3,,7,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,17.0,,,2500 or more  or no clouds.,,,2.2,-3.2,No precipitation,12,,,,
29.03.2020 11:00,12.5,645.5,759.8,0.4,29,Wind blowing from the south,2,,3,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,13.4,,,2500 or more  or no clouds.,,,1.2,-5.0,No precipitation,12,,,,
29.03.2020 08:00,9.5,645.1,759.7,-0.2,33,Wind blowing from the south,2,,3,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,13.4,,,2500 or more  or no clouds.,,,2.1,-6.0,No precipitation,12,,,,
29.03.2020 05:00,10.5,645.3,759.7,-0.7,32,Wind blowing from the south-southwest,1,,4,,Haze. ,,,9.7,13.4,,,2500 or more  or no clouds.,,,2.3,-5.5,No precipitation,12,,,,
29.03.2020 02:00,10.5,646.0,760.6,-0.4,34,Wind blowing from the south,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,13.4,,,2500 or more  or no clouds.,,,2.5,-4.7,No precipitation,12,,,,
28.03.2020 23:00,11.6,646.4,761.2,0.7,31,Wind blowing from the north-northeast,1,,6,,Haze. ,,,9.7,13.4,,,2500 or more  or no clouds.,,,2.4,-4.9,No precipitation,12,,,,
28.03.2020 20:00,12.4,645.7,760.3,-0.3,27,Wind blowing from the north,1,,6,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,13.4,,,2500 or more  or no clouds.,,,2.6,-6.1,No precipitation,12,,,,
28.03.2020 17:00,13.1,646.0,760.6,-0.5,24,Wind blowing from the north,2,,6,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,13.4,,,2500 or more  or no clouds.,,,2.4,-7.0,No precipitation,12,,,,
28.03.2020 14:00,12.7,646.5,761.0,-0.1,26,Wind blowing from the north,3,,6,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,13.0,,,2500 or more  or no clouds.,,,2.5,-6.3,No precipitation,12,,,,
28.03.2020 11:00,11.0,646.6,761.5,0.6,24,Wind blowing from the south-southeast,2,,4,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,13.0,,,2500 or more  or no clouds.,,,0.9,-8.8,No precipitation,12,,,,
28.03.2020 08:00,9.9,646.0,760.7,-0.2,26,Wind blowing from the north-west,1,,3,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,13.0,,,2500 or more  or no clouds.,,,0.7,-8.7,No precipitation,12,,,,
28.03.2020 05:00,9.9,646.2,760.9,-1.0,24,Wind blowing from the west,1,,4,,Haze. ,,,9.8,13.0,,,2500 or more  or no clouds.,,,0.6,-9.7,No precipitation,12,,,,
28.03.2020 02:00,11.0,647.2,762.1,-0.7,25,Wind blowing from the east,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,13.0,,,2500 or more  or no clouds.,,,0.6,-8.3,No precipitation,12,,,,
27.03.2020 23:00,11.6,647.9,763.1,0.2,21,Wind blowing from the north-northeast,0,,5,,Haze. ,,,9.8,13.1,,,2500 or more  or no clouds.,,,0.6,-10.0,No precipitation,12,,,,
27.03.2020 20:00,12.3,647.7,762.7,-0.7,18,Wind blowing from the west-southwest,2,,5,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,13.9,,,2500 or more  or no clouds.,,,0.6,-11.3,No precipitation,12,,,,
27.03.2020 17:00,12.5,648.4,763.3,-1.1,16,Wind blowing from the east,2,,,,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,14.3,,,2500 or more  or no clouds.,,,0.7,-12.6,No precipitation,12,,,,
