Local time in Shaowu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 02:00,13.2,748.0,767.6,-0.8,78,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.1,,,2500 or more  or no clouds.,,,8.0,9.5,No precipitation,12,,,,
04.04.2020 23:00,13.0,748.8,768.6,0.3,90,Wind blowing from the south-west,0,,4,,Cloud development not observed or not observable. ,,,11.7,16.1,,,2500 or more  or no clouds.,,,10.0,11.4,No precipitation,12,,,,
04.04.2020 20:00,13.2,748.5,768.3,1.2,88,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.1,,,2500 or more  or no clouds.,,,12.0,11.3,No precipitation,12,,,,
04.04.2020 17:00,14.8,747.3,767.0,0.3,82,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.1,,,2500 or more  or no clouds.,,,22.0,11.8,0.1,12,,,,
04.04.2020 14:00,15.9,747.0,766.6,-1.3,71,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.0,,,2500 or more  or no clouds.,,,19.0,10.7,0.1,12,,,,
04.04.2020 11:00,13.7,748.3,768.1,0.3,78,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.0,,,2500 or more  or no clouds.,,,19.0,9.9,0.7,12,,,,
04.04.2020 08:00,12.2,748.0,767.8,1.5,92,Wind blowing from the west-northwest,2,,3,,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.0,,,2500 or more  or no clouds.,,,7.0,10.9,0.7,12,,,,
04.04.2020 05:00,12.0,746.5,766.2,,93,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,,,12.0,14.0,,,2500 or more  or no clouds.,,,8.0,10.9,0.8,12,,,,
04.04.2020 02:00,12.1,746.3,766.0,,94,Wind blowing from the west-northwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,14.0,,,,,,3.9,11.2,0.6,6,,,,
03.04.2020 23:00,13.1,746.8,766.6,0.7,95,Wind blowing from the east,1,,2,,Mist. ,,,12.2,14.0,,,2500 or more  or no clouds.,,,6.0,12.3,8.0,12,,,,
03.04.2020 20:00,13.3,746.1,765.8,0.8,95,Wind blowing from the south-southeast,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,14.0,,,2500 or more  or no clouds.,,,5.0,12.5,9.0,12,,,,
03.04.2020 17:00,13.9,745.3,765.1,-1.0,93,Wind blowing from the south-southeast,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,14.0,,,2500 or more  or no clouds.,,,6.0,12.8,10.0,12,,,,
03.04.2020 14:00,13.7,746.3,766.0,-1.3,92,Wind blowing from the north-northeast,1,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,14.0,,,2500 or more  or no clouds.,,,3.7,12.4,8.0,12,,,,
03.04.2020 11:00,13.5,747.6,767.4,0.9,94,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,13.8,,,2500 or more  or no clouds.,,,4.8,12.6,5.0,12,,,,
03.04.2020 08:00,12.6,746.7,766.5,1.2,96,Wind blowing from the west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,2500 or more  or no clouds.,,,2.2,12.0,9.0,12,,,,
03.04.2020 05:00,12.3,745.5,765.2,-0.7,96,Wind blowing from the west-northwest,1,,4,,Mist. ,,,11.3,13.8,,,2500 or more  or no clouds.,,,2.4,11.7,12.0,12,,,,
03.04.2020 02:00,12.4,746.2,766.0,0.3,96,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,13.8,,,2500 or more  or no clouds.,,,1.9,11.8,18.0,12,,,,
02.04.2020 23:00,12.4,745.9,765.7,-0.9,95,Wind blowing from the east,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,,13.8,,,2500 or more  or no clouds.,,,2.7,11.6,20.0,12,,,,
02.04.2020 20:00,12.7,746.8,766.6,2.3,96,Wind blowing from the west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.8,,,2500 or more  or no clouds.,,,2.5,12.1,15.0,12,,,,
02.04.2020 17:00,12.9,744.5,764.2,-1.0,93,Wind blowing from the north-northeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,15.1,,,2500 or more  or no clouds.,,,2.9,11.8,12.0,12,,,,
02.04.2020 14:00,13.2,745.5,765.3,-1.6,93,Wind blowing from the east-southeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,15.4,,,2500 or more  or no clouds.,,,4.4,12.1,4.0,12,,,,
02.04.2020 11:00,13.2,747.1,766.9,0.9,91,Wind blowing from the west,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,15.4,,,2500 or more  or no clouds.,,,5.0,11.8,0.8,12,,,,
02.04.2020 08:00,12.7,746.2,766.0,0.6,89,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,,,,2500 or more  or no clouds.,,,8.0,10.9,No precipitation,12,,,,
02.04.2020 05:00,11.4,745.6,765.3,0.3,92,Wind blowing from the south-west,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,8.4,15.4,,,2500 or more  or no clouds.,,,8.0,10.1,No precipitation,12,,,,
02.04.2020 02:00,11.2,745.3,765.1,-0.6,92,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,15.4,,,2500 or more  or no clouds.,,,8.0,9.9,No precipitation,12,,,,
01.04.2020 23:00,11.1,745.9,765.7,0.6,93,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,,,8.4,15.4,,,2500 or more  or no clouds.,,,8.0,10.0,No precipitation,12,,,,
01.04.2020 20:00,11.2,745.3,765.2,0.8,91,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,15.4,,,2500 or more  or no clouds.,,,8.0,9.8,No precipitation,12,,,,
01.04.2020 17:00,15.1,744.5,764.3,-0.8,65,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,15.4,,,2500 or more  or no clouds.,,,17.0,8.6,No precipitation,12,,,,
01.04.2020 14:00,14.3,745.3,765.1,-2.0,66,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,14.4,,,2500 or more  or no clouds.,,,20.0,8.0,No precipitation,12,,,,
01.04.2020 11:00,13.3,747.3,767.2,0.4,71,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,13.3,,,2500 or more  or no clouds.,,,11.0,8.0,No precipitation,12,,,,
01.04.2020 08:00,9.9,746.9,766.9,1.5,91,Wind blowing from the west-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,11.2,,,2500 or more  or no clouds.,,,10.0,8.5,No precipitation,12,,,,
01.04.2020 05:00,8.5,745.4,765.4,0.4,94,Wind blowing from the south-west,1,,5,,Cloud development not observed or not observable. ,,,8.4,11.2,,,2500 or more  or no clouds.,,,8.0,7.6,0.6,12,,,,
01.04.2020 02:00,9.8,745.0,764.9,-0.1,87,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,11.2,,,2500 or more  or no clouds.,,,24.0,7.7,4.0,12,,,,
31.03.2020 23:00,10.0,745.1,765.0,1.1,87,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,,,9.5,11.2,,,2500 or more  or no clouds.,,,30.0,7.9,5.0,12,,,,
31.03.2020 20:00,10.2,744.0,763.9,2.0,88,Wind blowing from the south-west,2,,6,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,11.2,,,600-1000,,,28.0,8.3,6.0,12,,,,
31.03.2020 17:00,10.7,742.0,761.8,0.1,91,Wind blowing from the west-southwest,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,11.2,,,600-1000,,,15.0,9.3,6.0,12,,,,
31.03.2020 14:00,10.6,741.9,761.7,-0.9,92,Wind blowing from the west-northwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,11.2,,,600-1000,,,5.0,9.4,11.0,12,,,,
31.03.2020 11:00,11.1,742.8,762.6,-0.4,95,Wind blowing from the west,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,11.1,,,600-1000,,,5.0,10.3,17.0,12,,,,
31.03.2020 08:00,10.4,743.2,763.1,0.2,96,Wind blowing from the west-southwest,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,10.5,,,600-1000,,,3.3,9.8,26.0,12,,,,
31.03.2020 05:00,9.6,743.0,762.9,-0.6,96,Wind blowing from the south-southeast,1,,3,,Rain  not freezing  intermittent  moderate at time of observation. ,,,,,,,2500 or more  or no clouds.,,,2.0,9.0,27.0,12,,,,
31.03.2020 02:00,9.5,743.6,763.5,-0.7,96,Wind blowing from the south-southeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,4.4,8.9,19.0,12,,,,
30.03.2020 23:00,9.5,744.3,764.2,0.8,96,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,,,,10.5,,,2500 or more  or no clouds.,,,3.6,8.9,12.0,12,,,,
30.03.2020 20:00,9.6,743.5,763.4,0.4,93,Wind blowing from the south-east,0,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,10.5,,,600-1000,,,4.3,8.5,3.0,12,,,,
30.03.2020 17:00,9.7,743.1,763.0,-0.7,91,Wind blowing from the north,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,10.5,,,600-1000,,,7.0,8.3,4.0,12,,,,
30.03.2020 14:00,9.8,743.8,763.8,-1.0,88,Wind blowing from the north-northwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,10.5,,,600-1000,,,5.0,7.9,8.0,12,,,,
30.03.2020 11:00,10.3,744.8,764.8,0.1,83,Wind blowing from the south-southwest,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,8.0,10.3,,,1000-1500,,,16.0,7.5,15.0,12,,,,
30.03.2020 08:00,8.0,744.7,764.7,0.9,94,Wind blowing from the south-southwest,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,9.5,,,1000-1500,,,5.0,7.1,29.0,12,,,,
30.03.2020 05:00,8.1,743.8,763.7,0.1,94,Wind blowing from the west-southwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,8.1,9.5,,,2500 or more  or no clouds.,,,5.0,7.2,36.0,12,,,,
30.03.2020 02:00,8.9,743.7,763.6,-0.2,95,Wind blowing from the west,2,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,9.5,,,2500 or more  or no clouds.,,,4.3,8.1,40.0,12,,,,
29.03.2020 23:00,9.1,743.9,763.9,0.7,96,Wind blowing from the west-southwest,1,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,,,8.4,9.7,,,2500 or more  or no clouds.,,,2.0,8.5,35.0,12,,,,
29.03.2020 20:00,9.1,743.2,763.2,-0.1,95,Wind blowing from the west-southwest,1,,7,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,8.4,9.7,,,1000-1500,,,2.4,8.3,20.0,12,,,,
29.03.2020 17:00,9.2,743.3,763.3,-0.2,93,Wind blowing from the south-southeast,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.4,10.1,,,1000-1500,,,3.5,8.1,12.0,12,,,,
29.03.2020 14:00,8.8,743.5,763.4,-0.3,95,Wind blowing from the west,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,10.2,,,1000-1500,,,3.1,8.0,3.0,12,,,,
29.03.2020 11:00,9.4,743.8,763.8,-0.1,79,Wind blowing from the east-southeast,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,,,,600-1000,,,10.0,5.9,0.5,12,,,,
29.03.2020 08:00,8.9,743.9,763.9,-0.5,80,Wind blowing from the east-southeast,4,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,,,,600-1000,,,10.0,5.6,0.1,12,,,,
29.03.2020 05:00,9.1,744.4,764.3,-1.3,76,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,,,8.4,,,,2500 or more  or no clouds.,,,17.0,5.1,No precipitation,12,,,,
29.03.2020 02:00,9.2,745.7,765.7,-1.0,81,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,2500 or more  or no clouds.,,,15.0,6.1,No precipitation,12,,,,
28.03.2020 23:00,9.2,746.7,766.6,0.8,85,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,,,9.1,,,,2500 or more  or no clouds.,,,28.0,6.8,No precipitation,12,,,,
28.03.2020 20:00,9.3,745.9,765.9,-0.2,83,Wind blowing from the south-west,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,,,,600-1000,,,30.0,6.6,Trace of precipitation,12,,,,
28.03.2020 17:00,9.8,746.1,766.0,0.0,80,Wind blowing from the west,3,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,,,,600-1000,,,29.0,6.5,0.5,12,,,,
28.03.2020 14:00,9.7,746.1,765.9,-1.2,85,Wind blowing from the west-southwest,3,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,,,,1000-1500,,,14.0,7.3,3.0,12,,,,
28.03.2020 11:00,10.8,747.3,766.9,0.9,79,Wind blowing from the west,3,,12,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,20.4,,,600-1000,,,30.0,7.3,6.0,12,,,,
28.03.2020 08:00,10.0,746.4,766.0,2.4,86,Wind blowing from the west-northwest,3,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,20.6,,,600-1000,,,30.0,7.8,8.0,12,,,,
28.03.2020 05:00,10.2,744.0,763.5,2.0,87,Wind blowing from the west,5,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.2,20.6,,,2500 or more  or no clouds.,,,7.0,8.1,10.0,12,,,,
28.03.2020 02:00,13.4,742.0,761.4,0.4,87,Wind blowing from the west,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,20.6,,,2500 or more  or no clouds.,,,6.0,11.3,9.0,12,,,,
27.03.2020 23:00,18.5,741.6,760.8,0.1,97,Wind blowing from the south-west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.5,20.6,,,2500 or more  or no clouds.,,,1.4,18.0,19.0,12,,,,
27.03.2020 20:00,18.9,741.5,760.7,1.2,96,Wind blowing from the south-southeast,1,,5,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,20.6,,,600-1000,,,1.9,18.2,17.0,12,,,,
27.03.2020 17:00,19.9,740.3,759.5,-1.1,90,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,22.5,,,1000-1500,,,17.0,18.2,15.0,12,,,,
27.03.2020 14:00,18.7,741.4,760.6,-1.1,95,Wind blowing from the south,2,,5,100%.,Rain  not freezing  intermittent  heavy at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,,,,1000-1500,,,1.7,17.9,13.0,12,,,,
27.03.2020 11:00,20.4,742.5,761.7,0.2,85,Wind blowing from the east,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,,,,1000-1500,,,11.0,17.8,0.2,12,,,,
27.03.2020 08:00,18.3,742.3,761.5,0.6,93,Wind blowing from the west,1,,2,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,,,,2500 or more  or no clouds.,,,3.6,17.1,0.4,12,,,,
27.03.2020 05:00,17.8,741.7,760.9,0.3,95,Wind blowing from the south-southeast,1,,5,,Mist. ,,,17.6,27.1,,,2500 or more  or no clouds.,,,3.0,17.0,0.4,12,,,,
27.03.2020 02:00,18.2,741.4,760.4,-0.9,96,Wind blowing from the south-southeast,1,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,27.1,,,2500 or more  or no clouds.,,,2.2,17.6,4.0,12,,,,
