Local time in Ankang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 20:00,16.2,740.3,766.5,0.8,58,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,19.4,,,2500 or more  or no clouds.,,,24.0,7.9,No precipitation,12,,,,
05.04.2020 17:00,18.0,739.5,765.5,-1.6,49,Wind blowing from the west-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,19.4,,,2500 or more  or no clouds.,,,24.0,7.1,No precipitation,12,,,,
05.04.2020 14:00,18.8,741.1,767.1,-2.5,41,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,19.0,,,2500 or more  or no clouds.,,,21.0,5.3,No precipitation,12,,,,
05.04.2020 11:00,14.3,743.6,769.9,0.0,76,Wind blowing from the west-northwest,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,15.9,,,2500 or more  or no clouds.,,,15.0,10.1,No precipitation,12,,,,
05.04.2020 08:00,10.6,743.6,769.9,1.0,93,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,15.9,,,2500 or more  or no clouds.,,,10.0,9.5,No precipitation,12,,,,
05.04.2020 05:00,10.6,742.6,768.8,-0.9,93,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,,,10.1,15.9,,,2500 or more  or no clouds.,,,10.0,9.5,No precipitation,12,,,,
05.04.2020 02:00,11.4,743.5,769.8,0.0,90,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,15.9,,,2500 or more  or no clouds.,,,12.0,9.8,No precipitation,12,,,,
04.04.2020 23:00,12.2,743.5,769.8,0.9,86,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,,,10.1,15.9,,,2500 or more  or no clouds.,,,11.0,9.9,No precipitation,12,,,,
04.04.2020 20:00,14.0,742.6,769.0,0.4,73,Wind blowing from the south-southeast,1,,2,,Shower(s) of hail  or of rain and hail. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,15.9,,,2500 or more  or no clouds.,,,11.0,9.2,No precipitation,12,,,,
04.04.2020 17:00,15.8,742.2,768.4,-1.4,58,Wind blowing from the west,0,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,15.9,,,2500 or more  or no clouds.,,,23.0,7.6,No precipitation,12,,,,
04.04.2020 14:00,14.6,743.6,769.9,-1.4,68,Wind blowing from the east-northeast,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,14.6,,,2500 or more  or no clouds.,,,5.0,8.8,No precipitation,12,,,,
04.04.2020 11:00,12.4,745.0,771.5,0.5,79,Wind blowing from the west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,12.6,,,2500 or more  or no clouds.,,,14.0,8.9,No precipitation,12,,,,
04.04.2020 08:00,10.2,744.5,771.0,1.2,94,Wind blowing from the north-northeast,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,12.6,,,2500 or more  or no clouds.,,,7.0,9.3,No precipitation,12,,,,
04.04.2020 05:00,10.2,743.3,769.8,-0.2,95,Wind blowing from the south-east,1,,2,,Mist. ,,,9.9,12.6,,,2500 or more  or no clouds.,,,6.0,9.4,0.1,12,,,,
04.04.2020 02:00,10.6,743.5,770.0,-0.6,97,Wind blowing from the south-east,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,12.6,,,2500 or more  or no clouds.,,,3.5,10.1,0.3,12,,,,
03.04.2020 23:00,11.0,744.1,770.7,0.9,94,Wind blowing from the north,0,,2,,Mist. ,,,9.8,12.6,,,2500 or more  or no clouds.,,,5.0,10.1,0.8,12,,,,
03.04.2020 20:00,11.9,743.2,769.6,0.9,89,Wind blowing from the north,0,,2,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,12.6,,,2500 or more  or no clouds.,,,9.0,10.1,0.9,12,,,,
03.04.2020 17:00,12.4,742.3,768.7,-0.9,86,Wind blowing from the north-northeast,1,,,,Shower(s) of hail  with or without rain or rain and snow mixed  not associated with thunder  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,12.4,,,2500 or more  or no clouds.,,,9.0,10.1,0.8,12,,,,
03.04.2020 14:00,11.6,743.2,769.6,-1.0,89,Wind blowing from the north-west,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,12.0,,,2500 or more  or no clouds.,,,8.0,9.9,0.6,12,,,,
03.04.2020 11:00,10.7,744.2,770.8,1.0,90,Wind blowing from the north,0,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,12.0,,,2500 or more  or no clouds.,,,10.0,9.1,0.1,12,,,,
03.04.2020 08:00,10.0,743.2,769.7,1.7,95,Wind blowing from the east,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,12.0,,,2500 or more  or no clouds.,,,7.0,9.2,No precipitation,12,,,,
03.04.2020 05:00,10.0,741.5,767.9,-1.1,96,Wind blowing from the east,1,,2,,Cloud development not observed or not observable. ,,,9.8,12.2,,,2500 or more  or no clouds.,,,8.0,9.4,No precipitation,12,,,,
03.04.2020 02:00,10.2,742.6,769.1,-0.7,96,Wind blowing from the north-east,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,12.4,,,2500 or more  or no clouds.,,,5.0,9.6,0.1,12,,,,
02.04.2020 23:00,10.8,743.3,769.8,1.1,94,Wind blowing from the south-southeast,1,,2,,Rain (not freezing) not falling as shower(s). ,,,10.8,12.8,,,2500 or more  or no clouds.,,,5.0,9.9,0.2,12,,,,
02.04.2020 20:00,11.3,742.2,768.6,1.2,89,Wind blowing from the south-east,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,2500 or more  or no clouds.,,,15.0,9.6,0.8,12,,,,
02.04.2020 17:00,11.9,741.0,767.3,-1.0,82,Wind blowing from the south,0,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,2500 or more  or no clouds.,,,27.0,8.9,0.8,12,,,,
02.04.2020 14:00,11.9,742.0,768.4,-0.4,84,Wind blowing from the west-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,2500 or more  or no clouds.,,,12.0,9.3,0.7,12,,,,
02.04.2020 11:00,11.3,742.4,768.7,1.1,85,Wind blowing from the south-east,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,2500 or more  or no clouds.,,,13.0,8.9,0.6,12,,,,
02.04.2020 08:00,11.8,741.3,767.5,1.7,74,Wind blowing from the south-southeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,15.7,,,2500 or more  or no clouds.,,,23.0,7.3,No precipitation,12,,,,
02.04.2020 05:00,12.1,739.6,765.7,-0.5,71,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,,,9.2,15.7,,,2500 or more  or no clouds.,,,29.0,7.0,No precipitation,12,,,,
02.04.2020 02:00,12.4,740.1,766.2,-0.5,70,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,15.7,,,2500 or more  or no clouds.,,,26.0,7.1,No precipitation,12,,,,
01.04.2020 23:00,12.8,740.6,766.9,2.0,67,Wind blowing from the east,2,,7,,Rain (not freezing) not falling as shower(s). ,,,9.1,15.7,,,2500 or more  or no clouds.,,,23.0,6.8,No precipitation,12,,,,
01.04.2020 20:00,13.6,738.6,764.8,1.7,66,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,15.7,,,2500 or more  or no clouds.,,,17.0,7.4,No precipitation,12,,,,
01.04.2020 17:00,15.2,736.9,763.0,-0.3,63,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,18.3,,,2500 or more  or no clouds.,,,30.0,8.2,No precipitation,12,,,,
01.04.2020 14:00,14.7,737.2,763.4,-2.7,68,Wind blowing from the south-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,18.3,,,2500 or more  or no clouds.,,,25.0,8.9,No precipitation,12,,,,
01.04.2020 11:00,12.1,739.9,766.3,1.4,79,Wind blowing from the west,1,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,2500 or more  or no clouds.,,,27.0,8.6,No precipitation,12,,,,
01.04.2020 08:00,10.1,738.5,764.7,0.7,89,Wind blowing from the west-southwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,18.3,,,2500 or more  or no clouds.,,,23.0,8.4,No precipitation,12,,,,
01.04.2020 05:00,9.2,737.8,763.8,0.3,93,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,,,8.9,18.3,,,2500 or more  or no clouds.,,,15.0,8.1,No precipitation,12,,,,
01.04.2020 02:00,9.7,737.5,763.6,-0.7,89,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.3,,,2500 or more  or no clouds.,,,30.0,8.0,No precipitation,12,,,,
31.03.2020 23:00,11.0,738.2,764.5,2.4,85,Wind blowing from the north-east,0,,5,,Cloud development not observed or not observable. ,,,8.8,18.3,,,2500 or more  or no clouds.,,,30.0,8.6,No precipitation,12,,,,
31.03.2020 20:00,14.4,735.8,761.9,0.9,71,Wind blowing from the east-northeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.3,,,,,,30.0,9.2,No precipitation,12,,,,
31.03.2020 17:00,18.3,734.9,760.9,-2.2,48,Wind blowing from the north-northeast,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.3,,,,,,30.0,7.1,No precipitation,12,,,,
31.03.2020 14:00,15.5,737.1,763.2,-2.2,60,Wind blowing from the west-northwest,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,15.5,,,600-1000,,,30.0,7.8,2.0,12,,,,
31.03.2020 11:00,11.8,739.3,765.7,0.8,76,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,13.2,,,600-1000,,,26.0,7.7,2.0,12,,,,
31.03.2020 08:00,9.2,738.5,764.8,0.1,90,Wind blowing from the south-east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,13.2,,,1500-2000,,,14.0,7.6,2.0,12,,,,
31.03.2020 05:00,8.9,738.4,764.7,-0.3,93,Wind blowing from the south-southeast,1,,3,,Rain (not freezing) not falling as shower(s). ,,,6.7,13.2,,,2500 or more  or no clouds.,,,19.0,7.8,2.0,12,,,,
31.03.2020 02:00,9.6,738.7,765.0,-0.6,87,Wind blowing from the south-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,13.2,,,2500 or more  or no clouds.,,,15.0,7.5,0.2,12,,,,
30.03.2020 23:00,10.5,739.3,765.6,1.3,78,Wind blowing from the south-southwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,6.7,13.2,,,2500 or more  or no clouds.,,,27.0,6.8,No precipitation,12,,,,
30.03.2020 20:00,11.7,738.0,764.4,1.7,66,Wind blowing from the south-southeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,13.2,,,1500-2000,,,30.0,5.6,No precipitation,12,,,,
30.03.2020 17:00,12.6,736.3,762.7,-0.5,55,Wind blowing from the east-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,13.2,,,1500-2000,,,30.0,3.8,No precipitation,12,,,,
30.03.2020 14:00,13.0,736.8,763.1,-1.9,52,Wind blowing from the north-northeast,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,13.0,,,1500-2000,,,30.0,3.4,No precipitation,12,,,,
30.03.2020 11:00,11.0,738.7,765.1,-0.2,65,Wind blowing from the north-east,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,11.7,,,2500 or more  or no clouds.,,,30.0,4.5,No precipitation,12,,,,
30.03.2020 08:00,7.1,738.9,765.4,1.0,88,Wind blowing from the south-southeast,1,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,11.7,,,2500 or more  or no clouds.,,,28.0,5.2,No precipitation,12,,,,
30.03.2020 05:00,6.7,737.9,764.4,-0.6,91,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,,,3.8,11.7,,,2500 or more  or no clouds.,,,24.0,5.3,No precipitation,12,,,,
30.03.2020 02:00,7.1,738.5,765.1,-1.1,88,Wind blowing from the east-southeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,11.7,,,2500 or more  or no clouds.,,,30.0,5.2,No precipitation,12,,,,
29.03.2020 23:00,7.9,739.6,766.3,1.2,81,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,,,3.8,11.7,,,2500 or more  or no clouds.,,,30.0,4.8,No precipitation,12,,,,
29.03.2020 20:00,9.4,738.4,765.1,0.6,72,Wind blowing from the south-southeast,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,11.7,,,2500 or more  or no clouds.,,,30.0,4.6,0.3,12,,,,
29.03.2020 17:00,11.0,737.8,764.5,-1.8,55,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,11.7,,,1000-1500,,,30.0,2.3,2.0,12,,,,
29.03.2020 14:00,10.3,739.6,766.2,-1.5,56,Wind blowing from the north,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,10.3,,,2500 or more  or no clouds.,,,30.0,1.9,4.0,12,,,,
29.03.2020 11:00,7.9,741.1,767.8,0.1,71,Wind blowing from the east-northeast,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,10.3,,,2500 or more  or no clouds.,,,30.0,3.0,4.0,12,,,,
29.03.2020 08:00,4.0,741.0,767.9,0.9,91,Wind blowing from the north-east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,10.3,,,600-1000,,,17.0,2.7,5.0,12,,,,
29.03.2020 05:00,4.5,740.1,766.9,0.4,83,Wind blowing from the north-east,2,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,,,4.3,10.3,,,2500 or more  or no clouds.,,,8.0,1.9,7.0,12,,,,
29.03.2020 02:00,5.9,739.7,766.3,-1.3,77,Wind blowing from the east-southeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,10.3,,,2500 or more  or no clouds.,,,30.0,2.2,7.0,12,,,,
28.03.2020 23:00,5.9,741.0,767.7,1.3,81,Wind blowing from the east-southeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,4.3,10.3,,,2500 or more  or no clouds.,,,30.0,2.9,7.0,12,,,,
28.03.2020 20:00,6.7,739.7,766.6,0.5,83,Wind blowing from the north-east,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,10.3,,,600-1000,,,30.0,4.0,5.0,12,,,,
28.03.2020 17:00,7.5,739.2,766.0,-1.4,86,Wind blowing from the south-southeast,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,10.3,,,600-1000,,,11.0,5.3,2.0,12,,,,
28.03.2020 14:00,9.7,740.6,767.3,-2.0,62,Wind blowing from the south,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,10.3,,,600-1000,,,30.0,2.8,Trace of precipitation,12,,,,
28.03.2020 11:00,9.7,742.6,769.3,-1.8,65,Wind blowing from the east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,10.1,,,1500-2000,,,30.0,3.4,No precipitation,12,,,,
28.03.2020 08:00,5.4,744.4,771.4,0.9,85,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,11.0,,,1500-2000,,,30.0,3.1,No precipitation,12,,,,
28.03.2020 05:00,4.4,743.5,770.5,-1.6,89,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,,,4.4,13.6,,,2500 or more  or no clouds.,,,30.0,2.7,0.2,12,,,,
28.03.2020 02:00,5.4,745.1,772.0,-0.7,82,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,14.0,,,2500 or more  or no clouds.,,,30.0,2.6,3.0,12,,,,
27.03.2020 23:00,6.8,745.8,772.6,1.1,75,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,,,6.5,,,,2500 or more  or no clouds.,,,30.0,2.7,11.0,12,,,,
27.03.2020 20:00,7.2,744.7,771.4,0.5,81,Wind blowing from the south-southeast,2,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,,,,600-1000,,,30.0,4.2,13.0,12,,,,
27.03.2020 17:00,7.7,744.2,770.8,0.3,82,Wind blowing from the south-southeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,7.7,20.4,,,600-1000,,,30.0,4.7,15.0,12,,,,
27.03.2020 14:00,9.1,743.9,770.4,0.1,85,Wind blowing from the south-east,2,,6,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,22.2,,,600-1000,,,9.0,6.7,12.0,12,,,,
27.03.2020 11:00,10.1,743.8,769.9,1.8,79,Wind blowing from the east-southeast,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,22.2,,,600-1000,,,26.0,6.6,4.0,12,,,,
