Local time in Xiwuzhumuqin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 02:00,-6.0,680.2,770.5,-1.1,62,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,7.4,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
04.04.2020 23:00,-3.5,681.3,772.0,-1.0,46,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,,,-10.6,7.4,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
04.04.2020 20:00,-0.6,682.3,773.4,-0.3,30,Wind blowing from the south-east,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,7.4,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
04.04.2020 17:00,6.9,682.6,773.5,-1.5,14,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,7.4,,,2500 or more  or no clouds.,,,30.0,-18.8,No precipitation,12,,,,
04.04.2020 14:00,4.9,684.1,775.0,-1.9,13,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,9.4,,,2500 or more  or no clouds.,,,30.0,-21.2,No precipitation,12,,,,
04.04.2020 11:00,0.5,686.0,777.4,-0.2,21,Wind blowing from the west-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
04.04.2020 08:00,-4.2,686.2,777.7,1.1,35,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
04.04.2020 05:00,-10.0,685.1,776.2,0.0,63,Wind blowing from the west-northwest,1,,15,,Cloud development not observed or not observable. ,,,-10.0,10.5,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
04.04.2020 02:00,-7.0,685.1,775.5,0.3,52,Wind blowing from the west-northwest,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,10.5,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
03.04.2020 23:00,-3.7,684.8,774.5,1.7,35,Wind blowing from the north-northwest,1,,18,,Cloud development not observed or not observable. ,,,-5.7,10.5,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
03.04.2020 20:00,0.1,683.1,772.6,3.0,24,Wind blowing from the north,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,10.5,,,2500 or more  or no clouds.,,,12.0,-18.1,No precipitation,12,,,,
03.04.2020 17:00,7.4,680.1,768.5,1.1,20,Wind blowing from the north,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,10.5,,,2500 or more  or no clouds.,,,20.0,-14.1,No precipitation,12,,,,
03.04.2020 14:00,9.0,679.0,768.3,0.4,19,Wind blowing from the north-northwest,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,10.5,,,2500 or more  or no clouds.,,,13.0,-13.4,No precipitation,12,,,,
03.04.2020 11:00,9.3,678.6,767.5,1.1,21,Wind blowing from the north-northwest,8,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,10.2,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
03.04.2020 08:00,4.9,677.5,765.8,0.6,28,Wind blowing from the west-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,10.2,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
03.04.2020 05:00,1.9,676.9,764.6,-1.5,36,Wind blowing from the west-southwest,5,,11,,Cloud development not observed or not observable. ,,,-5.7,10.2,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
03.04.2020 02:00,-5.4,678.4,767.4,-1.0,73,Wind blowing from the east-southeast,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,10.2,,,2500 or more  or no clouds.,,,28.0,-9.6,No precipitation,12,,,,
02.04.2020 23:00,-3.7,679.4,768.7,0.1,60,Wind blowing from the east,0,,11,,Cloud development not observed or not observable. ,,,-3.7,10.2,,,2500 or more  or no clouds.,,,25.0,-10.5,No precipitation,12,,,,
02.04.2020 20:00,3.1,679.3,768.4,0.6,35,Wind blowing from the west-southwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,10.2,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
02.04.2020 17:00,9.4,678.7,767.0,-0.5,22,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,10.2,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
02.04.2020 14:00,9.9,679.2,767.3,-0.4,22,Wind blowing from the north-west,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,10.2,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
02.04.2020 11:00,7.4,679.6,768.1,0.6,26,Wind blowing from the west-northwest,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,9.0,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
02.04.2020 08:00,1.8,679.0,768.1,1.5,27,Wind blowing from the west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
02.04.2020 05:00,-0.5,677.5,765.8,0.1,27,Wind blowing from the west-southwest,5,,14,,Cloud development not observed or not observable. ,,,-4.6,9.0,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
02.04.2020 02:00,0.4,677.4,765.7,-0.3,26,Wind blowing from the west-southwest,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,9.0,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
01.04.2020 23:00,1.1,677.7,766.3,0.3,25,Wind blowing from the west-southwest,4,,13,,Cloud development not observed or not observable. ,,,-4.6,9.0,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
01.04.2020 20:00,2.3,677.4,766.8,0.2,23,Wind blowing from the west-southwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,9.0,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
01.04.2020 17:00,8.5,677.2,766.1,-1.3,10,Wind blowing from the west,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,9.0,,,2500 or more  or no clouds.,,,30.0,-21.4,No precipitation,12,,,,
01.04.2020 14:00,7.8,678.5,767.8,-2.0,11,Wind blowing from the west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,8.1,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
01.04.2020 11:00,5.2,680.5,770.2,-0.7,14,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,5.5,,,2500 or more  or no clouds.,,,30.0,-20.1,No precipitation,12,,,,
01.04.2020 08:00,-0.9,681.2,771.7,0.3,32,Wind blowing from the west-southwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,2.6,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
01.04.2020 05:00,-4.5,680.9,771.6,-0.2,36,Wind blowing from the west-southwest,5,,,,Cloud development not observed or not observable. ,,,-5.5,2.6,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
01.04.2020 02:00,-4.3,681.1,771.7,-0.2,37,Wind blowing from the west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,2.6,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
31.03.2020 23:00,-2.4,681.3,771.7,0.5,32,Wind blowing from the west-northwest,3,,,,Cloud development not observed or not observable. ,,,-5.5,2.6,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,12,,,,
31.03.2020 20:00,-1.2,680.8,771.7,1.1,27,Wind blowing from the west-northwest,3,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,3.7,,,2500 or more  or no clouds.,,,30.0,-17.8,No precipitation,12,,,,
31.03.2020 17:00,1.6,679.7,770.3,-0.2,16,Wind blowing from the north-west,4,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.9,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
31.03.2020 14:00,1.9,679.9,770.2,-0.5,16,Wind blowing from the north-west,7,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,13.0,,,600-1000,,,30.0,-21.3,No precipitation,12,,,,
31.03.2020 11:00,1.0,680.4,770.4,1.0,28,Wind blowing from the north,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,,,,,,,30.0,-15.5,No precipitation,12,,,,
31.03.2020 08:00,-3.3,679.4,769.3,2.1,46,Wind blowing from the north-northwest,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,,,,,,,30.0,-13.5,No precipitation,12,,,,
31.03.2020 05:00,-5.3,677.3,766.2,1.0,55,Wind blowing from the west-northwest,2,,11,,Cloud development not observed or not observable. ,,,-5.3,14.2,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
31.03.2020 02:00,-3.5,676.3,764.2,1.1,49,Wind blowing from the north-west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,14.2,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
30.03.2020 23:00,-0.8,675.2,762.8,1.9,37,Wind blowing from the north,3,,11,,Cloud development not observed or not observable. ,,,-1.5,14.2,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
30.03.2020 20:00,3.8,673.3,760.6,2.7,35,Wind blowing from the north,5,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,14.2,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
30.03.2020 17:00,10.0,670.6,757.2,-0.3,18,Wind blowing from the north,3,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,14.2,,,2500 or more  or no clouds.,,,25.0,-13.2,No precipitation,12,,,,
30.03.2020 14:00,13.0,670.9,757.2,-0.9,19,Wind blowing from the north-west,3,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,14.2,,,2500 or more  or no clouds.,,,21.0,-10.1,No precipitation,12,,,,
30.03.2020 11:00,11.4,671.8,757.9,0.0,20,Wind blowing from the west-southwest,6,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,12.9,,,2500 or more  or no clouds.,,,24.0,-10.8,No precipitation,12,,,,
30.03.2020 08:00,6.7,671.8,758.5,0.7,30,Wind blowing from the north-northwest,1,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,12.9,,,2500 or more  or no clouds.,,,23.0,-9.7,No precipitation,12,,,,
30.03.2020 05:00,2.8,671.1,757.5,-0.6,56,Wind blowing from the south-west,5,,,,Cloud development not observed or not observable. ,,,-1.5,12.9,,,2500 or more  or no clouds.,,,24.0,-5.1,No precipitation,12,,,,
30.03.2020 02:00,2.0,671.7,758.2,0.5,35,Wind blowing from the north-northwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,12.9,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
29.03.2020 23:00,6.2,671.2,757.6,0.1,19,Wind blowing from the south-west,4,,14,,Cloud development not observed or not observable. ,,,-1.5,12.9,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
29.03.2020 20:00,6.8,671.1,758.2,0.5,17,Wind blowing from the west-southwest,4,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,12.9,,,,,,30.0,-16.6,No precipitation,12,,,,
29.03.2020 17:00,11.7,670.6,757.4,-0.7,10,Wind blowing from the west,5,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,12.9,,,,,,30.0,-18.9,No precipitation,12,,,,
29.03.2020 14:00,12.1,671.3,758.3,-1.5,11,Wind blowing from the west-southwest,6,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,12.4,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
29.03.2020 11:00,8.7,672.8,760.1,-0.5,30,Wind blowing from the south-west,6,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,8.8,,,2500 or more  or no clouds.,,,28.0,-7.9,No precipitation,12,,,,
29.03.2020 08:00,3.3,673.3,761.5,-0.3,40,Wind blowing from the south-west,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.3,,,,,,30.0,-9.3,No precipitation,12,,,,
29.03.2020 05:00,0.2,673.6,761.4,-1.2,40,Wind blowing from the south-southwest,5,,11,,Cloud development not observed or not observable. ,,,-7.6,8.3,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
29.03.2020 02:00,-0.9,674.8,763.3,-0.5,37,Wind blowing from the south-southwest,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,8.3,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
28.03.2020 23:00,1.9,675.3,763.9,0.4,23,Wind blowing from the south-west,5,,14,,Cloud development not observed or not observable. ,,,-7.8,8.3,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
28.03.2020 20:00,2.3,674.9,764.4,0.4,25,Wind blowing from the west-southwest,4,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,8.3,,,,,,30.0,-15.7,No precipitation,12,,,,
28.03.2020 17:00,7.9,674.5,763.6,-1.2,13,Wind blowing from the west,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,8.3,,,,,,30.0,-18.8,No precipitation,12,,,,
28.03.2020 14:00,5.9,675.7,765.4,-1.7,16,Wind blowing from the west,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,6.2,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
28.03.2020 11:00,2.8,677.4,767.8,-0.7,19,Wind blowing from the west-southwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,2.9,,,,,,30.0,-18.6,No precipitation,12,,,,
28.03.2020 08:00,-3.0,678.1,769.1,0.0,30,Wind blowing from the west-southwest,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,-1.5,,,,,,30.0,-18.1,No precipitation,12,,,,
28.03.2020 05:00,-7.4,678.1,769.6,-0.7,38,Wind blowing from the west-southwest,4,,14,,Cloud development not observed or not observable. ,,,-9.9,-1.5,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
28.03.2020 02:00,-7.4,678.8,770.5,-0.7,41,Wind blowing from the west,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-1.5,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
27.03.2020 23:00,-7.0,679.5,771.5,0.1,40,Wind blowing from the west,3,,19,,Cloud development not observed or not observable. ,,,-9.9,-1.5,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
27.03.2020 20:00,-4.2,679.4,771.3,0.4,28,Wind blowing from the west-northwest,4,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-1.5,,,,,,30.0,-20.0,No precipitation,12,,,,
