Local time in Weifang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.04.2020 11:00,13.7,769.8,772.0,-1.3,12,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,13.7,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
05.04.2020 08:00,7.3,771.1,773.3,0.9,30,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,12.3,,,2500 or more  or no clouds.,,,15.0,-9.1,No precipitation,12,,,,
05.04.2020 05:00,0.0,770.2,772.4,-0.4,67,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,,,0.0,12.3,,,2500 or more  or no clouds.,,,10.0,-5.4,No precipitation,12,,,,
05.04.2020 02:00,1.6,770.6,772.8,-0.5,57,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,12.3,,,2500 or more  or no clouds.,,,11.0,-6.0,No precipitation,12,,,,
04.04.2020 23:00,3.7,771.1,773.2,0.4,45,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,,,3.7,13.7,,,2500 or more  or no clouds.,,,24.0,-7.4,No precipitation,12,,,,
04.04.2020 20:00,6.4,770.7,772.9,0.5,28,Wind blowing from the north-northeast,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,15.9,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
04.04.2020 17:00,8.7,770.2,772.3,0.1,32,Wind blowing from the north-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
04.04.2020 14:00,11.7,770.1,772.2,-0.7,25,Wind blowing from the north-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
04.04.2020 11:00,11.9,770.8,772.9,1.1,29,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,,,,2500 or more  or no clouds.,,,22.0,-5.6,No precipitation,12,,,,
04.04.2020 08:00,10.2,769.7,771.8,3.3,28,Wind blowing from the north-northeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,21.4,,,2500 or more  or no clouds.,,,11.0,-7.5,No precipitation,12,,,,
04.04.2020 05:00,10.3,766.4,768.5,2.4,56,Wind blowing from the north-northeast,4,,8,,Haze. ,,,2.5,21.4,,,2500 or more  or no clouds.,,,4.3,1.9,No precipitation,12,,,,
04.04.2020 02:00,8.5,764.0,766.1,0.0,64,Calm  no wind,0,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,21.4,,,2500 or more  or no clouds.,,,5.0,1.9,No precipitation,12,,,,
03.04.2020 23:00,13.5,764.0,766.1,0.3,44,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,,,2.5,21.4,,,2500 or more  or no clouds.,,,8.0,1.5,No precipitation,12,,,,
03.04.2020 20:00,15.9,763.7,765.8,1.0,24,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,21.4,,,2500 or more  or no clouds.,,,18.0,-4.6,No precipitation,12,,,,
03.04.2020 17:00,20.9,762.7,764.8,-1.2,13,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,21.4,,,2500 or more  or no clouds.,,,29.0,-8.5,No precipitation,12,,,,
03.04.2020 14:00,19.9,763.9,766.0,-1.9,16,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,20.0,,,2500 or more  or no clouds.,,,18.0,-6.6,No precipitation,12,,,,
03.04.2020 11:00,16.4,765.8,767.9,-0.6,28,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,16.5,,,2500 or more  or no clouds.,,,10.0,-2.1,No precipitation,12,,,,
03.04.2020 08:00,9.5,766.4,768.5,0.4,71,Wind blowing from the west,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,14.0,,,2500 or more  or no clouds.,,,2.8,4.5,No precipitation,12,,,,
03.04.2020 05:00,2.9,766.0,768.1,-0.1,92,Wind blowing from the north,0,,5,,Mist. ,,,2.8,14.0,,,2500 or more  or no clouds.,,,2.3,1.7,No precipitation,12,,,,
03.04.2020 02:00,4.9,766.1,768.2,-0.5,88,Wind blowing from the south-east,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,14.0,,,2500 or more  or no clouds.,,,2.6,3.1,No precipitation,12,,,,
02.04.2020 23:00,8.5,766.6,768.7,0.3,77,Wind blowing from the west,1,,7,,Mist. ,,,6.3,14.0,,,2500 or more  or no clouds.,,,3.7,4.7,No precipitation,12,,,,
02.04.2020 20:00,10.4,766.3,768.4,0.6,66,Wind blowing from the west,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,14.0,,,2500 or more  or no clouds.,,,6.0,4.3,No precipitation,12,,,,
02.04.2020 17:00,12.6,765.7,767.8,-0.5,46,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,14.0,,,2500 or more  or no clouds.,,,9.0,1.3,No precipitation,12,,,,
02.04.2020 14:00,13.9,766.2,768.3,-1.0,28,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,14.0,,,2500 or more  or no clouds.,,,20.0,-4.3,No precipitation,12,,,,
02.04.2020 11:00,13.2,767.2,769.3,-0.3,26,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,13.4,,,2500 or more  or no clouds.,,,9.0,-5.9,No precipitation,12,,,,
02.04.2020 08:00,10.5,767.5,769.6,0.4,28,Wind blowing from the west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,12.4,,,2500 or more  or no clouds.,,,12.0,-7.2,No precipitation,12,,,,
02.04.2020 05:00,8.4,767.1,769.2,0.2,24,Wind blowing from the west-southwest,0,,6,,Cloud development not observed or not observable. ,,,6.3,12.4,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
02.04.2020 02:00,7.1,766.9,769.0,-0.3,37,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,12.4,,,2500 or more  or no clouds.,,,22.0,-6.6,No precipitation,12,,,,
01.04.2020 23:00,6.4,767.2,769.3,-0.2,36,Wind blowing from the north,0,,10,,Cloud development not observed or not observable. ,,,6.3,12.4,,,2500 or more  or no clouds.,,,14.0,-7.6,No precipitation,12,,,,
01.04.2020 20:00,7.4,767.4,769.5,0.6,25,Wind blowing from the north,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,12.4,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
01.04.2020 17:00,10.0,766.8,768.9,-0.4,22,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,15.5,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
01.04.2020 14:00,11.5,767.2,769.3,-1.3,22,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,16.1,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
01.04.2020 11:00,11.9,768.5,770.6,1.0,21,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,16.1,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
01.04.2020 08:00,9.7,767.5,769.6,2.2,26,Wind blowing from the north-east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,16.1,,,2500 or more  or no clouds.,,,25.0,-8.9,No precipitation,12,,,,
01.04.2020 05:00,8.4,765.3,767.4,1.2,49,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,,,5.4,16.1,,,2500 or more  or no clouds.,,,18.0,-1.7,No precipitation,12,,,,
01.04.2020 02:00,9.4,764.1,766.2,0.5,70,Wind blowing from the north-northwest,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,16.1,,,2500 or more  or no clouds.,,,3.9,4.2,No precipitation,12,,,,
31.03.2020 23:00,10.3,763.6,765.7,1.8,65,Wind blowing from the east-northeast,2,,5,,Haze. ,,,5.4,16.1,,,2500 or more  or no clouds.,,,3.9,4.0,No precipitation,12,,,,
31.03.2020 20:00,12.4,761.8,763.9,2.0,55,Wind blowing from the east-northeast,2,,5,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,16.1,,,2500 or more  or no clouds.,,,4.1,3.6,No precipitation,12,,,,
31.03.2020 17:00,15.5,759.8,761.9,-0.5,36,Wind blowing from the south-east,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,16.4,,,2500 or more  or no clouds.,,,9.0,0.5,No precipitation,12,,,,
31.03.2020 14:00,15.6,760.3,762.4,-1.7,39,Wind blowing from the east-southeast,2,,5,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,19.0,,,2500 or more  or no clouds.,,,6.0,1.7,No precipitation,12,,,,
31.03.2020 11:00,13.8,762.0,764.1,-0.3,47,Wind blowing from the south-east,2,,5,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,19.0,,,1500-2000,,,4.3,2.7,No precipitation,12,,,,
31.03.2020 08:00,8.2,762.3,764.4,0.5,60,Wind blowing from the east,1,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,19.0,,,1500-2000,,,6.0,0.9,No precipitation,12,,,,
31.03.2020 05:00,7.7,761.8,763.9,-0.3,57,Wind blowing from the south-southeast,1,,7,,Cloud development not observed or not observable. ,,,3.1,19.0,,,2500 or more  or no clouds.,,,12.0,-0.3,No precipitation,12,,,,
31.03.2020 02:00,8.9,762.1,764.2,-0.8,46,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,19.0,,,2500 or more  or no clouds.,,,13.0,-2.1,No precipitation,12,,,,
30.03.2020 23:00,10.1,762.9,765.0,0.5,42,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,,,3.1,19.0,,,2500 or more  or no clouds.,,,10.0,-2.2,No precipitation,12,,,,
30.03.2020 20:00,12.8,762.4,764.5,1.3,37,Wind blowing from the south-southeast,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,19.0,,,,,,12.0,-1.5,No precipitation,12,,,,
30.03.2020 17:00,16.4,761.1,763.2,-1.2,29,Wind blowing from the south-east,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,19.0,,,2500 or more  or no clouds.,,,11.0,-1.7,No precipitation,12,,,,
30.03.2020 14:00,16.7,762.3,764.4,-1.8,28,Wind blowing from the south-east,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,17.3,,,2500 or more  or no clouds.,,,12.0,-1.9,No precipitation,12,,,,
30.03.2020 11:00,13.9,764.1,766.2,-0.2,45,Wind blowing from the north,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,16.0,,,,,,7.0,2.2,No precipitation,12,,,,
30.03.2020 08:00,8.5,764.3,766.4,1.1,61,Wind blowing from the west,1,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,16.0,,,,,,6.0,1.4,No precipitation,12,,,,
30.03.2020 05:00,3.8,763.2,765.3,0.1,74,Calm  no wind,0,,,,Cloud development not observed or not observable. ,,,1.3,16.0,,,2500 or more  or no clouds.,,,9.0,-0.4,No precipitation,12,,,,
30.03.2020 02:00,6.2,763.1,765.2,-0.2,64,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,16.0,,,2500 or more  or no clouds.,,,11.0,-0.1,No precipitation,12,,,,
29.03.2020 23:00,7.6,763.3,765.4,0.9,64,Wind blowing from the south,2,,8,,Haze. ,,,1.1,16.0,,,2500 or more  or no clouds.,,,6.0,1.2,No precipitation,12,,,,
29.03.2020 20:00,10.7,762.4,764.5,0.8,51,Wind blowing from the south-southeast,3,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,16.0,,,2500 or more  or no clouds.,,,12.0,1.0,No precipitation,12,,,,
29.03.2020 17:00,14.5,761.6,763.7,-1.5,30,Wind blowing from the south,3,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,16.0,,,2500 or more  or no clouds.,,,15.0,-2.9,No precipitation,12,,,,
29.03.2020 14:00,15.0,763.1,765.2,-2.0,23,Wind blowing from the south-southwest,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,15.4,,,2500 or more  or no clouds.,,,27.0,-6.0,No precipitation,12,,,,
29.03.2020 11:00,13.4,765.1,767.2,-0.5,20,Wind blowing from the south-southeast,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,13.4,,,2500 or more  or no clouds.,,,18.0,-9.1,No precipitation,12,,,,
29.03.2020 08:00,6.4,765.6,767.8,0.3,45,Wind blowing from the east-southeast,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,12.6,,,2500 or more  or no clouds.,,,11.0,-4.7,No precipitation,12,,,,
29.03.2020 05:00,1.2,765.3,767.5,-1.2,57,Wind blowing from the east-southeast,0,,,,Cloud development not observed or not observable. ,,,1.1,12.6,,,2500 or more  or no clouds.,,,18.0,-6.4,No precipitation,12,,,,
29.03.2020 02:00,2.5,766.5,768.7,-0.8,42,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,12.6,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
28.03.2020 23:00,4.4,767.3,769.5,0.4,36,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,,,4.0,12.6,,,2500 or more  or no clouds.,,,23.0,-9.4,No precipitation,12,,,,
28.03.2020 20:00,6.9,766.9,769.0,0.5,22,Wind blowing from the east-northeast,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,12.6,,,,,,28.0,-13.4,No precipitation,12,,,,
28.03.2020 17:00,10.5,766.4,768.6,-1.1,13,Wind blowing from the north-northeast,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,12.6,,,,,,30.0,-16.8,No precipitation,12,,,,
28.03.2020 14:00,11.8,767.5,769.6,-2.2,17,Wind blowing from the north,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,12.6,,,,,,30.0,-12.5,No precipitation,12,,,,
28.03.2020 11:00,9.9,769.7,771.9,-0.5,26,Wind blowing from the east-northeast,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,10.3,,,,,,30.0,-8.7,No precipitation,12,,,,
28.03.2020 08:00,6.6,770.2,772.3,1.7,57,Wind blowing from the east-northeast,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,10.1,,,,,,22.0,-1.3,No precipitation,12,,,,
28.03.2020 05:00,5.0,768.5,770.7,0.1,63,Wind blowing from the north-west,2,,7,,Cloud development not observed or not observable. ,,,4.1,10.1,,,2500 or more  or no clouds.,,,29.0,-1.5,No precipitation,12,,,,
28.03.2020 02:00,5.6,768.4,770.6,-0.2,36,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,10.1,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
27.03.2020 23:00,4.7,768.6,770.8,-0.4,39,Wind blowing from the south-west,0,,10,,Cloud development not observed or not observable. ,,,4.3,10.1,,,2500 or more  or no clouds.,,,27.0,-8.1,No precipitation,12,,,,
27.03.2020 20:00,6.4,769.0,771.1,1.5,27,Wind blowing from the north-east,1,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,10.1,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
27.03.2020 17:00,8.0,767.5,769.7,-0.3,23,Wind blowing from the north-east,3,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,10.1,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
27.03.2020 14:00,9.7,767.8,770.0,-1.5,25,Wind blowing from the north,3,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,9.7,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
