Local time in Lincang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.04.2020 17:00,26.6,626.3,756.1,-1.4,25,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,27.5,,,2500 or more  or no clouds.,,,11.0,5.0,No precipitation,12,,,,
03.04.2020 14:00,26.8,627.7,757.2,,25,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,28.3,,,2500 or more  or no clouds.,,,11.0,5.1,No precipitation,12,,,,
03.04.2020 08:00,11.8,628.6,759.9,1.3,79,Wind blowing from the west-southwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,28.3,,,2500 or more  or no clouds.,,,7.0,8.3,0.3,12,,,,
03.04.2020 05:00,13.1,627.3,757.3,-0.3,78,Wind blowing from the south-southeast,1,,11,,Cloud development not observed or not observable. ,,,11.8,28.3,,,2500 or more  or no clouds.,,,7.0,9.4,0.3,12,,,,
03.04.2020 02:00,15.4,627.6,757.3,0.4,74,Wind blowing from the west-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,28.3,,,2500 or more  or no clouds.,,,8.0,10.8,0.3,12,,,,
02.04.2020 23:00,18.2,627.2,757.8,1.5,57,Wind blowing from the west-southwest,1,,10,,Cloud development not observed or not observable. ,,,11.8,28.3,,,2500 or more  or no clouds.,,,9.0,9.6,No precipitation,12,,,,
02.04.2020 20:00,23.3,625.7,756.4,0.7,34,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,28.3,,,2500 or more  or no clouds.,,,10.0,6.6,No precipitation,12,,,,
02.04.2020 17:00,26.4,625.0,754.5,-1.5,27,Wind blowing from the south,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,28.9,,,2500 or more  or no clouds.,,,12.0,5.9,No precipitation,12,,,,
02.04.2020 14:00,25.9,626.5,756.1,-1.6,32,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,30.0,,,2500 or more  or no clouds.,,,10.0,8.0,0.8,12,,,,
02.04.2020 11:00,19.1,628.1,758.5,0.7,65,Wind blowing from the west-northwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,30.0,,,2500 or more  or no clouds.,,,7.0,12.4,1.0,12,,,,
02.04.2020 08:00,11.9,627.4,758.4,0.8,85,Wind blowing from the west-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,30.0,,,2500 or more  or no clouds.,,,8.0,9.5,1.0,12,,,,
02.04.2020 05:00,13.2,626.6,755.9,-0.2,75,Wind blowing from the south-southeast,1,,13,,Cloud development not observed or not observable. ,,,12.6,30.0,,,2500 or more  or no clouds.,,,9.0,8.9,1.0,12,,,,
02.04.2020 02:00,14.9,626.8,755.5,-0.5,64,Wind blowing from the south-east,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,30.0,,,2500 or more  or no clouds.,,,12.0,8.2,0.3,12,,,,
01.04.2020 23:00,19.6,627.3,757.0,1.8,38,Wind blowing from the south-southeast,2,,11,,Cloud development not observed or not observable. ,,,12.6,30.0,,,2500 or more  or no clouds.,,,10.0,4.9,No precipitation,12,,,,
01.04.2020 20:00,24.0,625.5,755.8,0.9,23,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,30.0,,,2500 or more  or no clouds.,,,10.0,1.6,No precipitation,12,,,,
01.04.2020 17:00,28.8,624.6,753.3,-1.6,14,Wind blowing from the south-southwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,30.0,,,2500 or more  or no clouds.,,,13.0,-1.3,No precipitation,12,,,,
01.04.2020 14:00,29.3,626.2,754.6,-2.1,16,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,30.4,,,2500 or more  or no clouds.,,,13.0,0.9,No precipitation,12,,,,
01.04.2020 11:00,20.9,628.3,758.3,0.6,42,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,30.4,,,2500 or more  or no clouds.,,,8.0,7.5,No precipitation,12,,,,
01.04.2020 08:00,12.7,627.7,758.6,1.1,63,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,30.4,,,2500 or more  or no clouds.,,,8.0,5.8,No precipitation,12,,,,
01.04.2020 05:00,13.8,626.6,755.5,-0.2,55,Wind blowing from the west-southwest,1,,9,,Cloud development not observed or not observable. ,,,12.9,30.4,,,2500 or more  or no clouds.,,,9.0,4.9,No precipitation,12,,,,
01.04.2020 02:00,16.1,626.8,755.5,-0.6,45,Wind blowing from the south-southeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,30.4,,,2500 or more  or no clouds.,,,10.0,4.2,No precipitation,12,,,,
31.03.2020 23:00,19.4,627.4,757.2,1.4,34,Wind blowing from the south-southeast,2,,10,,Cloud development not observed or not observable. ,,,12.9,30.4,,,2500 or more  or no clouds.,,,10.0,3.2,No precipitation,12,,,,
31.03.2020 20:00,23.7,626.0,756.4,1.0,21,Wind blowing from the south,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,30.4,,,,,,11.0,0.1,No precipitation,12,,,,
31.03.2020 17:00,29.7,625.0,753.3,-1.8,15,Wind blowing from the west-southwest,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,30.4,,,,,,13.0,0.3,No precipitation,12,,,,
31.03.2020 14:00,28.9,626.8,754.8,-1.8,13,Wind blowing from the west-northwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,30.1,,,,,,15.0,-2.3,No precipitation,12,,,,
31.03.2020 11:00,21.0,628.6,758.2,0.7,37,Wind blowing from the west,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,30.1,,,,,,10.0,5.8,No precipitation,12,,,,
31.03.2020 08:00,13.1,627.9,758.5,1.1,52,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,30.1,,,2500 or more  or no clouds.,,,10.0,3.5,No precipitation,12,,,,
31.03.2020 05:00,15.0,626.8,755.5,-0.1,49,Wind blowing from the south,2,,13,,Cloud development not observed or not observable. ,,,13.1,30.1,,,2500 or more  or no clouds.,,,11.0,4.4,No precipitation,12,,,,
31.03.2020 02:00,19.0,626.9,755.1,0.3,41,Wind blowing from the east,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,30.1,,,2500 or more  or no clouds.,,,11.0,5.5,No precipitation,12,,,,
30.03.2020 23:00,21.9,626.6,755.1,1.6,37,Wind blowing from the south-east,1,,13,,Cloud development not observed or not observable. ,,,13.1,30.1,,,2500 or more  or no clouds.,,,11.0,6.6,No precipitation,12,,,,
30.03.2020 20:00,24.5,625.0,754.9,0.8,32,Wind blowing from the south-west,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,30.1,,,,,,10.0,6.7,No precipitation,12,,,,
30.03.2020 17:00,29.4,624.2,752.5,-1.4,21,Wind blowing from the west,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,30.1,,,,,,14.0,4.8,No precipitation,12,,,,
30.03.2020 14:00,28.0,625.6,753.8,-1.5,23,Wind blowing from the west-northwest,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,29.0,,,,,,13.0,5.0,No precipitation,12,,,,
30.03.2020 11:00,23.6,627.1,755.8,0.9,35,Wind blowing from the west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,29.0,,,,,,11.0,7.3,No precipitation,12,,,,
30.03.2020 08:00,13.6,626.2,756.6,0.8,59,Wind blowing from the south,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,29.0,,,,,,11.0,5.7,No precipitation,12,,,,
30.03.2020 05:00,14.8,625.4,754.2,-1.0,59,Wind blowing from the west-southwest,1,,11,,Cloud development not observed or not observable. ,,,14.8,29.0,,,2500 or more  or no clouds.,,,10.0,6.9,No precipitation,12,,,,
30.03.2020 02:00,17.4,626.4,755.1,0.2,55,Wind blowing from the south-southeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,29.0,,,2500 or more  or no clouds.,,,9.0,8.3,No precipitation,12,,,,
29.03.2020 23:00,21.3,626.2,754.6,1.5,44,Wind blowing from the north-northeast,1,,12,,Cloud development not observed or not observable. ,,,18.1,29.0,,,2500 or more  or no clouds.,,,10.0,8.6,No precipitation,12,,,,
29.03.2020 20:00,23.5,624.7,753.6,0.6,38,Wind blowing from the south-west,2,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,29.0,,,,,,11.0,8.4,No precipitation,12,,,,
29.03.2020 17:00,28.4,624.1,751.4,-1.6,23,Wind blowing from the west,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,29.0,,,,,,13.0,5.3,No precipitation,12,,,,
29.03.2020 14:00,26.9,625.7,753.6,-1.0,32,Wind blowing from the west-northwest,4,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,28.3,,,1500-2000,,,11.0,8.8,No precipitation,12,,,,
29.03.2020 11:00,23.8,626.7,755.2,1.3,39,Wind blowing from the west-northwest,5,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,28.3,,,1500-2000,,,10.0,9.0,No precipitation,12,,,,
29.03.2020 08:00,18.3,625.4,754.7,0.7,55,Wind blowing from the west,1,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,28.3,,,1500-2000,,,9.0,9.1,No precipitation,12,,,,
29.03.2020 05:00,19.6,624.7,752.4,-0.9,49,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,,,12.4,28.3,,,2500 or more  or no clouds.,,,9.0,8.6,No precipitation,12,,,,
29.03.2020 02:00,20.2,625.6,753.7,-0.3,55,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,28.3,,,2500 or more  or no clouds.,,,7.0,10.9,No precipitation,12,,,,
28.03.2020 23:00,21.4,625.9,755.2,1.2,51,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,12.4,28.3,,,2500 or more  or no clouds.,,,8.0,10.9,No precipitation,12,,,,
28.03.2020 20:00,22.7,624.7,755.3,0.6,45,Wind blowing from the west,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,28.3,,,1500-2000,,,10.0,10.2,No precipitation,12,,,,
28.03.2020 17:00,27.4,624.1,753.1,-1.7,33,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,28.3,,,2500 or more  or no clouds.,,,11.0,9.7,No precipitation,12,,,,
28.03.2020 14:00,26.4,625.8,754.8,-2.1,31,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,27.6,,,2500 or more  or no clouds.,,,14.0,7.9,No precipitation,12,,,,
28.03.2020 11:00,19.9,627.9,758.2,0.8,53,Wind blowing from the west,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,27.6,,,,,,8.0,10.0,No precipitation,12,,,,
28.03.2020 08:00,12.4,627.1,758.3,0.7,78,Wind blowing from the west,0,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,27.6,,,,,,7.0,8.7,No precipitation,12,,,,
28.03.2020 05:00,13.6,626.4,756.2,-1.1,73,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,,,11.3,27.6,,,2500 or more  or no clouds.,,,8.0,8.9,No precipitation,12,,,,
28.03.2020 02:00,16.0,627.5,757.1,-0.2,63,Wind blowing from the south-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,27.6,,,2500 or more  or no clouds.,,,8.0,9.0,No precipitation,12,,,,
27.03.2020 23:00,19.0,627.7,757.7,1.4,50,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,,,11.3,27.6,,,2500 or more  or no clouds.,,,11.0,8.4,No precipitation,12,,,,
27.03.2020 20:00,21.8,626.3,757.6,0.6,42,Wind blowing from the south-southwest,2,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,27.6,,,1500-2000,,,9.0,8.3,No precipitation,12,,,,
27.03.2020 17:00,26.1,625.7,755.6,-1.3,31,Wind blowing from the west-northwest,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,27.6,,,1500-2000,,,14.0,7.7,No precipitation,12,,,,
27.03.2020 14:00,25.4,627.0,756.7,-1.0,32,Wind blowing from the west,3,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,27.2,,,1500-2000,,,14.0,7.5,No precipitation,12,,,,
27.03.2020 11:00,21.2,628.0,758.3,0.9,45,Wind blowing from the east,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,27.2,,,,,,10.0,8.8,No precipitation,12,,,,
